http://movie.douban.com/subject/2229463/	烈火雄心2
(4星)	这部剧里面好多现在的小生在跑龙套，马明啊，黄宗泽啊，吴卓羲啊。里面的演员都很喜欢啊，KC以前老是演坏蛋啊。结局纪德死掉实在是太虐了，三条线里最喜欢他的故事了
(4星)	喜哥最高！
(3星)	原来Mark是渣啊 ಠ_ಠ
(4星)	比现在的天与地神马的好多了
(4星)	本来都要五星了，为啥王喜会死啊！编剧想什么呢
(5星)	我其实想给六星。
(4星)	重温一遍，结局我还是没法接受，编剧尼玛！超爱二小姐和王喜啊！瑶瑶可爱啊~
(5星)	最喜欢这部。。。
(4星)	其实Yan很可爱，但是没办法剧中的第三者是Flora扮演，恨不起来，竟然想去心疼。
(5星)	哭惨 王喜居然给我。。。die左 距个女好可爱啊！
(4星)	第一部比较着重描写的是骆天佑的成长，第二部就分了几个支线他们的生活面对选择时的态度。
(NA)	为张可颐看的，好漂亮又帅气~
(5星)	冲着方中信打5星，这里面王喜郑嘉颖都不喜欢
(5星)	错过这部剧好久，一直以为消防员那些事没什么好说，没想到可以拍得这么感人，这么意想不到。我始终想不到纪德会是死的那一个，我看着他对茵怡说等着他回来娶她我就知道会出事，但是我没想到他会死，瑶瑶没了妈妈又没了爸爸，最后一集真是赚尽眼泪。
(NA)	每一个角色都很鲜活饱满~当年KC还是只能算三番吧~
(4星)	小时候可稀罕这部剧了  为了剧里的可爱的小姑娘又看了一遍
(5星)	当年的他们是有多年轻啊 好多龙套 结局太悲催
(3星)	结局居然让纪德死了。。。
(4星)	几位主演换了。
(4星)	最后哭得稀里哗啦。两条主线具可看性可惜副线繁芜又无聊。消防之外极尽能事探讨人的际遇缘分抉择离合。缺点是太长，还有郑嘉颖让人想砸电视阿！
(5星)	我最喜欢的陈慧珊演绎角色之二 方中信这位叔非常可口！！！
(4星)	青涩的KC，好可爱
(5星)	好人最后会死...哭死了...
(5星)	到现在看到救火车还心情莫名激动，有烈火雄心伴随的高三生活别有一番风味。
(3星)	小时候看的- -
(3星)	 比第一部差
(4星)	看的时候超喜欢方中信…帅死了
(NA)	越看越喜欢。
(4星)	看到哭了
(5星)	瑶瑶好可爱啊！！结局太悲了。。。
(5星)	经典！
(4星)	记忆中，烈火系列是职业剧中不错的。
(4星)	我看见马国明了、黄宗泽了、吴卓曦了，哈哈 跑龙套来着？哎！看见那煤气罐，看见王喜要出车，听见那调调，我就知道，他要死了！35级到最后一级最后几分钟，你赢了，我哭了。。。。（PS：纪德田的女儿太可爱了！）
(5星)	至爱~~~~
(3星)	一般吧
(5星)	虽然看之前就对结局有了好多次心理准备，但到最后一集还是哭到不行，想起来还想再哭。。。港剧的确还是以前的拍得好，现在很难得才会有好看的了。
(4星)	依旧剪辑版—。—
(3星)	还有第三集呢
(5星)	好看
(4星)	结局让人太难受了 不错 
(4星)	最后王喜噶牺牲有点失望..不过整部电视剧本身值得肯定
(4星)	小学的时候看过，没有看完，今天终于看完了
(4星)	没第一部那么有感觉了，最可恨的是最后居然让王喜死掉了，编剧脑袋有毛病，不过瑶瑶太可爱了~~
(4星)	王喜爸爸。。
(NA)	印象最深的就是王喜了。演的超好！
(4星)	这里面居然看到了打酱油的吴卓羲和马明阿！
(5星)	记得很深的是陈慧珊方中信蒙嘉慧那段欲言又止的三角恋，那首歌Diary 还有张可颐的短发造型 个人认为是张可颐最好看的造型  白咻咻姐姐~~~
(5星)	方中信和陈慧珊的感情挺让人揪心的！看这个的时候好讨厌郑嘉颖！
(4星)	纪德你怎么可以抛下瑶瑶、抛下怡女人？！！！
(4星)	喜欢蒙嘉慧和方中信的配合！
(5星)	接受不到嘅结局。
(5星)	yoyo
(NA)	第一部称得上最爱影响最深的剧了 看到结局在教室哭得不行。。我最爱的女人的CP之一 影响深 就是一下子对女人爱了好多 爱喜哥棠哥 颠覆之前看台偶的审美啊 爱方大叔和yoyo的CP 讨厌KC超久 至今无感 瑶瑶太爱了 后来才知演员比我还大= = 在美味天王听在森林和原野要内牛 永远记得纪德的三人组T T
(5星)	最爱！！！
(5星)	我其实更喜欢这第二部的故事和角色。方中信演消防队长真是很有说服力，和蒙嘉慧很登对。当中我最喜欢张可颐的角色，王喜在最后死了很可惜，难得张一力承担对他女儿的照顾。说起他女儿，成迦莹十分可爱啊，很精灵很聪明，是很会演戏的小演员。宣萱也有小客串吧，虽然一下子就被车撞倒了orz～～
(3星)	一般
(4星)	蒙嘉慧嗲.....
(3星)	没看完，不是经典，过时就没有兴趣了。
(NA)	又是三者角色。。。
(3星)	前一阵还重播了
(NA)	没看完。火灾类不爱。
(3星)	比第一部差～比第三部好～整个趋势屎越来越差
(4星)	成珈莹小朋友太给力了！
(4星)	喜欢短发的张可颐。前几天还在想她什么时候能剪回短发，没想到她真的因为新剧《法证先锋3》恢复短发，太有气质了！
(5星)	当年笑死+哭死  TVB现今还能凑到如此强大的卡司么？
(4星)	无视剧情，因为此剧爱上yoyo，更何况还有我最爱的方sir
(3星)	果然好人不长命
(NA)	很好的表现了兄弟的感情，一起奋斗。
(4星)	系要死个人先安乐。。
(5星)	记得当时很感动
(2星)	不知所谓啊！
(5星)	怎么会有那么聪明的小孩呢~？
(2星)	王喜，哈哈
(4星)	老帅哥出现了。
(5星)	单纯地喜欢。最后大结局纪德的牺牲赚足我了的眼泪 那集不知看了多少次。
(4星)	喜欢识大体的茵怡，感谢教会我很多的Michelle。
(5星)	很久没有看电视看到泪流满面了  脑残编剧为什么一定要编成悲剧呢
(4星)	高中看的了，记得挺不错的~
(5星)	这部剧倒是越到后面越好看的！@Home
(5星)	虽然老了点。。。但还是不错的。。。。
(5星)	剧情很好，经典！
(3星)	看。
(5星)	至少看了五遍，还是很爱。
(3星)	瑶瑶太可爱了，这个悲剧结局让人真不能接受！
(NA)	只是因为演员阵容才勉强看的
(3星)	怪怪的
(2星)	很多人說第二部比第一部好看，我不認同，除了父女情還小感動以外，，劇情上根本沒啥記憶點，男女主火花不夠強烈，結局還把主角搞死了，不過因為先前就缺乏感動，看到結局倒也並不怎麼傷心～
(5星)	22和33居然连一句对白都没有~~~
(4星)	白净净姐姐好漂亮
(4星)	方中信啊. ..
(5星)	为了我亲爱的方中信才打五星··· 
(5星)	这应该是烈火雄心3部里面最好看的一部，还记得搞笑的犯贱三人组
(4星)	多年前追着翡翠台看过，剧情已经忘光了，但印象中很好看！
(4星)	题材有突破~方中信好帅！！
(4星)	纪德田让人大哭啊……瑶瑶的爸爸，叔叔，舅舅都是消防员，这点很意思
(4星)	还是喜欢王喜。
(5星)	方中信太贊了
(5星)	喜欢王喜囧囧有神的小眼睛啊~~~
(4星)	哦 我还有结局没有看的说。。。
(3星)	为了第一部看的第二部
(4星)	不喜方中信
(4星)	王喜兄当年还是不错的~~中信哥从来都这么型~~郑生这时还有点嫩~~蒙大小姐你急死我得了……当年龙套的马国明，黄宗泽，吴卓羲好逗……
(5星)	我爱死钟茵怡了
(4星)	还是没有Ⅰ好~~
(3星)	方中信..啊哈哈=3=
(5星)	感人！！
(5星)	烈火雄心最好的版本
(3星)	演员阵容强悍了，故事线条多了，但是激情少了，个性少了，感动也少了，一次次的火灾、事故、救人现场，主人公感情纠葛来纠葛去，可是，没有了第一部最吸引人的气概，也许导演想告诉我们，消防员不是英雄，只是普通人吧
(4星)	有咗方中信又唔一样啦
(3星)	追忆
(3星)	平时很喜欢陈慧珊，可是不是在这部剧里。彼时也挺不待见八爷的，虽然那么倜傥O(∩_∩)O
(NA)	方中信师奶杀手
(3星)	少了古仔，减一星！
(4星)	王喜的意外，一直在我记忆中
(3星)	妈的，倒数第三集才进入状况。哎，纪德挂了，在最好的时候，还是很伤心的。
(4星)	第一次见瑶瑶不禁想起了秀兰邓波儿，tvb这么多年少见的优秀童星。方中信、蒙嘉慧、陈慧珊的三角关系真真让人厌烦。
(4星)	恩恩 可以的。
(3星)	暑假看的~不错
(NA)	方中信。。。。。。。好MAN
(3星)	知道结局，不看了
(4星)	冇认真睇
(4星)	感覺這部劇情沒有第一部好，但是對火災本身的描寫比第一部要經典。還有瑤瑤太可愛了，哈哈~~結局太傷感了
(4星)	可恶的悲剧 瑶瑶问爸爸是不是再也不回来了我的眼泪就止不住流啊流PS.以前看的不仔细啊 里面有唐宁吴卓羲黄宗泽马国明啊OMG
(3星)	同上。。
(5星)	瑶瑶。
(5星)	超感动
(4星)	续集离讲算好
(4星)	那时候很喜欢蒙嘉慧方中信这对。演员强大
(5星)	王喜居然死了~~~呃~~~我爱yoyo~~~
(5星)	睇到我哭得稀里嘩啦~~紀德瑤瑤兩父女好正~
(4星)	遗珠~
(5星)	永远的纪瑶。方中信和蒙嘉慧的爱情故事也很有味道。
(NA)	我看这部时好喜欢王喜啊~还有最后一集瑶瑶一个人的时候我那个哭的啊~~
(3星)	跟着电视台看的。。。还好吧~~TVB风格
(3星)	很喜欢蒙嘉慧。。。
(NA)	32.这个世界怎么会有这么厚颜无耻的男人啊，明明是自己劈腿，却还把责任推到女方身上，弄得自己好像是最大受害人。太恶心了！！！
(NA)	蓝光DVD已入手
(4星)	大爱瑶瑶
(5星)	记得看这个片子的时候，特喜欢王喜，虽然长得不帅，但特有味道，就连小小的眼睛看起来也特别可爱。当然，出色的演技也是我喜欢的原因之一。
(5星)	有天龙八部的感觉。个个都是主角。
(4星)	连着把第二部也看了，感觉比第一部要好，虽然最后男主角走了，不过平常里面见真情
(5星)	有方中信这部，要看要看
(5星)	里面的瑶瑶太乖了。
(5星)	「变化原是永恒，人与人的关系每天都在变，只要你们相识时时真诚相对，即使有变化，你也处之泰然。」
(4星)	这大概是赚我眼泪最多的TVB剧集，纪德田死的时候眼泪是用飙的。所以后来当我频频在内地综艺节目上看到王喜装疯卖傻的样子就很不能接受。纪德田，那可是英雄般的存在。那时候集中看了好多张可颐的片子，觉得她最适合这样干练的角色，瑶瑶也很可爱，多美好的孩子。
(5星)	我最爱的一部港剧
(5星)	超级喜欢纪瑶~~~！！！
(4星)	好看~
(4星)	《烈火》系列最经典也是唯一的一部。Yan很讨喜。纪徳田最后死也得很深刻
(5星)	喜欢那段父女情。
(5星)	哭的西里哗啦～
(3星)	如果不是结局，我会给四星
(3星)	狗尾續貂 = =
(3星)	伐刚了。。就是王喜的眼睛太小了。。
(5星)	超赞啊！！！还有里面的小女孩，瑶瑶~~
(5星)	瑶瑶太惹人爱了
(5星)	还是好看
(NA)	我爱纪德和瑶瑶的父女情啊。。。
(NA)	 蒙嘉慧 
(4星)	方中信的出轨莫名奇妙 王喜最后说瑶瑶爸爸下班了感人至深
(5星)	不错哦~
(4星)	宽恕是开心的源泉
(4星)	TVB的电视剧很少能让人哭，这是特别的一部。希望三能够比这个还好看。
(5星)	我曾经因为这一部想去当消防队员了
(5星)	王喜
(4星)	百看不厌
(4星)	超级喜欢纪瑶~~~！！！
(5星)	個結局真係睇一次喊一次…
(5星)	結局讓我哭到瘋了 T_T
(4星)	看港剧最疯狂的时段
(5星)	Maggie，很喜欢，这部剧集让我感动。
(5星)	有些感情很难说清楚
(5星)	又哭了~
