http://movie.douban.com/subject/2239292/	大宋提刑官
(4星)	 豆瓣竟然給我推薦這個，我老早看過了，幾年前，還住在東海的時候。            
(3星)	 理想主义者总是痛苦的。断断续续看完花了三年……剧情拖沓，一星给何冰            
(4星)	 平心而论 真的拍得很好            
(4星)	 千古悠悠            
(3星)	 正剧            
(5星)	 案子很精彩，画面很干净，重要的是，还是这个宋慈看着比较舒服。            
(5星)	 还是觉得何冰演的好。            
(4星)	 郭达演的真好~~            
(3星)	 有的验尸方法确实有点神奇。。。            
(5星)	 打发时间的好剧啊。。但宋慈的行为好像有点过了，可以说有点淤泥了。。            
(4星)	 这个宋慈太直了，现代人说话，不知好歹。只可惜生错年代。皇帝也不错，大家都发财的感觉。            
(4星)	 何冰表演不错            
(4星)	 好漂亮的横店啊~~            
(3星)	 父为子隐，子为父隐，直在其中矣            
(5星)	 非常非常喜欢的国产剧            
(5星)	 人之初，善也恶也？            
(NA)	 没给我吓死            
(5星)	 我的高一，就在一集集的《大宋提刑官》中荒废了            
(4星)	 有一阵子一直在看            
(NA)	 本儿不错。            
(3星)	 觉得何冰演的很好，貌似是人艺出来的说~感觉宋慈这种人太纯粹太理想化得有点不真实了，特别在那样腐败的政治环境下还要坚守这自己的坚持，会很累吧            
(3星)	 一般吧……物理老师超级爱，声称看了好几遍……            
(5星)	 若天地间都是正义            
(5星)	 国产剧里我觉得是最好的            
(5星)	 戏剧化的情节，舞台化的对白，删繁就简、详略得体的节奏，真的不错。            
(1星)	 超烂。。。。超装B            
(4星)	 片尾曲。            
(4星)	 阿贵            
(NA)	 朗诵挺好的            
(5星)	 正眼看了何冰。。。“英姑啊，英姑啊”。            
(5星)	 真好看            
(NA)	 何冰的上位之作            
(3星)	 磨磨唧唧的剧情削弱了宋慈的魅力。            
(5星)	 这个好 我看的集数不多 但用收音机听的集数却不少            
(5星)	 悬疑推理本来就是我的葱，加上何冰老师超强的表演，从内容到演员直接秒杀！还有那气壮山河的片尾曲=。=            
(4星)	 五一三天干的活儿            
(4星)	 片子还是不错的。第一部比较经典。第二部就很多余了。            
(5星)	 以前CCTV首播的时候家里看的,对主题曲印象深刻，何冰的演技也真是没的说！            
(4星)	 “興許能說得出來的終是陳詞濫調，而心裏想說的，又終無法說出，也許這便是人心之幽秘吧。”            
(3星)	 唯一给我带来惊喜的国产剧之一            
(5星)	 宋提刑            
(5星)	 洗冤录            
(4星)	 泣血蝇虫笑苍天            
(4星)	 原来历史上真有此人            
(4星)	 喜欢这首主题曲的词 满江红            
(NA)	 除了这部电视剧，很讨厌何冰。。。            
(NA)	 我觉得是很棒的电视剧呀~            
(5星)	 长驱鬼魅不休战            
(5星)	 好看，就是好好看~            
(NA)	 制作精良的古装探案推理剧，值得一看            
(5星)	 画面很有沉重感，何冰演得好没罗海琼也不错，还有赵捕头~            
(5星)	 喜欢的，觉得何冰演的满好。故事情节也不错。            
(NA)	 非常喜欢结尾的吟诵和音乐 喜欢宋慈            
(3星)	 话说我高考的前一天晚上还在看……            
(4星)	 不错            
(4星)	 算是国内比较好的推理片！            
(5星)	 比柯南实际些。            
(5星)	 其实已经看完了但竟有看第二遍的念头,国产剧里这似乎还是头一遭啊~~第二部和这根本是没的比            
(5星)	 大陆古装推理巅峰之作。            
(5星)	 虽剧情略显拖沓，但导演摄影不错，能动情，莫民的辛酸，坏人其实真的不是那么容易对付的，要搞清楚这是天朝            
(4星)	 当年可喜欢罗海琼的英姑了，灵泛的很，就希望她能跟宋慈凑一对儿，剧情，反正就那样吧，还是蛮好看的            
(2星)	None
(5星)	 太喜欢何冰和罗海琼的角色了！            
(2星)	 断案的。按照惯例，添加了一些政治元素。            
(5星)	 演的很沉稳            
(5星)	 大爱这部片子，宋慈演的平易近人，却不失风度  很喜欢片尾曲！            
(5星)	 我力荐了            
(3星)	 惊悚尺度还是有点大            
(5星)	 特别好            
(5星)	 超爱看的连续剧，至少看了4遍。看这戏感到的是世事沧桑，人生的无奈和梦想的执着追求。每当片尾曲想起，好像将我带临了那个时代，也经历了无悔一生。            
(4星)	 比狄仁杰好看多了。            
(5星)	 初中时候特喜欢            
(3星)	 好看，就是每次回忆推理部分都太罗嗦了            
(5星)	 法医启蒙            
(4星)	 可喜欢何冰的范儿了。            
(4星)	 超喜欢            
(3星)	 内歌实在忒好听了            
(3星)	 太墨迹了。            
(NA)	 千古悠悠，有多少，冤魂嗟叹。 空怅望，人寰无限 ，丛生哀怨 。泣血蝇虫笑苍天 ，孤帆叠影缩白链。残月升，骤起烈烈风，尽吹散。│ 制作精良的电视剧，只是我实在无法接受宋慈与英姑的暧昧感情            
(5星)	 曾经有段时间超喜欢看啊。。。            
(4星)	 不错啊            
(5星)	 很好看~~~~！！法医鼻祖吧...............            
(4星)	 第三十七集，宋慈说了句：三年清知府，十万雪花银            
(5星)	 挺喜欢看            
(5星)	 电视剧里老头都说了，精彩，真精彩。人没骗大家！            
(5星)	 “人命大于天”，这是他与永远的箴言。把百姓国家的利益放在心中，这是他永远不败的力量。当腐败遇到了国家稳定，腐败也化为了灰烬；当法律与权利交融时，公正与正义将呗萃取……            
(5星)	 比TVB版的好看多了            
(4星)	 何冰是演技派。一本正经加闷骚。            
(4星)	 片子很大气，片尾曲好。            
(4星)	 片尾曲很好听哒~            
(4星)	 ...            
(5星)	 片尾那段诗诵真大气“泣血蝇虫笑苍天，古风叠影锁白链，残月升，骤起烈烈风，尽吹散”            
(3星)	 何冰 罗海琼~            
(NA)	 看过，记得宋大人一想案子就要泡脚            
(5星)	 这是部大悲剧啊！！！！！！！！尼玛的欲哭无泪！！            
(4星)	None
(5星)	 非常用心的作品            
(5星)	 当时很迷，还买了dvd- -            
(5星)	 刑侦法理与人间道义，个人抱负与仕途官场，红颜知己与结发之妻，社会百态，人物心理...国产剧能做到连每场戏的细节配角都非常优秀的 都是上乘之作             
(3星)	 有点儿悬疑，当时05年那会晚上看的时候还或多或少有点儿害怕            
(4星)	 除了剧情有点墨迹，其他都好            
(3星)	None
(5星)	 何冰的演技让人刮目相看 片尾曲的朗诵非常棒            
(5星)	 给力            
(5星)	 就是觉得挺好。。            
(5星)	 片尾曲牛逼到死  英姑特别美            
(4星)	 制作精良 诚心之作            
(4星)	 算是crush一样的东西？心心念念的片尾曲啊            
(5星)	 高中每天中午放学坐在电视机前等的好剧            
(5星)	 多想再陪他看一次。            
(3星)	 中国最好的侦探片            
(4星)	 宋慈            
(4星)	 ~~~~~~~~~~~            
(5星)	 真的不错，有些地方缺少整体感            
(4星)	 本来是在找另一个同题材的法医宋慈来着。。。。更喜欢那个            
(5星)	 我觉得好牛逼啊，片尾曲的朗诵印象好深            
(3星)	 何冰有爱，剧情拖沓，案件略弱，整体制作水准精良，片尾曲赞到爆。三星半。            
(5星)	None
(NA)	 精彩            
(3星)	 高考完看的            
(4星)	 片尾曲很惊悚。            
(4星)	 不错，严谨            
(3星)	 当时很喜欢哈！！            
(3星)	 小时候追这个，现在看马马嘘嘘            
(3星)	 实在看何冰不舒服。            
(5星)	 小时候边泡脚边看，还有主题曲不是一般的好            
(5星)	 爱看。            
(5星)	 难得的精品            
(1星)	 节奏好慢好慢好慢，爸妈说想看让我买的碟，结果爸妈都看不下去……            
(4星)	 真的难得关注最底层和最根源的问题            
(3星)	 老爷爱看，还买过碟儿。。。。我感觉比神探狄仁杰好看            
(5星)	 虽然有的尸检方法不科学,但确是一个好片            
(5星)	 台词 精雕细琢 但是这个已经让我很是激动了            
(5星)	 味儿 很对            
(5星)	 改革的勇气与风险之权衡。            
(NA)	 不错 一两个章节拖沓            
(5星)	 破案很精彩，结局很无奈，或许中国社会就是这样，清者只能被排斥            
(4星)	 超喜欢主题曲前面的那首阙词，很带感            
(5星)	 好剧！！            
(5星)	 我非常喜欢的男女演员！            
(4星)	 还不错，一帮比较认真的人弄出来的东西，不像大部分国产连续剧的明显粗制滥造。对国产连续剧，看完以后没有说声浪费时间就算是不错的了            
(5星)	 窃以为叙事流畅，配乐到位，演员演技精湛。唯独感情戏有些欠缺，人物情感处理较粗糙。            
(5星)	 很喜欢啊            
(4星)	 还挺好看的            
(3星)	 武戏太少了，不过也还是不错的古装侦破剧            
(4星)	 嗯，如此又聪明又坚持原则的人难得到大家都不相信的地步了            
(5星)	 当年特别喜欢的片子啊，虽然何冰长的有点对不起观众。。。喜欢这样的题材。。好看！            
(5星)	 一部很特别的电视剧~值得一看！            
(5星)	 从这里面认识的苗圃。            
(4星)	 有点意思 只是 那个叫马延辉的还活着么            
(5星)	 历史何其相似......            
(5星)	 正气是我们心中不灭的光明！            
(5星)	 内地少有的很棒的推理剧那~            
(4星)	 社会切入位置准确。或许主角性格再平和一些对叙事更有利，但抑或是合适角色何冰。            
(5星)	 这尼玛也能通过审核？            
(5星)	 那时候罗海琼真美 宋慈啊 多传奇的人物            
(4星)	 片尾曲真是震撼~            
(5星)	 很喜欢很喜欢古装推理剧。            
(5星)	 我认识一个人长相像何冰。            
(4星)	 3星剧情，1星OST            
(3星)	 话说为什么搞个韩文标题啊卧槽            
(4星)	 何冰和一群小品演员演出的内地经典。喜欢何冰。            
(4星)	 越看越觉得自己是傻子            
(4星)	 正义的性格，睿智的头脑，精湛的技术            
(5星)	 看的第二部侦探题材剧，挺喜欢何冰的            
(3星)	 剧情推进太慢，我看着看着睡着了。其实还是不错的剧情。看了20多集就不看了，改看《城市猎人》。            
(5星)	 非常经典剧集之一。            
(4星)	 还不错            
(4星)	 片尾曲 記憶猶新            
(3星)	 只有几个主角好点。里面跑龙套的太不专业了            
(5星)	 所谓经典            
(5星)	 现在还挺喜欢的~            
(4星)	 初中上了三年学，它就断断续续的放了三年            
(5星)	 我觉得何冰演的真实太好了！            
(2星)	 不刺激            
(NA)	 何冰 太帅了            
(NA)	 哎呀和爸爸一起过假期看的            
(4星)	 很好看            
(4星)	 很喜欢的一部剧~~很佩服里面的宋慈~~也很欣赏剧中描述的南宋社会生活的细节~~            
(4星)	 郭达演的那个角色很给力            
(NA)	 第二部狗尾续貂了。片尾曲很好听！            
(4星)	 家里人还很喜欢看的            
(3星)	 节奏太慢            
(3星)	 和周杰的包青天系列差不多。悬疑，还是不那么精彩            
(5星)	 何冰神了            
(5星)	 虽然一开始十分讨厌宋慈，不过越听越觉得还好，是的，我是听的= =。为了片尾曲和片子整体也要好好看完~宋慈这样刚正不阿的人，官场注定容不下他TAT            
(5星)	 这是我看过比较好的一部国产剧            
(4星)	 是这部戏的片尾曲改变了我对朗诵的看法！好听，好看~~~            
(4星)	 陪看。。。这次是爸爸=。=            
(4星)	 2004            
(5星)	 不粗，很喜欢这部            
(4星)	 何冰演技真不错啊            
(4星)	 有点闷╮(╯_╰)╭            
(3星)	 里面的case好多都见过，没新意            
(4星)	 比较靠谱            
(4星)	 个人看过最好看最正点的宋戏            
(4星)	 好看好看，我还买了书            
(4星)	 ……又是大娟的口味            
(5星)	None
(5星)	 非常之好看，当时很迷这个的。            
(5星)	 古装悬疑剧中的精品，有理有情            
(4星)	 喜欢色调            
(4星)	 看了一半，推理还比较现实，只是当时的检验技术不太可靠            
(NA)	 很不错的正剧，看的时候心里都毛毛的，结尾的片尾曲很喜欢            
(2星)	 很多剧情挺白痴的啊 大家为什么觉得好？？            
(4星)	 宋慈性格刚正不阿，英姑聪明富有灵性，捕头雷厉风行。案中不管是平民还是官员，均以是非善恶，人伦之道为准则，一心惩恶扬善，精彩的判案断案禁不住让人拍手称快！宋慈是难得的好官，好人，善人！            
(4星)	 比較正派，喜歡看包青天的也一定喜歡看這個            
(5星)	 精彩……港版的洗冤录在他面前应该三叩九拜……            
(5星)	 何冰演得也不错啦，挺好看的            
(4星)	 kill time啊，内牛满面的看完了            
(4星)	 剧情忘得差不多了，唯有片尾曲记忆犹新~            
(4星)	 我个人还是蛮喜欢的            
(4星)	 宋慈有这么好的老婆不知道珍惜，让那个小三滚蛋吧。            
(4星)	 我没看过什么电视剧其实，但这一部确是不错。            
(NA)	 何冰演得太好了！            
(5星)	 几乎是这辈子都忘不了的片尾曲，那首歌超级经常在脑中心中回荡一整天。真的忘不了。真的很经典，所以给五星也真的很应该。很久前看的。            
(4星)	 喜欢啊喜欢 尤其是片尾曲。            
(5星)	 非常好看。。确实少看内地拍的剧。            
(NA)	 之前是在学习，所以条件不允许，是断断续续的看的，，现在，过去好久了，记不太清楚里面的具体内容了，不过让我记忆犹新的是一种破案的方法“烧骨”            
(5星)	 歌好听,色调喜欢!            
(4星)	 我觉得他老婆很可怜。。。            
(3星)	 实在看何冰不舒服。            
(2星)	 老爸喜欢            
(5星)	 老少咸宜，全家叫好。难得的好电视剧            
(4星)	 不错~            
(5星)	 那味道。            
(5星)	 后来才知道何冰擅长演小人物，看剧时宋大人颇具官威。            
(4星)	 我下载了全套，你说好不好看！            
(4星)	 最喜欢的大陆探案剧，片尾曲很有感觉~            
(5星)	 07年看的，那个时候可以一个人看推理的东西了。那一年发生一件很大的事。。很好的电视剧。            
(5星)	 左看右看 就是顺眼 没办法            
(NA)	 不做評價= =            
(5星)	 哎哟想当年我是多么喜欢这个剧啊！            
(5星)	 细细拍的片。            
(3星)	 很锻炼观察能力。            
(5星)	 何冰            
(4星)	 我爸和我难得一致最爱的电视剧 喜欢片尾曲 喜欢何冰 真喜欢他！！！            
(4星)	 片尾的诗朗诵不错            
(4星)	 耐看的国产推理片            
(4星)	 这不拍的不错的！            
(5星)	 好看!!!我很迷!!推理啊古代啊!!            
(5星)	 最可怕的是你身边人的内心            
(5星)	 罗海冰好给力~            
(4星)	 泣血蝇虫笑苍天！！！            
(5星)	 不论从剧情、表演、服装和音效都是十分的一部片。            
(5星)	 洞察真相            
(5星)	 結局還挺真的，ZZ就是這樣。            
(4星)	 很棒的国产古装            
(4星)	 只为结尾曲~            
(5星)	 千古悠悠，有多少冤魂皆叹            
(5星)	 不錯            
(4星)	 片尾曲不错 挺好看            
(4星)	 法不责众？世道如果是黑的，一个宋慈是不够的，一百个也不够！            
(4星)	 理想与现实。很有诚意。片尾的词增色不少            
(4星)	 总觉得这部有点黑暗压抑，不如大包的轻松搞笑和狄仁杰的气势恢宏，喜欢罗海琼。            
(3星)	 残月升 骤起烈烈风 尽吹散……            
(5星)	 讽            
(3星)	 央视国产。。。            
(4星)	 提刑官很是正直。            
(5星)	 就是演员也叫人肃然起敬。            
(4星)	 好。            
(5星)	 配乐绝了            
(5星)	 虽然一直认为剧中宋慈类的形象很虚伪做作，但是此剧相当精致，不过要以社会派为出发点            
(3星)	 我以为会像少年包青天一样精彩呢            
(5星)	 重播一次看一次，重播一次看一次，怎么都看不腻。            
(4星)	 3.5star            
(5星)	 此剧力荐，从演员到剧情到服装到片尾曲，都很喜欢            
(4星)	 喜欢片尾的词            
(3星)	 喜欢这种稍稍有些恐怖的片子            
(4星)	 片尾曲满江红。            
(5星)	 就冲片尾曲也得多给一颗星            
(NA)	 看什么不重要，和谁看最重要            
(4星)	 比较严肃的推理剧，多从技术角度入手，宋慈法医鼻祖也。 很强的法制观，必须有可靠的证据才能定罪。 缺点是案发镜头重复太多，让人很郁闷。            
(5星)	 何冰在里面真的很有魅力啊~            
(NA)	 追了几季了。当个好官真不容易            
(4星)	 中国的電視劇很少有讓我喜歡看的            
(5星)	 那份氣息。            
(5星)	 为片尾的那段念白加一星 很有感觉呀            
(5星)	 国产电视剧中最钟意的了吧...            
(4星)	 正剧            
(2星)	 节奏慢的让人抓狂            
(4星)	 我就是喜欢何冰而且这剧还蛮好看的            
(4星)	 最后深化了主题。            
(4星)	 宋慈错判竹如海一案实在是编得牵强            
(5星)	 觉得拍得很正            
(NA)	 4            
(4星)	 很可惜不是原班人马出演续集了······            
(NA)	 推理挺不错            
(5星)	 演技與配樂大贊            
(5星)	 社稷安抚臣子心，长驱鬼魅不休战，看斜阳，照大地阡陌，从头转。            
(4星)	 配音演员也太省了，听来听去就这几个声音。片尾曲大好。宋慈的老婆可真是好老婆。英姑也不错的。有时想想还是做古人轻松哇。            
(5星)	 在探案的电视剧里这部我觉得最好了。推理严密，结局也很出人意料。            
(3星)	 不错～ 官场部分略假            
(2星)	 就是不晓得为啥俺老爹喜欢这阴沉沉的东东。不喜欢何冰的说。            
(4星)	 不错。不太喜欢何冰            
(5星)	 很严谨。何冰演得不错。            
(4星)	 男女主角都挺喜欢=。=            
(3星)	 3.3最后一个案子看的偶燃起来了，萌啊            
(4星)	 看过的国产电视剧真不多，但是有几部真的要值得铭记。满江红。配乐实在非常好。            
(4星)	 我喜欢刑侦及类似的片            
(5星)	 反正前两天跟着我姥姥陆续看了点儿~            
(4星)	 也只看了一些，还行吧            
(4星)	 电视上只播这。。。我能怎么办            
(4星)	 英姑和宋慈啊            
(4星)	 演员个个没的说            
(5星)	 何冰不愧是演话剧出身，把宋慈真演活了，剧情其实一般，但是为了几位演员的表演多给一星！            
(4星)	 我很喜欢这部电视剧，尤其是男主角            
(4星)	 算是内地不错的悬疑推理剧了男主把宋慈演的起码让我觉得信服            
(3星)	 剧情还不错，看到何冰读错台词以后就米有再看过            
(5星)	 独辟蹊径的古代探案剧，有一种一口气看了N场话剧后的畅快淋漓感            
(5星)	 宋慈太有官威了.....            
(4星)	 何冰的表情要是偶尔能轻松点就好了，总是端着有点累。 瑛姑是亮点，但是罗海琼有点老            
(4星)	 无视错别字的话，还不错~            
(5星)	 巨喜欢这片子,超过狄胖子            
(5星)	 最喜欢片尾曲            
(4星)	 中国为什么这么少推理片            
(4星)	 何冰入戏得很 是很认真的演员            
(5星)	 片子比较朴实，片尾曲很赞，配得很好            
(4星)	 挺喜欢何冰的，尤其看了杨亚洲的《浪漫的事》以后。            
(4星)	 好看啊，每次电视台放都忍不住还要看虽然看了很多回。            
(4星)	 没看全，但还蛮喜欢的啦。            
(4星)	 当年的年华            
(3星)	 开始几集有点特色，到后来就回到了少年包青天的老路上了~~缺乏创意和内容~~可看可不看~            
(5星)	 很好看            
(4星)	 cctv8            
(4星)	 比什么包青天之类的好多了~！            
(2星)	 这就是一部想当婊子又要立牌坊的装B剧，又想赶时髦搞刑侦破案又想端架子唱京戏。一边凉快吧。            
(5星)	 好棒            
(3星)	 何冰还不错            
(5星)	 大陆很值得一看的推理            
(5星)	 也很好~！            
(5星)	 结局。。很无奈，一年多了，现在还记得            
(5星)	 第一部明显比第二部好看。还是喜欢原配演员。            
(5星)	 案情环环相扣，和柯南有的一拼。            
(NA)	 对剧情记不太清不过挺喜欢片头曲的~~~嘿嘿~~~            
(5星)	 片头片尾的词写的非常好            
(5星)	 结尾的片尾曲很别致，虽然情节有点拖沓，但是感觉很有心思，有点稍稍主旋律，但是个人感觉比狄仁杰感觉好            
(5星)	 他演的很不错！！            
(4星)	 从此片可以看出真正的法治是多么得不容易。            
(NA)	 孟良辰。。。呃。。。            
(5星)	 国产剧中难得一见的古装推理片，有故事、有人物，值得几看。            
(5星)	 广东台播了这个电视剧之后我每天晚上熬夜看到5点。。。。。            
(5星)	 何冰，帅呆了！继梁朝伟之后第二个让我热血沸腾的男人。。。。            
(5星)	 好剧            
(5星)	 真没想到何冰能演的这么好！            
(5星)	 很真實！            
(4星)	 非常不喜欢宋慈那演员。            
(4星)	 还是很有推理情节的～～～就是片子总是那么冗长            
(4星)	 给四星，不是演的不好，而是看着心里难受。几千年了，没有什么变化。。。            
(NA)	 挺不错！            
(NA)	 还不错，小时候很喜欢，跟着老爸看的~            
(5星)	 宋朝悲剧的根源            
(4星)	 何冰是喜欢的不红的演员之一            
(NA)	 小头慰安妇            
(3星)	 对于剧情早已忘却 却独留那段片尾曲的旋律在脑海            
(5星)	 一直喜欢看此类题材的故事。            
(5星)	 少有的一部只讲案少讲情的电视剧            
(5星)	 何冰是个演戏好的人。这部剧比少年包青天严禁精密多了。            
(4星)	 经典            
(4星)	 主题十分曲棒。 好。             
(4星)	 我就喜欢悬疑破案片……            
(4星)	 有好几个案子是抄《聊斋志异》，啊哈哈，蒲松龄老先生，您的版权没人维护啊~~~~~~            
(4星)	 李府案 留扇案 私奔案            
(4星)	 让我想想那是读研究生的时候的事情了，2004年？宋慈红遍我们宿舍，每天中午吃饭的时候大家都挤在电脑前看提刑官，虽然有些验尸手段很忽悠人，但还说的过去，之后的续拍没有再拍，害怕审美疲劳            
(5星)	 记得为了看这部电视剧，考试都不顾了。            
(NA)	 好!            
(5星)	 结局很无奈，但是比较真实            
(4星)	 ＭＳ宋慈是家乡人～            
(4星)	 进展慢了点。有些破案细节交代的还是有点莫名其妙            
(5星)	 比狄仁杰好太多了~~~            
(3星)	 这片是05年拍的吧，记不太好了            
(4星)	      精彩的案件弥补了演员无色的缺憾~            
(5星)	 片尾曲不错            
(5星)	 思维缜密！逻辑性极强，只是觉得在宋慈失手的案子处，处理的太过轻率，违背了人物性格！            
(4星)	 觉得何冰最适合演宋慈            
(4星)	 还不错            
(5星)	 很有创意，不错，里面关于验尸的比较多，呵呵，好玩            
(3星)	 结束时念的诗，喜欢····            
(5星)	 还是有蛮多老戏骨的，电视上重播的时候也能再跟着看下去，何冰演得真到位            
(4星)	 不错，美中不足的是有那么点矫情，外加情节拖沓~~~            
(4星)	 不错，实在            
(NA)	 看过不多的让我想继续看下去的国产电视剧            
(NA)	 国内难得一见的推理佳作            
(NA)	 断断续续地没看全，但很喜欢这部片的感觉，每个故事都扣人心弦，就连片头片尾的设计都让人留恋，何冰演得也相当有水准！            
(5星)	 跟瑛姑在一起吧            
(5星)	 何冰太棒了~            
(NA)	 不错的片子。主要是逻辑推理方面很不错。            
(4星)	 好看，歌好听            
(4星)	 老爸买的碟            
(4星)	 皇上圣明，不能再查了            
(3星)	 提刑官倒是不怎么像，更像警察            
(5星)	 我和老爸一起看的电视剧之一~            
(4星)	 跟我爸一起看的。。有些场景还蛮恐怖的            
(4星)	 最喜欢宋慈对痕迹的检验和推理，这可比福尔摩斯早好几百年呢。            
(5星)	 古装经典            
(NA)	 喜欢。开始喜欢何冰            
(NA)	 还不错，剧情有点意思，表演不做作            
(NA)	 好看！            
(5星)	 续集PASS好的只有这一部……而且主题歌美翻了TT3TT！！！            
(3星)	 一般般            
(5星)	 高三的暑假 特殊感情            
