http://movie.douban.com/subject/2268654/	美味天王
(2星)	 白瞎了这么多大牌            
(5星)	 绝对好看。邓一君。古天乐。哈哈。            
(4星)	 哇哇哇~真是星光璀璨哦~所有你能想到的我们那个年代的tvb重量级演员们 都能在里面找到。一张张脸嫩是嫩的咧 有剧情 有音乐。再加上港剧独有的幽默感 和看上去好好吃的美食。和现在华丽丽的港剧相比 纯粹了许多。每一集都能让你笑到合不拢嘴。            
(4星)	 歌唔错！            
(3星)	 记住了里面一首插曲《在森林和原野》            
(3星)	 这种片子没什么特别推荐的，喜欢看的人就可以看看，TVB情结而已            
(3星)	 好像有看，肥姐的戏都是笑点阿。            
(4星)	 看到中间跳了 不过是轻松好玩的            
(5星)	 爆笑TVB，当然还是要看粤语版            
(5星)	 值得翻煲。            
(4星)	 超喜欢            
(3星)	 好多明星啊，强大的卡司居然是这么烂的剧情，12集弃，其实我真的忍很久了==            
(4星)	 搞笑            
(5星)	 荷，22，33~~~同剧啊，不容易啊~~~以后都没机会了~            
(4星)	 张可颐你为嘛总是这么2这么going我？            
(5星)	 我爱古天乐。可爱的大舌头。            
(5星)	 小时候送饭的剧集，陪我长大的肥姐            
(5星)	 ！！！！！！！！最爱啊！！！            
(5星)	 大汇演级别的！            
(4星)	 Bobby虽然一直都系我噶爱，不过依套剧噶美食方面一般            
(5星)	 好搞笑啊啊啊啊啊 好喜欢欧阳震华！            
(4星)	 無厘頭喜劇~劇情真的還好但是龐大的演員陣容很加分~            
(5星)	 好热闹            
(4星)	 恶搞            
(4星)	 經典中的經典！            
(3星)	 嘎嘎嘎~n多一线客串的牛星啊！            
(5星)	 好搞            
(5星)	 很歡樂的一套=3=            
(3星)	 小学时候看过。我想起了另一部港剧《美味情缘》~~            
(4星)	 请问先生贵姓?我姓何,叫我B仔就得了.            
(NA)	 挺搞笑。            
(5星)	 只要是我喜欢的，叫得出名字的，全在里面了。太强了，太牛了。极品。好笑。值100星啊。没有21世纪难看的新人出来插科打诨，也没有让我接受不了的配音。            
(4星)	  喜欢欧阳震华 演的电视！            
(4星)	 太好笑了！            
(3星)	 追忆            
(5星)	 喜欢欧阳震华            
(4星)	 好好味啊            
(4星)	 意外就是我因为插曲喜欢上听杨千嬅~            
(5星)	 又是一套午间剧场一再重播的~劲喜欢            
(5星)	 经典！大牌云集呀！            
(3星)	 其实是有点郁闷的电视剧，特别是欧阳震华的造型~~            
(3星)	 经典搞笑            
(NA)	 类似歌舞剧，正如日中天的关咏荷，搞怪的宣萱，傻乎乎的张可颐，小制作的花旦历练剧            
(4星)	 啊..小学的回忆            
(3星)	 轻松片            
(NA)	 这部片子超级搞笑。嘿嘿。喜欢关咏荷。欧阳震华好可爱。。。            
(4星)	 经典            
(5星)	 来来来～大家欢乐地数明星喽～            
(NA)	 当时看的好欢乐            
(3星)	 学粤语            
(5星)	 欧阳的胡子很搞笑            
(4星)	 翻出老片看，个个都是颠覆形象的出演啊！从头笑道尾！啊哈哈哈哈            
(5星)	 果然还是以前的搞笑剧好看~~~            
(5星)	 真是受不了boby的发型，不过也是笑点之一。这个戏真的很好看！            
(4星)	 当年算是非常出色的一部搞笑剧            
(5星)	 经典啊            
(4星)	 怀念肥姐!喜剧!值得看!            
(4星)	 还是不错的，喜欢宣萱在里面的神经质表演，还有那首迷魂阵            
(3星)	 口吃男            
(5星)	 粤语的情歌很好听            
(3星)	 一开始以为可以像食神一样，能看到出神入化的做菜场面的，后来发现真是纯喜剧            
(4星)	 好老了            
(NA)	 发觉原来我睇过甘多Bobby嘅戏            
(4星)	 搞笑咯..还有就是我喜欢关于一切吃的...            
(4星)	 歌仔仲记得点唱            
(5星)	 这部戏不很红但是绝对经典爆笑，而且演员阵容真的好强大（那时他们好像都还未红）真的很好            
(5星)	 無得頂/////重溫至23            
(5星)	 喜欢古天乐            
(5星)	 TVB众星云集~刚刚看完，基本上从头到尾一直很喜剧，结局也是个大团圆，不过欧阳震华真的是看多了就觉得不好看了，倒是古天乐和张可颐那对特别的配，还有那首两人对唱的歌，当年肯定很红，小丁真是可怜，到头来孤身一人，超喜欢邓一君的，在里面很出彩~丝毫不比大牌差            
(5星)	 很台庆剧~            
(3星)	 觉得吧，这其实是一部很无聊的片……虽然有那么多的大牌……            
(4星)	 好吃的            
(4星)	 古天乐，其实还有candy杨千嬅咧~            
(5星)	 欧阳震华——脑袋大脖子粗，不是老板就是伙夫            
(4星)	 好好味的～！喜欢关&amp;欧阳震华 第一次认识林峰 虾头～！            
(4星)	 以前的好看咧·            
(NA)	 娥姐与bobby再续情缘。。。            
(5星)	 when i was young, i couldn&#39;t help  to like it             
(4星)	 BOBBY和古古的组合，很好看            
(3星)	 [BSc] 阵容够大            
