http://movie.douban.com/subject/2343687/	大汉天子
(NA)	 那时的小明还没有闹太套            
(NA)	 东方朔好萌的。。。            
(NA)	 我只是马克一下            
(NA)	 那时候的黄晓明还是挺惹眼的。            
(4星)	 那时候黄晓明还正常者            
(4星)	 为什么黄晓明成这样了。。            
(4星)	 四星完全是陈道明和贾静雯的关系。            
(3星)	 当时觉得教主很帅            
(NA)	 就第一部稍微好点。。。            
(4星)	 嗯，演员表第一个不是天子。。。            
(4星)	 不装逼的晓明多好             
(3星)	 就历史角度说，烂片一部，但是这里有最心水的卫子夫            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 当年爱死刘彻了            
(NA)	 南京理工寝室，挂有小红绣花鞋垫蚊帐，天气炎热，初看即被吸引            
(3星)	 这是一度对黄晓明产生好感的时代 陈道明太有范儿啦！            
(4星)	 黄晓明好帅。            
(3星)	 =0= 嘿…            
(4星)	 我觉得黄当时的表演已经有点过了,但是用在这个刘彻身上刚刚好,少年天子有霸气.结果他之后更夸张了..            
(5星)	 当年很迷。            
(NA)	 喜欢晓明就是因为这部戏咯。            
(5星)	 除了这片子，对黄晓明实在没好感            
(NA)	 额==            
(NA)	 高考之前，N多人狂偷看，男生都振振有词，没办法，美女云集，美女云集啊            
(5星)	 黄晓明就这个角色演的最成功。后来完全是被张*中给毁了。            
(5星)	 美女太多            
(NA)	 高中的时候看的，似乎是。。            
(NA)	 一只闲云中的野鹤            
(5星)	 电视剧             
(3星)	 不错的电视剧            
(5星)	 小明很的很帅。            
(5星)	 明叔            
(3星)	 其实还行。            
(4星)	 秦皇汉武，同为一代风流            
(3星)	 虚构………………            
(3星)	None
(4星)	 很久以前看的，只记得很好看。那时候小明还不2，看着道明叔留口水            
(3星)	 为当年的感觉加一星            
(4星)	 那个时候觉得黄晓明还蛮帅……            
(4星)	 当年教主还不错，看看，看看，现在残成啥样了            
(4星)	 黄晓明这个时候还是演员            
(4星)	 小明哪里不好了……=。=            
(4星)	 陈道明！            
(4星)	 那个时候黄晓明还没有现在这么惹人厌。            
(4星)	 和皇帝称兄道弟都是没有好下场的。李陵小朋友又可爱又苦逼，和秋蝉的感情也挺自然动人，当年太子党里的小弟，不过是个孩子，就这么被兄弟和九哥的背叛逼迫着成长。阿秀的第一部戏，清纯可人啊！第四颗星给陈叔叔，气势力压全场。掌柜的没胡子看起来好不习惯...            
(4星)	 我只记得咬咪咪的那段            
(5星)	 黄晓明那时候还蛮有气场 跟了大胡子就被搞瞎了             
(4星)	 那个时候的晓明哥明明很帅= =            
(4星)	 当教主还不是教主的时候。            
(4星)	 深深地为东方慧和念奴娇的古典含蓄的爱情所倾倒~~            
(4星)	 我那时候还是很喜欢黄晓明的，觉得星目剑眉很配得上他啊。            
(NA)	 好吧 初中有电脑了但是我还是蛮爱看电视的            
(5星)	 那个时候，黄晓明还是黄晓明，他不是教主，也不是闹太套。。。。。            
(4星)	 黄教主那时候多俊啊            
(4星)	 晓明哥你曾经也是个帅哥，曾经也很正常，曾经也让我花痴过。            
(3星)	 为了看历史            
(5星)	 那个风格，啧啧，是剧本沾了历史的光啊            
(4星)	 那年黄晓明还不是那么的二            
(1星)	 扯淡            
(4星)	 那时候我还很喜欢黄晓明。。。            
(5星)	 当年很喜欢黄教主            
(4星)	 印象中还挺不错的一部剧            
(4星)	 其实教主演的第一部还是挺不错的            
(3星)	 陈道明加分            
(3星)	 我一直认为黄晓明应该是这个时候才出道的。            
(4星)	 我那时还挺爱看            
(NA)	 说实话，教主在这里还是挺霸气外露的。            
(4星)	 晓明黄当年很帅一点也不2的！            
(4星)	 这时候黄晓明还是正面腔调帅哥形象，不知道怎么会越变越二。            
(4星)	 当时觉得黄晓明太帅了 不过不尊重史实  觉得《汉武大帝》更好些            
(3星)	 晓明啊~ 当年你还正常~~            
(4星)	 早年看的，黄晓明塑造的最成功也最深得我心的角色便是刘彻。喜欢卫子夫，喜欢陈道明。            
(3星)	 主要是去看陈道明。            
(4星)	 为念奴娇。            
(4星)	 刘陵太tm贱了，色诱张汤，还想鼓动东方朔。。不过整部剧把东方朔太神话了，历史上的东方朔能吹善逗汉武帝 汉武帝黄晓明演的不错 很有皇帝风范，把一个雄才大略，个性张扬的皇帝演的十分到位。李陵很可爱，还有喜欢的贾静雯 王灵版的卫子夫属于第二眼美女。            
(2星)	 李陵怎么可能和刘彻是同一代人...            
(4星)	 当年最喜欢东方朔啊陈道明神马的了            
(3星)	 秋蝉            
(4星)	 恩，不错。黄晓明其实演的还不错这里面            
(4星)	 再也回不去的黄晓明~~            
(4星)	 喜欢它的主题曲            
(4星)	 高中的时候全班同学一起在教室看过...            
(3星)	 那时的卫子夫还是很可爱的            
(4星)	 那会儿 的黄晓明 还挺正常            
(NA)	 第一次 认识黄晓明            
(4星)	 我喜欢这个时期的黄晓明。            
(3星)	 当年初见黄晓明惊为天人啊            
(4星)	 贾静雯跟陈道明，我怎么都觉得怪。            
(4星)	 当年哈你哈得要死，还有他演的张汤            
(5星)	 那时候的刘彻真是好看。。。            
(3星)	 还不错            
(NA)	 东方朔            
(4星)	 经典。            
(4星)	 道明叔~            
(3星)	 敢情汉武帝还喜欢过一个青楼名妓，敢情“念奴娇”这词牌名就是这样来的……            
(NA)	 滿經典的            
(3星)	 前半段编剧不错            
(5星)	 那时候滴黄教主和贾静雯都是最佳状态吖～            
(4星)	 这时候开始认识黄晓明了，他也基本开始火了。强力大配陈道明之东方慧，倾倒众生啊，才貌双全，贾静雯的念奴娇其实也挺搭。            
(4星)	 这片子里的黄晓明还是很顺眼的，后来就被张纪中毁了。            
(3星)	 天哪，黄晓明弹一边儿去吧。那会儿我是多羡慕贾静雯啊。            
(NA)	 美丽的她~为了东方朔和念奴娇两个虚幻人物搬着看了很久的大汉天子。知道了金屋藏娇的刘彻和痛彻心扉的皇后让司马相如作的长门赋。印象不深，只记得老太后那恐怖的白花花的脸。。。。            
(4星)	 第一部始终才是最好看的。            
(4星)	 一部比一部烂            
(4星)	 黄晓明这部戏里太正了！            
(NA)	 槿夜你逼我。。            
(5星)	 成功的剧本，成功的cast            
(3星)	 我竟然看过这个……………………………            
(3星)	 那时候就萌上陈道明和贾静雯那对额。            
(NA)	 当晓明同学还靠谱的时候，混在年轻人中的道明大叔十分不靠谱。            
(3星)	 当初似乎很火……            
(3星)	 不咸不淡的黄晓明的不咸不淡的剧            
(4星)	 喜欢他的起点            
(3星)	 黄晓明挺帅            
(4星)	 念奴娇～            
(4星)	 - - 那时候每天晚上看到很晚然后第二天去学校讲给同学听啊就！结果家长会上人家妈妈来告诉我妈妈啊！！= =            
(3星)	 那个时侯的HXM还是不错的            
(5星)	 嘿嘿~太喜欢啦~            
(4星)	 黄晓明还是不错地~~            
(4星)	 黄教主还不是教主的时候我挺待见的，刘彻演的挺帅的啊            
(4星)	 平阳公主与卫青            
(4星)	 虽然与史实大相径庭，不过故事很吸引人，道明大哥啊，这部里的黄晓明让我惊艳（后面的作品就算了）            
(3星)	 三星半，还不错啊            
(4星)	 看黄晓明！！            
(4星)	 以前看的时候还蛮喜欢黄晓明的！            
(5星)	 当年的黄晓明还没有那么会装酷            
(5星)	 一看喜欢上了晓明。            
(4星)	 美女啊美女 ～～            
(4星)	 不仅喜欢里面的人物,还喜欢主题歌            
(3星)	 偶妈妈的历史剧.....            
(3星)	 我还迷过黄晓明哦..            
(4星)	 喜欢贾静雯            
(NA)	 还较喜欢            
(3星)	 喜欢这个卫子夫            
(NA)	 刘彻披上龙袍的瞬间，让俺萌得一塌糊涂……            
(3星)	 一代风流~            
(4星)	 从小就爱看古装片。。。            
(4星)	 喜欢这时候的黄晓明。            
(4星)	 历史上著名的皇帝,在导演的镜头下，他的残暴，他的恐惧衰老,似乎也有了让人同情的理由,电视剧就是这么容易糊弄人            
(1星)	 爛就一個字！            
(3星)	 316的记忆之一            
(4星)	 东方朔 东方朔~~            
(4星)	 當年黃曉明還不是教主，也沒有那麼鬧太套。真愛陳道明。            
(NA)	 我爱道明叔叔。。。            
(4星)	 彼时的小明哥还是很赞的！            
(4星)	 7.8            
(4星)	 4星给道叔和商蓉            
(4星)	 那个时候的小明哥我可待见了。            
(5星)	 当年的小明哥还不是教主，还不会说闹太套~~            
(4星)	 电视剧好不好看，看什么电视剧不重要，重要的是能回想起当初在一起看电视的人和互相调侃的欢声笑语~果然美好的时光都能留在记忆里            
(NA)	 那时候黄晓明还没整容呢吧，还记得里面的东方朔和李广都被改名儿了…陈道明和贾静雯这组合真诡异            
(3星)	 后来听钱文忠说三字经才知道汉朝土德皇帝不可能穿黑色。            
(5星)	 好喜欢东方朔，这部电视剧是黄教主最美好的时光。这部是我最喜欢的古装剧，没有之一！至于后面的续集不过是狗尾续貂罢了~            
(3星)	 国产古装片退化滴开始            
(3星)	 卫子夫。东方朔。            
(1星)	 黄教主 在里面好青涩。演的虽然莫名其妙的。            
(3星)	 其实想看黄晓明和贾静雯一起的            
(4星)	 对歌词印象很深 守业更比创业难            
(5星)	 美女帅哥什么的~金屋藏娇什么的~            
(NA)	 我不喜欢这个卫子夫……            
(5星)	 念奴娇真心漂亮            
(5星)	 东方朔            
(5星)	 第一部很惊艳哎             
(4星)	 像东方这样的大叔，任谁都会迷恋，好不？            
(5星)	 大爱， 陈道明魅力无穷啊，结局李陵和秋蝉，唉，心酸            
(5星)	 初中天天晚上竖着耳朵贴在门上听客厅的动静，具体点，听大汉天子！（lol）            
(4星)	 喜欢 道明叔客串总是惊人的出色 不论是大汉天子还是少年包青天            
(3星)	 不记得演了啥~有个陈阿娇吧？            
(4星)	 对比现在的古装片值四星            
(4星)	 陈道明 陈道明 陈道明            
(5星)	 我为神马那么喜欢卫子夫啊卫子夫。好想娶来做老婆，看她幸福我就幸福。。。            
(5星)	 当年的黄晓明很不错 贾静雯和陈道明的加盟很有看点的还是            
(3星)	 卫子夫。。。            
(NA)	 很遥远很遥远的记忆。。。。            
(4星)	 我就记得他们仨儿那几张脸= =            
(3星)	 黄二教主继续。觉得这部还好的~            
(5星)	 还是以前的古装剧好看，片头片尾曲都好听。            
(5星)	 黄晓明！            
(5星)	 第一部最有味道！！大爱呀！~~ 后来换人觉得连些剧情历史都改掉了~~ 特别是大爱陈道明的东方朔！！比王刚的感觉好太多！！~~             
(3星)	 历史古装剧我总是很喜欢的，陈道明的演技真是无可挑剔。            
(4星)	 当年还不认得黄教主，就觉得这片还蛮好看的啊~            
(4星)	 教主那个时候认真演戏的时候我还真的蛮喜欢的。。。可惜啊。。。            
(4星)	 黄教主那时候还行            
(4星)	 当年黄晓明还是非常美好的            
(5星)	 很多的故事给我们不少惊叹，最惊叹的是有这么帅的皇帝，我也想穿越了            
(NA)	 三星。            
(3星)	 教主颜最正之时            
(3星)	 我只能说~~~皇宫里的人意外地善良            
(4星)	 看陈道明去吧，看东方朔和念奴娇的爱情去吧            
(3星)	 那时黄晓明还看得过去            
(4星)	 道明叔哈帅。。。            
(3星)	 那时候，黄教主还不是教主。。。他只是一个小明            
(NA)	 小明唯一不傻逼的戏啊.....            
(4星)	 陈道明依旧是个帅哥 彼时教主还没成为教主            
(3星)	 其实 我不明白闹太套为什么因为这戏火了，也不明白贾静雯的念奴娇如何美艳，因为我的动力是 明叔 李陵 和秋蝉啊，还有那个刘陵才是真的美艳好吧。而且大汉天子2连这仨都没了，难道要我看教主邪魅狂狷么~            
(5星)	 美人泪杯中酒，天下任丈夫肩            
(3星)	 那年青涩的少年啊……            
(5星)	 里面的好演员很多            
(4星)	 让我有动力看第二部的电视剧，虽然很长            
(4星)	 ...            
(4星)	 贾静雯的念奴娇             
(5星)	 陈道明            
(NA)	 黄晓明最顺眼的时候            
(4星)	 好惊艳的陈道明。。当初还萌过他和贾静雯这一对=，=            
(5星)	 五颗星，打给陈道明和陈莎莎的演技还有对汉朝历史的热爱。为女当为平阳公主那样的女子，智慧当如东方朔。            
(5星)	 曾经少年！            
(5星)	 “何必回头伤往事，且把风流唱少年。”骚年我真是太稀饭当年剧里面的那些少年了&gt;&lt;掩面            
(4星)	 喜欢这里面的黄晓明~还有卫青好可爱啊！            
(4星)	 教主雄风，汉武寂寞            
(4星)	 那时候教主还不是教主，贾静雯的胸还没有下垂。            
(4星)	 据此我爱上了黄晓明，爱上了汉武帝的历史。            
(NA)	 想当年，闹太套是个何其婀娜又多姿的少年啊。。。。            
(5星)	 大汉天子 明动天下            
(4星)	 有陈道明的片子肯定是要看的            
(2星)	 教主的颜还是过关的，剧情拖沓            
(4星)	 那个时侯陈紫函还没有垫下巴。。。美的啊~            
(4星)	 小学时候还蛮喜欢的电视剧            
(NA)	 那时候还不是黄教主            
(3星)	 一分是给黄2的            
(4星)	 陈道明真是挺适合演这种人的，那时候黄晓明还不是教主            
(NA)	 恩 喜欢贾静雯            
(4星)	 为什么以前觉得什么电视都好看呢？现在倒是挑剔了            
(4星)	 刘彻刘彻，迷倒多少女子            
(4星)	 汉武帝时期历史初印象            
(4星)	 黄晓明也就这个系列拍得蛮好            
(4星)	 教主对贾静雯缩：“我相信我们是相爱的，我觉得你对我是有感觉的。”贾静雯：“你妹，姐姐喜欢的是道明大叔好么，小屁孩滚一边去。”“你！！！”教主咆哮了。            
(5星)	 当年的教主横空出世，真是【秦时明月汉时关】啊！            
(5星)	 比起黄教主后来的电视剧,这是最正常的一部了.何况还有人类不能阻挡的陈道明!!!女角里对贾静雯无爱,但是大爱平阳公主陈莎莎(当时她没改名也没整容,要多美有多美,温婉高贵)和反派李陵~话说那也是我最后一次看到少包里的飞燕...            
(4星)	 喜欢陈道明。            
(5星)	 陈道明永远那么...            
(3星)	 那时候躲在门口偷偷看哦            
(2星)	 扭曲史实啊！            
(3星)	 陳道明演的真好            
(5星)	 黄晓明   我最喜欢的也就是这部戏了            
(4星)	 卫子夫 东方朔            
(NA)	 念奴娇很美。其实秋蝉也很美。            
(NA)	 看了不会高兴的剧。。            
(4星)	 黄晓明那时候还不会说闹太套            
(5星)	 第一部大汉天子是拍的最成功的~~~            
(4星)	 喜欢小陈和小贾            
(4星)	 陈道明实在太帅了 以及那时候小明还不是教主呢 哈哈            
(4星)	 又一童年回忆。            
(4星)	 小明你肿木了……汉武帝还是蛮霸气的嘛……            
(4星)	 那时少年各种剧~~~其实这部剧里晓明还是有点腔调的~            
(3星)	 刚出道的黄晓明还是很有第一眼的爱的            
(4星)	 就是不眨遵照史实啊  不过很爱看            
(4星)	 小时候真心觉得还挺好看的。。            
(4星)	 因为有陈道明的东方朔，所以感觉很出彩~            
(4星)	 很喜欢明叔和念奴娇，公主也很美            
(4星)	 黃曉明真的很帥的            
(4星)	 很好看！黄晓明在这里面才叫真的帅到巅峰！陈道明也很有味道。。            
(3星)	 东方朔。            
(5星)	 无法超越的大汉天子在我心中的形象~~ 深受影响            
(5星)	 东方朔 念奴娇            
(4星)	 东方朔。谁能告诉我为什么后来所有的电视版本“东方朔”全部变成“东方慧”了？            
(4星)	 第一部还不错，有陈道明的片子总是还能看的            
(3星)	 现在很讨厌黄晓明            
(5星)	 明叔。。。从这一部开始爱明叔            
(4星)	 那时候很喜欢刘冠翔和刘怡君，可爱的小秋婵~~            
(4星)	 那时，觉得黄晓明各种帅。道明叔就不用说了嘛            
(3星)	 道明帅啊，真心帅。            
(4星)	 美丽的卫子夫...            
(3星)	 当时的教主真的不是现在这个讨厌的样子            
(4星)	 念奴娇            
(NA)	 哇，黄晓明。。。            
(4星)	 发式服装很好看，为此而想穿回汉朝。贾静雯很好看。            
(4星)	 的确有少年天子的感觉。            
(5星)	 当年很惊艳呐~            
(NA)	 看过一部分，确实是传奇啊            
(5星)	 我是看着你长大的。            
(4星)	 当时的教主还是很不错的~~            
(3星)	 二明很帅气，剧情很狗血。            
(3星)	 喜欢前半段~ 黄晓明那时候还是刘彻，那个嫩啊~            
(3星)	 那时的黄晓明还是挺待见的。。可是为何后面。。。越来越看不惯了            
(2星)	 L果真好眼力，那时起就哼哼着男主帅~~            
(NA)	 教主，当初的你是多么的帅气有演技，怎么就成了现在的魅惑狂狷君            
(4星)	 爱看美女帅哥~            
(4星)	 黄晓明演的最好的电视剧            
(5星)	 那时候看贾静雯惊为天人啊，那时候陈莎莎还不叫陈紫函，那时候都是黄晓明还是帅哥，那时候李陵还没演石秀！都是好苗子啊，都毁了            
(4星)	 话说当年挺喜欢的。            
(4星)	 历史上皇帝来个排名，刘彻绝对可以进前三！甚至问鼎！而东方朔一直都这么神秘~陈道明好帅呀~~这电视剧也不错~~半戏半历史~~            
(4星)	 虽然这部没有宏大的之作，没有唯美的画面，剧情也有点不符合历史。但是故事很好，名人很多，经典类            
(4星)	 看后收获了一枚偶像--飞将军李广            
(4星)	 当年教主还不2            
(4星)	 刘冠翔和黄晓明帅啊            
(4星)	 东方朔，哎呀呀，老魅力啦！！！            
(4星)	 如果我说还挺好看的会不会被批= =            
(3星)	 我还记得念奴娇            
(NA)	 那时候黄晓明还不是黄教主            
(4星)	 囧明那时候真的很帅啊，感觉和电视剧的人物契合度很高的            
(4星)	 那时候还不讨厌黄晓明~陈紫函没改名也没整容的时候其实更有气质~后来看原著说陈道明演的东方朔只有28~当时我震惊了~            
(5星)	 最近在看，曾经朋友很推荐的，还不错            
(3星)	 黄晓明在这里给我的感觉还是不错的。            
(4星)	 黄晓明早期最好的剧集。            
(4星)	 维天有汉            
(4星)	 何必回首伤往事，且把风流唱少年。            
(4星)	 第一部好看，主要是卫子夫和霍去病            
(4星)	 好看，里面有好几个人物都很喜欢，哈哈            
(4星)	 有点意思的 东方朔测字略牵强。。。            
(3星)	 越往后越糟糕。            
(5星)	 和爸爸妈妈一起看的。初中时代。            
(4星)	 小时候我觉得这片儿简直了 太好了  虽然现在主角闹太套了 但片儿本身的印象还是好            
(4星)	 还可以接受。            
(3星)	 东方朔与念奴娇            
(1星)	 听见教主的笑想扇他，喜欢看秋蝉            
(4星)	 对于历史很差的我可以补点功课。里面的测字解字挺精彩的。几个半历史的故事也很不错。。。            
(4星)	 当年看的黄晓明的第一部戏，然后觉得李陵和教主都很帅！不过后来肿么教主就变成教主了捏？            
(4星)	 东方朔            
(3星)	 就看陈道明的~            
(4星)	 初中。当年还是很萌黄晓明的呃。。卫子夫长得有点味道~            
(3星)	 就是一电视剧            
(3星)	 当年黄晓明演这剧的时候还没长猥琐，现在完全废了            
(4星)	 童年的回忆啊啊啊。            
(4星)	 那么多年以后又看了一遍……好看的丫……就是肿么找不到念奴娇和东方慧最后的镜头捏……            
(4星)	 陈道明啊陈道明！            
(4星)	 看了一遍又一遍啊~嘻嘻            
(3星)	 当年教主还没现在这么。。            
(NA)	 那时候我挺喜欢黄晓明的            
(5星)	 童年的回忆啊            
(3星)	None
(4星)	 当年的黄晓明那个白净！！！            
(4星)	 为主题曲加颗星~            
(4星)	 重温了一遍...            
(NA)	 那时候觉得黄晓明的背好驼            
(NA)	 陈道明可看            
(3星)	 为看一场情            
(3星)	 当年我还觉得2教主演的挺好的呢。。。            
(4星)	 我觉得是很香艳的一部电视剧= =            
(NA)	 黄教主应该就是这部红的= =            
(3星)	 大爱陈道明啊            
(4星)	 第一部实在是好看的不得了，和爸爸一起看            
(5星)	 喜欢睿智的人，喜欢陈道明。            
(NA)	 爱上闹太套的第一部            
(4星)	 完整的看完的一部            
(5星)	 没有道明我根本不会看晓明那娃儿穿个龙袍耍威风。            
(3星)	 真心不喜欢黄教主~~~            
(3星)	 喜欢阿娇的说            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(4星)	 多么希望黄晓明一直是那时的黄晓明啊            
(4星)	 真的很好看的一部～ 虽是戏说，但很荡气回肠！            
(4星)	 只为陈道明啊~            
(5星)	 难得的历史正剧经典。道明叔的演技一如既往的令人感慨。            
(3星)	 星星都给陈道明            
(3星)	 陈道明和贾静雯的老少配，黄教主的早期的惊艳，真是满足了YY的乐趣啊            
(5星)	 教主的青春时代            
(3星)	 当时超喜欢卫子夫的。。            
(5星)	 那时候教主还不是如今的教主，那时候道哥一直是如今的道哥            
(4星)	 当年黄晓明还不得瑟，陈紫函最美的角色，陈道明恕我实在不懂欣赏...anyway,这部还是可以看看的            
(4星)	 黃曉明那時還沒成鬧太套 賈靜雯那時還沒跟前夫爭孩子鬧得滿城風雨 陳紫函那時還叫陳莎莎，還沒奮力一脫卻跟艷照門撞期 不過幾年時間 這世界變的很快~            
(4星)	 当初第一次看到黄晓明            
(5星)	 当面不要太喜欢霍去病哦            
(3星)	 教主还是很英武的            
(4星)	 明叔V5！            
(5星)	 我第一次看大汉天子是我在初中的时候，那时候是因为黄晓明而看的  后来喜欢这部戏那时候印象不是很深  第三部是在高考后看的看的还是后几集  那时没把握气死了  汉武帝跟他出生入死的好兄弟最后一个个都死了 他的儿子  老婆都离他而去 最后他是孤独的寂寞的 看得我很心疼  我很喜欢这部            
(4星)	 不知为何，很喜欢这里的黄晓明，演的很棒            
(4星)	 情节简直超级精彩。当时初中回家一集集追看，好怀念啊。后来他们都叫我九哥。            
(1星)	 给1个星是因为陈道明演技还是一流的，可剧情太无聊，所谓的仗义、为红颜，都是那么的虚假，坏人不够坏，好人总是有人保佑，死活不会被整的。特别是第一集开场白，年迈的刘彻（黄晓明）的配音也太年轻太假了吧！真不是个好片子！历史虚构得乱七八糟的，字幕还错别字一堆！            
(4星)	 虽然有很多和史实不符，还是很喜欢看~            
(4星)	 黄晓明当时多么帅            
(4星)	 就觉得东方朔很牛逼 贾静雯好看            
(4星)	 总觉得陈道明和贾静雯 不是一个世界的人            
(NA)	 那是教主还不是教主..            
(3星)	 明叔！！想看你在屏幕上恋爱缠绵真不容易！！！            
(1星)	 剧里的称谓好雷啊            
(NA)	 教主当年英姿啊            
(4星)	 当时的黄晓明还不让人讨厌            
(5星)	 我好喜欢卫子夫啊~觉得她好漂漂~            
(4星)	 除了黄晓明都还行            
(4星)	 黄晓明的大汉天子让我一直追着看完了，那时候最先看见他的时候是在陈小春的一部电视剧中扮演一个杀手，那时候刚看见他还觉得很不错。后面他大红大紫了，反而不感冒了。            
(3星)	 = =除了人名，这部有一点和历史挂上边的地方没……然而这里面的卫子夫真是太萌了！            
(3星)	 晓明哥那时候还不叫黄二哥。好多美人！！！            
(4星)	 在晓明没开口讲英文前，我认为他是难得的大帅哥一枚.            
(4星)	 觉得黄晓明演汉武帝还是蛮有气势的！            
(3星)	 黄晓明最帅的时候了……            
(NA)	 物是人非惨过一切，当年的他们创造了经典            
(4星)	 我喜欢演卫子夫的王灵            
(5星)	 妹的当初我也爱过黄二逼！            
(4星)	 这是不是黄晓明最正常的一部片子呢……喜欢秋蝉和念奴娇，还有东方慧            
(4星)	 很好的感觉。            
(3星)	 陈道明真是演什么都像陈道明，我喜欢XDDD            
(4星)	 黄晓明最好看的就是大汉天子和上海滩了。            
(3星)	 哈哈哈哈哈，黄教主///...            
(5星)	 一直没有看到的第40集，是永远的遗憾，大概那个时候是电视台的某些问题吧。后来也没有找来看。我记得里面有很多内容，很多人物我都记得...尤其是东方和念奴娇那一对...淡淡的，却让当时小小的我记住了。            
(4星)	 那個時候黃2B還沒有現在這麼蠢            
(3星)	 只喜欢陈道明            
(4星)	 那时候的黄晓明挺不错的；现在何以成了这个见者必呕的怂人            
(3星)	 呵呵呵            
(5星)	 大爱平阳公主  被这里的姐弟情深深感动了···黄晓明五官精致 演技又好  我高中的偶像啊             
(4星)	 黄晓明应该要感谢这个片子，这是他人生中为数不多不烂的片            
(NA)	 最喜欢第二部～            
(4星)	 小时候看过很多遍诶。。            
(5星)	 喜欢李陵            
(NA)	 从来就没喜欢过教主啊            
(4星)	 还算是成功的把、、、只是演员的心境已经很不一样了。            
(5星)	 看大汉天子的时候还没多少观众知道主角黄晓明。看了不下三次，还是很喜欢，挺不错的。。。            
(4星)	 当年挺爱看            
(4星)	 等我读了点书，才知道戏说的成分有多重。除此之外，我很喜欢这部剧。年轻的生命取代腐朽的旧势力，每个人都意气风发，然而功成名就，却鸟尽弓藏，何其可悲！不过汉武帝之所以能成为汉武帝，也因为他没有常人之心吧。            
(4星)	 黄晓明还是在这部剧里靠谱点，不那么2            
(4星)	 想当年 俊叔美女            
(4星)	 小时候的回忆            
(4星)	 记得当时看完这个  我·还去书店找汉朝的历史书看呢··            
(4星)	 完全当成在补上历史课，当时的黄晓明还不是黄教主            
(NA)	 1.王灵很漂亮。2.伴君如伴虎。            
(3星)	 以前觉得还行，但把《汉武大帝》这类更正的历史剧看了之后，觉得这完全是乱编！！            
(NA)	 很好看            
(2星)	 黄教主你不笑的时候还是有点样子的。。。            
(4星)	 黄晓明很帅阿 演得也不错啊            
(5星)	 阵容强大~            
(3星)	 。            
(4星)	 明叔哪。。。。            
(NA)	 少年的汉武帝霸气已然            
(2星)	 66/100：太鬼扯……            
(4星)	 黄教主！！你这是肿么了黄教主！！            
(4星)	 是第一部才有的精彩。这里面的卫子夫太美，只是后来呢，去了哪里？没有答案。在这里爱上贾静雯和陈道明。            
(4星)	 那时候认识的黄晓明，如此而已。            
(4星)	 那个时候的黄晓明童鞋真是优质帅哥一枚啊……            
(5星)	 看到室友们在看古装美人心计，突然想看古装剧！于是还是找来我最爱的陈道明主演的大汉天子。            
(4星)	 明叔把东方朔演活了            
(4星)	 陈道明把一个历史上的瘸子演绎的风流倜傥%            
(3星)	 貌似从这部开始喜欢黄晓明。            
(4星)	 明叔            
(5星)	 高中时一度痴迷            
(4星)	 当年哇~~            
(4星)	 陈道明！！！！不解释            
