http://movie.douban.com/subject/2262099/	银狐
(4星)	 好长时间以后，才想起来那个有点清纯的漂亮女生就是如今已经退出娱乐圈然后又付出了的和梁朝伟传过绯闻的曾华倩。            
(4星)	 还是老剧好看            
(4星)	 具体内容不清晰了只记得那时候天天晚上玩儿着玩儿着就突然想起来然后跑回家看这电视剧            
(5星)	 喜欢伍姑娘的笑~            
(5星)	 曾华倩当年~美呆鸟~方刚那个大坑脸~阴影哇~....坏人都皮肤不好~            
(5星)	 个时觉得江华同黄日华都好正            
(4星)	 伍咏薇的再生天地很赞，“是一个争演主角的年代”            
(4星)	 经典的片子，曾华倩真漂亮～～            
(4星)	 香港亚视的老片了。最近爱看老片，爱听老歌，不知道是真的新歌新戏质量下降太多，还是因为老片老歌多了一分怀旧的情愫、童年的记忆而显得格外珍贵。 这部片似乎奸角更为出色。演技派飚戏确实过瘾。 我最喜欢的角色是颜如玉。她不是一个纯粹的好人，但也不算不上坏人。有爱她发狂的男人，有真心待她的            
(NA)	 还有点印象            
(4星)	 小时候跟爹妈看的很欢呀~~~对脸上有疤老女人的那段情节真是记忆犹新~~~            
(5星)	 老片就总有种不言而喻的经典气质~            
(3星)	 其实拍个二十集就够了            
(5星)	 那简直是非常好看！            
(4星)	 童年的记忆，除了角色名字还有印象外，剧情是忘得一干二净。依稀记得当年的黄日华帅得一塌糊涂            
(4星)	 记忆里看的最早的港剧            
(4星)	 当时满喜欢曾华倩的。            
(4星)	 童年记忆 每一集都跟妈妈、表妹和表弟端着饭碗看            
(4星)	 好看  真的挺不错的  把我们带回那个时代  第一次没有绝对的好人和坏人  才是最真实的描写            
(4星)	 黄日华演的坏人哦~            
(4星)	 曾华倩，黄日华，伍咏薇，再看仍是经典            
(4星)	 叹服伍咏薇的演技！            
(5星)	 常常回味            
(4星)	 反应了一个时代吧。。。            
(3星)	 烟视媚行的伍姑娘            
(4星)	 嗯。童年连续剧里比较少的黑暗大结局。。。。= =            
(5星)	 那么多年了，重看这部亚视经典，最喜欢的依然是颜如玉报仇的那一段。            
(5星)	 哩出应该系我最钟意既亚视剧集，CASE好多都系我钟意既演员！            
(4星)	 惊艳于黄日华的演技。            
(5星)	 看天涯有人这个剧，让我很好奇来看看，这时的ATV都好大卡司            
(5星)	 經典就是經典            
(3星)	 小时候也就看看港剧了            
(5星)	 以前的ATV是多么的经典            
(3星)	 ATV确实比TVB粗糙，奔着江华去的，结果华少在里面好搓。。。。            
(5星)	 真的是怀念，最早的港剧。            
(5星)	 伍咏薇在里面大亮            
(5星)	 总之就是经典            
(5星)	 哎哟，几十年前就看过的，好好看，，怎么冲到榜单上了哦            
(5星)	 突然很怀念那段时间里亚视出品的一系列电视剧，尤其是这部和《戏王之王》。有机会要一部部找来重温！            
(4星)	 是是非非，恩恩怨怨。。。。。。。不要讲什么因果报应，只有比阴险，比卑鄙。技不如人就要认输，诡计算尽就要认命。            
(5星)	 还是老片子有味道啊！伍咏薇太像汤唯了，但是比汤唯娇媚的多啊，要是我是男人，就算知道她骗我我也还是hold不住啊！！！            
(5星)	 亚视的辉煌时期，绝对能拍出tvb所想象不出的精彩，无论是人性的刻画还是戏剧冲突的建立都深刻得多，最近重温当年的经典之作《银狐》，果然上乘，下一刻谁敌谁友谁是谁非，你永远看不透，编剧和演员的功力，伍姑娘太闪亮，幸好江华和黄日华的演技亦配得起，连一众配角也不错，赞            
(5星)	 超爱的一部，记忆犹新            
(5星)	 只记得他用五毛钱听完了整篇三国演义！牛人！谁说我没看过TVB？            
(NA)	None
(5星)	 真实地刻画了人性            
(5星)	 经典            
(4星)	 其实一直觉得ATV的剧不错。。            
(5星)	 看过十几年了，依旧念念不忘！实在是经典！！！也许是那时电视剧比较少的原因~总之，十分好看！！！！            
(4星)	 小时候看喜欢吕颂贤，后来再看发现亮点其实是江华和伍咏薇            
(NA)	 ATV的代表作啊，经典，            
(4星)	 以前看觉得蔡晓仪最漂亮 现在看还是伍咏薇迷人            
(5星)	 好看！            
(5星)	 那个时候的伍咏薇爆美啊！！！            
(5星)	 基本忘光了，但是整个故事基本都是奸诈小人，看得挺憋闷的，但是又有点儿暗爽。            
(5星)	 大爱苗敏玲。所有演员都绝了！！            
(4星)	 石库门时代看的,,那时候的曾华倩和伍咏薇真美啊            
(NA)	 喜欢曾华倩，太美了，连续看了3遍，真是深刻的童年记忆            
(4星)	 一星给江华            
(4星)	 当年很喜欢吕颂贤            
(5星)	 再生天地。            
(5星)	 伍菇凉！伍菇凉！！！            
(NA)	 ATV好悲剧啊，标签中TVB居然比ATV多出好多好多~~~            
(NA)	 五姑娘真是销魂，那时候            
(4星)	 曾华倩多少看得拉！            
(5星)	 一直记得居然是张家辉演的 记忆真的会让人把假的当成真的            
(5星)	 真的很讽刺黄日华演技好棒            
(4星)	 很喜欢那时的伍咏薇            
(5星)	 这个剧好经典啊~~印象最深的就是方刚啦 看我还记得他名字呢 反倒对黄日华没印象了 伍咏薇和江华印象也挺深的 话说当年江华演了很多风流多情的帅哥角色啊            
(4星)	 小时候看的，当时好像还会唱主题曲= =#嗯，好吧，其实里头曾姑娘唱的歌我也会唱，囧。反正狂迷了一阵。当年的伍咏薇和江华啊……至今也要口水口水滴答滴……            
(4星)	 编剧很给力，结局很赞。现在的港剧编剧们麻烦你们可以不互相抄么？            
(5星)	 呀呀呀，这才是正常的嘛，木有圣母，江华在里面好帅。            
(4星)	 黄日华演的太经典了，一个完全是自己的人，但是世界不属于他一个人！结局又回到了起点，另一场银狐之战开始了。。。            
(5星)	 江华！            
(4星)	 上天是公平的，在關上一扇門的同時，也給你開啟了另一扇窗。就在於自己如何去看待。可惜男主角沒有看明白，耿耿于所失去的一錢不值的虛偽的愛情和名利地位，卻不珍惜得之與失去的無價之寶-真愛。在失去的時候，他其實已經得到了，可是在得到的時候，他又失去了。問世間，幾人悟了得失？可悲可歎可憐！            
(5星)	 亚视经典之作了~~            
(4星)	 好吧 我写错了            
(4星)	 男星就不提了，表演得都很棒，主要是 可爱的曾华倩、妩媚的伍咏薇，为这戏增多看点。            
(4星)	 我承认我肤浅，宋泽元死了就看不下去了。            
(5星)	 剧情也太有趣了            
(5星)	 哥哥早期的片子……泽少的风华远远盖过段绍祥……只可惜到了tvb却被埋没了……            
(5星)	 给5毛钱听三国，听完后不给钱……经典一幕！            
(5星)	   经典呀经典~我幼儿园时候看的~            
(4星)	 3.4            
(4星)	 【爱乌及鸟】彼时哥哥年少俊朗，虽是反面形象，依旧堂堂正正            
(3星)	 部分交代的不是太清楚，剧情有些含糊，不过众多熟悉的演员和演技让人折服！            
(5星)	 经典！            
(5星)	 港剧经典！还记得伍咏薇的主题曲！黄日华演得很给力！            
(3星)	 从零开始 到建立名字            
(4星)	 风情万种的伍美人，还有江华少爷，还有刚出道的张家辉演小痞子            
(5星)	 这是我目前唯一看过的最后的结局是坏人胜利好人全亡的电视剧！印象深刻！            
(NA)	 记得曾华倩            
(NA)	 人就是这样变化的              
(5星)	 小时候看了完全没印象，现在又看觉得比TVB的义不容情等更上一个台阶。且结尾啊，让我想到了《本能》…伍咏薇演得真好，看来还真是角色塑造演员，看看现在的伍姑娘，悲哀啊            
(4星)	 那个年代华丽丽的爱恨情仇            
(4星)	 经典，真的经典。当时的曾华倩真的好漂亮哦~~~            
(5星)	 好看的一塌糊涂。            
(5星)	 主要看曾华倩迷恋了她15年 ！            
(5星)	 超喜欢 超经典 从那时起就喜欢上张家辉            
(5星)	 我倒~原来那个颜如玉是伍咏薇演的~            
(4星)	 非常经典            
(4星)	 也算是当年的经典啊            
(4星)	 当年伍姑娘真系风情万种啊！！！当年ATV噶故事亦都好扎实，所以耐看            
(3星)	 当年可都是一票tvb大牌啊！            
(5星)	 OP正到爆            
(5星)	 这么多年了，翻出来看《银狐》，还是很耐看啊。。。演技啊。。。演技很重要啊。。。演好了是入戏，演不好是装B[偷笑]            
(NA)	 主角黄日华是反派 可以算是结局是坏人得逞 虽然老 但是真的很好看 曾华倩好美 江华 吕颂贤 张家辉 看老片子有不一样的感觉 伍咏薇也好出彩            
(5星)	 老港片情节            
(4星)	 是是非非 不离不弃 醉生梦死 再生天地            
(NA)	 去年看的，真的超好看啊超好看            
(5星)	 剧情很赞的，现在的TVB剧集编故事都编的没词儿了……            
(5星)	 事事非非，不离不弃，醉生梦死，再生天地~~~            
(4星)	 伍泳薇 伍泳薇 伍泳薇            
(5星)	 因为这部剧，我开始读三国的！哈哈经典中的经典。            
(5星)	 最讨厌白灵            
(5星)	 我是一口气看的。很喜欢江华的那个角色...颓废而潇洒。 里面每个人都很有自己的个性特质            
(4星)	 就记得后来黄日华变得非常坏   记忆也出了差错  女主以为是周海媚            
(NA)	 一想到那个几乎全灭的结局，我就冷血沸腾！            
(4星)	 在那个年代，能有这样的编剧已经很不错了。在现今，剧情依然令我无限回味……喜欢那些老演员：黄日华、曾华倩、伍咏薇、江华……            
(4星)	 好看            
(5星)	 豪门恩怨，各怀鬼胎，不见硝烟的暗自勾心斗角，果然人最可怕            
(4星)	 当年幼小的心灵被结局震惊了，悲愤！所以我对张某某和刘某某童鞋素有阴影= =            
(4星)	 当年的伍咏薇美的像天仙            
(5星)	 早年的经典，让我知道，有的人很坏            
(4星)	 这部片子，我认识了张家辉。            
(4星)	 记忆中结尾似乎有些混乱，女主的头发时长时短，不过当时这个剧真是百看不厌，主题曲灰常经典。            
(4星)	 是是非非，不离不弃，醉生梦死，再生天地！            
(NA)	 全部都死晒            
(4星)	 喜欢曾华倩和江华            
(4星)	 很小的时候就看过，当时太喜欢了。完全打开了另一个世界，让我能短暂脱离了根正苗红的，严肃无聊的氛围。            
(5星)	 醉生梦死，再生天命。            
(5星)	 颜如玉！！！！            
(5星)	 经典啊            
(5星)	   黄日华在里面超帅！小时候超爱男的穿西服就因为这个            
(5星)	 怀旧频道每晚7：30正在播出，太经典了，年少时觉得亦正亦邪的黄日华帅呆了！            
(NA)	 很经典的电视剧            
(4星)	 黄日华赞一个~曾华倩年轻时真的很美~            
(5星)	 曹阿瞒            
(5星)	 不记得情节，只记得精彩            
(4星)	 片头曲现在还会唱，除了吕颂贤，每个人都演得很好啊可惜结局太悲惨            
(5星)	 结局出人意料            
(5星)	 难得难得，小时候看过的现在依旧印象深刻。再看一遍还是很喜欢！包括所有的演员。            
(4星)	 江华、伍咏薇、黄日华演得很好。结尾有些狗尾续貂。            
(4星)	 曾华倩是漂亮，但是孙兴给我的印象更深            
(5星)	 绝对的经典            
(4星)	 即使细节再不合理 即使感情再不细腻我都看得欲罢不能            
(5星)	 早期的香港产物都还蛮好看的            
(5星)	 经典中的经典.什么都不说了.大家去看吧.            
(4星)	 据称雪景是在偶们东北净月潭拍的            
(3星)	 结局不怎么感冒            
(5星)	 亚视最经典！            
(4星)	 红颜薄命            
(4星)	 ATV             
(5星)	 如果唔系有d虎头蛇尾，简直拍得上大时代！不过结局依然好经典，就系感觉太匆忙，突然就变成咁！            
(4星)	 小时候看的，过了很多年依旧有些印象。但是不知道为什么再看的时候总觉得里面人物性格有点怪异，貌似有的不太按照正常的情感路线发展，坏要么很坏，好又好的过分。人其实是综合的，没有那么的简单~总体来讲还算经典，但不够5星。黄日华演反派我有点不能接受，还有白羚这个角色情感转变太快~            
(4星)	 美丽风情的伍咏薇。            
(NA)	 亚视的好戏。。。            
(NA)	 亚视90年代初期的难得的佳作            
(5星)	 喜欢曾华倩            
(5星)	 我最喜欢的一部TVB的电视剧！！！！现在看不到咯！！            
(5星)	 曾华倩好漂亮            
(4星)	 不希望黄日华演反派，，，            
(5星)	 小时候的经典!!!!            
