http://movie.douban.com/subject/1966999/	辛巴达历险记 The Adventures of Sinbad
(5星)	None
(4星)	 小时候电视里老放了            
(5星)	 就记得外国人的身材哈好，男的是女的也是            
(5星)	 小时候看的太好看了            
(5星)	 小时候真是非常爱这部啊~            
(5星)	 好像也是小时候看的，就记得镜子里的女人            
(4星)	 梅弗尔和她的鹰超帅！            
(5星)	 小时候巨喜欢看！！！天天都看！！！！现在还能想起好多情节！            
(5星)	 小时候觉得辛巴达好帅啊~~~~~            
(5星)	 万万没想到，小时候最爱的片原来是加拿大片，一直以为米国拍的呢。            
(5星)	 话说还有一个电视剧版的呀！            
(5星)	 原来我这么小就开始追美剧了，太有前途了。超好看。            
(4星)	 记得是刚进初中时看的，辛巴达太帅啦，一直以为是Tom Crus扮演的。。。            
(4星)	 对航海冒险的故事总是缺乏抵抗力。            
(5星)	 是他是他就是他！小时候看过的，超经典呀，大概是我看过的第一部外国剧了！以前看了晚上都不敢睡觉！！            
(NA)	 小时候看过，很魔幻，每天下午准时蹲在电视前等着开始。            
(NA)	 =皿=小时候大爱            
(4星)	 童年回忆 内容完全不记得了...            
(5星)	 记得有一次在家偷着看 下午就是期末考试             
(NA)	 我从小就知道这个辛巴达是帅哥            
(4星)	 想再看一次。            
(5星)	 太好看了 太好看了  我小时候就这么有品味！！！            
(5星)	 童年的回忆，小时候觉得Sinbad好帅的呢，我一定要全部看完。            
(5星)	 记得那个暑假我最喜欢这个辛巴达，还有陈浩民版的段誉，还有和袁洁莹配在一起的古天乐！            
(3星)	 儿时记忆            
(5星)	 超好看            
(5星)	 小时候最爱呀            
(4星)	 好像小时侯看过的。正在看。看片头的时候心情激荡。我的有关水手和流浪的梦，有关自由、神奇、那无限好奇的梦想，那影响我人格和倾向的东西，感谢小时候能看到。            
(5星)	 辽艺的配音版绝赞啊啊 &gt;&lt; 刘喜瑞配音的辛巴达太帅了 TVT 辛巴达和梅弗儿很相配 =33= 不知道有没有第二季 ==||| 辽艺……振作点 ORZORZ            
(5星)	 超好～小学五年级的回忆啊～关于冒险，关于魔法，关于爱。            
(5星)	 虽然特技实在chuo到不行，但是就是喜欢看啊            
(NA)	 很早以前看过            
(5星)	 欧～妈妈咪～            
(5星)	 小时候看过最好看的国外电视剧！这部片子在当时对我来说简直是神作~！            
(5星)	 儿时的回忆啊            
(5星)	 童年至爱！            
(5星)	 辛巴达真长那么帅就好了！            
(4星)	 也是小时候守着夜场看的。            
(5星)	 小时候对欧美剧还懵懂时，就已经很喜欢了。            
(3星)	 男主是friends里面一集；里瑞秋的男友哦            
(4星)	 忘了是什么内容了，但是就是觉得太好看了!            
(5星)	 小时候超喜欢的呢~~好怀念啊！            
(4星)	 记忆中辛巴达帅得一塌糊涂，女角胸大得一塌糊涂总之画面那是相当的魔幻以致俺妈一直还记得此片            
(5星)	 重新看了一遍，看到第八集，突然觉得道具太枯燥了            
(4星)	 以前挺喜欢            
(5星)	 大家的童年是不是都和这些分不开呢            
(5星)	 无以复加的经典，以当时的制作水平每一集都是电影的等级呀。那时加拿大这么有钱？            
(5星)	 小时候非常经典的一部美剧,在那个年代有这样的电脑特效的连续剧还是蛮少的.            
(5星)	 记忆啊~~~            
(4星)	 当初在电视上看的时候觉得不错（东方电视台），还以为是美国的呢            
(3星)	 http://www.imdb.com/title/tt0115086/            
(5星)	 回忆啊回忆！！！            
(5星)	 我的辛巴达~~~连续剧的辛巴达~~~            
(5星)	 有碟 DVD压缩            
(3星)	 突然就找回很多回忆            
(5星)	 很好看!有一女具靓            
(5星)	 我要找回啊找回这一部            
(5星)	 非常不错            
(5星)	 辛巴达历险记            
(4星)	 一般总在深夜看……            
(4星)	 那个时候觉得辛巴达太帅了……            
(4星)	 不太记得了，太久远了。            
(4星)	 我擦。。我姐当年看这玩意儿，看的枕头底下枕着菜刀才敢睡。女主角很漂亮            
(5星)	 超怀念的~小时候天天跟我姐一起看辛巴达和超人的电视剧版            
(4星)	 经典~            
(3星)	 小时候看得时候真的欲罢不能,现在看感觉有点粗糙,但是情节塑造确实不错,有种老派奇幻味道            
(4星)	 现在对此片仅剩的记忆是小时候迷过一个叫辛巴达的帅哥，哈哈            
(5星)	 我科幻的启蒙。            
(5星)	 小学时候最爱看的一部片子            
(5星)	 很喜欢的冒险剧之一~            
(3星)	 http://www.qire123.com/occident/TheAdventuresofSinbad/            
(5星)	 貌似绿叶台放的？            
(5星)	 电影和电视剧是用来回忆童年的信息            
(4星)	 唯一记得的情节，辛巴达被一女的迷惑，在身上涂精油的情形。            
(5星)	 小时候看的，可以说它是我第一部接触到的“美剧”，感觉很好            
(5星)	 好~神~奇~小时候真超喜欢看的T T            
(5星)	None
(4星)	 想起了当年看这部剧时的表情。哈哈~~~回忆。            
(4星)	 这片子好看，一直记得辛巴达喜欢那个大胸的女人。。。            
(4星)	 小时候在夜里想看又不敢看的片子，哈哈，现在看看怎么一点也不觉得吓人            
(5星)	 童年 满分            
(5星)	 童年回忆            
(5星)	 原来我小时候真看过这个...            
(5星)	  / o  o / 女猪，你懂的，哈哈。            
(5星)	 原来这么多人都有童年的美好记忆啊~小时候觉得男主太帅了，还特别喜欢那个女魔法师（她的鹰我会记一辈子）！            
(5星)	 小时候的回忆呀～            
(5星)	 童年的回忆            
(4星)	 童年的记忆啊亲还记得美女那犀利的大火球吗！！            
(5星)	 当年真心觉得辛巴达帅！            
(5星)	 小时候的最爱 魔幻启蒙啊～            
(5星)	 原来我小时候就开始看美剧。            
(3星)	 每次播都看不完，最后没得看了。。。            
(4星)	 人生的第一部美剧            
(5星)	 吐血力荐！！！那时让我大开眼见啊~充满智慧与奇幻的片子            
(5星)	 小时候的最爱            
(5星)	 童年的记忆啊！很很很很很喜欢！！            
(5星)	 发现这个也是哥哥我小学时候看到美剧……大波妹子……铁男主人公，各种怪兽，但是吓得……            
(4星)	 很久以前看的了，看的时候配音感觉怪怪的            
(5星)	 2000 男猪脚帅死了            
(NA)	 终于找到了，就是这个~            
(4星)	 童年            
(5星)	 记得是小学的时候放暑假在奶奶家看的！！当时觉得辛巴达好帅女主角也好漂亮！启蒙了我对白种人的审美观，哈哈哈~~            
(NA)	 都是童年回忆呀            
(4星)	 好小的时候看的，就记得里面都是奇幻的地方            
(4星)	 童年回忆啊！            
(5星)	 儿时的最爱！            
(5星)	 嘿嘿 不解释 好啊~            
(5星)	 最爱这版的辛巴达！            
(3星)	 小学不记得什么时候看的            
(5星)	 我童年的最爱，好喜欢，里面好像有个发明家，很搞笑的配角。            
(5星)	 第一次看的时候还只有个位数的岁数，现在已经21了。童年的回忆啊，以前每天都追着看。            
(NA)	 永远看不到结局的电视剧            
(5星)	 那主题曲现在还会哼哼 内容记不清了 只记得有很大胸器的女主 和一个同样喜欢辛巴达的坏女人 还有个黑人哑巴和发明家 还有辛巴达胖胖的大哥 矮油 我好像全记起来了 这是经典的力量！            
(5星)	 ！！！！！！！！童年记忆啊内牛！            
(5星)	 童年时代的梦想            
(5星)	 终于找到了~~~            
(5星)	 小学的时候 午夜必看 对蛇发女妖的印象很深啊            
(NA)	 小时候姥家住在火车站的时候 跟小弟在老舅那屋看的 是电视剧版的 超好看            
(5星)	 很多历险故事，有石化啦，透明墙壁什么的，辛巴达超帅的，女主也很露肉。            
(5星)	 在1997年能在视觉效果和剧情内容上有如此成就的 满载我的科幻童年和对船长的爱            
(4星)	 小时候的美好回忆！！！！            
(5星)	 同样是小时候喜欢看得外国片儿            
(5星)	 再怎么样都不会忘了这部,辛巴达是小时候的白马王子.英俊潇洒,风趣幽默,勇敢无畏.            
(4星)	 虽然现在看特辑差了些。。。对第4集有些印象。里面除了女主外，很多女性都健美。丰乳肥臀。            
(5星)	 小时候觉得好好看啊            
(3星)	 重温一下啊～            
(5星)	 这是美剧啊，我想尖叫了都，又一部小时候的最爱            
(5星)	 小时候看的连续剧，就指着它过了～            
(5星)	 童年。！            
(NA)	 我擦绝对经典,可惜以前都是半夜开始放的,小孩子没法看            
(NA)	 in memory            
(4星)	 童年的回忆            
(4星)	 小时候的回忆~            
(4星)	 小时候看过几次，好看。            
(5星)	 小时候熬夜也要看            
(5星)	 辛巴达帅的一塌糊涂！            
(5星)	 上初一时看的！            
(5星)	 小时候看的~那时感觉还蛮恐怖的~            
(4星)	 很棒的电视剧，奇幻冒险大爱。            
(5星)	 童年啊，中央一演的呢～哈哈            
(5星)	 小学时好喜欢            
(4星)	 看时还没上小学，大爱啊！！！山东卫视播过            
(4星)	 小时候的最爱            
(NA)	 小时候的梦幻。            
(5星)	 一半是感情分。。。            
(5星)	 记得那会儿是上小学5/6年级时看的，非常喜欢到现在也如此，一开始是省台播然后才被引进到BTV（可惜只有第一季）。当时的特效放现在简直被人耻笑，但是那种感动和热情永远不会忘记，尤其是那种团队家庭感！            
(4星)	 小时候最喜欢看的了            
(4星)	 遥远的美好回忆啊            
(3星)	 这个故事绝对记得，那时的电脑特效在当时看起来都觉得假，但是故事本身的精彩是不容忽视的。看到豆瓣打分，想必“童年的回忆”加分不少            
(4星)	 小时候暑假每天必等的节目。那时魔幻看的很少，所以觉得特别稀奇，甚至有些情节至今还记着。不论到底放在现在而言到底水平如何，但在记忆能留下痕迹的，经典二字是一定算得上的            
(NA)	 幼时的经典。            
(5星)	 童年最美的回忆……            
(5星)	 得下的再看一遍            
(5星)	 每次一天开头音乐 我就热血沸腾！            
(NA)	 还记得有个怪物叫培根。。。            
(4星)	 蛮好看的，貌似2季，网上只能下到1季，另外季没源了            
(4星)	 童年的回忆啊~~小学时跟妈妈一起看的~！！            
(5星)	 童年记忆啊~            
(5星)	 儿时 看得可来劲了 男主帅极了            
(5星)	 补档 也是一段青春啊啊啊            
(4星)	 依旧是记忆中的美好            
(5星)	 少年时期的小回忆            
(4星)	 记得小时候就看过 很据冒险精神啊            
(5星)	 初中的时候看的，真给力～            
(5星)	 居然被我找到了这个！！某次在盗版摊上找到这个碟，可惜没有第二季……至今不知道它的结局            
(4星)	 动画改编的吗?            
(5星)	 ！！！！我小时候的最爱！            
(5星)	 小时候在电视里看的，非常好看，强烈推荐！            
(4星)	 看过10来集的样子            
(5星)	 2000 小学最后一个无作业的暑假 男猪脚好帅啊！！！！吃了你！！！            
(5星)	 我小时候看过一直不能忘怀的剧记得当时我还只有一年级            
(4星)	 呀～小时候看的呢～            
(5星)	 经典啊~~难忘的女人~~~            
(NA)	 小时候的最爱啊，那时一点都不讨厌中文配音，甚至觉得他们就是讲普通话的呃。            
(4星)	 为灰常帅的辛巴达            
(2星)	 小时候的电视剧            
(5星)	 小时候天天守着看 觉得男主角真是帅翻了            
(5星)	 儿时美好记忆啊            
(4星)	 小时候超级喜欢看~            
(3星)	 印象蛮深小时侯看过。。演员也长的不错。。就是现在看来觉得那时特技好落后。。喜欢魔幻历史题材。。            
(4星)	 小时候的经典啊            
(5星)	 以前每天都看~            
(5星)	 小时候可喜欢了，每次男主角一遇险，美女就出现了。            
(4星)	 相当欢乐~            
(3星)	 我的天，不久前还下来又看了一遍，当初觉得辛巴达好帅啊……            
(3星)	 重看！            
(4星)	 小时候 经常看啊 啊啊 啊             
(NA)	 我从小爱美剧~~~            
(5星)	 小学时心中最佳的白马王子啊！终于找到了。一直记成斯巴达了。。==！难怪找不到。。。            
(NA)	 我爱那只老鹰。            
(5星)	 第一个迷恋上的人啊。那个音乐现在听到还心潮澎湃啊。            
(5星)	 小时候的美好回忆~詹·杰斯纳忒灵了~            
(4星)	 十几年前的电视剧啊！如今的导演们是不是该反思了…不，你们早就该反思了…梅芙不错！            
(5星)	 小时候超迷这个            
(5星)	 超级好看的，现在正用原版的回味中            
(5星)	 小时候常熬夜等放这个            
(5星)	 童年回忆            
(4星)	 哦，辛巴达呀            
(3星)	 童年回忆，记得男主挺帅女主胸好大            
(5星)	 终于找到了，忘了片名，以前追着看~            
(4星)	 haha~这个居然也有，突然想到的自己小学毕业时候最喜欢的片子~            
(4星)	 故事很精彩，画面也不错。伴随了我们童年的许多美好时光。            
(3星)	 的确那时候也和老爸老妈一起看过……            
(5星)	 超级无敌霹雳帅的辛巴达啊啊啊~~            
(5星)	 童年美好的记忆 这个版本是最喜欢的             
(5星)	 小学时的回忆，现在又在看，超好看的！            
(5星)	 小的时候看的是这个吧……超级恐怖的。            
(4星)	 很老的美剧了            
(3星)	 儿时的回忆            
(5星)	 记得那个会法术的美女和帅的一体丝呷的辛巴达!            
(5星)	 小时候绝对的每集必看，看的是很总是有一种开始冒险的感觉，奇妙的无法形容，超五星推荐            
(NA)	 童年…            
(5星)	 好看！~可惜只有一季！~            
(5星)	 很小的时候看的。。。。记忆深刻。。。故事很好！            
(5星)	 童年的回忆啊~~听见主题曲就激动的~            
(4星)	 初中时候很喜欢的一部剧~            
(5星)	 赞呐 可惜现在电视里都不放了             
(4星)	 看过 可是似乎忘记了            
(NA)	 童年回忆系列            
(5星)	 导致我六年级就近视的祸根            
(4星)	 辛巴达很帅哦            
(NA)	 超喜欢里面PP的女主角~            
(5星)	 当时看很神奇             
(5星)	 很清楚的记得这个也是在暑假的时候放的~我最喜欢辛巴达了~那个女的也很漂亮。。。虽然现在早就不记得长啥样了~            
(4星)	 辛巴达简直不是一般帅气 就是剧情确实很弱 97年的美剧剧情那么弱？不会吧。。。。。。            
(5星)	 美好的回忆！电视里似乎就放过那么几次额，屈指可数~            
(4星)	 小时候的暑假,下午有放,那时候也觉得真神奇            
(5星)	 超喜欢 还要看             
(NA)	 奇幻的过去啊            
(4星)	 一时挚爱。            
(3星)	 小时候的记忆，小时睁着懵懂的双眼就感觉“哥哥姐姐”，无所不能，好强大哦！！！！            
(4星)	 辛巴达历险记            
(5星)	 好几年都没看到了~童年美好的记忆！！！我想当海盗！哈哈            
(5星)	 童年的美好回忆            
(5星)	 经典就是经典！！            
(5星)	 看过咯，还想再回味一下...            
