http://movie.douban.com/subject/4917905/	宫
(1星)	 怎么这么难看啊！太烂了啊！不带这么乱改的，八阿哥是那流氓样儿吗，太子也没那么不堪吧！为毛拆散四爷和十三~~尼玛尼玛去死吧！！这剧开头杨幂说的什么乱改历史的剧没人看就是说自己的吧！怎么没有零星啊给一星都是多了            
(1星)	 怎么可以有这种电视剧...给我一刀吧....            
(1星)	 自己找雷看。。雷得我都哭了            
(1星)	 火了竟然还 不觉得杨幂很丑吗            
(1星)	 如果有零星我一定不会给一星            
(1星)	 作为一坨任何穿越文都木有看过的小白，我莫名其妙的看了这部流星御花园，见证了川菜与道明八、花泽四的狗血奇情，穿越女因为会搞发明创造就能这么受欢迎吗？康师傅被塑造成了一个阴晴不定的坏银，所有人的所谓阴谋诡计都像儿戏一样让人啼笑皆非，逻辑为零，前后文都连不上，唯一一星给造型和选角吧            
(1星)	 没有最难看，只有更难看，致于抄抄            
(4星)	 你想要在无聊的寒假找到狗血的快感吗？你想要在古装剧中找到流星花园般的感觉嘛？你想要在深夜里独自一人时而欢乐时而被雷感受情绪转换的乐趣吗？你想要和同学朋友以及家人一起吐槽剧中四阿哥的鼻孔吗？请在每天晚上十点收看芒果台宫锁心玉！            
(1星)	 有零星就好了……            
(1星)	 十八居然是被烧死的——老四没事对个被他当成棋子的女人解释自己——明目张胆的拉关系准备篡位——八爷不爽太子娶新福晋——————于妈你没脑子吗！！！！！！！！！！！            
(1星)	 让人感觉很傻的            
(1星)	 于妈你也稍微考虑一下观众的智商好不，大过年的让人情何以堪?            
(1星)	 我真心觉得杨幂很丑！！！！！！！！！！            
(NA)	 一起去逛御花园            
(1星)	 惟一好处是激发我对清史的各种考据癖            
(1星)	 吓死爹了= =            
(1星)	 擦~~~            
(1星)	 实在是太烂了吧，清穿=洛晴川，拜托有点创意好不好？            
(1星)	 我连分都不想给...            
(1星)	 一颗星都不想给。于妈你不怕被雷劈么。            
(1星)	 可以再烂点么！            
(1星)	 看此剧竟然能坚持住一小时，我不得不佩服自己的耐力！我看好我自己！            
(1星)	 野花你的脸还能再畸形一点吗？嘴还能再瘪一点吗？演戏还能再做作一点吗？听了主题曲后发现幂姐你唱歌真的是比鬼叫都好听！            
(NA)	 咬牙看完了…我要是剧作老师我就拿这个上课，因为它犯了剧作法里能犯的各种错误，并且又很多人在看。这似乎说明两点，一是剧作法是屎，二是大众审美是屎（借用廖一梅的话说）。但请不要用往死里骂这部剧，来逃避你是个傻逼的事实，不如像某些豆瓣电影放狠话红人那样，骂骂姜文啊伯格曼什么的，更有效            
(2星)	 MB我家胤禛有这么恶毒么，我家八阿哥讲话有这么三八么，看了一集半，那些阿哥一个个八婆智障凶残，只有你最美，擦            
(2星)	 我的天哪！那是什么片子啊！以为换个场景换个名字，冠了个穿越剧的帽子，咱就不知道你是在明抄《流星花园》啊？！！从台词到桥段，几乎全部都是！编剧我真的太佩服您了！您还能再雷点不？            
(1星)	 烂片一个            
(NA)	 根本连分都不想打啊 亲！！！！！！！！！！！！！！！！！！1            
(NA)	 不评价了，侮辱了我们武汉的晴川阁！！！            
(1星)	 于妈真是于无声处起惊雷            
(1星)	 五雷轰顶，带针无效            
(1星)	 打一星，都觉得鸭梨很大。感觉评价过高。            
(1星)	 屎啊！！！！湖南卫视你这么热衷于恶心人是为哪般啊为哪般！！！            
(5星)	 快播吧            
(4星)	 好多BUG……看这种就是为了吐槽的啊！            
(5星)	 想看            
(1星)	 天雷那个滚滚的流星花园啊！            
(1星)	 什么狗屎！看不下去了！            
(1星)	 完全不尊重历史的剧本，勤政务实的胤禛有事没事跑出来风花雪月弹琴装B，谦逊谨慎的胤禩像个被宠坏的草包，康熙像个昏庸的色老头。剧情还抄袭尼玛的《流星花园》，一个历史上都留不住名的嫔敢在德妃面前这么弹跳，尼玛这什么剧本，尼玛干死你芒果台            
(1星)	 天雷滚滚……流星花园清穿版……好吧冯绍峰的半秃还是挺帅的，但演技实在不行。仅此而已。            
(1星)	 其实我压根儿就没看过 只是想拖垮它的评分罢了。。。            
(1星)	 我以为杨幂最好的作品就是《红粉世家》里的小桃，那是时候她还不红。红了点之后以为自己真的是乖得不得了了。            
(NA)	 看了下预告片，不幸看到八爷在雨里等晴川等俩小时。。。这个真是赤裸裸的抄袭流星花园啊。。。还有，杨幂的脸真是整的不像话            
(3星)	 好好的演员...死在编剧手上...            
(1星)	 实在不是一个雷字能够概括的。。。。太恶寒了，剧情弱智，拍摄粗糙。。。还是别来损清穿的招牌了吧。            
(1星)	 无话可说            
(1星)	 看了那介绍都够了。。            
(1星)	 很弱智，我还是去看来不及            
(4星)	 主线清晰，yy有理。            
(1星)	 作为恶搞喜剧 让人很有吐槽冲动            
(1星)	 还敢再无聊点吗            
(1星)	 是有多难看啊···            
(NA)	 流星花园...步步惊心.....            
(1星)	 豆瓣居然不能让人打负分！！！            
(NA)	 简直是一颗星都不想给啊。里面人都跟嗑药了似的，脑子不正常。能不能少出点垃圾片子，简直浪费社会资源啊！！            
(1星)	 看10分钟，算看过吗？？？天雷滚滚啊~~~我的清穿啊，毁得没样了            
(1星)	 饿滴神啊...不带这么雷人了...好吧..毁了俺滴44和老八...还是自己YY好了...            
(1星)	 于大妈没事不要这么雷人好不好。你又不是姓雷~~~ 抄抄没RP的您老人家知道么╮(╯o╰)╭？            
(1星)	 我只是抱着我不入地狱谁入地狱的心态考察观摩一下这部电视剧是不是真的不如步步惊心，果然是平地一声惊雷啊！            
(1星)	 原来可以蠢到这个地步。            
(5星)	 破例五星！比《金枝欲孽》《美人心计》更轻松，比《步步惊心》更紧凑。于正集合《流星》《还珠》《金枝》精髓，晴川从活泼单纯少女逐渐成熟，并珍惜痴情八阿哥。四阿哥和素言虽为权利杀戮，仍露出难得人性。康熙、德妃、僖嫔、良妃、李德全等人物鲜活，仿佛让我寻得《还珠格格》时惊艳！杨幂演很棒            
(1星)	 垃圾！！！！可为什么这么火！！！            
(1星)	 杨幂，，，，，，，唉。。。。。。。。。            
(1星)	 可不可以打零星= =            
(4星)	 哎呀，我天天晚上等着芒果台十点钟放！囧。            
(3星)	 穿越版古装流星花园。。。=_=            
(1星)	 打1星以上的人都怎么想的……            
(1星)	 我相信看过的，不管是八阿哥还是四阿哥的粉丝都会砸了电视机的            
(1星)	 其实佟丽娅好美啊你去演甄嬛多好啊 此举就是天雷滚滚啊慎入莫手贱！            
(1星)	 第一集就已经瞎了我的眼。。            
(4星)	 有人调侃说这电视剧的名字应该叫“一起去逛御花园”，我也觉得如此，但我还是死追不放，让有如此一心结的恐怕也只能归属于“道明寺”情结了。可惜这电视剧，我最看的几个部分依旧都是省略，八阿哥好像至始至终都不知道她来自未来，总觉得漏拍了什么。            
(1星)	 什么扯淡玩意            
(1星)	 杨幂真是太恶心了 这个角色简直把她的流氓非主流气质发挥的淋漓尽致 现实中没礼貌果然演的角色都这么没礼貌 冯绍峰 我快哭了 无论是八爷还是冯绍峰我都很喜欢的 结果。。。编剧我日！ 四爷 演的还行 不过完全不抢戏 注定要被人遗忘的角色 胤禛是枭雄啊枭雄！            
(1星)	 妖子酱似乎很生气OAO我不敢打两星了= =。。。虽然于正神马的从来没听过。。杨幂也不待见。。。当然看预告片时说神马原来就喜欢看言情小说更是瞎了我的耳朵。。还是乖乖呆被窝里钢炼啦古畑啦神马的吧。。。            
(1星)	 流星御花园……            
(2星)	 一开始觉得很好看，越看越难看，古装版流星花园不说，最后连《见与不见》都给用上了，怎么这么雷。。。还有编剧有点狗血，那么多细节都不圆。。。唯一觉得好看的是杨幂很漂亮，四阿哥很好。            
(3星)	 流星御花园么…            
(1星)	 阿姨是四爷党···哼哼            
(4星)	 冯邵峰的古装形象很不错啊，傻憨憨的笑起来很帅            
(1星)	 好奇看的一塌糊涂，毫无逻辑            
(NA)	 1            
(2星)	 好吧，杨幂老师真是变丑了的说…            
(4星)	 虽然很多山寨 可是很好看~~好看呐好看~~            
(1星)	 烂片，鉴定完毕            
(2星)	 天雷滚滚狗血满地  实在想不出有哪个封建社会的皇子会有那么多闲暇时间陪他们根本就没当过人的女人闹腾             
(1星)	 还嫌烂剧不够多吗？            
(1星)	 实话说我没看过，我也不准备看，只为发条短评骂于正赤裸裸的剽窃晋江的网络写手！            
(1星)	  抄袭,全是抄袭呀            
(1星)	 垃圾的要死，人物和历史完全相悖，于大妈拍这个戏台不负责了            
(1星)	 好多BUG。乱七八糟的。            
(1星)	 我算是看出来了！！！古装版流星花园！！！！！有意思么抄袭！！！！！！！！！！            
(5星)	 （每天晚上熬夜，实在吃不消，没想到网上竟然都出来了，总算是一起看完了，后面还有真假晴川，纠结死了！）   清穿！晴川！非常期待……            
(1星)	 看看于妈又写了个神马玩意儿            
(NA)	 给跪            
(2星)	 最近真的很流行穿越哈            
(3星)	 确实是古装版的流星花园啊。不过很励志不是            
(3星)	 看了一半觉得太雷了，结果还是一发不可收拾地把它看完了，可见脑残剧还是有其市场，骂的人越多，看的人越多。            
(3星)	 杨幂演的就是个古代人阿！！哪来穿越的感觉。            
(2星)	 我看了，肉麻，真的            
(NA)	 我又恶俗了T-T            
(1星)	 看了一眼泌泌            
(NA)	 我承認我在看… 只看八爺            
(4星)	 吸引力大法高手             
(3星)	 就是为了看冯绍峰的！            
(3星)	 此剧融合多个穿越，但把穿越精神遗失了，虽然有第二部，但我肯定没兴趣。而且那首《爱的供养》还能再挫一点么。烂大街听到就屌烦阿！o(&gt;﹏&lt;)o            
(1星)	 好恶心啊啊啊。            
(1星)	 类别：穿越剧。非常狗血的一部剧。古代版流星花园，佟利亚很漂亮。小时候看过不少清朝野史，尤其是吕四娘，雍正，八阿哥，血滴子，年羹荛各种版本给了我一个美好童年生活。知道世上没有八阿哥这样的人，尤其权术人，多情薄。但，仍愿YY。这就是梦。            
(1星)	 绝对一星！！！            
(NA)	 呵呵呵呵呵呵呵呵呵我的八爷才没有这么二缺            
(NA)	 还好最后八阿哥穿越了，不然这就是烂剧            
(2星)	 累死我了台词！！！！最后一集 仓央嘉措的诗编成的插曲太鸡巴销魂了            
(NA)	 额            
(2星)	 清穿无爱            
(NA)	 抛掉历史纯看跳tone的故事，还是很解压的……男配女配有几个长得不错看~~            
(2星)	 太烂了，另杨幂变丑了好多！            
(3星)	 女主角到底要多小白啊！！！杨某你真的不能唱歌。。虽然结局很仓促。。但是让我想起＜不负如来不负卿＞了，所以还是觉得蛮美好的。。            
(3星)	 给三星是我坚持看完了。剧情其实很白痴 对的就是翻版流星花园。            
(3星)	 虽然我觉得编剧脑子有点抽抽。也看出来这是流星花园加还珠格格的剧情。虽然穿越的戏码也没有以前看过的几部穿越剧好看。但是我觉得消磨一下时间还是可以的。- -|| 你妹，什么烂结局！            
(3星)	 哈哈哈哈一起去逛流星御花园            
(4星)	 杨幂在里面傻傻的。老是被那些古代人欺负。起初被那几个宫女欺负。直接上去把她们踩烂烂不就好了。难道现代人的智慧比不上古代人么。编剧太白目了吧。            
(2星)	 看到23集，不看了，已经完全没逻辑了，越来越雷了~这些人是不是都有病啊？顾小春也是个SB……良妃一出宫也一下子朝着SB的康庄大道迈进了！            
(2星)	 不合理的太多 虽说存在既有一定的合理性 但脱离最基本的真实生活太多 毕竟人是一切的源泉 而人性中真正的情感却在这里被包装得像一群傀儡 只是图娱乐大众一时之快罢了 喧闹之后什么也不会给观众剩下~~            
(NA)	 简直勾起了当年迷清穿，混晋江的时候的那股劲儿！！！一晃多少年啊，清穿小说居然拍成电视了，管它剧情小白不小白，反正看起耍~~~作为四爷党，四颗星给华丽丽的四四~~~咦嘻嘻~~~O(∩_∩)O            
(NA)	 杨幂一部戏比一部戏难看了...当初神雕侠侣时的郭襄多好啊...            
(NA)	 。。。。。。完全不知道演什么……            
(4星)	 每天只演两集，真是快疯了……十点怎么还不到            
(3星)	 虽然扯淡，但还是看完了~还是大热门哇~            
(NA)	 梦回大清加步步惊心加花样男子加后宫史上吐血脑残结合体            
(NA)	 我擦！傻×剧！不是把观众当成傻子就是把演员当成呆子！！！            
(NA)	 豆瓣的简介都是假的= =            
(2星)	 四爷真的好老。。我喜欢八爷，超级超级喜欢这个富二代的说。后面真的好寡淡呀。我一直在研究素言咋活得？            
(2星)	 剧情漏洞百出，但是我就是乐呵的看完了啊            
(3星)	 穿越啊，飕~            
(1星)	 请3星以上友邻 自动删除我吧             
(2星)	 看了一点颤抖的走了。。。。。。还有冯绍峰上快乐大本营好2,= =            
(4星)	 豆瓣评价这么低。。。挺好看的啊还= = 演员衣服化妆什么的都不错。。。            
(1星)	 为了何味奇看了两眼，话说一个演员没事总是改神马名字？编剧雷死我得了，果然把故事编进历史这种事只有查良镛做的来。麻烦编剧有空多读点书吧。真不明白这剧为毛会火，不明白杨幂为毛会火。。            
(1星)	 看了2集&lt;宮&gt;決定給&lt;步步驚心&gt;加一星.....            
(1星)	 能不给星吗            
(2星)	 TVB演员好几个加入，但情节和人物设置实在白痴，搞不懂杨幂为何红成这样。            
(3星)	 为了和即将播出的《步步惊心》作对比，通宵快进看完35集=________,=  这剧整体挺有可看性的，作为花痴清穿偶像剧看看可以的。不过，还是很想吐槽句，编剧也忒脑残了… @SE7ENNY             
(NA)	 随便标一下儿。。            
(1星)	 温文尔雅 心思缜密颇有城府的八阿哥被演成了一个傻子 活生生一副古装版杂耍小丑 我去你妈个大血比的把，药店碧莲            
(3星)	 清穿版翻台版流星花园=口=            
(NA)	 。。其实就是流星花园清穿版吧？！            
(1星)	 这个片子应该叫《F4与杉菜的前世今生》            
(4星)	 一星给的是八阿哥..........爆米花剧集 不要要求太高            
(4星)	 最后的一眼，是结束也是开始。            
(2星)	 听说这部电视剧很火，为了让自己不太out去看的。没想到看了几集实在看不下去了，编剧和导演实在太烂了，讲故事、拍电视剧完全没有逻辑性吗，和我多年前看的《金枝欲孽》完全不在一个档次。国内的电影、电视也太好混饭吃了。这部电视剧看看美女、帅哥就可以了，随便消遣一下。            
(2星)	 消遣时间我都嫌它太浪费！            
(2星)	 我擦, 狗血的不得了啊!!!!! 我看过最坑爹的穿越剧啊!!!!!!!!你当观众是脑残啊!!!!!!!!!话说回来还真多2货觉得好看!!!!!!!! 可是为了看八阿哥, 我花痴的坚持看完啦!!!!!我SB我愿意!!!!!!!            
(1星)	 四阿哥的戏服每次都让我以为是太监总管- -||||            
(3星)	 编剧你真调皮，各种不合理的剧情和的性情大变的角色~32集开始还超展开了~好喜欢八阿哥x晴川这一对啊(/ω＼* )就算结局生硬得让人瞠目结舌也勉强接受了~            
(3星)	 囧。。。            
(NA)	 啊哈哈哈哈哈哈哈哈哈            
(4星)	 我就觉得挺好看，不动脑筋，剧也编的不错            
(1星)	 屎片！看不下去！也就能忽悠我那俩班无知的七年级少女！            
(3星)	 流星御花园，BUG超多，手一抓全散下            
(1星)	 2B编剧。。。            
(2星)	 讲了一个叫晴川的女人清穿了然后碰到一帮傻逼的故事。商业上胜利了，艺术上彻底失败了。当观众是白痴啊，摔~~~            
(3星)	 我爱脑残剧            
(3星)	 矮油！你们太不宽容了！难得可以让人尽情吐槽的好剧你们都不珍惜时光及时行乐吗？            
(3星)	 第三颗星，是给冯绍峰的 。             
(1星)	 收视新高？抱歉，偶周围没一个看这片儿的！            
(NA)	 我居然一边笑话剧情一边把它看完了，还是追着每天两集看的。            
(1星)	 无比傻逼！！！！！！！！！！！            
(3星)	 够庸俗！！！我喜欢！！~            
(4星)	 当它已经变成了一个梦，又为何要对一个梦眷恋不舍。            
(5星)	 挺幂姐            
(3星)	 芒果臺 穿越劇            
(3星)	 这剧所带来的欢乐不是一般喜剧能给予的            
(NA)	 没想到五年之后，清穿小说改编剧集已经嚣张到这个程度，从《步步惊心》再到《宫》。谈及《宫》，世上何处无“借鉴”，不多一个于正，这紫禁城版的流星花园，这大辫子的F4，对白比晋江最初级小言都不如，雷区重镇，带针无效啊。不过少女们就是好这一口！而我是少女之友！姐一定前途无量（自我催眠中）            
(3星)	 让我觉得冯绍峰这个演员蛮好的，还有，如果按照当年我们看还珠格格的思想看这部剧，其实真的都还好~除了编剧竟编出一些不靠谱没有历史根据甚至反历史的荒诞剧情~            
(3星)	 看到结尾，我理解雍正为啥死的那么早了，原来是欲求不满导致用工作疯狂移情积劳成疾……老八成功穿越，成为京城史上最牛黑户。            
(2星)	 真的不靠谱。            
(3星)	 三天看完。。。。古代版流星花园。。。            
(3星)	 四阿哥好贱=。= 大爱老八。。。            
(NA)	 每次打开芒果台都能把眼睛刺瞎。            
(NA)	 大雷区            
(1星)	 作为一资深穿越者，断断续续看了几集后我的无语可以沉默整个宇宙            
(4星)	 女人，从来都不是老四的牵绊！            
(NA)	 好吧 我只是想知道 现在的年轻人都在看什么            
(4星)	 四星是打给冯绍峰的，丫果然火了......八爷固然好，但是这戏也太贬低四爷了...至于结局，我他妈就信我看的这版。            
(1星)	 话说杨幂还是古装比较好看 我是冲杨幂 何晟铭的一星 内容很恶 =，=             
(3星)	 欢乐多            
(2星)	 竟然看完了，主题曲好像咒语啊            
(4星)	 虽然是一件消费品，但未尝不能给人启发~            
(2星)	 不停的告诉自己。。。四爷没那么猥琐。。。八爷没那么脑残。。。康熙没那么龌龊。。。编剧只是试图打造古代版的流行花园。。。。所以历史即便不是一般的偏离也算正常。。。。可是。。。2逼的编剧导演啊。。。你要想打造偶像剧。。。。好歹多用点偶像级别的的演员吧！你弄个大鼻孔来,坑爹啊！            
(1星)	 艹，太傻逼了，简直无法忍受了。            
(3星)	 后面就越来越没劲了，结局太仓促了，这是多少小说和电视剧的结晶啊，真无语            
(1星)	 狗屎            
(1星)	 火速刺瞎，欣赏不能啊。            
(1星)	 《流星御花园》http://img3.douban.com/view/photo/icon/public/p840408933.jpg            
(2星)	 陪老妈把台版，韩版，日版流星花园看了个遍，如今加上这个穿越的古代版。            
(3星)	 八阿哥真是我见犹怜啊~抄吧            
(3星)	 几年没看过电视剧了，过年陪表妹看的~            
(3星)	 我也喜欢八八 = =            
(NA)	 有点儿扯淡了昂...            
(2星)	 我雷我雷我雷雷雷雷雷雷            
(5星)	 可逗了~            
(4星)	 挺雷的，但是打发时间还是不错的。。            
(3星)	 1.杨幂嘴巴憋得像老太婆，额头饱满，侧脸看着像我想象中的孔夫子。再对比下素言和僖嫔，杨幂穿宫装身材是有多臃肿。2.四阿哥的鼻孔绝对是个大亮点。每次看四阿哥一本正经谈论伟大抱负又或者和杨幂深情款款对手戏时，只想爆笑。3.演员造型太丑，那个宫女的什么头怎么看怎么像自行车车把，远不            
(NA)	 啥子烂结局！            
(NA)	 四娘。你真的要杀我吗。            
(1星)	 芒果台2011开年穿越大戏！！！作为演员你想全国知晓么？你想雷到众生么？请去接芒果台的剧本吧！！！！！！！！！！！            
(1星)	 杨幂那张脸在古装映衬下真的很漂亮吗？你们能不能摸着良心说话？            
(2星)	 让你抄让你抄！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 结尾结的不好 还想继续的 就这么结局了。。            
(4星)	 不管别人怎么看。反正我还是蛮喜欢的。就是最烦为嘛晴川要喜欢四爷。我还是喜欢八阿哥！！！！单纯鲁莽暴躁的小孩子最可爱了            
(1星)	 着实不明白为毛那么多人喜欢这么狗血的穿越剧？？给一颗星都嫌多            
(1星)	 各种欢乐            
(2星)	 又是一阵刷屏……糟蹋了冯绍峰佟丽娅            
(3星)	 这三星是给我爱的杨小幂 &amp; 雪华姐 &amp;  郭羡妮 ！            
(NA)	 原来又是芒果台擅长的翻拍啊。都说是山寨流星花园，确实是呢，在校内上还有人转帖这两个剧照里相似的对比图，真是笑死我了。佟丽娅终于演了回让人喜欢的角色。            
(3星)	 无力吐槽。            
(NA)	 这么演，四爷会生气了=。= 我的四爷啊！！！            
(2星)	 打发无聊时间的选择～～～什么都不用记~~~            
(4星)	 一起去逛御花园吧！！！            
(3星)	 很彻底颠覆了历史。抱着爱情偶像剧好心情去看冯绍峰与杨幂。嘿嘿嘿～八阿哥。希望马上新出的甄寰和步步惊心不要这般无厘头。最爱小说及历史里的十三。            
(3星)	 雷得很开心            
(4星)	 于正把各种版本的桥段都搜集到这来了。。四星都给男主 ^_^            
(4星)	 化妆和穿越的实际剧情编的不实际，一堆演员按剧情结婚14年，居然连个娃都没有~怎么可能？！还有，14年后除了皇帝有变化，怎么所有人的妆容还是20多岁？晴川穿越回现代，怎么时代没有变化？14年啊，怎么可能没变化？郁闷了~不过感情戏做得很好，三角恋折腾到观众了~            
(1星)	 王爷诚邀我看这个，据说很雷很适合吐槽，好我开始看了。/王爷对不起我看不下去了……            
(2星)	 脑残儿童欢乐多，下午无奈的看了几集，发现里面的人都是傻子。唯一高兴的是，看剧透发现最后成功的是某CP            
(2星)	 不小心误入            
(1星)	 我在想芒果台怎么会放古装剧呢，原来是穿越剧了。能不再雷点吗？            
(1星)	 太傻逼了，生活中到处充斥着这种智障到家的玩意儿，过不了了，不想活了。。。            
(4星)	 为了幂儿~~我觉得还行~~            
(3星)	 2010.1.31-2011.2.18 卫视+奇艺+好好电影）            
(5星)	 1.老想起仨主演在美人心计里的角色 2.都是为了杨幂幂看下去啊 3.其实八阿哥很好看啊哈哈哈哈哈            
(3星)	 三颗星给冯绍峰~            
(5星)	 如果有一天你不见了，我就一直找，找到我死。            
(1星)	 弱智            
(NA)	 我穿越到雷阵雨想起郑爽了，本想跟着优酷更新 边刷豆瓣边听一耳朵瞄一眼看完的，e4听到“脚冷了，心就不会痛了”我知道我不行了。爱情公寓那样的抄还能抄的很欢乐，一古装剧都抄到日漫棒子编剧那去了，杨幂已经从绣花针成功转型为避雷针了！我再废句话，杨幂请你别扭了，没有母性的孕妇步法太傻×了            
(3星)	 古装版流星花园。不解释。            
(1星)	 我们一起逛御花园。于正脑子是缺氧吧！我下次再相信芒果台的话我就是傻冒！你们真把所有观众都当作傻子是把！！！！！            
(1星)	 翻一千个白眼给于正……叫你山寨步步惊心！！！            
(3星)	 能不能给男主四星，给这部剧两星呢？~            
(1星)	 居然有人给五星 明明两星以上就算是又残又瞎了            
(3星)	 好狗血阿。            
(3星)	 清宫版流星花园，无语了            
(3星)	 没有步步惊心好看啊            
(3星)	 首播的时候看过前几集。后来再没耐心看下去了，跳着看了一点点。宫锁珠帘我也看不下去，太快餐了。我决定去看步步惊心。            
(1星)	 真不明白，这么个弱智的电视剧，怎么能把杨幂捧这么红的？            
(2星)	 我靠，再清穿这剧情的尾巴也不用这么狗血的要死吧！！！            
(1星)	 面对玛丽苏的女猪，表示伤不起。4阿哥太可怜鸟~            
(1星)	 我真的觉得很难看啊！第一集就弃了好吗！！！别告诉我后面很精彩啊亲！！！            
(3星)	 拖拖拉拉总算看完了，几度真想放弃。烂透的脑残剧本，比《步步惊心》差得十万八千里。演员表现倒是都还可以。两星，多加一颗给老八和小十四            
(1星)	 冯绍峰竟然凭借他有生以来最丑的造型最荒诞的演绎最失败的一部作品红了这真是让寡人百思不得其解的事情。。。一颗星都不想给！我要把眼前的星星都拽下去！！！！！            
(2星)	 什嘛玩意？！            
(3星)	 ╮(￣▽￣&#34;)╭ 补完了。。爬床去。。。            
(1星)	 。。。。。。。            
(NA)	 难看的简直惨不忍睹！每个人的智商都好像负的一样！怎么会有那么傻逼的剧？！            
(1星)	 你还可以做到更畸形，相信我。            
(2星)	 处处都透着那么一点儿假...（14年后大家伙都容颜不改啊！！真牛逼啊！！！）http://movie.douban.com/review/4611731/ 强烈推荐此影评。            
(3星)	 剧情挺狗血的，但电视剧主要观众群——中老年妇女们就好这一口啊！高收视率不是没有原因的啊！而且冯绍峰古装扮相很好看啊亲！            
(1星)	 OMG，第一集沒看完就沒興趣了。。            
(3星)	 反正我是看完了            
(NA)	 断断续续看完的  豆瓣评价竟然这么低 偶妈偶奶奶倒是蛮喜欢看的。。。。。            
(2星)	 悲剧啊，为了迎合孩子们口中的晴川 八阿哥，我豁出去了，看完啦！！！！！！！！！！            
(1星)	 晃眼看的，很垃圾。            
(1星)	 唉！我有是有多蛋疼才去看这个剧啊！            
(NA)	 很久没熬夜看连续剧了 呵呵            
(NA)	 人生如梦 一樽还酹江月            
(2星)	 很雷。但也不是看不下去。我喜欢看古装的佟丽娅。啊，还有那个凝香格格挺可爱的。虽然四不像四，八不像八，但是好歹八爷还是有萌点的。。嗯嗯，要是女主不是杨幂就好了。。。。。            
(4星)	None
(2星)	 各种现代词，不是在穿越的人身上，而是在古代人身上，还有中间的桥段有相当突兀的部分，让人感觉情绪是断截的，部分内容实在让人觉得毁了历史，比如把还在鼎盛时期的康熙塑造成了凡事有人打小报告就全部听信的小人。。。没觉得主演两位演技好，倒是大配角们很抢戏。            
(1星)	 我脑残，我非主流，我山寨族，看这种片子，自虐啊！！            
(NA)	 实在是受不了了。必须要呐喊一下，十三阿哥，你妈原来是林黛玉啊！            
(1星)	 sb            
(3星)	 天呐邵美琪~~~            
(2星)	None
(3星)	 最近也就适合看看不需要动脑筋的电视剧。            
(1星)	 我只看了2集就看不下去了，这部剧把四爷毁了，我就特么的想给负分。尼玛温润如玉的八八是那么闹残的人么！！！！！            
(4星)	 好傻好欢乐好感动            
(3星)	 哈哈哈哈  四阿哥的大鼻孔真迷人            
(4星)	 我看完了~~~            
(4星)	 第一部在线视频看完的电视剧            
(3星)	 前33集都是边做手工边看，至到最后两集才开始认真的看            
(3星)	 能少点赤裸裸的抄袭么？            
(4星)	 为什么这部戏的评价这么低 我就是喜欢冯绍峰杨幂这样的俊男靓女 剧情也还行啦            
(NA)	 陪麻麻看得            
(1星)	 我以为那个假杨幂死了之后杨幂就穿越不回去了，她们长得那么像，难道不可能杀死的就是她的妈的妈的妈的妈的妈的妈么？高估编剧智商了，杨幂永远都是那副要死不死的表情演技怎么可以这么烂            
(3星)	 ...............四爷            
