http://movie.douban.com/subject/3339375/	蔡锷与小凤仙
(3星)	 支持海媚姐            
(4星)	 感觉新意不足~            
(4星)	 09年的剧，挺好看的。整部剧里就一个接吻镜头还是虚化了的，跟现在吻戏床戏泛滥的内地剧比起来真的是一股清新之风啊！剧情设置也不错，都说了纯属虚构嘛，就当虚构的来看，总体挺好的。人物很立体，这个也比内地剧好些。            
(5星)	 我不得不承认遇见大叔我会NC             
(5星)	 比我想象中还好看，TVB就是这样，越是小制作越好看            
(4星)	 我居然看过。而且明明故事很一般，我却觉得值四星。            
(NA)	 讓我覺得要在劉松仁這駐紮的一部戲。            
(NA)	 周海媚            
(2星)	 看了三集，太坑爹了，小凤仙这种性子，是怎么活下来的……蔡锷怎么说也是大人物，竟然能容忍小凤仙对他的无礼……好吧，就算是个有度量的大人物，也应该让小凤仙远离自己视线啊！还有北洋三杰，像三个古惑仔似的……编剧，乃牛逼了……            
(1星)	 记得看了10分钟就放弃了。。。好吧。。。当我没看过。。。我入不了民国剧            
(5星)	 曾经拥有的那段美好时光已足够一生回味            
(5星)	 劉松仁同周海媚的演技足以撐起這段亂世故事...感人至深 佳片            
(NA)	 不得不承认……周海媚老了……            
(4星)	 主题曲强爆了            
(NA)	 挺感人的，周海媚越老居然越漂亮，歌唱得也还可以。刘松仁依然气场十足。戏说而已啦，跟历史有差别。            
(4星)	 小凤仙+1★            
(3星)	 爱就是简单的付出~刘松仁演技不用说，周海媚还是蛮好看的么..            
(4星)	 研究“民国那点事儿”附属品...挺好看的...            
(4星)	 挺好看的 看过才知道比巾帼枭雄什么强8倍            
(4星)	 感觉这个剧还是有遗憾的说            
(2星)	 完全是狗血剧。。。            
(3星)	 还行吧，假了点            
(3星)	 完全靠的是演员的气场。也算是虐的，不过最后总算是有kiss,从某种角度来讲比醒九幸福多了            
(3星)	 很有看头            
(3星)	 感觉蔡锷应该更帅点。。。囧。。。            
(1星)	 雷            
(3星)	 海味很美            
(4星)	 其实我更偏爱主题曲            
(3星)	 差一点点我就看完了~~但是放弃了~~也不是不好看~~额·~无解~            
(4星)	 POOR小凤仙。            
(4星)	 虽然年龄段是老点，但戏做的真是靓啊            
(5星)	 刘生同阿田很配。            
(4星)	 好演技渣剧情又一典范            
(2星)	 不喜欢里面的演员。。            
(3星)	 唉~可惜的是虎头蛇尾老~            
(2星)	 对民国剧一点都不感兴趣。。杯具！！有点难看。。赶紧忘了！！            
(3星)	 坚持看完了，其实看这个演员阵容，是觉得有点上了年纪，但是还是想看看海味的表演。怎么说呢，当复习一遍历史也好呀~            
(3星)	 故事不够精彩，枉费好演员            
(5星)	 松哥诠释了一个别样的蔡将军，英雄气概，乱世豪情。            
(3星)	 剧情真的一般般，刘松仁还算能撑场面。            
(4星)	 爱 伤一生            
(3星)	 为了一班老人，我看完了这个剧，觉得田蕊妮还是很两点的，另外，剧中的蔡锷大概是最老和最矮的银屏蔡锷形象了吧，可怕            
(4星)	 革命真是一场激动人心的盛世，革命就注定要流血牺牲，包括亲情与爱情            
(4星)	 本三星，多的一星给松哥，姜是老的辣，没他这部剧估计两颗星            
(3星)	 两大主角其实都很不错，看到最后几集才有感觉，松哥太棒了，什么角色都有该有的东西            
(4星)	 看完原来爱上贼开始喜欢刘松仁 看完这个发现原来我不是很喜欢刘松仁= =            
(4星)	 片头曲很好听~            
(3星)	 比我想象的要好很多。很久没有一集不落不拖快进看完一部电视剧了。            
(3星)	 男人的功绩，靠着女人的牺牲。            
(5星)	 时代英雄!            
(3星)	 纯粹为了练听力            
(1星)	 这部戏也太闷了吧            
(3星)	 主题曲很好听 未完结 无看下去的动力            
(4星)	 松仁，老了。。            
(4星)	 因果不隻一端，那是兩種滄海桑田。            
(3星)	 片头曲很好！            
(2星)	 跳着看的。就表演论，给四星；就选角论，给三星；就剧本论，给一星；就本人喜爱程度论，给一星。            
(2星)	 跳着看个大结局就当我看过这部剧了吧            
(2星)	 没有想象中的好看的说.终于还是把它看完了。            
(4星)	 为刘松仁，后5集值得一看。            
(4星)	 1.可能是由于受篇幅限制，编剧问题很多，但总体来说此剧还是很感人的。（对于编导的文史素养、道具制作是否考究等等，咱们对TVB剧不能要求太高……至少编剧将能够给观众以正确引导的道德情操、思想观念赋予了剧中人。）2.“一行书信一行泪……”小凤仙给蔡锷的诀别信写得很好很感人！            
(4星)	 好看!在追!            
(4星)	 今年落花顏色改，明年花開復誰在。 　　已見松柏摧爲薪，更聞桑田變滄海。 　　古人無復洛城東，今人還對落花風。             
(NA)	 前面几集还行 后面就不咋滴了 不晓得最后好不好看 期待哦            
(3星)	 真的只是还行，题材未免也太土了            
(3星)	 菁儿啊...            
(5星)	 主题曲很好听也不会是烦人的纯爱情剧，更不会是只讲保卫国家的男人戏            
(4星)	 5明白点解小凤仙无端端会喜欢他～～有好多情节都好无端端～囧            
(3星)	 结局挺无聊的            
(4星)	 好看~学警狙击和原来爱上贼的班底，很多老港星姜还是老的辣            
(4星)	 中间本来无谓，看到16集，小凤仙送嫁衣给丽媚，还是有些感动的，所以增加一星。这两个都是苦命女子，喜欢汤盈盈！            
(4星)	 松仁哥的剧一定要看的。            
(4星)	 看电视剧而不是历史纪录片，何必太过纠结，大家涂的也只是  &#34;娱乐&#34; 而已            
(NA)	 老男人是赞。。。周海媚最近貌似又红了            
(4星)	 TVB新剧，才看了一集，不知道怎样呢！/比开始多给了一颗星，在那个动乱的年代，牺牲了好多真挚的爱情，希望我们都能珍惜眼前的爱。            
(5星)	 只是想在第19集記錄一下我心情這一集是痛苦和快樂的從來沒有任何一集tvb的劇集能令我哭得這麼厲害心很痛但要說這套劇集真的很精采所有演員的演技也是難得的好            
(2星)	 没有看全，剧情很一般            
(4星)	 睇戲、睇到淚流滿面。            
(5星)	 喜欢看实力派            
(4星)	 跟想象的差不多            
