http://movie.douban.com/subject/4827923/	逃亡者 도망자 PLAN B
(4星)	 结局烂的要死，不过Rain太帅了。            
(4星)	 节奏轻快. 男二的魔咒.            
(5星)	 喜欢Rain就是喜欢Rain            
(2星)	 根本看不下去            
(2星)	 神经病。。。            
(4星)	 总的感觉还是蛮不错的            
(3星)	 李娜英不该演这部剧！难逃花瓶之嫌。rain倒驾轻就熟！            
(3星)	 结局好烂哦            
(3星)	 为了rain就看一下下            
(4星)	 看到后面算是好看一点了，虽然还是假假的。            
(3星)	 结尾感觉有点仓促~            
(4星)	 第五集开头Rain的撒娇真是绝了~~~            
(3星)	 看完啦。剧情是蛮弱智的，不过cp还是很配的。            
(2星)	 Rain很可爱，非常城市猎人。不过坏人也太假太2了吧？把北京拍得很漂亮。            
(3星)	 前面不知道在演什么，十二集以后才好点            
(3星)	 就是看不下去丫~~弃了~~            
(5星)	 冲着Rain的军役之作也要给5星！            
(2星)	 最后还是狗血了。。。。            
(3星)	 rain!rain啊！！            
(5星)	 总的来说这部剧从第八集开始大有起色，之前可以看做是为了让剧卖出好的海外版权作出的让步。RAIN的演技很赞，宝很用心，该深情的地方足够专情。而且入伍前的作品，必顶！            
(5星)	 RAIN  IS  BACK! 坏帅坏帅，有型到爆            
(3星)	 看了两集，还多有新意的，恩~我喜欢那只有灵气的小黑猫~还有李娜英~            
(3星)	 星星全给Rain啦 这么多打戏这么辛苦 但这烂片这是让人不敢恭维啊            
(3星)	 前8集的好电视剧            
(3星)	 场面是够大了 编剧还是那么没脑            
(5星)	 09.29            
(2星)	 为了rain 我承受了第二次            
(2星)	 结局什么玩意地思密达！            
(4星)	 女主角好做作            
(4星)	 本该给三星的 多的那一颗纯粹是为了女主的演技！            
(4星)	 rain在里面很可爱，李娜英很有气质。。剧情稍弱            
(NA)	 喜欢李娜英  有气质            
(5星)	 나는 빠르고 당신의 소설을 더보고 싶어 나는 비를 좋아 하니까            
(4星)	 结局太烂的。。。            
(NA)	 Rain 帅 ！            
(5星)	 RAIN国际巨星            
(1星)	 男二女一女二长相太不给力了！名人客串阵容太强大了。白队长先生长（或者整）得超像焦恩俊，有木有？首部看到6集，直接结尾的韩剧，剧情太狗血了，完全看不出剧情！            
(4星)	 还行。            
(NA)	 回忆一下老子也看过很多脑残韩剧。。。。            
(5星)	 rain的表现很出色哦~演技越发的成熟哎！            
(5星)	 帅气~            
(4星)	 很不错 不过不知道该算什么片 警匪？悬疑？剧情又说明不了是哪方面的剧情 总之没有一般连续剧的拖沓 把每一集都拍得像电影一样紧凑 好看 然后又是帅哥美女云集 不信自己看看 从头到尾都是如云啊！！！            
(4星)	 要不是rain这个剧根本就撑不起来。            
(3星)	 还是比较扯的思密达~            
(NA)	 喜欢Rain才看的            
(3星)	 李娜英很漂亮，Rain也难得那么酷呀，剧情再给力点！            
(3星)	 唉。。开头明明很好看的。。中间开始剧情越来越乱得不可思议了            
(3星)	 编剧够烂。就是看看rain            
(3星)	 对于苦愁深恨的剧码真的不感冒啊。。。亏得RAIN时不时的卖萌留住了宅女的心啊~~~            
(3星)	 高个俊男美女，动作戏颇多，但情节内容太过空洞            
(NA)	 人心不古 人性腐朽 導演靠感情戲賺了好多馬尼思密達機藥            
(3星)	 花了几天时间勉强把它看完了，我只能说没有预想中的好看，没有预想中的精彩，无法与《Air City》和《IRIS》相提并论。所以我点失望啊。            
(5星)	 超爱。            
(4星)	 喜欢女主            
(3星)	 城市猎人完全就是步了这戏的后尘。光有噱头。内料不足            
(3星)	 RAIN.......太帅了!!!!!!!!无敌了.            
(4星)	 女主角有点老，眼袋很重，后来想想可能是因为女主角在剧中睡不好，。。。            
(3星)	 Rain doesn&#39;t know how to act (except &#34;Full House&#34;)            
(3星)	 每一集都有Rain的单独打斗戏，拍这部戏，应该很累吧，总在跑总在打。            
(3星)	 怎么有股香港电影的味道啊~            
(4星)	 是为了看RAIN才看的，剧情也就是老套的韩剧剧情呗~            
(3星)	 MLGB很一般~   我还很耐心的看完了！            
(4星)	 rain真的是喏木喏木可i哟哒~~            
(5星)	 好看~还有一部韩剧是 美妙人生            
(3星)	 有点烂尾了            
(4星)	 其实韩剧也很不错啊            
(4星)	 韩剧中不错的一部~~            
(4星)	 一开始觉得很新鲜，到最后就没兴趣了。。            
(4星)	 Rain的动作戏不负重望 偶尔戏里的坏小子还有顽皮可爱的一面            
(1星)	 悲催的Rain，遇到了一个完全没谱的编剧。。。还遇到了一个拖欠工资的制作公司。。。这剧千万别看。。。会雷得你外焦里嫩的。。。听一下主题曲就好~MBLAQ的OST还是很优的~            
(2星)	 看一半就看不下去了……            
(1星)	 除了风景不错之外，剧情简直一塌糊涂。            
(2星)	 前几集凭借亚洲五大城市亮丽风光和主角们马不停蹄的奔跑尚可一看，其中第五集是亮点，之后走势一路直下，向垃圾场进军。            
(5星)	 看过rain的唯一一部韩剧，剧情很搞笑，不错的一部            
(4星)	 冲着rain去的，但是没追完!!!!!            
(5星)	 他推荐的，很逗            
(5星)	 只能说，rain在里面实在是好帅            
(3星)	 动作戏分最多，但是不够出彩            
(3星)	 看完整部电视剧最喜欢屠班长~好可爱~            
(3星)	 Rain刚出来时还挺帅气的，当他开始做怪腔时我被雷到了！才发现原来这是部喜剧！哎呦，帅哥当然可以幽默，但可以不要油腔滑调挖~这个剧阵势是搞得蛮大的，但感觉上绣花枕头一包草~（另外，因为我是上海人，所以看出这部戏里的一个穿帮镜头，明明是坐上了上海的出租车却说是人在北京。）            
(3星)	 看得很瓦色            
(3星)	 情节还是拖沓，女主角蛮漂亮，但是看起来老，男一男二身材真好……            
(4星)	 如果只想看耍帅就推荐给你！            
(3星)	 这个棒子剧，我在星空追了一阵子，女三对男二说了一句很不错的台词“It&#39;s not love, it&#39;s obsession.”            
(3星)	 为什么不让李多海来演女主角？！            
(3星)	 打发时间            
(5星)	 绝对算我看过的电视剧里前三的剧了。总和评分90分。            
(4星)	 我承认我是奔着Rain来的，每集就是二十分钟Rain在逃，警察在追，结果追上了，再打十分钟，然后看看美女，虽然没有痞子英雄还看，看也是相当不错的浪漫爱情喜剧侦探动作片，跨越很多地方拍摄，中国、日本、东南亚都有取景，很不错很不错~赞一个~~哇咔咔            
(NA)	 韩国还是老老实实地拍传统的韩剧就好&gt;&lt;女主好像郭可盈啊            
(3星)	 发现Rain变帅了，打斗片段还不错～剧情也没啥好说的            
(3星)	 烂尾            
(3星)	 一开始到13集确实挺精彩，但是到黄金出现之后的剧情简直可以用烂来形容了，几个国家的取景确实很不错，勉强算做风光片。            
(3星)	 亲亲觉得一般般，我觉得情节不错。但是里面的感觉不像是在逃亡，像是服装展示会。            
(5星)	 rain很帅。。            
(3星)	 前面精彩 越来越乏味……            
(3星)	 这剧就是各种跑，长跑，中长跑，短跑，接力跑，莫非这是申奥宣传片吗~            
(4星)	 为了李廷镇才看的. 李廷镇帅呆了. 声音超性感. 我已经离不开他......的声音了...            
(4星)	 要坚持看下去..虽然有些剧情的漏洞什么的 但还不错啦 假期用来消磨时间嘛            
(3星)	 前面比较精彩多处引起爆笑，后面剧情拖沓无聊，话说竟然无意中看了rain演的电视剧了。这可不在我的预计范围内。            
(4星)	 rain果然帅啊！            
(5星)	 怎么评分这么少，蛮好看的，RAINRIANRIAN...            
(4星)	 女主太老，RAIN耍帅，丹尼尔我的最爱            
(NA)	 看了两眼 弃 RAIN 也老了            
(5星)	 不得不说  打的很精彩 R的身材完美。。。  小动作很可爱            
(NA)	 看了个开始，实在看不下去，不喜欢男人动不动的就炫肌肉我喜欢素点的剧情也没觉得很刺激，弄不清楚是走搞笑还是悬疑            
(NA)	 棒子果然还是喜欢搞些大场面            
(4星)	 毫无逻辑的剧情。不过配乐很好听。            
(4星)	 我是因为rain才看的这不电视剧，而且是节节周周守着看的，有些失望！要不是rain，我绝对看不下去啵！            
(2星)	 看了几集。。一头雾水。。。            
(3星)	 开头还不错            
(3星)	 这个是我看过的韩剧里面比较普通的一部~~~从故事到演员都没有比较出彩的地方            
(NA)	 原来rain真的好man好卡哇伊啊！！！喜欢女主角，很有气质，很漂亮，个性十足！男二号也好有型，混血儿就是特别的养眼，爱你坏坏的表情和对爱情的执着！            
(4星)	 人的欲望真是可怕，金钱，权利，地位，为了这个可以杀了别人，自己也被自己杀死。充满动作的场面，多国多地取景，很好。特别是Rain的演技，真强悍，痞子、顽皮、冷静、勇气、痛苦，所有的情感，所有的表情！            
(3星)	 中国那点太让人蛋疼，韩国人真损            
(4星)	 前几集还不错，剧情很紧张，但是拍到后面感觉有点乱，缓慢！里面RAIN似乎很辛苦丫，就是在那里跑哈~            
(NA)	 搞笑！ 宋茜+刘岩+郭可盈=女主   男二甘难得当回正义的主儿，又显得发福了，可惜啊 可惜    男三好帅啊~    男主在男二 男三面前都感觉小了一个号...            
(5星)	 剧情很好　看完之后无敌迷rain了..音乐也很好听!!!            
(4星)	 ●０● 李娜英很水内 挺搞笑的。            
(NA)	 个人喜欢看。。            
(4星)	 还行。            
(NA)	 郑智薰可是够活泼的。。。不过整部片子很无味。。。。            
(NA)	 看着太累了，每一集都在不停地跑            
(NA)	 嗯。。。            
(NA)	 痞子侦探~RAIN的另外一面~            
(2星)	 超能拖拉……Rain的耍帅很无聊！女主角皮肤太TMD的好了            
(5星)	 异常精彩 演员剧情场面。。。!!!!!!!            
(5星)	 忘了剧情            
(5星)	 rain时可爱时帅气时成熟时搞逗            
(NA)	 good            
(3星)	 剧里的RAIN有时太二了            
(3星)	 北京上海傻傻分不清楚            
(5星)	 李娜英 RAIN 都有爱~            
(3星)	 喜欢rain的就看看吧~            
(2星)	 一步从头到尾都在追逐奔跑动作，剧情无力的戏有神马好看？！            
(5星)	 wu li oppa真是可cool可2啊~            
(NA)	 纯粹是看rain。很可爱            
(2星)	 剧情，请问此剧有剧情么？感觉在硬扯出16集。都是在秀神马秀浮云。            
(4星)	 男男女女的，型型色色，都不错！            
(NA)	 大制作的一部电视剧，plan B 其实每个人活着都该有这个东西            
(3星)	 只有RAIN无剧情……            
(NA)	 很好看，rain的精彩表现。剧本也很好。            
(3星)	 感动点在RAIN说，永远在顾客身边。其他嘛，女主角比较二。            
(3星)	 前面无限精彩 后面开始拖戏。三位帅哥打戏无限牛啊。。有来北京取景 可惜了感情线实在令人不敢恭维            
(5星)	 大爱！！            
(3星)	 太做作了~            
(5星)	 是给rain的 不是给戏本身~~~            
(4星)	 剧情有点拖沓，曾一度不想继续看，但是为了rain，给4星！            
(4星)	 有点不现实。。。            
(4星)	 打斗拍摄一般般            
(3星)	 女主太老了~            
(5星)	 我太喜欢里头的高科技产品啦~~O(∩_∩)O哈哈~            
(4星)	 为了我的rain            
(2星)	 很烂的动作片。            
(3星)	 动作片，比较缺乏逻辑性，不是我的菜            
(4星)	 继爱丽丝之后难得的好电视剧            
(1星)	 本来是为了rain才去看的，第一集就让我想撞墙，不对，是想拉着编剧去撞墙。他是哪里不对劲了才写出这么NC的剧情。幸运的是，不是我一个人在坑里，我好友shadow为了证明她对rain的爱以撇清我对她的误解，在我弃之后，她却坚持的追到结局，用她的话说“肠子都悔青了，实在不该意气用事”            
(4星)	 虽然有各方面的漏洞，总体还是不错的。            
(4星)	 没看明白的一部逃亡电视剧，剧中人物貌似什么语言都懂，中文普通话、粤语、英日韩，取景地多且广，手机非常现代            
(3星)	 冲着Rain去的。。上手还不错。。越到后面就跟不下去了。。据说结局很烂。。还好没有继续追。            
(5星)	 rain超帅的~~~~~~            
(3星)	 其實可以濃縮成一部電影的長度~~            
(3星)	 太散            
(NA)	 刚开始看的时候很着迷 情结越进展越心急  等连载的心情很是煎熬  到最后发现即使没看结局也无所谓了            
(3星)	 前面可以不知怎么后面就变味了，没收到钱的原因吗。为了大家接吻太潦草，死人太普遍。有些东西不是死个人就能让人感动的。            
(2星)	 完全看不下去            
(3星)	 感觉每集都是一样的~没看完~            
(5星)	 rain真的是很可爱的~~            
(4星)	 剧情不错~rain很帅。            
(5星)	 我是侦探。智愚你是有多贱。rain 不管怎么看 就是待亲             
(3星)	 rain是唯一的亮点            
(4星)	 rain就是萌死了，我以前从没发现他可以这么萌&gt;&lt;李娜英也是越看越有味道的角色~            
(5星)	 看得出RAIN很努力！加油            
(NA)	 每周四周五 都等着看他            
(3星)	 看了一半，后面的没看完。Rain超搞笑，好玩，可爱~~剧情有点乱。没事的时候把后面看完。            
(3星)	 场面是有了，剧情真的鸡肋啊....            
(5星)	 一开始是冲着rain去看得，前面两集绝对是不知道在说什么，到了第4集开始每个人物有点小小端倪呈现了~剧情还算不错吧~值得一看的哦！            
(3星)	 音乐还不错，里面有很多打斗情节看着还挺带劲的呵呵，故事情节一般般啦！想看rain就来看吧！            
(4星)	 还不错啦~~~只是觉得RAIN是一只不死的蟑螂~~            
(2星)	 什么编剧，越往后面越烂。。。要不是rain肯定不看了，看到第10集就觉得受骗了            
(NA)	 OK啦~,就像之前看IRIS一樣,不亦樂乎,不願意結束,總期待會再出下一部            
(5星)	 我超喜欢rain塑造的这个探长的角色，性格很棒，永远很皮，但让人很有安全感，能够依赖和放心，也会快乐。所以很喜欢。            
(3星)	 有点拖沓。。。。rain还是很努力的。女主角表情有点怪            
(3星)	 一直就是很欢快的，但是看着看着就腻了            
(4星)	 为数不多没有快进的电视剧 RAIN很可爱 就是不知道为什么这个片子在韩国收视率不高            
(3星)	 终于看完了 演员的演技都没的挑 但剧情实在太不好说了 前面很拖沓铺垫太多 中间好不容易有意思些了 后面又开始西拼八凑的 完全没有逻辑 急着要完结一样 前面搞了那么多事没几个有意义的 算了 只是为某人看的 目的已经达到了 笑点还是很多的            
(5星)	 虽然因为某些原因简介讨厌了棒子。。。。但是这电视剧还是不错的！            
(4星)	 我爱rain!            
(5星)	 集搞笑、悬疑、动作、爱情于一体，非常精彩！！！！！            
(3星)	 三星都给rain的可爱和肌肉            
(5星)	 星星给阿Rain哒~~感觉这该死的爱比这个好看，这个的结局太仓促了，不过还OK啦~~~~~哈~~~            
(NA)	 Daniel!!            
(4星)	 因为这部电视剧我沦落成了大婶级别了，居然喜欢上了rain，叫我如何是好？            
(4星)	 赤裸裸地说，我就是为看RAIN身材和耍帅才看这部片子的，也没失望            
(5星)	 只能说这部电视剧超high的            
(4星)	 rain好有意思啊            
(2星)	 哎！实在是没什么好的，不追了。            
(3星)	 也就是rain的肌肉好看点呀            
(2星)	 看了一集，觉得不是一般的2            
(4星)	 很棒的电视剧。RAIN的演技还是赞。剧情也不是很俗。            
(3星)	 RAIN笑起来很可爱            
(4星)	 rain同学很有爱，女猪也很有气质，就是追剧情追的太辛苦了！很多地都有点牵强！            
(4星)	 RAIN演的太棒了 看的时候一点不会觉得累 4条主线都有着各自吸引人的地方 很不错的一部韩剧~            
(5星)	 还真有点好看的            
(2星)	 不爱看大制作，没劲，不是好莱坞就别拍那加长的电影、            
(5星)	 OK LADY FIRST。            
(4星)	 虽然编剧留下了很多坑 但那些人都是浮云 只有Rain才是王道            
(NA)	 估计RAIN演完这部也快要入伍了，剧情不错，期待中            
(4星)	 还不错哦            
(5星)	 Rain 啊 Rain，每天都在里面跑啊跑...            
(3星)	 rain演的很可爱啊,不过最后太拖拉            
(3星)	 冲着Rain看的，一集后就失望了。。。            
(5星)	 男女演员都演的很好很卖力，剧情也很好。灰常好看            
(3星)	 网评比《Iris》差多了……只能说，现在的编剧越来越不好当了            
(3星)	 完全是因为Rain才继续看            
(3星)	 可能是之前有iris这样精良的制作和华丽的演员阵容还有狗血的编剧，我觉得这部戏和iris一比，就逊色了不少。不过作为rain回归之作，还是蛮值得一看的            
(5星)	 rain确实有点帅的，型太好了~哈哈哈            
(NA)	 啊呦对着rain又踢又打的 怎么下得去这手！            
(3星)	 海贼V5~~看韩剧也能看到海贼~wwww             
(NA)	 额 今天新闻说 Rain在好莱坞是和成龙一样的A咖  毛！            
(5星)	 有段是在北京前门拍摄的。rain的Chinese说的很不错哈，“师傅”！为了帅锅，所以看的很仔细！            
(4星)	 你可不可以也送我个魔法棒？让一切都不艰难。            
(4星)	 从第十集开始每集我都很傻很天真的以为该大结局了吧，但他就是死不要脸的开始变得又臭又长凑集数，智愚和索菲俩正常人遇着真伊和KAI算踩到狗屎了，不明白真伊这个就会赏嘴巴子一点忙帮不上的大婶何以让俩男人痴迷成这样，RAIN我都想替你回敬她一巴掌了。。中村黄演的太到位，演的我想踩死他。。            
(3星)	 杂七杂八的…虽然是菜鸟韩剧思密达，如果想日剧一样可以拉成9集，大概会好点点啦…因为是老婆的旧偶像，所以来看看…嘻嘻…至少不脑残，就好了…            
(3星)	 配乐不错 韩剧的烂尾永远是开车进行时            
(5星)	 rain帅～最后车上那幕很温馨。            
(5星)	 真的很好看，我天天在等更新，就是跟心的好慢啊！            
(4星)	 第一集RAIN暴肌肉，枪战好假。然后他还是很可爱。话说偶不稀饭李娜英这型。丹尼尔总是这么帅，然后小蜜很正，比李娜英好多了额。。最后的最后，偶还是怀念IRIS。。。。。            
(NA)	 好吧~我承认 我看不下去了!            
(2星)	 看过两集还是看不下去啊            
(5星)	 帅哥加侦探，我最爱            
(3星)	 也就打斗场面还行，取景确实很用心。其他的就没有什么精彩可言了。            
(5星)	 a very good TV series            
(3星)	 李娜英很好看。rain很可爱。剧情很拖拖拖。。。            
(3星)	 感觉这部剧和美剧的风格开始有点儿接近了呢，韩剧真是越来越进步了后来看着看着貌似已经没那么喜欢RAIN了            
(3星)	 上班下班的路上在看            
(4星)	 剧情其实很一般。只是我喜欢李娜英，喜欢RAIN，喜欢插曲。喜欢真异的坚强，镇定；喜欢智愚的用心，心态；喜欢Running&amp;Running的气魄与情感。逃亡者，其实，他们也是主宰者。            
(3星)	 越看越看不下去            
(5星)	 题材蛮新颖、Rain蛮帅、我硬是留着最后三集到现在都没有看。等更新没耐心。            
(3星)	 有些地方太扯。但整体还可以。。。至少不同于其他韩剧。。有创新。。。女主角真的很花瓶，有点痞子英雄的影子，没痞子英雄好看            
(3星)	   为了RAIN~~~~~~~~~            
(NA)	 我很喜欢侦探之类的片子，还有我最喜欢的韩国明星RAIN，支持            
(4星)	 虎头蛇尾……            
(NA)	 很早就期待Rian的这部新剧了，但看了第一集我就放弃了，感觉太假了。            
(4星)	 rain还挺可爱的...            
(5星)	 剧情新的不可思议~电子商务的力量真大啊 看到14集，真的没有精力追下去了，太累了，没完没了的。跳到大结局，看看好像有点牵强，好像故事永远都没有结局呢。            
(2星)	 半集即弃            
(4星)	 第一集看着有点不明白，毫无头绪。不过接着看，让人有了好奇心。            
(5星)	 的确是烂！            
(2星)	 感觉像几部韩剧生硬的拼凑。一把七发的手枪弄得和冲锋枪似的，射个不停。我就是去看RAIN的肌肉，和DENNIS的脸的。而且看了之后还很坏的评个一星··哈哈哈 腹肌还不赖 加一星吧··            
(4星)	 满悬念的 之前有点一头雾水 现在逐渐明朗起来了！首发影视的翻译太不给力了！还是凤凰的好！            
(3星)	 时代很急躁，人们都喜欢快餐。偶尔来了一部剧情复杂，需要人细品的电视剧，人们就开始说：不清楚它想演什么。它是酒，需要慢品。一天还没有看完，又怎么能体会其结构之美？急躁的人们别太轻而易举地定论它。            
(3星)	 原来rain 看着还不错喔            
(2星)	 说实话，这剧看到现在，还是觉得不知所云。。。Daniel Henney是个亮点，支撑着看下去。。。申胜勋的OST 即使不相信爱情 好听 当年爱在哈佛的李廷镇，如今MAN了好多啊。。。帅！又一部无法坚持看完的剧。。。            
(2星)	 无法超越IRIS            
(3星)	 超爱女主角            
(5星)	 少有的跳脱韩剧模式的韩剧。            
(NA)	None
(5星)	 挺激情的            
(4星)	 虎头蛇尾...            
(2星)	 看完，我都累死了。            
(5星)	 没有一般韩剧拖沓，剧情紧凑~很好看~            
(3星)	 本来看名单有李娜英和Rain还蛮期待来着，但看起来也只是一般，比起同档的冠军医生差远了，比起同题材的也差强人意            
(1星)	 rain已过气            
(4星)	 女主很漂亮啊~太有赶脚了            
(3星)	 本来给前五集四星，越往后越完蛋，真矫情，什么鸟结局Daniel真帅，没了            
(NA)	  原本抱着满满的期待去的。结果失望弃之。假 ，烂，闷。            
(5星)	 给喜欢他们的人看。            
(4星)	 越来越有欧美风格滴韩剧也~Rain冲你去滴！            
(1星)	 很扯淡，看不下去了            
(2星)	 好无聊看不下去            
(3星)	 看不下去了            
(4星)	 前两集比较狗血，但是看到现在有意思多了            
(3星)	 止步于16集，越看到后面越没劲。            
(4星)	 逃啊逃，打啊打的，终于结束了。。为什么收视率不高，因为剧情太假。为什么我喜欢看，因为我喜欢破案啊，打打杀杀的。哎，rain这张王牌也没啥用了。。。            
(5星)	 终于在漫长的等待之后，大结局来了~~电视剧的看点还是在RAIN，不管是他的动作戏还是他丰富的表情戏都是经过好莱坞的历练之后的完美回归~~~他这么努力，怎么能不力挺一下呢？            
(3星)	 有点iris的感觉...情节紧凑，而且大场面呢            
(5星)	 帅帅的rain、还有美美的娜英。            
(4星)	 rain的身材真棒！            
(4星)	 很像IRIS！            
(NA)	 4集，弃剧！            
(3星)	 棒子国很久没有这么有剧情的电视剧了！！！！            
(3星)	 rain 同学的新剧，支持一下            
(3星)	 终于在今天完满地结束了该剧。几度想放弃的，不过最后还是坚持了下来，7、8集之后高潮就慢慢到来了……不管怎么说，挺好看的，某些演员演技很好！大赞！            
(4星)	 rain就是大牌 一出手就是大制作 除了开始群车机枪乱扫也打不到一个开摩托车的后来还是可以看的            
(3星)	 女主角很土气，不管怎么看都是。韩国女人，好看的真的好少。虽然有些地方感觉很烂，但是我们做不出来。以一个韩剧的角度来说，还可以。            
(NA)	 虽然是大牌云集 但实在是不清楚它想演什么……            
(4星)	 女主的个性设定很讨厌            
(3星)	 RAIN再也没有了之前的光芒 哎。。。。            
(3星)	 忽略剧情的情况下，看rain还是挺有看头的，就是这编剧太傻了            
(1星)	 不苦情不做作相信我没错的……            
(NA)	 已弃剧！            
(3星)	 2010年10月2日             
(2星)	 第一集相当的无脑，看了半天不知道想干吗，画面的节奏感看似紧凑实则零散，动作戏也不是光靠露肉就可以过关了。除非第二集能挽回，否则必弃之了。。            
(3星)	 真的很佩服竟然演了二十集~而更佩服我自己竟然把它都看完了~这片子真是有够......哎~~~~            
(3星)	 RAIN 真是。。。            
(4星)	 很喜欢里面RAIN的性格，有点嬉皮，但很有责任感，果然还是小小坏的男人最讨人喜欢啦            
(3星)	 看著看著就沒興趣追下去了~人物關係錯綜複雜~            
(5星)	 挺让人期待并没有让人失望的一部韩剧~            
(5星)	 my favourite            
(3星)	 好拖沓，果然不能期待太高...            
(NA)	 真拖沓            
(3星)	 女主演得太差。            
(NA)	 RAIN!RAIN!RAIN!爱死了爱死了爱死了爱死了！            
(4星)	 強大卡司陣容，我都喜歡。            
