http://movie.douban.com/subject/1786735/	倚天屠龙记 倚天屠龍記
(4星)	 呢个版本我既挚爱！！！！那时代好多叶童和教主的片，叶童最深刻的是小李飞刀里面的胭脂。教主就是这个张无忌咯            
(4星)	 刀剑如梦，以及叶童            
(5星)	 经典版            
(4星)	 来了也匆匆去也匆匆恨不能相逢            
(5星)	 一星给教主，一星给童年，一星给音乐，一星给服装，一星给剧本；此版周芷若最漂亮，赵敏是浮云            
(4星)	 我就记住了闪亮亮的周芷若啊            
(5星)	 就这两天室友还翻出来重新看了一遍            
(5星)	  爱杨逍爱教主~~~~            
(4星)	 喜欢杨逍的，尤其是孙兴演的哇。。。            
(4星)	 个人认为这是最经典的版本^_^ 咆哮教主马景涛有木有  “你良心何安呢!!!!”   &#34;你到底居心何在！！！！&#34;    “义父！”……            
(5星)	 从不看金庸，但这版绝对是最好的《倚天》            
(5星)	 后辈难以企及            
(NA)	 那时候叶童也正青春            
(5星)	 孙兴之后再无杨逍            
(5星)	 不喜欢的金庸小说。但是要看《倚天》便看这部，制作精量。            
(NA)	 在人间已是癫 何苦要上青天~~~~是这个吧            
(4星)	 因为孙兴最近吸毒的事情，想起来了这个，只看了杨逍的部分，这个版本最经典，帅死了。T T             
(NA)	 ～～～～～            
(4星)	 孙兴之后，再无杨逍            
(4星)	 我觉得这个版本的张无忌与赵敏以及周芷若都不错，很符合原著的精神与人物性格。            
(5星)	 这是，最爱的版本            
(3星)	 “没想到我杨逍竟然栽在你这个丫头手里。”孙兴之后，世上已无杨逍。            
(4星)	 教主！！！            
(NA)	 楊逍啊            
(4星)	 翻拍了那麼多部，覺得這部才是永恆的經典            
(NA)	 音乐！音乐！！            
(5星)	 无法超越的孙兴版杨逍            
(4星)	 四星是给周海媚的周芷若和孙兴的杨逍，这两个角色的演绎最经典，其他版本无法相比。            
(4星)	 果然大家都最爱这一版的杨逍            
(4星)	 其实那时候，看了很多马景涛的剧~~            
(3星)	 其实 我看倚天的全部意义就是那场QJ和那个QJ犯以及那个纵被无情弃不能羞的女人 捂脸             
(4星)	 周海媚的芷若还是很            
(5星)	 主题曲啊 周华健啊 马景涛啊 咆哮啊啊            
(3星)	 看过这个版本的人，大多喜欢周芷若胜于赵敏。周华健的《刀剑如梦》很帅！            
(3星)	 她说，你们记得，今天是张无忌负了我。周芷若这么说的前一刻，她还穿着鲜红的嫁衣，怀着青涩的紧张等着去做张无忌的妻子。她是峨眉未来的掌门，错只错在，她喜欢了张无忌。而令人哽塞不安的是，宋青书不在了。南国的大的大雪里，再也没有谁能让她偎着取暖了。            
(5星)	 这是我看过最好的一部武侠剧。演员阵容，风光取景，情节，造型，音乐，无可挑剔。            
(4星)	 曾经，有人说我像海味。MB老子长残了。。。。            
(4星)	 不知道是不是被马教主感染了 大家都有点卯起来咆哮的意思 不过杨逍还是这么的绝世风华啊~            
(5星)	 这一版本的杨逍和周芷若都是我的最爱！            
(NA)	 矮油那时候萌死杨逍了。。。            
(3星)	 最好看的周芷若和最不好看的赵敏。。。主题曲很经典            
(4星)	 最爱的倚天版！而且尤爱杨逍            
(5星)	 滚滚呀红尘翻呀翻两翻~天南地北随遇而安，但求情深缘也深，天涯知心常相伴~            
(NA)	 杨逍            
(5星)	 经典中的经典哇~            
(3星)	 咆哮哥，配乐倒是很不错。            
(4星)	 这版真的是爱恨交织的感觉；爱极了这版的逍芙恋，人说“一见杨逍误终身 误了终身也不悔”。同时还特别特别喜欢周海媚的芷若，叶童也绝对是强大的演技派。唯一的败笔是咆哮教主的张无忌，因为他只能打四星。            
(4星)	 周海媚的芷若太经典，叶童这里面的扮相实在不够美，教主其实演的蛮好的~            
(4星)	 为了杨逍,永远的杨左使.            
(4星)	 咆哮教主和叶童是亮点啊……            
(5星)	 这是我最爱的一版            
(NA)	 杨逍，绝对的            
(4星)	 四星都是给周海媚的！！            
(5星)	 这个杨逍我实在是很爱啊。。。。孙兴真赞，尤其演白玉堂，这名真适合他。            
(4星)	 太有爱了            
(4星)	 主题曲什么的还是很好听的……            
(4星)	 小时候很喜欢涛哥，尤其是招牌哭            
(5星)	 这版的角色人人给力！！孙兴演的护法。。名字叫啥来着最帅了！还有马景涛和叶童！            
(4星)	 孙兴的杨逍实在赞……            
(4星)	 来也匆匆去也匆匆！            
(5星)	 我最喜欢的就是这个的            
(NA)	 复刻周美女的近视眼，实在受不了倌人成了女人……            
(5星)	 杨逍~~~~~~            
(3星)	 咆哮吧教主！！但是這個趙敏還要怎麼醜            
(5星)	 好看            
(5星)	 最近突然想重看，这部真是经典中的经典！            
(5星)	 那时候我还是喜欢看电视剧的。            
(NA)	 我竟然看过咆哮教主版本的！！！！！=-=            
(5星)	 小时候被要求晚上八点就要上床睡觉，可以偷偷摸摸的也要看的。太好看了。            
(5星)	 我爱杨逍            
(3星)	 为了杨逍。。。这版赵敏接受不了。。。            
(4星)	 赵敏太丑，杨逍特帅！            
(4星)	 对几首歌印象颇深            
(5星)	 倚天屠龙记            
(4星)	 看得我一路骂过来 实在是太支持周芷若了            
(5星)	 看这部剧时，终于知道叶童是女的了。（从《新白娘子传奇》的梦中醒来）            
(NA)	 周海媚漂亮            
(4星)	 只记得周海媚            
(4星)	 这个版本的张无忌最好-  -            
(4星)	 偶现在觉得这一版最有爱了 == 虽然不喜欢赵敏……不过这一票演员真的很喜欢~主题歌也有爱！            
(4星)	 暑假轮播系列……杨逍好帅，芷若好靓~            
(4星)	 孙兴啊孙兴，你让杨逍从此成为我的情结。杨逍啊杨逍，你的身上承载了所有女人的梦吧。            
(5星)	 不管怎么说，这一部里面不论是主角还是配角，经典的太多太多了！！            
(3星)	 最美的周芷若。            
(4星)	 所有版里还是这一版最经典……杨逍啊~~            
(5星)	 最爱            
(5星)	 哪怕有再多缺陷仍然是心目中的经典            
(4星)	 孙兴的杨逍很帅            
(4星)	 由于这版杨逍的缘故，实在接受不了孙兴之后的搞怪扮相……            
(5星)	 最喜欢的一版            
(3星)	 周海媚那个周芷若真漂亮            
(3星)	 周办演的芷若是最贴近原著角色            
(4星)	 这个版除了教主和叶童外貌稍不符合都不错。孙兴杨逍和周海媚周芷若是神！            
(5星)	 童年的回忆。。            
(3星)	 城市设计            
(NA)	 这么多年以来只记得大结局马景涛和叶童的妆都没老。。。。            
(3星)	 这版的芷若让我印象深刻            
(4星)	 喜欢这个版本里的杨逍，豪情冲天笑傲江湖。他对纪晓芙的爱执着并实实在在，能说的能做的他都已身体力行的真实表现出来，苍天可见。他爱纪晓芙的方式既温柔体贴也傲慢霸道，真是一半是天使一半是魔鬼。同样是表达感情，张无忌是不能和杨逍相提并论的。            
(4星)	 小时候都几中意这部戏  和白娘子一个热爱度~            
(4星)	 儿时回忆 后无来者之作            
(5星)	 这么多星都是给周芷若的，嘿嘿！看过众多版本，最爱这版的周芷若。            
(5星)	 为此我买了原声带，跟着录音机，会唱所有的歌。            
(4星)	 一直很喜欢孙兴            
(4星)	 啊 我最喜欢这一版的倚天屠龙记！刀剑如梦~            
(NA)	 小时候的记忆。            
(5星)	 1星給劇本2星給OST2星給演員            
(5星)	 少年时的美好记忆重温时多半没有什么好结果，这个却不一样，依旧让人激动同喜同悲，一直看到凌晨4点大战光明顶，杨逍纪晓芙几集又是多看了两遍。            
(3星)	 就是不喜欢赵敏！！            
(5星)	 喜欢六大门派围攻光明顶那段，以一敌六，太帅气了            
(5星)	 最后很黑暗。            
(2星)	 惊涛兄毁了这部剧！            
(4星)	 当年是多么的爱周海媚这个女人啊……            
(NA)	 没什么看，初中时，竟然是听着女孩子们七嘴八舌讲的，才知道有这么一部电视剧，(*^__^*)             
(4星)	 《刀剑如梦》好啊            
(5星)	 爱上芷若            
(2星)	 经典的来也匆匆去也匆匆，还有咆哮哥，还有和高圆圆很神似的周海媚，还有很经典的男人造型继续的叶童。不过还是觉得不好看            
(4星)	 很经典，当年看了无数遍            
(NA)	 当年初看张翠山部分的时候，问别人“他发现猴子没有”            
(2星)	 我是张无忌绝对不娶许仙啊！            
(3星)	 教主。。。。            
(4星)	 不待见小说，却因为经典的人物塑造而倾心，果然是一遇杨逍误终生啊            
(3星)	 马景涛            
(3星)	 实在受不了那个歇斯底里的马无忌……            
(NA)	 最爱小昭~~还有她在山洞唱的歌            
(5星)	 沒有任何一部倚天能把逍楊戀拍得如此動人了.            
(4星)	 马教主            
(5星)	 还是最好的一版            
(4星)	 音乐佳，杨逍也佳~            
(3星)	 咆哮教主伴我成长            
(4星)	 当年一直很喜欢周海媚演的周芷若 眉心那个红点 真是美            
(4星)	 喜欢杨逍            
(2星)	 囧            
(NA)	 妈的。。长大后再看这部剧，感动的我只掉眼泪！妈的，演得太好了！啥也不说了！            
(4星)	 小时候的我以为叶童在里面男扮女装呢 - - 至今我看到叶童女装依旧觉得很奇怪很奇怪...            
(5星)	 “我叫杨不悔。妈妈说：这件事她永远也不后悔。”            
(3星)	 小学时看的？            
(5星)	 只为孙兴的杨逍。。。            
(4星)	 这个版本的杨逍最销魂            
(2星)	 马景涛就不说了 早就没语言了 只是我实在无法接受许仙变赵敏            
(4星)	 补录            
(NA)	 我只有一个问题，赵敏和殷素素为什么会长的一样？            
(5星)	 心目中最喜欢的一版。            
(NA)	 剧情完全忘记了。。            
(5星)	 这个版本是经典 无论景涛如何咆哮 叶童虽是最不美的赵敏 但是她最聪明 啥都别说了 周海媚和孙兴是绝版！！！！            
(3星)	 小时候很喜欢0.0            
(4星)	 四分全给杨逍            
(2星)	 我承认，因为马景涛让我对张无忌有了永久阴影。            
(4星)	 那首粗哑声贯穿的开场曲随遇而安，杨逍那法被无法超越的气场，沙发上打着毛衣的中年女人，都是在内心深处的某个情节。            
(5星)	 还是这版最霸气， 周海媚=周芷若            
(5星)	 新倚天出来才知道94版的经典。            
(5星)	 教主萬歲！！！！！！！            
(4星)	 幸好有孙版杨逍让我洗眼            
(4星)	 就是喜欢周海媚里面抱小兔子的造型            
(4星)	 当年真是记忆深刻啊~~            
(3星)	 周芷若是个斗眼……            
(5星)	 比大陆版的好            
(NA)	 小时候            
(4星)	 最爱这版的周芷若            
(4星)	 童年往事啊            
(4星)	 小时候不知道看了多少遍            
(5星)	 最爱这一版。            
(4星)	 喜欢芷若，所以从此讨厌叶童            
(3星)	 男女主角不喜欢，其他角色倒是不错。            
(4星)	 喜欢周海媚的芷若。这一版的配乐相当出色。            
(5星)	 为什么我记得马景涛演的张无忌，也记得周海媚演的芷若，对叶童却一点儿印象也没有呢            
(5星)	 叶童稍微有点雷~其它的都还好啦~反正比苏有朋那版好得多~我喜欢黎姿的赵敏和张敏的赵敏~            
(2星)	 说不出的讨厌赵敏            
(3星)	 记得小时候很爱看，这版杨逍演得很好啊。周海媚演的也行。马景涛的张无忌真让人受不了。叶童演的赵敏一点没魅力。            
(5星)	 当时觉得里头孙兴演的杨逍超帅            
(4星)	 周海媚演的真是好啊，笑起来温婉甜美，一哭楚楚可怜，发起狠阴险毒辣，看过只对她有印象了。            
(5星)	 杨逍啊杨逍            
(5星)	 杨左使~~~~~~~~~~~~            
(4星)	 狂受不了马景涛 大爱孙兴~~            
(4星)	 小时候看的，还是这部有感觉。片头曲一放，就像回到小时候~不过剧情和人物性格和原著差别蛮大...            
(3星)	 唯一看过的倚天竟然是马景涛叶童版，有点感伤...            
