http://movie.douban.com/subject/2154859/	大明宫词
(5星)	 我愛您，姑母！這句話憋在我心裡整整二十年。我知道我將怎樣承受道德的譴責，可我不得不說！我無法抑制，我對您的情感。儘管這讓我覺得恐怖和羞恥，可就連對它的暢想都依然令我體驗了前所未有的甜蜜……當年看到這段我淚如雨下的。那會兒我覺得陳紅是世界上最性感的女人，有著母性的光輝。            
(5星)	 当时看的时候，对台词的感觉是最惊艳的。            
(5星)	 太平公主。。。            
(5星)	 我不断不断地想起那些场景，饶是惊艳。            
(NA)	 看那透明的周迅哪.............................            
(NA)	 haha            
(4星)	 【★★★☆ 入四】            
(5星)	 长相守，这当中的刻骨柔情，唯有死亡能解读和证明。            
(4星)	 补遗            
(5星)	 最喜欢的电视剧            
(5星)	 经典！超爱！            
(NA)	 内地台词最美好的电视剧之一            
(5星)	 高三看过的最经典的剧本            
(5星)	 我当年那么小的时候看到小太平失去童贞还一点都不懂 啧啧            
(5星)	 我只看前半部分，陈红一出来，我就不看了。所以看了多少遍，都是没看完，结局是什么，到现在都不知道。我想问后半段是谁做主挑的太平的扮演者啊，败笔。            
(5星)	 把小说又看了一遍，的确是太美的片子。            
(5星)	 经典啊            
(4星)	 妈妈 是外来语            
(NA)	 鬼片 文艺            
(5星)	 太喜欢了            
(4星)	 薛绍~~~~~~~            
(5星)	 终于哭着看完了。。。实在是一部饱含沧桑又华丽优雅的经典大作！！！            
(5星)	 很 好 看            
(5星)	 當時我覺得趙文瑄好帥///            
(5星)	 爱这剧主要是它把权力和欲望漩涡中各种人物的悲剧诠释的很好，虽然是写意的诗化的拍法却抓住了某种本质，归亚蕾的武则天慈威并重让人印象深刻            
(4星)	 很诗意            
(5星)	 非常喜欢            
(5星)	 愛情是治療寂寞的毒藥            
(5星)	 很美呀            
(5星)	 喜欢旁白  记得曾经全部都打印出来欣赏的            
(5星)	 十一岁的昆仑奴面具。            
(NA)	 难以想象一部电视剧如同一首诗。            
(5星)	 皮影戏和面具            
(5星)	 很前卫，很唯美，有唐朝的感觉            
(3星)	 有那么好吗？            
(5星)	 不喜欢陈红。            
(2星)	 看过一点            
(4星)	 服装设计不错            
(5星)	 满意的古装片之一。整个震撼我小小心灵的爱情观呀……            
(5星)	 没的说 最爱 美得不得了            
(5星)	 就是喜欢这调调            
(5星)	 那样一种华丽深刻的印在年青的心中，至今难忘。以为那是看过的最好的电视剧之一。            
(5星)	 电视剧也诗意            
(NA)	 华丽丽啊~~~            
(5星)	 臺詞！！            
(NA)	 台词善美而辞长            
(5星)	 因为台词太美，所以给了力荐。不能否认，陈红也很美...傅彪演的真好！            
(5星)	 我最爱~看过无数遍..            
(5星)	 一直很喜欢这部片子，台词很有话剧的味道！            
(5星)	 比较唯美            
(5星)	 真的很好看，拍出了唐朝的富丽华贵和奢糜阴暗，选角很棒，台词很棒，像是中国的莎士比亚剧。            
(4星)	 小小年纪的我看这会哭。            
(4星)	 虽说是唐代人却瘦的根根像竹竿，李少红对这种戏说剧的把握还是很到位的。就别糟蹋经典了！！            
(5星)	 很好很强大            
(4星)	 作者私藏的太平公主            
(NA)	 国产电视剧里算是经典的了。太平听到琴声从阁楼里出来那段我超级喜欢。还有皮影戏那段经典啊。            
(5星)	 很喜欢            
(5星)	 长相守是啊，面具下的温柔            
(5星)	 周迅啊....无语形容了.            
(NA)	 自认为到目前为止最好看的电视剧            
(5星)	 长相思，在长安            
(5星)	 这个剧本特棒，我看了n遍            
(5星)	 很有美感的电视剧            
(4星)	 华丽，尽管浮华。            
(NA)	 陈红真难看            
(NA)	 这玩意儿我就记得内太子了...啊.后来男宠貌似因为太子被赐死也自杀了...            
(4星)	 很喜欢剧里的音乐，所以推荐。            
(4星)	 台词太诡异            
(5星)	 优美和精致            
(4星)	 李少红的片子还是不错的            
(5星)	 超喜欢超喜欢            
(5星)	 最爱的电视剧之一。最爱的台词。皮影戏。诗一般美丽。而且，居然，剧本是我好友的爸爸的老师写的。            
(NA)	 这不仅仅是我的最爱，还是我老娘的最爱。华美的大唐太适合莎士比亚式的戏剧对白了            
(3星)	 第一次认识周迅，第一眼就惊艳夺魂            
(5星)	 我一直深爱着这个美丽的缠绕的繁复的神秘的诗情的也单纯的电视作品。            
(5星)	 唯一喜欢的电视剧             
(4星)	 像话剧，拍得很美，掩盖了它的做作            
(NA)	 呵呵，从这部片子里发现赵文瑄长得好的。周迅也很可爱。片子有些苍白。但是比原著太平公主不要好太多。            
(3星)	 薛绍的造型总是让我想起万圣节的晚上..其实还行            
(5星)	 居然没MARK            
(NA)	 小太平那段会反复看。。对李弘和合欢印象真深|||            
(5星)	 最爱的一部电视剧。            
(4星)	 时隔多年，画面台词都比现在的那些个乱七八糟的，言辞粗糙的古装，值得回味与推敲            
(4星)	 还记得那是十年前的一天，我匆匆穿过客厅，瞥见电视是赵叔叔的那张脸，他把头发扎起来，再放下，说着：张易之，薛绍，薛绍，张易之，两张多么美丽的脸。声音性感而浑厚。我呆住了，瞬间被秒杀，赵叔叔对于我来说，绝对是少女的启蒙。            
(5星)	 经典            
(5星)	 学播音的看看咯。语流等等等等各方面都太优秀了。            
(5星)	 哪天重看一次。。            
(4星)	 怎样的台词啊…… 为什么之后再没见过可以媲美的电视剧了            
(5星)	 “像中国那时候的诗词一样美”。             
(3星)	 李少红。理解不了。            
(4星)	 台词真是华丽唯美啊~            
(5星)	 这是我最爱的一部电视剧.至今为了他的剧本着迷.            
(NA)	 全部幻想。            
(4星)	 timeless may i say.             
(4星)	 那个周迅比现在讨喜            
(4星)	 鬼美            
(5星)	 陈红真美！全剧的皮影戏印象最为深刻也是最喜欢的桥段。虽然是杜撰但依然对太平和王维抱有无限遐想啊~哈哈            
(3星)	 看过这部剧,才知道为何新版红楼梦会是这样的. 連海报上陈红的动作都像极了某一副油画. 它不是不美, 整部片子都是为了华丽,凄丽之美而做的.然而这更像一个导演为自己的梦所做的童话,如此不实.我无法爱上这种脱开时代的美...            
(5星)	 氤氲优美            
(5星)	 像古诗词一样的优美，当年很迷薛绍，显死的时候很伤心～            
(5星)	 如果这个时候窗外有风 我就有了飞的理由            
(5星)	 一辈子纠结于心            
(4星)	 以前觉得台词好美，现在觉得好恶心。唯一的震撼就是白花花的胸部们，后来在另外部电影更加淋漓尽致。            
(5星)	 我大概看过300遍            
(NA)	 初中看时，觉得周迅很赞。            
(5星)	 看了好几遍，爱的不得了。            
(3星)	 女人的自我陶醉。            
(4星)	 雨夜看完结局，一晚的淅沥未止。不伦恋结局，编剧估计是日本文化爱好者            
(5星)	 我只是想说大明宫词和红雷梦一个天上一个地狱...= =|||            
(5星)	 我最爱的一部电视剧啊            
(NA)	 要好好重看一遍。            
(3星)	 偶尔看看蛮好，长了有点            
(4星)	 咔嚓 折了            
(4星)	 莎翁式台词。大爱。            
(5星)	 经典            
(4星)	 归亚蕾 周迅 也是黄金组合了 我当年这么喜欢这种莎士比亚华丽风的台词 太浮夸了嘛            
(5星)	 真的很好            
(3星)	 没看完，后面的看不下去            
(5星)	 莎士比亚和王尔德般的台词 舞台范儿十足            
(4星)	 知道了周迅，喜欢了赵文瑄            
(5星)	 很唯美。            
(5星)	 依旧是李少红的巅峰之作。莎士比亚式的台词使得全局笼罩着一种如油画般的厚重感。            
(2星)	 多年前看时就不顺眼，只看了四集就受不了了            
(5星)	 长安月下，一壶清酒，一树桃花            
(NA)	 8            
(4星)	 台词和画面都很棒            
(5星)	 就是一掀盖头变成陈红那里我看的不舒服。            
(4星)	 今日看才发现  果儿公主居然是李冰冰饰演   当年看只对周迅有深刻印象            
(3星)	 看了三分之一            
(NA)	 我怎么看过这么多电视剧!!            
(NA)	 这是我看不厌的一部电视剧            
(5星)	 电视剧里比较文艺的            
(5星)	 曾经看得我如痴如醉惶惶不可终日沉溺到不可救药流尽了热泪的一部戏.....剧本我也看了许多遍......            
(NA)	 台词好蛋疼.......            
(5星)	 可以看很多遍的电视剧            
(NA)	 好看            
(5星)	 很西方戏剧            
(5星)	 凄婉            
(NA)	 隆基儿那声“姑母”真真销魂噬魄            
(5星)	 臺詞、王維、周迅、皮影戲。以及那句“她全身着黑、被同樣黑暗的夜隱去了身形、只一張臉清晰可見、如夜的麵容。”            
(1星)	 什么玩意~雷死人了~给三线城市看去吧            
(5星)	 小学的时候看就迷住了            
(3星)	 配乐不错。剧情太华丽了。            
(4星)	 那时候小，看不懂！！            
(3星)	 周迅在前几集～            
(4星)	 看这剧的时候 天天吃泡面啊！            
(NA)	 少年太平初见薛绍的那一刻……一个女人有过一次那样的目光相对，也够了            
(5星)	 太精彩了！！！            
(4星)	 赵文瑄！            
(5星)	 再加5颗星            
(4星)	 太平。            
(4星)	 大爱此片            
(4星)	 看这一江春水　看这满溪桃花　看这如黛青山　都没有丝毫改变            
(3星)	 太文艺了..            
(5星)	 莎士比亚            
(5星)	 多少深深过往            
(3星)	 不是我的菜，我撑不下去了。            
(3星)	 双子女+射手女+双子男+天秤女            
(5星)	 精美绝伦的台词            
(4星)	 作為八點檔。還不錯。            
(5星)	 不记得看过多少遍，每一次都是震撼。            
(5星)	 这才是盛世            
(5星)	 台词经典。            
(5星)	 很经典的历史剧            
(5星)	 剧本更赞=。=            
(5星)	 看了不下四遍的剧             
(3星)	 小学三年级，我最好的朋友严重推荐我去看的。            
(5星)	 回家竟然找到了，听说升值了！            
(NA)	 经典            
(NA)	 小学毕业的时候，剧本就被我翻变形了。            
(5星)	 它讓我徹底安靜鎮定下來。說話的速度，舉止得體，焦灼的隱藏。權力，也許該和女人絕緣。不過是應該和一個渴望安平幸福的女人。我可能不是。我渴望的只是燃燒和自我塑造。            
(4星)	 当年很惊艳的陈红和当年很纯真的周迅（至少看上去是）            
(4星)	 初见周迅             
(4星)	 长相守。            
(4星)	 经典的电视剧，前面很精彩，后面说实话只有张易之是精彩的，总结起来，前面周迅的少年太平，后面张易之，最后还有那个一脸正气的李隆基，李少红最让人喜欢的电视剧            
(4星)	 爱上爱情。            
(5星)	 咋还就有这么好看的电视剧呢            
(5星)	 喜欢14岁的周迅。喜欢陈红。            
(3星)	 喜欢前面周迅那段。后面陈红的不太喜欢。            
(5星)	 高中时电视上看的，其实只看过周迅演的那段，非常非常惊艳！            
(5星)	 那时的周迅            
(3星)	 喜欢那时候的周迅！母女关系            
(5星)	 再也没看过比这更唯美的剧了~            
(5星)	 岁月久久，亦不能忘。            
(5星)	 看过无数遍！！！！绝美的台词！！！！！！！！！            
(NA)	 非常喜欢。            
(5星)	 大明宫的奢华：唐朝的辉煌是贵族的辉煌。            
(5星)	 那个时候看觉得陈红真是漂亮            
(NA)	 从这时喜欢周迅~~~            
(5星)	 小学的时候每天追着看……啊啊啊啊啊啊~~            
(5星)	 开启了装逼女青年的道路            
(5星)	 绝对经典！            
(3星)	 台词啊！！！绝对牛            
(5星)	 很爱            
(5星)	 初中全部只有我和另外一个女孩子看这个。CCTV8晚上很晚播的。高中还排过舞台剧。            
(5星)	 太唯美的一部片子            
(4星)	 http://www.douban.com/subject/discussion/11252916/            
(5星)	 美丽的故事            
(5星)	 以太平公主的一生折射盛唐走向没落的过程，很喜欢这种苍凉的旁白。。恢弘的气势，经典之作            
(5星)	 都很美            
(5星)	 这个世界，没有爱，不好；而太想爱，就会让你更失望。            
(5星)	 只记得，那一场场美丽的皮影戏。            
(5星)	 看那如黛青山，看那一江春水            
(5星)	 一见钟情            
(4星)	 那时候看周迅真是惊艳。            
(3星)	 画面很美，故事一般            
(5星)	 大明宫词不是没看过的 记忆里情节已经模糊 唯有那夜市里的惊鸿一瞥 永生难以忘却            
(5星)	 当年我还是喜欢周迅的。。            
(4星)	 我还真迷过这个。。。orz~            
(5星)	 很有李少红的范儿            
(5星)	 最喜欢里面周迅饰演的小太平            
(5星)	 美轮美奂            
(5星)	 很喜欢的电视剧            
(3星)	 【昔时所看】 几乎是我看过的第一部怨念剧……            
(5星)	 那时还是小学……            
(5星)	 薛绍有十分爱 但他只表露两分 张易之有两分爱甚至没有 但他却有能力让你看到十二分的感情  　             
(4星)	 周迅            
(5星)	 归亚蕾和周迅            
(4星)	 不知当时什么迷醉了我            
(5星)	 刻骨铭心的最爱            
(4星)	 那华丽丽的台词啊~~~            
(5星)	 那些台词好华丽啊~~ 赵文瑄好帅帅帅帅帅啊~~ 我是没有营养的人~ =3=            
(5星)	 初中。美丽的大明宫词。当年语文课上大家讨论的热爱。            
(5星)	 周迅那种清澈的眼神再也不会有了            
(5星)	 无法超越的好看的电视剧。也许我很喜欢赵文瑄吧，嘻嘻。            
(4星)	 我记得里面有周迅 那个年代的故事是场悲剧            
(5星)	 这海报也忒...了            
(4星)	 好吧！才发现这个导演是李少红，怎么相隔个10年差距就那么大了？            
(5星)	 看了很多遍 还是很喜欢···            
(5星)	 很耐看，画面也美            
(4星)	 台词让我恶心            
(5星)	 华丽的背景 沉重的人生            
(3星)	 看到第四集看不下去了...            
(NA)	 映像很深的电视剧，准备再看一遍。。。            
(NA)	 个人认为这是国内最好的电视剧            
(5星)	 周迅消失之后我就不看了。不对，还是强忍着陈红的烂演技看的，因为赵文瑄太帅了            
(2星)	  陈红实在漂亮            
(5星)	 压抑着的美最美            
(5星)	 我喜欢这个感觉。斜风细雨。            
(4星)	 我居然很小的时候就开始觉得很好看了。。            
(5星)	 这是一部太美的电视剧。把电视剧拍出电影的质感和精致的美感来，李少红的确是做到了。也是从这部剧开始认识周迅，喜欢周迅。音乐也很棒，至今还能哼出里面的一些旋律。里面的台词也让我心动。总之，这是我最爱的几部电视剧之一。            
(5星)	 电视剧之杰作            
(4星)	 曾经最喜欢的电视剧 重温 发现很喜欢薛绍型的男人            
(5星)	 长相守　一看再看            
(4星)	 我本身对这种时代的剧没什么兴趣            
(4星)	 闪耀着女性光辉            
(4星)	 好多人说这剧慢得可怜，谁又有多快？快了坚持不久，哈哈哈。我倒喜欢里面有点压抑的快感。            
(3星)	 挺华丽的。            
(5星)	 梦回唐朝。            
(5星)	 周迅很出挑            
(5星)	 李少红拍的唯一能看得。现在回过头还是觉得台词别扭了。但是还是能打85分。只是里面出现的几个笑星实在碍眼。            
(4星)	 ha ~小时候总和姥姥一起看            
(5星)	 台词！            
(5星)	 这是我最喜欢的电视剧~对白那个美呀~画面质感那个好呀~故事那个动人呀~            
(5星)	 很佩服李冰冰的演技...            
(5星)	 前半段            
(4星)	 我真的很迷这部。。            
(5星)	 借用小卡的句式，陈红阿姨，这也是您的绝唱了。您跟陈叔叔，你们俩，一块儿堕落的，我知道。            
(5星)	 关于爱情,最初的启蒙.            
(NA)	 幽幽宫闱, 痴痴女子.            
(5星)	 当时真的很喜欢看            
(5星)	 薛绍            
(4星)	 迅演的太平真可爱。李隆基竟然乱伦爱太平，虽是微扯，但也小浪漫咯。            
(4星)	 深宫哀怨。            
(5星)	 看这一江春水，看这清溪桃花，看这如黛青山，都没有丝毫改变，            
(5星)	 张易之            
(NA)	 十年之后的回首            
(4星)	 旁白写的真好            
(4星)	 就是喜欢啊就是喜欢，还需要什么理由            
(5星)	 美的演绎            
(4星)	 华丽得让人窒息，但我宁愿被这样窒息            
(NA)	 至爱            
(4星)	 周迅周迅            
(5星)	 很长很美的一首诗            
(4星)	 蛮漂亮            
(5星)	 很莎士比亚式的台词，很诡秘的风格，很现实的感觉。。。            
(5星)	 很多年了，一直是最爱的电视剧            
(NA)	 很喜欢这部电视剧，唯美而震撼。            
(4星)	 如此唯美的台词            
(3星)	 厄....简直是大明艳情史==            
(4星)	 喜欢周迅演的小太平..认识归亚蕾从这部开始..            
(4星)	 我覺得很寫實            
(5星)	 唤醒了对唐朝的所有热爱。            
(4星)	 当年很迷，还花血本买了VCD            
(5星)	 非常棒的画面感，非常棒的对白，成就了非常棒的电视剧。            
(NA)	 画面很美            
(5星)	 台词是亮点            
(NA)	 华丽。            
(3星)	 可以看，但台词太浮夸了，很不合适            
(3星)	 太平公主在宫中奔跑沐浴的画面永远记得            
(3星)	 帝王将相，才子佳人？放你娘的狗屁！            
(NA)	 正统的蓝本            
(5星)	 如此优美的人物,如此优美的忧伤,如此优美的历史            
(3星)	 太话剧话，不过也算一次尝试吧            
(4星)	 话太多 ＝ ＝            
(5星)	 完美~！离合兴亡，都感人至深！            
(3星)	 小太平            
(4星)	 台词很不错            
(4星)	 台词华丽            
(4星)	 Glamorous~            
(4星)	 第一次觉得中国片还行            
(5星)	 经典之作！            
(4星)	 词美 ，最爱皮影那段的台词            
(5星)	 挚爱            
(5星)	 剧本台词非常之美！            
(5星)	 人生若只如初见。            
(5星)	 史上最华丽的台词，冲击了我高三纯粹的生活。            
(5星)	 最喜欢的国产电视剧！！！            
(3星)	 小太平很美妙            
(5星)	 那个台词叫一个戏剧            
(5星)	 现在我都还记得一些情景            
(5星)	 台词，服装，女人们，爱情，一切都很美。lotus赠我剧本，闲暇之时翻看，还是觉得美。            
(5星)	 大明宫词，名字好，台词更好            
(3星)	 方言还不错            
(5星)	 那种朦胧色调和苍老的旁白声线让人心碎。            
(5星)	 台词、布景挺美的            
(5星)	 貌似是初三畢業的那個暑假在家里昏昏沉沉地看完            
(5星)	 华丽诗意            
(5星)	 最喜欢的电视剧            
(4星)	 不错的剧本，华丽丽的拍摄，很有舞台剧的风采            
(NA)	 这么多年。。还是清晰记得它的点点滴滴            
(5星)	 台词那是相当的好            
(4星)	 华丽的台词            
(5星)	 见过最好的古装剧            
(4星)	 画面拍的比较唯美，就是音乐比较吓人！呵呵。。。。。            
(NA)	 认识李少红。            
(5星)	 这是一部少有的电视文艺片要是红楼梦能拍成这样多美            
(5星)	 很唯美的电视剧~经典~陈红扮演的太平公主好漂亮，周迅演的小太平也很可爱~~记得那时候还狂喜欢薛绍~            
(5星)	 号称莎士比亚留下的剧本            
(5星)	 美丽的剧集，热爱的国产剧            
(NA)	 画面质感蛮好的，喜欢那种感觉。            
(5星)	 好喜欢            
(5星)	 经典            
(4星)	 睿智。            
(NA)	 意境很美            
(4星)	 让人心碎小太平            
(5星)	 不错，很喜欢            
(5星)	 细细看了一遍剧本 每一句台词都这么值得玩味～            
(5星)	 布景、台词都超级美的片子。            
(5星)	 看這一江春水，看這滿溪桃花，看這如黛的青山都沒有絲毫的改變，對面來的是誰家的女子            
(5星)	 喜欢的为数不多的几部电视剧            
(5星)	 曾经很爱这电视剧。台词写的很经典            
(5星)	 我专门去买了本台词研读...            
(4星)	 华丽丽            
(4星)	 大明宫词            
(5星)	 唯美            
(4星)	 记忆中的经典爱情            
(5星)	 当年多爱啊            
(4星)	 那个年少的太平公主，那个周迅，让我着迷            
(NA)	 这个片子的服饰等都比较精致。感觉也不错。台词对白更像舞台剧。对“采桑子”那段皮影戏印象很深。            
(NA)	 喜欢            
(5星)	 感情中,人生的缩影和困境            
(5星)	 台词确实有些很唯美            
(NA)	 绝美台词            
(5星)	 昆仑奴面具。皮影。优美的台词。周迅。赵文瑄。            
(4星)	 經典中的經典～            
(5星)	 周迅演的太平公主！！！            
(5星)	 很喜欢...            
(NA)	 更象一部话剧            
(5星)	 其实我很矛盾。一方面我在十四半岁的时候疯狂迷恋这剧，这在我的个人史上无法再超越了。晚上是不能看电视的，为了看这剧在白天的重播，我不惜佯病逃课。另一方面，昔年的少女心，让我总觉得像是一个猛汉穿了一条hellokitty小内内那样不具有真实感。据说编剧就是剧里的突厥王子。当年我朦朦胧胧的偶像。            
(4星)	 这样的电视剧是一定要加到“看过”的条目里去的            
(4星)	 当时为了迅儿哥和赵蜀黍在集市相遇那段才看的 心碎呀... 看到陈红出现就没往下看了            
(5星)	 太平的独白，大段的台词，美得耐人寻味。            
(5星)	 小学的时候=w=            
(5星)	 没法超越了.            
(4星)	 那个时候就喜欢看周迅那一段～            
(5星)	 太平是我心中女性美的巅峰，无论内在还是外在，无论青春还是暮年。            
(4星)	 太长了。。我忍不住滴跳到了最后一集- -台词比剧情更好看            
(5星)	 林海的配乐，什么也不说了！            
(NA)	 赵文瑄蜀黍当得起一句人淡如菊，非常俊朗的男人。            
(4星)	 从小跟李少红 就认识了美男赵文瑄~ ˋ( ° ▽、° )             
(5星)	 喜欢周迅            
(5星)	 此剧不但美在它莎士比亚式的对白，更在于它表现人物心理时古典乐器运用的巧妙。            
(4星)	 小时候看的，看电视上播好多遍了吧，个人认为这是李少红拍过的最棒的一部片子。            
(5星)	 我一定要买来这个剧本好好琢磨~            
(5星)	None
(5星)	 美死了！            
(4星)	 中国电影的经典，喜欢周迅的角色            
(5星)	 台词出彩、美人儿...赵蜀黍`            
(NA)	 小时候印象很深刻，现在才发现原来是遍地的奸情和乱伦。最记得的是结局处李隆基跪在太平公主的身后，哭着说：“我爱你。”从此记住了吴军这个演员，他还演过《人间四月天》里的梁思成。            
