http://movie.douban.com/subject/2270526/	情书
(NA)	 狗血啊，杨铮喜欢的是文慧她妈啊，OMG~~~            
(5星)	 小学四年级吧……片尾是，世界末日。            
(4星)	 徐静蕾曾经也是美菇凉。            
(4星)	 当年放的时候还是很好看的            
(4星)	 纯情徐静蕾对我的影响都快赶上安妮宝贝了。如果不是完美结局估计我印象会深一倍。            
(NA)	 李亚鹏和潘虹,徐静蕾和刘畊宏严宽莫少聪...片尾曲好像是咻比嘟哗的世界末日...            
(NA)	 我靠，原来那个人是刘畊宏演的！！现在才发现！！            
(5星)	 这部剧是我几乎整个小学时期，除了对武侠剧和动画片之外的国产电视剧记忆。那时候超迷莫少聪的~我记得那时候徐静蕾坐在她的写字台用大大的水笔写日记，我还特意去买了一支一样的，那时候这部剧确实挺小资了，重温一遍情书，温习徐静蕾的青春，温习90年代的上海。别有一番味道。我看到我的小学校服了            
(4星)	 读书时候看的了 那时候的徐静蕾是我唯一觉得好看的            
(3星)	 世界末日            
(5星)	 片尾曲是世界末日。            
(5星)	None
(5星)	 当年特喜欢看。一晃11年过去了…            
(4星)	 还记得当时坐在电视机前期待的心情 喜欢夏琳的名字 对上海的初印象也从这部剧开始 很长一段时间一直在找会吹泡泡的维尼熊            
(NA)	 我好像印像中看过，没什么印像··            
(NA)	 曾经有这样一部电视剧……            
(4星)	 我第一首听到周杰伦的歌 就是情书的片尾曲            
(5星)	 真想再看一遍            
(4星)	 小学时候完全沉迷进去的偶像剧            
(NA)	 这个也喜欢！！！            
(NA)	 友邻提示想起了这套剧。同为李蜜瓜老徐，我当年更喜欢这套。还与同学一起因为此剧看好聂远刘畊宏严宽等等会走红而沾沾自喜。            
(5星)	 好好一个北京姑娘 跑到上海了就 老徐啊            
(5星)	 当时我真的很喜欢  太浪漫了 老徐当时也很漂亮            
(4星)	 值得一辈子去爱的人            
(5星)	 这部片对我真是有很深的回忆！            
(4星)	 和 《将爱情进行到》一样的时期            
(NA)	 里面的歌啊——想笑来伪装掉下的眼泪，点点头承认自己会怕黑            
(4星)	 剧情到现在还记得；第一次听到世界末日            
(4星)	 世界末日 刘畊宏            
(4星)	 那会天天追着看来着……            
(4星)	 哇塞，小时候的电视剧啊 T T、。那时候就喜欢徐静蕾了ha~            
(4星)	 记得那时候天天坐在电视机前等            
(4星)	 片尾是世界末日诶            
(5星)	 久远的回忆阿~是个美丽的故事            
(5星)	 没想到是九岁看的啊！当时觉得刘畊宏好帅啊！！！！片尾曲《世界末日》野孩子原版            
(4星)	  《世界末日》            
(4星)	 这个时间可就早了            
(3星)	 这这这李亚鹏和潘虹这一对真让偶无语 囧 片尾曲是杰伦的作品，很好听。            
(3星)	 有好几段故事，那个小马的囧死个人了。            
(NA)	 对~每年夏天上海出的剧之一            
(4星)	 小时候的记忆啊！还是挺喜欢的，小时候特别喜欢夏琳住的房子            
(4星)	 很小的时候看，被家长说现在的小孩不对了。            
(4星)	 当时特喜欢这部剧。            
(4星)	 在那个没有多少像样偶像剧的年代，这么一部戏就够我们萌很久了，就是现在一提起这剧我还心驰神往的，可惜的是不能重看，重看真的很破坏原有心中的形象。            
(NA)	 看得見黃浦江的大陽臺  好懷念&gt;&lt;            
(5星)	 很小的时候陪着妈妈看的哟            
(4星)	 因为这部剧喜欢上了老徐世界末日要推推            
(5星)	 我是在这里爱上你的~            
(4星)	 今晚看了杜拉拉，情书是我中学追的第一部偶像剧。            
(3星)	 小时候看的时候好喜欢刘畊宏演的那个黑帮啊            
(4星)	 其实这里徐静蕾已经成熟多了，还有刘畊宏，小时候心目中的大帅哥。            
(4星)	 刘畊宏/野孩子乐队  当年的回忆            
(4星)	 我很喜欢这部电视剧的风格，包括当时的徐静蕾            
(4星)	 就是這部片子，讓我發現了很好聽的世界末日。            
(NA)	 说实话是很老的片子了；说实话片尾曲 周杰伦的《世界末日》是我最喜欢的他的歌            
(5星)	 我还记得女主角的家里望出去可以看到外滩，片尾曲是世界末日。            
(4星)	 这是开始喜欢徐静蕾的第一部作品，也是唯一喜欢的她的一部作品。。。那时候真的觉得她就是最美的。。。            
(3星)	 那个时候的徐静蕾啊。。。            
(5星)	 曾经狠喜欢徐静蕾            
(5星)	 喜欢            
(NA)	 当时我就看出来徐静蕾真爱乱搞男女关系。            
(NA)	 别的没记住，就记住那妈了            
(5星)	 喜欢情书里的刘畊宏，默默付出，喜欢！！！            
(NA)	 还记得那时徐静蕾那叫一个纯啊            
(4星)	 我记得这剧题材不错也挺好看的，是不是最后跟刘畊宏好了？            
(4星)	 童年珍藏 世界末日            
(4星)	 记忆中的第一部偶像剧            
(4星)	 也不是喜欢这部剧，是喜欢那首《世界末日》，当初周杰伦压根没名气，刘畊宏是谁我也不知道，但是就是喜欢上这首歌。现在很佩服周杰伦的创作才华，想笑来伪装掉下的眼泪，想哭来试探自己麻痹了没，我的世界将被摧毁，也许颓废也是另一种美，这种心情多少也是都有过的。所以对歌词就特别有感觉啦。            
(3星)	 好早年的老徐            
(NA)	 晕，我9岁的时候看这个……            
(4星)	 记得若干情节：潘姐的往年恋以及片尾野孩子的《世界末日》            
(4星)	 小时候挺喜欢看的            
(NA)	 当时的老徐真他妈的纯            
(4星)	 有刘畊宏？！没印象。。            
(5星)	 最经典的内地电视剧            
(4星)	 最后居然是刘畊宏 大爱            
(4星)	 清纯得很，在小徐变成老徐的时候，严宽还是严宽            
(5星)	 很小的时候看过 就对徐有了印象 但是现在的她和那个时候差距很大。不过，很喜欢这部剧，现实而又浪漫。            
(4星)	 当年觉得这对母女关系太有戏了！            
(3星)	 当留个念想吧！            
(4星)	 喜欢片尾咻哔嘟哗版的《世界末日》            
(3星)	 为了那个时候的片头片尾曲            
(4星)	 当年超爱啊！            
(3星)	 里面蛮多名演员的哦~很XX的结局，世界没有那么美好的啊..            
(5星)	 初中毕业，大三，现在一共看了三次，每次都有不同的感觉            
(5星)	 一个还不错却总没人想起的电视剧，徐才女在里面很漂亮。            
(4星)	 那时候没猜到结局            
(4星)	 老徐那时候真是清纯。。原来里面有刘畊宏的啊。。            
(5星)	 爱上老徐从情书开始            
(5星)	 片尾曲居然是当时的坏孩子现在的羽泉            
(4星)	 清新的爱情小品。            
(4星)	 很好的片子。。但看的人很少            
(NA)	 第一次知道徐静蕾，并且惊奇的发现里面尽然有刘畊宏            
(NA)	 那个时候就觉得刘耕宏这款是我喜欢的。。。            
(5星)	 因为夏琳。喜欢上了老徐。            
(5星)	 想当初真是很喜欢看的，初中的时候看的，那时候很向往徐静蕾在里面的生活。国内的都市青春爱情剧在那个时候拍得都很不错的，给80后影响一定很深刻了。            
(4星)	 那个人果然是刘畊宏~            
(3星)	 犹记得刘畊宏坐牢。。还有严宽演个坏男            
(3星)	 还很嫩的老徐。。。初中时看了多遍的电视剧。。。            
(4星)	 其实还不错的            
(4星)	 这大概是我最喜欢的徐静蕾的片了。。。            
(3星)	 当年不能理解徐静蕾放弃莫少聪和一个工人在一起            
(5星)	 四段感情~            
(3星)	 刘田井宏好帅啊            
(4星)	 小学生的电视剧记忆 片尾曲是世界末日 是第一次听到Jay的歌。            
(4星)	 小时候看的偶像剧            
(4星)	 当年很爱的一部！            
(3星)	 小时候很喜欢徐静蕾房间里一个会吐泡泡的维尼熊摆件            
(4星)	 记得是初中的时候看的，记得最喜欢那首世界末日和弹吉他的刘耕宏            
(4星)	 我记得有这么一段...某女用脚背刮某男的脚，在桌子底下            
(4星)	 就记得画面挺唯美的，徐静蕾家的阳台很赞可以边喝咖啡边欣赏外滩。还有，当年看完电视剧还能把片尾曲完整学下来            
(5星)	 没看过将爱情进行到底，倒是这部连续剧成了我的爱情启蒙            
(2星)	 世界末日 爱上片尾曲            
(5星)	 童年最爱的女主角~~记者、咖啡、书店、文稿纸、上海，娴静但不文弱的淡淡气息            
(3星)	 不记得具体情节了，只记得里面的徐静蕾很美很美            
(3星)	 当年清纯死的老徐            
(4星)	 ED 后来才知道是野孩纸。好听。            
(5星)	 今天不知怎么突然想起大陆版的《情书》来，当时觉得好看得不得了啊            
(3星)	 三星半            
(4星)	 1999年，那是个夏天，呃，果然是很久很久之前……            
(3星)	 每一部偶像剧都是一段回忆，回忆好美~            
(4星)	 10多年前的片子了。。。            
(5星)	 99年啊！！大龄女青年话题就开始探讨了啊！！            
(NA)	 世界末日            
(3星)	 周杰伦的世界末日就是从这里听到的！片尾曲            
(4星)	 小学时候看的~刘畊宏帅死了！而且小学时候不会读这个字还特地查了字典啊！！！            
(NA)	 不知道这部片子在讲什么，可能是看的时候年纪太小了。            
(3星)	 第一次听世界末日是在这里面            
(5星)	 喜欢            
(5星)	 童年啊童年，那时候真心觉得徐静蕾好看            
(4星)	 徐静蕾与N个男人的故事。“天灰灰，会不会。。。”《世界末日》是这部戏让我认识的。            
(4星)	 想想那首世界末日 想想那时候的上海 怀旧情绪悄然浮现            
(5星)	 我老喜欢这部片子了！最主要那时候就喜欢上了 世界末日啊！咻比嘟哗的野孩子比杰伦的好-。-            
(5星)	 年少时，一部将爱情进行到底，一部情书，让小学二三年级的我对爱死你有了种种的懵懂感。情书的片头曲起点，片尾曲世界末日，永远都听不腻，还记得那个找遍大街小巷去买野孩子磁带的日子。            
(4星)	 李亚鹏 为什么突然傻了  或者说越来越傻啊啊啊啊啊。。。。            
(4星)	 这一段美好的回忆            
(4星)	 片尾曲世界末日啊。。            
(5星)	 小时候的记忆~            
(4星)	 很老的电视剧 有时间要再看一遍！            
(4星)	 依稀记得严宽的背叛，还有就是片尾曲世界末日，因为觉得片尾很好听就把词曲作者记住了，谁能知道就是后来这么红的周杰伦            
(5星)	None
(5星)	 好吧，我小的时候很喜欢这剧            
(4星)	 世界末日红了            
(3星)	 那首《世界末日》的插曲红了            
(4星)	 曾经也喜欢过徐静蕾            
(5星)	 11年了呵呵~2000-2011，小学四年级-大三，当时这电视剧喜欢得不得了，那时候觉得片尾曲世界末日很好听，对词曲作者周杰伦有了第一印象，他那时名气没有到只能写歌给别人唱，然后就是初中时周董sou一下火了，这部剧却很少人有印象...时隔这么久感觉还是很好看，cast也很强大~            
(4星)	 当年看来最浪漫的偶像剧~~            
(5星)	 当时觉得刘畊宏好帅来着            
(3星)	 很早的时候看的            
(3星)	 当年还跟姐姐讨论老徐最后会跟谁在一起~~小时候觉得夏琳这个名字好听死了~~真是年少无知额            
(4星)	 只记得，那一年，年轻的我，有多少夜晚，睁着双眼，为女主角的境遇担心……又被片尾曲吸引，疯狂的找歌手是谁……那时候的杰伦，还不为世人所知，却以锋芒毕露，才华横溢。--------------这一晃，就是数十年过去了吧，那时的你们，都各有所成，而那时的我，现在却觉得满心苍老……            
(4星)	 还是因为主题曲啊，刘畊宏和某个组合唱的世界末日，怎能轻易忘怀？            
(5星)	 怎么就可以看到了？？？到底怎么看            
(5星)	 对当时的我们很触动，阿雷            
(5星)	 一直在心里            
(4星)	 现在才想起来那个人就是刘畊宏。。。            
(NA)	 就像一本偶尔想要翻阅的情书，学生时代看的，特别喜欢那时候的徐静蕾。            
(4星)	 那個時候覺得世界末日真得好好聽 其實這部劇雖然老 但是當時人們穿著還是很不錯滴 很喜歡夏琳的家 有著大大的露天陽臺            
(4星)	 小时候好喜欢            
(5星)	 蕴含了很多人少年的回忆吧。那时的青春偶像才是真正的青春偶像。现在不行了，一个个看着脸上都动过刀子。这又是何必呢。            
(5星)	 就在那年爱上做文字工作的她，她的房间布置，她家的露天阳台，还有对爱情的执着.......我也不会放弃，因为爱情....            
(3星)	 那时候的老徐怎么穿都很漂亮            
(5星)	 很喜欢!经典剧!!            
(4星)	 其实吧 我只记得歌了            
(4星)	 很有感觉，情书，要经过这么久才知道最爱在哪里。            
(5星)	 夏琳家的露台当时很是喜欢            
(NA)	 想要翻出来再看一遍。。。MS小时候看了这部电视开始超喜徐静蕾的。。。            
(4星)	 刘畊宏很帅，就是这里面听到了世界末日            
(4星)	 小时候特别喜欢徐静蕾拍的这个电视剧 她家的阳台真是美翻了面朝外滩 客厅有个吹泡泡机第一集出来很梦幻的 后来知道刘畊宏是唱手 听世界末日就会想起这部剧            
(3星)	 竟然是刘畊宏！！！那时还不知道片尾曲是世界末日，还拿卡带录过，只觉得太好听了！不过徐静蕾也变太多了吧…            
(3星)	 过程很让人纠结，结局更纠结。。。            
(5星)	 用心            
(4星)	 那时候我才小学五年级，知道了杰伦世界末日那首歌，知道了徐静蕾知道了刘畊宏            
(3星)	 现在才想起来那个男的是刘畊宏。小学的时候看的。            
(4星)	 那时候 没人知道世界末日这首歌！            
(5星)	 当年大爱，现在重温一下~~            
(3星)	 世纪末的上海小资调调            
(NA)	 第一次听到世界末日是因为这部剧            
(4星)	 喜欢~终于找到了~~            
(3星)	 只记得可以看见明珠塔的那个阳台，和《世界末日》            
(5星)	 超级好看啊 当时觉得徐静蕾超美 刘畊宏那个角色帅到爆              
(3星)	 当年我就喜欢刘畊宏那种坏坏的男人，要知道那时候我才小学五年级啊……对对 不得不提的还有“世界末日”这首歌，当时喜欢的不行，还让姨妈替我录过的……            
(4星)	 我看过的第一部国产偶像剧。多年后发现男主是刘畊宏饰演的 真的很惊人啊。            
(3星)	 也是小学还是初中时看的一部电视剧了，想想算是那时的偶像剧了吧。就是这部戏听的世界末日，那时，唱这首歌的羽泉叫野孩子？那时，这首歌还没红，周杰伦还没出名。小时候懵懵懂懂，看得似懂非懂的。不过当时很喜欢徐静蕾。            
(4星)	 我当年好爱这部。那时候还不知道周杰伦却总记得世界末日。            
(4星)	 小时候第一次去上海玩 一直在旅馆里看这部片 情节现在全忘记了 只记得有一夜三（或是二）年级自己居然还尿了床            
(4星)	 世界末日的歌哦~~            
(1星)	 老徐也有嫩的时候。            
(3星)	 很老的一部电视剧，老徐出道蛮早的，演技也很不错。            
(4星)	 小情绪 大人生。vicky力荐下，同学来家里一起看的。那时有v，偶娘，mickey，angela等等            
(4星)	 断断续续看的，剧情一般，之所以喜欢，是向往夏琳和雷涛之间的爱情。            
(4星)	 那间阁楼上冒泡的温馨的小屋            
(3星)	 99年            
(4星)	 重温~~            
(5星)	 世界末日最好听的版本就是从这里开始的            
(4星)	 因为这部戏很长一段时间很喜欢刘畊宏....            
(5星)	 那时我还好小            
(4星)	 好早啊~记得当时觉得很好看~            
(4星)	 小时候 怎么觉得徐静蕾那么漂亮            
(3星)	 世界末日原唱            
(NA)	 世界末日什么的            
(4星)	 对剧中徐静蕾用的带扣的小本本记忆犹新~ps：原来我那么小的时候就看过刘畊宏演的戏鸟……            
(4星)	 无比遥远的回忆与那首《世界末日》            
(2星)	 我当时觉得夏琳老做作了……要爱不爱的，最后选了一个肌肉男！            
(4星)	 哎呀 差点忘了这个 很好看的电视剧 发现原来片尾曲是周杰伦唱的 那个啥涛啊 还是雷啊 是刘畊宏演的哇？            
(4星)	 一种淡淡的纠结…里面好多男主但我只记得刘畊宏了。            
(5星)	 那时候,超喜欢徐静蕾。            
(4星)	 片尾曲是 世界末日噢~很赞 那时还不知道jay是谁的时候 后来真的红成这样            
(NA)	 周杰伦的歌 还有个组合叫SBDW            
(NA)	 1999年啊   十年间   我还是初学者            
(4星)	 年轻时候看的，片尾曲是SBDW的世界末日~            
(5星)	 音乐很好听，老徐很清纯，外滩很美！            
(4星)	 当时的上海好美。            
(4星)	 就是这部剧认识了徐静蕾。那时候的她是那么清纯漂亮，喜欢她长发飘飘的样子，所以我也坚持留长发。剧中的她时常开一辆红色摩托车，后来我也让老妈买了辆呢。她穿的衣服也很好看，这影响了我的审美观念。一直认为淑女就是夏琳那个样子，以至于我在不知不觉中模仿呢。值得一辈子去爱和世界末日也很好听！            
(4星)	 突然想起了这部电视剧。十一年前的片子。大家都老了。            
(3星)	 看它的时候超喜欢老徐。。还有那首歌！超爱。世界末日。貌似。            
(3星)	 小学时看的人生第一部所谓的偶像剧            
(4星)	 小时候很喜欢的电视剧            
(NA)	 徐静蕾当年真是蛮清纯，不过刘畊宏才是最终的男主角，没想到。那时觉得片尾曲特好听，后来才知道是还没成名的周董的大作呀。            
(4星)	 那时爱上片尾曲，认识的野孩子，世界末日            
(NA)	 童年看的= =            
(4星)	 我喜欢莫少聪!!!!            
(4星)	 现实中，估计莫少聪会胜出吧。            
(5星)	 小时候看情书，不明白为什么第二次没成功，为什么会有第三次，为什么主人公试过了一个个都不成功。后来知道，爱是两个人的事，也是一个人的事。即使找不到对的你，生活也该继续。            
(NA)	 当时的徐静蕾好青涩。            
(4星)	 真的是一个梦啊，至今还是难忘，虽然剧情很肥皂……            
(4星)	 多年后的今天才发现。当初这剧里的肌肉男竟然是刘畊宏。            
(4星)	 这部剧还挺好的，有点小资情调~            
(NA)	 我一直记得李在里面追徐她妈妈的镜头，当时把我吓的不轻。。但我很喜欢里面徐他们住的房子。            
(4星)	 那个时候在电视上看的时候怎么想得到片尾曲是周杰伦的世界末日呢男主还是刘畊宏            
(4星)	 还是刚上初中时看的……但是还依稀记得其中的剧情。如今想起来，已然成为那段岁月的一个印记。怀念……            
(4星)	 初中时因为世界末日永远的记住了这部电视剧，在失恋的时候又想起了她，翻出来看，还是更喜欢这个夏琳！            
(NA)	 那时候好小啊。            
(4星)	 太久远了            
(4星)	 十几年前  偶像剧很少  老徐清丽的形象绝对是我少女时代的回忆啊            
(NA)	 啊，居然找着了            
(4星)	 恩，模糊得记得是个好看的片子徐MM在里面特清纯            
(NA)	 剧情不记得鸟~但是几么清楚滴记得片尾曲是世界末日            
(5星)	 小时候觉得真好看            
(4星)	 小学时代的记忆总是美好的。。。            
(NA)	 小时候很喜欢的电视剧            
(4星)	 那时候好爱看的~~而且觉得徐静蕾挺好的，现在就不太喜欢她了~~还有就是当时觉得刘畊宏长得还挺帅的，为什么他没红呢？~~别的忘差不多了，现在印象最深的还是片尾的《世界末日》很好听，还算是迷了周董好几年~~P.S. 我怎么不记得有李亚鹏？！            
(3星)	 剧情莫名其妙 但是上海那所房子的地点美不胜收！！！还有从这里知道了那首好听的歌。。。            
(4星)	 老徐的清新和美丽时代。            
(4星)	 有好多kiss镜头不好意思看呢，对刘畊宏这个肌肉男印象很深，片尾曲是周董写的野孩子唱的《世界末日》好听极了，那时周董压根没红            
(5星)	 我最爱 最爱的大陆电视剧。            
(5星)	 和爱情白皮书的感觉很像，片尾的世界末日比周杰伦唱的好            
(NA)	 看过好多遍，在还不明白爱时            
(3星)	 小时候看的，那个世界末日啊。。。。            
(3星)	 还记得那个组合叫咻比嘟哗            
(3星)	 又是小学那会儿。然后爱上了黄浦江边的小阁楼。            
(NA)	 少年情怀总是美好的。。但真实是完全不一样的世界。。不过有过曾经的美好也很好了。。。。            
(3星)	 原来咻比嘟华当年叫“野孩子”啊！            
(3星)	 男主是劉畊宏 救命            
(5星)	 结尾曲是周杰伦的歌，徐静蕾在里面演的很不错            
(NA)	 好看！            
(4星)	 儿时的回忆&lt;三&gt;            
(4星)	 那时还啥也不懂呢            
(4星)	 帅哥美女啊~还有那个年纪的周杰伦            
(4星)	 特别喜欢这里的莫少聪。。。。原来女主角叫夏琳= =            
(NA)	 那个时候第一次听到“世界末日”、然后印象中的房子是我向往的、            
(NA)	 那是很久以前             
(5星)	 这部戏太爱。            
(4星)	 徐静蕾！世界末日！            
(4星)	 就为了那个结局给了4星            
(5星)	 认识徐静蕾是从这部电视剧开始,于是开始迷恋她...一直不爽为什么她要自称老徐...里面的片尾曲&lt;&lt;世界末日&gt;&gt;野孩子版本 一直是我KTV的保留曲目.透露个小秘密,老徐的微笑神似我的初恋~            
(3星)	 男主角不是李亚鹏            
(4星)	 对小时候看过的剧都有种很特殊的感觉 所以加一颗星            
(NA)	 完全不记得莫少聪。对刘畊宏倒是印象深刻。《起点》和《世界末日》就是在这里听到的，到现在我都觉得好听。            
(4星)	 特别干净            
(5星)	 第一次看到面朝大海春暖花开的房子，当时小小的我是多么感动。。。            
(5星)	 太经典了  当时看片尾的时候特意看是谁唱的 于是看到个陌生的名字 --周杰伦   还为刘畊宏遗憾呢 心想要是男主角唱的多好  没想到啊没想到 日后的周杰伦如此大红大紫  而我也喜欢了他九年了  呵呵~~            
(3星)	 那个时候 算是 很小资哦            
(4星)	 喜欢徐静蕾是从这里开始吧？            
(5星)	 这是留给我印象最好的大陆偶像剧看这部戏最喜欢的是潘虹和老徐之间的戏，很喜欢这对母女小时候没看到结局，特想让美娥和祖在一起，再重温，结局是那么让我失望啊            
(5星)	 直到今日还念念不忘的剧集。            
(4星)	 可以学到两句经典的日语            
(5星)	 那年我读五年级，我第一次周杰伦的歌，以至于后来很不习惯他本人唱世界末日，怀念！            
(4星)	 很久很久之前看的电视，喜欢刘畊宏的角色，现在想来还是蛮好看的            
(3星)	 哈哈，我妹从不看台湾综艺节目都认识“外景A咖”小马，才发现原来这里面是休比嘟哇大集合啊，小马，刘耕宏，世界末日......嘿嘿，对比现在无限唏嘘啊.......            
(4星)	 小时候看得如痴如醉。。。因为刘畊宏            
(4星)	 那年……夏琳……            
(NA)	 小时候超级喜欢徐静蕾啃苹果的样子~~            
(4星)	 那天又翻到了《世界末日》，听着歌曲就想到了这部片子~            
(4星)	 想哭 来试探自己麻痹了没            
(NA)	 从第一次看这片子到现在也十多年了吧，当时我真是还小啊。前段时间在电视上听到世界末日这首歌，突然发现是周杰伦的，又看到了刘畊宏，就想起来了这部电视剧。十年上海的变化也大，当时都没有大剧院呢。。。也好像边看边回忆了下当时年轻时对爱情的向往，哈哈，现在的我心境真是和当时天壤之别呢。。。            
(NA)	 很好看,还想再看            
(4星)	 从这片子里面知道世界末日和刘畊宏            
(2星)	 这个说的啥啊？汗             
(3星)	 不记得了。。。小时候看的            
(5星)	 好像是上高中时看的吧，当时很喜欢，现在也很喜欢！片头和片尾曲都很好听！            
(4星)	 当时我六年级，偶像剧就是一个看呀看            
(5星)	 小时候超喜欢的电视剧            
(NA)	 喜欢那幢房子            
(3星)	 这个也好多年了 徐静蕾和刘畊宏演一对儿 八竿子打不着的俩人            
(4星)	 那时候我才多大啊？。。。这电视剧让我开始喜欢世界末日这首歌。            
(4星)	 第三集开始的那段英文歌，找了好久，都没找到...            
(NA)	 最后的结局我还没看，哪天补上            
(NA)	 我为啥子要看这个啊我是够无聊的看了一些 赶紧停了            
(3星)	 多年后才晓得那肌肉男原来就是周懂死党刘畊宏             
(3星)	 多年后才发现那人是刘耕宏            
(NA)	 小时候就喜欢就很喜欢，可就只看过一次            
(NA)	 很经典的，90年代时看的~            
(5星)	 记得喜欢徐静蕾就是从这个时候开始的。。很喜欢很喜欢的一部。。重温起来还是很温暖呀            
(5星)	 很多年的了~~~            
(2星)	 曾经的回忆            
(4星)	 很久以前看的记忆犹新            
(5星)	 特特特特特特特喜欢的一部电视~~超级喜欢~            
(4星)	 初中时极度沉迷的片            
