http://movie.douban.com/subject/1418660/	大长今 대장금
(3星)	 太长了。。。下给长辈看D。。不过看完之后更加增添了我烹调食物的兴趣。。。            
(3星)	 有必要在做饭时那~~~~~~~~~么面带微笑吗？            
(5星)	 正。            
(5星)	 这算是电影吗？70多集诶            
(3星)	 裹脚布            
(NA)	 湖南卫视。。。不错！            
(5星)	 靠！高考的时候每天紧赶慢赶写完作业等着看啊！尼玛 湖南卫视还搞那么多广告啊！ 擦            
(2星)	 乌拉拉~乌拉拉~乌拉拉··············            
(NA)	 我妈当时还抄歌词。。            
(NA)	 我喜欢连生。            
(3星)	 - -其实也就一般励志- -            
(NA)	 原来我从小到大看过那么多韩剧..            
(5星)	 这个需要慢慢看   一天2集  保证你进入状态              
(4星)	 又臭又长的大长今被我给看完了。            
(5星)	 = =             
(3星)	 后面是毛都忘记了            
(4星)	 2007年夏天            
(5星)	 李英爱~其实我喜欢看厨艺部分。            
(5星)	 我想应该给五星，因为毕竟我也买书来看了。            
(1星)	 讨厌棒子- -            
(4星)	 也是我娘很痴迷。不过池珍熙确实帅啊。            
(4星)	 太长太励志了。可看死我了。            
(3星)	 大一啊 大一 我的大学就这样过去料            
(2星)	 假            
(3星)	 斯密达            
(NA)	 记忆中的时光碎片 高三时候 与超女一并红            
(1星)	 我最喜欢崔尚宫....            
(3星)	 看过一点儿            
(NA)	 我居然还真是看过大长今哎。其实我不知道为什么她那么辉煌            
(5星)	 啧啧，韩剧里我最爱这个            
(4星)	 泡菜国的经典            
(3星)	 好长，见识了芒果台广告里插电视剧的作风。            
(3星)	 片子不错就是有点长，那满桌子的美味真让人垂涎～            
(NA)	 长今学医术时，老师只说一次，她也能懂。很受刺激，想学，学不会。            
(NA)	 其实是个幸福的女人，比起黄真伊            
(NA)	 高三暑假每天上午补完课，回到家洗好澡舒舒服服在开着空调的房间里。3点半放完，湖南卫视。一段岁月的背景，因此怀念。            
(3星)	 好长好长啊~~~            
(5星)	 棒子还是有好东西            
(4星)	 断断续续看的。            
(5星)	 经典到无话可说……            
(4星)	 励志励志~            
(5星)	 我太喜欢李英爱了            
(4星)	 第一次看那么长的电视剧......            
(4星)	 陪妈妈看的。。。            
(4星)	 一如既往的慢节奏，但是却真的感人            
(4星)	 好吧 讨厌我的那个班主任还特地买盗版碟看            
(NA)	 补注。            
(4星)	 最后几集太掰了            
(3星)	 很多人都看过，我也看过，陆陆续续从电视里看了些。此剧具有分水岭的作用。它在国内热播后，韩剧的引与播出数量进和观众便程下滑趋势，当然之后的韩剧缺乏精品也是原因之一。            
(4星)	 被长今和闵政浩打动了~文火慢熬的爱情            
(5星)	 记得高中的时候这部片子很风靡广州。            
(4星)	 如果情节不那么拖沓的话应该可以打五星            
(5星)	 力荐力荐.可谓是让我对极度长篇电视剧改观的伟大作品            
(NA)	 06年的寒假~~李英爱姐姐~            
(5星)	 看了很多次，还是很感动。里面爱情的部分反而不是特别好看，而是每个人人生的跌宕起伏，在宫廷中的命运都走向了意料之外。不管是好人或者是坏人，他们都在努力地活着，有得势的时候，也有经历难以翻身的低谷，可是他们都一步步走过来，先不论什么历史民族的分歧，里面的故事和情感刻画的很到位。            
(5星)	 那么多集的剧都被我看了3遍！不弄个力荐不行！            
(4星)	 我居然从头到尾一集不落地看完了            
(3星)	 看看怎么做菜倒还行            
(3星)	 这个女人太强了，一个女人在那个年代可以有这样的传奇实在不简单。            
(5星)	 很经典的韩剧套路故事，不过又比以往的套路更新奇            
(4星)	 很韩国很无耻很经典。            
(5星)	 多经典。            
(3星)	 湖南的··            
(4星)	 除了说话句句都慢一拍，其他都还能接受。            
(5星)	 确实蛮励志            
(NA)	 娶妻当取大长今            
(NA)	 女性励志片。那时的李英爱比较漂亮！            
(NA)	 我恋爱时男友推荐看的这部剧集，所以忘不了            
(4星)	 真正的执着            
(4星)	 确实还算比较红火的了            
(3星)	 在二三星间犹豫良久。            
(4星)	 很长一段时间，闵大人是我的理想丈夫。            
(5星)	 似乎天生就对太过流行的东西有抵触情绪，往往是在流行的余温时才捡起来去关注。在一两个礼拜内看完，70集，还是被其执着所感动，以及爱情。互相扶持并依恋眷恋彼此的爱情，影视里是个常数，现实生活中却似乎总得归为奇迹。            
(4星)	 坚韧的像野草            
(4星)	 看的时候无比着迷            
(NA)	 励志 爱情 古装            
(4星)	 婆婆很爱看。一边坚持在家里走来走去锻炼身体一边守着DVD机看了一整天。^-^            
(4星)	 也算是励志片吧            
(4星)	 和爸妈几乎一集不落的看完的            
(NA)	 害得我至今仍然喜欢韩国料理。            
(4星)	 励志            
(5星)	 这部片子我花了一年多时间看完            
(4星)	 真够长呢            
(3星)	 太长，救命~            
(3星)	 唯一一部看过的韩国古装            
(5星)	 当年最爱            
(NA)	 韩剧能不能加快节奏。我认识的韩国人也没你们演的那么拖沓。看死人了。            
(2星)	 定位是励志剧。还有长今。看了几集就没兴趣了。            
(3星)	 节奏太慢            
(4星)	 励志            
(4星)	 很长我市耐着性子慢慢看完的，每集还是有悬念的所以才看下去了啊！            
(NA)	 找来韩语原版观看，呜，今英姐姐的呻吟（噢，是声音），真是悦耳～            
(NA)	 这个节奏很慢，属于少看几集不会影响理解，依然可以接得上            
(5星)	 是一种什么样的精神呢｀｀如果不是有对自己非常重要的人或者信仰｀｀            
(5星)	 这是我最最喜欢的韩剧,看了快十遍了还是没有厌.            
(3星)	 对我来说，这种剧只能一口气有选择性快进看完，向所有忍受漫长广告轰炸仍坚守电视机前每天看一集的同志致敬！            
(3星)	 首尾好 中间重复拖沓            
(3星)	 恩后来觉得女主角由点灵异体质            
(3星)	 too slow            
(4星)	 李英爱皮肤白.医官长得像白胖子./            
(5星)	 Dae Jang-geum            
(3星)	 不是非常喜欢，不知道为什么，所以哪怕大红大紫，我还是没有看完整。            
(3星)	 一个女人的一辈子            
(NA)	 和外婆一起看完的            
(4星)	 为什么这么多人喜欢看??            
(5星)	 看第二遍的时候疯狂地喜欢上了，很感动的片子。不过为什么我总要看个两三遍才能理解得更深呢？经典的魅力~            
(5星)	 挚爱.            
(NA)	 湖南卫视，呵呵            
(3星)	 纯粹是为了一窥地方饮食，然后DIY一下，听说在韩国喝个排骨海带汤就了不得了，不知道是不是？对片中的那首悠长的朝鲜歌印象深刻，片中对长今和闵大人眼底交缠的关注起到画龙点睛的作用！呵呵...窈窕淑女，君子好逑呀。            
(NA)	 这么长我都看完了，这不容易            
(4星)	 励志            
(3星)	 不明白呀不明白，为什么举国上下都在看？我们全家集体观看的年龄是5岁到50岁……            
(4星)	 不错，了解了女性在男性世界里如何奋争的过程，可以激励女性。是女人应该看、学习和沉思的一部好片子。            
(3星)	 食物看着好吃啊            
(5星)	 全民大长金度过我的黑暗            
(3星)	 长!            
(4星)	 医药，奋斗，爱情，童话，长            
(3星)	 全民追看的一出戏．但我总觉得，长今如果能不那么蠢的话，她受的苦会少很多．            
(4星)	 喜欢美食题材的片子～看完后对韩国文化瞭了很多～结尾是败笔～不过再不想看韩国的古装片了，大概有个认识就够了。P.S:打死不看第二遍，太长了……            
(3星)	 看的惟一一部韩剧，实在太...长了，累！            
(NA)	 我考这是搞笑片子            
(5星)	 韩国            
(NA)	 TV            
(4星)	 大长今            
(4星)	 里面中医调理可以学习！            
(3星)	 mary sue拯救世界，实在是看不下去了。你敢拍100集，就敢给1颗星            
(NA)	 【2003-09-15】             
(4星)	 芒果台的粉啊            
(1星)	 装逼犯            
(4星)	 除了剧情拖拉太长了点，节奏有些迟缓，还真挑不出太多毛病，尤其音乐大赞。            
(3星)	 = =。大家懂得。            
(4星)	 池珍熙的大人好深情            
(4星)	   很励志。            
(5星)	 和爸爸一起看的            
(5星)	 高中时一度迷恋这个女人。            
(4星)	 当年全民热播，从此韩剧比黄河还能泛滥            
(NA)	 风靡一时的大韩剧啊            
(5星)	 還記得那首WULALA…的主題曲。            
(4星)	 第一次看韩剧，但是还很是迷恋了一阵子男主的...就是觉得大长今是复读机一样            
(3星)	 跟着老妈看            
(3星)	 全国人民都看过了吧。。。            
(NA)	 追过一段时间。。。不喜欢大胡子所以不看了            
(NA)	 妈的我还是没看完……太长了            
(2星)	 什么都是你们韩国的！            
(4星)	 巨长无比。            
(4星)	 当时和妈妈一起看的~            
(4星)	 哈哈哈哈哈 當年是有多迷池珍熙啊 哈哈哈哈哈哈            
(5星)	 矮油！最爱的韩剧古装！没有之一啊！            
(5星)	 我最爱的韩剧。长今，韩尚宫，闵大人。            
(3星)	 跟风点。。。            
(5星)	 10            
(4星)	 可以爱死这剧，也可以被这剧给折磨死。忘了中初中还是高中看的了，反正弄得很郁闷，现在提起还是一部让人郁闷的剧集。但我承认，确实狠励志！            
(4星)	 前一半还过得去，当医女那里32倍速，结尾看了一下，其实比较喜欢她的朋友。。大胡子男主角哈哈哈哈哈            
(4星)	 韩国宫廷励志剧，里面的美味真是多啊。还有李英爱的笑容。真是温暖。            
(3星)	 闵政浩很温暖。实在是太长了            
(3星)	 主要是对美食和华丽的宫廷生活感兴趣……            
(3星)	 又是陪老妈看的。。还有《风花》里的那句 “娘娘，究竟怎么了，你倒是说啊娘娘”            
(3星)	 诶。最讨厌韩国电视剧里面那种跟你说话没反应，说完你还问句你说什么的破烂套路。不过吃的倒是还蛮好看。            
(4星)	 TVB..            
(4星)	 真不知道100多集当时我是怎么看完的。。。            
(4星)	 不是每个大长今都能火成这样。            
(2星)	 对中国文化的抄袭实在是胡说八道但尚宫死还有皇帝死那一段还是比较感人。当年很多女生迷闵大人，痴情帝啊            
(4星)	 长今从小就是一个机灵鬼~李英爱和池珍熙很登对~唉，白菜啊白菜……让我说神马才好！囧            
(NA)	 【EP01】            
(4星)	 高中时看这个很励志，励了志就睡觉...            
(4星)	 唯一全看完的韩剧。。。。印象最深的就是皇帝最后叫长今走的时候，眼泪啊。。。。。            
(2星)	 太长真烦人            
(4星)	 看过足有三四遍，倒不是因为有多喜欢，而是刚来这里的时候，既不能上网又没电视，电脑里只有一部大长今，翻来覆去的看，倒也不腻，每一遍都能寻到新的感动。            
(5星)	 我仍然记得长今的努力，闵大人的温柔，韩尚宫的去世            
(NA)	 冲着励志看的，精神看到了，但在视觉上更多的是做饭的考究，光瞅着做我也觉得累/            
(4星)	 看的最起劲的是看做饭 囧            
(4星)	 我爸说李英爱比金喜善好看很多倍            
(5星)	 虽然很长，但真的很赞，喜欢长今隐忍的性格，从她的身上可以学到很多东西，无论是失败或是消沉的时候都会给你带来力量。            
(4星)	 到处都是池珍熙。。。            
(NA)	 怨念。电视上追看的。            
(3星)	 这个断续看的，真没看全            
(4星)	 学会不少菜式，挺不错            
(4星)	 长长的一个暑假，就献给这部剧了-2005年            
(4星)	 吃的吃的 后面拖沓了不喜欢            
(4星)	 都是吃的呀都是吃的~            
(NA)	 最后那个什么手术印象中太不真实了。。还有针灸是中国人发明的。。。感觉每个民族都有被神化的人物。。            
(4星)	 乌拉拉乌拉拉哇哇哭啦            
(4星)	 终归是经典。。。            
(2星)	 不是我的菜            
(3星)	 2003            
(5星)	 无论看多少遍重播，都甘愿！            
(5星)	 妈妈喜欢的            
(1星)	 宫殿那么小            
(NA)	 记忆。            
(5星)	 力荐力荐，为了里面丰富的知识，当然主要的还有大长今不屈不饶的信念。            
(5星)	 因为大人和内人有爱嘛&gt;。&lt;喔多尅~            
(3星)	 太长了实在。            
(1星)	 很没文化很无聊，但是我还是看了- -自插双目……            
(3星)	 六年级时喜欢  很流行            
(4星)	 有点拖沓了            
(4星)	 多经典多励志的一部韩剧呀，简直是创下了收视记录，那时候满大街都是那首呜啦啦。也是第一次知道李英爱这个女人，后来才发现她演别的片子更好。            
(NA)	 我看过的真不少啊。。            
(4星)	 追看过的韩剧，难得            
(3星)	 好吃            
(4星)	 韩国版  阿信的故事            
(NA)	 一个不会做饭的人，能演成这样，不错。            
(5星)	 曾经因为熬夜看湖南卫视10点播的《大长今》每天早上上学没有精神。后来期末考试很糟，被妈妈狠狠地骂过。但是依然很喜欢。            
(NA)	 长            
(4星)	 全剧传达的善良美好情感和自强不息的上进精神——长今，用她秉承的善良、坦荡的笑容、坚定的眼神、从不放弃的生活态度、获取正当利益的信念，让观众找到了一种久违的感动。            
(4星)	 好磨机            
(5星)	 每天我不想做饭的时候，就重温一集，之后就雄赳赳气昂昂地做饭去了。其实我不记得第一遍看的时候有哭过这么多次的……            
(4星)	 给天朝当藩属的棒子曾是如此儒雅有礼，给米蒂当仆从的棒子而今这般猥琐无赖            
(5星)	 居然又一个不到8的。。。            
(5星)	 唯一看完的韩剧……喜欢李英爱= =            
(3星)	 太长了            
(4星)	 我的长剧之旅啊。            
(5星)	 乌拉拉...            
(5星)	 好看，好长            
(5星)	 没完整嘀看完~            
(5星)	 做饭的艺术感。            
(3星)	 李英爱很舒服            
(NA)	 长今的善良实在是让人太难以忍受了。            
(4星)	 从此我爱上了做饭            
(5星)	 菜菜菜            
(5星)	 文化            
(2星)	 看了第一集，就不想看下去……这个节奏……颇喜李英爱……            
(3星)	 有点长到不想看了.            
(5星)	 断断续续没看完整，别的毋庸赘言了。            
(5星)	 看完了开始学中医、做中国菜。。。            
(5星)	 omg.我为什么那么喜欢            
(2星)	 虎头蛇尾            
(2星)	 磨叽            
(3星)	 哎，恶俗地随波逐流过。。。还烧坏小姐我一台索尼25寸电视=n=            
(4星)	 韩国古装剧就是有种干净的感觉。            
(4星)	 太长了，前面妈妈剧透，后面全家一起看的，我爸都看了的韩剧，很牛            
(3星)	 励志片！            
(4星)	 看过不止一次。还行。觉得还是有点励志作用的。            
(NA)	 喜欢            
(4星)	 哇，咁鬼经典韩剧，梗喺mark低啦~ 应该好多人都睇过吧            
(5星)	 喜欢她的精神~~            
(2星)	 没意思            
(3星)	 奶奶的 中国的针灸什么时候变成韩国的了            
(NA)	 看风筝飞多远还有梦  看大地回家长路漫漫            
(3星)	 big long today            
(3星)	 说真的我真的没觉得好看呀！            
(NA)	 很励志的说~~看得我心血沸腾的~~            
(4星)	 就是有点长。。。            
(4星)	 真的好看            
(4星)	 在老妈6遍dvd的熏陶下，不打四星也不行啊            
(NA)	 经典啊经典            
(5星)	 我记得那时候生病了都还要起来看            
(NA)	 哦，韩国美食真“伟大”还“健康”            
(1星)	 不喜欢韩剧，又臭又长，还说撒子都是他们发明的。。。            
(NA)	 有不知道的吗？            
(3星)	 主要是为了过把美食眼瘾看的            
(4星)	 吃的很好吃的样子            
(4星)	 我还是想说 你拍那么长干嘛……            
(3星)	 我看的第一部韩剧，还是薇薇陪着看的。觉得韩剧拍得好粗糙啊。            
(4星)	 闵大人啊~高一那年的我可花痴他了，还有很喜欢里面那对耍宝的夫妇            
(3星)	 这个以前是那边出一集我下载一集看的，韩剧很少我这么有兴致看的。把男人宫廷戏的部分全部拖掉，实在是太无聊，还是看女人间斗来斗去来得痛快。算是偶难得看到结尾的韩剧了。最爱连生~             
(NA)	 很好的励志剧~            
(3星)	 太长，韩剧古装有点。。            
(NA)	 在网吧里通宵看到20集 牺牲了。            
(4星)	 对里面的美食很感兴趣            
(5星)	 嘿嘿,我觉得吃得很好            
(3星)	 能活到最后，真不容易~            
(5星)	 2005秋 2006冬            
(4星)	 想当初···在学校机房看完的，多少集啊，想起来就怕怕~~o(&gt;_&lt;)o ~~            
(NA)	 李英爱太漂亮了~~~            
(3星)	 您今天大解了吗？            
(3星)	 挺无聊的，食物。。食欲来了            
(3星)	 大一的时候努力看完，喜欢上李英爱            
(NA)	 美食。美人。            
(NA)	 至今都想不通为什么我会在第一次从荧幕里看到男主角身穿蓝色古装时会爱上他~~~是温柔的眼神吗？            
(4星)	 我一朋友推荐我看 这部啊 太长了……终于看完了~            
(4星)	 太长了啊            
(NA)	 算得最爱，温暖。。            
(4星)	 大学时借霜的碟1.5倍速又看了遍            
(1星)	 严重盗窃我国            
(5星)	 虽然很好，但是总觉得看第二遍就累了。这样的人生真是太不容易了。            
(2星)	 又长又啰嗦，我国的简短有力的励志片难道少吗？不懂究竟好在哪里！            
(NA)	 我的2005~            
(4星)	 给人勇气又催人奋进。            
(4星)	 好长噶~~你要有耐性~~不过真喺学到唔少嘢噶~~            
(NA)	 娘娘？厨房？            
(3星)	 实话实说~ 很墨迹~            
(3星)	 同样很长- - 然后又不明白为什么很多人很爱这片            
(5星)	 呐怎么很喜欢皇上呢？            
(5星)	 大长今            
(4星)	 剧情完全可以短很多            
(3星)	 励志            
(4星)	 我要和古月core保持一致，恩恩            
(4星)	 还蛮好看的,就是放烂了....            
(4星)	 后半部比较boring            
(5星)	 五一七天乐            
(4星)	 嗯，不错。够励志。            
(3星)	 长是长了点 还是坚持看完了            
(4星)	 成经典了            
(NA)	 我是不是疯了 居然想看大长今 公选课上两个星期老师一直在放 欲罢不能            
(5星)	 看完以后会很想努力的去做事情~很励志啊            
(4星)	 原来韩国家庭主妇和胡爷爷喜欢的我也喜欢啊            
(4星)	  李英爱 励志 爱情             
(4星)	 韩尚宫啊            
(5星)	 好好睇            
(4星)	 很难得的看完这么长的剧……估计以后不会再看这样的长剧了            
(4星)	 只看前40集就好，还不错的            
(3星)	 相当励志            
(4星)	 唯一让我看完的韩国古装剧。            
(NA)	 看了两遍还是三遍了··闵大人··            
(5星)	 那些好吃的...哇...            
(4星)	  励志   厨房            
(4星)	 搏了几天拿下的电视啊            
(5星)	 感人，佩服            
(5星)	 保养的真好            
(NA)	 慕名而去            
(4星)	 05年的时候在老局办公室开电脑天天下，连下了3天下完，然后看了疯狂看了几天看完的电视剧。不容易啊第一次看这么长的电视剧。。。            
(5星)	 2005 翡翠台            
(4星)	 太长了……            
(4星)	 烏拉拉烏拉拉....            
(5星)	 好看！            
(4星)	 不用多说了吧            
(NA)	 女性励志大剧            
(3星)	 没看完            
(5星)	 励志大片            
(5星)	 唯一看得完整的长篇韩剧。            
(5星)	 女人应该像氧气一样：）            
(4星)	 拖沓的剧情，适合一家人围坐在电视机前看            
(5星)	 一个曾经让我疯狂想大学学中医的连续剧。拍得不错！            
(NA)	 ~            
(5星)	 俺对韩国文化认识的切入点            
(NA)	 大长今            
(4星)	 喜欢看前半部分，尤其是做饭的内容            
(4星)	 和老妈一起看的剧呵呵            
(5星)	 希望，这就是乐观派啊学习无处不在            
(5星)	 除了剧情拖沓些其他都挺好            
(NA)	 enjoy cooking/励志            
(3星)	 高考的时候看得~~..偷偷的看得~~..那时候真喜欢            
(4星)	 宫廷争斗-爱情角逐-美食-美女斗争……简直不热不行啊            
(4星)	 这种方式的励志能接受            
(NA)	 大长今 韩剧             
(3星)	 清明节花了一整天看完的……冷死了            
(NA)	 大长今            
(4星)	 了解到了一段韩国的历史，更了解到了一个伟大的女人。学会宽容，学会慢慢的成长            
(4星)	 李英爱长的，太像一个人了。搞得我总是无法进入状态，哼哼。。            
(5星)	 看了多遍，只为了看池大叔            
(5星)	 给自己看的片~            
(4星)	 和妈妈边看边哭            
(4星)	 真长。。。            
(4星)	 食物很诱人最后的情节很无语            
(4星)	 在奴化片和棒子片中都算佼佼者            
(4星)	 积极！积极！再积极！            
(NA)	 绝对励志            
(3星)	 在韩剧里算中上水平。            
(NA)	 他真是很长很长啊            
(4星)	 懂得演讲很重要！            
(4星)	 帮妈妈推荐            
(4星)	 果然很长~            
(1星)	 挺好的一个本子，演得这么烂，吐得哇哇的~~            
(4星)	 有美食吃，有美女看，有医术学。就差帅哥，如果闵大人唔系个造型要求，一定靓仔好多……            
(4星)	 又是无聊过头的结果            
(5星)	 認識高麗的開端            
(4星)	 很多事都是这样一步一步走过来的，也向往闵大人与长今见美丽的爱情神话。            
(NA)	  大长今             
(5星)	 就是长了点...            
(NA)	 收藏它是因为我喜欢闵政浩.            
(NA)	 因为这部片子喜欢上李英爱，喜欢长今，善良，果敢，坚定。            
(NA)	 我以後再也不看棒子劇了...真TMD的聖母+自虐...            
(5星)	 由此喜欢李英爱！            
(5星)	 2005年，为了它，我在1周内把70集的韩剧全部看完，每天奋战电视，比湖南卫视强多了            
(5星)	 大长今李英爱            
(NA)	 太长太迂回            
(5星)	 经典.            
(2星)	 还不如刘罗锅            
(4星)	 从一开始的不喜欢,到逐渐喜欢这部电视剧            
(3星)	 真的很長~            
(5星)	 长今：为了我，大人必须舍弃一切，这样没关系吗？为了我，大人可能被贬为贱民，这样没关系吗？为了我，您握笔的手以后只能挖泥土了，这样也没关系吗？我们以后只能吃草根过日子了，这样真的没关系吗？闵大人：没关系，真的没关系。 长今：这一切都是因为我。闵大人：就是因为你，所以没关系。            
(5星)	 一部蛮不错的韩剧！            
(NA)	 推荐！            
(4星)	 忍着某台又臭又长的广告时段，坚持看完            
(3星)	 不明白为什么会这么红            
(4星)	 韩国的古装片，里面的膳食真是一流啊，整个片子的立足点也不错，中国拍的话肯定是一后宫勾心斗角的戏说故事或野史，人家就拍古代女人的事业，男一号在现在社会应该已经绝种了，像这种一直默默守侯在心爱女子身边支持其工作并保护的男人世间鲜有啊            
(4星)	 o(∩_∩)o...            
(4星)	 只是不会主动看二遍而已。。。            
(4星)	 很爱梁美京－韩尚宫            
(NA)	 苦难是一笔财富            
(NA)	 朋友说他们的爱情超柏拉图。我看了好几遍，爱情的过程吸引人。            
(5星)	 虽然剧情节奏很缓慢，但情节还是不错的，给女人们看的励志电影．．            
(3星)	 看到后面没耐心了            
(NA)	 当我看到韩尚宫死的时候，已经是泪流满面了，这部剧让人在黑暗中看到了希望            
(4星)	 我爸觉得是我为之奋斗的目标——医术和厨艺。            
(NA)	 古装、励志、太长、没看完。            
(4星)	 花了一个礼拜全看完了~            
(4星)	 间中看了一部分...有些的女性啊...十分的男人啊...快进着看也完全可以理解剧情..            
(NA)	 励志             
(5星)	 长今给了我很多勇气            
(3星)	 太长了……            
(NA)	 当然没看全了             
(NA)	 太长了！            
(5星)	 还是不错的～            
(NA)	 和中国拍的历史剧有的一拼            
(3星)	 巨长            
(4星)	 搞得我当时还蛮激动，觉得自己也要向长今JJ学习，啥事都要很认真去做，做到最好呢！不愧是励志的啊……            
(NA)	 励志电视剧            
(3星)	 卡在金鸡那里，死都看不下去了            
(5星)	 很完整的一部电视剧            
(4星)	 女人做成这样累不累。            
(5星)	 2005            
(5星)	 看了一遍，第一，觉得不可思议，怎么那么多倒霉的事情都让长今赶上了啊。第二，觉得不可思议，怎么每走一步都能遇到那么关键的好人来相助啊。第三，太长了，长的没有力气和勇气去看第二遍。   哦哦哦，差点忘了提，闽大人，男人中的极品，特别是雪地里他深情款款，语气坚定的对长今说：因为是你，所以没关系。喔～～醉了，醉了...            
(NA)	 确实好            
(5星)	 励志片子..不错..            
(4星)	 饿的时候不能看            
(5星)	 完美女性长今，善良勤劳坚定聪慧可爱独立强势温柔~~~还有好吃的料理~~~~            
(NA)	 太长了            
(5星)	 煮野食都可以好优雅嘎～～            
(NA)	 最近才看了大长今。看了大长今，才知道《黄真伊》有多粗糙...            
(5星)	 闵政浩，totally my style, hehe~            
(NA)	 看过些许            
(NA)	 没看完，没耐心            
(3星)	 剧情太拖……人物表情惊讶接龙……            
(4星)	 由此喜欢韩国的美食！            
(2星)	 什么叫拖？看了就知道            
(4星)	 恩，不错的～            
(NA)	 被美食诱惑            
(5星)	 我有整套光盘……            
(4星)	 還行            
(4星)	 太纠结了。。            
(5星)	 喜欢就是喜欢呗.            
(2星)	 真是长,跳着看完的,就算好看也被拖得没劲了            
(5星)	 好电视            
(5星)	 多半年的时间终于看完了，长今有些性格深深震撼和影响着我            
(5星)	 很励志。。。            
(NA)	 能不穿一样的衣服吗？            
(NA)	 扯淡            
