http://movie.douban.com/subject/2262123/	新月格格
(2星)	 琼瑶自己做小3~就把正室写得很邪恶了 = =~            
(NA)	 我只是马克一下            
(3星)	 超级讨厌刘德凯            
(3星)	 三观不正            
(4星)	 现在重看此片才发觉原来是关于小三的故事~            
(4星)	 喜欢雁姬，喜欢珞琳，喜欢努达海，其实最喜欢的是那个时期在北京拍摄的琼瑶剧，保留有那个风味的北京~            
(3星)	 回不去的童年            
(1星)	 小时候看的，一段婚外情是如何摧毁两家人的，完全颠覆伦理的伦理片囧            
(4星)	 呀呀呀~那时候每天晚上上英语课，我总是耗到演完了再出发，所以那两周天天迟到- -            
(NA)	 哈             
(4星)	 惊，这也是琼瑶的吗，还是蛮喜欢岳翎的            
(4星)	 琼瑶就是全世界            
(NA)	 我妈妈~            
(NA)	 这片子那时候我还看看的。            
(3星)	 跟我奶奶一起看的……            
(3星)	 那个主题曲我还记得哟。            
(3星)	 至少十几年前看过的……            
(1星)	 无敌大雷剧            
(3星)	 天上有新月如钩，地上有烟锁重楼。。。            
(5星)	 天知道当初我有多么喜欢这部剧。            
(3星)	 且留新月共今宵，这首歌难得气势魄人。            
(2星)	 那个音乐比较好听……其他很汗            
(5星)	 小时候            
(3星)	 我爸很喜欢这部电视剧            
(4星)	 回想下也还蛮好看的，虽然以前看的时候不大能理解。            
(NA)	 小时候看的            
(3星)	 那时候开始对“格格”这个称呼很迷恋。            
(4星)	 我还蛮喜欢这部的 嘿嘿            
(NA)	 格格格格格格达            
(NA)	 记忆里最深的场景就是一天晚上，新月格格和睿亲王在幽暗的长廊里遇见，各怀心事，擦肩而过。            
(3星)	 哎 哎哎………            
(NA)	 【1995-04-17】            
(3星)	 三。。。三观不正啊！！            
(1星)	 不装逼。新月真恶心            
(3星)	 小时候。            
(4星)	 刘德凯帅呆了            
(3星)	 男女老少都在哭！！！            
(3星)	 泪点。            
(3星)	 那时觉得蛮好看的 但琼瑶剧嘛 太长            
(5星)	 不知道为什么，这是我最喜欢的琼瑶阿姨的一部戏，百看不厌。。。觉得当年的刘德凯帅的类~~            
(5星)	 前尘往事汹涌如潮，魂牵梦萦几时消。            
(2星)	 偶就是当年看过此片对格格二字留下阴影。。。            
(NA)	 无法做打分，因为记不清脑海里所记得的那个为之痛哭的儿时记忆是否是这个片子，我只是对新月格格这个名字格外熟悉，似乎曾经很小的时候因它在某个夜晚哭了许久。            
(NA)	 小时候看的时候岳翎还很美 但是当时就一眼看穿这是小三的胜利而已= =            
(4星)	 小的时候看着他们俩边亲边从沙漠上滚下来。我一颗小心肝激动的哦，羞涩的哦~            
(2星)	 小三剧呀            
(NA)	 小三教学片啊            
(4星)	 萝莉和蜀黍的故事            
(4星)	 为什么都那么悲情。            
(3星)	 锐风说他妈像岳翎            
(NA)	 儿媳妇变二奶，二奶转正，二奶与大爷死翘。剧终。            
(NA)	 Parts..            
(4星)	 让我猜到了结局，就有点2了。            
(2星)	 天上有新月如钩，地上有烟锁重楼。。。             
(4星)	 费云帆大叔...            
(3星)	 是忽然看到岳翎的评论才看的，原来只知道琼瑶阿姨有个还珠格格            
(NA)	 我怎么会喜欢这部片子？可是，还就是喜欢上了呵呵            
(3星)	 我那时很不喜欢刘德凯的长相            
(4星)	 苦情。            
(5星)	 刘德凯，帅！            
(3星)	 看完觉得恶心 不知道为啥            
(NA)	 当年的悲剧，现在的喜剧            
(3星)	 超迷主题曲～故事么。。诡异            
(2星)	 还记得“天上有新月如钩，地上有烟锁重楼”...            
(3星)	 穷聊戏中，小三当主角的狗血极品...印象太深刻了！            
(2星)	 记得小时候看过，但是恶心死我了。不喜欢老少恋。岳翎在我眼里不漂亮。            
(1星)	 两个永恒，两个狗屁            
(3星)	 电视里放了几遍了...            
(4星)	 岳翎比陈德容美多了；刘德凯比疯子马景涛有魅力多了。            
(3星)	 说实在的,我并不讨厌刘德凯.            
(4星)	 原谅我儿时花痴。            
(2星)	 一看刘德凯就不喜欢            
(4星)	 能相信吗？爱情            
(2星)	 这是个人认为最恶的配搭，瞧着老牛吃嫩草，当年对幼小心灵巨大的打击。            
(3星)	 岳翎真的太会哭了，刘德凯在此片中特性感            
(NA)	 不知道以前怎么会要看~~            
(3星)	 爱情伦理片？            
(2星)	 刘德凯。。。吐啊            
(NA)	 还记得小学同学是怎么扮女人嘲讽这部剧的。。。            
(NA)	 虽然我没看完，不过MS还行            
(2星)	 此时处于哈岳翎阶段，特烦男主角            
(5星)	 最爱琼瑶剧，演员演技超棒！音乐很好听！虽然剧情有争议，不可完全赞同，但就是很爱很爱看肿么办吧~~~            
(3星)	 同样是乱伦爱，烟锁重楼比新月格格强太多了，钟镇涛蜀黍当年风采绝对不输刘德凯蜀黍            
(3星)	 不喜欢这个故事。            
(NA)	 天上有新月如钩，地上有烟锁重楼            
(4星)	 爱情？小三？            
(3星)	 还是看书吧            
(NA)	 貌似看过，情节忘光了。好像是老牛吃嫩草啊            
(NA)	 小時候的記憶啊。。             
(3星)	 老牛和嫩草            
(3星)	 为第三者丰碑立传            
(4星)	None
(4星)	 小时候好喜欢帅气的刘德凯！！！            
(4星)	 隐约记得啊            
(3星)	 记得看过，一个样子。            
(NA)	 记得是和还珠一起放的            
(NA)	 好吧。。我竟然看过            
(3星)	 我居然还记得这个。。。            
(3星)	 尼瑪 那段激情戲還是剪影            
(5星)	 小时候除了玩就是看电视。            
(3星)	 主题曲可好听了。            
(3星)	 神剧阿。幼儿园看的= =！            
(3星)	 穷摇阿姨三观不正的代表，为小三正名为小三说话！！！！            
(1星)	 可以说是最恶心的琼瑶剧之一，明明就是个小三，还装得跟啥似的            
(2星)	 内容不记得了 只印象看的时候很憋屈            
(3星)	 记得当年看这个，我生病了，身体很痛苦，心里很开心，因为不用上学了，老爹适时地问了一句：你要看电视吗？（……要啊！）电视里就在放这个。            
(5星)	 那个时候听见格格就感觉很开心,好洋气~            
(4星)	 纳闷小时候怎么看了那么多琼瑶剧呀。            
(5星)	 小时候一度觉得这样生死相许的爱情很伟大，长大后才发现，新月其实是人家家庭的第三者，好吧，这样的爱情，伤人伤己，也破坏了很多人的幸福，为什么就不能控制一下呢，君生我未生，我生君已老，为什么要这么自私的在一起，破坏别人的幸福            
(2星)	 无法理解阿姨的爱情观，当年看完之后给我郁闷坏了，死小三            
(2星)	 就是不喜欢岳翎……            
(4星)	 幼年回忆            
(3星)	 我喜欢岳翎的气质。            
(4星)	 最小三            
(3星)	 这部真的好琼瑶啊。。。            
(NA)	 岳翎真是美得不行            
(3星)	 刘德凯大叔，琼瑶阿姨。。            
(3星)	 小时候还是看过不少琼瑶剧啊。。。A。。。。YOUTH。。。。            
(4星)	 除了格格有一个像蝴蝶结一样的发型...还有两个年龄相差很大的男人长的很像我怎么也分不清...以外...什么也不记得了            
(NA)	 邻居有个宝宝起名叫新月            
(3星)	 打三星是为了刘德凯的颜。这部狗血又激情的小三剧呀            
(3星)	 就是记得过程很纠结，但是结局是好的；从此认定，琼瑶虽然苦情但是苦的都是过程结局还都是好的~            
(2星)	 每次看都会无法忍受地换台……            
(1星)	 bad.            
(4星)	 好吧，这部就是导致姐三观不正的琼瑶剧。            
(3星)	 小时候好喜欢新月，现在反而不喜欢她了。倒是刘德凯，一直都是美男啊……            
(1星)	 两个不要脸的狗男女挂美好爱情的羊头，卖卑鄙无耻寡情薄意的狗屁小三博同情的狗屁爱情故事            
(5星)	 如此经典呀！那几首歌曲一唱！真是振奋人心！            
(5星)	 给我把新月狠狠的抽嘴巴！！！            
(4星)	 剧情是浮云、、、            
(2星)	 很不喜欢新月            
(1星)	 从来不喜欢琼瑶的剧 只能当欣赏美女的看  最狗血就是此剧  看的一肚子火  放着个年纪相当的男人不爱  非得要跟人家爸爸一起 搞得家无宁日  还以为真爱呢             
(4星)	 很美啊~            
(3星)	 小时候看的了            
(2星)	 琼瑶剧中我最不喜欢的男主兼女主            
(4星)	 琼瑶阿姨的经典作品之一            
(3星)	 我当时看的时候就想 这是明目张胆地给小三平反呢~            
(4星)	 我是坚决反小三的，只是当时还小，就是单纯的喜欢新月而已。            
(4星)	 刘德凯也老帅的了            
(5星)	 刘德凯王道！            
(3星)	 不喜欢小三的故事，还是大老婆好            
(3星)	 小三上位剧，当年无知啊，被穷摇奶奶坑了；喜欢阿豆的《重生之燕姬》            
(2星)	 长大后才知道这是一个小三的故事            
(3星)	 小时候看过，现在只记得刘德凯那场朦胧到极点的床戏            
(4星)	 儿子干不过老爹的。            
(NA)	 印象中虐得不行            
(NA)	 刘德凯和林秀玲也是经典的荧幕情侣么            
(5星)	 多尔衮            
(5星)	  那女演员就是“哑巴新娘”啊。。。            
(NA)	 为了这个剧，特意跟表弟打赌，赌注就是这本书，所幸，我得到了，不过，书被表姐给丢了，这是我一直耿耿于怀的事！            
(4星)	 稀饭死了这个剧。            
(4星)	 童年回忆。。。            
(4星)	 这个一定有！我还记得大婚的场景啊，苹果啊，抓牢了！            
(4星)	 当年没有意识到，新月其实是个小三。            
(4星)	 最喜欢的一部琼瑶剧            
(3星)	 按现在的标准新月就是一恩将仇报的二奶……囧            
(3星)	 ~~~&gt;o&lt;~~~            
(3星)	 貌似跟着我妈看的~小学的时候~            
(NA)	 琼瑶阿姨……            
(4星)	 n年前看的了  还想再看一遍            
(4星)	 男女主角都是我喜欢的            
(2星)	 只能说岳翎长得蛮漂亮的，可这部剧真是让我批到无言啊，什么叫不知羞耻，就是讲这对男女主角的，不要脸，呸。            
(3星)	 最后一集，哭死了            
(3星)	 琼瑶啊……            
(2星)	 哦哟喂。。我滴妈呀，继续大哭特哭            
(3星)	 儿时记忆了            
(4星)	 岳翎一直觉得很漂亮            
(2星)	 当时看得还挺起劲的。            
(4星)	 天上有新月如弓 地上有烟锁重楼            
(NA)	 现在都揪出来说这个剧三观不正啦，是琼瑶当时没转正的时候为小三唱赞歌啦，但是清纯有气质的岳翎妹妹啊，有气场有魅力的美大叔刘德凯啊，有爱的什么月牙舞啊，我觉得其实这部剧还是可以的。            
(3星)	 瓊瑤的片子以前都看過            
(3星)	 我就記得岳翎不停地哭不停地哭不停地哭~            
(3星)	 小三奋斗史            
(4星)	 小三经典成功记            
(3星)	 恶心。。。恶心。。恶心。。。。。。。。。。。。。。。。。。。            
(2星)	 刘德凯很帅，小时候真真看不懂这复杂的乱伦关系...            
(NA)	 女主的鼻孔好尔康            
(3星)	 小时候先睡一觉，半夜三更爬起来看的。。。            
(4星)	 天上有新月如钩，地上有烟锁重楼。。。。那时候的琼瑶剧主题曲总是那么好听            
(2星)	 琼瑶剧~阿姨最爱这种近似乱伦的情节了            
(2星)	 天上有新月如钩，地上有烟锁重楼。。。歌很好。。。只是哭得太结棍了，吃不消。。。且对小三表示厌恶，管你是不是真爱呢。。。            
(NA)	 回忆。            
(1星)	 呕            
(NA)	 作为原配你不能淡定地接受小三成全真爱，你实在太不贤惠！！            
(4星)	 没记错的话，最后应该是那么一句，“从没有见过那么美丽的死亡”            
(NA)	 不记得了。。。actually            
(3星)	 两个女人都不好看            
(3星)	 童年午饭时间~从小恨小三！            
(3星)	 岳翎额卖相也是很嗲额            
(3星)	 天上有新月如钩，地上有烟锁重楼。            
(4星)	 小学的记忆            
(5星)	 而是看的肝肠寸断啊，大了以后才知道这就是琼瑶奶奶的写照嘛，典型一小三逼宫上位，粉饰一新的假象爱情故事，亏我那时看电视剧还超困惑，为啥福晋不赞成纳妾，我真是太傻了~            
(2星)	 儿童不宜            
(3星)	 雷雷雷            
(2星)	 不喜欢岳翎和刘德凯            
(3星)	 苦死了 现在想想            
(3星)	 结局是啥来着？            
(1星)	 小三就小三，找什么借口。。。。。            
(3星)	 小时候看特别喜欢，长大了看，什么嘛，整个就小三+大叔控。            
(3星)	 刘德凯也是琼瑶爱将啊            
(3星)	 刘德凯还是很喜欢的~            
(3星)	 快忘了。            
(3星)	 不明白小时候怎么看过这么多刘德凯的电视剧？            
(4星)	 恍如隔世啊，冲着刘德凯啊            
(4星)	 当时我还真觉得好看了，而且还看完了。啊啊。。。。四星给我的年少时代。。。            
(3星)	 剧情有点扯~不喜欢            
(2星)	 情节雷到昏天黑地            
(2星)	 此剧很烂。            
(NA)	 天上有新月如钩。这部看得很纠结。我却觉得选择最真实。            
(3星)	 想当年..            
(3星)	 怎一个虐字了的            
(5星)	 經典            
(NA)	 T-T 小时候刘德凯蜀黍老有范儿了            
(4星)	 小時候就愛這味      這種路線            
(5星)	 不喜欢新月，喜欢努达海            
(4星)	 曾经天天中午回家吃饭看的剧，经典小三上位            
(2星)	 最恶搞            
(4星)	 其实现在想想，大老婆很可怜，无缘无故丈夫被小三抢走，还要被电视机前观众骂。            
(4星)	 天上有新月如钩，地上有烟雨重楼            
(2星)	 一边看一边骂的剧，把琼瑶剧“唯爱情论”的JP逻辑进行到了无以复加的地步，不过想到写这剧的时候琼瑶大妈自己也在做小三，也就可以理解了            
(3星)	 小时候看过，其实都忘记了。。。            
(3星)	 受不了啊，凯哥            
(4星)	 岳翎mm            
(4星)	 天上有新月如鉤 地上有煙鎖重樓。            
(4星)	 岳翎真的很美，那时候~~            
(4星)	 现在才知道,,原来新月是一小三转正剧,,            
(NA)	 后琼瑶时代            
(5星)	 嘻嘻。            
(4星)	 捂脸，最记得新月跟大叔到蒙古包里ooxx            
(4星)	 那时候觉得女主角很好看            
(5星)	 蛮耐看的，就是小三的题材是现在的敏感点            
(5星)	 琼瑶系列比较接近原著感觉的剧            
(1星)	 你说好好一美少女,怎么就喜欢一糟大叔呢!那大叔孩子比自己还大啊!就为了破坏人家庭!!?            
(3星)	 现在想想价值观混乱，鼓励小三上位的励志片            
(NA)	 我妈看的，那电视里放了就顺便看过的            
(3星)	 BS新月这个小三            
(3星)	 - -天上有新月如鉤，地上有煙鎖重樓……            
(5星)	 我喜欢努达海            
(4星)	 天上有新月如钩，地上有烟锁重楼            
(3星)	 看了一点，因为喜欢岳翎和刘德凯            
(2星)	 主要是我觉得男女主角的人品都很有问题。这其实与演员无关，是琼瑶奶奶的错！            
(NA)	 因此我一度坚决抵制《还珠格格》，因为它们都出于琼瑶阿姨手笔，又都是“格格”，想当然的就被我物以类聚了，也因此我在“小燕子”她们要跟着皇阿玛外出游巡的时候才跟上了潮流。            
(3星)	 这是最让人唾弃的一部电视剧            
(4星)	 第一次发觉岳翎挺漂亮的，而且比以前看上去还年轻。            
(3星)	 天上有新月如钩 地上有烟锁重楼？？是这样咩晚上还在天涯上找雷 哈 这真是一个神奇的片子 真爱至上 ！！奶奶出品，必属精品。            
(3星)	 我平生看的第一步电视剧~            
(1星)	 没有景涛，所以他无处咆哮。            
(4星)	 凯叔叔……这种类型的角色才是重点啊XD！            
(3星)	 岳翎演的琼瑶剧都还行~~~~~            
(3星)	 喜欢那首歌　　但是对于少女和老头子的爱情很排斥            
(3星)	 貌似里面的感情线有点复杂            
(2星)	 若干个个俺很喜欢的演员……但是看得俺真TMD上火            
(3星)	 还挺喜欢刘德凯来着。            
(NA)	 小三？            
(4星)	 近水楼台先得月            
(4星)	 第一次看见 年龄差距这么大的爱恋            
(NA)	 剧情已经忘记了，只记得张雨生演唱的那句歌词为“天上有新月如钩”的歌曲            
(4星)	 怀旧             
(3星)	 冲着刘德凯加颗星，这个故事导向不行啊。。。。            
(3星)	 没印象了            
(3星)	 喜欢那首歌            
(NA)	 两个永恒之一。。。            
(4星)	 在天愿做比翼鸟，在地愿为连理枝            
(4星)	 悲喜            
(3星)	 很老的琼瑶阿姨的片子            
(5星)	 他就是她的保护为了她他可以放弃一切,她就是他的天使为了他她可以抛弃身份..            
(NA)	 那时觉得好乱。            
(4星)	 还是蛮不错的，化妆和画面都比较好。            
(3星)	 说真的，小的时候看过一点点，觉得脸红心跳呢，拍的颇为露骨。            
(NA)	 很俗套、却也很牵动人心            
(4星)	 对爱情执着的人            
(NA)	 小时候的片，感觉还行，算是眼泪稍微少点的琼瑶大戏啦！            
(3星)	 琼瑶阿姨的作品都是眼泪花拉的.            
(4星)	 喜欢帅帅的刘德凯            
(4星)	 岳翎是我认为比较有书卷气质的一位女星。            
(NA)	 12            
(NA)	 看了            
