http://movie.douban.com/subject/2990292/	双面伊人
(4星)	 就此喜欢上乐天郑伊健，当时想终于我既喜欢GIGI又喜欢郑伊健了            
(4星)	 歌好听，片子也好看            
(3星)	 想当初还是觉得很好看的~            
(4星)	 阿静……            
(4星)	 没看到结局            
(NA)	 那时候袁洁莹真美.            
(3星)	 有点悬疑            
(3星)	 当年很爱很爱。。一刻宁静，一片天空。我到现在都记得~            
(NA)	 有點詭異。第一次曉得人格分裂            
(5星)	 短小精悍。            
(5星)	 对这部剧印象超深刻的，重播时还追着看            
(4星)	 原来伊人不是指郑伊健啊，我一直误会了。里面好多桥断现在都用过了，再看都没感觉了            
(4星)	 深刻之一··~哇，那时袁洁莹很PL            
(3星)	 其实我也是一个喜欢袁洁莹的人。。。            
(3星)	 人格分裂            
(4星)	 喜欢~            
(3星)	 那时候深更半夜地放 就是想看            
(3星)	 精神分裂来的...            
(3星)	 歌儿好听，喜欢曹永廉的姐姐~林漪娸            
(3星)	 袁同学为数不多的出演。。。            
(3星)	 1999            
(4星)	 袁洁莹很靓呀！            
(4星)	 小时候很爱看d            
(5星)	 最喜欢的港剧 喜欢到死！！！！！            
(3星)	 小时候的我，看的云里雾里的            
(3星)	 哦哦...            
(5星)	 会起鸡皮疙瘩的..被剧情发展吓到..            
(3星)	 第一次接触性格分裂题材            
(NA)	 他戒毒好快            
(NA)	 袁洁莹很漂亮，不过现在都没再见到她了，奇怪。难道推出演艺圈了            
(NA)	 双面伊人            
(4星)	 喜欢袁洁莹            
(4星)	 看的时候还觉得有点惊恐            
(3星)	 原来身边的人都系甘恐怖，双重性格随时吓死你！            
(NA)	  袁洁莹             
(4星)	 双面伊人            
(3星)	 前几天看到旧新闻，发现原来女主角袁洁莹是同性恋！！！难怪她在剧里面看伊面的眼神，我总觉得含情脉脉的程度有限啊。。laughing哥当年的猥琐样（咸鱼成这德行照样能翻身），以及剧中他和E神嫂（徐濠萦）亲亲我我的样子历历在目。。。不禁感慨世事难料，一切冥冥中早有安排~~            
(4星)	 男猪脚是你喜欢的男猪脚 女猪脚是我喜欢的女猪脚            
(3星)	 裂！各種裂！！！            
(5星)	 冲着帅哥美女加悬疑才看的            
(NA)	 小时候看过，一直都记得是讲人格分裂的，但是具体的剧情记不清了，只记得那时候郑伊健还和邵美琪约定10年后一起退出娱乐圈，只是。。。            
(5星)	 小时候看过，记得特别好看，尤其是发现袁洁莹精神分裂那段，那会儿还是很少听说精神分裂的            
(NA)	 小時候的記憶啊。。             
(4星)	 最早看的关于精神分裂的电视剧..            
(5星)	 看过这个，所以好喜欢袁洁莹！！但是，但是，是讲什么的来着？            
(NA)	 小时候看的吧，双重人格            
(4星)	 小时候看过 当时就想袁洁莹好瘦好漂亮啊            
(4星)	 伊面那个时候很年轻。袁洁莹倒是又像蔡少芬又像翁虹。            
(4星)	 很好看的            
(4星)	 永远都记得袁洁莹在里面的衬衣飘飘清新脱俗的文艺范。            
(4星)	 第一次知道“人格分裂”            
(3星)	 袁洁莹真是美，忘了小时候是么么时候看的了            
(3星)	 双面伊人。不够曲折。袁洁莹很好看，很耐看。            
(4星)	 袁洁莹好靓            
(NA)	 在我又开始幻听的时候，在我查找幻听怎么办然后看见了什么“精神病史”“精神分裂症”等字眼的时候，我想起来这部电视剧我好像没标。袁洁莹当时换精神分裂杀死自己的猫，用口红在镜子前写下红字的时候，让我记忆犹新。十多年过去了，我还是很害怕。            
(NA)	 小时候很喜欢            
(4星)	 双面伊人介名字起的好            
(4星)	 双面伊人里的袁洁莹很好看~            
(5星)	 其实我已经不记得情节了            
(4星)	 很喜欢这部剧。            
(NA)	 精神分裂症………………            
(4星)	 想起来小时候看的。 当时觉得袁洁莹很美貌~            
(4星)	 其实袁洁莹我还挺喜欢的，只是她的戏好少哦。            
(4星)	 一直觉得精神分裂特别恐怖……当年看的很怕 哎            
(3星)	 袁洁莹当年很美。            
(4星)	 小时候看的 当时可喜欢女主角            
(3星)	 袁洁莹            
(3星)	 看到某相册想起来我看过这部的，袁洁莹是大亮点            
(3星)	None
(3星)	 那时候郑伊健真是风光            
(4星)	 人格分裂~            
(3星)	 郑伊健难得的港剧            
(3星)	 睇左好多年了记得唔清但系知道总体来讲无乜好感。            
(3星)	 双重人格            
(3星)	 第一次接触到心理题材 双重性格            
(4星)	 當初的袁潔瑩，大愛啊。            
(4星)	 袁洁莹啊袁洁莹            
(NA)	 很早的精神分裂片子            
(3星)	 很久以前看的了，现在基本不记得，只记得当时天天守着电视机看完了            
(4星)	 第一个人格分裂片。。。            
(3星)	 不记得讲什么了已经            
(NA)	 我爱郑伊健            
(3星)	 看过一点觉得好恐怖没敢看下去，当时年纪小。。囧            
(NA)	 知道人格分裂症这种奇怪的病            
(5星)	 经典啊！好看死了！            
(4星)	 郑伊健帅呃~            
(NA)	 不记得了            
(4星)	 印象中女主精神分裂的很严重，看时有点小怕怕。            
(3星)	 我喜欢袁洁莹……长的很纯            
(5星)	 多经典！            
(4星)	 袁洁莹  人格分裂            
(NA)	 大爱袁洁莹啊            
(4星)	 郑伊健啊郑伊健！这部剧99%都是因为他才好看的！            
(4星)	 袁洁莹的经典代表作！她这些这里面演一个有精神分裂症的人，很有戏！            
(3星)	 小时候超爱这部剧的，那时候的袁洁莹嫩得能挤出水来            
(4星)	 一种心理电视剧吧            
(4星)	 喜欢袁洁莹，听熊熊说也老得不像样了            
(5星)	 我喜欢就好了~~哈哈哈哈~~            
(NA)	 童年阴影= =            
(4星)	 原谅我分不清当年的袁洁莹和黎姿，但是，不影响我对这个女人的惊艳。            
(2星)	 因为有袁洁莹，记得看过该剧，但剧情什么的完全没印象了。            
(5星)	 上初中时看过，我小姨很喜欢看。            
(4星)	 第一部肥皂剧，袁洁莹漂亮的很            
(4星)	 具体不记得了。。。只记得小时候看觉得蛮好看~            
(3星)	 人格分裂， TVB 早有涉足。            
(4星)	 对我而言，这剧的看点就是：人格分裂+郑伊健的紧身衣LOOK   袁洁莹很美，但很不喜欢阿静的性格，要不是她笨，也不会害的父母惨死。比较喜欢阿宁            
(5星)	 最爱的tvb女主。。没有之一            
(3星)	 第一次知道人格分裂 激动了 彻底激动了            
(4星)	 那时觉得袁洁莹好漂亮~            
(NA)	 瓦擦，小时候看            
(5星)	 特别喜欢这里面的袁洁莹。我梦中情人（误）好多年。特别温婉特别漂亮。            
(5星)	 很好看            
(5星)	 袁洁莹！！！！！林静+林宁=我心中的完美女人             
(4星)	 看了这片知道了人格分裂症....但很好看啊，喜欢袁洁莹            
(4星)	 以前的电视剧怎么就能这么好看捏！！！！            
(4星)	 我喜欢这部戏。好早之前的啊，那时候的伊面真帅            
(4星)	 忘了结局是啥了。            
(NA)	 有点记不清了            
(3星)	 算是比较早讲人格分裂的电视剧了。            
(5星)	 我特喜欢的一片~ 最早期的人格分裂~            
(4星)	 第一次知道咩叫“多重人格分裂”            
(5星)	 当年对袁洁莹是无限喜爱啊喜爱~            
(NA)	 袁洁莹真漂亮            
(4星)	 好像是从这部剧里第一次知道双重人格 = =            
(NA)	 袁洁莹好pp，当时看这部剧的时候，迷死我了            
(NA)	 帅帅的郑伊健，漂亮的袁洁莹~~            
(4星)	 袁洁莹好美啊。。。            
(4星)	 袁洁莹很好看的 为什么你就不红呢            
(4星)	 小时候看的，那时候很喜欢袁洁莹阿。。            
(5星)	 第一次知道人格分裂            
(4星)	 不太记得演什么啦~剧情记忆力太模糊糊所以给着几分吧~            
(3星)	 袁潔瑩是真的美好            
(5星)	 精神分裂的姐妹~~~~            
(NA)	 喜欢袁洁莹~            
(5星)	 袁洁莹很漂亮！主题曲很好听！尤其喜欢网上流传的有《我和春天有个约会》里面的大鸡出演的主题曲MV！大鸡帅呆了！HOHO~~            
(4星)	 一直记得 看这部剧的时光            
(NA)	 一片宁静，一片天空。            
(3星)	 一刻宁静 一片天空            
(3星)	 奈何首播时无线阵脚自乱...沦为炮灰            
(3星)	 那时候   tvb的故事还是有趣的            
(4星)	 那么早的剧，好看得很难得啊            
(3星)	 袁洁莹那时候还蛮索的~            
(3星)	 袁洁莹很美貌            
(3星)	 喜欢袁洁莹哩            
(4星)	 哇哦 当年觉得袁洁莹惊艳极了！            
(3星)	 那时候喜欢郑伊健，袁洁莹好瘦好瘦            
(4星)	 这主题歌到现在我还会唱            
(4星)	 觉得剧情很不错~~            
(5星)	 袁洁莹在这不部里真的好美~特别是另的性格出现的时候！            
(4星)	 人格分裂，有点怕怕            
(3星)	 伊面不再来~~~            
(3星)	 伊面。            
(4星)	 最后睇伊面噶电视剧睇怕系依部啦            
(3星)	 双重性格片，少看为妙。            
(4星)	 但是觉得袁洁莹好漂亮啊！            
(4星)	 从头到尾很扣题..很创意 只是那结尾感觉可不是一般的仓促..            
(2星)	 看的有点莫名其妙            
(5星)	 當年我多麼愛看的一部劇啊。現在看起來也是一流的水準。心血來潮找了袁潔瑩現在的照片來看。果然歲月催人老啊。            
(3星)	 所以里面有谢天华？我不记得了居然            
(3星)	 都是一般            
(3星)	 看过，喜欢袁洁莹，但对郑某人无感            
(4星)	 一直印象深刻的片子。            
(3星)	 当时看这片子,大家都说郑伊健帅,我怎么就看不出来呢,倒是觉得女主角很漂亮啊            
(4星)	 哎哟哟。初中看过滴。现在还念念不忘呢。不知道现在再去看曾喜欢过的袁洁莹会怎样。            
(5星)	 大爱的剧集女主感觉弱不禁风 好喜欢            
(2星)	 好像看过……不记得了            
(4星)	 袁洁莹现在是不是彻底退出江湖了？            
(4星)	 双面人哦~~~好小的时候看的            
(3星)	 不记得了            
(4星)	 失忆，催眠都蛮吓人的~~            
(3星)	 没看到结尾？            
(4星)	 港剧里面算是比较早涉及心理方面的一部剧，看的时候还小，一开始居然没看太明白。。。            
(4星)	 郑伊健。。。伊面~~            
(3星)	 看过可惜记不得剧情了            
(3星)	 袁姐姐，真好看            
(3星)	 第一次看的时候觉得袁洁莹真是漂亮！            
(3星)	 从这部剧中我知道了什么叫做人格分裂~            
(5星)	 大学时看的，印象深刻            
(NA)	 双面伊人             
(NA)	 ???這劇里有Laughing哥的???忘了～            
(4星)	 第一次看到人格分裂题材的电视            
(4星)	  郑伊健在里面还是满帅的，虽然演技一般.......最后的结局他们是在一起了吧？？？            
(4星)	 那时我很小，觉得郑伊健好帅，袁洁莹好美。            
(5星)	 精神分裂啊。小时候看的印象很深刻。            
(4星)	 袁洁莹还是不错            
(5星)	 居然有laughing哥~当年看都没印象了~            
(NA)	 久的快忘了……            
(NA)	 好看            
(5星)	 这个很好的            
(3星)	 看的时候太小 总是害怕 但是还是好的            
(3星)	 人格分裂真的有點嚇到我            
(NA)	 当年的就是经典啊            
(NA)	 很不错的悬疑剧            
(NA)	 记得是精神分裂症什么的            
(5星)	 EKIN            
(5星)	 演员养眼，而且剧情跌宕，讲双重人格的。前段时间刚刚回顾过，依然很喜欢。什么是经典，就是这样的。            
(4星)	 first impress on袁潔瑩             
(NA)	 第一次知道什么叫人格分裂            
(4星)	 看港剧最疯狂的时段            
