http://movie.douban.com/subject/2300213/	唐太宗李世民
(5星)	 我第一个暗恋对象啊。。林俊贤。登基后就拉倒吧拉倒吧。            
(4星)	 那时候经常看，看不懂……            
(5星)	 忘不掉的经典            
(5星)	 我很小的时候看过的经典，现在看也是喜欢啊。            
(5星)	 喜欢童爱玲！！！            
(4星)	 我小时候很爱的说            
(4星)	 小时候好喜欢吉儿啊~            
(4星)	 小时候的回忆            
(4星)	 很喜欢的            
(4星)	 爱不释手，爱江山更爱美人。其实我更喜欢长孙皇后。            
(5星)	 让我拱手河山讨你欢            
(3星)	 主题曲是爱不释手吧～～很好听，其他不记得了            
(4星)	 那年暑假在姨妈家看的……            
(4星)	 老剧了。。。            
(5星)	 小时候好喜欢看啊 20年后看来也挺好看的            
(5星)	 小时候好喜欢的电视剧            
(NA)	 愿待沧桑换了 并辔数寒星。多年前看的老片子，最近想起翻出来。那一场一见钟情，原来并没想象中惊心动魄。            
(3星)	 哇！残留记忆啊~~~            
(5星)	 我想念那主题歌            
(5星)	 帅哥们            
(4星)	 那时的电视剧，即使表演很做作，但毕竟还是遵从史实的较多。            
(2星)	 我爱上你这个头            
(5星)	 就回忆了            
(5星)	 小时候看的东西了，刚巧天涯在8这部剧，也就下一个重温，虽然非常讨厌历史上唐太宗，但这部剧不错            
(5星)	 我搞不懂封面上的这些人竟然当年让我如此痴迷。。小学二年级开学后天天缠着外婆给我讲后半段剧情，弥补我读书不能看的杯具。。。为此还特地去看了《上下五千年》。我的长孙皇后啊，始终难忘你。“有得必有失，有失必有得。”此句台词就这么记了十几年。            
(NA)	 我小时候一直以为唐太宗和李世民是两个人 然后问我妈怎么唐太宗不出来的 一天到晚讲李世民的事情 哈哈哈            
(3星)	 小时候跟妈妈一起看            
(5星)	 一直深深的记得杨吉儿！            
(4星)	 当时傅艺伟 好乖            
(5星)	 傅艺伟很漂亮~            
(5星)	 96年的时候第一次看，真是爱死了李世民啊。。。            
(4星)	 好帅好帅            
(5星)	 记忆中剧里的女人都很美貌            
(3星)	 看见我妈喜欢的狐狸精了。            
(4星)	 难忘            
(4星)	 到现在都还记得那句歌词：“今朝有酒今朝醉呀~爱不释手你的美呀~”            
(4星)	 那年，太喜欢杨吉儿了。            
(5星)	 爱不释手            
(4星)	 当时很喜欢            
(3星)	 当年爱林俊贤真是爱到不行            
(NA)	 《爱不释手》            
(5星)	 很喜欢看那个时候的傅艺伟。            
(5星)	 沉鱼落雁，闭月羞花，就是这么认识的主题曲至今还会唱            
(NA)	 大爱歌词沉鱼落雁闭月羞花美得无处藏人在身旁如沐春光宁死也无憾            
(5星)	 经典。            
(4星)	 “沉鱼落雁，闭月羞花，美得无处藏”            
(4星)	 好看。沉鱼落雁，闭月羞花。            
(4星)	 当年觉得傅艺伟那叫一个漂亮啊            
(3星)	 有生以来第一次让我把唐太宗和李世民联系在一起的就是小时候这个电视剧...            
(4星)	 长孙。。。。            
(5星)	 超级怀念 喜欢傅艺伟演的吉儿 李丽芬的主题歌也很经典            
(3星)	 杨吉儿            
(4星)	 好美的吉儿            
(5星)	 我心中的吉儿 ~~            
(4星)	 待我拱手河山讨你欢            
(4星)	 何等有幸配成双            
(NA)	 长孙无垢            
(4星)	 今朝有你今朝醉 爱不释手你的美 莫等闲白了发才后悔            
(NA)	 这李世民挺帅的。            
(5星)	 剧迷里面的李世民的，很有精神气，说不出的喜欢。还有片头曲，这么多年了，都还会哼，呵呵~现在看这部剧还是很喜欢。这年头的电视剧早就不如当年了啊。。。            
(4星)	 美人~杨吉儿            
(NA)	 林俊贤以前真的好红            
(4星)	 看我拱手河山讨你欢，万众齐声高歌千古传            
(3星)	 只记得一起看电视的人和看时的心情            
(NA)	 啊呀呀，我的秦王阿，终于找到你了            
(5星)	 唐太宗李世民            
(3星)	 第一次知道有名的賢君是靠殺掉自己的哥弟當上的，就是從這兒。            
(5星)	 童年时候还不懂情情爱爱，但懂得什么是帅锅美女啊~~~大爱的片子！！            
(4星)	 片尾曲啊！《爱不释手》。            
(5星)	 一直错喊吉儿为几儿~~~            
(4星)	 小时候暗暗励志过要做长孙无垢那样的女人……            
(2星)	 胡编乱造～            
(4星)	 要不是看到豆瓣上的首播日期，我都忘记了那是1994年，我每天守在电视前追的这部剧。到现在还会忍不住哼起主题歌。            
(5星)	 吉儿世民：人生若只如初见            
(4星)	 小时候觉得傅艺伟真好看啊            
(4星)	 当时看时觉得李世民简直太帅太完美了，傅艺伟那时真是漂亮啊，觉得两人实在太等对儿了            
(4星)	 小学那会天天不写作业都要追的剧。            
(3星)	 小学暑假在奶奶家看的            
(4星)	 当时那个迷恋呀，爱看里面的吉儿~~爱呀爱呀            
(NA)	 第一个YY对象。。            
(5星)	 只记得里面的片头片尾曲很好听            
(4星)	 我记得阿史那燕，那是个可恶的女人···小时候看的电视剧了，当时就被李世民的皮囊迷惑了            
(4星)	 萤火虫            
(5星)	 我愿拱手河山讨你欢！            
(4星)	 那个皇后好漂漂哦，也就是童爱玲~比傅艺伟还要好看上许多。不过那时候小，看不懂啊。光看帅哥美女去了。            
(NA)	 很喜欢隋朝的公主有木有，再后来男主在TVB现代剧里演一个坏人，我伤心死了有木有！            
(4星)	 是少年时期的美好印象，不过除开剧本不看，里面的皇后真是我见过的最美的皇后——其实我都说我萌3P当然是在这部里            
(4星)	 林俊贤、傅艺伟            
(NA)	 童爱玲版的长孙皇后，从小时候一直记到现在。            
(4星)	 演员挺好哒             
(3星)	 当年是为了看太宗才看的这部剧。            
(4星)	 小时候最喜欢看的电视剧之一            
(5星)	 在当年稚嫩的姑娘我眼中  李世民帅到死啊帅到死~            
(4星)	 小时候一直在和表姐挣 到底里面哪个是唐太宗 那个是李世民 后来才知道 原来是一个人= =。。。            
(5星)	 以前看喜欢杨吉儿，现在还是喜欢~            
(NA)	 那时我好喜欢杨吉儿！            
(4星)	 沉鱼落雁，闭月羞花，美得无处藏……美女好多哦……            
(5星)	 深度怀疑 游素兰的人设都是cos这部的。OP 气势磅礴。            
(5星)	 这还是小学1,2,3年级看的电视了！！！儿时的记忆！！~~~~你们看过木有啊~            
(4星)	 好多好多年前的了，当年真是喜欢，可惜现在已经不记得结局了            
(4星)	 最爱长孙皇后！            
(3星)	 待我拱手河山讨你欢            
(5星)	 不记得看过多少遍，为了心目中最美丽的吉儿。            
(4星)	 话说，我觉得这是最美型的一版唐太宗了。            
(4星)	 还记得那主题曲吧            
(5星)	 我记得我当时可喜欢皇后了~            
(NA)	 小时候看过的。            
(5星)	 爱死了爱死了爱死了 2011.10重看重看重看，还是一塌糊涂的好看~~~            
(2星)	 重温玛丽苏对象，恩恩爱爱拖拖踏踏的剧情真是毁记忆=，=            
(3星)	 应该不是太好，某年春假电视台连放三天看完的,全家都在看,我只记得长孙皇后(童爱玲演的)满漂亮.歌词记住了几句，然后就没什么了            
(5星)	 哦，童年啊            
(5星)	 小时候非常喜欢的电视剧，当时觉得李世民太帅了，歌也好听，可是电视没放过几遍            
(4星)	 阿史那燕，O(∩_∩)O~，当年多么讨厌她呀            
(5星)	 我最爱的一部电视剧！林俊贤也是至今为止我觉得最帅的“皇上”            
(4星)	 只记得看过，情节都忘了            
(3星)	 童爱玲、傅艺伟，那时候的美女都是批发的            
(NA)	 影像中有这么个电视剧，是看过但忘了内容了            
(3星)	 好像真的看过，小学时候的事情            
(4星)	 小时候看的，我现在都不记得内容了。。            
(NA)	 莪爱使李世民和杨吉儿了····            
(5星)	 我的一世一生只有你最懂            
(5星)	 小时候 吉儿            
(4星)	 因为童年的回忆一切都不重要            
(4星)	 傅艺伟版地吉儿真是可人儿，林俊贤的李世民当时很是着迷了一阵            
(4星)	 主题曲至今很熟。几儿和李世民无比配！            
(4星)	 主题曲我还是会唱。拱手河山讨你欢。            
(4星)	 小时候追过这部剧            
(4星)	 在别人的豆列中挖到            
(5星)	 好像是小学的时候看的，呵呵，当时就感觉挺好看的。主题曲很好听~            
(5星)	 童年经典啊有木有！！！！            
(5星)	 四星给我的童年，一星给李丽芬那首一百分的好歌            
(4星)	 找个帅哥演李世民直接导致过分偏爱这人~~~ 那时候真心觉得傅艺伟真漂亮啊~~ 那大眼睛~~            
(4星)	 前一阵又温习了一下             
(4星)	 又是一部小时候觉得好看长大后觉得一般的片。我偏偏还不喜欢长孙皇后            
(5星)	 五星级            
(5星)	 片头和片尾曲太经典~~爱不释手~爱上你给的痛！现在都会在KTV里唱的歌。。。            
(4星)	 好古老的电视剧呐            
(NA)	 曾经看过 记得杨吉儿和帅帅的李世民 看了这剧才感觉李世民是好人            
(4星)	 妈哟··当年看这个电视剧·哎哟·好喜欢吉儿哦·觉得演李世明的演员好帅啊·            
(4星)	 玄武门那事有点勉强            
(3星)	 最记得吉儿            
(4星)	 初中那会儿播的，搞得全班女生又开始迷林俊贤。片头曲片尾曲都很好听            
(5星)	 OP            
(4星)	 傅艺伟在里面好美　．．．            
(5星)	 啊啊啊啊……小时候真是奇葩            
(5星)	 我终于找到了            
(NA)	 傅艺伟~            
(5星)	 经典            
(4星)	 这部剧太儿女情长了，与其说是历史剧不如说是言情剧。不过还是很喜欢            
(3星)	 喜欢长孙皇后            
(5星)	 陕西台和台湾永真合拍的，一直一直的怀念，吉儿和世民。            
(NA)	 童年最美的爱情，后来再看，却依然被感动，平原三公子风度不凡，公主情深，尤怜小儿女，能不忆长安。吉儿回首往事时，却依然看破，红尘万丈，不过浅尝辄止方为上上之策。            
(4星)	 當所有人都在喜歡楊吉兒的時候 我這麼多年來獨獨對長孫皇后念念不忘            
(4星)	 那会才多大，早忘了。。            
(4星)	 小的时候看过，想想当时应该是喜欢的吧~            
(4星)	 看在男主角的帅上，多给两分。言情的剧情，被改写的历史人物，生硬的太过现代的对白，还有对武媚娘的丑化，真让人无语啊。当一部有诚意的古装偶像剧看看也没错吧。            
(5星)	 到现在我都会唱主题歌！李杨的爱情记得太深            
(4星)	 很早很早很早的时候看过，剧情全忘光了，只记得扮演李世民的林俊贤好帅（花痴）            
(5星)	 这里面李恪的妈妈好美啊！            
(NA)	 记不得剧情,可是主题曲倒是念念不忘.今朝有酒今朝醉啊,爱不释手你的美呀~            
(5星)	 那时候刚上小学吧。金童玉女的世民和吉儿啊。。还有长孙。太经典了            
(4星)	 那个时候觉得林俊贤很精致            
(4星)	 当年也是看的这部，正出麻疹，于是每天都靠听电视，郁闷啊郁闷            
(5星)	 相当喜欢            
(5星)	 现在怎么再也拍不出这么给力的电视剧了呢？            
(NA)	 林俊贤好帅~            
(3星)	 当时不是很喜欢的一部剧。。。            
(5星)	 我的爱我的爱我的爱，吉儿和世民            
(5星)	 在重温呢，在纠结中呢            
(4星)	 哎哟！超级爱那个李世民啊！            
(NA)	 当时看  连主题歌歌词都能唱出来  确实不容易的 哈哈            
(3星)	 老片啊            
(NA)	 经典啊...小时候一暑假看一遍啊...            
(5星)	 即使有玄武门之变，这剧还是使我对唐太宗有固定不变的好感。            
(4星)	 一年级还是二年级时候看的...........            
(4星)	 待我拱手河山讨你欢，万众齐声高歌千古传。爱不释手你的美。            
(5星)	 毫无疑问是关于李世民最古老最经典的剧集，傅艺伟演绎的吉儿也让人动容。童年时期的梦啊            
(4星)	 看过，但是不是很记得了。。。            
(5星)	 虽然看的时候年龄不大，可是依然印象深刻。当时觉得主角就是应该被喜欢的，可长大后回想，却觉得真正漂亮的是长孙皇后。万芳唱的主题曲久久不能忘            
(NA)	 一直以为唐太宗李世民这六个字必须要一起念呢。。。            
(5星)	  童年回忆             
(4星)	  不太記得了，但確實看過，記得好像那時還很喜歡看的，片尾曲也非常好聽            
(4星)	 杨吉儿呀，就是我心中的女神！            
(4星)	 什么什么都忘了，这名字绝对记忆犹新！            
(4星)	 傅艺伟年轻的时候真是漂亮            
(3星)	 还是那句话，那时候觉得傅艺伟好漂亮！！！！            
(4星)	 那时候觉得李世民好帅的！            
(5星)	 还是蛮欣赏李元吉对吉尔的一段情            
(4星)	 那时候觉得李世民帅呆了~            
(4星)	 虽然是戏说剧，小时候很喜欢看这部剧。            
(NA)	 李世民与吉儿的帝王爱情，儿时的最爱!            
(4星)	 待我拱手河山讨你欢，万众齐声高歌千古传。爱不释手你的美。            
(4星)	 貌似是小学二年级时看的了，超爱啊~吉儿，世民~            
(5星)	 当年迷死了。。            
(4星)	 請觀賞唐太宗李世民            
(NA)	 童年的记忆。。。看了每一部喜欢的古装电视剧之后都去专门找了正史去看，史实一般总是让人失望。后来，慢慢地不喜欢古装剧了。而反观现在的古装剧，觉得还是那时候的好看——至少，人家编得靠点谱。            
(5星)	 我要看54集的            
(4星)	 小时候特别爱的剧，虽然唐太宗有些高大全了，瑕不掩瑜！杨吉儿和长孙皇后都美！最近好多人都说喜欢皇后大于杨吉儿，但我还是痴心不改，最爱女主！人一前朝公主，世民真正的初恋，却甘当小老婆。且最后长孙皇后去世，也不愿被封皇后，连世民都说“你年轻的时候是那么性格，如今又那么明理”  多贤惠啊            
(3星)	 何等有幸配成双            
(NA)	 初中，好像是奥运会还是世界杯，反正是96.97年，同桌常常唱到“东边的美人儿西边黄河流”            
(3星)	 小学时候看，一直以为唐太宗和李世民是两个人。。            
(5星)	 小时候很爱的一部电视剧            
(3星)	 这版李世民一个个始乱终弃，绝对欠抽。            
(5星)	 傅艺伟啊我爱你啊            
(NA)	 忘记了···但是傅艺伟长的还是不错            
(4星)	 哇～当年好迷这个李世民哇！            
(4星)	 只记得我姥姥很喜欢看这个            
(NA)	 又爱又恨哦，爱因为长孙，恨因为吉儿。有了这部剧后都无法解释小李明明最爱的是长孙啊            
(5星)	 又老又经典的电视剧神马的最有爱了            
(5星)	 爱不释手，爱不释手！！剧情都记不得了，硬是记得这首歌，歌词都一字不落记得清清楚楚！！            
(5星)	 因为这部戏，我知道了，唐太宗叫李世民！哈哈！            
(4星)	 出云公主 吉儿...李丽芬的歌儿最深刻了“我爱上你给的痛 心甘情愿等你的梦....”            
(4星)	 我姐当年都说我暗恋李世民，可我现在都记不起演员的样子了。            
(5星)	 小时候看过这片子，但是只对李承乾和那半男半女有映像，其余都淡淡然，现在重新看了一遍，对吉尔和世民喜欢的不得了，哎，什么年少轻狂、巧笑倩兮，还有那种顶天立地、为爱而走的感觉，很强烈，很荡气回肠。喜欢这类有历史性，又俊男靓女的片子，我喜欢前半部，年轻就是好            
(4星)	 说起来对唐太宗大有好感还是从这部片子开始的。傅艺伟那时候也真好看，英雄美人真想再看一遍啊            
(NA)	 又是一部小时候的剧。片头曲那时候很红            
(5星)	 给最美的吉儿公主和《爱不释手》~~~            
(5星)	 小时候喜欢的帅哥。。。            
(4星)	 小时候，不晓得哪个变态电视台，半夜十二点才播，等死我了            
(5星)	 爱不释手。            
(4星)	 小时候看过，现在想有空再看看。            
(3星)	 童年            
(3星)	 冲着傅艺伟看的，可是看过后就不喜欢她了            
(NA)	 对电视剧最早的回忆。            
(4星)	 只記得裏面有個人叫朱古力            
(4星)	 片头片尾曲大赞！李世民年轻时候的剧情好看，当了皇帝以后反而不好看了，可能是演员驾驭和理解不了这个角色的原因吧。            
(NA)	 童年时看过的            
(5星)	 額 又是一個小時候的。。            
(NA)	 吉儿…还有那一段段的小插曲            
(5星)	 说实话，偶那时是为了傅艺伟去看的！后来发现林俊贤也很帅呢！他们之间的爱真的很牢固呢！现在林俊贤去哪里了都不晓得了！            
(4星)	 沉鱼落雁，闭月羞花，美的无处藏            
(NA)	 傅艺伟庸脂俗粉            
(4星)	 当时在看火王，一直觉得这个剧的服装和梳化也是火王迷            
(5星)	 我记忆中最早的一部电视剧了，唐太宗也是我知道的第一位皇帝。            
(4星)	 给李世民涂脂抹粉。阿史那燕姐姐你何苦为这男人陪跑一生？            
(4星)	 这是目前为止，演过李世民的人当中最帅的。            
(4星)	 小时候的梦中情人啊………林俊贤………            
(5星)	 我的童年啊！            
(4星)	 认真跟过的电视剧            
(3星)	 沉鱼落雁，闭月羞花，美得无处藏。。。。            
(5星)	 小时候的美好回忆~~            
(4星)	 主题曲爱不释手            
(4星)	 不知为何，还挺喜欢此剧的。            
(3星)	 我爱上你给的梦~~~最近老年综合症犯了，提到老剧就会自动在脑子里播放插曲。            
(4星)	 小时候可爱看了，记得深夜播出父母不给看，好像都急哭了。吉儿真的好漂亮哦！09年国庆7天又重温了一遍，还是觉得吉儿很漂亮。可惜，里面的爱情太辛苦，要和很多人分享……现在的台湾好像已经拍不出这样的古代大剧了……            
(NA)	 小时候很喜欢看            
(4星)	 其实这版的李世民之所以让我记住是因为有了童爱玲的长孙无垢，这个最让我痴让我难忘的如水一般静静存在的女子。            
(3星)	 我小时候居然无知地以为唐太宗和李世民是两个人。。。            
(NA)	 看来我的审美低能也仅限于小白脸而已，看女人的时候就好多了，长孙无垢的美丽难以忘怀啊            
(5星)	 小时候的经典啊            
(3星)	 其实我不记得了……看的时候年龄太小            
(5星)	 林sir啊！你怎么就被岁月给蹉跎了呢？ 捶胸ing…            
(3星)	 影响很深，前段时间还想重新找来重温一遍。            
(5星)	 傅艺伟和童爱玲，太美            
(NA)	 已经不记得剧情了            
(4星)	 小时候最爱看的剧~~~~现在的电视剧再也比不得了。            
(5星)	 当年的傅艺伟可是漂亮到惊人啊...林俊贤也是超帅啊...真是一对壁人...让我都相信这就是真实的了..呵呵....            
(4星)	 记是在当年放暑假的时候看的，还是黑白电视，和范桶两人看的。不知道现在小范桶现在怎么样了。当年的傅艺伟真美。            
(4星)	 印象最深的是片头曲《爱江山更爱美人》~~            
(4星)	 当时觉得傅艺伟很漂亮            
(5星)	 经典的电视剧，小时候830剧场天天追看，到现在最喜欢的帝王还是李世民，不知道是不是受了这部电视剧的影响            
(4星)	 漂亮的吉儿，现在已经演妈了..            
(NA)	 小时候看的吧。            
(5星)	 经典的唐太宗，经典的一切            
(5星)	 记住了 痴情的杨吉儿 和 贤惠的 长孙无垢            
(3星)	 当年很爱傅艺伟。总觉得台视琼瑶腔。            
(5星)	 好看！            
(5星)	 小学生为了看电视剧吃了多少苦头！            
(5星)	 经典的台湾古装片。喜欢吉儿和李世民的爱情，一个貌美如花，一个盖世雄才，真正郎才女貌，天造地设。开启了我少女时代内心对爱情最美好的幻想。作为配角的童爱玲也非常出彩，演活了长孙皇后，温婉高贵大气，简直无人能超越。片头片尾曲都超好听，歌词很赞，至今还会唱呢！这片子童年时期美好的回忆啊！            
(4星)	 英俊的王子拯救了王国的公主，从此过上了幸福的生活。。。。。。。长大之后才知道真实的故事里他们的关系只不过是政治交换中的制肘            
(5星)	 虽然是90年代的片子，但里面的化妆打扮很精美，甩现在那些脑残呕像古装剧几十条街。            
(4星)	 沉鱼落雁，闭月羞花，美的无处藏。第一句是这么唱吧。            
(4星)	 啊 今朝有你今朝醉            
(NA)	 比较经典，小时候一度看痴了            
(5星)	 好吧。。当年迷死了            
(3星)	 小时候的回忆            
(NA)	 对傅艺伟版的杨吉儿恋恋不忘            
(4星)	 这个我居然还记得            
