http://movie.douban.com/subject/2365100/	流星花园2 流星花園2
(1星)	当年坚持了两集就弃了
(2星)	矮我去，全他妈病句
(3星)	侯孝贤？
(1星)	雪儿害的一星
(NA)	侯孝贤???????????????????????????????????
(3星)	比第一部差多了，
(4星)	雖然不如1好看，但是比現在大部份偶像劇都好看。
(2星)	这个就太不喜欢了 
(2星)	为毛2就要这么sui
(4星)	初三的回忆了
(4星)	1好看啊~
(2星)	永远还是第一部来的精彩！
(3星)	没看过1就直接看2的路过。
(3星)	我真是无聊啊居然重新看这部剧了
(3星)	再见流星花园，再见花泽类。
(NA)	居然快进还看不下去了．．．
(NA)	旧片
(3星)	没有第一部好看！
(3星)	唉，已经没有了看第一部时候的年龄，自然也找不回那时的心情了
(3星)	拖沓了
(NA)	一坨屎
(5星)	我真的很想狠狠唱一夜的歌喝一夜的酒！再吃掉一大桶的冰激凌！！这根本就是一场梦嘛！！呜呜!!!
(2星)	不知道当年怎么居然忍下来了
(3星)	当时看的给我气的。。。
(NA)	F4年代
(4星)	高三生活的美好回忆。
(4星)	那时他们就是童话~
(3星)	只看第一集和最后一集就夠了。。。
(2星)	再次证明拍续集是个多余
(1星)	就不应该有这一部！
(3星)	阿星- -
(2星)	知道什么叫狗尾续貂吗？这就是生动的注解。
(3星)	狗尾续貂啊...
(3星)	那会儿完全就是为了看周渝民，其实已经很无聊很扯了
(2星)	这样的续集依旧没意思。失忆无趣
(NA)	虽然很烂，我也不能否认我看完了……
(4星)	只看了开头和结尾！~
(1星)	比第一集差好多倍
(4星)	纪念？~
(4星)	不论怎样都不喜欢叶莎
(2星)	收尾呼应的小小甜蜜，掩饰不了整场错过的无趣。生活中确有绕了一圈回到原点的感觉，被电视剧截取放大后，居然显得那么的浪费时间。实在不喜欢叶莎的长相，所以才叹息道明寺的迷路吧；花泽类，为了让被抛弃的杉菜有点故事，莫名其妙就不爱藤堂静改爱杉菜了，算是如我所愿吗，可是又被拒绝了，忒惨忒惨
(3星)	没有1好看
(NA)	很烂
(2星)	和第一部相去甚远。
(2星)	剧情有多狗血大家尽情想象。我就看了道明寺和衫菜的对手戏部分。哎。比第一部差远了。刚刚看见有人说 他们，带来的是一种多年前的情愫吧，远远的却不会陌生。8年前，当年还很年轻的他们带来了这么一段故事，一种割舍不掉的好心情。 
(3星)	第一部比较好看.烟火的季节挺好听的.
(3星)	以前看不下去这部，可能因为太讨厌别的女人插足杉菜和道明寺之间；时间过去渐渐也不再这么激动，现在看却有不同的心情。。。
(3星)	看看JERRY
(3星)	类真是帅到……嗷嗷嗷……
(3星)	这个我妈跟我俩人通顶看的
(2星)	比起1好的只有导演的拍摄手法，有点朦胧感
(NA)	侯孝贤?...
(4星)	一般啦~不太喜欢雪儿
(NA)	In my freshman year!haha~
(3星)	40
(3星)	青春的气息
(3星)	只差一点点，类就可以和杉菜在一起了，这是不是也是仔仔和大S的最终结局呢？
(NA)	質量跟數量成反比，還有道明寺他媽媽的那個髮型，簡直惡搞
(1星)	失望.
(NA)	流星花园
(3星)	道明寺的地方全倒过去了
(1星)	比第一部不知道难看多少
(4星)	更喜欢西班牙的景色～
(3星)	没第一部好看了
(3星)	其實可以只停留在第一部的~
(NA)	没1好看
(3星)	继续不喜欢大S .
(2星)	什么叫狗尾续貂
(3星)	总有点儿画蛇添足的赶脚
(3星)	没有1好看
(3星)	到了第二部就弱了唉
(3星)	其实没有流星花园1那么好看
(5星)	我是花泽类的NC粉
(3星)	明显不如第一部经典，这一行弥补了十年前的遗憾
(4星)	跟我姐一起看的。。。。囧
(1星)	烂
(2星)	那个假的直升机，简直假的让我想自毁双目。很后悔看这部
(3星)	中间一大堆废话，只有前几集后几集可以看看，叶莎的演员选的真不好
(2星)	不是一般的难看
(3星)	不要再回顧過去了親。。。。。。不過流星菜園2真心比1爛。。。。。
(3星)	所有的续集，98%以上都是后尾续貂，这部也不例外。不过雪儿真是漂亮，以至于我都无法讨厌她的角色来着。。
(2星)	没什么好说的..
(4星)	美作帅啊
(3星)	不喜欢那个女2号
(5星)	我是不知道为什么这么多人批....我觉得这部简直要超越第一部了...
(4星)	有时候会忍不住回头看，第二部里最喜欢看美作和筱乔。
(3星)	谁想要看道明寺跟别人啦！！
(2星)	节奏和第一部很对的上 接着2呗~
(3星)	如果不是为了f4，只能打两星
(4星)	整个基调都是很平稳，前两集和后两集很喜欢。。。
(4星)	年轻的时候也有那么一段时间喜欢F4呢。哈哈哈。
(4星)	古老
(4星)	只有第一集和最后一集不错，中间的简直是折磨
(3星)	杉菜和道明寺的对手戏少的可怜，还没有类，这第二部就抓着失忆一个点冲了好大一桶。看在类的份上，我加一颗星星。
(2星)	一年之後的這部遜色好多哦。
(3星)	比起第一部差远了，也没看几集，看在第一部的面子上给3星
(2星)	剧情改的太狗血，自从道明寺在西班牙出车祸之后就再也没看。车祸之前西班牙那一段，美好的不像话。原声好听。
(NA)	不知道为什么就看过了。突然失忆么？
(3星)	没有1经典，但也满足了看续集的欲望
(2星)	漫画
(NA)	真讨厌雪儿
(1星)	………………………………
(3星)	第二部就觉得不好看了~
(2星)	差多了
(2星)	忘了内容了
(2星)	太狗血了。其实续集真的很没必要，恶俗的失忆+三角恋套路，有点没事找事。而且情节太拖沓和阴暗。没有第一部的温暖明媚。不能接受那F3都成浮云了，所有人都围着俩主角服务。大S虽然长得不咋的，zh少第一部还挺讨喜的，第二部看到最后我只同情叶莎，莫名其妙突然被冷落了，其实她和道明寺更登对的。
(NA)	狗尾续貂~
(5星)	很经典那 不过还是1好看
(3星)	苦逼
(3星)	跟第一部完全不好比的，剧情一点也不好的。。
(NA)	oh my babybaby my babybaby，我绝不能失去你……看的粤语版的，囧
(3星)	一般
(4星)	第二部还是不错的
(4星)	有呢么难看么？美作帅的我天昏地暗的
(NA)	鼻祖- -
(3星)	续集都是俗套
(3星)	那个不丹公主看得我很烦。三颗星是给仔仔的，我当年很喜欢他那种忧郁气质。不过自从他和大S那朵残花败柳一起后，我就对他的品味绝望了。
(4星)	觉得第二部比第一部好很多 至少西门和美作不是花瓶了
(4星)	又重温了一遍七年前的影像，再回首，其实这部续集真的没有想像中那么差，只是那时年少，一心很希望道明寺能尽快回到杉菜身边，所以出奇地讨厌叶莎。现在看来叶莎其实也很可爱，只是一个人的心只能容一个人，我们和恢复记忆的道明寺一样，心里已经有杉菜了，再也无法容纳其他人了……
(4星)	仔仔你这个圣母受
(4星)	经典2.0~ 没有第一部好看
(3星)	比第一部差了太多
(4星)	没有了看流星一的时候的感觉，断断续续才看完
(3星)	第二部剧情太扯了，没坚持
(3星)	米有1的感觉了
(3星)	跟第一部比，太恶俗了、
(3星)	就在杂志上看完了
(2星)	太恶了
(3星)	没有第一部好看了，多了一个雪儿，其实我觉得道明寺和雪儿在一起的时候也是很开心的啊，干嘛不索性他和雪儿，让花泽类和杉菜在一起呢。。。
(3星)	确实一比较好看
(3星)	没有1好看
(4星)	其实还挺喜欢叶莎的！！
(2星)	看第一集就看不下去了。
(3星)	好多情节都是可有可无的。
(4星)	一见钟情说的就是你吧
(3星)	我只是比较喜欢美作的段落~
(3星)	那个什么续貂啊啊！！
(NA)	年轻的时候比较傻
(4星)	仔仔还是帅的。。。
(2星)	看的超郁闷，不过，我居然看完了！
(2星)	简直毁了
(NA)	做为一部偶像剧实在是文艺。因为侯孝贤？
(3星)	跳着看的，不太全。还好吧。没有第一不好。
(5星)	爱情的背叛谁也不愿看到，或许是它分低的原因。但依然支持，因为四个人都在。
(3星)	现在看来是有多烂俗。。
(3星)	看到後半段已經只對類&amp;杉菜的片段才認真看了
(4星)	小学时候看的。
(5星)	我还是觉得很好看。哭戏明显变多
(3星)	谢谢你没有像还猪哥哥那样出第三部...
(2星)	说失忆就失忆
(3星)	不如第一部
(2星)	第二部和第一部真是没法比。但西班牙还真是很不错的地方。配乐也不错
(3星)	差距- -
(4星)	没有第一部好看，但是还算可以吧~~
(5星)	雪儿很难看！
(3星)	没有第一部好~剧情有点冗长~
(3星)	拖戏了。不过西班牙巴塞罗那的外景部分值得看！！
(NA)	借碟失败后，买的盗版碟看的。。那个青春无悔。。
(3星)	十几年了，，大概还记得一点剧情，但是印象中和第一部感觉差的太多了
(2星)	道明寺撞车之后居然连鞋带都不会打啊，撞车不仅失忆还变白痴啊
(3星)	剧情好烂！
(3星)	相比 流星花园2就让我根本不记得一点剧情
(3星)	哎，明显不如第一部。
(1星)	瞎，超級瞎
(3星)	在新年的爆竹声中看完的偶像剧，那个什么混血的实在太丑了~
(NA)	多年前看过，真想感慨，原来导演是侯孝贤啊
(5星)	喜欢上了西班牙……
(3星)	电视剧产业我不作过多评述，可是流星花园2不是侯孝贤导演的，他只是监制！！！
(3星)	。。唯一的欣慰是仔和大S的对手戏很多。。最大的遗憾是最后杉菜没有和类在一起。。
(5星)	~
(2星)	惹人生气呢
(2星)	爱之深，责之切。拍得太差了，剧情很烂，什么失忆的，玩什么韩剧桥段嘛。完完全全破坏了道明寺和杉菜的动人爱情。
(3星)	6年级中午回家偷偷看的，不爽，不喜欢那剧情。。
(3星)	纯粹只是因为 第一部才追的 儿时的记忆啊
(2星)	和第一部没法比啊，剧情松散、拖沓，确实有狗尾续貂之嫌……
(3星)	2总是不可避免落入下乘了。。。
(5星)	永存的记忆
(2星)	都没看完···
(NA)	原来侯孝贤也拍这种东西的吗- -
(3星)	都忘记我看过了，还是去年刚看的╮(╯▽╰)╭
(3星)	情节已经记不太清了，又一次说明了续集毫无存在感，哪怕原来灿烂无比
(4星)	小学时看的，当时沉迷于此。
(1星)	你们在拍韩剧么，那么拖沓
(3星)	2颗星是给雪儿的.
(3星)	可以不要总给经典拍续集行不～
(NA)	老火啊。
(1星)	看到郑雪儿出场，直接弃，太丑了，之后她拍创世纪和寻秦记的时候也让我郁闷一番，怎么能这么丑呢～
(3星)	里面原来居然有吴佩慈
(3星)	不可能没看过吧
(3星)	有5集很好！全是周渝民
(1星)	看过一点点的
(3星)	没有第一部好看，而且没看完整，剧情也不太清楚，觉得道明寺喜欢雪儿那里很不能接受。
(1星)	难看  干嘛弄个叶莎出来，还那么丑
(2星)	总是毁在第二部。
(3星)	为什么要拍2？你2啊。不好看
(2星)	啊…那时候就很讨厌小三神马的恩
(2星)	华丽丽的打破了花季美梦
(3星)	不及第一部
(4星)	成长历程中不可或缺的
(4星)	沒有第一部好看！！
(3星)	也还可以啦!就是有点罗嗦
(2星)	典型的狗尾续貂。
(NA)	2真的没有1好看哎
(4星)	我覺得雪兒和道明寺更配啊~
(NA)	米有第一部震撼的样子···可是记得小时候还是很喜欢看~
(1星)	第二部實在不願看
(3星)	类胖了...
(3星)	一般续集都是理所当然地让人失望。
(1星)	奇烂无比
(2星)	- -
(3星)	真真是狗尾续貂，全靠大S的演技我才看下去！编剧脑袋让门弓子抽了！
(3星)	我竟然看了
(2星)	第二部很垃圾
(3星)	狗尾续貂
(3星)	不比第一部
(NA)	额··· 我还是爱道明寺滴妈妈吧
(3星)	第二部怎么就成这样了。。。
(3星)	第一集就弃了
(3星)	台湾 电视剧
(3星)	没第一部好看
(NA)	二。。。
(4星)	居然很期待的说当时
(2星)	又一次证明第二部总没第一部好~
(2星)	超级无聊的
(NA)	中间失忆的全部没看 所以我只看了第一集和最后一集吧  够了~
(3星)	就是急噪来的，烦死了
(5星)	偶像剧的经典。~
(4星)	因为经典所以有4颗星，但是没有原作的精彩~~
(3星)	    恩，我只是恨老
(1星)	屎
(4星)	我没有童年，前两天刚看完。。
(3星)	昊哥哥特意租碟给我看，那还是什么年代啊！！ 
(1星)	忒恶俗~
(3星)	远没有第一部好看
(4星)	原来Spain也是浪漫之国~
(2星)	第二部有点变味了
(2星)	真不知道谁想的剧情
(3星)	不喜欢雪儿
(4星)	曾经那么着迷~
(3星)	执拗的想要坚持
(5星)	喜欢是因为这里有爱情，有友情，男生间的、女生间的、男生女生间的，这里有最纯真的感情，最美的人生~
(1星)	我记得导演有四个，没有蔡岳勋。片尾曲好听很喜欢，其他，略。
(2星)	失忆哎  万年不变的设定
(4星)	道明寺！
(2星)	完全没有第一部好了
(3星)	什么经典都不能拍续集，这个就是范例
(3星)	第二部太傻了。。呵呵。。流星花园不在流行啦。。
(3星)	没第一部好看 不过总体上还是很有爱的 = =
(4星)	其实我一直觉得第二部还可以  演技成熟了  现实了 还有异国浪漫元素 歌很好听
(3星)	万众瞩目下的杯具~哎
(3星)	记得当时喜欢吴建豪，一直跳着看他和吴佩慈小姐的戏。
(3星)	一般
(2星)	那个什么雪是想雷死我么？丑暴了...寻秦记里我也就忍了这个我忍不下了
(NA)	本来轻松的电视，改变得这么纠结，都不想看下去，太讨厌了
(2星)	郑雪儿实在不好看呀！！
(3星)	不好看了
(3星)	比第一部差远了~
(3星)	说实话，真没有一好看啊
(3星)	比1差好多~
(2星)	啥破玩意啊
(2星)	没有第一部的好看，续集都是杯具
(NA)	还是无法释怀……出轨
(1星)	爛到莫名奇妙
(4星)	景色的人物都没有 但是 要不要这么虐仔啊...
(4星)	雪儿那段完全跳过，哈哈
(5星)	因为是F4怎样都不能客观去评价它了，就是支持好了。
(NA)	为什么第二部就这么傻了
(2星)	shiytv  xingkong
(3星)	完全没有1好看，要气死的
(4星)	这次杀出来一个雪儿，看的有点着急。
(2星)	还是一星给杉菜，一星花泽类。
(3星)	我也记得2没有1好看。但是也是盘一上市就买了看了然后也是看完立刻借给别人了。
(3星)	续集杯具
(NA)	不如第一部，但是仍然支持F4…我们的一个时代…
(5星)	最近和老婆一块温习。终于再一次大结局啦！
(2星)	三个版本的看下来，最出彩的花泽类还是仔仔
(5星)	没有第一部好看~但是也算我很长时间的精神支柱了~
(3星)	第二部的女二。。唉。。不喜欢
(5星)	流2，類迷心中永遠的痛
(1星)	难看
(3星)	雪儿也很丑
(3星)	还是第1部 比较好看
(3星)	导演是侯孝贤？？
(3星)	曾经的仔仔呀...
(5星)	第一部还是上初中的时候看的，现在用三天的时间看完了第二部~真的很喜欢这部，感情很细腻，被感动的稀里哗啦...里面有好多算不上经典却是很感人的台词，适合慢慢品味，有故事的人更容易走进剧情吧~
(3星)	看的我真是气。。。
(1星)	狗尾续貂
(1星)	流星2就是大大大大大大大大大大烂片！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！宇宙超级霹雳无敌大烂片！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
(NA)	烂。不过ms没怎么看。不喜欢道明寺不是跟杉菜。
(3星)	总体没第一部好，但是喜欢美作和筱乔那段感情戏~
(1星)	一點點都不好看。真是谢特啊，谢特
(NA)	这个得看。。
(3星)	仔仔和杉菜在一起的那几集还是蛮好看的。
(3星)	。。。。。
(NA)	不错，高中的时候看的。。
(3星)	讨厌第二部
(2星)	除了最后道明寺跟花泽类的山顶对决外几乎没找到亮点
(3星)	貂尾续狗
(NA)	当年看这些人一袭白衣出场还以为一定会有人翘辫子类~
(1星)	……柴智屏啊，你不能离开神尾叶子，真的T T 
(3星)	实在是因为F4才打的三星
(3星)	二拍的总是不如一好
(3星)	爱周渝民！！
(NA)	续集太让人失望了~
(3星)	没看完
(NA)	那些煞笔无知幼稚得可爱的小时候让我脸红了
(5星)	支持大s。
(2星)	lan
(2星)	续集永败笔
(4星)	没有第一部好看了
(2星)	剧情太烂，竟然看见了李康宜，还是很可爱的~~
(2星)	狗尾续貂= =||||
(3星)	干啥非要搞个续集出来
(NA)	不好看
(2星)	那时初三...人物性格都变了...
(4星)	和。。第一部。。没有什么可比性。。不过还可以
(3星)	终于耐心地把它看完了，原来看网友评论时是不抱什么希望的，但是冲着言承旭还是去看了，不过现在看来还可以，感觉不错，觉得雪儿演得很好，都很不错啦，还是当之无愧的众多《流星花园》的经典啊~
(2星)	乱搞了
(2星)	续作太龊了~完全看不下去
(2星)	完全看不下去。真是複雜。
(4星)	没有第一部好看~
(3星)	智力未成年的情侣~笑~~~~
(3星)	老套老套
(4星)	补写评语：很忠于漫画
(3星)	被毁了的道明寺&amp;被过于弘扬的花菜恋= =|
(NA)	青和电台点播 婆婆和爷爷重逢的故事 更台湾化 小学三年级第一遍 高一第二遍 2011.04.02- 04.07第三遍
(NA)	超好看，超赞
(3星)	第二部其实没必要弄那么大篇幅。。。
(3星)	说我喜欢郑雪儿，会不会被打啊
(3星)	如果我又开始模仿片头的音乐，你是不是又要哈哈大笑？？
(2星)	虽然看过，但印象不深了
(2星)	失望之极，当年怎么看下去的呢
(3星)	没有一好看啦这个是当然的，不过还是将就...话说宣传照简直就一白衣飘飘的年代~囧啊囧~
(4星)	结局怎样来着，忘记了
(NA)	无奈啊 看的
(3星)	流星花园是永远无法超越的经典,这部2实在不好看
(4星)	最先上映的时候大陆只能买到上半集的DVD。只到现在我还没把下半集补上
(3星)	不喜欢郑雪儿，好做作。
(4星)	诶诶，第二部比第一部狗血了~不过花泽类还是一样让我花痴~
(3星)	这个剧情我十分忍不了！什么嘛！
(3星)	比第一部差好多~
(4星)	na那个年纪，就觉得仔仔最帅。
(1星)	看不下去。没有多少人可以做到见好就收。
(1星)	和1比差很多 尤其是小雪演的 让人崩溃 
(3星)	为了仔仔给三星，第二部纯粹毁了道明寺，毁了第一部的经典。
(1星)	什么破玩意儿啊!
(3星)	不如一经典，却依旧还好。
(NA)	刚开始的西班牙之歌好轻松喜悦充满异域，瞬间自己也到了西班牙。杉菜再次遇到道明寺的时候突然响起：tell me her name i want to know....，然后杉菜哭着说：“我知道你在回家的路上，我会等你，一直等你。”看着杉菜瘦弱的肩膀和汩汩的泪，真的让人跟着跟着伤心到骨头里。早餐车的的欢快，让
(2星)	狗尾续貂之作。
(NA)	08前
(4星)	仔仔……哈……
(2星)	比一差多了，没得法继续看下去。一直在快进。
(3星)	没有1好看
(3星)	每一部剧都附存一段时光的记忆。还不错的续集。
(4星)	感触很深。缺什么也说不出来。。主要是来自心底的感动吧。
(3星)	无法超越流1
(4星)	当时看得那叫一个激动啊。还特地去租VCD看呢
(4星)	第二部没第一部有激情~
(2星)	跟第一部差远了
(2星)	貌似看完第一集后就从24集开始开启了，实在无法忍受寺把杉菜忘记，更不能忍受的是他竟然还上了其他人...好心痛。而且寺身上的一些味道也消失了，没看过的人最好是不要看，要不然也会像我一样难过的。没脑的编辑，导演。而且貌似导演不是蔡岳勋啊
(2星)	比起第一部 续集就是垃圾
(3星)	也许爱就是伴随疼痛而不自知等发现时却戒不掉了
(1星)	爱之深，责之切！！！
(NA)	不好看
(NA)	曾经年轻过
(NA)	第二季没第一季好看
(NA)	一个时段的疯狂....
(4星)	比1要差一點...不過劇情還是可以的...我是挺希望杉菜能和花澤類在一起的...另外..這出戲令我發現雪兒超美~
(NA)	巴塞罗那很漂亮啊~~
(4星)	仔仔啊。。。
(5星)	友情
(3星)	不如1啊！
(2星)	比第一部难看
(4星)	第二部……剧情有点……不过还是很不错～
(3星)	至少是曾经的风靡
(2星)	没什么印象了
(1星)	大烂片大烂片～！！！
(2星)	这部片子……无语了……
(1星)	烂透了，跟别人看了好几次，都没有勇气和耐心看到最后
(3星)	讨厌台湾的编剧
(NA)	看了几集就无法下去了。。。。
(3星)	本科
(3星)	相比第一部，逊色不少。
(4星)	有感动却执拗地不喜欢后来的那个道明寺
(3星)	现在看..感觉有点怪..---08.06.20
(3星)	不如1...
(NA)	不如1好看
(3星)	没啥意思了
