http://movie.douban.com/subject/3419000/	廉政行动2009
(4星)	 勉强            
(2星)	 作为单元剧来说，剧情的渲染力度不够，情节不够吸引。            
(5星)	 ICAC你们好有型啊            
(NA)	 周柏豪很帅气~            
(3星)	 宣萱穿小西装的样子太有范儿啦!            
(4星)	 看了以后才发觉，搁香港我就是一法盲。。。            
(3星)	 為了楊出場那五分多鍾啃了五集...我真不容易我            
(5星)	 香港政府的廉政清明在全世界国家中排第十二名，在亚洲排第二名，廉政公署功不可没。支持支持。            
(3星)	 看港剧学粤语 Series 1            
(4星)	 内容还行，就是卖碟的太骗人，两张盘只有五集。。。。            
(NA)	 第一集和第三集~第一集有宣萱，第三集有千fa~            
(3星)	 TVB的建国大业~第五集唱K的背景音乐是林峰的get wet oh~            
(3星)	 额~大牌龙套~            
(3星)	 完全就是公益宣傳片吧 沒有劇情可言 就是看看每集有些什麽人出現而已 爲什麽藥煲為數不多的畫面又是和我們苗苗一起出現！！！            
(5星)	 追的很辛苦啊，一周就一集。。。。。。            
(2星)	 不好看&gt;_&lt;            
(3星)	 和谐为主... 明星为辅...            
(4星)	 有我家YOYO和SONIJA，又怎能错过捏~哈哈两只还演得好朋友，hoho~就看了那一集，其他的再说吧            
(2星)	 看了两集，终究还是无法追下去。。。            
(3星)	 看了一集，宣萱真好，林保怡可证明坏男人睁眼说瞎话的本领是无敌的。            
(NA)	 完全龙套的杨千嬅。            
(3星)	 一如既往的无聊            
(4星)	 不怎么好看~~~但是，是一个系列的传承……            
(NA)	 香港的教育片            
(NA)	 看了第一集..没什么出彩点..就顺手弃了            
(NA)	 HK也有主旋律啦？            
(2星)	 香港主旋律？            
(NA)	 等得好辛苦            
(5星)	 pakho!!!!!=3=所有的星都是给你滴！！！            
(3星)	 只看第一集。因为有宣萱。            
(4星)	 积极意义值得多一星。            
(3星)	 呃...5集就结束了?            
(3星)	 我就为了看看苗苗 周柏豪长的挺好看            
(NA)	 2            
(4星)	 陈samuel先出现得一集...            
(5星)	 好和谐啊            
(3星)	 千嬅在海报里面超级超级帅啊！！！！！！！！！            
(3星)	 隔的时间太久了。忘了等。            
(5星)	 杨千嬅 周柏豪 薛凯琪 郑融 必须的            
(3星)	 正义凛然的..            
(3星)	 想看黄浩然            
(2星)	 TVB闲的慌，整出这么一部东西。            
(2星)	 好没意思啊 直接拍纪录片算了了            
(4星)	 打倒贪官污吏！！！！！！！！！！！！            
(3星)	None
(5星)	 全为周柏豪而看的 喜欢他想看他的话就只看第3.4集 哈哈            
(3星)	 太散了 不太过瘾            
(3星)	 说教类 公益节目 为什么大陆没有廉政公署 多好的部门啊！            
(4星)	 觉得还不错诶~~~每个故事都特别有纪录片的感觉~~还有电影的观感~~            
(NA)	 3,4,5            
(3星)	 千嬅很喜欢，还有周柏豪那个角色，大眼睛扑闪扑闪的。            
(5星)	 比廉政行动2011好睇..净系睇班底就知啦！！！Samuel好正啊啊啊呜呜呜TVB居然唔要你！！！And...我迷上周柏豪啦呜呜呜好鬼靓仔啊顶！！！特别系笑果时！！！！！            
(4星)	 ICAC            
(3星)	 闪瞎眼的卡司啊~~~好吧，我就是冲着明星去的==            
(NA)	 有点儿阴郁            
(3星)	 苗苗            
(3星)	 icac女探员薛凯琪都是踩着超高跟出外勤的…几赞…            
(3星)	 当年对此剧多狂热！姐还有ICAC寄给我的卡套+徽章= =            
(4星)	 ICAC果然很强大。。。。            
(4星)	 喜欢看真人真事。            
(3星)	 Fifi严肃起来搞笑唧            
(3星)	 看明星的...            
(NA)	 每集太短啦！！            
(NA)	 政府部门工作宣传片~~            
(3星)	 看的时候完全没想到我现在会如此钟爱柏豪            
(4星)	 帅气的            
(5星)	 fiona好靓            
(5星)	 哦~这个帅哦~            
(3星)	 唉，本来抱很大期望的。。。不过是根据现实改编，也还行啦。。。            
(3星)	 教材系列，有点生硬，但因真实而珍贵。这些事情，在大陆，算什么。这就是香港最珍贵的地方，悲哀地想想，这大概是上海再过五十年也赶不上的吧。法治与平等，是文明社会的基石。否则GDP再高还是一个吃人的社会。            
(3星)	 阵容很强大啊O.O其他的我就保留意见了            
(3星)	 剧情还不错，都是香港廉政公署的真实案件改编，更像是一部宣传片或者招公务员片。            
(4星)	 有两集很八错            
(3星)	 明星客串            
(2星)	 放了两集 实在。。。。            
(NA)	 冲着陈建峰看的。。。            
(3星)	 感觉这次想捧黄浩然、周柏豪、薛凯琪不得不提一下陈键锋和梁嘉琪（学警三里面的花若葆)在里面又再度携手了。。。            
(3星)	 一众明星，案件给人以警示。            
(3星)	 宣萱老了。。。            
(3星)	 好难看            
(NA)	 广而告之            
(4星)	 短，不过瘾            
(5星)	 阵容强大，短小精悍            
(5星)	 好看            
(3星)	 Pakho几靓仔!!!            
(NA)	 我就看眼三苗...结果我看到了学3里内药包。。。瞎了= =+            
(2星)	 阵容强大， 剧情一般很一般。没看完……            
(4星)	  算是这两年tvb不错的片子了，            
(5星)	 跟三言差不多            
(3星)	 从朋友那里淘来的一张压缩碟，本以为是普通的TVB剧集，哪知是电视电影。虽然故事缺乏起伏，但拍得是比较精致，而且是高清版本，于是就忍了。再定睛一看，才发现每集的导演都不同，而且都是林超贤、叶伟民等在港片的黄金年代多有佳作的鬼才型人物；再加上演员整容超级豪华，于是2星变三星。以上。            
(4星)	 喜欢这种系列剧，不少人出演，哪怕是龙套也算过了眼瘾了吧，真实的案例还是比较震撼的。            
(3星)	 不好看            
(4星)	 这演员阵容很好很强大。            
(3星)	 不好看。不过本身也不是电视剧，是廉政公署宣传片            
(2星)	 打着演员阵容的幌子            
(3星)	 单元剧            
(5星)	 香港胜在有ICAC            
(4星)	 我中意            
(3星)	 黄浩然怎么没坚持到最后？            
(3星)	 五个取材于真实案例的故事，众多TVB大牌演绎，但受限于每集短暂的时间，没有太多发挥空间。说是剧集其实更象是案件重现的法制类节目。《廉政行动》系列每年都会有一部，对市民、尤其是公务员的教育还是有好处的。            
(3星)	 每次结局都略显仓促~~            
(2星)	 还真是下坡路啊。浮夸又做作。尤其是《公．私车》这一章。。真是失望。。            
(3星)	 明星扎推。。其它沒感覺            
(NA)	 经典            
(4星)	 因为真实 所以精彩            
(3星)	 期待中的千嬅只是个客串= =。失望。            
(3星)	 完全是为了看看千嬅~            
(2星)	 就是廉政公署的对外宣传片~            
(4星)	 就是来看柏翘和Fiona的，可是不光没在一集出现，那个小三儿也在第三集出现            
(3星)	 也就这样吧            
(5星)	 没有07好看               
(3星)	 意义大于内容，一如既往支持            
(NA)	 风格我不太喜欢 虽然港剧是磨叽了一点 但这种风格的我不太习惯            
(3星)	 真实案例            
(4星)	 演员很多 很精彩            
(3星)	 越来越难看。。。。。。            
(3星)	 毕竟有大阵容 不得不看啊 看完失望 情节怎么跟案件聚焦差不多呢            
(3星)	 案例罗列，没什么意思⋯⋯            
(3星)	 瞎看看            
(3星)	 就觉得林保怡那个印象深刻阿，演个坏人是入木三分，还有蒙嘉慧钉子户的那个也满感慨的            
(5星)	 真实的东西~            
(3星)	 配音太差。            
(2星)	 很无聊的剧            
(3星)	 单元剧 其实我是冲苗苗看的 意思意思看了其他单元……            
(NA)	 太短了，刚开始还以为卖碟的少刻了，原来只有5集。香港的法例挺严格的，不错。            
(5星)	 fiona  怎么就那么好看呢 还有  yoyo            
(3星)	 个人喜欢第二集            
(4星)	 廉政行动系列是每年必追。今年拍的更像电影短剧，更突出人性，尤其是ICAC调查员的心理描述，更人性化。被调查的也不是什么大奸大恶，就是一念之差。演员阵容我喜欢~~            
(3星)	 跟以往的警匪片差很大。。。            
(4星)	 钉子户            
(4星)	 最喜欢关于ICAC的电视剧了。。            
(3星)	 这完全就是拿演员忽悠观众。只看了一集。呃。            
(1星)	 不知道爲什麽，這麼垃圾TVB還年年拍朋友愛看TVB的，都說這系列非常之垃圾！！！            
(4星)	 就那么几集。。。一下下就看完了。。挺好。。再多几集就不要看了。。。            
(2星)	 啥时候CSRC像ICAC一样就好了            
(2星)	 噱头            
(3星)	 最后一集好做作            
(2星)	 真的不好看 但是是真实案例 一星，明星多 一星。一共2星            
(5星)	 拍的很简短，但是看得出很用心，编剧很尽力的。。能用上的明星都用上了，只不过啊大家的妆都太浓了            
(NA)	 Fiona好靓            
(3星)	 明星很多~虽然是宣传作用，但是还是要顾及剧情，有些太急，有些太缓。然后，每次行动都出动好多人啊~            
(4星)	 超豪华阵容。。。            
(3星)	 政府宣传片啦，就是看看tvb演员了，没啥剧情可言            
(4星)	 挺好的，反映香港的现实社会。            
(4星)	 ICAC的电视剧一向有很好的口碑。            
(NA)	 。。。            
(3星)	 教育片嘛，别计较太多。不过这一辑剧情比较好些，因为那些案件更有趣些？            
(1星)	 不好看的，非常不好看            
(4星)	 tvb招牌模式, 短小精悍5集. btw, ICAC在内地是行不通的.            
(4星)	 心有戚戚焉，身为同行却又不尽相同，万千滋味在心头            
(2星)	 宣传片而已。。。白期待cast了            
(2星)	 一个个故事，不喜欢。            
(3星)	 虽然是教育意义大过于情节太多太多的剧，但很有社会关怀，值得支持。            
(NA)	 只为杨千嬅            
(4星)	 明星超多的...其实都是要给那些年轻人看的法制教育节目而已...  但每一集都有花心思在里面            
(3星)	 黄浩然其实不错啊，怎么总是不太红的样子，唉...            
(5星)	 每年最真实的期待            
(4星)	 一集一个故事，典型的TVB系列。            
(NA)	 好多熟悉的人。哈哈，某个小组的人添加的吧，FA是第一个演员，其实只是客串。对了，还有好多熟悉的电影导演，难道他们是重抄旧业？            
(5星)	 看Sonijia看Samual            
(4星)	 比07版的好，可能是演员更眼熟的原因吧。。。            
(4星)	 一集一个故事，我zhui喜欢            
(3星)	 全是香港发生的真实案例            
(3星)	 喜欢的演员是流水的，花叉是雷打不动的- -            
(4星)	 看完了看完了。一下子就看米了。            
(3星)	 原来就5集而已。一般般啦            
(3星)	 每集一个故事，每集一套班底，感觉有点美剧CM的套路。真怕TVB没那么多明星撑场子啊。。。            
(3星)	 tvb果然是要捧黄浩然啊，唉，苗和廉记都好帅~~            
(4星)	 要是多拍几集该多好啊！            
(3星)	 感觉有一两个特别不错...剩下的就....            
(5星)	 ...HD高清= =            
(3星)	 只看了三集~~有点不一样的style            
(NA)	 纯粹看卡司= =PS:我是苗的颜饭...            
(2星)	 说教味太重了点            
(4星)	 拍的不错，以一集为一个故事编排，简短精悍            
(5星)	 可惜太短了.....            
(3星)	 好強大的陣容            
(NA)	 TVB最迷人。            
(NA)	 因为宣萱看了第一集            
(3星)	 悲伤与萧索            
(3星)	 典型TVB   依然喜欢  只是学起了GCD的自我宣传戏路。。。            
(4星)	 原来它只有五集。            
(4星)	 老东西们真帅气～            
(4星)	 很久不见的这么多星星            
(4星)	 卡司有爱            
(3星)	 第五集苗苗穿西装真帅~            
(NA)	 為咗卡司            
(4星)	 不错的宣传片            
(NA)	 还不错，有点短了            
(3星)	 很马马虎虎            
(4星)	 因为杨小姐才看这部剧的。FAFA在剧中给人感觉好干练啊~            
(5星)	 最近几年廉政兄弟系列都改变自真实案例,再加上只拍几集,感觉真的黑不错~而且每次的演员我都好喜欢!!! 二少,大块田,郭老头,Sonija,谭小环,廉记,Maggie,Kenny,苗苗...            
(3星)	 某苗的表情很到位，无视失败的花叉叉与花师奶。            
(NA)	 一个星期一集，一集一个case，一个case一批人，情节什么的太少了一点吧~            
(3星)	 2009年只看到了4集。其实大可拍成长剧，定有市场啦。            
(NA)	 一集一个故事，TVB+ICAC的例行公事。            
(5星)	 情节没什么特别，但咱要的就ICAC的威慑力            
(NA)	 一如既往的水准，几个故事中我对钉子户的那个故事留下的印象比较深~            
(4星)	 看到很多就未露面的家伙~不错            
