http://movie.douban.com/subject/3732154/	丘比特的圈套 บ่วงรักกามเทพ
(3星)	 Pong好帅啊超级适合演这种邪气腹黑男，跟Bee也很般配。剧情一般，女主角吵死了，男二又是个事儿逼，小演员也不可爱，反面角色和配角的戏份太多需要快进。            
(4星)	 男主角帅的，女主角靓的。剧情是俗套的。总体是不错的。            
(3星)	 我主要是去看帅哥和美女啦！            
(4星)	 四颗星完全是看在女主角的身高上~            
(NA)	 听到 家有仙妻 的主题曲。。。真亲切。。。偶尔换换口味看泰剧也不错。            
(5星)	 好好看啊！PONG&amp;BEE超级无敌配配配！BEE有些时候看很像AB&gt;..&lt;PONG哥超MAN！！            
(2星)	 BEE啊你的表情能再夸张点不，这对官配西皮一般般嘛            
(1星)	 编剧的脑子里有shi……            
(4星)	 在厦门旅游时看的很欢乐的片子            
(NA)	 为了一个男人，我忍着看完了这个狗血剧啊            
(NA)	 我妈超喜欢看，这个到底有多少集啊，感觉一直在重播            
(4星)	 有霸气的男人我最爱了~            
(NA)	 狗血啊 我承认我只看脸             
(NA)	 养眼            
(4星)	 此剧男二号很突出的讨人厌。            
(3星)	 各种狗血不靠谱。但我居然看完了！！！我是有多无聊！！！            
(3星)	 为了几个帅男人，啊！！！！！！！！！泰语真的。。。不好听。            
(5星)	 bee好漂亮呀~~~跟pong最配了~~~            
(4星)	 泰国的琼瑶剧~            
(NA)	 ——小蜜蜂后面还蛮好看囧 泰国女人能少叫一下么（个么你让编剧把男猪写弱势一点            
(NA)	 各种狗血各种暧昧..            
(4星)	 喜欢这一对儿            
(4星)	 泰剧有三宝 帅哥 美女 大俗套            
(4星)	 好狗血好狗血果然要什么有什么有艳照有车祸有卫生巾要啥有啥~！！！            
(NA)	 让我想起很久之前看人鱼小姐的时候。还有更久之前的我和春天有个约会。PS:男主是我喜欢的型~~~            
(3星)	 无聊死了我就是无聊发癫才会看这无聊之作            
(4星)	 绝对是pong &amp; bee合作中很好看的一部，剧情合理又不乏虐的戏份，女主坚强有主见，最后又是大团圆结局。            
(4星)	 说不尽的爱恨情仇            
(4星)	 好言情            
(4星)	 十万分言情~            
(4星)	 每年9月。。。安徽台。。。都有1部泰国电视剧。。。            
(3星)	 我竟然看完了。。。            
(4星)	 我已经开始看太剧了。。。            
(NA)	 好吧 我是因为PONG            
(4星)	 演员很漂亮            
(4星)	 都是拜安徽台所赐阿。            
(5星)	 我已经花痴到了为了一个男主角就给一部狗血电视剧打五星的程度了吗？！！            
(NA)	 男女主角太养眼了            
(3星)	 泰国的帅锅镁铝们全都演这种骨灰级洒狗血的电视剧。这是为神马啊为神马！男女主角貌似是泰国的黄金银屏情侣啊~ 两个人都挺喜欢内~！            
(NA)	 恶趣味之三。一贯的虐恋，狗血，重口味，还带基情。问题是有这个掀眉毛，歪嘴角，裸上身，暴戾又深情，穿西装最无敌的男人。            
(NA)	 再有比泰剧更虐恋更纠结的吗！！            
(4星)	 pong太帅了！！！            
(4星)	 又是個關於命中註定的故事 老娘已經墮落到爲了個男人看肥皂劇的地步了……            
(5星)	 一部很好看的泰剧，还推荐给同事看O(∩_∩)O~            
(5星)	 本来冲着pongbee，结果爱上了女二号pang，真是个可爱又惹人喜欢的女生~            
(3星)	 我觉得我也可以更狗血一点            
(3星)	 要不是Nawat的缘故。编剧真是让人无语啊。            
(4星)	 有可爱的孩子存在的剧永远是有爱的。Bee和Pong气场很合。            
(4星)	 PONG &amp; BEE，蛮心水的一对璧人            
(4星)	 Pong的侧面真销魂啊            
(5星)	 一般来说电视剧是越往后越拖沓，这个却是越往后越精彩            
(4星)	 咆哮式演绎            
(4星)	 为什么女主美得更天仙儿似地。。            
(4星)	 从PONG &amp;BEE到男二女二都是无限养眼对于虐心的剧情不评价了 不知道是不是文化差异的原因俺觉得女主有点矫情第一次看的泰剧            
(3星)	 在刺绣中又一部电视剧过去了。。。。            
(4星)	 帅哥配美女            
(NA)	 挺喜欢这部的，第一次看两位主演合作，相当不错的组合童星也很可爱            
(5星)	 PONG说中文的时候声音好好听            
(4星)	 太爱pong和bee的组合了！！！            
(3星)	None
(5星)	 两人很配！            
(NA)	 陪伴我渡过了2011年的夏天。也让我喜欢上了泰剧            
(4星)	 有够吵的，完全为了PONG看的。            
(4星)	 大爱bee&amp;pong组合            
(3星)	 男主和女主蛮有爱的，虽然男主很幼稚            
(5星)	 反正是我目前最喜欢的泰剧了。Pong和Bee的荧幕情侣档啊～            
(5星)	 好看的呢            
(5星)	 两个人吵架。。真是笑死姐了。。女主真是斗智斗勇的好料。。一点都不放弃战斗。。。哈哈哈！！！PONG真是被欺负的够产的啦。。。PONG帅帅。。。最后花痴下。。。好看的~~PONG剧都大爱！！            
(5星)	 很爱男女主角~~~ps，插曲是失恋战线联盟的泰语版 很有爱~~~            
(4星)	 太狗血了……简直人间餐具啊！！！女主和我同名＝ ＝长得美极了！话说泰国人怎么那么极端啊，要不长得特漂亮，要不长得特丑。            
(4星)	 豆瓣网友这样形容剧情：做编剧就要敢想敢干 说车祸就车祸 说怀孕就怀孕 说昏倒就昏倒 说冤枉就冤枉 说绑架就绑架 说KISS就KISS 说捆绑就捆绑 说大姨妈就大姨妈 说艳照就艳照 说订婚就订婚 说反悔就反悔 说进手术室就进手术室 说大团圆就大团圆  只因是PONG和BEE 只因是你们 爱的就是你们在一起的模样             
(5星)	 激动得要死~            
(NA)	 pong是真的很帅，堪比吴彦祖            
(2星)	 也太老套了点吧            
(4星)	 纯粹是因为控腹黑霸气坏坏男主~            
(3星)	 凤凰血的前世今生。Pong和Bee终于如愿以偿，说实话坏心复仇男主看一次还行，看多了就审美疲劳了。            
(4星)	 是的是的，好狗血好极端好琼瑶，“说车祸就车祸 说怀孕就怀孕 说昏倒就昏倒 说冤枉就冤枉 说绑架就绑架 说KISS就KISS 说捆绑就捆绑 说大姨妈就大姨妈 说艳照就艳照 说说订婚就订婚”。但是看得好爽好欢快，女的调皮，男的霸道，啊哈哈哈哈哈~~            
(NA)	 感谢安徽卫视吧，我居然看了这么多泰剧，人生啊！            
(3星)	 pong&amp;bee的经典之作 pong就是适合演这种角色啊             
(4星)	 欧，帅哥！气质好~~身材好呀~~泰剧么看看主演就够了            
(4星)	 很少看泰剧，剧情果然很偶像，话说男主长得也太像那个谁了吧。            
(5星)	 美麗的愛情            
(3星)	 pong&amp;bee最配了~            
(NA)	 不像日剧那么直接，不像韩剧那样拖沓，就是剧情太跌宕起伏了。男主角帅哈。            
(4星)	 男主女主的对手戏挺好看的            
(3星)	 还是狗血，不过bee这次演的是个有脾气的美美，不错不错！            
(4星)	 bee还是比较适合这种强势的女主啊。。。pong&amp;bee很有爱            
(4星)	 泰剧中最喜欢的一对！            
(NA)	 是看完《人的价值》后再看的这剧。只能说，和《人的价值》一比，就弱了，就狗血了            
(4星)	 男主调情功力一流！！！            
(4星)	 pong+bee的又一精彩之作！给我影响最深的是pong的那几件渐变色衬衫，真是漂亮！帅哥加美服，真是超级超级养眼哦！！            
(3星)	 狗血，但是看着很舒服~很适合打发时间~            
(1星)	 泰国的电视剧还在成长期，多多鼓励下吧！            
(4星)	 我就是来看脸的，泰剧小言打发时间不错！            
(4星)	 泰国的片子就是超级有心计~！            
(3星)	 我居然开始看起彪悍的泰剧，前段时间被刺激到多么的不在状态啊。            
(3星)	 跟着老娘看的            
(5星)	 喜欢男主和女主所有一起演的戏。。。            
(NA)	 男主迷人得过分…            
(3星)	 狗血得不行，我居然还看得挺欢的~            
(NA)	 男女主角很配，不愧是荧幕情侣            
(3星)	 典型的泰国片…= =            
(3星)	 中泰混血。            
(4星)	 pong太帅了~            
(4星)	 pongbee至上!            
(3星)	 男猪越看越顺眼了。            
(NA)	 超级喜欢            
(4星)	 pong和bee在一起的剧情就会很欢乐 HOHO            
(NA)	 终于不虐了。            
(5星)	 里面有的情节很好玩，好看！2011-6-12            
(3星)	 水淋淋的狗血            
(2星)	 比天使之争好一颗            
(3星)	 欢乐啊~~            
(4星)	 无数次快进才看完的剧 只因很多小人和泼妇骂街的镜头            
(4星)	 嗷。            
(5星)	 在泰剧里算是好看的了            
(NA)	 I enjoy it.            
(NA)	 PB            
(4星)	 唉。。。狗血是狗血的，但女主男主好看呀            
(4星)	 因为那个泰国男人            
(5星)	 第一次知道原来原来泰剧中男主角刚出场就可以这么“坏”···            
(5星)	 说不出什么感觉，就是喜欢看!            
(3星)	 但是前七八集最好别看，没意思，后边不错。            
(4星)	 一對歡喜冤家 吵吵鬧鬧 甜甜蜜蜜 終成眷屬            
(5星)	 爱满满就是谁都不说，看的我都急，没耐心的慎入！            
(5星)	 很不错。腹黑男，哈哈            
(4星)	 喜欢无忧多点。。。。            
(4星)	 帅哥美女组合~O(∩_∩)O哈哈~            
(5星)	 pong~            
(5星)	 这是我看的第一部泰剧            
(5星)	 经典泰剧…………            
(4星)	 男主是猫，女主是老鼠，男主负责被咬，女主负责逃跑！            
(5星)	 第一部泰剧，也使我从此迷上泰剧，迷上了Pong。Pong和bee的组合实在是养眼。            
(4星)	 冲着pong给4星。            
(4星)	 连着花了大概16个H看完了28J，这是第三部看过的泰剧，剧情那么的搞笑和一个接一个的死亡~总之狗血，我居然一下子看掉了~是堕落幼稚还是两者都有~哎呀 泰语听得越来越习惯了            
(3星)	 俺只是为了看男人            
(5星)	 PONGBEE生辉！这部有真亲，不容易呀！            
(3星)	 这么狗血我居然看得下去。。。美女啊。。。            
(NA)	 = =            
(4星)	 好好看！！            
(4星)	 无缘无故就看了            
(3星)	 我口味真是越来越重了。            
(3星)	 不得不承认…俊男美女啊…不过……实在受不了里面的：“你说呀你倒是说呀你说呀你说呀……”剧情太烂了以至于让人不得不吐血三升，而且我妈沉迷其中无法自拔，每次听到他们的对话就觉得很吵头很大……            
(5星)	 Pong Bee 力作！            
(4星)	 泰剧都有点幼稚，呵呵，情节不能推敲，但是还是忍不住看了            
(5星)	 咿呀咿呀哟            
(4星)	 又是PONG&amp;BEE的片子            
(4星)	 喜欢男猪脚            
(3星)	 看得虐心啊虐心。pong很帅-0-            
(4星)	 像小时候我奶奶看的琼瑶系列，没那么肉麻就是。            
(5星)	 很喜欢Pong和Bee。。。            
(4星)	 男女主角公认的黄金情侣搭档~~~！！！！            
(4星)	 泰剧里面男主总是要绑架一次女主的= =！            
(NA)	 赞            
(3星)	 女主角好            
(4星)	 男猪脚好看哒~╭(╯3╰)╮            
(4星)	 依然是PONG演的，看过后面不知前面的剧情，但是蛮易懂的            
(2星)	 比琼瑶还琼瑶、比韩剧还韩剧、比狗血还狗血            
(5星)	 很喜欢这对官配。。            
(4星)	 我迷上了泰国女孩儿··            
(4星)	 我发现泰剧的男主角只有一个人，其他都死绝了是么            
(3星)	 制作有点粗糙……            
(3星)	 泰剧剧情皆狗血，8过男猪脚我还是蛮喜欢滴~            
(3星)	 泰国居然不让公开接吻！难怪吻戏那么奇怪……            
(5星)	 这个pong哥演的难道都是同一类型吗？但是我爱看！！！！            
(4星)	 蛮温情的，，pong和bee是老搭档啦。圆了我看天使之争的遗憾            
(5星)	 除了好看还是好看   是看过最好看的泰剧    很喜欢pongbee   真希望他们合作能演更多更好看的电视            
(3星)	 后几集大欢乐。泰国编剧绝对是看棒子剧看出后遗症了，前面这个纠结啊，纠结出水了都。话说有一点一直很闹心，就是这个化妆品得有多强悍，明明眼睛画得那么黑，然后各种哭各种哭的都不晕妆。            
(3星)	 我，还是高估了自己。            
(4星)	 看这部剧应该是先掌握剧情，接下来就拿着鼠标拖，拖到PONG和BEE再停下来看，这样既节省了时间，又不会被雷得太厉害。            
(4星)	 。男主角            
(NA)	 女主角1/3的时间都在哭，我全部时间都在笑            
(3星)	 男主角很帅 女主角很靓~            
(5星)	 难得女主角这么有战斗力！            
(4星)	 还算可以啦 虽然不是pongbee粉            
(5星)	 个人觉得很好看，感情是一种很微妙，很神奇的东西 ，它能够穿破仇恨的束缚。。            
(4星)	 太喜欢男女主角了，男的帅、女的靓，喜欢喜欢            
(4星)	 一点都不啰嗦            
(NA)	 剧情很做作 可是喜欢男女主角~~            
(5星)	 男主角Pong真的超帅的            
(4星)	 十足喜剧片噱头。。。哈哈哈哈            
(4星)	 泰国人嗲~养眼~泰剧真狗血真好看~            
(5星)	 很好看~            
(4星)	 还不错呢~男女主角很好看~            
(3星)	 有点郁闷的主题曲~~第一次见识到了泰语的力量，听得我差点没有吐出来~~~            
(NA)	 pong            
(4星)	 剧情狗血，但是为了PONE，我看~            
(3星)	 剧情狗血，但是男女主超级养眼。            
(3星)	 我是冲美女帅哥看的~            
(NA)	 怎么这部剧里会有家有仙妻的主题曲啊，不过很搭很搭哈哈！            
(4星)	 7.6            
(3星)	 绝对狗血，我是有多无聊。。。            
(3星)	 剧情和情节都很狗血···唯一的亮点是男猪脚···让我能够忍受剧情，忍受播出时间，男猪脚好美好的·····            
(5星)	 很棒的电视剧！非常喜爱的荧幕情侣，真是超级般配！期待他们的再次携手！            
(4星)	 闲暇时的肥皂剧            
(5星)	 帅哥美女的组合，虽然肥皂 但是已经胜过韩剧的热潮了！            
(4星)	 B            
(5星)	 pong很帅            
(4星)	 刚开始对男猪十分厌恶啊，后半部大爱            
(4星)	 男主角好帅好帅呀            
(4星)	 喜欢这对官配啊~经历了港剧日剧韩剧美剧我又转向泰剧了……            
(4星)	 嘿嘿、很好很好内。            
(5星)	 越来越喜欢这个男人，喜欢他生气，喜欢他发火            
(4星)	 哈哈哈哈哈 泰剧就是这么夸张            
(5星)	 周日阳光毒辣的下午，实在无聊中，找了这部剧看，一发不可收拾。按说剧情也一般，吸引我的应该剧中男女主角的表现。 第一次看他们两演凤凰血时，觉得很青涩，到这部剧 ，两个人物都饱满起来，演技纯熟了许多，喜欢那些唇角眉梢流露的小幸福。            
(4星)	 偶尔再允许我恶俗一下，但是泰剧真的有成为亚洲新宠的趋势啊！！！            
(3星)	 看了天使之争以后，就比较喜欢里面的那2个主角...妮莎很棒..普巴迪很帅..不错不错..有情人终成眷属..            
(3星)	 男主角帅的掉渣            
(4星)	 奔着天使之争的主角去看的。。。            
(NA)	 剧情很好            
(5星)	 因为这部剧喜欢上了泰剧，很喜欢男女主角的搭配            
(NA)	 pong跟bee～～～～            
(4星)	 就是我梦里的那个故事~大爱~            
(4星)	 很有趣的爱情剧，可以当做喜剧来看！泰剧的节奏很好玩~另外，支持pong!听说来中国了，期待他与中国多多互动！            
(4星)	 刚开始看不下去，以为弟弟和姐姐是男女主，后来发现哥哥和妹妹才是，中间2个人小打小闹用的是家有仙妻的插曲，还真是有点点怀念呢，最后大团圆结局看得我分外温馨，又荡漾了一把，喜欢Pong~~            
(5星)	 前15像港剧，16集开始眉来眼去抱来抱去，稀饭，西西，PS：男二很讨厌            
(5星)	 人生第一部泰剧~总体上不错，男主女主很有爱~            
(4星)	 我妈很爱看，呵呵            
(NA)	 狗血剧情，不过还不错～            
(4星)	 pong好帅啊~~            
(4星)	 妮莎真是漂亮啊。我妈一直认为泰国人都丑了吧唧的，我以之为反例。            
(4星)	 pong和bee的组合真是金童玉女~            
(3星)	 女主角挺好看的，表演生气的时候怎么那个表情呢            
(5星)	 超级希望Pong和Bee现实生活中也能在一起，太配了！            
(4星)	 pong和bee真配啊。。ni的性格我喜欢，敢作敢为，不是好欺负的人。和男主斗来斗去，看的大叫过瘾的。            
(4星)	 是一部不错的电视剧。就是稍微有点长。。。。故事情节不错不错。男女主角养眼的！ 超级喜欢PONG！这样的男人，真man！            
(3星)	 安徽台终于播完这个2B的狗血泰剧了，泰语是我现在听过的最难听的语言，没有之一！            
(3星)	 真雷啊，快进吧，鼠标~            
(NA)	 家有仙妻的音乐，有爱。            
(4星)	 爱情剧啊            
(5星)	 剧情超喜欢，男主超帅。            
(4星)	 天造地设的一对啊~~ 帅锅与美女啊！！            
(4星)	 美好是因为相信...            
(NA)	 看了Pong和Bee合作主演的一些电视剧，还是觉得这部最好看。            
(3星)	 活活活活活活，俊男美女贼养眼            
(3星)	 Pong！            
(4星)	 剧情很俗套，但是我怎么就那么喜欢看人玩暧昧呢！pong和bee真的是把暧昧关系演得淋漓尽致啊，我喜欢~~~~~            
(3星)	 pong ＆bee            
(4星)	 老妈超喜欢看的一部剧            
(3星)	 其实挺狗血，不过男女主角还挺养眼。            
(4星)	 我老妈开始迷泰剧了。            
(4星)	 虽然其实蛮拖的……但是颜都不错~~~~            
(4星)	 pongbee的合作真是没话说!!!最近萌泰剧~还有,pang太美了...喜欢这样的姑娘!!!- -+++,泰剧即使是肥皂剧都比韩剧还有那些无聊偶像剧好忒多了!!!            
(5星)	 泰劇很有劇情，而且一部泰劇下來經過了5、6年，很多時候都催人淚下，看的都哭了，還有就是劇情里常常有人離世。            
(3星)	 女猪漂亮，衣服都喜欢。泰剧的男主都好无赖霸气，喜欢~            
(4星)	 泰剧中难得狗血的还不错又精致滴，pong那个帅啊，遥想当年的十三班班长啊            
(4星)	 哎呀,,,还是pong            
(NA)	 狗血啊~~冲着帅哥美女去            
(NA)	 pong你要不要这么帅            
(3星)	 剧情有些罗嗦            
(4星)	 很搞笑，但是打戏太假了            
(4星)	 剧情狗血要虐死你妈啊！男俊女俏要羡慕死你妈啊！亲来亲去要荡漾死你妈啊！结局完满要呵呵死你妈啊！            
(4星)	 好看`            
(4星)	 不错，后面剧情跟临时天堂颇像，连屋子都是同一间，如果没看错的话。PB感觉不错，PONG很帅。每个角色都有鲜明的特点，这点优于临时天堂，不过临时天堂还是第一！            
(4星)	 PONG哥还行。            
(5星)	 天使之争的男主角和女主角            
(5星)	 翻译很有爱，居然说bee是电线杆。。。。。            
(4星)	 真的拍的好言情 主要是男女主不做作，正合我意~~            
(NA)	 天使之争里的女主角活泼泼辣，哈哈，不是那种善良的不像人的了，反击的看着痛快            
(4星)	 pong and bee，看着养眼啊~            
(4星)	 pong和bee才是看这部剧的初衷            
(4星)	 pong要怎么办啊，都是这种角色，年纪不小了            
(NA)	 Pong~哈哈            
(3星)	 看的第二部泰剧~继续狗血~~            
(3星)	 实在是冲着pong这位大帅哥来的，很喜欢男女主角吵架互整的样子            
(3星)	 分数打给演员的美丽，剧情继续狗血，表演继续幼稚……            
(3星)	 好看！PONG真的太适合演这种角色了！BEE很漂亮，但每次演戲明明台詞情緒不需要也一直哭讓人煩～童星演技不错但外型不算太可爱            
(4星)	 PONG哥好帅啊,恶少的帅啊,BEE很美~~太喜欢PNG演的男主了~~~            
(4星)	 为了偶心水的Pong，后面无字幕也忍了~            
(4星)	 我喜欢男女主角~~~            
(4星)	 这样还能在一起，⊙﹏⊙b汗            
(NA)	 小人太得志，太吵了，不喜欢。男主还是挺有魅力的，女主长得不是我喜欢的型            
(NA)	 拍的很好泰剧，值得一看！可惜还没全翻译成中文。            
(4星)	 去年看的了            
(4星)	 总算看完中文的翻译，满喜欢的            
(3星)	 没字幕看的我很郁闷！            
