http://movie.douban.com/subject/6037993/	真爱不灭 รักไม่มีวันตาย
(4星)	 看人就好··不要要求演技和剧情...            
(4星)	 男主属于耐看型的 很深情  就是泰剧的布景真的有待改进啊            
(4星)	 好吧 ，我承认我是冲着domo看的~~不过看多了泰国的纯爱片，这种吸血鬼题材的也不错~            
(5星)	 好看            
(3星)	 剧情实在是太扯了。。。            
(4星)	 爱情与信任的故事，自始至终这对爱侣从未怀疑或离开过彼此！爱情，真的需要相互信任！            
(5星)	 全给男猪脚！            
(4星)	 还不错 主角都长得好帅啊……怎么觉得长得有点像李智辉呢……就是剧情进展好慢 不过其中的眼神交流真的演得很到位哦~            
(4星)	 剧情有点弱啊。但是主角帅！            
(3星)	 我真的觉得这剧还成。不要强求，有帅哥还有美女，而且这是所有vampire片子中，我见过的最温柔的吸血鬼。所以既然是偶像爱情剧，就别要求太高，否则以片中的bug来看，中国历史学家会被气死，秦明朝代是有很大区别的。so三星！            
(5星)	 男主要不要这么完美啊            
(4星)	 神帅唇红齿白,演吸血鬼简直再合适不过了. 乍看dome有点像蔡国庆,又像赵仁成,,动态比照片更佳,的确帅的有点惨绝人寰,尤其是盯着女主的温柔痴情眼神,简直让人沦陷.写的配乐更是好听. ploy也很美. 可惜两人旧情难复燃.            
(5星)	 DOME真的很帅很有气场，适合演成熟又冷漠的男主角。热爱帅哥的同学们，如果错过这部剧，就是人生一憾啦。。            
(4星)	 吸血鬼题材，有一段时间很迷            
(5星)	 有真爱的两人再也回不去了........喜欢DOME那首永远爱你......            
(4星)	 男2男3单看都很帅，和男1放在一起就相形失色了，不是一个等级的，华丽丽的炮灰。男女主角现实中谈了4年分开两年后合作的这部剧，不知道是一个什么心态。配合是没话说，瞧那宠溺的表情            
(3星)	 泰剧就是狗血加粗制滥造还有破绽百出，不过真喜欢男主！！            
(NA)	 这部超爱！！！            
(4星)	 败笔不少            
(5星)	 男猪女猪为毛要分手为毛！！！！！            
(2星)	 男主角很帅，女主角很美，除此之外，情节无聊，动作设计差，特效假~~            
(4星)	 没觉得男主有传说的那么帅，不过剧情还不错            
(3星)	 ...............真心看帅哥。            
(5星)	 perfect            
(NA)	 男主角和女主角真是绝配            
(NA)	 男主角笑起来迷死人            
(4星)	 神帅 帅神 ！！我发现新大陆了内==！！！            
(4星)	 男猪尊的好帅。。。。唉。。。说分就分了            
(3星)	 男猪脚帅也，女主角美哇~            
(4星)	None
(5星)	 简直是帅呆了 帅的没话说            
(5星)	 真的是出人意料的好看 女主很聪明            
(5星)	 大爱男主和女主，很般配啊，男主很帅有木有！！看女主那眼神能腻死人！！！帅哥帅哥！！泰剧的吸血鬼还是蛮好看的，而且其中两人的拌嘴，还有plai的一家人都很搞笑啊，有喜有乐~·太有爱了            
(5星)	 dome  笑的时候, 没抵抗力呀.            
(4星)	 男的巨帅，男二也不错。剧情有关吸血鬼的神性，是部吸引眼球的剧。            
(4星)	 看看男主就好了。。。            
(5星)	 神帅真是超帅啊~            
(5星)	 冲着男主！女主漂亮，就是说话太聒噪了            
(3星)	 女猪傻得可以            
(4星)	 泰语真是。。。男一男二男三都好帅            
(5星)	 只看帅哥就够了！剧情经不起推敲啊，但是为了帅哥一切都值得啊！值得啊！正在看第三遍啊！            
(5星)	 灰常好看 。帅毙了             
(5星)	 1,dome是我的菜2兄妹两真是傻，看着着急3dome啊400年的处男就被~~~            
(5星)	 能再销魂一点么！！！            
(5星)	 dome实在是太帅了，ploy在这部戏里非常可爱。前情侣合作演戏，果然是话题十足，看完之后好希望两个人能复合            
(4星)	 主要是男的太帅了，还有是吸血鬼的故事，还是吸引啊。            
(3星)	 男主女主很搭哈，就是 泰剧一集真是好长啊，跟电影一样坑我啊，为什么最后诅咒没解除哇！男主还是吸血鬼哎 最后希望ploy 能幸福            
(5星)	 Dome&amp;Ploy~★★★☆~~【关键词】吸血鬼--------其实我不喜欢吸血鬼题材的，但还是被这部吸引了。虽然剧本有硬伤，但是演员选得好，男主气质确实很勾人了，露出獠牙吼情敌的时候太震撼了，看完半天没缓过神...窃以为Dome气质有点像Aum，有明日之星的潜质。本剧最大的看点：男女主在现实里是恋爱五年分手            
(5星)	 换歌调调            
(5星)	 男主上半脸很帅，眉毛眼睛尤其美那个长睫毛哟~            
(4星)	 第一部看的台剧，男的确实还越看越帅就是了，还不错，同学推荐的，嘻嘻            
(5星)	 两个邪恶的前男女友，男主真是帅神啊            
(3星)	 我要嫁给男主，我又相信爱情了！            
(4星)	 不错的片子，男女主都选择的很好，男配也不错。但结局过于童话，真的可以那么生活吗？            
(4星)	 2011-6-7            
(4星)	 忽略一些剧情～男女主角还是很有可看性的～～            
(3星)	 当然,同样是吸血鬼的故事,果断的和美剧没法比.我承认男猪脚水嫩的眼神秒到了我.呃呃..和我一样近期需要养眼益寿延年的倒是可以看两眼~~大概这就是介于男生和男人之间的一种存在吧.            
(5星)	 我爱Ploy~~！            
(5星)	 男主角超级帅啊，挺好看的，推荐！            
(5星)	 看了以后觉得很好看 男女主角简直太配了！！            
(5星)	 喜欢男主角 帅爆            
(3星)	 女主角有点像李小冉。眼睛那段            
(4星)	 对吸血鬼没有免疫力，一律收！            
(5星)	 男主角太帅，可以直接忽视剧情！            
(5星)	 神帅，男女主真的很配            
(4星)	 男主太帅了。帅无边。帅到让我可以忍受聒噪的泰语。            
(3星)	 没想到在豆瓣评分这么高？主要就是看看男女主角的颜，其他的浮云了。            
(NA)	 凤阿凤同学的强烈推荐。话说虽然预算有限场景不够真实，但是男女主还有点可爱，尤其是男主那个小羞涩。但是那个警察小孩让我不舒服，明明是讨好的的小可爱外型。            
(3星)	 男的帅,女的美,故事实在的不行,泰语也实在是难听,就看看男女主角的脸吧!!!            
(4星)	 狗血剧情。。。不过为了帅哥还是看完了。            
(5星)	 不管这部剧的剧情有多白痴，但是，男主真的很帅啊，有木有！！！！！！有木有！！！！男主为嘛要和女主分手啊！！！！！快点复合吧！！！有木有有木有！！！！另外，对于男主最后将所有宝物归还中国这一行为，是非常非常支持啊！！！！1要是那些没良心的怪怪的把从我们中国抢走的东西归还多好！！！！            
(3星)	 剧情很傻呀！坏人要阻止男主收集齐宝物的话，自己随便把收集到的毁掉一两件不就成了嘛~居然一下子把自己的五件宝贝（还是真货）拿出来办拍卖引男主出来，结果都叫人家买走了吧~无语死咧~男主倒是很好看的啦，我看他一会儿像吴彦祖，一会儿像蔡国庆，好一个风一样的男子，让人看不清你本来面目呢~            
(5星)	 男主角挺帅             
(5星)	 虽然小白，那个人还是值得看的，吼吼，要疯了            
(5星)	 5星完全给Dome。。。亲你肿么能长那么帅！！！就剧而言漏洞也太多了吧。。龙刀插在Ram身上那他死前看Maya一眼时地上的又是神马。。不过在神帅面前剧情神马的都是浮云。。。=3=爱到不行。。这种男人就应该是gay啊。。有什么女人配得上啊！！            
(5星)	 超好看            
(5星)	 铺天盖地的都说男主帅 好吧我承认 不过有点面瘫 = =            
(4星)	 帅。。男主表情超给力。。很萌。。快复合吧。。DOME快点和现任分手吧            
(5星)	 完全被名字所拖累的一部好剧~            
(3星)	 男主帅- - 然后没了 没看完            
(4星)	 男主超帅！但是……剧情太烂。            
(5星)	 在楠竹无敌帅的情况下  看泰剧的各位亲就可以直接无视剧情了~~~花痴之后  就剧情而言  也是最近很火的吸血鬼题材~~力荐  一定要看的~            
(5星)	 男女主角都很漂亮~            
(3星)	 感觉不强，还什么泰版吸血鬼日记            
(5星)	 Dome实在是太帅了。 看《真爱不灭》的时候完全被他秒杀了。 那笑有木有、抿嘴巴有木有、邹眉头有木有。哪里都很帅啊~~            
(NA)	 莫名我就喜欢吸血鬼呀。。。            
(1星)	 只看男主角            
(3星)	 姐姐推荐的，一般吧，就男主很养眼，其他一般~~~            
(5星)	 DOME实在太帅太帅太帅了！            
(5星)	 感动得稀里哗啦的~~            
(NA)	 男主角要不要这么帅啊！！！！！！！！            
(4星)	 矮油，现在偶像剧都只看帅锅，剧情神马的了如指掌了。全当推荐大家过来欣赏温润如玉的男猪脚了啦……            
(NA)	 两个人以前的八卦比电视还精彩            
(4星)	 Sing的演员竟然是93年的，跟两个比他大十岁的人配戏！！！太能了这孩子。。。。            
(5星)	 太帅了太帅了。。。            
(4星)	 可惜的就是到最后男主也没能变回人，以后的日子可咋过啊。。。。。。            
(3星)	 本来想四星的，但实在太水了            
(4星)	 这年头，养眼就够了！            
(4星)	 花痴花痴            
(4星)	 我只能说~我看人来的~这个男的实在太。。。。男女主角都很美啊~丫的！话说现实生活中曾是男女朋友的。。            
(3星)	 真的很假好吗，三星给男主女主。            
(5星)	 Dome 帅得惨绝人寰！！！            
(5星)	 太帅啦，爱死了            
(5星)	 男主帅呆了~~~~~~~~~~            
(5星)	 Dome&amp;Ploy王道！！！            
(4星)	 剧情一般 8过男主角曾的好帅 女主角也很漂亮            
(2星)	 父亲受到诅咒，都快死了还要叫儿子解除诅咒，儿子本来不是吸血鬼，父亲咬了他才变成吸血鬼，然后去解除自己吸血鬼诅咒？什么狗屁剧情啊？            
(5星)	 喜欢神帅沉沉的性感的嗓音，温柔的迷人的眼神            
(4星)	 男主真的好帅啊~            
(3星)	 男主帅疯了啊~~~            
(5星)	 五分绝对是因为男主！！！画面太唯美了，配乐太好听了~~~            
(NA)	 好吧，男主诚然长得不错，但为了颜忍受一部言情片，还是泰语（太软了有木有！！！），果然还是做不到。            
(5星)	 第一次追泰剧，DOMO几乎符合我对男人的所有要求，啊啊，还有那双漂亮的手。            
(4星)	 冲着主角的颜去看看            
(5星)	 哈哈。为了帅哥而看的            
(5星)	 冲着男主我打5分啊！！除了男主我不知道还要看神马啊！！！！            
(4星)	 男主角帅到人神共愤啊，呵呵呵，难怪外号叫“神帅”，题材本来挺好的，但是拍得不敢恭维，剧情有点烂，但是当做偶像剧，消遣一下很不错，毕竟养眼啊，我就是冲着男主看的。颜控姐妹们强烈推荐啊。            
(3星)	 all about the beautiful faces!!            
(4星)	 女主角的演技真好。男主角虽木讷，但偶尔也有些搞笑场景让人捧腹。也许是集数少，剧情不够丰富。但总体来说，还是很养眼的。            
(NA)	 男主角太帅了，N年没有看过么有福利的一张脸....            
(NA)	 TX的描述很准确，泰文就是让男声变得很娘，女声变得很man。。            
(4星)	 鬼宿舍里的男孩长大了，也更帅了            
(4星)	 男主绝对养眼！每每内心想扮演咆哮教主，只有对着空气挠墙。剧情就是偶像小言套路了            
(NA)	 一天看完的电视剧 真是让我有恋爱的冲动。。。            
(5星)	 帅到没朋友啊~~~            
(5星)	 纯视觉!!!!!!!此男完全新欢!!            
(4星)	 剧情和演技很傻 但是男猪脚真的好帅~~~~~~~~~~~~~~~            
(5星)	 神帅，神帅啊            
(3星)	 男主角是我的菜啊···冲样貌看的····剧情嘛·····很一般啊····我被男主秒到了·····也被女主那夸张的演技震惊了·····            
(5星)	 男猪脚都让我觉得活着没意思了。。。。让我死让我死            
(3星)	 泰剧给我的感觉，总是会拍着拍着就忘形了，全局掌控得不好，美女帅哥风景拍着拍着就不知道拍到哪儿去了。。。常用标签竟然有个“男主角挺帅”。。。            
(3星)	 “神帅”哈哈~~            
(5星)	 wow  超赞的  好帅好帅哦  原谅我花痴了  可是真的很帅            
(4星)	 除了男猪脚，神马都是浮云浮云~            
(3星)	 男猪帅惨了   恩。。仅此而已            
(4星)	 呵呵~~~四星~~~            
(2星)	 男主角像付辛博，女主角像萧亚轩，男二像周杰伦，男三像王仁甫，女二像蔡卓妍。觉得这部电视好看的，全是尼玛颜控！太狗血，太狗血，太狗血！！！！            
(5星)	 男主角帅到爆~~~帅死人了。。。            
(5星)	 心水死男主了            
(5星)	 集结了n多帅锅的剧~~~主要是慢热型的~~适合不急于剧情发展，并能受得了一下子完结的人看。            
(4星)	 美男啊 美女啊 太营养眼睛了            
(2星)	 不可否认，男主真的很帅，雕塑一样的脸，完美的模特身材，无疑是全剧的亮点，但他的演技有待提升，总共3个表情，不笑，微笑，吸血鬼式的发狂。。。总的来说我不能理解为什么豆瓣会8.0的高分，十分狗血且没有技术含量的泡沫爱情剧。            
(NA)	 男主真的很帅啊...            
(5星)	 Dome,Ploy为神马要分手啊！！！！            
(4星)	 帅哥帅哥！美女美女！！            
(4星)	 演员很漂亮，情节很纠结...听说他们曾经是恋人，曾经是什么时候的事情，那个深情相望啊，演技派实力派...最后还纠结编剧太仁慈的我，太邪恶了...噗            
(NA)	 男1很帅啊 就是拍摄硬件不给力啊            
(5星)	 太帅了！天天让我流口水~            
(NA)	 男主帅惨了            
(5星)	 他俩不在一起，我就不嫁~~！！剧情虽然一般，也没有重点刻画吸血鬼，要的就是所有帅哥美女。。            
(4星)	 这四星是给男主角的。看帅哥，心情是愉悦的。            
(NA)	 泰国真是一个产帅哥美女的地方            
(4星)	 原来男女主角曾经是情侣            
(1星)	 虽然男主很帅，女主还好，但表情不够细腻，关靠外表撑不起整个剧情，泰国电视剧最近发展较快，但还是没法替韩剧啊1       没法和吸血鬼日记相比，一集就要一个半小时，杀一个连名字都没有的配角都要几十秒，是不是嫌胶片太多了啊，实在没法看下去啊！            
(4星)	 前八集算一口气看的，挺好。男主很完美，性格不别扭无缺陷。深情温柔刚刚好。后面追剧追的实在无趣。泰剧的情节还是太烂，经不起推敲。特别是最后一集。明明让TP直接拿龙刀去PK就行，非得打半天的白烂架，最后才使龙刀。反面角色太单薄，没智商没狠段。            
(4星)	 男主很帅！好吧，我又花痴了。。。但，真的很帅            
(4星)	 要是没Dome谁还看这破剧。怎么现在的编剧都以为男主角帅一点就可以把自己脑子剁下来当摆设了吗。            
(5星)	 男主角太帅了……女主角太美了……超爱超爱……            
(5星)	 吸血鬼超好看！dome帅呆了！            
(4星)	 怨念啊，又看了一部泰剧。            
(3星)	 泰剧 吸血鬼题材！！！！ 是V啊~            
(5星)	 很喜欢很喜欢啊！你会被两人之间对彼此的那份心所感动的！很值得一看的哦！！            
(NA)	 帅！！！            
(5星)	 dome i love you            
(NA)	 超级喜欢P&#39;Traipoom  神帅阿            
(3星)	 男主挺帅女主挺美 吻戏比棒子剧还不给力XXD            
(4星)	 陪妈咪睇的，最尾大结局个集得英文字幕冇中文，我就一直妈咪乱讲，你食左饭没啊？今晚食鱼啊，我仲煮左鸡 啊……之类，但实情喺激烈既打斗场面，哈哈！！            
(3星)	 这些偶像剧总是以白马王子爱上灰姑娘为主题还乐此不疲.看看就好~~看它的主要原因还是因为泰语,剩下的就为看男女主角了~~            
(NA)	 在霞的推动下 教室里中午体育课一直在放 现在终于放完了我也凑合着看完了 纯情的泰剧果然不适合我            
(5星)	 5星全献给男猪脚！名副其名的，神帅呀            
(3星)	 俩男主还真是蛮炫目的            
(5星)	 女主角。。。。后悔当年没跟你合影。。。小看你了。。。            
(4星)	 除了看主角，其他就不说了……            
(5星)	 冲着男主给五分！剧情也好！！！女主不是一味地被动被害~机灵的女主~~这点不错！            
(5星)	 男主角大爱            
(3星)	 拍摄太弱了！剧情也比较弱  还好有泰国的帅哥、美女呢！             
(4星)	 天涯说男主帅的惨绝人寰。我同学说要去找泰国人了。唔，男主其实挺帅的吧，但各人有所爱嘛            
(3星)	 纯粹是为了主角的相貌！！！            
(5星)	 吸血，不死之身，诅咒？很好看的一部泰剧，希望快快更新啊，不要让我等得太久。。。结束了  哎 人生没有追求了 求推荐好的泰剧            
(NA)	 呃，我是多爱狗血剧……            
(5星)	 男主角很帅气啊            
(2星)	 我还是不适合看泰剧，拖沓的剧情，啰嗦的对话，不过主角还是不错的            
(NA)	 看不下去~男主好像刘德凯~            
(3星)	 演技和浮夸，古董很乱来，剧情拖沓，编剧很侮辱人智商，纯粹是因为主角的颜给的分            
(5星)	 男女主角挺配的，要是能通过这部戏让他们彼此重新再走到一起就好了            
(5星)	 dome  萌大叔  ！！花痴了！            
(5星)	 好好看啊。就喜欢吸血鬼的电视，还有男主角太帅了！！！！            
(5星)	 我承认我肤浅啊，我就是冲着那张脸去的~&gt;,&lt;            
(4星)	 男主角Dome越看越可爱！            
(NA)	 这是dome的处女作，很好看的。。。很偶像。。。主题曲也很浪漫.......            
(3星)	 好大一滩狗血...男主虽然面瘫但是好美貌啊啊啊啊啊啊啊            
(3星)	 女主角英气太足了,妆又浓,偶尔会让我误会很像人妖…            
(3星)	 不是白白脸长得帅的话姐早就不看了~不过他穿黑衣服真的好帅好帅啊            
(4星)	 TIEN会保佑你们复合的TOT...星星全给男女主...            
(5星)	 男猪真的很帅            
(5星)	 dome帅惨了 无法自拔啊T T            
(5星)	 神帅不愧为神帅，女猪也ok            
(3星)	 完全是为了看帅哥。情节狗血            
(5星)	 女主漂亮得天昏地暗，男主帅的一塌糊涂，剧情跌宕起伏，场景超美，今年看过的最好看的泰剧。            
(2星)	 弃了。。。表演实在太造作了= =            
(4星)	 我继我家天使与恶魔之后第二次被男猪给萌上了~            
(4星)	 这几年发现泰国的男生女生都是帅哥美女的啊            
(3星)	 ＝＝后面越来越无聊！            
(5星)	 近期泰剧最棒！！！Dome真是虏获了一大堆中粉啊！！！还有一大堆希望DP复合的呼声！！！唉 可惜 应该不可能了~大结局TP陪着Plai 即使60年后Plai老了 依旧会在她身边 然后等她死后 也会随之而去~&gt;&gt;&lt;&lt;            
(5星)	 相当不错的剧！！男主超帅超喜欢~~~            
(5星)	 没想到泰国也有这么帅的撒  支持            
(4星)	None
(3星)	 嘛，纯粹为了看美男，有木有！            
(3星)	 看不下去了，女的唧唧喳喳受不了，家人朋友鸡婆的不得了，什么都要知道，可嘴巴又特大。            
(4星)	 帅仙啊~~~我花痴了~~~~Ram啊，你啥品味啊，你整的漆皮党怎么可能拼得过你哥衬衫党？！！            
(1星)	 我可以给0星吗，好吧我太认真了            
(4星)	 快进着看完了。四颗星给养眼的主角~！            
(5星)	 看到最后纯粹是为美貌来着            
(NA)	 四季阳光充足的热带城市都有吸血鬼，大家都太寂寞了。男一和蔡康永长得一样的，谁都别劝我。            
(5星)	 泰剧也时髦的吸血鬼了！！ 吸血鬼的男一、二号都很养眼啊~~ 女主像ELVA呢、、 美丽的人儿们啊~ 加星！            
(4星)	 转自天涯：　　也许最纯粹的爱都给了彼此，所以看见那时的风景无法超越。　　　　真爱不灭 或许就是内心现实里 最好的纪念。            
(2星)	 5            
(4星)	 剧情实在有点太太太让人不能接受！冲题材和演员再给一星！            
(4星)	 男主帅得好无辜啊！！！！据说男主和女主曾经在一起过！！！！！！1            
(3星)	 有很多不合理的地方，偶像剧始终是偶像剧...            
(4星)	 第一眼看到男主感觉有点怪，第二集开始就觉得他越来越帅了~泰国又出了个妖孽啊~男女主的演技不是最好，但是剧本还是蛮潮的，喜欢看吸血鬼剧情的肯定喜欢~整体上蛮温馨美好的~            
