http://movie.douban.com/subject/1478186/	射雕英雄传 射雕英雄傳
(3星)	 说句实话 翁美玲一般般            
(4星)	 小时候挺喜欢的...            
(5星)	 传说中，我小时候喜欢吃了饭就去电视机面前看的            
(2星)	 可惜我喜欢的华筝            
(5星)	 主题歌一响就激动了            
(5星)	 制作很烂，演的也一般，但是，但是啊，没有什么比那个时代的回忆更美好了。            
(4星)	 周星驰跑龙套的时代            
(5星)	 就当是经典吧            
(NA)	 补遗               
(1星)	 (ーー゛)从小到大我就从没觉着翁美玲漂亮~            
(4星)	 花了四个整晚，每天都是从傍晚六点开始看一直到第二天早上七点，一口气看完的！！            
(4星)	 经典，尤其对于内地观众。            
(5星)	 少儿教育            
(5星)	 蓉儿，世界始终你好～            
(5星)	 小时候的最爱！最爱中的最爱！            
(5星)	 苍天大地啊            
(5星)	 我心中的神剧。            
(4星)	 三部曲啊，假期里天天打电话到电视台要求重播！            
(5星)	 全凭当年的感觉 经典！！！！            
(5星)	 即使现在看，也比那些拍的像动画片的武侠片不知道高出几个段位。年轻人已经无法理解了            
(5星)	 精典            
(5星)	 翁美玲的黄蓉才是经典.            
(5星)	 喜欢杨康~~~主题曲巨好听~~            
(4星)	 经典版本            
(5星)	 如何忘记它、            
(4星)	 注定是一部经典，注定是无法超越，注定是最好的演绎，注定是空前绝后，注定是追悔莫及，注定是无处寻觅，注定是红尘无缘。因为有她，成为永远的追忆。            
(4星)	 嫁人应嫁黄老邪            
(4星)	 同名作品中最吸引人的。            
(5星)	 我的翁美玲啊~~~            
(NA)	 记得主题歌好听            
(5星)	 人海之中，找到了你。            
(5星)	 经典的83版，里面的降龙十八掌令人向往啊            
(5星)	 女神。            
(3星)	 恐怕这部电视剧没有再好的版本喽！            
(5星)	 太经典            
(5星)	 又看了一遍 看上瘾了……编导居然是杜琪峰            
(5星)	 永远铭记83射雕和《铁血丹心》以及记忆中已逐渐模糊的“翁蓉儿”。            
(5星)	 杨康我也好喜欢            
(4星)	 有机会我还想再看一遍。它是我心中的经典。            
(5星)	 苗乔伟            
(3星)	 侠骨,大义,真情,恩仇            
(5星)	 经典经典            
(3星)	 喜欢周伯通            
(5星)	 缺点就是太经典~            
(NA)	 主题曲！片头！西毒！其实靖哥哥和蓉儿的部分已经记不清了            
(4星)	 这部片子是不属于80后的，我只是碰巧把它看全了而已。            
(5星)	 演员与角色相性最好的版本，且不论郭靖黄蓉，包括黄药师杨康洪七公老顽童都恰当至极；就算重温多少遍也不会褪色的经典            
(4星)	 所有演员都很棒，每个都可圈可点，最爱药药和七公            
(5星)	 不知道看了多少遍……            
(NA)	 第一部编导            
(4星)	 一个年代、一个时代、一个记忆……            
(5星)	 当年的经典，朴素的教程            
(4星)	 杨过！            
(NA)	 &#34;射雕引弓塞外奔驰。笑傲此生无厌倦&#34;            
(5星)	 我会哼主题曲~~~            
(5星)	 什么都不用多说            
(4星)	 胎教片。            
(5星)	 翁美玲的确演的好，郭靖虽然慷慨但是也会说给你我就没银子了，不是完完全全的傻缺，比94版的郭靖合理。            
(2星)	 扯吧还金庸原著完美演绎，连续看了两集也没看到书里的剧情，这是最早的同人作品吗？布景服装乃至黄翁曾的主角演技无不简陋到要死。金庸小说不像古龙的，一家客栈一座庄园再来片树林就能对付，TVB万年不变外景能拍桃花岛蒙古草原和撒麻尔罕攻城？            
(4星)	 结尾好弱啊            
(5星)	 多惹人爱的黄药师父女            
(NA)	 记得是晚上8点档的连续剧，但是爸爸说小学生应该早早睡觉不准我看，电视当时在我爸妈床侧面后面是一排衣柜，然后是我的床，我看不到只能躺在床上听。。。            
(5星)	 重温经典。            
(5星)	 靖哥哥太可爱鸟！            
(5星)	 绝杀，幼稚简陋也是绝杀            
(4星)	 永恒滴经典。            
(5星)	 完美，完美，完美。。。            
(5星)	 83版最为经典。从歌曲，配乐，到人物刻画，武打的一招一式，极为考究。是那个年代的巅峰之作。开心上投票，朱茵那版居然胜出了，唉。。。豆瓣投票当然是此版胜出！爱豆瓣呢~虽然本人也喜欢朱茵，但是她演的黄蓉和紫霞没什么区别，调皮虽有，但严重缺少黄蓉的任性和刁蛮。            
(5星)	 苗侨伟真俊TAT！迷死那没见过啥的我了哟喂！            
(5星)	 原来这一版的导演是王天林啊。            
(4星)	 突然想到这部经典的电视剧了            
(NA)	 翁美玲~黄日华~            
(5星)	 我出生前的经典，现在才看。这个蓉儿哥也喜欢，难怪那么多人现在还怀念翁美玲！            
(4星)	 （为了看穆念慈杨康的爱情重温苗侨伟版的杨康。比我想象中好看，不是很土罗~~）边读翁美玲的生平边看射雕，一个“情”字怎解得了？唉……三哥演的杨康入木三分！！52集杨康死了，终止追剧            
(5星)	 有爱这个版本            
(5星)	 小时候的记忆            
(5星)	 翁美玲太可惜了，还是觉得她简直就是黄蓉的化身。。            
(3星)	 这是每个人都有的记忆            
(4星)	 他是靖哥哥。            
(5星)	 光主题曲就值五星了            
(4星)	 还是喜欢消亡爷。还是喜欢坏男人不喜欢蠢男人 = =            
(4星)	 没怎么看过            
(5星)	 印象最深刻的港剧，最成功的武侠电视剧。            
(5星)	 饿。。。。-_-||            
(5星)	 无法磨灭的经典纪念!            
(5星)	 武林至尊            
(4星)	 连跑龙套的都是阿星            
(5星)	 我小时候不睡觉也看这个的。还有小学的正太们，会模仿黄日华哥哥打什么掌的~            
(4星)	 那会儿真不知道看武侠和港剧            
(5星)	 经典啊，中学看，大学时期末考还追着看，此剧一播，书马上被借光！黄蓉我爱你啊！            
(NA)	 longlongago            
(3星)	 经典一次次重现            
(5星)	 绝对的五星～            
(5星)	 无论特技多差，一个好故事，一群好演员，就能给出一个好连续剧。            
(4星)	 编导居然是杜琪峰……            
(5星)	 射雕最完美版本。            
(5星)	 2009年7月20日            
(5星)	 老黄啊老黄            
(5星)	 无法超越的经典            
(5星)	 今天妈妈还在和我讨论射雕，说还是早期香港黄日华拍的最有感觉。可惜翁美玲已经不在了。下午看到有一个电视台在重播这部剧，妈妈很兴奋。晚上又有电视台在播胡歌版的射雕，还可以。反正不要去看李亚鹏版的就对了。他直接把郭靖演傻了。            
(5星)	 完全的童年记忆！！！            
(5星)	 我的启蒙            
(2星)	 真不觉得它好，剧本被改得一塌糊涂，并且越改越差            
(4星)	 虽然有王天林和杜琪峰执导，可是把原著改的乱七八糟，重要情节草草了事，真是让人叹气……布景舞美服化烂我就不抱怨什么了，连众人心中的经典蓉儿都是刁蛮无理，重要道具小红马也被阉了~哎~看点只在于大腕儿云集的龙套了~            
(4星)	 杨康杨康，让我欢喜让我愁。            
(5星)	 经典！            
(4星)	 儿时经典            
(5星)	 超级的经典，不过也就适合回忆了。。            
(4星)	 中国香港            
(5星)	 最经典版的，超级厌恶那些无知导演的翻拍、、、            
(NA)	 经典中的经典，很多都是无法超越的~！李某鹏，你TM看清楚喽，郭靖应该这么演~！擦~！            
(5星)	 翁美玲的兔牙至今难忘！            
(4星)	 郭靖简直是他妈的个猪            
(5星)	 应该没办法超越了。。。            
(4星)	 我妈妈的最爱~~也是我最爱的真人版郭靖黄蓉！            
(4星)	 经典就是这样            
(NA)	 一部被认定无法被超越的武侠巨片！            
(5星)	 各方面的经典            
(5星)	 经典的83版            
(5星)	 经典            
(4星)	 那时候，俺在青岛住院看病，在医生允许的情况下看了几集，震惊了！对我以后的游牧和草原情节有着不可忽视的启蒙作用            
(5星)	 重温经典中~            
(NA)	 当年因回家晚就这样说过：如果能让我不要误掉这集，我宁愿剁掉一只胳膊。真纯粹~            
(5星)	 就是无法超越。即便场景道具漏洞百出，也还是无法超越。就算没有场景道具，那些人物都能完美地演出来。            
(5星)	 我爱兔子牙黄蓉            
(5星)	 HB哪個台正在播，嘎嘎嘎。。。            
(3星)	 人物演技很棒，可惜剧本十分恶俗！！！            
(5星)	 经典之中的经典            
(NA)	 对这个版本不是很喜欢            
(5星)	 呵呵~            
(5星)	 经典古装            
(5星)	 启蒙电视剧            
(5星)	 永远的翁美玲            
(5星)	 经典，真的经典！            
(4星)	 美玲死了            
(5星)	 令人叹息的阿翁            
(NA)	 唯一一部看过的电视剧            
(NA)	 射雕英雄传            
(4星)	 最美丽的蓉儿            
(5星)	 小时候我妈总吓唬我：梅超风来了。            
(5星)	 太经典了            
(NA)	 觉得真经典            
(5星)	 永远的翁美玲!            
(5星)	 TVB最经典的作品之一，现在似乎很难再有了            
(5星)	 翁美玲就是黄蓉，正如陈玉莲就是小龙女一样，不可改变。            
(5星)	 《铁骨丹心》《人生有意义》《问世间是否此山最高》            
(NA)	 都是小时侯的事情了            
(5星)	  大侠            
(NA)	 这部片子一直被人奉为经典。我第一次完整看时高考后。那时觉得这个片子里最出彩的人物是“黄老邪”。还是时间太久了，外景之类以后来眼光看都不是太好了。            
(NA)	 最早的武侠梦            
(4星)	 黄日华翁美玲，灵的灵的～还有英俊的杨康少爷            
(4星)	 那时候还没有我呢~            
(5星)	 太经典            
(NA)	 依稀往梦似曾见，心内波澜现。            
(NA)	 射雕英雄传 最为经典的金庸武侠系列电视剧            
(NA)	 巧笑倩兮 美目盼兮            
(5星)	 现在重看，是想找到当年的跑龙套，现在的大明星。            
(5星)	 蓉儿和她的靖哥哥~            
(3星)	 傻小子 好运气            
(4星)	 香港  武侠  电视剧  经典  翁美玲  黄日华  连续剧  TVB 1982            
(NA)	 喜欢苗乔伟的杨康            
(5星)	 童年、闭路            
(3星)	 笨熊很喜欢……            
(4星)	 音乐            
(NA)	 太老了            
(NA)	 小时候天天期待的片子            
(5星)	 这个可能也是一个不能逾越的经典了，伴随成长的：）            
(5星)	 经典            
(NA)	 从此爱金庸            
(5星)	 草席，西瓜，如临盛宴            
(4星)	 挑了些靖蓉的片段看，翁美玲的确演得不错，黄日华也比印象中帅            
(5星)	 我爱曾经的TVB。翁美玲，你爱的好真实！            
(4星)	 吴镇宇在第一集演了一个杀死金国探子的丐帮弟子。哈哈~~            
(4星)	 同为经典，但相比之下更喜欢94版的~~~            
(5星)	 我没有收这个条目，罪过罪过~            
(5星)	 我爸的最爱！            
(5星)	 连这个都是杜琪峰,我小时候喜欢杨康~~            
(NA)	 还是杜琪峰。。。。            
(5星)	 又是杜琪峰！            
(4星)	 看过也不记得了            
(NA)	 【1983-05-24】            
(4星)	 早期TVB的武侠片都不错            
(5星)	 经典            
(4星)	 人海之中，找到了你。            
(5星)	 这是最好看的射雕电视版本。没有之一。            
(5星)	 顯然是要給十個星的～            
(3星)	 一部被认定无法被超越的武侠巨片，最好的射雕版本，金庸原著的完美演绎。            
(4星)	 哈，那个杨康多有爱。            
(5星)	 小时候看的，很多场景现在还记得很清楚，重温经典。PS. 其实郭靖一点都不傻。            
(5星)	 永远记得小时候每天守着电视的期盼            
(5星)	 因为想知道这部电视剧的英文怎么说，所以找了一下。这部电视剧几乎充斥我所有的童年时光，以至于后来再看时，哪里哪里说了什么台词，谁接下来会出现都了如指掌。            
(3星)	 不喜欢这个版本。            
(5星)	 翁美玲这部超越不了的吧            
(4星)	 对了，我是今年才看的这部电视剧，守着四川卫视每集三次插播广告看完的……的确可以看出后来很多武侠片对此片的模仿，但总而言之，这也是一部大雷片，不要瞎扯年代，你看上世纪早期拍的电影还会看到很多惊喜之作呢，艺术哪分年代～～            
(5星)	 这个版本的郭靖最娇憨。            
(5星)	 童年记忆            
(5星)	 我看的第一部射雕不是这部，但是83版直接打败了“先入为主”的观念，排到我的射雕排行榜首位！            
(4星)	 天~阿翁是要有多美多水灵多娇俏，黄日华确实傻得来又那么可爱。唉我是要有多老看上的都是那个年代的人。。即便剪辑台词情节排布都有点雷……偶尔看看。            
(5星)	 想打十星            
(4星)	 小配角们看得我不亦乐乎~~            
(5星)	 永远的黄蓉            
(5星)	 香港人总是可以把故事讲的引人入胜            
(5星)	 分数好高啊            
(5星)	 导演竟然是杜琪峰……三哥那时候真帅，翁美玲真好看！            
(5星)	 已成经典            
(5星)	 最爱杨康呵黄蓉！            
(4星)	 一代人心中永恒的武侠经典，百看不厌。            
(5星)	 王天林和杜琪峰师徒齐上阵啊            
(5星)	 每次重播都会再看的片子。            
(4星)	 小时候超级爱看,金庸真的很厉害！            
(4星)	 壮硕的女人们。。。            
(5星)	 居然是杜SIR跟王天林的作品            
(5星)	 经典！！！            
(NA)	 这也有杜琪峰？            
(5星)	 妈妈说我就是：屁颠屁颠搬板凳去凑热闹            
(NA)	 蓉儿！            
(5星)	 记得当时租碟子想把每句话都记下！最可惜还是没有看完！哎还记得妈妈说我看这个都烦，每次都回拨！蓉儿呵呵永远都是那么美！妈妈我想你了            
(5星)	 黄日华真的是很有大侠的风范            
(5星)	 经典            
(NA)	 她的一颦一笑永远刻在了画面上，青葱年华，天真率性，那些美好都永远停留，而我早已远离童年，从懵懂无知到尝尽人生冷暖，经历残酷和离别。而少年时的记忆，在午夜梦回时会恍惚间，可是终究成为留不住回不去的地方，那一缕温暖的记忆，带着想起那时的无忧无虑和宠爱，只能成为记忆了。。。            
(5星)	 经典，无从超越            
(5星)	 83的            
(4星)	 啊，我心目中永远的黄蓉----翁美玲！            
(4星)	 最近电视在重播了，好看哈            
(5星)	 经典            
(5星)	 这个假期和爸爸一起回味经典            
(5星)	 四川卫视又抽了 一天六集放完了又重头放 神马感情            
(5星)	 经典武侠片            
(5星)	 最喜欢的一部 射雕            
(5星)	 美玲一逝 再无黄蓉            
(NA)	 看            
(4星)	 唉，寒假里时间紧迫，作业多的不得了，我居然还在做这种事……            
(5星)	 黄蓉..我是得有多喜欢你!!            
(4星)	 这几年断断续续看结了这部剧，小时候因为家教，很少看电视剧，尤其还是武侠。觉得离我心里的《射雕》还是有距离的，毕竟《射雕》是我心里金庸最好的作品，或者说，我最喜欢的。            
(4星)	 这几天和爸妈看射雕，黄日华那时年轻，这黄蓉牙不好看，喜欢华筝，嘿呀。            
(4星)	 我和妈妈没代沟            
(4星)	 最喜欢的            
(5星)	 最爱看黄日华版本的            
(5星)	 这个太经典            
(5星)	 看了很多部射雕，唯獨這部經典…記得小時候每天晚上必須9點多睡覺，而電視也正好剛開演，我就一直磨蹭磨蹭地不肯睡覺，就算被老媽強制要求睡覺，我也會開著門認真的聽聲音！真懷念            
(4星)	 三星，第四星是给黄日华这个帅哥的！            
(5星)	 83版射雕，超级有爱，后来都无法超越。            
(5星)	 废话不多说了，经典！            
(5星)	 可以给一星给苗侨伟的杨康咩？            
(5星)	 不用说            
(5星)	 小时候老喜欢的 不过跟原著出入有点大            
(3星)	 儿时美好记忆而已。。。。演技就算了。。            
(4星)	 相当经典            
(5星)	 经典            
(5星)	 大爱翁美玲！！！！！！！！！！            
(4星)	 阿翁要是真有黄蓉的果敢和聪明就不会那么早香消玉损了TOT            
(NA)	 不管多少年过去，不管何时再看，依然动我心。            
(5星)	 太经典，太好看了！            
(3星)	 一直不懂黄蓉，也不懂郭靖，还好他们相互间懂对方。            
(5星)	 永远悲情的欧阳锋            
(5星)	 我爱翁美玲 更爱三哥            
(5星)	 永远的靖哥哥            
(5星)	 记忆长河中璀璨的一颗            
(4星)	 演员配乐太经典            
(5星)	 小学。            
(3星)	 音乐是经典，我不是80TVB一代，是90TVB            
(4星)	 翁美玲把黄蓉塑造的机智可爱 要说哪一版黄蓉演的最好无疑是这一版            
(4星)	 黄蓉经典，最喜欢的一版靖哥哥            
(5星)	 入门教程            
(5星)	 这版太经典了            
(5星)	 黄日华演的憨傻，翁美玲演的精灵            
(NA)	 杜琪峰杜琪峰杜琪峰！！！            
(5星)	 蓉儿.............            
(4星)	 看过N遍的说            
(5星)	 经典            
(NA)	 布景的转换就是同一个地方不同的牌子。            
(NA)	 久远到没有丝毫记忆            
(4星)	 不得不记住的经典            
(NA)	 這個版本黃藥師和蓉兒之間的情，表達得比別的版本都好。            
(5星)	 这部剧太早 好多人应该都无法再接受当时的拍摄效果 但就这样 我小时也守着电视看了 虽然并没有一口气全部看完            
(4星)	 外婆最喜欢的版本            
(5星)	 怀念            
(5星)	 小时候电视上播一次看一次。            
(5星)	 好年轻的黄日华啊            
(3星)	 传奇。            
(5星)	 经典中的战斗机，翁美玲我爱你，你是最完美的黄蓉~~~！！！童年的记忆，哎，回不去了            
(5星)	 一直到现在只有这部射雕是我承认的射雕，其他都是垃圾！            
(5星)	 不赘述            
(5星)	 一个时代的记忆啊。            
(5星)	 无可超越            
(NA)	 回顾完毕  下一个  神雕            
(5星)	 小时候看的，经典~~·            
(5星)	 最美的记忆。            
(5星)	 荡气回肠了靠！            
(5星)	 射雕属这版本最经典~            
(5星)	 超级爱的经典            
(2星)	 跟我妈这是两代人，完全不能接受改动这么大的射雕…………            
(5星)	 那年的黄日华和翁美玲也算是金童玉女了            
(5星)	 我心中不可能超越的经典            
(5星)	 靖哥哥            
(5星)	 我好爱黄日华，三十年前的电视剧，现在看也觉得好看，断断续续看了一年，电视台放的是国语版，不喜            
(5星)	 老顽童也很好、好玩~            
(5星)	 在爷爷家，天天他老人家要看            
(4星)	 音乐超经典，道具寒碜点            
(5星)	 靖哥哥            
(5星)	 铁血丹心，经典            
(5星)	 缺点就是太经典。            
(5星)	 永远的经典呵呵            
(5星)	 片头曲很经典（尤其是二、三），某些桥段很经典。黄日华的郭靖其实没有他后来演的成熟男人出彩~~~最喜欢东邪、北丐            
(5星)	 经典就是经典，无法超越            
(4星)	 两个不算俊男美女的年轻人，在搭的很烂的布景里，很真诚地演绎了一个虽然并不真实但是十分令人迷醉的故事            
(5星)	 真的经典            
(5星)	 小时候好喜欢看啊。。            
(5星)	 百看不厌，最爱黄老邪            
(5星)	 翁美玲             
(5星)	 还是翁美玲演的黄蓉最好了            
(5星)	 对于我来讲仅次于新白            
(4星)	 7/10            
(4星)	 补录            
(5星)	 一个时代的经典 遥想小时候 感慨说不出            
(5星)	 蓉妹妹是个好妹妹            
(5星)	 看它有时候能感觉到幸福。            
(5星)	 还能有再经典的么？            
(5星)	 永远的经典            
(NA)	 重温            
(5星)	 看那些死跑龙套的~~            
(4星)	 ……            
(5星)	 无敌经典到爆啊            
(5星)	 最经典的电视剧之一！            
(5星)	 我一直覺得82版的射雕是最好的，就像到現在我都覺得翁美玲才是真正的黃蓉            
(5星)	 靖哥哥。            
(5星)	 最爱1983            
(5星)	 苗版杨康是所有版本中最中意的，曾江的黄药师也很喜欢。都是亦正亦邪的角色。 P.S：刚刚发现原来为两人国语配音的都是冯雪锐先生。。。青蛇上的许仙也是这位老先生配的啊            
(5星)	 我爸年代人最爱的娃哈哈 不可超越            
(4星)	 已成为记忆            
(5星)	 根本就是好看！！！！            
(5星)	 看来看去还是它经典            
(5星)	 最好的射雕版本            
(5星)	 其实看不懂,太小了那时,但就是喜欢,尤其为阿翁的现实遭遇而痛惜            
(NA)	 当年惊艳的片子现在再拿来看简直恨不得快进…            
(4星)	 确实无法被超越            
(NA)	 我想，仅是这部电视剧的主题曲就无法超越，今天听来依旧荡气回肠。            
(4星)	 其实几乎是“听”完的。是说郭靖留了胡子咋那么像97版的萧峰呢……弄半天就是一个人演的、            
(3星)	 其实我不喜欢这个黄蓉。            
(5星)	 那是一代人的记忆。。。            
(NA)	 啊啊。。东邪西毒            
(5星)	 张纪中是垃圾            
(5星)	 重温一下            
(4星)	 ……            
(5星)	 经典...喜欢杨康和完颜洪烈            
(4星)	 三哥成就了杨康。            
(4星)	 喜欢苗侨伟扮演的杨康。萌内心挣扎的男人。            
(5星)	 永远的翁美玲~            
(5星)	 情结～            
(5星)	 我心中永远的蓉儿。            
(5星)	 超越不了的射雕~            
(5星)	 没啥好说的，经典            
(5星)	 9分的高分哇 果然这部在大家心中不可磨灭哎            
(5星)	 经典！！！！！可爱的蓉儿。。            
(4星)	 这个版本的感觉就是画面处理的不怎么样 但是很好看            
(3星)	 幼儿园时候总是跟喜欢的男孩子叫靖哥哥，现在再看，就如同现在看小时候迷恋的动画片一样，一切都有那么一点荒唐。无奈，此为经典。            
(5星)	 很重要的一部剧，对我来说。几乎占据整个孩童、少年、青春期的片子。生命中唯一迷恋过的同性。虽然，佳人已去。但她永在我心。阿翁，爱你。安息。            
(5星)	 最最经典，无法超越。            
(4星)	 或者，更有高处比天高            
(4星)	 还是觉得朱茵版的更经典些。            
(5星)	 好看            
(5星)	 ...只爱这版!            
(5星)	 无法超越的经典             
(NA)	 永恒的经典。。。            
(3星)	 不太明白为毛那么多人喜欢这一版,因为别的版本太烂,所以这版是相对比较好吧..我只萌演东邪的内个,奇帅..            
(4星)	 为嘛我就喜欢杨康呢            
(5星)	 KTV还会唱呢！经典            
(5星)	 精典!            
(NA)	 世间始终你好            
(5星)	 年少轻狂            
(5星)	 不错...            
(5星)	 翁美玲，这个女的相当优秀。伦敦艺术大学中央圣马丁艺术与设计学院，华裔有几个？            
(5星)	 小时候，小姨常说：不听话就叫梅超风来抓你            
(5星)	 我喜欢降龙十八掌的效果            
(5星)	 在大舅家的那个暑假……时间可真快            
(5星)	 记忆中永远的经典            
(5星)	 经典！            
(4星)	 追圈怀旧片+4……            
(5星)	 在翁美玲之后我接受不了任何人演蓉儿~ 就像在李若彤之后我接受不了任何人演小龙女            
(5星)	 经典！黄日华和翁美玲就是郭靖、黄蓉的代名词。还有曾江的帅黄药师，真是帅到无法言喻。            
(5星)	 这五颗星，打给岁月。/ 我还买明星贴纸那个年代看的，早年港剧。虽说现在觉得演员装束布景都有点过时了，可是主要演员演得挺到位的。            
(5星)	 我爱黄蓉！那，有人说我妈和黄蓉有几分神似，我爱我妈，所以我爱黄蓉！！！            
(5星)	 翁美齡是最好的黃蓉，要說外型最符合可能是朱茵版。苗僑偉阿~            
(4星)	 无需多说。            
(5星)	 射雕n多版本中最喜欢的            
(4星)	 黄蓉挺适合当老婆的            
(5星)	 与童年有关的情怀。重看此片，虽情节前后多有矛盾，仍然畅快。            
(5星)	 小时候……            
(5星)	 太经典！！            
(3星)	 据说是一代人的记忆，不过不是我的记忆            
(5星)	 我们这一代人的必看连续剧，经典啊～            
(5星)	 尘封在记忆中的武侠经典            
(4星)	 没什么，就最爱杨康和东邪            
(5星)	 經典中的經典吧，大明星好多在那裡客串            
(5星)	 现在才知道83版的&lt;射&gt;原来是老杜拍的!厉害            
(5星)	 我心中的黄蓉就是她            
(NA)	 经典中的经典。            
(5星)	 这一部不错。            
(5星)	 经典，虽然剧情也是没多少印象了，只记得翁美玲扮相超美的            
(5星)	 吼吼～            
(NA)	 一个假期关在家里看了2遍。            
(5星)	 无法超越            
(NA)	 比其他几部好看            
(5星)	 哦，天哪，怎么会有这样百看不厌的武侠剧涅。最近看了一遍粤语版。            
(5星)	 最最经典的一部，几乎每个角色都很出色            
(5星)	 蓉儿            
(3星)	 节奏...时代问题            
(5星)	 看过至少4遍了，每看一集就知道下面的内容，呵呵，我的最爱，无法超越的经典！            
(5星)	 翁美玲太可爱。            
(3星)	 只记得梅超风出场前的恐怖气氛            
(5星)	 这才叫经典!            
(5星)	 经典丫            
(4星)	 在奶奶的电视机前看完的            
(3星)	 记忆很模糊~不过当时多喜欢黄蓉~ 我还是记得得            
(5星)	 非常好看~不用多说了吧            
(5星)	 最经典            
(3星)	 这几天又看了看 除了它是全国人民熟知的电视剧之外 已经把原作改得面目全非而且改得更对香港师奶的胃口.我后悔如今再看已抹去了我幼时美好的记忆            
(3星)	 重新看起小时候的故事。翁美玲真是可爱，没有了以前的激动。            
(NA)	 好吧我承认，你的美丽让人难以忘怀            
(5星)	 整个太经典。            
(5星)	 经典中的经典 虽然现在看来有点粗糙            
(5星)	 这个还是很经典的            
(4星)	 回到小时候~            
(5星)	 http://www.imdb.com/title/tt0274839/            
(4星)	 童年的经典            
(5星)	 怀念啊            
(5星)	 每次听到片头曲响起都好振奋的说。            
(5星)	 为了让她成为心中永远的经典，回避看所有其它的版本            
