http://movie.douban.com/subject/3285407/	波士顿法律  第二季 Boston Legal (Season 2)
(5星)	 JQ和gossip逐渐滋长... 不过其实有些balcony talk跟closing一样精彩            
(4星)	 渐入佳境了            
(4星)	 第五集看的我想哭啊！！            
(5星)	 比第一季还好看，对每个人物个性的拿捏太到位了~            
(5星)	 Denise这个角色塑造的有点太弱了            
(5星)	 我的启蒙经典！！！            
(5星)	 编剧有才又有勇气 DC和AS一对出尽风头的活宝 每次看到片头BL两大字盖上他们的脸就控制不住要笑啊            
(4星)	 Daniel Post动作像个摇头摆尾的小狗，可是很可爱。真希望本季衰女denise就呢样嫁给他。这季很多集特别精彩，但也有不少案件可以说陈词缺乏说服力也脱罪了~~！要保持水准啊            
(3星)	 这季为何充满基情？            
(4星)	 喜欢。              
(4星)	 喜欢的是生活的点点滴滴，court里的，厄，petty things.//men can truely bond only in the woods.//your snoring is so rhythmic.//            
(5星)	 我偏好每条线都能齐头并进的电视剧。            
(5星)	 重看Boston Legal，Alan Shore大叔还是很给力啊！            
(5星)	 据说我们家alan出新片了迫不及待的想去看只是不好看的话咋办呢             
(5星)	 ··是从这季开始来了激情            
(5星)	 无论东海岸西海岸，迷人的alan总是那般振振有词。Denny还是那么次。。。每日一集年底能看完五季～olala～OH my Alan Shore~            
(5星)	 第二遍才能发现denny的可爱。BL不愧是BL啊，腐得我风中凌乱~~~            
(5星)	 brilliant!            
(5星)	 alan越来越帅了……            
(5星)	 We are flamingos！            
(5星)	 继续第三季            
(5星)	 Sherly您是我的偶像            
(4星)	 案子比第一部要扯……不过有些陈词中体现的看问题的角度还是令人印象深刻。            
(5星)	 假如今天是我生命中的最后一天。如果不是的话，我要跪倒在上苍面前，深深致谢。            
(4星)	 想成为合伙人靠的是努力么？当Denise被告知“女乌贼”因为从另一个律所跳槽过来就带来了几个大客户而将被选为合伙人时，答案便已给出。第二季中，Danny为Alan辩护的那段很精彩，坦承哪一个律师不曾给过杀人犯、强奸犯开罪的建议，令他们再次走向街头……            
(4星)	 缺一星是因为没了Tara姐……            
(5星)	 越到后面越好看~！            
(5星)	 超超超超好看！！Amazing Alan~~             
(5星)	 Shirley  Denny  Alan            
(5星)	 终于把第二季看完了。。。绝对的五星剧啊！            
(5星)	 我太喜欢了，想收集完而已。            
(5星)	 When god despise some ability we once had, why don&#39;t he take away the memory that we have had them? Empathize &amp; Sympathize. 梦见Alan，迷上他的气势。            
(4星)	 众多新人物的加入让整剧增色不少，对主要人物性格的认识度也愈发饱满，有些案例拖着看并不影响，离奇的案例越来越精彩了，保留项目阳台夜话亮点明显。            
(5星)	 太精彩！每一集的总结陈词绝对的精彩！从中可以看到美国文化，美国人的各种态度。Alan Shore这个人物让人大爱！每一集最后的阳台对话也总能道出许多真谛。绝对的好剧            
(5星)	 It is my everything.            
(5星)	 这一季里Alan受了重大挫折，整日的眉宇间都是沉沉的抑郁，看得人好心痛。            
(5星)	 A really good lawyer is priceless.            
(5星)	 Alan！            
(5星)	 漸入佳境。            
(5星)	 有要狗血化的倾向。不过，BG成分渐渐弱化，BL成分大大强化，两位大叔越来越频繁的搞暧昧。。。&gt; &lt;。。。呃，我得说，我觉得强过第一季，嗯。            
(5星)	 OMG~我居然萌了这两个老男人= =|||            
(5星)	 又坚硬又温柔。            
(NA)	 非常好看的一季            
(5星)	 有一种男人叫Alan Shore            
(5星)	 Denny Crane  Alan Shore            
(5星)	 这部好得不容置疑            
(4星)	 越黎越过瘾啦！            
(NA)	 大巧若拙.            
(5星)	 它要一直在我的硬盘里            
(4星)	 看来只要这两个老男人在我就无法停止迷恋这部剧吧            
(4星)	 01 - 19            
(5星)	 向往的人生与伴侣            
(5星)	 越来越喜欢Denny            
(5星)	 非常爱ALAN SHORE~~~            
(5星)	 BL            
(5星)	 BL我的最爱,adore Alan.            
(5星)	 演就接着看……            
(5星)	 哪个好心人把这么好看的BL加上来了！            
(4星)	 ~            
(5星)	 基友占领全世界。            
(5星)	 向第三季进发            
(5星)	 编剧太棒了，超棒的律政美剧            
(5星)	 和Friends并为我最喜欢的两部剧。全5季，中间几季是最精彩的，尤其是第二季如果我没记错的话。            
(4星)	 所以我喜欢的Denise和Brad在一起了么。嘎嘎。。            
(4星)	 这一季太长太长太长了...看的我都不想看了            
(5星)	 从这一季开始Alan Shore成了我idol，用法律进行可能的帮助成为了一个遥远的。。。。            
(NA)	 Denny这老家伙性欲真旺盛，哈哈            
(5星)	 Every one loves Alan Shore！            
(NA)	 很想成为Alan那样的男人            
(NA)	 其实最喜欢alan和tara的组合.......            
(3星)	 TARA！            
(5星)	 永远的经典            
(5星)	 就爱这个调调            
(5星)	 Denny crane            
(4星)	 相比第一季剧情更胜情节更跌宕起伏，但不喜欢结局，讨厌那个乌贼！！            
(5星)	 Still excellent！            
(5星)	 哈哈~男人的阳台唠嗑~这两个活宝~            
(5星)	 从这一季开始喜欢Alen。            
(4星)	 越来越有爱了            
(5星)	 真心不喜欢最后出来的那个女人……各种JQ四射的第二季啊            
(5星)	 妙哉。            
(5星)	 最好的律政剧，没有之一            
(5星)	 精彩的庭辨，对美国司法制度的剖析，还有两个流氓却才华横溢的律师            
(4星)	 Alan和无口少女的对话很有几分意思，Brad少爷学会了新技能卖萌，真心不喜欢Denise……这是为什么呢            
(4星)	 第二季开始侧重描绘律师的生活而不是案件了            
(5星)	 太喜欢Denny了，Alan也不错。            
(5星)	 比第一季更精彩。。只是没有解答悬念啊！            
(5星)	 精彩的庭辩！            
(NA)	 曾经一度在背诵每一集的close            
(4星)	 没有想像中的好看～Alan Shore, Denny Cranee形象有新意，但一二季的辅线和诸多配角写的杂乱无力，案件选择法庭辩论感觉过于夸张～我还是比较喜欢the good wife            
(5星)	 Alan牛逼闪烁的结案陈词啊...and...最近经过几部戏的洗礼，越来越爱精装书了= =            
(5星)	 Alan和Danny，一对好基友。            
(5星)	 Alan Shore ，男人的标杆之一；另外之一当然是Denny Crane 。            
(5星)	 前五季是在2年前看完的，最近连续看了【Suits】【the good wife】让我分外怀念那两个又老又胖的男人，于是重温第四季，那熟悉的音乐，熟悉的黄色笑话，熟悉的每个案件的closing，熟悉的2人的阳台谈话。每个案件的逻辑都值得我们一学再学，而它依然是所有法律剧的经典，无人超越。            
(5星)	 我惊叹于自己的毅力。第三季果断看起。            
(4星)	 没lori了TAT            
(5星)	 看完忘了加豆瓣…结果又不记得哪集是哪季了            
(4星)	 我还是更喜欢Lori……            
(5星)	 同样高水准 没有lori 是个遗憾            
(4星)	 与第一季相比显然更倾向于以事件的离奇独特来吸引视听,精彩发人深省的议题和演讲少了// 天,Tara好丑啊,凶恶的男相//THere is no justice//助手好像邓萃雯啊//WHO doesnt love AS?//10集后开始好了            
(5星)	 太鸡巴好看了            
(5星)	 神片            
(5星)	 bred终于找到人滚床单了，结果人家又抛弃他了，相反，Alan的炮友还真是多多            
(5星)	 怪手出场            
(NA)	 真TM经典！            
(4星)	 第二季没有第一季好看，主要的女配也都换了，但是鉴于对男主的爱，还是可以继续看下去哒～            
(5星)	 Great!            
(4星)	 要是我是编剧＝＝就让denny先去坐个牢 再测量一下收视率有没有涨。。            
(5星)	 两个坐在阳台唠嗑的男子            
(5星)	 希望Denise幸福。            
(5星)	 太带劲儿的台词            
(NA)	 27集            
(4星)	 danny，老当益壮！            
(5星)	 我在想是不是看到这一季就算了~            
(4星)	 真的很精彩！            
(5星)	 终面的时候，问我喜欢什么美剧，当然是BL！            
(5星)	 so good            
(5星)	 denny crane            
(5星)	 精彩更胜第一季            
(5星)	 依然精彩、给力。            
(5星)	 我在等，等denny和alan在最高法院辩论            
(3星)	 疯子总是占据优势，这就是现实。            
(5星)	 其实不太喜欢这些花心的男人，但是他们对自己观点的坚持让人感动。真不愧是自由世界啊。            
(5星)	 时隔大半年终于看完。编剧和演员实在是太太太牛逼了！笑点和g点全中！            
(5星)	 even better than the first season!            
(5星)	 第二季保持原有的风格，但加入了更多的情感线路，让我们看到律师们不仅在黑白交界处挣扎，情感内心处很多的时候空虚与寂寞更加能把他们吞噬。法律到底是为保护谁而建立？谁用应该来利用法律来保护谁呢？　第二季加入了很多人性话的主题，让人多多深思。            
(NA)	 (⊙o⊙)…  我喜欢这部剧，但是我讨厌喜欢这部剧的人，当然除了我自己！            
(5星)	 boy club            
(NA)	 依然爱Alan Shore.....            
(5星)	 每个强大的男人背后都有脆弱的秘密。每个大叔也都曾经是风华绝代的正太。            
(4星)	 这一季alan收敛了许多。            
(5星)	 灰常好看的剧！但是律师们为什么总喜欢在办公室里用铅笔呢            
(5星)	 精彩得想把台词全背下来            
(5星)	 就是喜欢，没办法            
(4星)	 诡辩            
(4星)	 Boston Legal.Season2看完了，不同于第一季独立的case，这一季俨然是以Danny、Paul &amp;Shirly和Alan Brad&amp;Densie为轴线发散的，作为电视剧来说，无疑是更完整的，剧情也更连贯。但我还是更喜欢第一季。            
(5星)	 在一个真实的世界里各司其职 在一个残酷的社会中弱肉强食 what we need and only need to do is to be mentally strong            
(5星)	 越来越好看            
(5星)	 真是一群迷人无比的老家伙……            
(5星)	 再给力            
(5星)	 越来越喜欢alan。。无解的眼神，伶俐的嘴巴。            
(5星)	 神剧没什好说的            
(3星)	 铁打的男人们，流水的女配            
(3星)	 12集是个灾难 那个病态的傻逼居然没事儿了。。。不过我喜欢14集的葬礼！我要快挂了 也要这么办！            
(4星)	 同时补这部和modern family 感觉很穿越。。            
(4星)	 2011-01-14 道德/正义与法律技术            
(NA)	 金发美女律师和海军先生比较可爱            
(3星)	 这季是上升期阶段的，水平持中            
(5星)	 allen shore帅到我不行了            
(4星)	 第一季更多的是剧情的描写，而第二季更多的则是人物的刻画            
(5星)	 比第一季拍的更好了，就是Tara走了，让我唏嘘了很久，觉得她和Alan好配，不过，她不走BL就凑不成了，哈哈！            
(5星)	 William Shatner演得太有才了~Shirly迷人            
(4星)	 死活不可能喜欢Alan Shore和Denny Crane            
(NA)	 oh~~~~~~Danny~~~~~~~~~~~            
(5星)	 终于看完这季，历时跨年，你怎么可以如此可爱            
(4星)	 denny crane            
(5星)	 Shore→King of Closing！！            
(4星)	 虽然每集的模式有点重复 但还是不错            
(5星)	 ALAN  SHORE不见得每次都能赢，但他的辩论和结案陈词，真是精彩到极致了。所有人都应该佩服他的智慧。            
(5星)	 爽            
(3星)	 是27集第二季又是新的开始了。没有衔接            
(5星)	 居然换演员了，郁闷~不过看了一段时间之后感觉还不错~~I like Alan Shore 如果一个人足够优秀，智谋，有自己的原则，遵循自己心中的正义。那么就可以无视这个世界既定的CD规则。            
(5星)	 法律剧佼佼者            
(5星)	 两老是越来越有爱了：）            
(4星)	 第二季更精彩！            
(5星)	 唯一值得推荐的电视剧            
(5星)	 最喜欢的美剧之一！            
(NA)	 DENISE用了一季的时间让我对她有了好感^ ^另两个失败的配角到中期就消失了，这种剧果然只有御姐和老男人才能待下去啊            
(5星)	 Alan Shore，搪伐牢了~~            
(5星)	 o~~~~~~  曾经粉嫩的James Spader.....            
(5星)	 在一个真实的世界里各司其职 在一个残酷的社会中弱肉强食 what we need and only need to do is to be mentally strong            
(5星)	 我爱Alan的结案陈词~            
(4星)	 JS最高！            
(5星)	 最喜欢的美剧集            
(5星)	 难得的是第二季也很好，不比第一季差            
(5星)	 同样高水准  没有lori 是个遗憾            
(5星)	 向第三季进军~~            
(5星)	 越来越精彩。当初学律师就好了。            
(5星)	 比Season1好看，看了三集，E02、E03都很精彩！看到E15，暂停。            
(5星)	 第二部我一直不想看完......因为喜欢Daniel和Denise...唉...总的说好过第一季。            
(3星)	 相比Al我更喜欢Denny那个可爱的老头子            
(4星)	 这一季里的alan 更加的有责任感， 更是一个好男人了            
(5星)	 Alan sooooooo cuuuuuuuute            
(5星)	 鼎盛之季~~            
(4星)	 alan 真是个杂皮            
(5星)	 火鸡装巨萌w~~            
(4星)	 一开始看不错,后来看多了就觉得主角超烦.一个摆噱头的结案陈词说两三分钟.他特有的口音让人受不了.最后他和denny在阳台上的知心话也是多看就腻...            
(5星)	 Denise明显是个有悲剧情结的女人，她爱上的男人都需要她扶助与无尽的包容，前夫需要她无私的提供金钱，又爱上的男人身患绝症            
(5星)	 经典            
(5星)	 越发喜欢Alan Shore            
(5星)	 好看            
(5星)	 渐入佳境            
(5星)	 danny&amp;alan。。。            
(4星)	 Lori Colson不在了。。。伤心。。。            
(5星)	 人人都爱ALAN SHORE            
(5星)	 Alan魅力无人敌啊~            
(5星)	 编剧太强大了……每次closing时候的力挽狂澜真的很爽~&gt;&lt;            
(NA)	 fabules....            
(4星)	 中间十几集的地方有点没意思，后面的还是不错的。            
(4星)	 任何正常的都是不正常的，不正常的都是正常的。不完美的完美。最后一集出现了《1984》！            
(4星)	 DENNY CRANE实在是超级冷幽默大王！            
(NA)	 经典！            
(5星)	 本季的美式幽默多于逻辑……            
(4星)	 Denny这个疯子~哈哈            
(5星)	 Alan Shore!            
(NA)	 原来当初是从第二季开始弃剧的@@            
(4星)	 我不太喜欢里面的有些人物，不过，幸好他们只是匆匆过客，没打几集酱油就没了            
(5星)	 Denny Crane!            
(5星)	 比第一季好看。            
(4星)	 唔 换人了……            
(4星)	 完全忘记讲到哪了。。            
(NA)	 我也不喜欢Denny Crane!            
(4星)	 在这一季的片头剪辑中，Alan Shore据理力争的强势表情感染了我。            
(NA)	 Allen继续花心            
(NA)	 喜欢MJF的客串            
(NA)	 classcial conclusion            
(5星)	 律政剧一顶一的好剧！danny老了~~allan依旧风流倜傥~~            
(5星)	 Extra-ordinary            
(4星)	 五季都看过，呵呵，还不错，就是美国人眼里的中国人，太白痴了，这说明美国人犹待改进他们的白痴。            
(4星)	 完了，又上瘾了……            
(4星)	 鉴定完毕! 大叔和老头的办公室恋情!            
(NA)	 像Alan shore一样思考            
(5星)	 我总是期待程式化的法律讨论之余，有更多主角们的爱情故事。            
(4星)	 很不错            
(5星)	 Shirly，经典女人啊            
(5星)	 赞E10 Alan的讲演和E14 shirley的closing            
(5星)	 less interesting than S1            
(4星)	 语言就是力量            
(5星)	 更喜欢第一季那个Alan。            
(5星)	 大爱的剧集            
(4星)	 美国的某律师楼生活，还不错            
(5星)	 第二季是全剧的经典辉煌            
(5星)	 非常喜欢这部剧            
(5星)	 denny alan            
(NA)	 Allen Shore!             
(5星)	 ALAN SHORE越来越像样了~            
(NA)	 前面几季很好看，非常喜欢看他们的辩论，后来有点太闹了，尤其是最后一集，难怪也编不下去了。            
(5星)	 完结了一刚。。所以要省着看 TAT            
(5星)	 和一般的法律剧都不同,黑色幽默再加点大感动            
(4星)	 俩怪胎男人            
(5星)	 finished            
(5星)	 i love their tone, i love the speed they speak, although sometime i got completely lost~~i just love Alan, Denny, and Shirley!            
(NA)	 Denny Crane满脑子都是浆糊            
(5星)	 +2            
(5星)	 能逗的Denise出场拉！            
(5星)	 最爱的            
(NA)	 4.9夜            
(5星)	 在善于恶中挣扎，人生不过如此            
(3星)	 是不是学法律的人都要看法律剧。。。            
(5星)	 太好看了！            
(5星)	 中毒症状            
(3星)	 不管多没道理都not guilty,审美疲劳了            
(5星)	 还是很好看啊，快看完了            
