http://movie.douban.com/subject/2153527/	新白娘子传奇 新白娘子傳奇
(3星)	 动不动就唱歌真拖沓时间，难道人家索歌舞片？小青喜欢的那个哥哥我也很喜欢～            
(5星)	 白看不厌~~            
(NA)	 看了不下20邊吧            
(5星)	 小时候那真是一集不愿拉下            
(NA)	 崇拜的师姐            
(5星)	 想当年这部片子是有多红吖！            
(5星)	 如此之美……            
(5星)	 一辈子忘不掉!            
(3星)	 童年的回忆             
(5星)	 这才是经典，不老美女——赵雅芝            
(5星)	 还有啥好说。。            
(4星)	 回忆            
(4星)	 小时候看，最喜欢模仿小青和白蛇发功的动作，里面的歌也很好，真是独特的电视剧            
(5星)	 经典，而且音乐很好听，不是吗            
(4星)	 尽管到了20多岁再看觉得非常之傻，但是还愿意看！            
(5星)	 必须看过            
(4星)	 虽然现在看来恶俗，总是唱啊唱，但当时为了看这剧，在家里跟妈妈哭了好久，谁能想象赵雅芝那个时候都已经四十多岁了？            
(NA)	 经典不用多说。            
(3星)	 我们白娘娘真是温婉大方，但青儿也不错啊，娇俏活泼，浑身都透着一股子玲珑劲！            
(5星)	 里面的歌曲多好听呐            
(3星)	 我看的最早的电视剧 = =            
(NA)	 嘻嘻~~            
(5星)	 看了无数遍的童年好电视            
(5星)	 一辈子都忘不了啊。。。            
(5星)	 改变我人生的电视剧～～～            
(5星)	 看了几十遍也没看见第一集！            
(5星)	 各种神曲的综合体。。            
(NA)	 过段时间就会想重新看的经典！~            
(5星)	 哈哈哈哈哈哈每年必看一遍            
(5星)	 雅芝姐好像永远不会变老……            
(4星)	 好了，我承认我看过，别天天在首页上给我推荐了。。。            
(5星)	 虽然制作粗糙了点，但是故事美啊。回忆更美。            
(3星)	 没完完全全认认真真看完过。- -            
(5星)	 小时候的最爱……之一            
(4星)	 小学时候觉得多好看啊！            
(4星)	 西湖明珠电视台，建台播放的第一个节目。            
(NA)	 小白不要着急~ 冥冥后天就过去看你~ ~            
(3星)	 伪百合嘛            
(5星)	 太经典了！ 看了无数遍了！            
(3星)	 超级囧的千年等一回，风情万种的赵妈妈，你还是那么美～            
(NA)	 赵雅芝的声音实在太淫荡了 这电视剧从小看时候他们一唱歌我就转台             
(4星)	 我不喜欢胡媚娘            
(5星)	 最近放了好多好多遍。。。。。。。            
(5星)	 经典!            
(5星)	 媚娘            
(4星)	 赵雅芝那個美！            
(5星)	 无敌的女人            
(5星)	 家里还只有黑白电视的记忆了。我和奶奶每晚守着会便法术的白娘娘出场，在阁楼里温暖的被窝中，那是儿时的幸福。            
(5星)	 全凭当年的感觉            
(5星)	 绝对经典            
(5星)	 幼儿园的时候大家最爱比的，就是谁画的白娘子更像            
(5星)	 白素贞真美丽~            
(5星)	 赵雅芝，我一直觉得她非常美            
(5星)	 满分送上            
(4星)	 我曾以为叶童长得像我十年前喜欢过的那个人，后来我发现我记错了。            
(5星)	 赵雅芝永远都那么美            
(4星)	 童年记忆。            
(4星)	 从此看叶童所有的片子都觉得她是个男的            
(4星)	 经典老片了，每年假期档似乎都要重温下~            
(5星)	 伴我成长的经典..            
(5星)	 小时候每天的期待 。。就是白娘子啊 。            
(5星)	 童年啊~~!            
(5星)	 百看不厌的。            
(4星)	 长大了才发现，原来许仙是女的……            
(5星)	 看看“豆瓣成员常用的标签”就知道了，这部剧，真是我们那一代人，甚至我们好几代人，共同的童年回忆。说它伴着我们成长是一点都不为过的。谁小的时候没多多少少为白素贞或胡媚娘的命运而叹息过，哪个女孩小时候又没玩儿过“法海法海老秃驴”的游戏呢……            
(5星)	 童年记忆            
(4星)	 赵姐姐美呆了～            
(NA)	 经典中的经典            
(5星)	 多年之后回首再看，才发现是男女之间的事            
(3星)	 片头片尾主题曲都不错            
(5星)	 绝对制霸！            
(NA)	 这是我记事起第一部爱情剧 像一场轮回。            
(5星)	 小时候的记忆            
(5星)	 妈啊 经典啊啊啊啊啊            
(5星)	 确实，当年没有比听见“千年等一回”响起更兴奋的事情了。            
(5星)	 童年啊童年            
(NA)	 永远看不到开头的电视剧（后来通过努力看到了）            
(5星)	 女神。            
(5星)	 小时候的最爱···太美了···            
(5星)	 最经典的电视剧，百看不厌            
(5星)	 真经典啊            
(3星)	 为了青儿才看的。            
(5星)	 芝姐~~            
(5星)	 小时候每个夏天的回忆            
(5星)	 多美丽            
(5星)	 不多说            
(5星)	 我都不好意思告诉大家这片我看了11遍 真的 太不好意思了 而且还狂爱这部剧的原声            
(5星)	 小时候起码看了5，6遍。赵雅芝演得真是绝了，叶童也是。最重要的是那歌实在是...            
(NA)	 小时候迷的神魂颠倒认为白娘子一定是世界上最美的女人            
(5星)	 无可替代。            
(5星)	 如果要我一定要挑一部挚爱电视剧，那就是它。            
(4星)	 我也不知为什么，反正百看不厌...            
(5星)	 千年等一回，我无悔啊～～～            
(5星)	 最经典的版本            
(5星)	 哈哈。我的神啊。            
(5星)	 这一代孩子都看过吧……            
(4星)	 小时候一直很好奇，白娘子的发型是怎么竖起来的，一度以为她的头发特别硬；小时候一直觉得白娘子施法的手势特别漂亮；小时候不知道许仙是女人演的。            
(3星)	 我很不想添加的,实在是douban猜自己推荐给我的.那我就加了吧.小时的消遣.            
(5星)	 nwws            
(NA)	  赵雅芝             
(NA)	 记得小时候放着电视剧的电视台可真多.随着看了几集.后来高中内会电视台又在重播.同学们起哄要看.语文老师同意了= =于是我爬到图书馆去看书了...            
(4星)	 小时候风靡全国的电视剧啊……我喜欢小青            
(4星)	 一部电视剧，三个主演全是女的。还有杭州的断桥。            
(5星)	 经典的极品~            
(4星)	 赵雅芝真美 白素贞是中国女人的典范            
(5星)	 小学时代赵雅芝阿姨就是我的梦中情人，最近竟然全裸了，zeze~~~~            
(5星)	 童年的记忆。            
(3星)	 唱词很有新意，但是我从来听不清楚在说啥。。。            
(5星)	 放几遍看几遍。赵雅芝永远是我心目中最温良娴淑的女子~！            
(5星)	 永恒的经典。            
(5星)	 大好            
(2星)	 我外婆爱看我讨厌许仙(又是女人演的,而且跟唐僧又何不同?)            
(4星)	 我承认我不怀旧            
(4星)	 爸妈超级喜欢看 从小耳濡目染～ 歌的确很好听            
(5星)	 只为那一句，断肠也无怨。            
(4星)	 赵雅芝怎么都不老            
(NA)	 三个女人一台戏！年幼的我不知道叶童是女的！而且！竟然没人告示我。。。            
(5星)	 我想起来了 最开始的时候小青不是男纸么！！！！！！！那这么说来，妖精都是可以变性的罗！            
(5星)	 快20年了，还是后无来者。            
(5星)	 想哭。( &gt;﹏&lt;。)～呜呜呜……             
(NA)	 冒着生死危险偷看的。巴不得胡女士每晚都出门。            
(5星)	 你们都是白姐姐            
(5星)	 現在西湖公園裏老年人跳集體舞的背景音樂就是裏面的插曲誒~噗~            
(5星)	 每次假期重播必看o(*////▽////*)q            
(4星)	 噗................            
(5星)	 过。            
(NA)	 几月前 无意间终于在电视上看到第一集开头鸟 三年级开学第一天大家讨论小青和白娘子喜欢谁 说小青的居多哈且都烦许仙 那会暑假年年多台重播 看完这台这集看那台那集 法海总不收拾坏妖精 专跟他俩过不去 还总一副义正言辞的鸟样 搞毛啊            
(5星)	 这个很有爱啊！            
(5星)	 ！！！！！果断五星不解释            
(5星)	 经典啊~            
(4星)	 少！女！心！            
(5星)	 赵雅芝真是漂亮            
(3星)	
(5星)	 是真好看            
(5星)	 这么多年后 依旧看得津津有味的 想来幼儿园的时候 白素贞那是我的女神啊            
(5星)	 最爱            
(5星)	 我爱赵雅芝            
(5星)	 赵雅芝和陈美琪！            
(5星)	 青城山下白素贞~            
(4星)	 时至今日，跟大家一起换台时候如果看到此剧还会停下来看好一会儿，并觉得演一段唱一段本就是电视剧的常态没有任何奇怪的。            
(5星)	 史上第一部同性励志剧！！！            
(NA)	 经典 看过N遍            
(NA)	 最早les片            
(5星)	 前年等一回呀            
(5星)	 美好的童年记忆～            
(4星)	 现在每次看见电视上重播还是会停下遥控器看上一下午。            
(5星)	 虽然现在看真是浑身起鸡皮疙瘩。            
(NA)	 那时候每天晚上九点钟就得睡觉，这部电视剧放到十点，让我痛苦不堪            
(5星)	 白蛇变身那是我经常错过的一段。白素贞生娃时候我紧张得一直上厕所。许仙太笨了我想抽他。法海那个老蛤蟆精。            
(5星)	 我爱死了的电视剧啊!!            
(5星)	 中国人比西方人浪漫多了。大经典！            
(5星)	 小学时期经典剧集啊~            
(NA)	 新你娘            
(5星)	 正在看 怀念啊            
(5星)	 记得小时候很喜欢白娘子娘娘            
(4星)	 叶童的鼻涕也印象深刻～            
(5星)	 那个时代的经典 那段时光的回忆            
(NA)	 赵雅芝姐姐当年38岁            
(NA)	 我喜欢赵雅芝            
(5星)	 最美好的回憶            
(NA)	 补遗             
(5星)	 到底看了多少遍?!            
(5星)	 回忆。            
(5星)	 四岁时开始看  以后每年夏天都要看  直到上五年级  当时白娘子在我心中就是神！            
(4星)	 小时候午睡所得            
(5星)	 千年等一回啊= =            
(5星)	 千年等一回。。哈哈            
(5星)	 唉為嘛好女人都是這種下場。            
(5星)	 ……又被我瞅到電視臺在播了……            
(5星)	 小时候围着床单学白娘子 边唱边跳 囧吧~~            
(5星)	 哦！一辈子最爱！~            
(3星)	 我是不想再看了，要吐了            
(4星)	 我喜欢小青怎么着！            
(4星)	 给童年带来无限欢乐和遐想的剧集，或者也可以算是一出爱情启蒙片了吧            
(NA)	 童年            
(4星)	 青蛇            
(4星)	 白娘娘啊白娘娘...我少年时期有多迷恋你...            
(4星)	 嘿黑            
(NA)	 童年回忆            
(5星)	 赵雅芝么没得话讲了            
(4星)	 我最爱白娘子了！去年好像还在央视看过，当时看他们唱歌超想笑啊，哈哈。不过确实是经典            
(5星)	 小时候的最爱……之一            
(4星)	 那些年月里的爱情            
(4星)	 其实我也觉得白娘子和小青是一对，许仙是来拆散她们的            
(5星)	 大爱            
(4星)	 记得小时候为了买这电视剧的磁带 和老妈当街撒野 可见一斑啊            
(3星)	 媚娘！            
(4星)	 诶，童年的关注点。            
(4星)	 那时太小了，一二年级，记得主角的音容笑貌，记得里面好几首好听的歌曲            
(4星)	 那时每天追着看。            
(3星)	 我喜欢小青            
(5星)	 开始追童年时所有经典电视剧            
(NA)	 我滴初恋情人            
(5星)	 怀旧经典!            
(5星)	 每个假期都放。。。            
(5星)	 i love i love i love this!!!!!!!!!!!            
(4星)	 我看过好多好多好多遍，赵雅芝很漂亮但我喜欢她真的不是因为她的名字和我一样…囧            
(NA)	 小时候很爱看的电视            
(NA)	 2008年。。仍然在电视上出没。。            
(4星)	 小时候最爱看了……            
(5星)	 是谁在耳边说爱我有多深。            
(5星)	 一看到就想再看一遍            
(4星)	 千年等一回~            
(4星)	 许仙骂法海：你这人怎么这么讨厌！你不好好修行做的你的和尚，你专管我们夫妻闲事干什么？！你不要跟我讲大道理，你讲的那些我都会背了！我不要听！            
(4星)	 还记得它伴随了我许多年。。现在我又想看了            
(NA)	 噩梦            
(5星)	 从来没有看过完整的情节            
(NA)	 旧时最爱咧            
(NA)	 ATV？？            
(5星)	 非常喜欢啊，美好的记忆！            
(4星)	 没二话的，经典！！            
(5星)	 诶呀呀。这个经典啊。最最经典的女同片            
(5星)	 童年的记忆，看到她们飞了起来。第一个镜头是烟雾朦胧的西湖白堤，白娘子和许仙的邂逅。汗。            
(5星)	 哎呀，小时候每次放假电视台都播、            
(5星)	 没看过这个真的有点愧做80后~            
(5星)	 我喜欢叶童            
(4星)	 我的妈呀 看了N次方            
(3星)	 有种在搅同性恋的感觉……其实随便看看还好啦            
(5星)	 断桥            
(5星)	 小时候的挚爱之一。            
(5星)	 我就是没办法不想起豆瓣档...            
(5星)	 小时候的爱啊..天天假扮白娘子..            
(5星)	 白娘子也蛮销魂的~~~ 事实证明自古以来搞les同样会有大团圆的结局~~~            
(5星)	 又一部童年回忆。            
(5星)	 寒暑假经常四五个电视台不同进度在播 你说能不给5星么。            
(5星)	 我的童年啊！            
(5星)	 小青和老渔夫的对唱，印象太深了            
(4星)	 。。。。。。。性启蒙            
(4星)	 云淡风轻一轮江月明            
(5星)	 女扮男的也是很有味道哦！            
(5星)	 雅芝啊            
(3星)	 娘子，我们来共唱一曲吧，啦啦啦            
(4星)	 我看过好多遍！            
(5星)	 看了不下十遍吧。神呐。            
(2星)	 当时觉得叶童演男人，这夫妻俩演的多别扭啊，就是同性恋。。。            
(5星)	 白娘子 许仙 小青 法海 《千年等一回》 雷峰塔......一个个耳熟能详如数家珍的名字。            
(5星)	 童年的梦            
(5星)	 每重播一次就必定再看一次，一共加起来都看超过10遍了!!现在也还是好喜欢啊!哈哈哈哈哈!            
(5星)	 小时候疯狂迷恋的白娘子~~            
(NA)	 至今我无法适应叶童是女人这个事实            
(5星)	 实在不爱许仙            
(NA)	 小时候就盼着一过年电视台播这个呢！            
(5星)	 我妈爱看的。。。            
(5星)	 想起好多童年的記憶。            
(5星)	 偷偷跑去邻居家看的             
(5星)	 集集不落。看了好几遍。- -|||            
(5星)	 老经典啦~            
(4星)	 影响很久很深的~~~还因为自己表演性质的那句：小青！不要管我！！随后白蛇继续发功~~挖哈哈哈~~            
(3星)	 童年暑假都看烂了            
(4星)	 。。。这部电视剧电视台播到我要看吐了为止，一直到我15岁时仍然是这家刚播完，另一家接着播~            
(4星)	 想想看，看的次数究竟有没有超过3遍？            
(NA)	 这部片子如影随形地骚扰了我到目前为止所有的暑假            
(NA)	 嗲得类            
(4星)	 小时候打发课余时间的扮演对象之一，总是很努力的将各种东西固定在发量不多的大头上，枕巾、床单全用上，翘着兰花指盘腿“修炼”...果然是前途不甚光明的人生。另外一个热衷的角色是月野兔...            
(4星)	 以前看过的            
(5星)	 太喜欢了!怎么办?            
(4星)	 儿时经典回忆！            
(4星)	 这图给的不错，以前我还收集过很多贴纸的~~            
(5星)	 世间无法超越            
(4星)	 千年等一回~~~~            
(5星)	 我和姐姐在一起看的 印象可深刻了~            
(4星)	 新白娘子传奇开创了女同的新纪元            
(5星)	 满满的回忆。初中下晚自习回家还能赶上半集看，回家路上能听见院子里人家在放，早早被父母赶去睡觉在床上能听见对面那栋在放。还陪着外婆，看了一遍又一遍，多年后重播，让她欢喜不已。虽然剧情拖沓到50集，但那是一段无限美好的回忆。善良的人都爱这部，其实台湾人很有爱。   H2 2011.10.9  回顾记录            
(4星)	 我喜欢媚娘。。。            
(5星)	 无与伦比的经典，赵雅芝，无与伦比的心中第一美女！！！            
(4星)	 青蛇和白蛇…… 叫一声姐姐，很多情愫都被忽略了            
(4星)	 永恒的经典啊            
(5星)	 我的童年啊！            
(5星)	 爱死这部剧了，看多少遍都不会厌。。            
(5星)	 想到年，我经常披个毛巾被在屋里装白娘子…            
(5星)	 看了数十遍，还是回味无穷。            
(5星)	 每年夏天看一遍            
(5星)	 绝对的经典回忆啊！            
(NA)	 我只是马克一下            
(4星)	 这童年的岁月。            
(5星)	 - -居然没标记...              
(5星)	 都怪你們！！            
(5星)	 以后放给我孩子看……            
(5星)	 千年等一回~~~等一回啊啊~~            
(5星)	 小学啊            
(5星)	 曾经我的朋友们弄了几个毛巾罩在头上学白娘子            
(3星)	 介明明就是搞同性恋嘛~出了2010年神曲《忐忑》            
(NA)	 现在还在播～生命力够强            
(NA)	 我看过的第一部lesbian电视剧            
(5星)	 想给个七星            
(4星)	 一看她脱皮我就哭。。            
(5星)	 啧啧，小时候披个床单就以为自己是白娘子了，端着碗看，口水都滴答到碗里了。我家娘子白素贞..长得好看又善良..十年修得同船度，百年修得共枕眠,眠眠眠。            
(NA)	 中国首部神话les片！            
(3星)	 应该是WW的吧 反正不喜欢许仙 = =            
(NA)	 基本看完了            
(5星)	 惊觉没有添加这个经典的片子            
(5星)	 经典~            
(5星)	 好怀旧            
(5星)	 我现在还在听里面的歌，哈哈            
(5星)	 啊啊啊啊啊！！！ 好喜欢飒飒啊！啊啊啊！！！            
(5星)	 我现在还一直看            
(5星)	 童年无数的记忆啊~            
(5星)	 姥姥最爱看。。。            
(4星)	 看过几十遍的神剧，里面的唱段琅琅上口。            
(5星)	 这是经典啊经典！！！            
(5星)	 嘻嘻            
(5星)	 台剧？            
(5星)	 哈哈哈哈哈            
(3星)	 记忆中的作品了，现在看来对这种演会就要唱的觉得不可接受啊。。            
(5星)	 有缘千里来相会 无缘对面手难牵            
(4星)	 插曲好听……            
(5星)	 记忆力的经典 那曲儿阿 那人呐 那场景            
(5星)	 一听到音乐差点儿哭出来            
(5星)	 有缘千里来相会            
(4星)	 好吧，这个必须有            
(5星)	 音乐剧            
(5星)	 永远的白娘子。            
(5星)	 国内最早三人LES剧？话说我恶俗了            
(5星)	 伴随我童年的一部片子；故事兼具传奇、亲情、爱情、人情冷暖，百转千回，不愧为经典            
(5星)	 第一次看是小1暑假来着            
(5星)	 暑假来了！！！！白娘子看起来哟演起来哟！！！！记得小时候最喜欢看小青和张公子偷情那集了&gt;/////////&lt;            
(NA)	 哈哈            
(5星)	 那些特技效果现在看来一点都不落伍!!!            
(4星)	 好美的一段孽缘啊~            
(5星)	 LES            
(5星)	 白蛇素贞            
(5星)	 啊。顶礼膜拜。            
(5星)	 经典啊。我的童年。            
(5星)	 为此而买的人生中第一盘OST磁带            
(5星)	 比四大名著印象还深刻的电视剧小时候            
(5星)	 经典啊啊经典            
(NA)	 最好的回忆就在看这部电视剧时。。。。。。            
(4星)	 哈哈小时候的回忆啊            
(5星)	 我为什么要把它翻出来标记~。。。            
(5星)	 能演一遍。            
(5星)	 童年的回忆了，每个暑假的期待。。。            
(5星)	 哈哈哈哈哈哈            
(5星)	 不知道看了多少遍            
(5星)	 你重温鹿鼎记，我就看看白蛇传吧！            
(5星)	 天天围着床单胡闹。。            
(5星)	 这个，不得不说，确实是属于同年的回忆～经典，而赵雅芝竟然还是这样的漂亮～呼呼～超凡脱俗的气质            
(4星)	 多少年我都以为叶童那丫是男的            
(4星)	 儿时的最爱。            
(NA)	 居然有这个。。。要加=-=~赵雅芝占了我快一半的童年阿~            
(5星)	 我也要再看一百年            
(NA)	 从小到大看过遍数最多的电视剧            
(5星)	 白娘子真是太美了~~            
(4星)	 恩~可以说是不会忘记的电视剧吧~最爱的其实是陈美琪的小青            
(5星)	 写台词的人语文功力很深厚。小时候囫囵吞枣听了就过去了，现在才发现句句都是经典。            
(5星)	 渡情            
(NA)	 小时候的记忆            
(5星)	 这个对我的人生来说太重要了            
(3星)	 以后在看到女人扮相永远都不顺眼。但说她是男人又不行。现在知道了，这叫小受            
(4星)	 很喜欢叶童！！            
(4星)	 中国没男人吗？ 啊啊啊            
(5星)	 1.赵雅芝是偶的女神咩~~~2.我小学毕业以前看过至少六遍...            
(5星)	 童年的挚爱  长大了后觉得叶童演技很牛B！！！ 那会最喜欢小青！！            
(5星)	 i&#39;m ok!            
(5星)	 千年等一回            
(NA)	 台剧经典            
(5星)	 好喜欢赵雅芝啊T T            
(5星)	 wowow            
(5星)	 每年暑假都要来一遍            
(5星)	 ！！！！！！！            
(4星)	 看此片是的春节时候，湖南台一天N集，难得的全家人一起看的电视剧，里面的剧情至今记忆尤新，白娘子可是偶心中的第一个影视情人~~~            
(5星)	 爱到骨头里            
(5星)	 小学的每一个每一个暑假 哎呀········育英旁边 白地板            
(4星)	 双鱼女+天蝎女            
(5星)	 童年分数.            
(5星)	 一辈子有爱。            
(5星)	 重温多少次都觉得是经典            
(5星)	 太好看了 现在还会唱内歌儿 兰花指就跟白娘子学的吧 啊哈哈            
(5星)	 我的美丽童年            
(5星)	 百合启蒙片。            
(5星)	 千年经典            
(5星)	 完美。            
(5星)	 MY GOD 这么多年了我才知道小青叫陈美琪 虽然我一直喜欢她~~阿姨级的人物了~            
(4星)	 其实现在想想讲话讲得好好的突然开始唱歌了，还蛮雷的。            
(5星)	 童年的回忆。            
(4星)	 饿。。。。这片可不是一般地搞笑哦~~            
(5星)	 不曾忘却的惊艳            
(3星)	 小时候还挺爱看，现在想想也是那时候没什么别的可看的吧~~现在才没劲看。。。            
(5星)	 国内首部拉拉人兽电视剧            
(4星)	 ！豆瓣推荐            
(5星)	 十年修得同床渡，百年修得共枕眠，千年修得白首同心，胡媚娘爱的那么奋不顾身却最惨。。。是否还要再修练500年才会更加深喑恋爱中的技巧。。。再修练500年，媚娘还会不会输的这么惨？。。。            
(5星)	 哈哈            
(5星)	 当年年年看，月月看，日日看。            
(5星)	 回忆确实没有东西可以取代            
(5星)	 没有他的童年时不完整的            
(5星)	 美好的蕾丝边故事            
(4星)	  我到现在还是在想为什么这么多对唱，难道当年流行这个            
(4星)	 经典！！            
(3星)	 受不了豆瓣的推荐....            
(5星)	 千年等一回啊~             
(5星)	 你小时候有没有披过被单扮白娘子？            
(5星)	 幼年的神作~前年还会发神经守着电视半夜2点来看~            
(4星)	 童年。★★★★☆            
(4星)	 杭州爱情故事            
(5星)	 印象里第一部50集这么长的连续剧            
(5星)	 虽然我没有这个的执念……            
(5星)	 爱你千遍不厌倦~            
(5星)	 千年等一回~~~~魅力不可挡，最喜欢里边的人唱            
(5星)	 小时候奇怪他们怎么一到重点就唱歌，听不懂歌词，后来觉得那是多美的形式啊！还有里面的特技，白娘子兰花一指，一道白光带着好听的声音            
(4星)	 千年等一回~啥啥啥啥`~~            
(5星)	 小时候最喜欢的啊            
(3星)	 这个，那个主题曲，我现在还会哼哼~            
(5星)	 百合……            
(5星)	 还是很经典的。            
(5星)	 我那时就有les倾向了。。。            
(5星)	 雅芝阿姨真是太美了。而且好像我妈妈。            
(4星)	 唉呀唉嗨呦            
(4星)	 印象较深的经典老片。            
(3星)	 童年时期看就是觉得变来变去好玩。现在看觉得伤感和为了这么伟大的感情感动。            
(5星)	 广西台直播ing            
(5星)	 哇，当时那叫一个万人空巷            
(5星)	 暑假..            
(5星)	 oo 我是碧莲            
(5星)	 小时候一直以为叶童是男人Orz            
(5星)	 小时候的巨爱啊，刚才看某台让新白演员重聚的节目，很多片段浮现，那时候拍电视的人比现在拍电影的都要敬业认真啊。            
(5星)	 到现在为止数不多完完整整看过的电视剧。小学大概看了不下8遍。里面的歌词和对白和表姐都有过笔记。当时是没有字幕的。全靠听力和速记……            
(4星)	 童年的回忆很美好~~官人每次都把我插得很好看...            
(5星)	 小时候看得最多的剧，和西游记一样经典            
(5星)	 白雪公主比我们白娘子差远了            
(4星)	 千年等一回。            
(4星)	 当年在家被逼着看的电视剧。。。经典            
(5星)	 豆瓣猜，我服了，别再给我推荐这个了            
(5星)	 小时候超爱！还经常自己办白娘子~插个毛线针披着丝巾在头上~把薄薄的被子裹在身上当白娘子的衣服···哈哈····            
(3星)	 我一直没明白为什么要两个女的演。。            
(4星)	 从小看到大！！！            
(5星)	 儿时的记忆             
(5星)	 小时候最爱看的连续剧            
(5星)	 小时候的最爱啊~            
(5星)	 经典            
(4星)	 我笑了。            
(5星)	 好想跟着片尾曲唱。。。西湖美景。三月天内~（不知道有米有错）            
(5星)	 小时候的最爱。            
(4星)	 以现在来看 恩  四颗星~            
(5星)	 哈哈哈            
(5星)	 绝对的经典            
(5星)	 经久不衰！            
(5星)	 完整的看过12-16遍            
(NA)	 longlongago            
(5星)	 此片千年等一回。            
(5星)	 推荐的原因是因为这片子太好玩了，这个片子经典到如今还有很多人用片中动画来做搞笑视频。虽然现在看来觉得有点傻傻的，我想电视台播放的时候，大家还是会停留一下回忆一下，哈哈。            
(5星)	 经典            
(5星)	 千年等一回，等一回啊~~~            
(NA)	 跟着主题曲翩翩起舞的时代。。。            
(5星)	 太经典的片子了。。。            
(5星)	 其实真是肉麻了点，恶心了点~但是小时候就爱吃这一套~            
(5星)	 经典的连续剧，为此还买了一盘磁带            
(5星)	 看过无数遍的电视剧，太喜欢了~~~呵呵~~            
(5星)	 有意思的电视剧，那布景和对话都那么假，但就是很吸引人的！            
(4星)	 叶童演的好            
(5星)	 选角很成功，表演无懈可击～            
(5星)	 补马克。。。。现在才发现居然是台剧。。。            
(5星)	 小时候每次看片头都老激动了            
(5星)	 同章老师一样 白素贞也只有一个 其他没法比 那个白蛇传滚蛋            
(5星)	 每看一次多懂一分。            
(5星)	 儿时的记忆。经典。            
(5星)	 啥也不说了.            
(5星)	 oh no。这么多年还是心悸。            
