http://movie.douban.com/subject/4804560/	爱在日落之前 อยากหยุดตะวันไว้ที่ปลายฟ้า
(NA)	 寒假里两个台轮番播啊这边广告了看那边那边演完了看这边 卧槽南乔实在是太帅了好不好啊！！！ 可是女主也是丑的一比啊！！！ 剧情又是弱智到家啊！！！  电视又不能快进很难过有木有！！！ 最后为什么为了这种傻逼的理由不能在一起！！！            
(2星)	 慢镜头呀慢情节，还是看了几集            
(1星)	 太丑了。。。。            
(1星)	 那个女主角简直丑的惨绝人寰，其实大家说男主角帅我也挺不理解的             
(3星)	 很无厘头的看完了            
(3星)	 个个都很美啊~~泰国人~歌也很好听            
(NA)	 男主很帅。            
(3星)	 陪奶奶看的。。。            
(3星)	 真的只是为了看帅哥。演技，剧情啥的都是浮云…            
(3星)	 公主好丑            
(1星)	 公主的大饼脸啊……只看了开头和结尾，实在是看不下去……            
(4星)	 完全是因为男主才看这部剧的。剧情还行，前三分之二不错，后面的三分之一完全是谍战枪战片，无语。。。女主既不漂亮，也不可爱，虽然剧中是公主，可还是完全配不上男主，男主身材好好呀！男主牺牲太多了，看着太让人心疼了！结尾俩人竟然没在一起，哎。。。不过这部剧的配乐还真不错。            
(3星)	 狗血的偶像剧，跑步时间专用            
(1星)	 女主角看得我心烦。。。            
(3星)	 哎……男主真的好帅啊！！！            
(2星)	 靠。。。。悲剧还敢拍28集！！！！            
(NA)	 是迪拉卢王惊艳到了我。。纯粹看男主其余一律快进~不然脑残编剧+弱智女猪叫爷怎么看得下去~日剧已落寞美剧太多季TVB又看得差不多了的时候，泰剧真是个surprise！Son的颜真是好看的没话说！            
(3星)	 唉，怎么说呢？且不说女主的任性看得人生气，整个故事剧情就像俗套的言情小说，看一两部尚可，多了就烦了= =            
(3星)	 难得不讨厌的肥皂剧            
(2星)	 男主很帅很养眼，女主很。。。剧情很。。。。o(╯□╰)o            
(2星)	 女猪脚是我唯一不想看下去的 “动力”            
(3星)	 导演眼瞎了么?街上随便拉个女人都比女主角强啊！！脸蛋丑身材差，还要难为Son与她假装深情对望，估计回家吐死            
(2星)	 泰国韩剧啊,,男主您大老爷们BB霜别涂那么厚好伐            
(2星)	 只有男主能看。。。            
(3星)	 结局好心碎。男一好像某人            
(3星)	 女主极丑，没有看的欲望了。            
(5星)	 冲着男主去的   很帅气  刚开始觉得女主好丑有点失望   但到后面可能化妆技术好了  变漂亮了            
(3星)	None
(3星)	 两个长了配角脸的男女主~~~男主偶尔有点男主的气势~~女主完全就是泰剧中标准的女坏脸么~~男主的身材蛮好的~~各种脱~~就是略瘦了一点~~总感觉长了一双狐狸的眼睛~~~~故事么~~不外乎家族恩怨~~朝廷变阵~~英雄就美~~也米有特别出彩的地方~~            
(5星)	 爱 很大            
(NA)	 南乔挺帅，那雅一点儿都不好看。            
(5星)	 尽管只有电视里能发生的事还是会被感动。。。            
(NA)	 南乔            
(NA)	 男主角帅！扑克脸            
(5星)	 这个五星是打给男主角son的，帅的惊天动地，全剧最大亮点。花痴女不可以错过。            
(3星)	 男主角帅，就凭这点给三星啊，剧情实在是傻缺。            
(4星)	 挺喜欢男女主角的搭档的。最爱son！！！            
(2星)	 目前看过的最丑的泰剧女主            
(3星)	 喜欢男主角哈，不过戏中女主角是公主，遇到事情竟然却只是哭鼻子，大煞风景            
(1星)	 相信我没有比这更烂的电视剧，国产笑了!            
(3星)	 男主不错~            
(3星)	 男猪脚很深情。            
(4星)	 南乔 好帅啊            
(4星)	 为了男主角怎么也要打个四星啊            
(3星)	 天天上闲得没事我看安徽台的这个也还行吧，女主角没有大家说的那么难看吧            
(4星)	 我终于在2012年第一天早晨看完呢。哎呦呦时候沉浸在一下玄幻的言情小电视剧里花痴花痴还是很美好的么。可是我被剧透骗了么，公主和南乔还是没有在一起。么么么么么~            
(3星)	 11.7.27 安徽台在播看了一集，在网上看了大结局            
(3星)	 唷，南乔~            
(4星)	 冲着男猪给四星            
(2星)	 恶俗+男女猪脚曾的是不堪入目丫！！！！有没有！！！！！！！！            
(5星)	 愿时光凝结            
(1星)	 伟大的编剧直接一记左勾拳把我击倒了            
(4星)	 son grand 超萌哇、            
(3星)	 桑坤你怎么不把娜雅公主给杀了…相对男主的扑克脸我觉得桑坤将军更有型！            
(4星)	 男主角太帅了，我花痴的不行了，哎。。。我还是喜欢大团圆的结局，这个结尾伤感的很。。。喜欢son            
(NA)	 南乔，你的名字真好听。            
(3星)	 三星完全是给男主的            
(2星)	 从头到尾看不进去。            
(NA)	 保镖与公主的故事，结尾有点小小的伤心。            
(2星)	 为了son看的 但是真的很失望            
(2星)	 幼稚!            
(NA)	 我竟然把它看完了！！看来，演员的相貌的确很重要……            
(4星)	 怎么可以就这样结束了呢！！！我一直以为是南乔和娜雅幸福快乐的生活在一起了啊！！！！啊啊啊啊啊啊啊！！！！！！！！！！！郭爷好难忘这个电视剧啊！！！！！！！！！！！！！！            
(2星)	 情节一般。女主的表演太夸张了，看得我很欢乐。son在这个片中的眼神也太灵活了些，老让我想起【新白娘子传奇】里的宝山 = =            
(3星)	 全为了男主的小模样~~~ 有点像李民基啊 咋看咋像小受一个            
(4星)	 主要是看帅哥            
(3星)	 没完整看，不喜欢女主角，剧情也一般，男主角还行            
(5星)	 给son的，背枪带怎一个帅字了得            
(1星)	 演技神马的都是浮云。            
(NA)	 这只男的好帅= =            
(NA)	 堕落到开始看泰剧了有木有！！！             
(5星)	None
(1星)	 看了半个小时不到。很坚定的来打一星。！            
(NA)	 为什么要配一个难看任性没脑屎的女猪脚~！            
(3星)	 只为花痴男主而看，但也没看完，太狗血了。            
(5星)	 第一次看泰剧~真的很出人意料，很好看的电视剧，很感人            
(4星)	 Yuke Songpaisan无比帅啊            
(4星)	 豆瓣上这部剧还真不好找啊，我度娘了才知道，嘿嘿，这两天真是看泰剧都看晕了，我和我妈我外婆一起看，边看边说，你说多好耍来的，这个男猪典型的小受型，反正把我笑惨了            
(3星)	 男猪脚太帅了！！！            
(NA)	 狗血的剧情，看完的动力完全是因为男主长得很帅            
(5星)	 男猪脚好帅。。等到最后一集终于男女猪脚接吻鸟，还是那种一动不动的吻。orz~如果节奏能再快点就完美了。。看来看去还是咱们的剧集内容不注水。。就是不好看            
(NA)	 骂了隔壁的 女1残成这样 吓死爹了  算泰国精品了么 真的么！！！！男1还不错！！！ 和女1一起  毁了！            
(4星)	 完全冲着son去看的。保镖什么的很有爱！剧情也不错。怨念结局 = =。。。。            
(3星)	 年龄看错了。其他都好吧。陪我妈妈和姥姥看的。她们就喜欢看这种电视剧。觉得歌挺好听的~            
(3星)	 女主角的长相个性都不是我的菜啊。            
(4星)	 真是太帅了            
(3星)	 很狗血的剧。可为什么我还是看完了呢。            
(5星)	 我喜欢SON。！            
(3星)	 就是在安徽卫视蛋疼的看完了            
(3星)	 为了帅锅son....            
(4星)	 四星全是给son，其他全是浮云！            
(1星)	 男主角真的是太帅了，原本以为结局会有奇迹，可是…            
(NA)	 真的太幼稚了这个片子！完全不能跟爱情洗牌相比！            
(3星)	 女主还是唱歌跳舞更好            
(NA)	 陪妈妈 安徽卫视            
(3星)	 泰国人感情好复杂..            
(2星)	 只为看男猪！！！            
(NA)	 真傻逼 - -            
(4星)	 男主角叫son！！！超级帅啦。。。萧敬腾和吴建豪的合体，哈哈哈。虽然木木了一点，呆呆了一点。公主虽然是个长脸又胖，但是欣赏的是她对他的执着和在意的真实。            
(3星)	 男主是我觉得目前为止泰剧最帅的，才支撑我把剧看下去的            
(4星)	 泰国片真不赖！！！男主角帅！！！            
(3星)	 son真够帅的            
(4星)	 万能无敌男主~~我现在对单眼皮男生么有抵抗力！            
(3星)	 女主不够漂亮            
(3星)	 特么的结局怎么这么炯！人家好端端的男孩，怎么最后就一个人啊！懂不懂规矩是用来打破的啊！！！            
(4星)	 Son!Son!Son!            
(4星)	 只为小帅哥SON            
(4星)	 老媽我幫你看掉結局了。分數是給我媽特別喜歡的男主角= =            
(NA)	 男主角活像一个人。。            
(5星)	 虽然虐~但扣人心弦~让人很有追下去的欲望~歌曲好听~            
(NA)	 觉得son和短发的vill有点像            
(NA)	 男主角不错~            
(3星)	 我们一家都在看            
(3星)	 假死假受伤、、            
(5星)	 son！两遍了啊。。            
(3星)	 因为son才看下去            
(3星)	 男主角都比我小了。。。诶~~~            
(3星)	 一般，没看完            
(3星)	 son演技大进步！            
(4星)	 son的演技有进步哦~期待他更多主演的作品~            
