http://movie.douban.com/subject/5282458/	胜者为王4争霸
(3星)	 看一半放弃了，前半部挺好看的，jack爸爸死掉后就无聊了，曾江果然是老戏骨            
(5星)	 主题歌好听，男女主角够劲，就是配音。。。麻麻地            
(4星)	 张智霖gg还是那么帅，Ada越来越美了~~            
(4星)	 有那么一点年轻时看港剧的情怀。            
(2星)	 1) 看了四分之一，不会再看下去。 2) 陈逸璇 (陈苑淇) 很少人提及，我觉得她在该局完全盖过蔡少芬。起码我会期待她出场，而不是蔡少芬。 3) 虽然我知道原因，但还是不得不抱怨一下，给蔡少芬配音的那厮声音真怪。            
(2星)	 漏洞太多，当观众是傻子啊            
(4星)	 进入完全HC模式……王宗尧啊啊啊！！！            
(4星)	 晚上就看这个了。。。            
(5星)	 王宗尧太可口了。。。。大仙不是人，是妖精。芬女演技提升了！！！意外还看到duncan，傻强的胸很杀！这个剧真不错啊，追定了！            
(3星)	 落了4集了果断弃，不算太难看就是bug实在太多了            
(3星)	 大仙大仙大仙            
(4星)	 张大仙。逆生长？            
(4星)	 ATV 现在的港剧太多大团圆结局了 这部不错 ATV的剧不错            
(3星)	 男帅女靓，情节就不重要了            
(3星)	 三星半。男配稍稍有些嫩，ada配音太欠扁。看完发觉chilam的魅力虽然不减，奴家心水经已不在。。。赌术部分还是太少，灭新鲜招术            
(3星)	 越拍越烂,快看不下去了,完成任务            
(4星)	 大仙儿依旧很帅~樊亦敏的扮相很赞！目前追到第10集。            
(3星)	 我现在真的宁愿看美剧了，你们可以努力一点了，不要再拍这种浪费人力物力的东西了。            
(4星)	 大仙太靓仔了，阿Jack也不错，就是蔡少芬非常败笔！！！            
(3星)	 11.6-11.15 赌片~好像在看10几年前的港剧~ | 张智霖真是没怎么变~十仔就跟当年的子建差不多~ | 看完后去加了杜汶泽的围脖.........            
(4星)	 好中意你啊张智霖            
(4星)	 张智霖好帅啊            
(3星)	 爱你们美丽如诗            
(2星)	 受不了蔡少芬的配音。            
(5星)	 好港味~~~            
(3星)	 有些拖沓            
(NA)	 杜生演烂仔真是拿手……            
(NA)	 蔡少芬你可以再丑点吗。。。            
(4星)	 因为有喜欢的霖霖~            
(2星)	 ATV《胜者为王2010》，张智霖+蔡少芬，TVB经典搭配，去ATV打了圈酱油，看到第二集我终于忍不住跳到了最后一集，看完后也差不多知道之前30集是怎么回事了，真是奇迹啊～～～            
(4星)	 亚视很久没出佳片了            
(3星)	 依旧顶着那张数十年如一日的脸。。。            
(5星)	 我愛爆了 &#39;微笑原理&#39; 有賭未為輸. 我覺得我就是十仔耶 hassells bridge 2010.12            
(NA)	 张智霖好帅！！！！ 让我有点赌瘾呀~~~ 梭哈的感觉！！！！有很多台词都好有哲理！！人生就是一场赌局！！            
(3星)	 张智霖先生 您是怎么保养的 腹肌一定是坚持运动的结果 那脸呢 其实渔夫的故事可以有很多版本 如果在现实中 我也有一家波记 该多好 每天和老公开店经营 多有乐趣：）            
(NA)	 张智霖帅得真是惨绝人寰啊· 都快40的人了~啧啧            
(4星)	 Chiliam 很帅 王宗尧演的很好~  同花顺最好啦~            
(3星)	 張智霖的酒窩無敵            
(3星)	 跟不了，蔡少芬疯子似的            
(3星)	 我对这种题材确实不感兴趣、            
(5星)	 这部剧除了让我看到王宗尧，还让我看到了。。。推销员之死，噗哈哈！坦白说，真的不错。。。故事和植入都做得很好            
(4星)	 学白话            
(3星)	 张智霖嫩的没天理啊            
(3星)	 太纠结了～            
(5星)	 最原味最经典的港剧，就算剧情俗套，我也爱。            
(3星)	 ATV缺钱啊            
(NA)	 大仙太嫩了。瞬间萌了王宗尧            
(4星)	 为了小智智看的此片。            
(2星)	 男二号不错            
(3星)	 这感情纠葛，怎么很有韩剧的味儿捏~            
(4星)	 .....            
(3星)	 很久没看张智霖的戏，乍一看觉得这娃长得真比同龄人嫩，但一跟自己比，比如当年的澳门街，就觉得那时的稚气今天再怎么装都不复存在。Ada的花顺演得挺正，不过那该死的配音就很让我抓狂。总体而言亚视的剧本比之TVB较弱，若非演员还算个看点，真会半途而废。            
(4星)	 张智霖帅啊            
(3星)	 经历前的禁锢，经历后的坦然。            
(3星)	 十仔啊 点解你会甘靓仔噶!!!            
(4星)	 为什么大多数连续剧，都有一个很吸引人的前奏，和让人觉得即将高潮迭起的峰值，最后等到的却总是拖拖拉拉的后半部。最近ATV很有想法呀。            
(3星)	 国语配音太难听            
(2星)	 越到后来越SB            
(4星)	 大仙逆生长了            
(4星)	 可惜最后花顺没有和细雷先生在一起细雷先生好帅啊哈哈哈故事不够饱满 但是作为打发时间还是很好的如果能像伊甸之东把时间拖长点也许会更好吧            
(4星)	 挫败 成功 重要么 得失不及快乐 赢出再多 付出更多 赢得了风光 但避不过劫祸 满足虚幻 风云一过 光影流逝 留下了痛楚 赢出再多 迷失更多王者那哀歌 日夜挣扎未能回航 一步行错 到落幕 亦无助 贪嗔怨 难放下 永远的蹉跎            
(4星)	 不老的大仙哇！            
(5星)	 看到后面有点失望，            
(4星)	 张智霖你怎么还是那么粉嫩啊。            
(3星)	 国语不行。。- -            
(5星)	 非常喜欢哈~            
(3星)	 花顺：赌大小有一半机会，玩纸牌也可以算牌，老虎机可以靠运气，我跟你在一起我每一局都输，我不玩了，我不赌了            
(4星)	 还不错~~~挺舒服的~~~就是剧情简单了点~~~没有看预告想的那样复杂~~~蔡少芬我还是喜欢栋笃神探里的她~~~这里的她有点太爱一个人了~~~肯这样被伤害~~~有点傻。。。。。最后结局情理之中吧~~~            
(5星)	 很好看~!            
(4星)	 亚视最近流行炒冷饭。            
(4星)	 说实话剧情不扎实，但是大仙还是大仙啊！            
(4星)	 大仙真是个不老的传说啊~            
(3星)	 在ATV的剧里发现了一个很有韩剧气质的男二。。。女二阿菲也8错~~~  关于赌，不是很精彩。。。            
(3星)	 这个好像创世纪这种套路哦。不得不说，我以为是怀旧剧。一看真的是新片！！！张智霖还是很帅。ADA也很棒。            
(3星)	 喜欢张智霖！            
(NA)	 一部看下来。。感觉最成功的人物就是雷亮。。。。。。。            
(3星)	 张智霖貌似有不老仙丹            
(5星)	 难看            
(4星)	 ATV爆发了……我也爆发了……            
(3星)	 男二很帅            
(NA)	 张智霖，蔡少芬，杜汶泽，喜欢的角色很多，但也被剧透太多，最终弃之。            
(3星)	 大仙万年娃娃脸，Jack也不错喔。。            
(3星)	 张智霖一如既往都帅，ADA的声音和演技都太用力了些。虽然作为ATV，not TVB 出品已算惊喜，但选题、故事情节都太老套。这样的题材ATV10年前已经演绎得很好，咋一点进步没有呢？亮点是王宗尧饰演的JACK            
(5星)	 张智霖 蔡少芬 怎么能不看呢！            
(5星)	 这绝对是我今年看过的最棒的港片。我是说从剧情到演员各方面。            
(4星)	 让我想起当年的文初哥哥            
(5星)	 3/4弃 明明是喜欢的题材 这是为什么呢。。。。            
(4星)	 张智霖还是这么后桑。。。            
(NA)	 好看，我迷张智霖            
(3星)	 ATV最近很给力啊~~~~|||这个题材已经讲不出什么新鲜的故事了，无功无过吧~反正还是把这两年的TVB甩出不知几条街            
(3星)	 两个楠竹RP都很有问题啊，为什么chilam和ADA的组合一点也不萌，反而和男二的萌点多一点……这是为毛啊为毛            
(4星)	 我挺喜欢男二啊。。            
(3星)	 喜欢jack和花顺的戏份~ 心水 。三星全给了这~ 剧情是越来越白目了，bug太多了。结局太TVB！！！            
(5星)	 中意类型            
(3星)	 胜者为王，好久不见- -            
(5星)	 发现王宗尧一枚~chilam最棒啦            
(3星)	 大仙 真是帅到没边了            
(3星)	 太狗血了            
(4星)	 永远的张智霖~~            
(4星)	 这个片子和赌博没什么关系，是爱情片。。。。。。            
(4星)	 喜欢大仙这种大亨造型 帅气 一切全是为了看chilam！！！            
(2星)	 智商超级低的大烂片，情节前言不搭后语，bug层出。            
(3星)	 哦哦哦这个之前看的，张智霖你怎么不老的~~~！！            
(3星)	 张智霖好嫩啊~            
(4星)	 没太在意赌博戏，但戏里那些感情线中的小细节欢乐又感人            
(2星)	 就凭录音解决，结局太不高明，坑爹。            
(2星)	 略胡闹            
(4星)	 张智霖很帅很帅！            
(3星)	 剧情很拖沓啊。。            
(4星)	 Ada和张智霖也可以搭戏，呵呵，感谢ATV            
(3星)	 只有最后出现的爱风4可以说明这是2010拍的片。其他和小时候看的港剧没有分别            
(4星)	 最后一场戏太敷衍了吧？这么轻松就赢了？还以为会看到一场很豪华的赌王对决，不免有些失望。不过以澳门和很多著名的赌场为背景，看起来很亲切。            
(4星)	 题材有点老，亮点是Jack :P            
(3星)	 剧情很不合理。            
(1星)	 蔡少芬吵死了，王宗尧过分呆鸡            
(2星)	 结局绝对低智！单凭张智霖的手机录音，这可是80年代的桥段，徐少强的江湖经验哪里去了！？            
(4星)	 张智霖和蔡少芬的演技是越往后越显现出来的，剧情也不错，刚开始墨迹了点，后面很精彩。才发现原来沈凤鸣是樊亦敏演的，年轻时还不喜欢这个演员，没想到老了反而演起戏来更有味道了。            
(3星)	 看到32集就直接40集大结局了，sorry····            
(4星)	 挺好的 张智霖挺好的             
(4星)	 兜兜转转 一个渔夫的故事......            
(5星)	 王宗曉很帥  。            
(3星)	 败在后半部分            
(5星)	 赌片我喜欢的。每个人都很悲剧            
(4星)	 大仙逆生长了            
(4星)	 开头有点像泰国那个电影“小情人”；人想赢的欲望真可怕，不过从一无所有到赢得全世界应该算是各种经历中最刺激的了吧。            
(3星)	 群众演员不专业，手机太土，说明没有钱。好的是背景现实多了            
(3星)	 剧情一般            
(4星)	 挺好看的，王宗尧和张智霖都很帅！片头曲唱的好~            
(3星)	 后面就有点假了。结局太草率。            
(NA)	 这种老爸好可怕。。。            
(4星)	 怎麼說呢，這是我第一次追港劇看。挺好。PS，我喜歡王宗堯。            
(NA)	 精彩啊            
(4星)	 挺好看的！蔡少芬和张智霖演的都很到位            
(NA)	 没有想像中的好看，主要是冲着两主角去的            
(4星)	 我一直觉得应该和JACK在一起，            
(3星)	 很老套的剧情，很纠结的剧情，喜欢两首插曲            
(5星)	 三个非常喜欢的演员 初哥哥太帅了 阿泽太搞了 虽然Ada的配音是败笔 但是我撑下来了= =             
(5星)	 张智霖 真的好帅~            
(4星)	 挣扎了一下要不要给4颗            
(3星)	 再真的好少看TVB            
(NA)	 纯粹为了大仙去看，事实证明，男配是让人爱的，我果然是配角控对于这种角色，大仙应该驾轻就熟了，其实我反而比较期待大仙演反角，电影绝色神偷里的惊鸿一瞥，我绝对相信他可以演绎亦正亦邪甚至坏得腐骨的角色可惜ADA的粤语是配音，难怪我听了感觉不对，看港剧那么多年，那几个演员的声音已经熟了            
(4星)	 40岁熟男的男孩气PS 可爱的杜汶泽            
(4星)	 剧情神马的都是浮云，张智霖和杜汶泽就该给5星！！可是粤语版里蔡少芬的配音太恶心，扣1星、、            
(5星)	 张智霖和蔡少芬都是优质偶像派的，加上杜汶泽和亚视压箱的制作，想不好看都难。。唯一不足就是蔡少芬的无线合约使得她不用使用自己的原声播出，配音实在是无法让人欣赏啊            
(5星)	 好喜欢 童话顺啊            
(4星)	 一颗星是给张智霖和蔡少芬地。。            
(3星)	 喜欢蔡少芬，不喜欢里面的十仔，剧还是挺好看的，就是所谓赌术感觉有点假。不过影视剧就是这样啦。            
(4星)	 不错的剧集，阵容强大得很，情节设计得也不错，跌宕起伏，一个高潮接一个高潮。不知道为什么收视率上不去。所有人的表现都很赞，樊亦敏、徐少强、陈观泰、曾江、杜汶泽。希望Ada与Chilam成为银幕好拍档。            
(NA)	 拍的不错的，人生其实就像是一场赌博，看完以后有些感触，知道自己想要什么，该珍惜什么！            
(3星)	 剧情只能说一般般 ，在赌片中不算出彩，不过大仙的作品怎么都要支持的，大仙你真是太帅了            
(3星)	 破片，要不是最后反派的话，就没星片啦~输不是因为贪心，是因为包袱太多。。。真心帅啊！            
(4星)	 Chilam十分靓仔！！！            
(4星)	 喜欢张智霖！演技不错！当他赢得了全世界的时候，却失去了一直默默陪伴在他身边的爱情！            
(3星)	 纯粹支持Chilam...            
(4星)	 赌术的镜头并不太多……没有一般赌片看着惊险……张智霖这么多年都没怎么变……Jake看着特别像蒋权……开始还以为蒋权的儿子呢……看来看去还是兄弟情最感人……            
(4星)	 大仙就是全部的理由            
(3星)	 剧本身很多缺点懒得说了,本来也是去看大仙的嘛=W=            
(4星)	 蔡少芬老了 演小女生没有说服力            
(4星)	 看的就是张智霖            
(4星)	 张智霖是怎么保养的？简直吃了防腐剂！ 比年轻的时候还帅还有型~            
(3星)	 香港电视剧就这么回事吧            
(3星)	 除了蔡少芬的声音不能忍，其他都不错哦，后面比较精彩            
(3星)	 没看完            
(3星)	 配音太特么恶心了！！！！ATV脑子是不是烧瓦特了！！！！            
(5星)	 蔡少芬是个美女            
(4星)	 男二疯了我就看不下去了            
(4星)	 十仔！！            
(3星)	 太长了~为了张智霖还是看了~            
(3星)	 赌徒的世界啊            
(3星)	 挺喜欢杜汶泽的，剧情还凑合，缺点是没有美女，唯一算是美女的还演了个大妈，那个女二号叫什么不知道，反正长的实在……            
(4星)	 蛮好看的。。张智霖真是不老颜啊            
(5星)	 讲赌博的 我超爱的 张智霖实在是帅的不行 杜汶泽在里面也很可爱啦 剧情还算不错哎~            
(NA)	 其实我是来看杜汶泽的，但还是只看了个几集，一年后都没接着看下去的勇气，就决定弃了，            
(4星)	 某段配乐是抄医龙的吧            
(NA)	 atv还是不及tvb            
(4星)	 棒！            
(3星)	 其实是烂剧 只为看澳门            
(3星)	 演员很喜欢。但是Ada演的不怎么样。剧情太老套了            
(4星)	 我是冲着我们家智霖才去看，他还是依旧那么帅气，和蔡少芬的配合，真心觉得天衣无缝，如果是为了剧情看的话，可能就没那么好了。            
(5星)	 主要是张智霖太帅了，太帅了，太帅了！！！            
(4星)	 看这部电视剧主要是因为蔡少芬和张智霖的缘故，说实话，剧情不咋地，而且赌的场面也不是很多，总是纠缠在感情的问题上。不过也有惊喜，哈哈，我发现了这首歌曲，Wonderful Tonight，真的好好听，也很有力量，很适合唱给自己喜欢的女孩子听            
(4星)	 冲着蔡少芬去的，还不错的            
(4星)	 还行吧..没看出来这部剧居然是2010的新剧~            
(4星)	 张智霖帅啊！！！！喜欢~            
(4星)	 我就是冲着张智霖去看的            
(2星)	 狗血的剧情，在不是我心目中的胜者为王了！            
(NA)	 张生好帅~            
(2星)	 凑合着看...            
(4星)	 大爱张智霖的开始！！！            
(4星)	 7            
(3星)	 很一般 我只是感叹智霖蜀黍怎么都不见老的 那皮肤紧致的...            
(3星)	 挺好看的哈。张智霖完全看不出是40岁咯！比较遗憾的是蔡少芬不是原声，配音唔好听。。。            
(3星)	 华丽的男女主角！            
(5星)	 非常不错            
(3星)	 前面还不错，后面越看越没劲            
(5星)	 比TVB今年的大部分剧集都出色，以前不是很喜欢张智霖，看完这部改观很多，真的是几十年不变的英俊啊，把赌片和偶像剧结合，很有看头            
(3星)	 基本上是跳着看完的，演员演技其实很棒了，但是剧情~~~~~~~~            
(5星)	 智霖哥哥的，嘿嘿，必看            
(3星)	 不喜欢chilam这里的角色啊，死了太多人，这个结构布局有些古龙味道。            
(4星)	 本来就是冲着蔡少芬去的：）剧情基本无视了，让我感叹的还有张智霖永远不老的娃娃脸。。。。            
(4星)	 8好意思 少有的没看完 暂时也不太想看的            
(3星)	 打發時間的話還可以~~~話說這劇情會不會也太老套了？由頭老套到尾，不過覺得亞視還是有誠意的，起碼請來不小好戲之人！但爲什麽好好的ADA明明會說廣東話，偏偏要搞個配音呢？想不通~~            
(NA)	 打三颗星完全是给以前的胜者为王系列面子，不看这部，我都忘了陈庭威演的石志康当年有多帅。            
(5星)	 情节起伏~~大仙演技绝了~            
(3星)	 OH   我还没看完的说            
(3星)	 一般般，看了5集，不敢兴趣。。。Chilam你都39岁了，还那么童颜！            
(3星)	 故事很俗套的，我看的粤语版，但是还是觉得蔡少芬声音是配音，听着怪怪的，然后就是很喜欢jack，最后想问jack真的精神分裂了？            
(4星)	 看了开头结尾，为大仙。ada的配音真受不了，而且她真是快瘦到干了哎...大仙帅就不用说，男二电到我了啊啊！！！            
(3星)	 前面很好看，后面~~就算了吧。            
(4星)	 其实很不错，但是色调太老香港，不想看下去            
(NA)	 虽然很喜欢张智霖 也很喜欢蔡少芬 可是...可是为神马这部剧我看不下去呢？            
(4星)	 他们怎么都不老的？            
(4星)	 虽然更爱Jack，但大仙十年如一日水水的颜还是不容忽视。            
(4星)	 大仙还是那么帅~~            
(3星)	 张魔童一点都不老...杜汶泽演技不错...剧本身很烂...            
(5星)	 好喜欢Jack            
(NA)	 娃娃脸的男人咋就不显老呢。。。            
(4星)	 还行吧~~~张智霖怎么还那么年轻？！            
(4星)	 张智霖+蔡少芬。大爱啊。亚视就是善于创造底层平民飞跃到上流社会，男的变邪，女的更纯的心路历程。杜汶泽很搞笑。男二号再帅点就好了，只是个男模的人肉背景感觉。还有蔡少芬明明会粤语搞了个那么咋咋呼呼的粤语配音，不讨巧。张智霖连邪恶起来都迷死人啊。清澈的眼睛，迷人的笑容，挺拔的身形。            
(4星)	 多一星给三位男角，小时候一度觉得蔡少芬好漂亮，现在嘛，真不觉得她怎样，演技还是不错滴！            
(3星)	 讨厌十仔的性格......每次她们结不成婚我就开兴.....jack多好啊......杜汶泽演技也太好了...看后有点后遗症.....看到牌就恶心......            
(4星)	 续写经典            
(4星)	 感觉里面的人思维都很幼稚            
(5星)	 chilam好鬼型~~~~~~~~~~~~~~~            
(4星)	 张智霖，蔡少芬，都是我的菜            
(4星)	 只为大仙和jack~~~            
(NA)	 连樊亦敏也到了演二奶的年纪了......            
(NA)	 沉溺于赌博的人多，懂得收手的人少！            
(4星)	 一部好片有时候是被剪辑给毁了的！            
(4星)	 主要是有我喜欢的人~            
(4星)	 看了之后好想show hand            
(4星)	 初哥哥又回到澳门了。            
(3星)	 完全冲着初哥哥来的···其实拍的挺烂的不是演员的问题··是制作的问题······TVB胜ATV是有道理的···            
(2星)	 随便看看。            
(4星)	 为毛十仔那么好骗啊~~话说好人智商不高这点真让人着急            
(4星)	 蔡少芬的粤语为什么还要配音　相当之不理解张智霖太帅了．            
(2星)	 張智霖與蔡少芬等俊男美女確是賞心悅目，杜汶澤更是其一亮點，但仍不足以填補三流劇本的先天缺憾。劇集開首雖欠張力，但仍算不俗，可以追看，可惜到後半便開始胡來，多方面的問題令全劇演變成一盤散沙，結局只能算是公式化地草草了事。            
(3星)	 JACK            
(4星)	 4星给我喜欢的男一和男二 后期剧情狗血起来             
(4星)	 十仔，张智霖为毛不显老呢。。            
(4星)	 精彩            
(5星)	 张智霖太帅了！            
(3星)	 雷Jack挺帅的~            
(4星)	 atv现在拍的剧比tvb好看了            
(3星)	 情节太跳，不过张智霖真是太帅了！            
(4星)	 张智霖还是这么帅呀！            
(4星)	 为了蔡少芬才看这部剧的~结果蔡少芬还是配音，实在看不下去了，本来就看不懂赌片！唉            
(3星)	 编剧不合理 但总归是一部长剧            
(4星)	 不错            
(NA)	 幸福就是这么简单。最后一幕两人并肩在沙滩上席地坐着，简直就是超级浪漫~~            
(4星)	 智霖你怎么都不变老~阿芬你怎么傻得可爱~~~认识了新人男二~~主题曲不错            
(2星)	 终于看完了，裹脚布啊裹脚布，鸡肋啊鸡肋。。。怎么看都不是2010年新作品啊！！！ 唯一亮点还是尖头啊～～            
(4星)	 我喜欢童花顺和雷杰克在一起            
(3星)	 要不是蔡少芬和张智霖啊~~哎，还真看不下去……            
(4星)	 搞笑不失赌片的气息.估计剪了超多片段吧,主要是和TVB争收视.剧情太紧凑了,不觉意就结局了            
(4星)	 王道的下场很吐血，有些剧情突变很让人苦笑不得。正看的伤心时又冒出笑点，好无奈啊！            
(4星)	 曲折重重，跟着揪心，结尾却草草，真遗憾。            
(3星)	 编剧还是有本事编的莫名其妙。得癌症的人癌细胞消失了，阿门，让这个医学技术变成现实吧。 其实我觉得花顺和JACK在一起更好，但十仔如果最后连花顺都没了，他就真的什么都没了。            
(3星)	 过了那么多年，张智霖依旧很帅很可爱。不过王宗饶也很帅。我更喜欢看蔡少芬演聪明的女人。剧情有些崩溃，虎头蛇尾的。            
(1星)	 这片，我纯粹是在看人的。。。张智霖有不老仙丹么？王宗尧好帅气~~            
(4星)	 在TVB烂片横出不穷且占据了屏幕半壁江山的年代，ATV这么一部厚道的连续剧确实让人眼睛一亮，剧情和演技都无可挑剔，让人一看就上瘾，唯一不足之处就是赌博的花样比起前面三部实在太少了，而且那个连续三代继承下来的热血出场音乐不见了，真是可惜。            
(3星)	 追不下去了，弃了            
(5星)	 我爱这结局            
(3星)	 因为大仙才看的这剧，确切的来说，是热切等待期盼该剧的首播。但令人失望的是ATV出品。十仔和花顺还有杜汶泽的演技都是纯熟的。瞎的是编剧，很多漏洞，很多莫名其妙，都把观众当白痴了。补充一句，Ada在剧中造型真的很乡村。整个剧的衣着感觉年代都有点久远了。包括凤鸣姐和十仔。。            
(5星)	 这个好看！正在追呢~就是想不通阿菲长的这么抱歉为什么在里面。。。惨不忍睹啊！发现我狂爱杜汶泽啊哈哈            
(4星)	 剧情很好啊，，很怀旧的            
(NA)	 大仙越来越年轻了            
(4星)	 樊亦敏真的很漂亮，喜欢沈凤鸣这样的女子~            
(5星)	 呵呵 TVB的连续剧还是很多值得一看的近来从PPS上看完了 的确不错哦            
(4星)	 比TVB好很多的剧情，张智霖，喔            
(4星)	 不喜欢蔡少锋            
(4星)	 Chilam最高~~            
(3星)	 还蛮好看的，不过没看完，王宗尧很帅啊            
(NA)	 赌赢了世界却输了你们            
(3星)	 张智霖缺点霸气 看似一部赌片 实则感觉是反赌            
(4星)	 合我口味            
(4星)	 好吧，我最近看港片大多虎頭蛇尾，無疾而終            
(4星)	 慢热化剧情，前边剧情太拖沓，后边终于紧凑了起来            
(5星)	 Ada 靓女。。。。  ATV的剧本真是让人的心情大起大落            
(4星)	 张智霖多年后依旧宝刀未老啊。。帅！！！            
(3星)	 欺负我们没看过电视剧咩，编这种每个情节都猜的出来的故事，浪费了逆生长的张智霖和蔡少芬啊            
(3星)	 亚视就是虎头蛇尾的风格            
(5星)	 这部戏的主题是——原来一切都是误会            
(4星)	 选择了这条路之后就来不及后悔了，演员的演技还是很细腻的。            
(3星)	 这片子最有看头的就是王道 jack 和杜汶泽~ 其他无视~主题曲不错            
(4星)	 为了大仙，加一星吧。。            
(5星)	 才看完的，感触还蛮大的。。看着一个单纯、善良的人慢慢的被社会打磨得圆滑、残忍、不顾情意，慢慢的身边的人都离开了。这一切确是亲生父亲所为，直到失去了一切，才开始反省，为什么当初在朋友的鼓励下，赢回了所有，报仇了，但有些人已经失去了。。最后才想要回到以前简单的生活。。            
(3星)	 初哥哥!            
(4星)	 虽说是拍烂了的赌王，单看粤语版，比最近的TVB都好看。            
(5星)	 女猪叫同花顺.很好玩的细节.因为父母喜欢赌的原因么.但是真的真的不喜欢她.            
(4星)	 张智霖~~~~~~怎么还这么嫩            
(4星)	 亚视的演员给人满清新的感觉，加上张智霖、杜汶泽提亮就够了            
(3星)	 团团说，谁说可爱大眼仔不能演赌。            
(3星)	 ATV出个片子真不容易            
(5星)	 喜欢张智霖好多年了，好喜欢他的酒窝啊            
(3星)	 暂时对赌博有点新认识但是还是觉得敬而远之吧            
(NA)	 他们终于结婚了            
(4星)	 虽然有些bug，但总体还是很不错的。张智霖逆生长了~~            
(5星)	 不错啊~故事剧情算得上是很紧凑的叻~~            
(NA)	 ATV的场景真是乡土...            
(3星)	 蔡少芬的角色怎么跟剧情偏差越来越大了呢....            
(4星)	 是我喜欢的。            
(4星)	 很久未看到如此精彩的港剧了,剧情跌宕起伏让人难忘啊!            
(2星)	 弃了，张智霖这个角色不讨好，蔡少芬配音的声音听着难受            
(4星)	 赌片什么的我很喜欢很喜欢看 但是麻将赌博什么的 我是真的深恶痛绝！            
(4星)	 蔡少芬真是永远不老！            
(5星)	 很久都没看到有情节的港剧了！满足！            
(NA)	 纯粹为张仙看的            
(4星)	 又见张智霖，又见港版经典赌场风格，终于看见一部算是正常的港片了。。。四星评的不容易啊            
(4星)	 张智霖还是那么帅。。。Ada的声音实在受不了，吵死了！            
(4星)	 ATV爆发了！   张智霖真水灵一点都不老~靓靓压力很大            
(3星)	 不好不坏，有点冗长            
(3星)	 看不下去了            
(3星)	 为了大仙给5星~~~            
(3星)	 先推荐，因为吾家老大。自己追。            
(3星)	 老套的情节。唯一可看的就是演员了。配音实在是有些糟糕。男二号在这电视剧里看起来不错            
(4星)	 好喜欢杰克，但是不是男主，估计又要杯具了。            
(2星)	 看不下去            
(3星)	 一度以为是上世纪的赌片- -            
(NA)	 张智霖依旧帅的一塌糊涂啊。。。。。保养的真好。。。。            
(4星)	 很少看atv的剧，TVB真的是剧也看烂了，人也看烂了，但是ada是我最爱，再配上张智霖&amp;杜生，挺美，每次的下集预告都比电视剧本身好看的说，最后居然是happy ending            
(3星)	 今天不晓得为撒国语一下子出来了20集...            
(5星)	 好看得很呐//蔡少芬尖锐的配音真是好大的败笔，不过都忽略啦            
(NA)	 为了ada来的，居然粤语也配音，听起来太难受了，剧情到还可以，追看一下吧            
(4星)	 貌似看到一半不高兴看了            
(5星)	 结局有点匆忙。。            
(5星)	 喜欢            
(2星)	 虎头蛇尾            
(3星)	 蹩脚的配音            
(4星)	 27集尖头好感人.要是ATV是同期收音就好了.真希望chilam.ada回TVB演            
(4星)	 大仙你真的逆生长了啊，好帅啊hc中~~~~~~~            
(4星)	 张智霖真帅呀。            
(3星)	 一颗星给Jack...另一颗给尖头...最后一颗给烂尾的编剧...            
(5星)	 男主男配都好帅！！！！            
(5星)	 大仙和ada真是太配啦！！大仙你永远都给我惊喜和新鲜。            
(4星)	 曾江不愧为老戏骨.....很有赌神的派头            
(3星)	 大仙一如既往的养眼            
(4星)	 印象最深的是陈庭威的《胜者为王》，这次是《胜者为王4》，看了一集便欲罢不能，继续追！            
(5星)	 好好看            
