http://movie.douban.com/subject/2229478/	莲花争霸
(4星)	 小时候看过好象被结尾感动哭了~可惜小蝶太太太丑了~            
(4星)	 现在还记得一些内容            
(2星)	 弱智剧情            
(4星)	 无怨无悔我走我路。。。            
(5星)	 用一个男人失败的爱情告诉我们：爱要打持久战。如果爱上了一个不爱自己的人，要学会放弃，因为世界上还有很多值得我们爱的人和追求的东西。            
(NA)	 小碟~~~            
(4星)	 经典啊！小时没看完，感谢伟大的互联网！感谢CCXV，感谢XXX！            
(NA)	 高翔比较帅~~其实本剧可以叫做《女猪暧昧害人记》……            
(3星)	 我可是重温过的。            
(3星)	 时光一去不复反            
(NA)	 哈哈哈豆瓣给我首页上放这个。。。大概是因为我之前加了好多小时候的剧。。。话说我小时候觉得李南星特帅的。。。还有白玉川个变性人。。。还有南宫少爷跟白玉川有一腿。。。还有我觉得小蝶很难看            
(4星)	 新加坡的口音一听就能听出来～            
(NA)	 觉得里面那个人好变态            
(3星)	 东拼西凑的超强剧情，我看过的最早的山寨货            
(NA)	 无怨无悔我走我路，走不尽天涯路~~~            
(NA)	 无怨无悔我走我路  走不尽天涯路            
(4星)	 無怨無悔我走我路，走不盡天涯路            
(4星)	 后来终于知道是笑傲的部分剧情改编。。。            
(5星)	 儿时记忆            
(3星)	 新加坡的武侠剧都怪怪的            
(5星)	 至今一直念念不忘。            
(5星)	 李南星！小时候的梦中情人~            
(NA)	 小时候怎么也不愿意相信白玉川是女生演的。。。。。            
(4星)	 已经完全记不得剧情了……            
(4星)	 喜多郎的大蛇给我的印象最为深刻。            
(5星)	 受其影响之大，简直直接关系到我现在选择的专业            
(4星)	 早期武侠经典            
(NA)	 哎呦喂，我在班上当年老唱这主题曲呢。            
(5星)	 那時覺得白玉川帥呆了。他/她是反串？！            
(4星)	 我喜欢里面的音乐            
(3星)	 莲花宝典！            
(3星)	 江湖的爱恨情仇。无法退出。            
(5星)	 白玉川真是太特色太经典了。            
(3星)	 李南星还是蛮帅的，演小蝶的简直就是猪            
(5星)	 太经典了，经典的我都不知道哪里好看，呵呵，但是当年就是爱看，大概小孩儿都这样            
(3星)	 小学三年级？四年级？的暑假 在北京看的电视            
(NA)	 小时候            
(3星)	 被改编得一塌糊涂了，寒            
(5星)	 哦哦当年的回忆！！！            
(4星)	 什么时候 天地变成江湖 每一步风起云涌            
(5星)	 那时候的新加坡电影来势真猛啊！            
(NA)	 很虚幻的记忆，因为总觉得这是一部虚幻的片子            
(4星)	 只记得名儿了            
(3星)	 豆瓣猜给我推荐了这个= =你怎么那么清楚我童年看过啥啊！            
(4星)	 无锡的雨无休无止，突然想到把这部剧找出来又完整看了一遍。布景真的很单一，剧情也很狗血，但在当年确属制作精良。小时候只关注沈冲，现在看，秋大姐、叶群才是悲情之至。白玉川的那股邪气仍令我浑身不适。片头曲听一万遍都是那么经典，绝对配得上武侠影剧前十大金曲。            
(4星)	 嗯，新加坡的电视剧主题曲都蛮好听的。现在听罗文唱的《江湖路》好像回到了看这电视剧的年代。            
(NA)	 白玉川印象太深刻了。            
(4星)	 葵花宝典。。。            
(5星)	 极度经典啊，李南星从此就留下了深刻印象啊！            
(3星)	 看的时候刚上小学 只记得有个男变女的人特好看 还强暴了一个女的 前两天突然想起这人 重温 沃靠！不得了~白玉川你是要迷死我啊！你强暴我吧！绝对配合！那什么蝶的长得跟猪头似的你也下的去手… 叫起来跟杀猪的似的明显得便宜卖乖啊！不是一档次的啊！编剧实在太欺负人了！~            
(NA)	 又复习了一遍 看完空虚了 好喜欢白玉川啊            
(4星)	 小时候的经典啊，最喜欢白少了，这姑娘反串的太成功了，重温            
(NA)	 终于想起来这部片子的名字了！            
(4星)	 我长这么大第一次知道白玉川是反串            
(2星)	 那时候还不知道狗血这么一个词儿=。=            
(NA)	 可能是小学一年级。            
(4星)	 现在看来……应该是山寨《笑傲江湖》，连人名都好像啊。比较喜欢风二娘。脚腕上系着一个小铃铛，骑着一头驴。穿红衣服。好像她也爱沈冲似的。有几年非常喜欢梳这个发型的古装人物。《江湖路》大赞。无怨无悔我走我路，走不尽天涯路~            
(NA)	 重温小时候的经典！            
(3星)	 重温之后，我猛然发现，原来是：流星蝴蝶剑+东方不败+龙门客栈啊啊啊啊啊！            
(5星)	 那反串很性感。。。。。。。            
(3星)	 童年回忆            
(4星)	 在老家看的，那个激动啊            
(3星)	 小时候一直觉得这片很诡异…不怎么看得懂。不过那种“烟花烟花满天飞”的画面倒是深入脑海。            
(5星)	 当时很爱看这片，片首曲也很好。            
(3星)	 那时候少有片头做的NB的电视啊。。。            
(NA)	 最后大决战，沈冲VS。。。            
(4星)	 白玉川，你这个妖孽            
(4星)	 经典！            
(3星)	 曾经爱看            
(5星)	 儿时的回忆  白玉川无敌了            
(4星)	 一直记得罗文的主题曲，情节忘了很多，只知道李南星在里面挺帅。不久前下了一集看看，还是不错的一部剧啊，而且发现了演叶群的不是那个穿山甲嘛            
(NA)	 不好意思啊 没忍住            
(3星)	 《笑傲江湖》+《流星蝴蝶剑》            
(5星)	 在茶娅左金刚叔叔和莲花阿姨家看的。我的童年啊~            
(3星)	 看过，但是剧情真的忘了，每天就盼望那个时刻。            
(NA)	 童年回忆。            
(3星)	 记忆已模糊            
(NA)	 小时候当恐怖片看，恒山悬空寺拍的。一直觉得朱乐玲不够漂亮，但演演小蝶足够了。刘秋莲的风二娘挺有风情的，记得里头还山寨了一段《笑红尘》。最后，还是喜欢沈冲，长大后才知道这么多人喜欢塔琳托娅的，不理解。荣彬说过，其实最帅的是杨棠……            
(5星)	 小时候最饭的剧啊            
(4星)	 小时候的记忆真是深刻。。。            
(4星)	 记得还和小学5年级同桌一起学唱片头片尾曲            
(3星)	 基本忘光了。            
(4星)	 四星为了塔林托娅。            
(4星)	 1，典型的大杂烩什么都有。2，主题新、大胆，不知道是不是因为新加坡文化多元的影响            
(3星)	 音樂我還記得            
(4星)	 和流星蝴蝶剑有许多类似            
(5星)	 这个都找得到！！！！！！！            
(4星)	 当时超迷李南星！            
(4星)	 第一次接触到了要自宫的武功。为什么自宫的事情都要跟莲联系起来？            
(5星)	 五星--纪念我的青春岁月，看的第一部武侠片            
(NA)	 刻骨铭心            
(NA)	 小时候肯定看过~            
(5星)	 大爱此片            
(3星)	 杨堂悲剧人物，还是喜欢沈聪            
(5星)	 都是曼陀罗花粉惹的祸……            
(5星)	 小白，你是我一生钟爱马脸男的根源。            
(4星)	 好看真好看            
(4星)	 那个男变女的角儿,那部葵花宝典,太深刻了!!!            
(4星)	 新加坡连续剧！靠，真的好怀旧！            
(4星)	 无怨无悔我走我路。走不尽天涯路这歌，到现在都没有忘记            
(3星)	 1994年秋天            
(4星)	 当时主题歌都背出来了呢~            
(5星)	 小时候很喜欢这个的。但是情节忘得也差不多了。当时还挺喜欢那个变性人的，觉得他挺帅的。后来才知道原来是女人演的。还记得最后的boss战，真精彩啊。另外片头曲当时很喜欢，现在还记着旋律和一部分歌词。            
(3星)	 只记得那个变性人，当时还琢磨啥叫自宫            
(5星)	 喜欢李南星和朱乐玲，葵花宝典这本秘籍好像是在这里第一次听说            
(4星)	 最早看过的TV剧            
(NA)	 我觉得男二变女人之后很有魅力，小时候这么觉得            
(4星)	 诶呀妈呀,我小时候可爱看了,但是现在怎么都记不得情节了呢,就记得有个变性的....囧            
(4星)	 其实这个剧情很囧……不过塔琳托亚版的白玉川实在太丰满，很喜欢片头曲罗文《江湖路》。个人认为本片的反串之经典仅次于东方不败。P.S：给小白配音的是苏琪贤，资料没找到。。            
(3星)	 哮喘剧            
(NA)	 我喜欢它的片头            
(3星)	 影响深刻啊！那人还没有变成女人之前超帅的~            
(3星)	 very impressive~~            
(3星)	 好像看过，但并没觉得有多好，再看一遍            
(NA)	 大冬天的重看,竟然想吃李子            
(4星)	 童年的回忆。            
(3星)	 莲花宝典            
(4星)	 只记得那个白玉川~那演员还是蒙古族呢~            
(5星)	 经典 耐看当年我就在想，咋有这么好看的片子，真的是比当年同时代的片子高出不少，无论是武打音乐。当然小时候就觉得那个武打真的很过瘾，音乐是后来看后的感觉。            
(3星)	 当时看的时候挺害怕的~还记得有个叫段素素的~            
(5星)	 虽然抄了金庸和古龙，不过拍的确实不错            
(5星)	 是的啊 当年流行新加坡的电视剧的 怎么后来变成香港的了清晰的记得女主角叫小蝶的            
(4星)	 小时候看过，还一直没看全            
(4星)	 这个是相当好看啊。            
(3星)	 童年时候 最想看的武侠剧            
(NA)	 有一天想起了这首主题歌，然后想起了这个电视剧，必须是经典呀。            
(NA)	 中午敢着看几分钟在去学校的日子一去不复返            
(NA)	 印象好深。。            
(3星)	 童年记忆            
(4星)	 突然发现原来精髓还是古龙            
(5星)	 小学每周五的午夜档……            
(NA)	 很神奇!!!            
(3星)	 当时每天中午为了看莲花争霸不睡午觉，下午上课老打瞌睡            
(4星)	 白玉川是亮点            
(4星)	 好看 塔琳托娅的男装扮相超帅的            
(5星)	 主要是回忆            
(NA)	 主题曲可好听了            
(3星)	 小时候觉得里面的武功很高深            
(4星)	 很好看啊！            
(NA)	 小时候。。。很害怕白玉川。。觉得丫是妖怪            
(NA)	 童年武侠片 5，6岁看的剧集，现在仍历历在目            
(5星)	 童年的记忆啊~~~啊啊啊            
(3星)	 隐约记得好像挺好看            
(5星)	 那个家伙到底是男是女啊            
(5星)	 臭小蝶害得白少变成个女的。。。不过演白少的女的的确很俊阿            
(5星)	 白玉川。            
(3星)	 感觉比介绍的要好一些，介绍出入很大啊            
(4星)	 哈哈～就是女主太那个啥了            
(4星)	 记不清楚了，人物关系很乱的样子            
(3星)	 莲花争霸，莲花争霸            
(5星)	 很好看也            
(4星)	 记忆最深的就是那个男变女的素素~            
(3星)	 吐血的新加坡腔            
(3星)	 里面有个《笑红尘》片段，完全模仿林青霞的东方不败，不知香港那边有没有收版权            
(4星)	 哈哈哈哈。            
(NA)	 靠 我太激动了 连这都有            
(5星)	 我的白玉川啊。。。            
(2星)	 早期雷人产品            
(4星)	 很好很强大的一部新加坡武侠剧，现在还记忆犹新啊……莲花宝典……南宫世家囧            
(4星)	   老了，老了，还有鹤啸九天            
(5星)	 小时候看的经典武侠剧            
(3星)	 新加坡版流星蝴蝶剑            
(3星)	 不记得有啥好看的  呵呵  男扮女装应该是头一次            
(4星)	 当时老子还小            
(NA)	 有一点点印象，我的记忆开始的好早啊            
(NA)	 莲花争霸            
(3星)	 其实是剧情都记不得了。            
(4星)	 回忆            
(NA)	 继续怀旧～～超级喜欢白玉川，男生样子够帅，女人样子够美～～～            
(5星)	 男人女人玩哪个            
(4星)	 我还模仿过刘秋雁的发型，唉！            
(3星)	 小时候看的，已经不大记得了            
(4星)	 沈冲，这名字没忘记。其它都忘记了~            
(NA)	 看过几集，里面那个小蝶还是乖            
(NA)	 听见主题曲就很激动            
(4星)	 印象            
(5星)	 莲花争霸 嗲！            
(NA)	 还对大结局记得很清楚            
(1星)	 新加坡拍古装片实在是太古怪了            
(4星)	 小时候看的，还记着些剧情。“白玉川带着面具糟蹋了小蝶。”            
(NA)	 最爱的武侠剧系列            
(4星)	 看过很多遍            
(NA)	 印象最深是里面的《笑红尘》和曼陀罗            
(4星)	 半夜三更居然想起这一部！我还记得那首歌：“无怨无悔我走我路~走不尽天涯路~”李南星演的沈冲喜欢丑毙了的小蝶而不喜欢风骚老板娘，我当时还耿耿于怀很久呢！白玉川是个女演员演的，演得真好！跟东方不败似的！            
(5星)	 小蝶，把我迷的~            
(3星)	 只对片名有记忆了……            
(NA)	 小时候看得，记忆里总觉得很变态。            
(NA)	 永远记得我看《流星蝴蝶剑》的日子，很美妙很温存。。。            
(2星)	 那个男不男女不女的白玉堂。。。。            
(3星)	 变性初接触            
(NA)	 也是小时看的片子,觉得那个段姐姐是鬼.            
(3星)	 新加坡剧= =            
(4星)	 走我路            
(3星)	 什么内容都忘光了，那时候太小了            
(3星)	 那个白玉川我一看就知道是女的            
(3星)	 反串之强大！            
(5星)	 小时候很喜欢看的，感觉你们每个人都好有个性，每个男的都很痴情，直接影响了我今后的爱情观啊            
(3星)	 7.0   《笑傲江湖》与《流星蝴蝶剑》合体。白玉川………………            
(4星)	 我最喜欢那个变成女人的那个角色            
(4星)	 武侠抄袭借鉴的巧妙之作            
(3星)	 情节都忘光了~~~            
(NA)	 这剧是新加坡的？            
(NA)	 还以为是叶童。。。            
(4星)	 老人的怀念，特别是一首《江湖路》打动我心            
(3星)	 古龙剧和金庸剧风格迥异            
(3星)	 豆瓣竟然将这部帮我猜出来了，哈哈，就记得那个白玉川是个女子扮演，还有一颗痣，李南星当年真是红透半边天啊！            
(5星)	 小时候很喜欢看            
(4星)	 小时候看的，无敌了。            
(5星)	 塔琳托娅-白玉川-莲花宝典-无怨无悔我走我路走不尽天涯路在风云中你追我逐恩怨由谁来结束什么时候天地变成江湖每一步风起云涌什么时候留泪不如留血每个人也自称英雄什么是黑白分明是是非非谁能回头啊什么刀光剑影把风花雪月留在心中无怨无悔我走我路走不尽天涯路人在江湖            
(3星)	 虽然忘了 但是肯定很牛逼            
(3星)	 哇~~高级啊            
(5星)	 在那个新加坡电视剧遍地的年代，在那个武侠片还在讲武侠的年代，这部电视剧是看了一遍又一遍，以至于到现在还清楚的记得每个人物的名字和故事情节！             
(5星)	 那会觉得真是好神奇的武侠片子~            
(4星)	 白玉川哈哈哈哈            
(4星)	 当年就感觉那武打动作好快好炫阿            
(5星)	 小时候好喜欢……男变女，还有一个反派女子的死那里，头发上都结了冰晶，是印象最深刻的。            
(3星)	 有点儿印象。。。            
(NA)	 从此片最早学到“欲练神功，必先自宫”。。。            
(4星)	 印象最深白玉川，原来是个蒙古族啊。            
(5星)	 风流倜傥的白玉川给幼小的我带来了多大的心灵震撼啊，后来再看流星蝴蝶剑里的律香川和林青霞版的女扮男装都一定震撼也没有了。            
(4星)	 喜欢刘秋莲，当然塔琳托娅的小白也帅。找个机会重温一下。罗文当年简直是主题歌专业户。            
(5星)	 小学时候每天必看的            
(NA)	 原来南宫公子就是后来的铁桶师叔&gt;_&lt;!            
(4星)	 小时候看的`不知道为什么一直记那么清楚`现在再看一遍`哈哈哈哈`            
(3星)	 才发现主角是李南星。小时候看的做恶梦的一部戏            
(4星)	 白玉川            
(3星)	 现在看这剧就是一锅炖，大杂烩。小时候还不认识东方不败，男人突然变成女人让我好迷惑。李南星的沈冲是当时一票女生的梦中情人，可是我偏喜欢南宫剑，这是什么审美。。。“无怨无悔我走我路，走不尽天涯路”主题曲还是罗文的，印象深刻            
(4星)	 突然很怀念当年这部电视剧            
(4星)	 小时候最喜欢看的电视剧之二            
(3星)	 记得那个男变女的人 挺好看的             
(3星)	 大爱主题歌！            
(3星)	 李南星！            
(NA)	 那个配乐一直忘不掉            
(4星)	 小学毕业升初中那一年哟，笑傲江湖之东方不败哟莲花争霸哟，林青霞哟，塔琳托娅哟，俺就是在那段青葱岁月迷上那些反串的角色，迷上那些个反派哟，害得俺现在变那么扭曲，青春期的性别意识伤不起哟伤不起。。。            
(5星)	 年少的奋武            
(NA)	 经典咯哦哦哦            
(5星)	 当时惊叹沈冲的帅，看后走路都学他的驼背。            
(3星)	 哎吆喂，那会一点都不觉得狗血。有没有人觉得这部戏有些阴气            
(3星)	 哈哈~內容不記得了，看過看過            
(4星)	 原来这片子是新加坡的。。。            
(5星)	 神剧。。。糅合了各种武侠小说，主题曲不错            
(4星)	None
(NA)	 我最喜欢的一部小说流星蝴蝶剑            
(4星)	 那年我初一 同座是个可爱的小男孩            
(3星)	 谁人不知白玉川？            
(3星)	 哇哦，又是新加坡的。            
(3星)	 小时候 MD我真的看过这个            
(NA)	 小时候看，印象最深刻的是人肉包子，白衣的白玉川，黑衣的沈冲（一直不记得他名字）。。            
(5星)	 正在怀念中。。。。 小白挺你~            
(NA)	 一直以为这个叫葵花宝典，实在看过太久了...            
(4星)	 白玉川现在想想真是太帅了            
(5星)	 小蝶真是瞎眼，白玉川有什么不好            
(4星)	 白玉川！！！            
(4星)	 无怨无悔我走我路，走不尽天涯路。人在江湖却潇洒自如，因为我不在乎。            
(4星)	 对小时候价值观的形成不无影响的一部武侠剧。            
(4星)	 现在只记得主题曲江湖路和谢韶光演的叶群了            
(5星)	 小时候一听到这片子诡异的配乐心里就慎的慌！！            
(5星)	 其实我很小的时候 ，恩 小学阶段吧 有长长的一段时间都是看新加坡剧长大的            
(5星)	 当时看到飞鹰堡的忍者，那个害怕啊            
(3星)	 最爱秋若兰大姐。            
(4星)	 儿时惊艳到我的白玉川            
(5星)	 93年就可以拍这么前卫的电视剧……新加坡人民的想象力是无穷的            
(3星)	 这个当时貌似看得挺认真~但现在也全忘了~            
(4星)	 沈冲的两个兄弟真好，高翔和叶群。终于看全了，我打小的新加坡情怀啊！            
(4星)	 罗文的主题曲走我路特好听            
(2星)	 乱七八糟            
(4星)	 不记得了，当时觉得很好看！            
(5星)	 小时候超爱看，记得那个时候片名叫《葵花宝典》。。。            
(4星)	 真的是小时候的事了……            
(4星)	 印象很深刻，第一次碰见插播广告，结果大结局没看到            
(NA)	 犹记得那首主题歌，唱尽了江湖的豪迈和快意恩仇，也道尽了江湖的人心险恶和身不由己            
(4星)	 蓮花爭霸 塞外奇俠 新加坡的武俠劇 曾經伴我度過整個童年            
(4星)	 现在看来逻辑、剧情都弱爆了，但是小时候看得可是津津有味啊，虽然那时看得还不完全            
(NA)	 哈哈哈             
(5星)	 小时候看过两遍的电视剧！哪里有高清版的能下啊？想再重温一下呢            
(5星)	 白玉川霸气！沈冲之流在白玉川面前都是浮云~~~            
(5星)	 塔琳托娅，，，，，帅死惹。。。            
(4星)	 彪悍的片头曲，够回味半辈子了，没有超越的            
(4星)	 又重温了下儿时的经典~            
(NA)	 最喜欢小白--塔琳托娅，才知道是蒙古族，可爱的姑娘            
(4星)	 其中有个演员是少林寺的牧羊女，当时看后感慨，一出国就堕落。            
(NA)	 我真看过，真忘了            
(NA)	 无怨无悔我走我路            
(4星)	 这个电视剧当年可是风靡一时啊            
(3星)	 原来此剧真是抄袭的东方不败啊 不过同样好看            
(NA)	 小时候的美好记忆~             
(3星)	 合集连续剧~流星蝴蝶剑，东方不败，萧十一郎之类的·白玉川~哎，可惜了~为情所困的男子啊~            
(3星)	 这片放在现在估计也没人看了            
(4星)	 迷人气质白玉川            
(4星)	 对里面忽男忽女的那个谁，印象很深刻            
(NA)	 当时觉得白玉川是个神秘人物            
(NA)	 还久远            
(NA)	 沈冲 叶群 简称：野娃吃葱~             
(4星)	 白玉川是经典            
(NA)	 哇哈哈哈 无怨无悔我走过路····            
(3星)	 当时很喜欢            
(5星)	 虽然忘了，还记得经典！            
(NA)	 好好笑啊，初中有段日子每天中午打发时光就靠这个            
(4星)	 我至今还记得里头的歌词:无怨无悔我走我路，走不尽天涯路....说是抄袭也罢，说是恶俗也好。总之，过了这么多年，这部电视剧居然还留在我脑子里，而且，想起来的时候还有丝甜蜜的感觉，够了。            
(4星)	 这电视剧在我儿时的记忆中是那么的深刻. 到今天我不记得内容. 不记得情景. 但是总记得那个女人的风采.             
(4星)	 当年好花痴李南星啊 再不看杂志有没有网络的童年 一直猜啊猜 那个白公子是男是女 每次看到都要猜一回 别有风味 哈哈            
(3星)	 多少年了，只记得白玉川。原来从小我就腐了...            
(5星)	 超经典的啊            
(3星)	  啊，我肯定看過，但是我確實不怎么記得了~            
(4星)	 第一次对人妖有了概念            
(5星)	 白玉川！！！            
(5星)	 经典的片子啊。。。            
(NA)	 第一眼就森森地愛上了白玉川這個陰狠BT！！！果然三觀不正是要從小時候開始培養的啊混蛋！！！！！            
(5星)	 总体来说，拍得很古龙。前半部符合原著，环环相扣，比后半部精彩。            
(3星)	 帅毙了好吗            
(3星)	 很早的记忆            
(NA)	 小時候好喜歡……            
(3星)	 现在再回头看这部片子。。。觉得有点好笑。。。            
(3星)	 乱得经典！            
(4星)	 主题曲到现在一直都还会唱，心中的经典，很喜欢沈冲这个角色。            
(3星)	 刻录在童年记忆中的电视往事，多年以后剧情都记不清然而主题歌或插曲总是回荡在脑海里            
(5星)	 初一看的时候只觉得好看，再看感慨蛮多。纯武打场面很棒，因为在山西拍，风景不错，服饰很耐看，男主角们个个都是深得我心的爷们儿型啊，嘿。白玉川时翩翩白衣美少年，段素素时的妖魅，真是雌雄莫辨。结尾时南宫剑，小蝶和白玉川的对话很有意思，两兄妹对白玉川绝对是有爱的，南宫剑是双性恋，小蝶对沈            
(2星)	 其实吧片子是挺傻的，不过说不出哪里让人觉得魅惑，大概是因为女扮男装的关系吧            
(NA)	 最爱此片，此后看过一系列新加坡剧            
(4星)	 挑一个毛病 姚小蝶你真难看            
(3星)	 小时候看到有人挥刀自宫，震撼不已...            
(NA)	 小时候喜欢看的武侠剧。            
(5星)	 这个经典吧~~            
(3星)	 据说是新加坡的第一部古装，制作精良，但剧情比较通俗。            
(4星)	 港片以外最好的一部武侠片了            
(NA)	 白玉川            
(3星)	 还记得白玉川            
(4星)	 根据古龙的流星蝴蝶剑改编，拍的相当好            
(5星)	 白玉川白玉川。            
(3星)	 不解释            
(4星)	 我居然连这个都看过，。。。。。往事不堪回首            
