http://movie.douban.com/subject/6753079/	绯闻女孩  第五季 Gossip Girl Season 5
(3星)	 神已经无法阻止所有的人YY了            
(4星)	 终于更了。。前天看的~!            
(NA)	 Perhaps some episode in this season I could finally say I&#39;m officially done with GG. 从没试过看premier都能看到这样疲软，感觉看GG的观众，比如我们，已迈步向前进，而里头的他们，还耽溺于狗血，一步也不曾走远。|终于，时至今日，我能够讲句，再见，再也不见。            
(NA)	 好了，烂剧还是弃掉不看了。时间不够用。            
(3星)	 断了第四季我竟然又开始第五季            
(1星)	 忍无可忍无须再忍            
(NA)	 好了可以正式弃了。虽然这狗血编剧最后肯定会让B离婚但是太过狗血太没下限了所以其实BC最后终成炮灰Dan会抱得美人归么擦！还有把Georgina就是Gossip Girl这个大梗爆出来有意思么有意思么！！耶剧透完毕滚走！再见！            
(NA)	 尼玛忽然好励志。。。。            
(3星)	 不痛不痒，无无聊聊，反反复复，放弃了~            
(NA)	 看不下去了。            
(5星)	 终于。。开了。。            
(3星)	 正式弃剧！            
(3星)	 恨不得所有人都互相好了一遍。。            
(NA)	 追到一半也不追了……太乱了！            
(2星)	 从初中一路追过来的剧到现在除了练听力觉得再也没有意思。也许富人世界的情爱用一个俗不可耐的比方就是旧时的皇宫，任意两个人排列组合都能榨出一桶狗血。挚爱的女王范的B变得无脑无主见，实在是只能差评。又或者除了时装之外本剧已经没有什么亮点了。            
(4星)	 追的比较完整的剧了，还是喜欢花花世界的呀，哈哈            
(3星)	 明明越来越狗血了，可是为什么我还是无怨无悔地看着它呢。。。。。。。。。。。。= =            
(5星)	 不论如何我还是喜欢啦            
(3星)	 Chuck越来越惨了。。。编剧没东西写了就该虐C了。。。            
(4星)	 老子看第一季的时候就知道BD总有一天会耍一下的，而且会很有爱。编剧说S和D不会再来回的时候老子从来就没信过。果然言情剧不用智商，你们这些粉都弱爆了。            
(4星)	 只因C&amp;B            
(4星)	 弃了，受够编剧大妈的脑残了            
(NA)	 我竟然还能忍到第五季，这狗血的让我自己都感动            
(NA)	 http://www.mytvbyys.com/view/index19127.html            
(NA)	 婚姻。            
(2星)	 女配们越来越丑了！！！！            
(3星)	 计较剧情是侮辱自己的智商，帅哥美女就够了            
(NA)	 不能再忍下去            
(5星)	 我不要BD！！！！！！！！！！！！！！！！            
(5星)	 Queen B ~~            
(5星)	 虽然剧情纠结人物混乱关系复杂，但是掩盖不了GG独特的魅力。            
(5星)	 Queen B 脑残粉            
(2星)	 真心追不下去了~越看越没有意思了~~            
(2星)	 满地狗血。。。考虑弃。当年怎么会为这么个剧那么痴狂的。果然是too naive！            
(3星)	 贵圈真他么的乱            
(2星)	 第五季整个一黏黏稠稠不干脆 美剧拍的像韩剧一样 还有什么好说的！？            
(3星)	 看的很多，开始以为都长大的，难道还是这样的社会吗·······成人社会里面太不成熟的感觉   从第一季开始看，追着看的第二季，今年才接着看的接下来的几季，感觉······            
(1星)	 看完最近这集后剧情脑残的果断追不下去了撒盐那拉            
(4星)	 这一季太虐心了            
(3星)	 真他妈。。。这片子啥时完结阿             
(3星)	 好复杂好复杂好复杂的关系网            
(5星)	 每周一8：00锁定CWTV，练习听力中！            
(4星)	 剧情越来越狗血。。。            
(NA)	 我喜欢B&amp;C            
(3星)	 第五季不喜欢            
(NA)	 8            
(4星)	 damn it 真的现在只有13集嘛 尼玛我知道剧情真tm狗血 可是胃口被吊的 xoxo 啊啊啊啊啊 BC你们什么时候在一起 我拍桌子！            
(2星)	 yeah yeah whatever            
(4星)	 真相太狗血了。。。            
(4星)	 you know you love me ...~            
(3星)	 这个完全是太太太太太太无聊了用来kill time的,,.....            
(3星)	 编剧你好辛苦= =            
(2星)	 如今绯闻女孩的剧情也只有网上这段《A Thousand Years》视频是唯一能看的了。当然其实看看衣服就好了。            
(1星)	 没看一秒钟就打一星 我就是这么恶心这剧 OOXX Girl            
(3星)	 尼玛 我看不下去了            
(4星)	 当我看着你从长长的路的尽头向我跑来，我以为你会跟我走，而你只是轻轻地说了声，再见。再见，100集了，要找到幸福，B,C,S,D,N...            
(3星)	 回光返照            
(4星)	 我的大学就看这个了。。不过剧情越来越狗血了            
(NA)	 我再也不看了！BC为毛不能在一起！编剧就是个坟淡好么！！！            
(4星)	 怎么也是追了那么久的剧，就算看完一集就要吐槽n次也掩盖不了自己还是会看的意思，所以不能给差评啊....            
(3星)	 美剧编辑真NC，明显好多漏洞的好吧啦。。。矮油，越看越像是虐心剧了，I swear，在这么演我真的不追了****            
(4星)	 第五季总算靠谱那么一点点了。13集结局还是比较出人意料呀~            
(NA)	 其实就冲着第六集去的，B和C真是。。虐死我算了！C那一席道歉感动我到死啊。。。            
(2星)	 弃！            
(5星)	 Blair, Dan            
(3星)	 再那么狗血老娘看不下去了啊！！！            
(4星)	 越来越纠结。。走感情路线了开始            
(3星)	 总要看看有钱人的生活的，看看衣服什么的，这个剧集讲的什么对我已经不重要了。            
(4星)	 我只希望chuck能开心，无论是和谁在一起。这剧我果断弃了，            
(3星)	 越发狗血，就冲着BD看            
(5星)	 gossip girl居然是乔吉娜!!            
(5星)	 五年了。。。老子从来没像今天这样爱过gossip girl！！！！！！！            
(4星)	 我已经凌乱了、            
(NA)	 B&amp;C咋还不在一起啊！！！倒霉编剧，可急死我了！！！            
(3星)	 这是越来越不好看 越来越乱的感情关系            
(4星)	 到现在为止，依然是各种遗憾。            
(4星)	 继续穷追不舍~无论多么狗血的剧情            
(NA)	 忠实BC党飘过~            
(1星)	 垃圾啊 垃圾啊            
(3星)	 不行了~            
(4星)	 人物关系已经彻底混乱，BC的感情是唯一支撑看下去的动力~她俩为彼此做的事情在外人看来很混蛋，但是真真的因为爱情，很感人            
(5星)	 伴随我大学成长的GG。美颜动我心，剧情可忽略。            
(3星)	None
(5星)	 看了4年 不论情节 场景服装音乐一直保证较高水准就够了            
(3星)	 要弃剧了            
(3星)	 这一季的GG真温情啊。            
(5星)	 只要B幸福就好！            
(4星)	 BC啊BC            
(5星)	 第一季到第五季全看，终于也追完了！2012很多东西都到了尽头！            
(3星)	 猥男又在逼我看三八了，这剧真是没长进。            
(4星)	 很明显这一季编剧非常不用心。剧情发展完全是生编硬造。不过我中意的blair果真是queen啊，现在连lonely boy都在默默爱她了。从大一到大四，时间漫长到我几乎快忘了我曾经那么坚定地以为B&amp;N注定是要在一起的。            
(NA)	 Queen B GO GO GO! With your Chuck Bass~!            
(NA)	 真神奇的一部电视剧，还是喜欢b和c一起，虽然不知道剧情到底如何，那种感情太难割舍了。。            
(5星)	 B的光芒要渐渐超过S了 更支持王子吖            
(4星)	 想要找心理安慰以及直接面对更多混乱局面的勇气，看这个就对了            
(4星)	 还好没等着米下锅，不然不饿死了啦，早点更新吧，纠结中....            
(4星)	 好虐……            
(3星)	 到头来 B才是最幸福的女人            
(2星)	 弃            
(3星)	 看到誓词，我竟然为D感到心疼啊~~好吧，我真的不讨厌他了，还有点喜欢他了。            
(3星)	 越来越狗血了。。            
(5星)	 看过前一部分，我只能说一句话：I love Chuck Bass            
(4星)	 太乱了，可是搁不下~追了这么久，继续！！！            
(NA)	 依出从高中追到大学的美剧，今日终于睇完第五季的11集，期待12集~            
(2星)	 我想再捡起来看看就是个大错误。。。一集都看不下去。。。据说C不会跟N在一起，我再也不相信爱情了口亨！            
(1星)	 你敢再乱一点吗            
(4星)	 喔！BC！my god!            
(4星)	 我相信所有人都配对了一遍了.S,N,B,C各一星            
(3星)	 这个大烂片，只要最后编剧把BD写在一起我就追下去。。不解释~~            
(3星)	 不准备看下去了。。。剧情越来越无趣 女王B很久以来都是我追这部剧的唯一动力了= =            
(3星)	None
(2星)	 白菜片子能够拍出这么多季，能不能够被称为一种功德圆满？追Skins的时候，至少还是热血沸腾。如果说Skins5原班全换得到的是幻灭，那么我从此再也不相信系列剧了。为什么影片不能抱着慎重态度，出自艺术之手，代替骄躁的收视和铜臭利益。连简介也从十行减成OOXX，Gossip Girl，大家的耐心可见一斑。            
(4星)	 一路追过来，已然成了一种习惯……虽然实在是有点看不下去。。算了。。坚持。。坚持            
(5星)	 QUEEN B ，我最耐            
(2星)	 果断弃剧             
(5星)	 s女王~            
(4星)	 BCBCBCBC~~~~~~就冲着你们两个撑到现在            
(3星)	 请就在这季结束吧！            
(4星)	 五季了，实在见多了她们之间的互相算计让人厌烦，剧情节奏太快让人头痛。还好我们的生活比较简单，还好S和B的感情变好，一起战胜其他人。还好CHUCK终于对B说出心声，使我为了看他俩的幸福而继续追剧。            
(5星)	 还是一如既往的追········            
(3星)	 blare 要大婚了哎。。            
(NA)	 我喜欢B，因为所有男主都爱她，除了内特，反正我也不喜欢他，他甚至比不上丹。            
(NA)	 我已经受不了编剧了...刚靠点谱就跑偏....            
(3星)	 都停了几个月没看了还一直搞停播停播的,我都觉得这剧快被砍掉了=.=            
(4星)	 单纯的惯性了，期待BC~~~            
(3星)	 跳过一季多再看的人只想问，C,B这颜到底是怎么了，岁月是把杀猪刀！            
(3星)	 看来看去这个样 = =+             
(4星)	 期待QueenB的婚纱照啊！！！            
(5星)	 我爱chuck~~~恰克恰克恰克！！！            
(2星)	 BC党伤不起。            
(NA)	 美丽，漂亮，美国的生活            
(NA)	 CHUCK你一定要好好活着！            
(4星)	 曾經迷戀的一部劇，現在不知道為啥沒在看了，估計是D和B竟然糾纏在一起的原因吧，真心不喜歡啊！以前還是BC黨神馬的也被那個突如其來的帥哥王子給動搖了，所以，還是外表重要么= =回顧追劇歷程，從C黨變成BC黨，變成現在的B黨N黨，D之前覺得不錯後來勾搭B我就討厭他了，J很懷念~S不喜歡            
(5星)	 10集里chuck貌似情况不乐观，可是我依然好希望路易和布莱尔在一起啊，路易那么爱她，为了布莱尔委曲求全，如果是我肯定要选择路易的~            
(5星)	 C  and  B 结婚吧            
(3星)	 blair&#39;s eyebrown...            
(5星)	 承载我最多回忆的美剧。            
(3星)	 后面有点混乱啦            
(3星)	 真TM无聊            
(4星)	 CB的爱情实在是看得人心疼阿...            
(5星)	 顶顶顶顶！！！！！！！1            
(2星)	 这彻彻底底的烂剧情。。。            
(5星)	 love gossip girl so much.hope blair and chuck will finally be together. poor lonely boy             
(3星)	 纯属为了Blake，不过比上季好点。            
(3星)	None
(4星)	 人之间的争斗，看着有点吃力，也有点疲了            
(4星)	 就这么看下去了。。。            
(NA)	 刚看完第十集 哇呜呜呜呜 CHUCK不能死！！！！！！！            
(3星)	 没完没了            
(3星)	 期待Queen B结婚的场景……            
(4星)	 剧情终于有转机了好么好么            
(3星)	 不敢想象老纸居然把gossip girl 看到第五季了。。。都赶上更新了。。。            
(4星)	 觉得第五季最近几集大家的扮相大退步啊，serena最近都不能看啊            
(3星)	 没这么好看了            
(4星)	 Gossip Girl中，Ｂ戴着裘皮帽，象安吉在特工绍物中到俄罗斯的样子，果然，她也笑嘻嘻对众人说，叫我安娜卡列尼娜，这是俄罗斯最著名的女人了，还记得年轻英俊的沃伦斯基第一次见安娜，神魂颠倒，只是，到最后还是伤害了她。B甜美可人，最喜欢看蒂凡尼早餐，有一集中c送她花，粉红色的芍药            
(NA)	 坚持到现在真不容易我弃了            
(5星)	 不解释。从高二到大二。            
(3星)	 ........只剩下C了            
(2星)	 弃剧……            
(4星)	 这部狗血的剧，我从第一季追到了现在。。。我为了什么。。。还不是Chuck            
(5星)	 B&amp;C 在一起是王道啊            
(4星)	 话说9集以前都让我非常的纠结~纠结啊，但冬季假期前的最后一集力挽狂澜，推荐哈 ，            
(NA)	 大愛--------damn  it    -----------            
(5星)	 都在成长            
(NA)	 我的Chunk！            
(3星)	 第五季比第四季好看一点 鉴定完毕。            
(4星)	 快点更新啊。。。。。。。。。。            
(5星)	 很好看啊！一直在跟            
(3星)	 谁和谁都有一腿的糜烂生活啊            
(5星)	 每一集都追了 希望1.16来的快一点 chuck不会有事的            
(3星)	 怎么还是老套路.....编剧乃能不能想点儿靠谱的！！            
(4星)	 正在追，只希望BC赶快有个好结果            
(3星)	 101集都坚持看下来了，如今就是瞎折腾，终于可以宣布弃剧了。这部剧的高潮应该是第二季最后一集，那时的B才是She walks in beauty            
(3星)	 没什么太大的兴趣了，剧情猜都猜得到            
(5星)	 啊啊啊啊啊啊            
(5星)	 要等一个多月~要不要这么狗血~追剧的妹纸伤不起啊~~            
(1星)	 go to hell...            
(4星)	 再喜欢的剧 也扛不住越来越坑爹的剧情            
(3星)	 剧情越来越离谱了~~            
(4星)	 艹...最后一集太悲剧了吧...            
(4星)	 chuck别死、求11集剧透            
(3星)	 第一季看过，第二季应该看过，第三四季忘记有木有看过了。这次第五季，内心戏多了点，但我还是想说，我又无聊了~~            
(3星)	 我觉得这部片子的营养就在于衣服的搭配...我只看布莱尔~   情节完全不是我的菜....我们不应该怀疑自己的朋友 哼              
(3星)	 刚看绯闻少女第一季时我惊喜的以为自己抓到宝了，可一路追下来我瀑布汗的总结出来这部剧的实质：这不就是个上学不好好学习，拉帮结派乱谈恋爱的故事吗！更悲催的是谈来谈去就那几个人！都审美疲劳了！            
(NA)	 狗血的剧情啊，一个多小时内拖了四集=-=   果断= =弃掉            
(5星)	 好期待b和c的结局呀，希望不会让人失望!            
(4星)	  虐恋情深            
(4星)	 &#34;Eventually i know that you are the one.&#34;            
(4星)	 为什么我会在drop了两季GG后开始重新看第五季= =我还记得高一把笔记本藏在被子里偷偷看剧的时候好么 现在再看和那时感觉差别要不要这么大！            
(5星)	 喜欢她复杂的剧情XOXO            
(5星)	 居然我也变成熟了一些些……还是好美            
(3星)	 追到这一季其实情节早烦死了，要不是衣服造型人什么的养眼，早弃了，现在剧透居然说B逃婚和D同居去了，我擦啊，编剧你是在玩排列组合吗？！受不了，决定弃了……            
(4星)	 好歹坚持到了第五季，追了那么久真不容易啊。            
(2星)	 弃了这剧，不过分吧！            
(4星)	 不错~            
(NA)	 崩溃呀，纯是一排列组合嘛，看了两集实在受不了了            
(2星)	 勾心斗角变苦情三脚猫狗血清宫剧, 编剧果真天马行空            
(4星)	 衣服和风景比剧情好看。喜欢Chuck。            
(NA)	 b和c要和好了            
(4星)	 期待BC。然后N的形象能别老是勾搭老女人+秀床技嘛，完全花瓶。            
(5星)	 和大多数人一样，开始喜欢Nate，后来是BC，到了第五季，我又纠结BD。怎么说呢，BD做soul mate是不是更好，做朋友好一点吧。编剧求求你，千万别让BD XXOO啊。            
(3星)	 里面所有的人都好了一个遍。。。没啥意思但是确实很养眼。。            
(NA)	 纠结的剧情。            
(4星)	 我的B女王 今天翻谁的牌啊            
(3星)	 直接跳到第五季发现剧情已经完全崩坏了ORZ。。。想说心存不轨的人未免太多了= =看的我累死了； ；            
(3星)	 追的有点不想追了。。。            
(4星)	 曾经b、d多有爱。。            
(4星)	 我擦 看到这个份上 也结婚了 最后还来个路易斯成了个人渣 再到s和d表白  我擦 什么剧啊恶心死了 彻底不看了  你没的最后还要毁掉s的整个形象             
(5星)	 也追不下去了。。。╮(╯﹏╰）╭            
(4星)	  自己竟然可以立刻进入看剧状态。。。            
(5星)	 越来越让人心痛的Chuck Bass。            
(5星)	 看了那么多年了，还在看的电视剧。- -            
(2星)	 弃            
(3星)	 无论怎样 还是会一直看下去吧 为曾经那么喜欢的BC            
(2星)	 不知道为啥还坚持着            
(4星)	 越来越狗血的剧情...            
(4星)	 大爱B and C！            
(NA)	 一周一守呀            
(5星)	 非常喜欢的电视剧，连续看了3年。            
(4星)	 B跟C估计是没戏了            
(3星)	 狗血剧。            
(4星)	 没有前几季精彩了~~            
(1星)	 五季、一百多集、我要弃了            
(NA)	 感觉自己就是不知道支持bc还是cl了诶```            
(3星)	None
(4星)	 只为b            
(3星)	 不喜欢总是跳出来的配角们。我想念的Little J却走了。            
(3星)	 LJ...            
(3星)	 越来越不好看了.            
(1星)	 几个主角互相搞来搞去，上东区太混乱。            
(4星)	 还在追            
(5星)	 这一切又开始了！！！！！！！            
(5星)	 虽然目前没看完但是终有一天会看完地            
(5星)	 好看啊！！这季似乎显得深度了            
(2星)	 落入大俗套之。            
(5星)	 对于我是一个没品的女人这点毫不遮掩 我看这剧看了三年了让BC回老家结婚吧= =            
(2星)	 两集弃            
(2星)	 不要再吊我的胃口了，我想知道Blair的孩子到底是不是Chuck的？！///这一季为什么要这么虐C和B呢，真心看不下去了。///这么恶心的剧情，我到底是怎么坚持追下去的？！            
(4星)	 关系混乱            
(5星)	 you should be with me    支持BC            
(2星)	 兩個字形容劇情—胡扯。看幾集就看不下去了……            
(1星)	 为什么还不砍。。。            
(NA)	 从第一季追到现在 依然爱 虽然人物关系是剪不断理还乱  我是BC党  这一季看的我很纠结             
(NA)	 幾集而已~            
(3星)	 哈哈哈哈暴风雨终于来临了~            
(4星)	 她们的生活是看点 关系乱七八糟 算是服了编剧的             
(4星)	 chuck究竟是死了，还是ed不想演了？            
(3星)	 不管他们演的什么~只要还在演就很欢乐~(&gt;^ω^&lt;)            
(5星)	 从第一季看到现在，chuck变得越来越成熟，忠于自己。            
(4星)	 虽然很烂 还是很想看            
(5星)	 XOXO. 永远的BC党~            
(4星)	 你们到底想怎样？？？            
(3星)	None
(3星)	 。。。越来越乱。            
(3星)	 竟然又在追第五季了......            
(3星)	 我想说，衣服什么的还不错，B怀的到底是谁的baby？？            
(3星)	 wanna say goodbye to GG...reluctantly though            
(4星)	 第五个年头了..            
(3星)	 惯性关注            
(5星)	 怎么说呢，每一季都在进步，只有一步步走来才能真正体会其中的美妙，从高中到大学到求职，见证他们每一次的蜕变，我只能说真的很喜欢            
(3星)	 继续弃            
(4星)	 越来越奇怪了            
(3星)	 我觉得我看不下去了。。。主要是这破烂的网速  剧情如有重大变化我会回归的            
(2星)	 一星给衣服 一星给路易            
(3星)	 CHUCK看得我一把泪, 编剧你赢了            
(3星)	 第四季看不下去..居然又开始看第五季..估计等B走了我也就弃剧了..            
(5星)	 这一季开篇每集都步步惊心阿~            
(3星)	 将就将就继续看呗。。。终结于5-5，不看了~            
(5星)	 我是看衣服的            
(5星)	 太迷他们了，听说芒果台要翻拍真不敢想象。            
(3星)	 不能太较真，For fun就好。GG一向变得快得不可思议。Nate是看下去的最大动力……插曲有时有惊喜~            
(3星)	 妈呀，我怎么还在追            
(NA)	 太虐C啦~致使我到现在都念念不忘他躺在床上揉着胸口，默默流泪的画面...            
(4星)	None
(3星)	 确实看不下去了，弃            
(4星)	 看了下集忘了上集，太复杂了            
(3星)	 看完了一二三四季，第五季还没看完，不过真的太纠结太考逻辑了！            
(2星)	 果断放弃            
(5星)	 每周一集太着急了            
(4星)	 这季还是比较有的             
(3星)	 GG第五季才播3集，我已经内牛满面了。Blair有了真正的王子也有了真正的骑士，如此的fairytale，此生夫复何求。希望Serena也能成熟起来，不要再滥情再天真。N那么爱老女人，实在奇怪。D不如狠一点，去做个新星作家吧！            
(5星)	 Face your fears，and rewards can be profound。            
(5星)	 oh~            
(NA)	 看不到了            
(3星)	 看这一季的第一集时有点不理解C从摩托车上摔下来为什么一点感觉都没有，看到第二集也不是很懂为什么明明C身上那么伤却一点痛觉都没有，现在我明白了。            
(3星)	 要不是看在……的份上老早弃了，心累死我了            
(4星)	 还行吧，这一季            
(3星)	 看不下去，弃了。            
(3星)	 停止吧 我再也看不下去了!!!!            
(5星)	 开局不错，剧情稍微有点逻辑了            
(5星)	 再这样保持下去我要给五星了！从S4开始的进步，只有经过混乱S2S3的人才懂！            
(4星)	 太他妈狗血了            
(NA)	 我要弃掉gg了。。他们都老了，我也没兴趣了            
(3星)	 弃            
(5星)	 海报还是一如既往的难看啊            
(NA)	 在咒骂编剧织了一条吐血的裹脚布的同时 回首了一下 不禁感叹 原来GG已经陪伴了我近四年之久 从天真无知的高一夏天在一本英文杂志上剪下宣传海报的那一刻起 我就知道我将无法摆脱这块布了 权当是在这纠结苦逼的岁月里看地球彼岸另一群纠结苦逼的人当乐子吧            
(5星)	 bd~~~            
(NA)	 第五季越来越难看            
(5星)	 always！！            
(3星)	 习惯地看一看。            
(4星)	 实在 看不下去了 只有 结束            
(3星)	 总算弃了            
(3星)	 唉 越来越不想追 唉 希望回归后BC之间再进一步 NS也复合吧。。。            
(1星)	 看到13集实在看不下去了 编剧你肿么不SSS            
(2星)	 OOXX~Gossip Girl~            
(2星)	 要不是因为想多学点时下的口语，才不看呢！第七集弃。永远都不想看了            
(1星)	 弃剧并祈求被砍 半颗星给CC 半颗星给ED            
(5星)	 感情分            
(NA)	 CW盛产爱情狗血偶像剧......无力吐槽。当初年少无知本不喜欢GG，但后来中美剧毒太深加上别人都看GG....自从进入GG世界，我去，自甘堕落.....本来看的剧都很有智商的，然后现在J也不在，心酸。            
(5星)	 继续力挺！            
(2星)	 卡在E8，死活看不下去啊            
(NA)	 POOR CHUCK            
(4星)	 我求BD恋！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 剧情越来越无力            
(4星)	 坑爹无字幕版            
(3星)	 第一集不带劲。难道是外科室的故事们看多了？            
(5星)	 it&#39;s sad to see C&#39;s eyes--Blari is lost to me. Just because we can&#39;t be together, doesn&#39;t mean I won&#39;t love you.            
(3星)	 到此为止吧～关系还不够乱么，在还没有完全厌倦的时候，GG还是就此打住吧            
(3星)	 第四季都没看完。。。但想看看目前的走向。。等回归吧            
(5星)	 queen B            
(NA)	 暂时先弃了好            
(3星)	 来龙套的人越来越丑了！！！！！            
(2星)	 弃剧            
(2星)	 我真的弃剧了！这种本来就应该在第二季弃掉的剧我竟然活生生拖了这么久！真心讨厌Serena有没有 Blake Lively绝对应该不要再演这个角色了 太不讨喜了 PS她的嘴就不能老老实实的闭上 老是一副歪着脑袋张着嘴被冤枉的无奈相儿            
(3星)	 Chuck你不要离开我~            
(5星)	 等了这么久。。。            
(5星)	 Love Blair            
(3星)	 弃剧            
(NA)	 看到bc的纠结时竟然还是会有感动.            
(4星)	 Chuck!!!!!!!!!!!!!!!            
(NA)	 真是bright的新开端……我都以为这是青春轻喜剧了……宣布第五季弃剧，或者等到chuck变成gay我会回来            
(NA)	 11 此剧我不会再看了 立此为证            
(2星)	 弃了，编剧完全没东西写了的感觉，又不是文盲一下信上帝的梗也不要那么拙劣嘛...            
(3星)	 B越来越美了，然后全剧真的是越来越all B了明明一上来所有人都觉得是S主的说……唔嗯不愧是我看中的女人！【重点错了啊喂】只是这个反反复复的纠结啊，这些女人都太不省油了，以及S真心越来越圣母小白了扶额            
(3星)	 鸡肋~            
(3星)	 看了四集，弃，真心太乱了……不想看了……            
(5星)	 又是一年追剧时            
(3星)	 對這部越來越沒耐心了 劇情好亂的感覺            
(NA)	 弃，觉得追这个太浪费时间了。13集G姐回归            
(5星)	 第13集直接把整部剧从3星拉到5星啊！！虐死人了！！！            
(4星)	 这一季还是很好看的，关于真爱的选择。            
(5星)	 苦等两月终于回归 五星不要理由了好吗            
(5星)	 就是喜欢没办法 ╮(╯_╰)╭            
(NA)	 不错，看了很FAIML            
(1星)	 = =lll 我想给0星。。。            
