http://movie.douban.com/subject/3292797/	烈火雄心3
(NA)	 咳咳＞＜ 还是陈生剪辑版  扑到贱男彭sir 多金型男公子哥制服诱惑ˋ( ° ▽、° ) 口水ing...             
(3星)	 我对胡杏儿总是讨厌不起来，虽然她也不好看啊            
(3星)	 陈茵薇很漂亮            
(3星)	 完全被爱情戏主导了            
(4星)	 电视剧果然就应该抱着电视看。。。            
(3星)	 钟SIR的命大过天~~死了几次都死不了。。。。汗            
(3星)	 一般            
(4星)	 王喜型到啊，dum一声，郑嘉颖又正，最衰唔係gay片。唔係，王喜同郑嘉颖一齐就好嘞。            
(3星)	 真的好讨厌那么执着的人 真是烦透了            
(3星)	 部喜欢胡杏儿，王喜很讨厌，也就宗泽凑合了，撑到最后看的结局，话说TVB的电视剧，现在能让我看到结局的真的很少            
(3星)	 只是为咗睇Bosco...            
(4星)	 王喜死的时候哭惨了            
(NA)	 为了药膏广告 幸苦编剧了            
(3星)	 王喜最近演的角色真是一个赛过一个的欠扁= =|||            
(3星)	 怀念那时的烈火雄心1，那时的王喜很年轻，而当我看到第三部的时候，已经没有什么感觉了            
(NA)	 那个女人真是烦死人            
(3星)	 虐啊虐王喜            
(3星)	 郑嘉颖的“视帝”称号真是浪得虚名。            
(3星)	 第3部真是。。。。。。。。。。。TVB江河日下            
(2星)	 没有第一部好看-。-            
(NA)	 太阳 终于完了 BOSCO            
(3星)	 剛剛大結局 好吧很狗血= = 王喜居然不死?!!!            
(4星)	 就凭郑嘉颖的背心，也要顶的啦！            
(1星)	 好悶, &lt;2&gt;好看得多            
(2星)	 没什么救火的场面 。。就算有也总感觉草草了事  。。一开始回忆 就用了蛮多集的 没以前的好看 总的感觉 。。            
(4星)	 因为胡杏儿少给一星。且太过悲情。            
(3星)	 其实只看了一半。。。            
(2星)	 前面几集一直在回忆过去，为什么不一次性的交代清楚，很乱。            
(NA)	 13  实在难看啊            
(NA)	 为什么胡杏儿还是那么讨厌！！！为什么他要当主演要被捧红！简直想不通            
(3星)	 闷闷o地。。。            
(2星)	 郑嘉颖你可以再恶心一点。么？            
(5星)	 郑嘉颖好帅。王喜的演技一流            
(NA)	 跳着看到最后两集，弃！            
(3星)	 自从王喜演的角色昏迷后，我就看得有的没的了...总体来讲觉得不怎么样，失望...            
(NA)	 看到第8集，我放弃了……            
(3星)	 基本上这套剧没KC的话我是不会追的=v=钟有成好可怕！            
(3星)	 我要睇王喜！唔係鄭嘉穎同胡杏兒啊！！！            
(3星)	 其实我没看完……反正就是不太好看啦            
(3星)	 原來是完美結局...            
(2星)	 毫无亮点 跳跳总算看完了。。。            
(2星)	 放棄。            
(4星)	  KC啊KC啊KC啊，怎么这么帅，特别是穿上那身制服以后，额得神啊，口水直流。有点遗憾的是，王喜似乎落寞了...            
(3星)	 我居然看完了……小受在王喜旁边显现不出演技……            
(3星)	 苦命的牛哥，莫拍四啊！            
(NA)	 两个女人都让人泪流满面看不下去……KC的颜是很正但也过分花瓶，王喜过于苦逼。总的来说，烈火3属于失败的职场戏和成功的三角恋剧。            
(4星)	 八爷党低空掠过，制服好靓仔！植物人你就不该醒过来，唧唧歪歪的，醒来还让俩帅哥轮番给你人工呼吸占尽便宜，鄙视！            
(2星)	 实在受不了了什么吊东西啊！！简直毁了烈火系列！！！            
(NA)	 【2009-07-06】            
(3星)	 真看不出KC演这部时已经39了？            
(3星)	 就沒人不喜歡王喜么。。我個人真的對他無愛啊，他單人的戲份我幾乎全跳過了。。= =   PS 看見杏兒出現在Bosco和別人的婚禮上即使只是電視劇也讓我覺得各種微妙怪怪的 =，=            
(4星)	 超级讨厌胡杏儿 这个角色     这么傻  还两个人都追她 收不鸟            
(3星)	 以前郑嘉颖也很OK啊。            
(3星)	 就拿来当HC一下KC吧……            
(4星)	 看完第三遍，第三次森森觉得烈3是KC颜的巅峰，也是波仔萌的巅峰……            
(3星)	 王喜和胡杏儿看着真烦人。            
(4星)	 没看过前两部，觉得这部还不错啊，就是情感戏水分太大了。两个男主角演技都很好。            
(NA)	 啊呀胡杏儿这个角色。。。。很是。。。让人膈应            
(4星)	 还不错            
(2星)	 休息在家，窝沙发看港剧…            
(2星)	 为了捧郑嘉颖搞得剧情那么狗血。 还有十集实在看不下去了，要不然每看一集都对王喜叫不值……太惨了你，昏迷了还是你的错……两星给王喜            
(2星)	 这不扯蛋么            
(4星)	 encore 卓sir比有成帅多了            
(NA)	 和前两部比起来就太不大气了，不过郑嘉颖和黄宗泽还是不错了。            
(4星)	 哇,我很喜欢各种制服。。            
(NA)	 制服诱惑╮(╯▽╰)╭            
(NA)	 爱死TVB了            
(4星)	 王喜太惨了= =            
(4星)	 王喜演技真是没的说，让我哭了多少回啊~~~这样执着，这样坚持不放弃，最终受伤的还是自己啊！但是即使知道也不会放手。讨厌胡杏儿啊！！！！！除了王喜这条感情线，其余的都不太饱满，逊于前两部哟~            
(2星)	 最差的一部            
(2星)	 纯属冲着小颖颖看的，巨讨厌王喜那张脸，黄宗泽和陈茵媺那对组合还不错~剧情是屎！            
(1星)	 毁了我的烈火雄心            
(2星)	 擦！！王喜在里面既悲催又固执。我是有多不待见郑嘉颖和胡杏儿啊！！！恶心到一块儿去了。。。还是黄宗泽帅气帅气！            
(3星)	 Bosco还是那么迷人。            
(NA)	 都是在饭后和老豆一块看的            
(3星)	 远不如12，差点给两星了            
(4星)	 扯吧.....为嘛看到那谁郑嘉颖感觉还是好好啊（花痴状。。。）            
(3星)	 还是不懂胡杏儿是怎么上位的……            
(2星)	 TVB你不要搞得跟白痴偶像剧一样好不好，别人所做的一切都是为了衬托那一个男主角的好！好假！            
(2星)	 神马玩意儿。。。。只有外型可不行啊            
(3星)	 真得很一般。            
(3星)	 3.5星！一开始蛮好看，回忆个p 啊~            
(3星)	 炮灰变植物人，好不容易醒了又断腿，好不容易站起来了又截肢。KC就是那力捧的影帝。Bosco很浮夸，评论说的对，这些角色不会磨练演技。            
(3星)	 love bosco            
(3星)	 要不是为了感情我真tm想给2星。            
(NA)	 救火题材无能哇            
(4星)	 别太执着额            
(2星)	 这部怎么那么难看。            
(NA)	 狗血啊狗血，严重践踏观众的常识，那些情节也太巧了点吧？            
(1星)	 妈的，我看完了……            
(3星)	 不行，编剧太差，狗血得厉害。            
(NA)	 纯粹为了黄宗泽和郑嘉颖去看的~胡杏儿实在丑得可以。。。            
(4星)	 比前部好看,尤其郑嘉颖啊,总演这种没有缺点的好男人喜欢死了            
(3星)	 胡杏儿怎么丑成这样，王喜一如既往的惹人厌            
(3星)	 为了KC跟BOSCO 咬牙看完。。。胡杏儿太讨厌了 想掐死她！            
(4星)	 摆脱困难，创造奇迹！            
(3星)	 讨厌郑嘉颖.胡杏儿.还有大团圆结局.            
(3星)	 王喜太惨了，郑嘉颖在里面人也未免太好了点！！！            
(2星)	 OMG~~~胡杏儿，打回原形……有KC都撑不住了……            
(5星)	 好看            
(4星)	 王喜是变态的。            
(3星)	 10集以后就不想看了。。            
(NA)	 竟然一模一样的            
(2星)	 TVB越来越2了            
(2星)	 烂啊烂~我只喜欢encho那一对啊~            
(NA)	 实在是太难看了！真难为我为了积分硬是看完了！            
(4星)	 天哦,胡某的发型..            
(4星)	 放弃..            
(4星)	 最后一集还是很精彩的，作为香港作风的消防剧，传承了前几代的精绪，让人会同时爱上王喜、黄宗泽和郑嘉颖的角色            
(3星)	 一直都是为了追黄宗泽和陈茵薇那一对，很喜欢easy！本来很讨厌编剧写得王喜那么惨，不过后来也还觉得可信。喜欢片尾曲。            
(5星)	 encorn.            
(2星)	 一直嘅感情糾紛...好無聊...既然系一部描述消防員嘅電視劇，點解唔可以多D描寫消防員嘅工作叻？            
(1星)	 没见过这么纠结的电视剧 脑残的编剧和 脑残的胡杏儿和郑嘉颖            
(3星)	 好吧。因为最后一集真的很烈火真的很雄心。所以。它至少不是烂片一部。            
(4星)	 喜欢王喜~~~            
(4星)	 消防员的爱情片            
(2星)	 我求求胡杏儿别再出现了，真的很受不了她那种浮夸到可笑的演技，从野蛮奶奶开始就一直忍耐到现在，她饰演几乎每个角色几乎都很讨厌人！然后该剧其实主要是讲消防员的私生活和爱情观的……MLGB            
(5星)	 fireman好帅            
(4星)	 恩有些场景还蛮吸引的            
(4星)	 虽然我不怎么喜欢王喜，但大结局里钟有成苏醒的那刻还是很感人，断气不可怕，失去了人生才是遗憾的。            
(5星)	 最喜欢郑嘉颖            
(3星)	 WX就是一悲剧...            
(3星)	 我还是喜欢王喜和黄嘉乐 感觉拖太长了            
(2星)	 剧本实在是烂的不行，完全毁了我对烈火3的期待!            
(2星)	 难看..            
(3星)	 可怜的王喜            
(4星)	 一个神,一个半人神,一个半人魔,以及一个人嘅故事.            
(NA)	 放弃了。。。            
(3星)	 要不是郑嘉颖我还真没兴趣看下去了。。。胡杏儿的角色毫无性格。。            
(5星)	 喜欢看黄宗泽那段            
(2星)	 看郑嘉颖 演戏            
(3星)	 不喜欢胡杏儿            
(3星)	 我不喜欢胡杏儿            
(2星)	 王喜就几集,还想我看下去真的很难~~            
(NA)	 没看完. 老子不看郑嘉颖了妈的看见他那张脸就来气.            
(2星)	 跟以前比简直是烂and我不喜欢这个剧本 为什么把王喜写成这样的人嚄~~ = =            
(3星)	 有烈火~有王喜~貌似英雄被颠覆咯~哀...            
(3星)	 最后一集最好看= =            
(3星)	 越来越无趣。            
(3星)	 这部剧为了证明王喜的演技……            
(3星)	 王喜晕迷之后就追不动了。。            
(2星)	 看不下去了            
(1星)	 没有继续下去的欲望，越来越狗血            
(4星)	 有时候挺搞笑的~有时候又有煽情的兄弟激（基）情~~^^            
(3星)	 原本想给2星的，最后一集还是决定给3星了，不过这部真的彻底毁了王喜。。            
(3星)	 看不下去了  不喜欢郑嘉颖            
(4星)	 鉴于我没要看过一二部，所以我真觉得这部不错。            
(NA)	 居然三十集.真系漫长.自从上高中就冇追tvb.纪念下我两年来第一部tvb，初中的疯狂就忽略好了。            
(4星)	 牛哥生命力太顽强了！            
(3星)	 王喜王喜            
(3星)	 烂尾            
(4星)	 有感触、、、            
(NA)	 再执着的人也有放低的一天...            
(5星)	 王喜怎么不去死            
(4星)	 最后一集还是相当不错的，感情戏看得云里雾里。            
(NA)	 让人心痛得卓sir             
(5星)	 老实说，有点失望。            
(3星)	 其实我是不习惯打低分的。。。可也就这样吧，实在看不下去了，唉。            
(3星)	 终于快进看完了 唉～            
(2星)	 纪律部队的事怎么总是有点无聊            
(2星)	 不是烈火系列了~~韩剧戏路,虐虐虐            
(3星)	 剧情过于平淡和老套，救火场面也一般般            
(NA)	 弃            
(3星)	 還是比不上前兩部。            
(2星)	 看了前半部分后半部分看不下去。就没接着看了。            
(2星)	 很拖很无聊 哎~不过还是坚持看完了 后面已经和消防没关系了 是三角关系 还好结局那场火蛮精彩的 就是那个TVB式的结尾有点无语 烧烤+接到ORDER            
(3星)	 35集是集体景涛附体了么。。。            
(5星)	 阿阿阿阿第三部!!!!!!!!!!~~            
(NA)	 我宁愿是个悲剧的结局~            
(3星)	 好潮的encore，好可爱的说~~~让我对鲜艳的颜色有了不一样的情感啊。。。            
(2星)	 失望..            
(1星)	 就这样吧 老娘我已经没有去看最后几集的心情了 看了只是自己伤身伤心 烈火还是定格在天佑 定格在纪得 定格在我曾经悸动的flaming heart吧            
(4星)	 悲情的经典            
(4星)	 卓sir有什么错，不是他阿牛怎么会修大学升到后来，不是他讲义气，很多年前没追女主，还帮阿牛追，明明他先认识女主的，不然阿牛怎么会得手。可是在一起根本不合适，阿牛只执着自己的，自说自话自己愿意为女主改变，逼得女主无路了才分手。分手了跟谁在一起关他鸟事。自己固执执着就算了，还害了别人            
(3星)	 最后几集是拖着看完的！            
(3星)	 三颗星都是给王喜的。这部剧捧人捧的太明显了，KC被塑造成完美男了- -衬得钟有成这个角色超级小气什么的，王喜在烈火3里超苦逼啊，换谁都接受不了啊还说人固执啊什么的，里面的人都没啥良心的，最后三角恋相当狗血。最后王喜的演技超级强大啊。看着黄宗泽和胡杏儿各有感情戏感觉也很别扭啊            
(5星)	 从小学的记忆就开始的烈火雄心            
(2星)	 不喜欢胡杏儿的演技            
(4星)	 焦点萌点关注点全是KC~~KC根本就是制服控~~            
(2星)	 《烈火雄心》系列无疑是我人生中港剧启蒙的一类片子，不过这部实在让我失望。除了小bo那对外，王喜看得我心疼，KC一点儿也不讨喜，杏儿的角色更是招人烦。唯一的亮点就是最后一集KC和小bo轮流给王喜做人工呼吸那里。            
(5星)	 港剧中精品            
(5星)	 TVB拍职业剧真的碉堡了 消防员真是个高尚的职业 KC好适合穿制服 最后那场大火救灾太揪心了 哭死我 嗯 好剧            
(3星)	 烈火雄心的辉煌终结于此            
(5星)	 五颗星全部打给Rex无敌的颜。            
(3星)	 比1难看点点，比2差远了。            
(3星)	 为什么编剧要把钟有成这个角色搞得这么惨- -            
(3星)	 所以，王喜从这部就从我心中的形象默默地移动走了。            
(4星)	 只为kc            
(3星)	 那个时候胡杏儿还很丑！为毛两位还是为她争破了头！            
(4星)	 阴暗的不是烈火3，是喜哥！            
(2星)	 实在看得忍无可忍，你妈的可以不要再回忆了吗            
(NA)	 看完整部电视最贱的就是胡杏儿演的那角色了，另外，钟有成你有完没完！            
(4星)	 找对象就该找卓sir这种咯，不过不要那么帮兄弟就最好啦……            
(3星)	 完全为了KC~ 好帅啊！王喜那个角色真是说不出的感觉。。。小辣椒一开始让人讨厌，后来越看越喜欢啊~             
(3星)	 为了看KC才看的，剧情诡异了些许。电视工作者不容易啊，Bosco不但要看杏儿和KC谈情说爱，还要撮合，不知心情如何。。。。            
(4星)	 tvb视后、视帝的片...            
(3星)	 为了捧KC把卓柏宇直接弄成“高大全”，怪不得潜行狙击里捧黄宗泽做得好多了，原来经验使然啊~            
(4星)	 虽然感情和人物塑造方面没有前两部好，但对消防的刻画更真实和专业，香港消防大部分时间都是在处理事故或者帮市民服务等，入火场的情况其实并不太多，这4颗星是给这个的，其他槽懒得吐，王喜演得很棒但角色太烂            
(3星)	 忍着看完了...结束它把...            
(3星)	 这片子太毁经典了，副线还行，主线的三角恋简直各种无爱,,,,            
(NA)	 火场戏很精彩，但到后面就没了。 偏执狂神马的最讨厌了             
(3星)	 不变的还是王喜 bosco郑嘉颖来了 不喜欢胡杏儿咯            
(3星)	 发现tvb的最后一个镜头永远都是在一个喜庆的场合中因为得到什么消息大伙人一起冲出去= =要不要这样= =            
(4星)	 还是为了KC来的~~~            
(2星)	 只怪1太经典，2里的方中信蒙嘉慧组合也很得我心            
(3星)	 不是很喜欢王喜- -bosco和kc还是很帅的~            
(3星)	 人还是不能太钻牛角尖！            
(4星)	 有郑嘉颖            
(3星)	 剧情狠狗血，三角恋各种苦逼，劲讨厌胡x2 的角色。两粒星打给卓柏宇美貌的样子和身材，如果没有郑嘉颖，这戏只值1粒星。            
(2星)	 如果不是因为郑嘉颖和黄宗泽，我真的很想给一星，太。。。难看了。。。            
(3星)	 王喜是来打酱油的啵            
(NA)	 王喜的角色近乎于变态了。这剧果然是在捧KC和HX2以及bosco了。总的来说烈火系列还是很经典的。4估计不太可能了。            
(NA)	 好看             
(4星)	 最后一场火 烧的那叫一个劲啊~！            
(2星)	 和1、2有毛的关系。。。            
(3星)	 烈火谈情比较合适。            
(2星)	 看了十集看不下去了，真纠结，什么稀烂玩意儿，角色太恶心了，哎，浪费表情！            
(3星)	 又是一部NC剧（你揍凯！），跳着看完卓sir的部分。卓sir也是真心美 TOT            
(3星)	 这部是最新的，电视上看过点的，不过发觉港剧已经没什么新意了。            
(3星)	 虽然是系列片，但是还是小失望了点            
(2星)	 我想敲死王喜，编剧你妹的脑残！            
(4星)	 觉得还是大团圆结局好。现实已如此艰难，看电视就不要那么痛心疾首了。最终固执的阿牛再一次经历生死，解开了心结，放了自己，也放了柏宇和阿盈。消防员真的是一份神圣的职业，救人于火场，随时面临着死亡的危险。这部剧每次火灾现场都让人看得分外紧张，真实感很强。是因为kc才看这部剧的，没让我失望            
(NA)	 爱卓sir            
(5星)	 剪辑版只看安安。。所以看得挺欢乐的。。悼念下吸盘——黄宗泽的爱狗，我们爱你！            
(3星)	 演员喜欢。剧情太不精致了哦. 2011.10 Lindsay.            
(3星)	 不知道两个那么man的男主看到那么不咋的的女主为什么会魂不守舍。            
(3星)	 虐也不是这么玩的 王喜            
(5星)	 卓SIR，帅死人木商量            
(3星)	 白痴编剧啊            
(2星)	 看不下啊。。            
(4星)	 喜欢KC。。。帅！            
(3星)	 没看过一二的人表示此剧剧情很狗血，搞什么三角恋，两位男主在一起都比这个好。tvb真是一心捧kc,这种男人怎么存在的？不过他本人我就已经很喜欢，所以nc粉还是闭嘴比较好=_=            
(2星)	 3原来帮前两部没什么联系啊。。。完全提不起兴趣哦。。。            
(4星)	 奔着KC去的，讨厌胡杏儿            
(2星)	 胡囧儿的造型敢再囧一点么。            
(NA)	 胡杏儿，能不能不要和我喜欢的演员一起演戏，我闹心啊！！！            
(4星)	 喜欢Rex~            
(1星)	 有胡杏儿的地方就有一星.            
(NA)	 都是些老演员，有些更是成为了今日TVB的重头戏。嗯哼，喜欢不减当年。            
(4星)	 看到哭了            
(3星)	 只能说可以看 没抛弃            
(4星)	 为kc            
(4星)	 KC让俺落水的一出            
(3星)	 被迫着，断断续续的看完了，我想还是比较喜欢工作            
(4星)	 四个星给郑嘉颖~帅死了~好吧我承认自己很花痴            
(2星)	 毁了这个金牌系列。            
(3星)	 因为这部剧觉得郑嘉颖超级帅...瞬间觉得他演的小人都是浮云...这部剧之后，真心觉得他...上了年纪。            
(4星)	 消防员叔叔好有爱！            
(3星)	 编剧的责任 不是演员的责任            
(2星)	 唯一亮点是陈展鹏。            
(3星)	 因为KC才看哒。。卓sir很帅哈。。杏儿那个角色不讨喜，而且不适合她            
(3星)	 其實到最後我沒能看下去，混亂的感情啊！            
(2星)	 有点小无语..            
(NA)	 感人啊            
(NA)	 我看到高卓盈就想124！！      做作不是一般！！  装理智  真想她永远不要出现在牛哥面前！   牛哥你是条汉子！！   我们服你！            
(3星)	 王喜在这里快崩溃了，很可怜            
(2星)	 比前两部差很多，根本没看完             
(NA)	 角色不讨喜 怎么看都帅            
(5星)	 最爱的KC和宗泽！每个人物都有血有肉，刻画的相当细致！            
(3星)	 坏了招牌            
(3星)	 什么烂编剧太对不起这阵容了。。。            
(3星)	 烈火系列越来越不行了。。。            
(3星)	 總之不太喜歡胡杏兒就對了，勤儉樸素又大度，都認為她好看，這種形象還真是不太對胃口            
(3星)	 这两男人抢胡杏儿？抢什么？抢她的假发吗？3星都是给REX哥的            
(4星)	 三部么？我以为两部呢。。。这部应该看过的。。。            
(3星)	 厄。。也就看看黄宗泽            
(5星)	 TVB的职业剧就是那么专业            
(5星)	 郑嘉颖&amp;黄宗泽            
(3星)	 卓sir好帥，不過有些劇情還是有點狗血的。            
(5星)	 爱死TVB啦 有郑嘉颖直接给5颗星星 其實是:前半3星 后半7星 平均5星星              
(2星)	 胡杏儿去死好么            
(2星)	 一般            
(4星)	 冲着KC的            
(4星)	 認真地想胡杏兒去死            
(3星)	 回忆你哥头            
(4星)	 好看好看啊~~~            
(2星)	 烂片~            
(NA)	 胡杏儿的表现有时很差强人意。            
(5星)	 最后一集看哭了            
(3星)	 烈火雄心越来越不好看了嗳            
(3星)	 胡杏儿实在是太丑太丑了，黄宗泽好可爱啊            
(1星)	 X先生您是續集剋星嗎？？            
(3星)	 三星献给郑嘉颖。。。            
(3星)	 真心觉得胡杏儿丑啊            
(NA)	 看到一半            
(5星)	 长发的x2.            
(4星)	 很不错的电视剧。            
(NA)	 最近很迷他            
(3星)	 看了一遍绝不能看第二遍。。。王喜实在是太让人纠结了。。。            
(NA)	 当时觉得很好看            
(4星)	 出去旅行的时候每天早上不想出门就是因为看这个电视剧，回到家马上把全集都看了，我就是喜欢看港剧~            
(2星)	 有必要什么都发生在有成身上么。。            
(3星)	 王喜的戏份真的有点离谱啊 - -他是男主角的嘛，郑嘉颖我还是挺喜欢的哇 可是他的角色会不会太完美了一点啊。。。。杏儿为什么是假发啊- -|||不要这样毁人形象啊            
(4星)	 王喜真给力！            
(3星)	 冲着黄宗泽和郑嘉颖去的            
(4星)	 看在帅哥的份上加一星 编剧狗血就要狗血的彻底好伐            
(4星)	 不喜欢王喜演的阿牛这种性格的,还是喜欢BO和KC在里面的角色            
(5星)	 I love the ending very much.P.S. I also love the three actors.            
(5星)	 爱死卓sir啦~~            
(NA)	 郑嘉颖~~我的众位表妹特别喜欢郑嘉颖，我于是和她们一起了解了下，然后我也开始喜欢郑嘉颖了。。。然后我就知道他要演步步惊心的八爷了。。。            
(3星)	 最感人的要数最后一场火 当大家把王喜救活过来之后 哈哈大笑抱在一起 一起出生入死这么多次 这种兄弟间的情谊让人感动 这种职业的奉献精神让人感动。            
(NA)	 剧情的确好狗血~重温一下就系为左睇啊吸盘            
(4星)	 我喜欢的TVB，有黄宗泽郑嘉颖，从没觉得胡杏儿是如此的不讨喜            
(4星)	 好看             
(3星)	 三角恋加失忆，TVB经典狗血剧情，我只快进看完了BOSCO~            
(5星)	 卓sir~嘿嘿            
(3星)	 岁月不留人.....王喜啊....            
(3星)	 三颗星给王喜            
(3星)	 打发时间看看吧~            
(4星)	 完全看不出俩人差10岁啊！！            
(3星)	 EASY有种得寸进尺的感觉...            
(4星)	 黄宗泽            
(4星)	 我就是喜欢KC和杏儿            
(4星)	  有成 很可怜柏宇很帅气   有意这歌不错            
(4星)	 觉得郑嘉颖在里面很帅~            
(3星)	 剧情设置非常不合理，王喜作为主角居然晕了半部。还有他杯具的人生，和莫名其妙的三角关系。            
(5星)	   一 戏里这样演，还是演成这样让所有人都认为是正常的，不符合逻辑的，演成阿盈这样的女人。还有钟色这样的朋友，是很可恨的，可导演非要把他们俩演成正面角色。怀疑导演的爱情观，价值观，人格，尊严，  二 把生活中的反面人物演成电视剧中正面人物。把电视剧中的正面人物却演成生活中的反面人物，            
(NA)	 胡杏儿瘦了，跟整过一样。。还是圆圆的好看            
(3星)	 为毛胡杏儿在里面很丑呢？            
(4星)	 终于看完了，够长的啊~~还是挺好看的&gt;&lt;郑嘉颖很帅呢^^            
(2星)	 物是人非事事休            
(4星)	 王喜弄真的老了.......            
(NA)	 喜欢郑嘉颖            
(5星)	 都说3没有1,2好看，尚未看过1,2 的小孩表示很喜欢郑嘉颖和黄宗泽，只是有些受不了里面的感情纠葛！            
(3星)	 我觉得这部没有法证2好看。……只是郑嘉颖比较好看。            
(3星)	 就看黄宗泽            
(3星)	 要不是黄宗泽～我一眼啊不会看            
(4星)	 消防员很勇敢            
(3星)	 王喜老了。。。人物关系有点没搞清楚 感觉感情戏更多了- -没第一部好看            
(3星)	 只是对两位男主角的审美感到十分无语，胡杏儿这种咖有什么好争的……            
(NA)	 Out of difficulties，make miracles            
(4星)	 希望王喜和胡杏儿在一起，哎~            
(2星)	 两男争一女很常见，可争残废了，寻死了，要不要这么戏剧，这么杯具，这么茶几……            
(3星)	 这里的王喜很不讨好            
(3星)	 只看了前12集和后10集            
(2星)	 BOSCO            
(3星)	 唯一一部郑嘉颖看着顺眼的剧。。。            
(NA)	 郑嘉颖到底后台有多硬啊！            
(3星)	 不出意外的结局。王喜明显被郑嘉颖压住了！！            
(4星)	 王喜真可怜 唉            
(5星)	 很愛rex            
(5星)	 郑嘉颖阿~~~~~~            
(3星)	 KC BOSCO            
(4星)	 郑嘉颖！！！不喜欢王喜的角色……            
(2星)	 王喜老了...没想到会有第三部，出来的时候期待良久，就是最看不下去的一部....            
(NA)	 忽略掉女主！这戏就是超级赞啊！！！~~~KC帅啊！！！王喜棒啊！！！这戏腐啊腐~~~            
(NA)	 这里面胡杏儿真是讨厌死了 还有bosco和KC真是帅啊帅啊帅            
(3星)	 3比2好看那么点。三角恋的莫名其妙。王喜满作孽的。只有1是永恒的经典。希望表有4了。            
(4星)	 都是一个编剧吗？我看得剧情特别是感情戏特腻，换点新鲜的成不？            
(4星)	 唉。没有之前的好看。            
(3星)	 也算纪律部队吧，就当他警匪吧。。。必须无奈地承认的是，我确实不待见郑某人。。。            
(3星)	 没前面两部好看~胡杏儿是败笔啊！            
(2星)	 看不下去。。。            
(3星)	 因为黄宗泽而看~            
(5星)	 冲着帅哥去的            
(1星)	 本来很期待，看到胡傻逼，这部片子变垃圾了            
(3星)	 怎么说呢，看了五集终于还是放弃了，也许等我老一些这样的故事会更吸引人...            
(3星)	 这个片子我居然是一出来就看了，后知后觉阿。。            
(2星)	 搞也搞不清的人物关系 剧情一般 人物感情一般 还是喜欢关咏荷的那一部            
(NA)	 看完之后就后悔了            
(2星)	 看了一多半表示：我忍！要不是为了演员，我才不看            
(4星)	 一开始救火的情节什么的都拍得很好，很紧张~~            
