http://movie.douban.com/subject/4707205/	爱情公寓2
(5星)	 第二季终于开始说人话了，没有生硬的汉译英的台词和做做夸张的表演了，多了点用心和自然。很多笑料就算熟悉但是也照样有笑果。特别是多了张伟，超喜欢他。悠悠也挺可爱的。觉得角色设计的比第一季的要好一点。            
(4星)	 好的是演员还比较敬业。            
(4星)	 先看二再看一，虽然二已经好看一千倍了，但一比二好看一万倍，因为给了一五星，所以只给二四星            
(4星)	 別太認真 好笑就行            
(5星)	 各种戏仿是对优秀外来文化的吸收 加入中国特色的流行文化则是在优秀样本基础上的再创造 这么一部能让人开怀大笑的电视剧不给五星都是件天理难容的事 但是好看的连续剧也有个缺陷 就是当你对它发生感情产生依赖的时候 它“决绝”的告别简直比毛片看到一半女猪脚就要高潮的一刹那却停电了还要难过。            
(NA)	 看完第一部最期待第二部的我 到现在才把第二部看完 真是没有之前的精彩            
(4星)	 为酷似曾小贤的tele鼓一个掌            
(NA)	 胡一菲真的很萌的啦！            
(4星)	 我居然花了一周看完了....             
(3星)	 明显不如1了...            
(4星)	 很可爱啊。。&gt;&lt; 笑死我了。。            
(4星)	 客观来说，把how i met your mother及其它美剧抄成这样真是不要脸，但是能把那么多网络段子整得那么有声有色也是种本事。演员的喜感和默契度都不错，但是一集太长，剧情杂乱，没有美剧干净利落。大陆出个火成这样的剧也不容易，还是给点鼓励吧。            
(3星)	 只有一集让我笑趴了 不如第一部。。。。            
(3星)	 山寨剧中的战斗剧，矮子剧中的将军剧            
(5星)	 真的好喜欢一菲和曾哥这对couple啊~这剧太欢乐了。。男同胞们演得都好赞啊~喜欢子乔真人版~            
(4星)	 是我之前有眼不识泰山，谁说山寨不好啦。。。我觉得这片子就山寨得不错，至少我看着挺乐的。。。。            
(3星)	 整体水平还过得去，就第二季来说该考虑多些原创的剧情，除了赵文琪外，其他两个新演员感觉不太合适；穿越那集，乃伊组特还是满传神的。            
(2星)	 全方位抄袭How I Met Your Mother            
(5星)	 喜欢。。。这个编剧真的会讲故事。。跟冷阵雨比起来，，一个天，一个地，，，还得往地里钻。。根本不能拿来比较的。。我错了。。            
(4星)	 我承认我堕落了            
(5星)	 茶余饭后必备良片。没想到最后一集拍摄和运营都这么出彩            
(4星)	 老人都很好，新人良莠不齐            
(4星)	 要买阿迪王，请加雷阵雨Q群~笑死我吖妈个女罗~            
(NA)	 逗哇            
(3星)	 虽然能知道所有出处，再看国内翻拍的限制版很不给力，但还算可以期待下集。 演关古的是上海的吧？ 有时漏几句上海话，其实那怪怪的日语语调很多是基于上海话...            
(5星)	 最后一集把我给看哭了            
(4星)	 圖個樂呵^^            
(5星)	 最后居然要投票！。。。。            
(4星)	 还是不错的！            
(5星)	 打酱油的张伟            
(4星)	 笑得腰都疼了，国内拍成这样的电视剧多么难得！！最爱胡一菲，让我想起曾经的多多，一样的直率和美美的身段。            
(3星)	 三颗星，两颗给《HIMYM》，一颗给《TBBT》以及其他日美剧╮(╯▽╰)╭            
(4星)	 笑点没有第一季多呢！            
(4星)	 翻拍得挺本土            
(2星)	 其实中国人拍喜剧的能力在90年代就已经用尽了            
(3星)	 big bang和你有仇么？            
(4星)	 节奏比美剧慢，但叙事逻辑，剧情编排和拍摄风格已经向美剧靠拢了。比如你看再多美剧，都不会有除夕夜活动。而在学习美剧的大陆剧中就可以看到，这是我们看的原因。混血优势？            
(4星)	 第二部明显比第一部弱了点。但是好在大部分笑料给的还算合理。估计第三部有点悬了。            
(5星)	 结局很出色            
(NA)	 我的治愈系            
(5星)	 还要拍续集啊。。。            
(5星)	 ！！！            
(3星)	 虽然只给了三星，但是我还是挺喜欢的。希望第三季更好看！            
(3星)	 看不下去了 婉俞和悠悠 太讨厌了  老梗太多有点无聊            
(4星)	 哈哈，不看不知道，一看还挺好笑的            
(3星)	 还是喜欢第1部的班底            
(1星)	 一群派对动物的淫乱生活。            
(3星)	 有几集还算是好笑，可是上季存在的剽窃问题依然存在            
(1星)	 我可以打一颗星咩 = =            
(4星)	 討厭。。。啥時候能有下回分解！！！            
(4星)	 我只能说，第二部成功的地方时更加商业了，但我还是很喜欢，只不过喜欢程度上不如第一步了。结尾的话，我选D            
(5星)	 就算是抄的也是抄得很不错那种            
(5星)	 没有第一季完美了~ 不过仍旧搞笑  赞！            
(3星)	 还是第一部好~            
(4星)	 就是演的太用力了            
(3星)	 主要是不喜欢那两个新进的演员。            
(3星)	 消遣用很適合。            
(4星)	 更为明显的模仿《老爸老妈浪漫史》了 但是有些合乎我国情况的创新 而且超级搞笑            
(5星)	 一路2到底~            
(5星)	 虽然恶搞成分很大，但是真的很搞笑，好片~爱情公寓第二季「20集全」BT种子下载地址 http://yunfile.com/file/lzjygn/84363eb6/            
(NA)	 我很怀念第一部            
(5星)	 国产美剧范儿            
(5星)	 让俺笑得很欢            
(5星)	 我承认我喜欢关谷了哈哈            
(3星)	 一般般吧。。。只能这么说了            
(4星)	 没第一季好看~减一颗星            
(5星)	 B or D            
(1星)	 丫敢有哪集别抄老友记么            
(4星)	 这个春节就看这个了 新加的三个演员都不喜欢 不过还是爆笑连连            
(5星)	 虽然很脑残，但是真的很好玩。。哈哈哈  太搞笑了            
(5星)	 期待第三季~            
(4星)	 换演员了，没第一部给力了，很多台词都是老段子了。            
(4星)	 结尾也太不给力了点吧。俺有个同事是胡一菲的高中学长，明天我得问问他结局到底怎么回事。            
(3星)	 第二季有点失望哦……            
(5星)	 第三集居然看睡着了            
(NA)	 弃            
(5星)	 最喜欢的国产电视剧            
(4星)	 巨好看~~如果沒有抄襲就更好了！！            
(5星)	 没有了展播我很失望            
(5星)	 太jb逗了~~            
(3星)	 沒第一季給力……很討厭張偉 太傻逼了 新加的倆女的也不行 沒啥特色 笑點都很過時了 雖然和審批也有關係……總之 唉……            
(4星)	 我要500W！选B！            
(5星)	 我承认我的笑点不高 ^_^            
(5星)	 张伟把背心带子从衬衣里拖出来弹的那场能让我笑一辈子！            
(5星)	 恶搞色戒那集真的是笑死我了！！哈哈哈哈哈             
(5星)	 虽然有抄袭，但也算不错了。喜欢好男人曾小贤。(☆▽☆)            
(5星)	 更喜欢曾老师和胡一菲了呢。。。            
(4星)	 2的很直接 不做作            
(3星)	 和Yy看了两天 居然觉得还不错            
(5星)	 山寨也有爱！！！            
(4星)	 中国特色的Friends~            
(NA)	 能不能不要跟胡一菲搞爱情线啊            
(5星)	 每天下班的动力就是可以回寝室看《爱情公寓》了，我就是个俗鳖哦也。            
(2星)	 很好笑，人物性格设定和台词也很出彩，但是有些段子完全照搬老友记，这也太贱太可耻了            
(4星)	 其实我一直没想通。神奇和悠悠在一起的事儿。            
(5星)	None
(NA)	 如今我苦逼的生活还真是需要这种堆砌了乍看起来很无趣但堆积起来还好笑笑的段子的。。。。。青春偶像剧了。            
(4星)	 在包包的強烈推薦下，終於看完了……不得不說，有幾集笑得眼淚狂飆…小屁屁在一旁都受不了啦Orz            
(3星)	 明显没有第一季好看。不喜欢邓家佳！            
(5星)	 第十八级。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。笑死我了。            
(4星)	 最受不了结局最后煽情的画面了，总他妈想哭哎呦喂。            
(4星)	 最後的結局好坑爹            
(4星)	 不錯，臺詞hen 經典            
(5星)	 曾小贤会选D的吧！！投毛个票！！            
(4星)	 演技抄袭什么的，吐啊吐啊也就习惯了……            
(5星)	 不错，自己的风格。            
(4星)	 俗的还是想看            
(3星)	 羽墨一点笑点都没有            
(NA)	 我到底吃了多少次外卖吹了多少次头发……            
(3星)	 稍逊            
(5星)	 赞！年轻 青春！            
(5星)	 搞笑。            
(3星)	 编剧缺乏想象力，比起第一季差的不是一星半点，特别是那个演过十全九美的那女的出现。。。那女的演出都太用力，演得很不好。。。完全不如第一季的美嘉~            
(2星)	 看群里在叫这个。。。。跟风看了 没感觉哪里好看。。            
(4星)	 我就是看得欢乐。。            
(3星)	 Online            
(4星)	 至少看得很开心，管它是抄袭、模仿、还是致敬呢            
(5星)	 又搞笑又感动 最后两集被小贤和一菲虐死了！            
(NA)	 扯淡继续中。。            
(5星)	 轻松            
(NA)	 第二季完全无笑点…一直在快进…新加入的人一个不喜欢…             
(4星)	 此季超爱唐悠悠童鞋。。。            
(5星)	 还是给5分吧。现在看《老爸老妈的罗曼史》，导致一点悬念都没有~            
(5星)	 管他抄不抄，确实很好笑啊，哈哈哈哈            
(5星)	 2011-03-02;还是在youku看完了这部片子。看到结局，内心深处有一丝伤感。喜欢胡一菲。《2》比《1》更好看。作为一个很少看美剧的人，我觉得，《爱情公寓》很不错。            
(3星)	 鄙视我吧            
(4星)	 终于看完了，没啥好说的，希望中国电视剧再接再厉！            
(5星)	 话剧都拍成电视剧免费给你看了，还拍的这么好！快出3吧！            
(NA)	 比第一部好看很多啊，有进步            
(5星)	 曾老师真情流露最高！原来以为是超级山寨片，结果看着就一发不可收拾……            
(5星)	 虽然太多美剧的情节，不过还是很有爱。。。山寨山的也很欢乐。            
(NA)	 我的美嘉啊            
(5星)	 比较喜欢胡一菲。            
(4星)	 第二季就出彩的就是第14集吧，没有抄袭只有恶搞，太搞笑了。好好的编自己的剧不好么，抄得多没意思~~希望第3季多点自己的特色~~            
(3星)	 help=1965            
(3星)	 个别几集还行            
(4星)	 模仿，有些笑话是挺重口味的，哈哈，虽然像是美剧情节大回顾，但还是要推荐的。            
(4星)	 前几天刚看完，选b还是d            
(5星)	 看完后嘴又大了一圈==            
(3星)	 第14集，几部电影的cosplay，哈哈哈，有原创性了            
(5星)	 没第一季那么好看            
(4星)	 好男人就是我，我就是...            
(4星)	 那么多人吐槽说抄袭啊什么的，我觉得就看一乐呵没必要那么认真，反正我就是傻乐傻乐地来看的            
(4星)	 一流的情景喜剧。没看过1，不爱看美剧，的确津津有味。精髓在于阴差阳错与戏仿。友情支持邓家佳PS 我爱上了娄艺潇的sloggi            
(5星)	 最后一集哭了 期待第三季            
(5星)	 那段圣斗士关谷把我笑趴下老～～哈哈哈哈哈            
(4星)	 出乎预料的好看啊~            
(5星)	 虽然不及第一季。但是可看。最好看的是14集和最后一集。期待第三季有曾老湿把胡一菲推倒在墙上佐死地强吻她的故事情节！！！！如果我是编剧就好了……            
(2星)	 新换的那两个女演员看着就不由自主按快进，就看了第一集还有倒数两集，中间没看，╮(╯_╰)╭ 最后曾小贤应该选B吧，跟开头呼应到了~~~            
(4星)	 没看过第一部~挺喜欢邓家佳饰演的唐悠悠~胡一菲浑身上下简直是霸气外露啊~            
(5星)	 依然很好看，很好看很好看。            
(5星)	 笑死我了～～～～～            
(3星)	 特么的还有续··= =            
(5星)	 真的很搞笑，看起来很轻松什么的~~            
(5星)	 很搞笑            
(5星)	 真感动。            
(5星)	 很好看！~            
(4星)	 有些梗老、雷同，还不免有贵国特色的说教            
(4星)	 哎，越到后面久越不是很给力的。但总体还是很赞的            
(5星)	 曾小闲~            
(4星)	 曾小贤贱贱的但也很可爱            
(3星)	 事实证明2都比较2。            
(5星)	 抚慰了我的春节            
(4星)	 选B吧……不拿白不拿……但是为了第三季估计是要选D了额            
(5星)	 在家和妈妈一起看的，好乐~            
(4星)	 矮油，模仿恶搞了很多桥段咩~其实关谷追悠悠的那段还是看哭了。特别是当关谷说我很想保护你的梦想的时候麻痹的眼泪刷刷刷流得稀里哗啦的。            
(4星)	 是你的益达~            
(4星)	 你以为你可以把青春存档么？            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 第二季没第一季好看啊            
(5星)	 我B 我觉得大多数人也会选B吧            
(4星)	 打发打发时间，还是挺有笑点的~            
(5星)	 唯一让我能笑的最欢的了            
(NA)	 什么结局啦这！！！            
(5星)	 好男人就是我 我就是 曾小賢 啊哈~            
(NA)	 暗算之后第二个。            
(4星)	 仔细看了 发现还可以            
(4星)	 我觉得能抄的这么有水平已经很不错了……            
(4星)	 没了美嘉 展博琬瑜 不好玩 ╮(╯▽╰)╭            
(NA)	 好男人就是我 我就是 曾小贤~            
(4星)	 不如一....            
(3星)	 从第一季开始俺就是看曾小娴的嘛。如果对应老友记的话，曾小娴对应的就是我的bing bing..            
(3星)	 都没劲吐槽了。。            
(4星)	 好笑，就够了            
(2星)	 大言不惭说看过  其实就看了四集  实在看不下去了   电视剧都抄袭山寨    祖国人民别再做这没水平的事了...            
(4星)	 搞笑。。。            
(NA)	 3←             
(4星)	 果然抄袭好多生活大爆炸……不过也要给我个结局吧！！！！曾小贤怎么还没和胡一菲在一起！！！            
(4星)	 从HIMYM抄到贫民窟的百万富翁，老实说，其实抄的还不错。            
(5星)	 也太好笑了吧！！！            
(4星)	 第二季有些许借鉴的地方 总体还行            
(5星)	 我已经决定再看n遍了            
(3星)	 第二季不如第一季            
(2星)	 太山寨了……而且每集的剧情雷同让人抓狂            
(4星)	 和两弟弟一块儿还是看点轻松搞笑的比较好，哈哈哈哈，乐死了！            
(5星)	 关门放小贤            
(4星)	 吕子乔你和张伟在一起算了            
(3星)	 有点低俗了。。。唉。            
(4星)	 现在我阿姐家。            
(3星)	 段子有点老            
(4星)	 有几个演员换掉了，不过最重要的曾老湿还在。好男人就是我，我就是曾老湿~            
(4星)	 这季的男人们何必个个都是大刘海的偶像发型呢！！！要命            
(NA)	 大过年的看看最适宜了~~            
(4星)	 虽然是抄的，但是还是蛮有中国特色的抄袭。。。            
(4星)	 总觉得弥漫着一种缅怀⋯⋯            
(4星)	 不爱悠悠 爱关谷~~~            
(4星)	 啊？！啊？！啊？！B还是D？！喵了个咪的！本来想给这片子打3颗星的，第一季红了，剧组有钱了，道具精良了，服化更好了，特效也有了，可是笑点完全不如第一季自然啊！！！有些包袱抖得太过了！但是。。。谁想出这么一个结局？！于是它就变成了痒，让人总想挠！为了这个痒，给个4星……            
(5星)	 过年大家一起看这个最欢乐啦～            
(4星)	 这结局！= =            
(NA)	 抄袭得很可爱~~~好！            
(3星)	 显然不如第一季            
(5星)	 很好笑！！！20集轻松看完~            
(4星)	 虽然抄美剧 还是蛮搞笑的            
(4星)	 网络用语太多，但恶搞部分真是爆笑。            
(5星)	 哈哈哈唐悠悠不错哦            
(5星)	 哦，关谷好帅啊。。。            
(1星)	 陪表妹看的 煽情戏太多 怪恶心的            
(4星)	 欢腾的欢腾的.俗的好.山寨的好            
(4星)	 喜欢一菲、子乔和关谷，某女整的太像李小璐了，剧里每一个女人都是高度整容嫌疑者，很不自然。。这剧从第一部起就让我注意到了人手一个LV，炫富啊！嘻嘻            
(4星)	 武林外传有接班人了!!!            
(4星)	 还成            
(4星)	 “甲壳虫乐队的著名单曲《help》是哪一年发行的? ——你也在看爱情公寓吧！嘿嘿。。答案是B   1965年”——百度神马都知道~~            
(5星)	 曾小贤！！！我就是你的NC粉            
(3星)	 各種山寨各種抄襲 可是我笑了= =            
(5星)	 逗！            
(4星)	 我觉得，还是这种山寨片好看！            
(5星)	 虽然人物换了可还是一样好看~~            
(NA)	 …我必须承认我看过了…            
(NA)	 果然我最爱的是狮子座黄金圣斗士啊啊啊啊啊！！！！！！！！            
(3星)	 这算撒结局！            
(5星)	 看神马电影还不如看看这个 很欢乐 很开心 心情很放松            
(4星)	 还蛮好笑的            
(3星)	 喜感不亚于第一季 我喜欢曾老师那股猥琐样儿            
(5星)	 挺适合过年过节开心一下看看哦~！            
(4星)	 还是怀念第一季的碗瑜与美嘉。结局可恶心。            
(4星)	 非常喜欢。            
(5星)	 国产电视剧头一遭能看第二遍~!!            
(4星)	 后半几集看的比较慢。支持下~ 国产电视剧集 新加的几个是不太顺眼 先入为主或是配合不够吧            
(3星)	 没1有意思 我尤其讨厌那个秦羽墨和张伟 张伟跟肾亏的一样 什么时候都是一副被雷的外焦里嫩的德行 嘴唇永远是发白干裂的  秦羽墨就是大眼睛白痴像 无语啊            
(4星)	 第二季不如第一季……            
(4星)	 我选B可以么……            
(4星)	 好笑的地方还是挺多的，但是那些赤裸裸的照搬还是有些让人觉得无奈..            
(3星)	 三星都给一菲啊！！！！！！            
(4星)	 还是第一季好看呢。            
(5星)	 六人行+大爆炸+爆米花=爱情公寓，个人观点，不会成为中国的《菊次郎的故事》，至少的超越《家有儿女》吧！这样证明80后加90后前期的年轻观众，至少还是有点收视率吧！最好像啥——《武林外传》+《喜洋洋》等推出个电影版吧！喜剧类黑马——期待啊！            
(5星)	 顶贱人曾~            
