http://movie.douban.com/subject/1856299/	宫 궁
(5星)	 很值得看的韩剧，每一集都会有所期待。            
(3星)	 当年，律王子萌过我~            
(5星)	 我们家惠惠...            
(4星)	 衣服不错，剧情很扯            
(1星)	 韩式YY王室青春校园爱情剧秘史斯密达。考虑到律王子还能看，1颗星给他。            
(4星)	 喜欢尹恩惠而已。            
(3星)	 女主角            
(4星)	 想你了。如果现在见不到你，我怕我会窒息。想你了，这样看着你，也仍然想你。 前十六集非常棒，后面怎么那么矫情啊！去掉，直接看大结局就行了~~哈            
(2星)	 讨厌棒子- -            
(3星)	 很一般。            
(4星)	 看过的最后一部泡菜剧，没看完~律王子还是养眼的╮(╯▽╰)╭            
(NA)	 律。深情无敌。            
(NA)	 我登录后 发现你传给我移动硬盘            
(4星)	 男二永恒有爱人士。            
(3星)	 韩剧里男二号永远最美。            
(4星)	 律王子。            
(4星)	 华丽丽的服装和油画般的质感。            
(3星)	 这样子的爱情现实存在么、            
(NA)	 我看过的第二部韩剧！！            
(NA)	 华丽然后就没了            
(3星)	 哇，因为它太红了。。            
(NA)	 XX的王子样啊            
(4星)	 当年被律王子萌住了，想起我们寝四个通宵看，半夜饿了泡两包面。。。。            
(NA)	 高中毕业看的。CICI家的碟子，放在小型的DVD机里看得昏天黑地，借以逃避高考结果的失落和空虚。            
(3星)	 看過的為數不多的韓劇之一            
(3星)	 当年用一个五一看完，迷倒不行            
(3星)	 好像是小王子和狐狸的爱情一样呵呵，最后差点看出眼泪。整个布景非常非常华丽，像舞台。            
(4星)	 确实有一阵很喜欢。。。好吧这时候我不得不承认我就是小女生啦&gt;////////&lt;            
(3星)	 回忆起大一居然可以逃课通宵看这个。。。好后悔。。。时间本该浪费在更有意义的事情上的。。。。。。！            
(3星)	 金正勋太萌。            
(3星)	 男一是用来推动剧情发展的男二是用来虐观众的。金正勋你怎么看怎么治愈啊salanghei~=3=            
(3星)	 主要是，演员一个比一个丑            
(5星)	 律   爱你            
(5星)	 long long ago            
(4星)	 少有的男一男二都割舍不下……            
(3星)	 完全为了打发时间。但是这部剧很受欢迎。至少我看完了。            
(3星)	 视觉享受。但是不够YD            
(3星)	 百合王子比大王子好看，隔了3年，大王子的演技越来越成熟，也更有男人味了            
(4星)	 理想的生活。画面很美            
(4星)	 当我年少无知的时候看的=.=            
(NA)	 年华似水。似水年华。            
(3星)	 王妃范儿            
(4星)	 高三看的…………            
(5星)	 曾经很迷的一部剧！            
(5星)	 当年好一个的追，每每看见这部剧都会想起我的大学生活！！！            
(4星)	 一度很迷恋“王子律”..            
(4星)	 我每次看封面都会看成子宫            
(4星)	 我爱的teddy在里面跟不要钱似的            
(4星)	 韩国制造。            
(3星)	 看了一集就受不了看不下去……            
(5星)	 活泼的彩京，冷淡的阿信，温柔的阿律，三角恋的关系，三个不同生活方式，三人捆在一起发生冲突，如何化解？            
(4星)	 里面有律~            
(4星)	 算是风靡一时的韩剧了            
(4星)	 还是蛮成功的            
(5星)	 虽然情节很无厘头，但仍不失为一部好看的电视剧。而且最后的外景地选在澳门，也是新颖而富有寓意的。PS：先断续的看了《魔女游戏》，所以对金正勋有点点偏见，但此片中的表现相当出彩，支持！            
(4星)	 HLL的戏服            
(3星)	 连那么紧张的高三还在看韩剧 我真不是好学生啊            
(5星)	 很有意思            
(5星)	 印象最好的一部韩剧。            
(4星)	 非常完美的体系了宇宙强国木奉国的YY本质            
(5星)	 越看越好看            
(3星)	 韩国人幻想曲。。            
(4星)	 节奏太慢 果然不太适合我 母亲的野心终结于儿子的善良 一场闹剧也就母子俩自导自演再自我投降 王室居然都是没头脑的傻瓜 汗一个… PS:信的强吻和律在长辈面前的表白是最喜欢的片段 大概是就是喜欢看积蓄已久的感情大爆发的缘故吧            
(NA)	 will u be back            
(4星)	 好长啊，剧情太拖沓，尹恩惠太白痴太做作，律虽正但只会呆笑，胜在画面好看。            
(5星)	 呵呵            
(3星)	  越后面越糟糕            
(NA)	 还是二皇子比较帅~而且受~            
(5星)	 尹恩惠和金正勋实在是般配            
(3星)	 还蛮讨厌正儿八经甩出一串自以为很经典的台词，除了喜怒哀乐，观众表示他们还会冷笑。            
(NA)	 情节有点绕，后面明显在拖时间            
(5星)	 尹恩惠的造型非常好看 很韩国很淑女            
(5星)	 好久以前看的了~爱信~            
(NA)	 不是很养眼啊...            
(NA)	 还是很经典            
(4星)	 呵呵，。。            
(4星)	 一直喜欢律，但后来不知怎的喜欢上了信~~            
(4星)	 看过的少量韩剧之一。            
(3星)	 看到最后面，实在是有虎头蛇尾的感觉            
(3星)	 作孽的孩子们啊……不过最后的温暖还是感受到了……律的人生太可怜了……            
(4星)	 喜欢里面的小熊            
(NA)	 投入其中的时候，还是会被爱与不爱的兜兜转转所打动。            
(5星)	 我一度很喜欢的韩剧。那个时候迷上朱智勋。笑。            
(NA)	 06年的暑假~~            
(3星)	 背景设定比较离奇与夸张、、、是灰姑娘的现代版的爱情故事、、比较清新，讲述了懵懂中的少男少女的恋爱心情与可爱行为、、            
(5星)	 天啊。。。 金正勋 真得是王子            
(3星)	 尹恩惠挺好的=v=            
(NA)	 大一的时候，在宿舍一大群人一起看，然后争着抢着说；我喜欢律君，我喜欢信君，一群可爱的女子。            
(3星)	 买了碟，遇到老太婆们讲话就拼命快进。没错。。我就是只想看那2个男的            
(5星)	     跟琼瑶阿姨的《还珠格格》有得一拼。    不过韩国的主角更帅气漂亮些。当然，人家的造型比国内的要好多了。不是我哈韩，只是，态度问题。真的用心了，就知道，什么是好的。            
(4星)	 恩惠的努力转变太惊人了，少女壮士终于成为了美丽的淑女！            
(4星)	 很奇怪，我喜欢的是朱智勋            
(NA)	 宫廷生活 不一样的人生故事和爱情  还有酷酷的人            
(4星)	 信和彩京的故事，一个不一样的灰姑娘的故事。彩京的衣服很漂亮~尹恩惠真的太可爱了~            
(3星)	 我不感觉是喜剧  后期感觉很拖沓 而且看不明白            
(4星)	 制作得特别好的韩剧～喜欢李信，尹恩惠在我心中跟全智贤不相上下            
(4星)	 还是喜欢里面的信            
(2星)	 =.=不好玩儿            
(5星)	 两位勋帅哥不容错过啊~            
(1星)	 讨厌。            
(4星)	 前半部分比较好看到后面就变得拖沓起来            
(3星)	
(4星)	 大家都有王子公主梦啊。。。。哪怕是像到了我妈妈的年纪，这类的剧目还是很吸引她的，加之还加入了宫廷斗争等内容。。。。。。            
(4星)	 不错哦喜欢的风格            
(5星)	 喜欢 里面的彩金~~~忽忽            
(5星)	 很无聊很美好。皇太子长得很像尚雯婕和冯巩            
(NA)	 高三时忙里偷乐．            
(3星)	 结局真差            
(NA)	 结尾绝对是败笔            
(3星)	 里面的熊很抢眼呢。            
(5星)	 衣服好漂亮哇~            
(4星)	 剧情冗长而拉锯.但全部看下来,觉得还不错.            
(NA)	 喜欢律。哈哈            
(4星)	 太喜欢金桢勋导致看男1女1不爽...            
(3星)	 最后 还是喜欢信多一点。            
(4星)	 又是丑小鸭变凤凰。            
(5星)	 电视剧             
(3星)	 只能看布景和前半部分~            
(5星)	 恩惠的成名作`            
(4星)	 从此喜欢上尹恩惠            
(2星)	 MD~~看了这个之后~~~我才明白了啥米叫做浪费时间……哼~~~看在TEDDY BEAR的份上~~~            
(4星)	 衣服非常华丽            
(4星)	 还是二皇子比较帅~而且受~            
(4星)	 这剧是看到当中比较好看.本来讨厌的男主角倒是觉得顺眼多了.还有他弟弟,阳光啊阳光            
(4星)	 喜欢女主角而看的             
(1星)	 靠 真不明白有什么好看的            
(1星)	 致人死地的难看——应该不给星的！            
(4星)	 喜欢。。。就因为看了这部剧，一直想去澳门            
(5星)	 韩剧入门            
(4星)	 抱歉 我看的第一部完整的韩剧。            
(4星)	 有点《还珠》的感觉            
(5星)	 宫            
(NA)	 有盘，三姨落泪            
(1星)	 女一永远不会爱上男二，即使男一是那么可恶又可恨！当看到宫的时候我狠狠发誓再也不会看韩剧！即使我在韩国。。。。            
(5星)	 唯数不多的喜欢的韩剧.每次听主题曲都还会伤心            
(3星)	 阅。天蝎座男人的典型标本。            
(4星)	 大爱金正勋!            
(5星)	 5星因为让我发觉了帅哥勋勋~            
(4星)	 为了我喜欢的演员，推荐            
(5星)	 非常非常喜欢剧中的布景..很美很精致            
(NA)	 经典韩剧，经久不衰。            
(4星)	 尹恩惠 ...            
(NA)	  宫             
(5星)	 可爱的王妃，小鸭子变天鹅喽！            
(4星)	 看的那个时候很喜欢，里面衣服都好漂亮，也从这部开始喜欢尹恩惠            
(4星)	 同学们请注意看里面的衣服哦，^_^P.S 原声带很好听            
(4星)	 律!!!!!!!!!!!TOT            
(5星)	 律好忧郁。。。            
(1星)	 我竟然看了，大傻逼！            
(NA)	 嘻嘻..搞笑            
(5星)	 有人说我和太子长得像，哈哈，YY一下            
(3星)	 没有很喜欢啊...            
(NA)	 皇太子。。呵呵~            
(5星)	 平凡女的王子。            
(4星)	 韩国的“皇室童话爱情”            
(NA)	 灰姑娘的童话            
(4星)	 还是中意朱智勋啊            
(3星)	 没心情继续看下去了= =b            
(5星)	 忘记了。只记得很不错。            
(NA)	 我想这部电视剧在韩国应该是一部很经典的，宫的效应带动了很多流行趋势的发展            
(3星)	 喜欢小熊            
(4星)	 老实说很有点拖沓的剧，但是还好，新人们的表现都算出色。也成为了经典之作。            
(2星)	 没看完 是实在没有动力把他全部看完 也属于看了开头就知道结尾的类型 很幼稚啊。。。            
(5星)	 恩。很好看，难得有这样的韩剧            
(5星)	 宫            
(4星)	 颠倒黑白的06年五一。            
(NA)	 因为经典所以巅峰            
(4星)	 虎头蛇尾。            
(3星)	 我承认我看过的韩剧还真是少。。。            
(5星)	 。。。还好            
(NA)	 宫里有很多Teddy            
(4星)	 还是稍微有点啰嗦            
(3星)	 快进看觉得还不错～就是韩国人往自己脸上狂贴金让人有点少不了……            
(3星)	 不错。朋友们都喜欢。            
(5星)	 我的王子啊～～            
(2星)	 太拖沓            
(5星)	 天啊……服装太强悍了，金正勋太漂亮了……            
(NA)	 我家可爱的恩惠啊~            
(NA)	 过去疯狂迷恋韩剧的日子            
(3星)	 当时喜欢            
(NA)	 挺无聊的            
(NA)	 宫            
(5星)	 老话,我肤浅,不过我就是少女啊,吹咩            
(3星)	 在电脑上艰难的看完的一套韩剧，好像看来将近半年才终于把它消灭了            
(4星)	  宫             
(NA)	 我曾经白痴一样的为这部韩剧疯了。现在觉得实在是太白痴了！            
(3星)	 喜欢那些熊            
(5星)	 最大的感觉:每个场景都很温馨,适合冬天有阳光的日子看~            
(4星)	 小熊挺可爱的。。。            
(3星)	 很漂亮的画面，很漂亮的演员，很漂亮的服装道具，但是太墨迹了，偶是一直快进着看的~~            
(4星)	 律王子.            
(3星)	 总算看完了。。。- -！            
(3星)	 韩国人真能瞎编            
(4星)	 很华丽的一部            
(3星)	 根据同名畅销漫画改编，在虚拟背景下讲述的梦幻般的皇子与平民联姻的现代故事。 　　 　　假设韩国像日本、英国一样，是君主立宪制，皇太子李信答应会和早已订下婚约的女孩子结婚，而此时的皇太子还只是一名高中生。信在认可婚事之前，曾经秘密交往了一个女朋友闵孝琳，但孝琳拒绝了信的求婚。 　　 　　“灰姑娘”申彩京家境正陷入困境之中，意外地接到皇家信函，此时她的家人才明白之前爷爷说的同皇家有婚约一事竟然是真的。彩京起初严词拒绝这门包办婚姻，但最终，家庭的困境让她无奈接受了这门婚事。 　　 　　1            
(NA)	 温馨..            
(5星)	 梦幻中的爱情。。。每个女孩都是公主~            
(5星)	 啊啊啊啊律王子            
(4星)	 节奏快点就更好了            
(5星)	  信            
(2星)	 又拉又跳．．不喜欢／            
(NA)	 可以看一边以上的电视剧~            
(4星)	 第一次，被信王子征服了。OMG。第二次，被律王子征服了。OMG。            
(NA)	 追得最痛苦的一部剧..好生生拖了24集.看完此剧,就不大看韩剧了.            
(4星)	 一部挺有趣的韩剧，如果有一天，中国也成了君主立宪制的国家……            
(NA)	 虽然人人都不齿韩剧，但是还是追着看。让我喜欢的是韩剧的纯情和编辑们虽然简单但是经常会翻出点花样的小主意。            
(NA)	 2006.10            
(NA)	 画面质量真好。            
(4星)	 没看完            
(5星)	 做申采静一样的女孩!寻找我的信!            
(4星)	 金桢勋真的很帅~            
(5星)	 连续30个小时一口气看光的片子，被骗了不少眼泪……            
(NA)	 信~~~大爱~~            
(3星)	 太一般了~            
(3星)	 刚开始好好玩 后来有点无聊的            
(4星)	 消磨时间的良药。            
(NA)	 看了12就知道后面的结局了            
(4星)	 一开始觉得都不帅后来觉得都挺帅的~            
(4星)	 爱,不是因为你是谁,而是你就是你.            
(5星)	 看了7、8遍，可以说百看不厌，原来鄙视那种韩剧看N多遍的人，现在自己也是……            
(NA)	 沒看完            
(NA)	 其实看过的韩剧还挺多的            
(4星)	 金正勋            
(NA)	 服装背景都很美            
(3星)	 我看的第二部韩剧。。。里面的男一号被某人称为大波男。。。            
(3星)	 听说很好看(看过了感觉还不错,可惜结尾老套了些也勉强了点,应该算是败笔了)            
(4星)	 还是挺好看的~主角都喜欢~~            
(3星)	 艾德熊的小场景做的真的很不错，其他呢，还行呵呵。韩剧一般都男配角比主角要抢眼呵呵呵……            
(4星)	 王子与灰姑娘的故事!            
(4星)	 背景真的很好看,色彩非常的好,很舒服.            
(4星)	 让我怀念我的那些韩国朋友            
(3星)	 看李律，一片忧伤盈上心头。            
(5星)	 看了多少遍还会有感动            
(3星)	 是的是的 我才看完 纯爱泡菜剧。律是一大败笔。。。信看平面很丑，看活的因为个性魅力可以忽略张相~尹恩惠是个人才            
(4星)	 漫画还真不是盖的。挺不错。            
(4星)	 也是我妈对她的喜欢度超过我对她的~            
(NA)	 【2006-01-11】            
(4星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈後來信王子愛上了彩京阿哈哈哈哈哈哈哈哈和哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 很美好的一部剧，难得的男一男二女一女二都挺招人待见的。            
(3星)	 我堕落了            
(2星)	 男主角完全不會演戲臉部完全沒有適當的表情！            
(NA)	 男主总是雷我~男二最萌了            
(NA)	 架空~~~            
(NA)	 还算好看吧，最后的悬念好悬啊~~~            
(3星)	 还记得那时要是考中考了～            
(3星)	 整个高中都被脑残体附身            
(4星)	 当年熬夜看的。            
(4星)	 年轻的时候很喜欢= =            
(3星)	 此剧最成功之处是片头曲以及使尹恩惠咸鱼翻身，至于其他的。。。就不提了吧            
(4星)	 不知道为什么我老是控腹黑男主啊。。            
(4星)	 让我开始知道尹恩惠。总是很喜欢围绕皇室的剧情，少女情怀了:D            
(4星)	 童年最爱            
(5星)	 灰姑娘的故事。。。            
(3星)	 小女生看的            
(4星)	 大学放暑假前的记忆啊，和迪儿在寝室看完的。            
(3星)	 就是看衣服了、            
(3星)	 不喜欢尹恩惠            
(4星)	 韩国大概盛产氧气美女的。女主角比演大长今的李英爱更年轻，更可爱。不是最漂亮，但就是看着舒服。怪不得两个王子要争抢她。            
(4星)	 想當年我還yy過朱智勛和尹恩惠。。            
(3星)	 经典剧情，人尽皆知了            
(2星)	 我还看过这个。。。各种快进            
(NA)	 1集            
(3星)	 棒子剧。            
(5星)	 啊~回忆啊回忆啊。            
(3星)	 又是和阿妈看的            
(2星)	 一颗星给背景道具服装，一颗星给第一次演戏的尹恩惠，其他我还想讨回浪费的时间呢！！快进都进掉一半了。男主角们的演技可以再烂一点嘛，一个只会摆pose,一个只会扮苦瓜脸，剧情发展更是折磨人....只是为尹恩惠去看的，解脱啊！！            
(3星)	 金桢勋绝对是一个大帅哥。但是我是为了宋智孝而看。年轻的miss 懵漂亮啊。            
(3星)	 韩国版的宫，中国版的宫，一水儿的玛丽苏闹哄哄            
(2星)	 乱七八糟演了堆神马啊。            
(5星)	 高中看的了            
(4星)	 l&#39;amour            
(3星)	 初中的梦，            
(NA)	 唯二看过的韩剧=皿=            
(5星)	 真的超爱的。06年高考前，每周两集追着看            
(2星)	 为何我妈妈可以看的如此花枝招展。。。            
(NA)	 我为什么总是喜欢这种            
(3星)	 那熊不错            
(4星)	 真的唯一一部看完整的泡菜国剧。。。            
(4星)	 咦            
(4星)	 男二号啊男二好。            
(3星)	 金社长啊其实我妈也很喜欢你~            
(4星)	 想起当年还很喜欢信。觉得真不错。            
(3星)	 我就是讨厌磨磨唧唧            
(4星)	 少女情怀。            
(4星)	 看这个那会儿我还年轻呢            
(4星)	 男一号为啥老被男二号比下去            
(5星)	 高一下学期，春天            
(3星)	 现在看，韩剧很多都好傻缺的            
(5星)	 本来是为了填补初中时未看完的遗憾，结果看完之后又发现好象早知道这个结局。前半部分那么开心后面就一直苦情算是韩编的套路了。嘛，当年朱智勋忽丑忽帅的            
(4星)	 为那个时候看的感觉保留四颗星            
(5星)	 第一步严格意义上我看的韩剧            
(4星)	 以前看的了            
(4星)	 喜欢尹恩惠从这个时候开始            
(NA)	 完整的全集~~喜欢信的性格 律的长相 不过还是漫画好看            
(3星)	 熊比人好            
(5星)	 朱智勋！            
(3星)	 灰姑娘华丽丽的意淫啊！            
(4星)	 这是我完整看完过的第三部韩剧，那时候果断喜欢上了金正勋！！            
(4星)	 本来是想给3星的 可是律的静静守候却苦不堪言的爱让我非常心痛  然后我又毫无例外的爱上了男二号。至于女二号，干嘛没事找了个大妈，这么丑一看就没有竞争力好吗！真的是本剧超级无敌大败笔！            
(5星)	 还是最喜欢            
(5星)	 多年前高考后的那个暑假~我遇见了“宫”            
(5星)	 从头到尾的喜欢。            
(3星)	 金正勋~~~            
(5星)	 我看过的为数不多的韩剧里，最喜欢的一部~~            
(5星)	 觉得是看过最好看的韩剧，2006的夏天啊            
(5星)	 总的来说还是非常不错的韩剧，尹恩惠真好看啊，里面的崔尚宫也是个美人哦~            
(3星)	 亲热戏太少！PS朱智勋还是金正勋这种朱丽丽式的问题真是让人娇羞            
(3星)	 大一的时候被人逼着 不过那时给我看什么都能接受 不过一起看的人已经不在            
(2星)	 我就不明白了，当年这剧肿么能红成这样，可我还是不喜欢呀。。。。            
(5星)	 很值得推荐の一部入门韩剧哈~ 剧情搞笑又很有爱            
(3星)	 我记得那时侯很喜欢金正勋            
(2星)	 棒子们是如此的强大，简陋的摄影棚里幻想世界都是他们的。            
(3星)	 很多年前看过 不解释             
(4星)	 因为恶心芒果的山寨剧，又看了一遍这个，2007年冬+2011年冬            
(3星)	 有些场景拍得好阳光~我总感觉信在摄影机前有点紧张，走路的时候都有点僵硬。。。男二号好温暖的笑容！编剧有的地方略显粗糙。            
(4星)	 尹恩惠那时候比较好            
(2星)	 不好看            
(1星)	 看了一集就看不下去。。。            
(3星)	 剧情实在经不起推敲，但律淡定的神情终于让我把对看云卷云舒、花开花落的意象和实际的人对应起来了            
(4星)	 还记得那会，mm都得了公主病            
(4星)	 尹恩惠一星。两个王子各一星。剧情一星。            
(3星)	 太长了，不好看PS：崔尚宫，御姐，大爱。。。            
(5星)	  插曲真好听，女二像老大~~            
(5星)	 太子跟某人好像啊            
(3星)	 虽然就是希望结局，但每每看到律，想起他的话就会觉得难过。。。            
(4星)	 青春啊~！印象最深的是整部戏的配色很好看，尹恩惠很可爱            
(5星)	 欧 喜欢的不行            
(5星)	 +我最爱看的一个韩剧。至今看过不下一百遍            
(4星)	 高中时候看的吧。。。觉得还蛮好看的~            
(4星)	 进度太慢            
(3星)	 为了漫画看的剧。果然我永远偏心男二号。            
(3星)	 当时看的时候觉得金正勋的颜不错            
(4星)	 只看了一半 因为后面貌似很纠结 我就喜欢悲情男二号。。            
(4星)	 没哪部戏的男二让我这么疼的             
(4星)	 尹恩惠小姐，我为什么这么喜欢你。金桢勋先生，我为什么只爱炮灰王子男二呢。            
(4星)	 OK好看的。            
(5星)	 一直都很喜欢，不禁如果内地也能拍出这种不仅是题材、构思、拍摄手法上面的创新精美、更是一种文化的弘扬的电视剧就好了。比如这里面很多朝鲜时代的饰物，在“太子妃”的现代装扮上也能看到，并且运用的非常自然。第一集46分半左右开始的一个女学生在大堂弹奏的钢琴曲，一直不知道叫什么名字。            
(4星)	 我喜欢没整容之前的尹恩惠。            
(NA)	 长假前5日消遣掉了.....            
