http://movie.douban.com/subject/4904661/	绯闻女孩  Gossip Girl  Season 4
(4星)	 从头到尾就不喜欢S~~~~~~~~~~~~~~~~~~~~~~~~~·看完第一季就弃了~ 真乱！！ 是chuck &amp; blair 把我引来滴~~~服装还不错~~ 说实话，每一集的剧情都还蛮吸引的~ 但是，实在是受不了S~            
(4星)	 在巴黎拍的前两集真美，让我怀念这个城市啊。。。            
(4星)	 虽然剧情越来越扯了。。。。            
(3星)	 这一季的衣服好看！！！            
(4星)	 11集里面悲剧老师Ben看Serena的那个眼神，完全捕获了我的心！就为那男人的眼神，那30秒的画面我回放了好多遍！最后的摩洛哥王子也蛮心水的……            
(3星)	 实在看不下去了。。。啥时候有功夫继续看吧。。。            
(4星)	 棄！            
(4星)	 这季恩怨情仇比较快意，不错            
(NA)	 刚好看到S的老师在追她，真好。希望他们有好的结果！和不会等待的过程。            
(NA)	 阴谋和爱情            
(2星)	 《绯闻女孩》基本就是讲述ABCDE个男男女女不同的sex排列组合，A sex B,B sex C, C sex A, E sex A, B sex E...好比沪上知名的巴比馒头、比巴馒头、巴巴馒头、比比馒头。是不是经费有限、演员有限啊？！还好服装造型很有看透            
(3星)	 不如前三季            
(3星)	 终于弃了            
(NA)	 最后那个谁谁谁出现了也~            
(4星)	 s b 永远是亮点            
(NA)	 colin谁演的？            
(NA)	 自甘堕落的开始            
(3星)	 太乱了。我预感我终于要弃了。过了N个月，我果然弃了。            
(NA)	 我还是坚持看完了⋯⋯            
(4星)	 只要B和C感情依旧，即使GG里面整个世界陷落，都真的与我无关了……            
(4星)	 剧情跌宕起伏，纯粹是为了虐人。。。            
(3星)	 弃了            
(NA)	 身材好，衣服好看            
(2星)	 弃！            
(5星)	 这尼玛BC可否安静的过上两集好日子。。。            
(2星)	 endless love, scheme and war            
(1星)	 我TMD恨死里面的所有人了，一群虚伪、做作、算计、阴恻的婊子!            
(5星)	 《Gossip girl》第四季22集终了。。。。热切盼望下一季啊。。。。伏笔：1，B怀上了C的BB 2，V拿了D的稿酬离开了 3，S涉足电影圈 4， L的亲妹妹有秘密 5，S的假表妹要跟G搅合一起捯饬了。。。。。6，C终于真的成熟了 7，D又变成情感苦逼 8，N一直打酱油中            
(3星)	 老了，开始看点喜欢的人物，然后看看衣服。快进。            
(NA)	 纠结死了orz            
(3星)	 这片儿还能更狗血点儿吗？Juliet给S下了药后逃逸，居然还被原谅，而且S还约会被自己害进监狱的本帅哥；此外，S跟D+N继续分分合合过家家酒（B居然还吻了D！）。只是开头和结尾，B和C情感戏总是让我这么心酸。要不是角色演员这么有气质而且衣香鬓影的，真是不能忍了。2011.5.17            
(2星)	 这一季太雷了~            
(4星)	 B真的成熟了            
(3星)	 终于有一些类似梦想的积极东西冒出了那么一个小小的头...            
(4星)	 B和C就各种虐吧.....已然对S和D不抱希望..            
(3星)	 打个牙祭...狗血牙祭            
(4星)	 S4平淡了很多 而且我拖了太久不记得有关J的情节了 Giorgina真是游手好闲不惹事不舒服斯基啊╮(￣▽￣&#34;)╭             
(3星)	 让GG来的更狗血吧~！！            
(4星)	 B&amp;C之歌--rolling in the deep            
(4星)	 看个热闹,看服装,挺歌听英语            
(4星)	 S4终于追完了~            
(3星)	 编剧你有下限么？！唯一的收获是完全喜欢Blair            
(2星)	 无聊又看上了= =神马玩意。全部滚过一遍床单了！我操！            
(3星)	 真是没完没了了，不过还是会继续看热闹的            
(3星)	 下一季是追呢，还是弃呢。。。虽然此剧太乱来了，可还是有吸引人的看点。哎。。。            
(3星)	 为了看服装儿            
(3星)	 i like eva            
(3星)	 每一集都越来越纠结，每个人的作风都很up east            
(NA)	 弃剧            
(4星)	 第一集就很给力            
(3星)	 排列组合，换妻俱乐部，天知道我为什么还在追            
(4星)	None
(4星)	 还以为evil bitch georgina 这次回来是力挽狂澜、拯救众生的，结果还是恶习难改！B终究做不了“格蕾丝凯利”，B终究还是C的！S你继续脑残哈！V你就是个打酱油的，下季不要出现了！D我都不好意思说你了，见谁爱谁！N也脑残！编剧不要虐C了！            
(NA)	 结局让人措手不及，等第五季。如果B真的嫁给了louis，我就真的再也不相信爱情了T T（剧透，表妹是假的）            
(5星)	 迫不及待第五季吧!            
(4星)	 这一季其实还不错的，乱出水平了，好像看到剧中人物真的在成长。。B和C分手时说：“从你身边走开，用尽了我全部的力量”，为了爱的放手，在这一季给出了说服力。            
(5星)	 迷茫的未来......            
(4星)	 无演技让我比较难忍受，但是，我爱狗血            
(3星)	 拿来学习豁达的            
(NA)	 太多伏笔..V走了啊，J回来不？Charlie演得我觉得很怒啊.. 王子很心水啊~            
(4星)	 其实我还是希望B能够和王子或者D 422也还是没有让我改变对C的失望 我曾是最坚定无比的BC党一枚啊 哎            
(4星)	 一定要让BC和SN在一起~ 不然我灭了这公司~            
(4星)	 追得最久的一部美剧了。。            
(NA)	 还他妈有 我就不信了 不信没完了还 这个剧估计非得至少死个主角才能结局了            
(2星)	 坑爹的            
(4星)	 如此狗血白烂剧我竟然还追了四季，这个四星是献给我自己的！！不追了。            
(NA)	 连音乐也不能留住我了。弃。            
(4星)	 当新闻联播看            
(3星)	 居然还追完了 自己都嫌弃自己有空！狗血撒满天不说洗牌都做亲兄弟亲姐妹啊亲 B的狡猾可爱也不知道负了多少分 还真搞出一个嫁入皇室来 下一季怎么继续乱掰啊编剧大人            
(3星)	 一如既往的坑爹。BC你们居然放手!!!还说神马I will always love u!!!!            
(3星)	 刚看了第一集，这季的编剧貌似比上一季靠谱儿。            
(3星)	 BC，操得心都碎了。 “I destroyed the only thing I ever loved.......”            
(4星)	 真的有点儿弃剧了。。。。。            
(4星)	 完全是最不喜欢的一季了 麻烦给海报也换下好么 = =            
(4星)	 最后一集是催泪神啊啊啊啊啊啊啊啊            
(3星)	 虽然最后几集有回归GG本色的征兆，但想到编剧把D和B扯到一块，是在令我恶心。            
(4星)	 真乱……掩面……            
(3星)	 等第五季            
(2星)	 你很美,但你真的不好看            
(3星)	 蚂哟，咋这么难看，但是我追成习惯了总么办            
(2星)	 实在看不下去了。。。19集未看完，弃剧            
(5星)	 the bitch is back 无视剧情也可以追看到底的一部剧            
(4星)	 I will always love u            
(4星)	 B &amp; C great love...            
(5星)	 停停播播等等看看，不知不觉就是我几年的人生啊，各种感情各种牵挂。虽然中间有一度让人很无奈，可是到最后又意外的变的好看了~~我们骂这个角色太傻那个太贱，说白了还不是真心关心她们嘛..            
(NA)	 狗血的剧情 有点想要放弃的念头            
(3星)	 其实gg现在 只要看每季的结尾就够了。。。            
(NA)	 20集以後，不帶這麼虐的。chuck啊～～～，看著結尾是說還有第五季嘛            
(3星)	 21            
(NA)	 弃            
(4星)	 ！            
(4星)	 一年又快过去了啊~~~摔！            
(3星)	 快不能看了……            
(NA)	 DB都搞在一起的时候 我就死心了 这剧实在没什么看头 全部搞一遍也就可以over了            
(4星)	 1、结尾的坑好大。2、BC至上让L酱油嘛。3、N路人了大半季白瞎了噶帅的脸。4、G真心惊艳。5、表妹去死去死&gt;.&lt;。6、排列组合还剩CS了编剧乃下季是要肿摸编            
(5星)	     最后一集棒极了.            
(4星)	 BC，你们整整折磨了我们一整季。先让B和王子待会儿吧。你俩的Love是其他所有love都无法匹敌的。所以最终还是你们两个在一起。You will find your way back!            
(3星)	 于是搅基呐又回来了。。princess有了chuck的孩子？            
(3星)	 just to kill time            
(NA)	 S的口音变的好奇怪            
(5星)	 持续追看的唯一一部美剧            
(NA)	 也就是因为我太拜金太爱名牌和时装把....不然怎么会追到第四季了~~~唉            
(4星)	 狗血依旧。。坐等最终季            
(NA)	 我贱皮子，我看你还能够如何狗血？            
(4星)	 九月到了！            
(2星)	 果断弃！这都什么跟什么啊！！BC都没了~还有什么可以看！            
(3星)	  一星给我的美人姐姐katie cassidy 一星给小清新超级有爱的Dair 就那几集结果还莫名其妙就没了...剧情不好说了 尤其是结局·····无语 四年来最烂结尾没有之一 想想第一季吧 哭了            
(5星)	 不是最后大结局的结局 都是有悬念的。。            
(NA)	 每到季末乔治安娜都要出来一下，我多么希望blair和chuck在一起啊~~~            
(3星)	 不为chuck不看此剧。            
(4星)	 B都那样了，为毛为毛为毛还是不让BC在一起!!!   p.s.最后验孕棒那个梗是有多狗血!!!            
(5星)	 想死了 soho 给我买版权啊 给我买版权！！！娘的！！            
(5星)	 伴我走过大学时光~            
(3星)	 There‘s a difference between a great love and a right love.            
(NA)	 太狗血了，一季不如一季啊。。。            
(4星)	 繼續觀賞時裝亂倫秀~            
(3星)	 太尼玛狗血了...但是为了知道每个人折腾这么多年最后到底是个啥走向应该还是会看下去...吧= = 扶额            
(3星)	 我求求你们不要有下一季了！            
(3星)	 我弃剧了。。。勉强坚持了很久，然后看不下去了。突然想到一个词，人生若只如初见。对这部剧说。。。            
(NA)	 弃了……            
(3星)	 清理在看列表—— http://tv.sohu.com/s2010/9948/s274930633/            
(4星)	 绝对是充满阴谋的一季            
(4星)	 C把B让给L的时候，我泪了。            
(4星)	 复习的时候 偷懒的时候看完滴 嘻嘻            
(3星)	 类似GG这些剧就只能是『看看而已』            
(3星)	 因为B和D的一小段插曲而显得莫名温情感的一季，但是还是在分分合合之间仍然不知所谓的没有重点，直到最后一集最后几秒扔了一个重磅炸弹——所以说，每个人都配对完了，只能走主角未婚怀孕的残酷路线了？            
(2星)	 看到后来也不知道在看啥了            
(NA)	 期末解压            
(4星)	 C&amp;B！！！！！！！！！！！！！！！！！❤            
(5星)	 BC这对还真是完美            
(4星)	 快追完啦❤❤❤❤~~            
(2星)	 无聊死了才看的吧-。-            
(NA)	 停滞了大半年之后我居然又把这个给看完了            
(3星)	 不好意思我又看了这一季            
(3星)	 我简直就是一个二缺，我一边鄙视加骂娘，一边把gossip girl第四季看完了。            
(4星)	 finally I picked it up~~~~~it&#39;ve accompanied me three years~~~            
(3星)	 真能折腾！            
(NA)	 我爱Chuck~            
(NA)	 我对这部剧复杂的情绪.....其实不想看它但又确实想知道剧情发展，就是死贱死贱的。            
(3星)	 是的我手贱又看完了一季 毕业这么久以后还是挖出来看完了！！！……如果下一季男主出现搅基我一点都不意外……因为排列组合已经差不多轮了一遍了……不过C和B告别那晚还是特么的略煽情啊！！！！！            
(3星)	 希望CB能幸福是永恒的主题。。。不过谁能够拒绝王子的爱哦~~~~V真的够了，可以不要再出现了伐。。。被羡慕嫉妒恨冲昏头脑的疯婆子            
(5星)	 越来越讨厌D越来越喜欢BC了哦漏！            
(5星)	 要不要这么好看啊~\(≧▽≦)/~            
(4星)	None
(4星)	 G最后的出现并留下电话号码不是又预示着第五季她又要来救场？为了G我还是接着看好了，顺便学英语。。。            
(NA)	 。。。。。。。。。。。。。我连衣服 都不想看了            
(NA)	 跳过前三直接奔四。各种OOXX。我原本还是欣赏S的，但第四季里感觉她有越来越蠢的倾向。私生活太混乱不是好事，尤其是女人。            
(4星)	 这一季最nice的就是那个黑人姑娘了，一点心机也没有，然后我突然发现G好可爱，然后S是没有最悲剧只有更悲剧，当然最爱的还是B            
(2星)	 各种sleep around，剧情已经无趣到极点，不过衣服还是非常好看养眼。            
(3星)	 巨白痴的剧 不过追了好几季            
(NA)	 於是又撿回來看了            
(NA)	 GG的中心就是围绕&#34;that&#39;s not your story to tell and that&#39;s not your place for telling that&#34;这一gossip causes hurts的致命所在            
(3星)	 我居然赶在S5开播的当天看完了S4= =虽然本来都已然弃之而去了|||            
(3星)	 单纯 直接  类似于在幼儿园里小朋友间的游戏。。当然小朋友之间没有SXE            
(3星)	 苍天啊，不要让任何人知道我花了一天时间看完了！            
(NA)	 我是在等Chuck  Blair结婚            
(2星)	 完全不能看            
(2星)	 看演员和衣服而已，后半季B忽然容光焕发，漂亮很多，我喜欢julia，又腹黑又漂亮。第113季。            
(NA)	 Blair终于和Louis在一起来！！！！！！！            
(5星)	 就为了看BC之间的爱情            
(4星)	 死死死死死死            
(3星)	 看叽叽喳喳女孩幻想富二代生活            
(3星)	 不会再有比第四季更难看的了。            
(5星)	 王子真好~~我也想要童话。            
(3星)	 no comment!            
(NA)	 看大家勾心斗角，都没兴致了……            
(5星)	 看完的最后一刻，我对这些贱人应该用一个怎样的态度更加摇摆了，我恨死了编剧，无脑，应该研读一下鲁迅大人的著作，做到尽大可能人物个性化，让我一直爱下去恨下去。但是，这部剧，我真是爱死了，感谢你麻痹的陪我过了这么多寂寞的周末。            
(3星)	 越来越不好看了            
(4星)	 Dair这对很cute啊啊啊，可惜没延续下去，下一季该轮到S和Chuck了吧。剧情太弱智了。S彻底沦为一个无脑儿了吧= = 编剧快踢掉Vanessa啊。            
(4星)	 B就得和chuck在一起！！！            
(5星)	 囫囵吞枣的看完了，等待第五季            
(4星)	 B和C……无论如何你们都要纠结下去……            
(3星)	 剧情一直就没好看过            
(NA)	 真高兴又看见C和B重新搞在一起啊！！！但是最后C你要不要那么伟大啊 看着B亲王子自个默默转身走掉！PS：对V的厌恶已到了顶点了啊。真不知道第五集编剧能再搞出什么幺蛾子的狗血剧情。。。            
(4星)	 剧情虽然狗血，但是音乐还有华丽丽的服饰还是很对我的味滴！            
(4星)	 C&amp;B。            
(5星)	 万能的编剧能不能把角色们编的更SB、更C蛋、更L氓、更下J。。。//本以为是差不多厌倦了的完美的结局，竟然还要往下拍。。。            
(5星)	 Dear all of you.貌似这是我唯一完完整整看着的美剧啊……            
(3星)	 就是一场大乱交，你操我，我操你，然后我们玩3P            
(NA)	 还能继续掰呢~            
(4星)	 第一集质量很高...我是BC党...希望B抛弃王子和C在一起....            
(3星)	 不想在看了 越来越没意思了            
(4星)	 我原来以为Grey&#39;s Anatomy的sleep around已经够复杂了，但后来我发现和Gossip Girl比起来，GA简直就是幼儿园水准的卿卿我我，GG四季的Sex relationship连起来要比GA七季还复杂 ⊙﹏⊙b汗            
(5星)	 虽然很狗血的剧情，但比S3要好太多了。请吐槽！            
(5星)	 B和C才是绝配啊~为什么要蹦出来个王子~！            
(NA)	 Chuck would never allow one of his toys to harm Blair. Oh sorry, fogot that she meant more to u than a common whore            
(3星)	 可劲儿的乱            
(3星)	 gossip girl要变成gossip housewife了= =            
(NA)	 终于看完啦 9月份第五季快来啊！！！！！            
(NA)	 其實也沒有看完，不過也不想看了。。= =            
(3星)	 吃饭时候消遣的片子 下一季不跟了            
(2星)	None
(4星)	 最美好的爱情不一定就是最合适的。。            
(3星)	 为了BC            
(3星)	 比上一季好多了            
(4星)	 Being alone is just what I need - no boys, no bars, just a bottle of sunblock, and a dozen of the best beach reads. I need to make a choice.            
(NA)	 正式弃。再也不想看到这坑爹的剧情和BL那张脸了。BC再见TT             
(4星)	 虽然很乱，但还是感觉比前两部好不少。除了S所有人都在变。            
(NA)	 B和D也搞上了。这部剧真的圆满了。            
(3星)	 断断续续看了四个月了``最后跑出个两条线的验孕棒！！闹哪样阿！！！！            
(NA)	 期待s的新工作能擦出火花咯            
(2星)	 (～﹃～)~zZ            
(4星)	 我要为最后一集的BC打四星。拜托给他们一个最好的结局好让我弃剧吧！ 不过看来下一季的S即将摆脱花瓶的形象，anyway，我只想看到B和C的恋情有个好的结束~            
(3星)	 越来越无聊了            
(3星)	 自此停止            
(4星)	 蛋疼。。看得疲累了。。            
(3星)	 狗血.......            
(NA)	 越来越受不了了            
(3星)	 贝斯最后几集内胡子哦~~小j消失了，他爸也沦为跑龙套的了。干嘛啊这是            
(3星)	 又匆匆结束啊混蛋！            
(4星)	 DV抱团去死吧，阿门            
(NA)	 啊啊啊。S5！！！            
(3星)	 very up-to-date!            
(3星)	 这部剧要是没有B该肿么办= =            
(4星)	 按理说路易应该更打动我，但还是巴望着BC走到底。那么混乱的剧情当中，发现最靠谱最有魅力的是Cyrus！小老头每次出场都叫一个温暖人心啊            
(4星)	 终于能有点称之为感情的东西出现了，喷泉这场真好看            
(3星)	 乱搞的典范            
(4星)	 绝佳的午夜消遣－，－            
(2星)	 看了这季感觉所有人都脑壳有包，逻辑很神奇            
(3星)	 不得不说 ， 看到最后只是持续对演员的喜爱了 。很开心在最后C放手让B过王妃的生活            
(4星)	 这部破烂美剧就是我最近没看电影的原因啊            
(3星)	 不知不觉就把第四季给看了            
(3星)	 真是败给编剧了，就这么几个人，可以翻来覆去地扯关系，接连不断的阴谋。。。我居然也快进扫到结尾，我也没药救了。。。            
(3星)	 无力吐槽o(╯□╰)o            
(3星)	 時裝 學英語 that&#39;s all            
(NA)	 怎么办？我无聊堕落到看这一部了啊，看得我充满了逛街的欲望啊！            
(3星)	 下季哥绝对绝对不再看了            
(4星)	 我就是为了Blair重新拾起来这个反复幼稚万劫不复的狗血言情剧= =             
(3星)	 越来越狗血越来越不知所谓了。。。            
(3星)	 貌似一季比一季的评分要低呀~            
(3星)	 编不下去的都编怀孕了....90210的编剧叔叔尼玛最后一集来这里打零工咩????            
