http://movie.douban.com/subject/2918154/	七侠五义
(2星)	 从剧情和演技而言， 实在是不怎么样， 但焦帅哥的某些镜头确实让人眼前一亮。 所以这部电视剧的最大功劳是催生了无数的鼠、猫文和MV。             
(5星)	 16年了啊，什么样的连续剧能有这么长时间的生命力，在腐女的心中永为经典。            
(NA)	 大无限萌            
(4星)	 小时候的回忆            
(NA)	 坚定的认为老鼠爱上猫是从这里开始的            
(5星)	 大爱~！！！展昭太帅了            
(NA)	 我最萌的CP   没法赞美了.......            
(5星)	 美好时光啊~萌~            
(4星)	 想当年，一家人守着电视前面等待第一集。果然没有让我失望。孙兴我喜欢，焦恩俊我喜欢，柳清锋让我影响好深。最喜欢这片里面的帅哥……            
(4星)	 猫鼠CP            
(5星)	 就是一腐剧……可能就是此剧在当年幼小的心灵中种下了无法回头的腐因子= =            
(4星)	 果然还是这版最好看            
(5星)	 焦猫儿  猫儿            
(5星)	 最萌的配对啊~~~影响深远让多少人义无反顾的成为了同人女~~~            
(5星)	 看过好多遍了            
(5星)	 还记得儿时趴在外婆家的床上偷看……因为很晚才播，所以只有在外婆家能看到～原来咱那么小的时候就萌展昭了呀～            
(5星)	 只有这两只才算得上白老鼠和展小猫            
(5星)	 猫鼠。。。            
(4星)	 最经典的展昭和白玉堂。没想到小时候爱看的这部剧里若干大咖：赵树海，邰智源，白冰冰...            
(5星)	 成功转型为原著党猫鼠党五爷党,特来修改评论~\(^o^)/~ 原著中少年华美飞扬不羁的白玉堂永远是我最绮丽的江湖梦..            
(5星)	 当年的焦恩俊~~你真是美死了~~~他俩太逗乐了~~~            
(5星)	 这部电视剧让人看到了不一样的展昭和白玉堂，也叫人看到了不一样的北宋，纵然他二人再不演鼠猫，却已经成为了经典之作            
(4星)	 原来以为这么古老的剧是要靠HC的动力才可以看完。可看了才发现，竟然比现在拍的大部分电视剧好看好看许多许多倍。 = = 金庸大部分小说和所有改编电视剧都是发生在童话世界里的。而这部75，它完全符合了我心目中对“江湖”这两个字的描述，这个江湖如此真实，以至于我从剧中走出来时如此茫然若            
(4星)	 展昭=何家劲这种惯性思维，在看到焦版的展昭之后改变，不一样的南侠，不一样的御猫，会笑，会生气、会受委屈、自然也会反击，这是一个更年轻，更人性化的展昭。孙兴的锦毛鼠虽然俊美不足，但胜在演员本身的魅力，演出了白玉堂的洒脱不羁。只可惜，受剧情的限制，很多地方不如人意，忍了。            
(3星)	 井冈山的展昭已成经典，另外，小白和一点都不白= =回家演你的杨逍去~            
(5星)	 完全是童年回忆。            
(3星)	 还行吧，比较老了，大部分人的表演还很做作的年代。            
(5星)	 鼠猫鼠猫鼠猫鼠猫。。。。。=w=            
(NA)	 焦恩俊那个年轻啊            
(NA)	 年轻时候的孙兴　潇洒哥            
(NA)	 最喜欢这版的展昭，展昭的感情戏也抓人            
(NA)	 伟大的鼠猫啊~成就了多少腐女 ，点头。            
(NA)	 这部电视剧真是经典啊~            
(4星)	 鼠猫什么的，我最喜欢了            
(3星)	 咳咳……这嘛……            
(NA)	 像我爹一样的存在            
(5星)	 看了八百遍了！            
(5星)	 鼠猫之经典!!!!!!!!!!!!!            
(5星)	 焦小猫和孙小白的对手戏乃一大看点！            
(5星)	 焦GG真是十数年如一日的帅，顺便再缅怀下喜剧演员孙兴同学那一去不复返的玉树时代            
(5星)	 童年最美好的回忆            
(5星)	 哦！焦恩俊！古裝美男子~\(≧▽≦)/~            
(4星)	 很经典的片子~鼠猫CP的由来（？）            
(NA)	 看的时候年纪尚小~~~回过神来已经是多年后的猫鼠同人文了            
(4星)	 觉得鼠猫很有萌点            
(4星)	 焦昭            
(5星)	 腐腐~            
(4星)	 当如今的我再看这部片子时猛然发现，孙叔叔。。。。他居然也年轻过！！！            
(NA)	 鼠猫王道！            
(5星)	 令人澎湃的神作！            
(4星)	 是我心目中最适合的猫鼠            
(4星)	 焦恩俊演的展昭蛮嗲额。。。            
(5星)	 基本是冲着某对CP，或者说是某两个角色而看的……            
(4星)	 焦猫猫和孙小白，经典！            
(5星)	 为鼠猫看的...            
(3星)	 当年的我是啷个的纯洁···居然没看出来~~~            
(NA)	 曾经的焦哥哥和孙哥哥~~嫩得能掐出水~~❤❤            
(4星)	 一开始觉得孙兴演白玉堂很奇怪……后来越看越顺眼……还是94版美啊~            
(NA)	 好看呐~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 鼠猫啊鼠猫~么耐心看了，還是下到硬盤里慢慢蕩漾吧~            
(4星)	 鼠猫啊【两百个感叹号            
(5星)	 只论电视剧的制作水准，也许不值5星，永远的是老展和小白。            
(5星)	 作为鼠猫饭我要给它五星，但是现在看好多台词还是忍不住喷了。。。            
(5星)	 老东西就是正点啊……焦猫同学真是惊为天人……虽然跟原著没什么关系了，不过更加有爱……            
(5星)	 把我变成同人女的一部电视剧。怎么看怎么觉得，还是红和白最配啊，那么和谐，那么养眼，那么让人忍不住想上去捏一捏。头一次觉得，男女之间的并非天作之合，而男男相伴却是合情合理甚至理所当然。多么让人艳羡的一对啊。            
(NA)	 怪不得我到现在都记得看到展昭和白玉堂拷在一起那段很HIGH，原来是因为这段超腐啊..            
(5星)	 小时候的美好回忆啊~确定我从那时候就开始向腐女方向发展了。。到现在还是很喜欢的古装剧，觉得比现在很多大片子都还棒~            
(5星)	 不应错过，也未曾错过的经典            
(NA)	 吼~            
(NA)	 焦哥的成名作，展昭的经典            
(4星)	 猫猫 五爷            
(5星)	 找不到焦老鼠的包青天啊~~~            
(4星)	 最爱的白玉堂和最爱的展昭～            
(4星)	 在下展昭            
(5星)	 再看，依旧深深爱我的展猫猫            
(4星)	 看的时候就觉得猫鼠很相配了，那时小学很纯洁的，只能说明导演拍的实在是～～～            
(NA)	 鼠猫啊！！            
(3星)	 记得第一次看见焦恩俊，觉得很娘娘腔的展昭，因为才看完包青天，粉喜欢里面的何家劲。但看了2集以后，终于发现，这个版本的展昭更帅更迷人，从此记住了这个名字            
(4星)	 当时把这部和《包青天》几乎完全混了……            
(4星)	 从来没有觉得焦恩俊帅过，除了这一部！真的很帅            
(3星)	 焦版的展昭和何版的风格不同，但是真是各有千秋！不过包大人还是金大叔比较好            
(5星)	 个人认为这一个版本的展昭形象最正点~小学时代的梦中情人啊啊啊~            
