http://movie.douban.com/subject/2214169/	谈判专家
(5星)	 为了文文去看的，没想到彻底迷上了张智霖。总体非常非常非常好看。            
(4星)	 加麻文颂娴真心和陈静娴一个样儿！            
(NA)	 【2004-11-28】            
(4星)	 个阵真系睇乜剧就想入乜行业~！            
(3星)	 没看全            
(5星)	 堪称经典啊            
(NA)	 特喜欢。            
(4星)	 叶可人小姐 ，我叫杨光，我全权负责这次谈判，无论你下半生有什么要求，我都会尽量满足你，因为我今天来娶你！！！（PS：jacky你傻，那个鞋拔子脸的joyce有啥好看的？PPSS：郭可盈真美！！）            
(4星)	 阳光            
(NA)	 查漏补缺            
(5星)	 陈豪那时候专门负责负心汉的角色啊            
(5星)	 其实，这才是我最爱的TVB啊            
(4星)	 读初中那个时候广告还是短的...安徽卫视四集联播什么的真是暑期最好的消遣            
(4星)	 因为这部剧导致我内心那个想当~~~            
(4星)	 我当时超爱这个= =。。            
(4星)	 文颂娴气质真特别。            
(3星)	 杨光 可人            
(5星)	 周末大放送....大仙儿百看也不厌            
(4星)	 哈哈 好看的 。            
(4星)	 哎哟  看刑事侦缉档案突然想起来这个电视剧  我发现TVB总是能发掘各行各业的公务员   警察啊 火警啊   海关啊   飞行员啊  空姐啊 医生啊神马的             
(5星)	 怀旧一把系列~相当的怀念！            
(5星)	 对于不喜欢看港剧又超迷张智霖的人来说，我第N次翻出来看，只看叶可人跟杨光的桥段。            
(4星)	 演技派            
(4星)	 记得当时好中意。            
(5星)	 当时超爱            
(4星)	 香港的行业片总是拍得很像宣传片            
(3星)	 唯一记得的就是郭可盈的儿子叫QQ。。。            
(4星)	 张智霖和文颂娴两个我都爱            
(5星)	 文颂娴张智霖 绝配呀            
(2星)	 看了一半果断放弃            
(5星)	 当年大爱~张智霖好帅啊。。。            
(4星)	 张智霖的现代长剧很少看到，这部还行。更别说还有欧阳胖子去衬托。文颂娴当得可人这名。            
(5星)	 好看            
(5星)	 欧阳难得严肃下也不错~张智霖很萌~            
(4星)	 这是我小学时候看的吧。。。。            
(4星)	 挺好看的 不过片名叫谈判砖家有点言过其实了 谈判的案子少了点 更多的是在讲主角的情感变迁            
(4星)	 加菲猫啊。。。。。。。。。            
(4星)	 郭可盈~我的目的之一~吼吼            
(3星)	 记得看的时候超喜欢里面那个杨光。            
(3星)	 “如果你媽媽看到你現在這樣，心裡會怎麼想？”“你老婆有話要和你說。”“老公是你嗎？我很想你，你在做什麼？沒有做危險的事吧？我什麼都不要只要你平安回來……”“爸爸你在哪裡？你什麼時候回來？我很乖，考試拿了100分，老師表揚了我呢！”犯罪分子早已泣不成聲連槍都拿不住束手就擒，完。            
(5星)	 杨光啊杨光！！老子的青春年华！！现在我妈见我看帅哥还是说：你怎么又看杨光了……            
(NA)	 郭可盈好            
(5星)	 可人可人可人！我好喜欢她！            
(5星)	 哈哈~~~~初中的片子了~~~那时候很喜欢看            
(4星)	 真系好好睇..            
(3星)	 补            
(NA)	 杨光和叶可人            
(4星)	 TVB の杨光            
(NA)	 犯HC到死            
(4星)	 很早前跟着电视看得 张智霖本身就喜欢 前段时间居然倒过头来喜欢上了文颂娴 片子依旧是大团圆结局 有美好的配对美好的角色 还有小小不美好的过程             
(5星)	 看了很多很多遍。            
(5星)	 张智霖+欧阳震华，女主都忽略。            
(4星)	 张智霖很可爱的~            
(4星)	 好喜欢张智霖和文颂娴！            
(4星)	 陪我渡过住院时光            
(3星)	 情节挺平淡的……冲着张智霖去看的~            
(4星)	 哎哟哟，亲爱的Chilam同学~这部剧迷死多少人呐！阳光的三少爷~            
(4星)	 欧阳震华            
(5星)	 难得所有的演员都很喜欢            
(4星)	 喜欢杨光和可人。            
(3星)	 主演们的发线不是一般的高            
(3星)	 有欧阳震华就有收视率。            
(NA)	 电视台很神奇，一遍一遍又一遍            
(5星)	 欧阳震华 精彩            
(4星)	 我还是比较喜欢莫sir的说~            
(2星)	 。            
(NA)	 還是因為張智霖            
(4星)	 记得有一年每天每个台都在放，活活把我看吐了。。            
(4星)	 当时小学么还是初一很迷港剧啊            
(5星)	 好片,欧阳振华那段时间的片个个经典,和郭可盈搭的也很好哦,那个时候的郭也是很让人喜欢,可惜现在来内地发展,再也看不到她演的好剧了,不知道怎么想的            
(4星)	 张智霖你敢不敢再帅气点！&amp; 文颂娴你敢不敢再可爱点！            
(5星)	 啊啊啊            
(4星)	 香港就是拍警队片子好看。。。            
(NA)	 欧阳那个面露慈祥的笑啊笑～            
(NA)	 欧阳震华            
(3星)	 杨光这样表面油嘴滑舌，实际内心执着的男人是很多女人的梦想。            
(NA)	 我不喜欢欧阳震华演正常人。            
(5星)	 很好看的说~~            
(3星)	 太纠结            
(3星)	 想看看粤语版的            
(3星)	 剧情挺不错，但后面的感情戏很突兀，虎头蛇尾            
(4星)	 张智霖&gt;&lt;            
(4星)	 看过2遍～            
(NA)	 那一年，和你一起看的。看得我昏昏欲睡。            
(4星)	 还是听广东话比较爽            
(4星)	 里面最帅的我居然觉得是欧阳震华...窘。            
(4星)	 我顶讨厌郭可盈，但喜欢欧阳震华，圆乎乎的，但他俩经常一起演戏，所以我不得不耐着性子看下去            
(5星)	 只因最爱欧阳震华            
(5星)	 欧阳大叔好可爱呀            
(NA)	 看完一度想去考警视            
(NA)	 TVB啊TVB，时光啊时光            
(3星)	 彭国栋肯定是狮子座的大变态！            
(3星)	 不是特喜欢            
(4星)	 不够都忘得差不多了            
(4星)	 以前看的，纯添加……            
(5星)	 我爱的卡司!!!!            
(4星)	 貌似看过的唯一一部港剧 = =            
(3星)	 我打赌，我可以做得比他们好~~~            
(4星)	 2004            
(5星)	 张智霖真是太太太可爱了咯！            
(3星)	 杨光阳光            
(NA)	 很经典啊，喜欢可人~            
(3星)	 虽然我炒了多遍冷饭，但觉得它只是TVB的一部平时作业。            
(4星)	 当年跟着电视台看了好几遍~~~然后越来越觉得张智霖和文颂娴很配~~~            
(4星)	 张智霖的娃娃脸记忆深刻            
(4星)	 曾经痴迷于TVB和粤语。。。            
(3星)	 大家都很喜欢，为什么我还好。。。从这部戏注意到陈豪的帅。            
(NA)	 瞄过            
(5星)	 当年很喜欢的电视剧阿            
(4星)	 我也超级喜欢杨光的，嗯。            
(4星)	 那段台词很感人            
(NA)	 不管是什么情况 他们一出现就很容易了。            
(4星)	 小时候很喜欢！            
(4星)	 欧阳震华和张智霖好帅啊~~~~~~~~~~~~~~~            
(3星)	 張智霖還真是不顯老            
(3星)	 我喜欢欧阳震华&amp;郭可盈            
(4星)	 还不错            
(5星)	 當初還很想做這個呢            
(4星)	 正好昨天电视里看到了。啊哈哈            
(5星)	 看了又看。。。好看啊！！！            
(3星)	 张智霖和文颂娴在其中的表现可圈可点。欧阳震华也表现的很好。但剧情太俗套了。陈豪的客串演出，温文尔雅，很不错。            
(5星)	 怨念Mo的家聪啊。。            
(5星)	 很鼓舞人心的片子。逃避不一定躲得过，面对不一定最难过。            
(4星)	 救人命~            
(2星)	 老无聊了，陪妹妹看的。            
(4星)	 蛮不错的            
(3星)	 唔唔...蛮喜欢的呃            
(4星)	 张智霖            
(3星)	 这时已经不爱看TVB了，也觉得欧阳震华变样了            
(4星)	 经典~            
(5星)	 呵呵，親愛的我們，可愛的電視劇            
(4星)	 剧情一般，看只不过是因为里面有张智霖            
(4星)	 陪娘一起看的，她很喜欢。我更怀念我和娘一起看片子的时光，可惜好像不再会有这样的闲暇了。            
(2星)	 虽然有我喜欢的欧阳但剧情真的很差            
(3星)	 为什么大陆的就不能拍的好看点~            
(4星)	 为了张智霖看的，最终也就张智霖最值得看。            
(5星)	 百看不厌            
(3星)	 好看的丫...4个人都老喜欢的...            
(5星)	 超級好看~~~第一部結尾太嚇人了拉!!!!!            
(4星)	  欧阳震华 张智霖             
(4星)	 杨光~~~            
(NA)	 也就是一般的TVB剧            
(NA)	 偶最爱的tvb篇            
(4星)	 文文！            
(4星)	 经典            
(4星)	 张智霖和文颂娴感觉很配哦~欧阳和郭可盈的这一段恋情也不错            
(NA)	 很久以前看过的剧集            
(3星)	 补漏            
(NA)	 大熊猫            
(5星)	 很不错。            
(5星)	 有挑战性的职业！            
(4星)	 看入,還不壞.伯比轉型都算成功.            
(5星)	 很好看 文文可爱 看几遍都不厌            
(3星)	 我挺喜欢文颂娴的样子，但我更喜欢方的性格。            
(NA)	 想起某女（wish her）的择偶标准。。张智霖演的杨光。。哈哈。。。。好玩。。。            
(5星)	 杨光啊杨光！            
(4星)	 超喜欢张智霖和文颂娴~            
(5星)	 杨光可真好~            
(3星)	 张智霖脱发的饿。。。            
(2星)	 忘记了内容。            
(5星)	 张生最讨人喜欢的角色之一~~~            
(NA)	 Chilam这个角色很符合我的口味～            
(4星)	 豆叔.俺看过类..            
(4星)	 喜欢张智霖            
(3星)	 不太喜欢郭可盈            
(NA)	 重放太多,看了一点            
(5星)	 彭国栋，你是榜样！            
(4星)	 喜欢文颂娴的纯和张智霖的小聪明            
(4星)	 最喜欢文颂娴了            
(5星)	 杨光真的很阳光            
(4星)	 喜欢            
(4星)	 2002 翡翠台            
(5星)	 我爱张智霖，我爱文颂贤            
(3星)	 周末无聊时间可以一看            
(3星)	 阳光            
(4星)	 喜欢郭可盈            
(NA)	 超想看的一部，以前没有看，郁闷            
(4星)	 杨光啊杨光            
(NA)	 经典            
(4星)	 好看，就是张智霖那恋爱谈的令人怨念            
(NA)	 也不晓得看过好多次 总之没得说            
(5星)	 N遍还是N精彩！            
(4星)	 很棒，男才女貌~            
(5星)	 可能是tvb最好看的电视剧            
(4星)	 很有意思的~            
(4星)	 TVB的警察系列中比较另辟蹊径的一部，总的来说在水准之上。不过有点看不惯那么严肃的BOBBY。            
(4星)	 港剧就是好玩            
(5星)	 真的喜欢的剧            
(NA)	 张智霖太好看了            
(4星)	 杨光太出彩了……搭档之间的默契也让我心之向往啊。            
(3星)	 马克短发范            
(5星)	 语言的力量~            
(4星)	 稀饭            
(5星)	 超喜欢的一部剧！！！            
(4星)	 当年很红~~            
(4星)	 口才这东西啊。。。            
(4星)	 欧阳同学的片子没看过的真是很少            
(NA)	 其实还不错啊~            
(5星)	 喜欢文颂娴。张智霖。欧阳震华有点太悲惨了。不过也是自找的。            
(5星)	 喜欢欧阳振华            
(4星)	 2004            
(4星)	 喜欢阳光可人这对~~            
(4星)	 这部戏让我觉得张智霖还不错。            
(3星)	 哈哈我稀饭这个            
(4星)	 好看            
(4星)	 很好看,剧情不错.欧阳震华从独断专制到因自身原因转变能以对方感受为考量.张智霖太可爱啦~            
(3星)	 还凑合。            
(NA)	 喜欢张智霖            
(NA)	 2004~头一次了解谈判，从此不可收拾~剪报和新闻~            
(3星)	 剧情实在老套            
(3星)	 ChiLam喺入面显得好苍白……            
(4星)	 一见你就笑            
(4星)	 人心与人心的较量！            
(4星)	 谈判专家            
(4星)	 某个寒假数家电视台轮番播放，不看也不行……            
(5星)	 超级喜欢叶可人            
(4星)	 真没想到欧阳震华凶起来还真可怕 不愧是TVB老戏骨 不过还是喜欢可爱搞笑的他            
(4星)	 张智霖很帅!            
(4星)	 有我喜欢的小生~~            
(4星)	 欧阳震华 郭可盈完美配合            
(4星)	 一群可爱的人            
(4星)	 高中的时候一遍一遍的看这个~            
(3星)	 杨光，叶可人。            
(4星)	 太喜欢文文和张智霖一起抓萤火虫的那一段儿了。他们好般配啊！            
(3星)	 喜欢这里面的郭可盈。~ 虽然更多的人喜欢可人。            
(3星)	 以前觉得好看            
(5星)	 我的杨光和可人            
(4星)	  只因张智霖            
(5星)	 杨光朝可爱            
(3星)	 文颂娴还是一样的可爱，不过欧阳震华在里面可一点也不温柔搞笑哦            
(3星)	 一直播一直播...烦死了..            
(4星)	 经典~            
(5星)	 当时看的老激动了= =            
(4星)	 主演四人大爱，这个理由已经足够            
(3星)	 港剧经典            
(5星)	 chilam！！帅呀~~            
(4星)	 [补]。可喜欢郭可盈了~            
(5星)	 哎呀，刷刷以前看过的香港电视剧吧~~有好多好多哇~~超爱的~~            
(3星)	 当时觉得张智霖真是帅呆了！            
(4星)	 张智霖！！欧阳胖胖！！            
(5星)	 小时候的经典啊！            
(4星)	 好看的 郭可盈 张智霖 欧阳震华             
(3星)	 电视台播烂了            
(5星)	 那么可爱的文颂娴怎么现在混成小丫鬟了。。。            
(5星)	 那段时间，欧阳震华这个可爱的胖子很红            
(5星)	 看第二遍 以前看电视里放的断断续续的 但是萤火虫和最后一次谈判永远印象深刻啊 智霖这张脸一直那么正点 其实蔡子建也蛮帅的可是戏路太窄永远配角 两个女主都很舒服 很小就喜欢郭可盈了 金装四大才子的时候又很喜欢颂娴 一开始彭SIR真的好错气 受不了他演这种角色 不过最后都是皆大欢喜 HIAHIA很好            
(5星)	 喜欢张智霖。。。            
(3星)	 TVB的老模式，打发时间时还是可以看的            
(5星)	 从小学到现在，看了好多好多遍，太爱这部剧！！！            
(5星)	 PNC。            
(5星)	 看过的第一部TVB警匪片那时候喜欢的不行 好吧我承认我在怀旧            
(4星)	 觉得好多TVB的剧都是看过那么几集...不过这部算是看完的了...            
(NA)	 和姐姐一起看的。            
(4星)	 完全是因为张智霖去看            
(5星)	 有几年的暑假不停的看。。            
(5星)	 哈哈！从头到尾啊！！            
(NA)	 欧阳叔和张智霖师徒cp....            
(5星)	 张智霖～            
(4星)	 大团圆结局总系讨喜            
(3星)	 对欧阳震华的非搞笑剧表示不欢喜            
(4星)	 哈哈那时候好喜欢张智霖            
(4星)	 大爱，看了一遍又一遍，那时觉得 叶可人 这名字好好，杨光很好            
(3星)	 保持在基准线水平。            
(4星)	 很喜欢这部电视剧！            
(5星)	 人物剧情统统喜欢!            
(NA)	 @霸气小噜噜 这本也狠经典的歪。。             
(5星)	 有没有六颗星给我打咯            
(5星)	 不错，很喜欢~~            
(4星)	 叶可人就像个小白一样，太蠢了。            
(4星)	 看了好多遍了            
(4星)	 喜欢张智霖和文颂娴啊~！            
(5星)	 最先看的TVB应该是···？            
(4星)	 其实有偷偷考虑过这个职业(⊙o⊙)…            
(5星)	 印象中的第一部港剧。太太太太太喜欢杨光这个角色~~~~            
(4星)	 很喜欢张智霖 无论古装或现代            
(4星)	 在当年还看tvb的时候……            
(5星)	 重温！            
(4星)	 张智霖阿！比不过暗战而已            
(5星)	 好看的            
(5星)	 小时候就看过不少港剧啦            
(4星)	 胖子            
(5星)	 童年经典呀            
(5星)	 杨光，叶可人，经典            
(5星)	 看的时候算小时候吧。已经完全忘掉阿mo也参演了            
(4星)	 喜欢欧阳胖胖，喜欢文颂娴，当时看觉得像二十多的女孩子，后来才知道和张智霖一样应该都属于不显老的            
(5星)	 一度想成为PNC，初中那会儿还查资料做笔记。。。            
(4星)	 我被当年的阳光晃了眼。            
(4星)	 原来看我过这么多电视剧——好喜欢张智霖~~那时候觉得自己很适合当谈判专家诶~~            
(4星)	 张智霖这张脸哟,以前和现在有什么不一样啊有什么不一样!!            
(5星)	 张智霖！！！            
(5星)	 我的最爱啊，看了好多遍了都~~~            
(4星)	 这样的专业剧是tvb的重头戏~~~            
(NA)	 以前看的时候还满喜欢的            
(3星)	 以前可喜欢了            
(4星)	 果断好剧！！！！            
(4星)	 不知道看过多少遍了 张智霖帅啊~~            
(4星)	None
(4星)	 阳光阳光，你真阳光！文颂娴真心美。            
(4星)	 中规中矩的港剧，不过这样的职业剧TVB拍起来还是挺有一套的，欧阳兄和KK真的很配呢，那个时候陈豪还是个配角，好怀念~            
(4星)	 以前的港剧在挖掘人的丰富性，表现人物性格发展，甚至角色塑造、对白方面都要比现在的港剧好上五颗星。现在的港剧，出来出去只能出刘三好这样的垃圾。            
(5星)	 我超级超级超级超级超级超级爱杨光！            
(3星)	 欧阳震华真长得像咖啡猫。            
(5星)	 很经典啊~~看了以后觉得张智霖和文颂娴好搭~             
(5星)	 好喜欢文颂娴和张智霖！            
(5星)	 很好的新题材            
(4星)	 斯德哥尔摩症候群。。。就记得这个- -            
(5星)	 极其经典的电视剧！            
(4星)	 很喜欢文颂娴啊            
(4星)	 儿时回忆啊~~~            
(4星)	 蛮久以前的港剧。还记得当时一度的未来职业规划是，想做一个谈判专家。            
(5星)	 一直很喜欢文颂娴，她怎么就不红呢            
(NA)	 真心喜欢郭可盈，还有张智霖。            
(4星)	 学会了斯德哥尔摩症候群，呵            
(5星)	 因为这部剧认识tvb，认识可盈。喜欢。经典。mark            
(4星)	 看了好几遍            
(3星)	 好久以前看过了。又完完整整看一次。竟然出现了最没懂自己的哭点。            
(3星)	 前面还好，结局太匆匆……            
(3星)	 专门看张智霖和文颂娴的~            
(5星)	 阵容好喜欢~            
(3星)	 剧情差了点            
(NA)	 很喜欢很喜欢这部片子 第一次知道斯德哥尔摩侯症群            
(4星)	 现在tvb能出个谈判专家这样四个主演我喜欢剧情可以不骂编剧脑残就看完的片子我就感天谢地了            
(4星)	 张智霖真是十年如一日啊。。。            
(4星)	 不记得了都 只晓得小时候看了好多好多遍            
(3星)	 其实一般般。我爱文颂娴            
(NA)	 “叶可人小姐 ，我叫杨光，我全权负责这次谈判，无论你下半生有什么要求，我都会尽量满足你，因为我今天来娶你。” 当初看这部剧因为四大主角都喜欢，而杨光和可人这一对又实在是太有爱。说句老实话，张智霖演什么我都觉得有爱（这就是传说中的HC综合症么？）            
(4星)	None
(5星)	 张智霖好讨巧的，从04年到11年~哈哈 还是很年轻啊...            
(2星)	 板起脸的欧阳震华真的不喜欢~            
(4星)	 tvb的剧都差不多，没什么印象了            
(4星)	 斯德哥尔摩综合症帮了我的期末论文！必须大爱！还有张智霖！！！！            
(5星)	 最早看的tvb，阳光可人啊~            
(3星)	 好小的时候看的            
(5星)	 就喜欢张智霖、欧阳震华~~~            
(4星)	 欧阳震华和 郭可盈真的不搭很别扭            
(4星)	 想当年。。。            
(5星)	 迷迷糊糊的文颂娴妹子，聪明潇洒的张智霖，当年喜欢极了这两位。            
(NA)	 今天重温了一遍，好吧，我又花痴杨光张智霖了。。。真是。。。花痴了啊TAT            
(4星)	 当年因为这部剧我甚至想去学心理学。            
(5星)	 还是蛮经典的，对欧阳震华一开始的大男子演技赞一个，后期变的和蔼可亲后，处处能见到陈小生的影子。。。            
(NA)	 没看结尾=2010or2009=我发现看引进的TVB剧永远会错过结局= = =20111127=            
(4星)	 TVB            
(5星)	 印象最深的TVB             
(4星)	 四个主角都无可挑剔，多年后还想拿来重看的经典之作            
(4星)	 现在依然爱看            
(3星)	 我比较喜欢叶可人            
(4星)	 TVB啊啊啊，好想念张智霖和文颂娴            
(4星)	 爱欧阳震华和张智霖！            
(5星)	None
(5星)	 5星给可人和杨光            
(4星)	 职业剧，对谈判专家这种特殊职业有一定的解读，但是不够深入。            
(5星)	 我的最爱！！！！ 看了无数遍了 ~            
(4星)	 很久以前看过的补上评分            
(4星)	 高中班上风靡。            
(5星)	 小时候的经典            
(NA)	 看的时候老杨还在宜宾            
(4星)	 当时觉得郭可盈很美            
(5星)	 欧阳震华，可爱的胖纸～            
(5星)	 好喜欢好喜欢            
(3星)	 那时年少各种剧~~~            
(4星)	 阳光            
(3星)	 文颂娴真的很清新            
(4星)	 挺喜欢郭可盈的········            
(4星)	 好看~            
(5星)	 那个时候的欧阳胖胖真的是人见人爱( ⊙ o ⊙ )啊！            
(4星)	 算是比较经典的警匪电视剧了            
(5星)	 一直大爱文颂娴啊            
(4星)	 记得原来会每天赶回家想看6点档得剧集            
(5星)	 看法证先锋突然想到这个曾经很很很喜欢的剧。。。            
(4星)	 幽默气氛的港剧最喜欢了            
(4星)	 以前就觉得莫sir和kit在一起不错呀。。可惜不是主角注定不能一道了。不过还有杨光叶可人~好有爱啊~~            
(3星)	 张智霖            
(5星)	 一直记得欧阳震华发现妻子外遇时看到的房子，其实女人要的很简单，真的。            
(4星)	 承載了我很多記憶的電視劇            
(4星)	 一直觉得郭可盈很漂亮很气质            
(NA)	 冲主角来的，杨光真是太搞了            
(5星)	 这部电视剧最让我怀念的就是张智霖还有文颂娴啦！            
(4星)	 为大仙mark，太帅            
(3星)	 电视上看的，还可以吧。            
(4星)	 当年好萌张智霖啊            
(5星)	 经典。杨光叶可人，8年了我居然还记得他们的名字            
(4星)	 萤火虫。            
(4星)	 TVB的就是好            
(5星)	 可人真是可爱啊！张智霖真是嫩啊。从此记住了斯登哥尔摩症候群……            
(3星)	 张智霖！            
(NA)	 郭可盈在这剧里好漂亮            
(5星)	 小时候追电视台看完的 可惜后来爸妈就不准看各种“乱七八糟”的港剧了            
(5星)	 张智霖，文颂娴，欧阳叔叔，郭美女，都很顺眼            
(5星)	 那时高中            
(5星)	 剧情紧张 有节奏 。。我超爱文颂娴            
(5星)	 我是看着你长大的。            
(3星)	 无心插柳柳成荫            
(5星)	 我不知道我有没有看完            
(4星)	 绝对好看呀，口才那个好~ 非常有意思，能学很多东西~            
(5星)	 杨光杨光杨光杨光杨光杨光杨光杨光！！！大爱啊~~~~            
(3星)	 当年迷张智霖的时候看的，现在回想起来也就那么回事吧。            
(4星)	 看了才知道原来张智霖这么搞笑的            
(4星)	 张智霖很帅那。            
(5星)	 杨光，你的别名叫，李坏死了~            
(NA)	 一般般            
(3星)	 反正是冲着演员去的 那些谈判技巧我赶脚好唯心- -            
(4星)	 一般港剧里都不需要谈判专家的，每次都是已经叫了，在路上，然后一个主角出来各种噼里啪啦劝，OK，人救下来了，这个剧就是为了反驳这一点的吧            
(5星)	 过去的震撼            
(NA)	 tvb里最爱的一部！！居然最爱的是这部！！            
(3星)	 我看的港剧后期了            
(4星)	 因为chilam多给一星            
(4星)	 就是。。。TVB呀            
(4星)	 三寸不烂之舌            
(3星)	 杨光你好调皮的            
(NA)	 有默契的男女主角，很自然的走在一起            
(NA)	 不停地机会巧合，不断的成长成熟。btw：在这个戏的最后，第一次听到“斯德哥尔摩症候群”这个名词。然后过了很久，才真正明白这个名词的真正含义。            
(4星)	 喜欢这个职业哈            
(4星)	 也是小时候的记忆，感觉胖子好厉害的。还有就是剧情往往要把两个搭档最后都弄成夫妻，现在的TVB剧还是这样。。。            
(5星)	 当年超爱看            
(5星)	 TVB台庆大剧~~很喜欢，以至于看了又看···从那时起特别喜欢文颂娴···            
(4星)	 我小时候真的迷过TVB            
(4星)	 喜欢这种剧情的            
(5星)	 老港剧            
(3星)	 几乎看烂了的一部TVB 这么多年了 智霖兄你还是那么帅            
(NA)	 主角都是我爱的！！！            
(4星)	 张智霖阳光的迷倒我了            
(5星)	 最爱！！！！！！！！！！！！！！！！            
(5星)	 内地就拍不了这种剧            
(5星)	 四星给我的童年，一星给无死角帅死人的张智霖先生            
