http://movie.douban.com/subject/1477894/	我叫金三顺 내 이름은 김삼순
(5星)	我买了2套碟收藏，也因为这部戏认识了我偶像郑丽媛o(∩_∩)o...
(4星)	我老公常说我是“杨三顺”，主要是从体型上来说的。囧
(5星)	三顺姐！！！！！！！看了无数遍 还是好看~~~
(3星)	练习韩语用的。
(5星)	２００７年１２月看完
(5星)	我的故事，哈哈哈哈
(4星)	哈哈 确实有点意思
(5星)	玄彬好好看。
(5星)	嘿嘿，三順
(4星)	满搞笑的.
(5星)	他们说我像三顺！
(NA)	:)
(5星)	喜欢玄彬的说……
(NA)	我超爱郑丽媛和Danial的。。。
(5星)	啊..Wuli玄~
(NA)	學到很多東西 .
(5星)	失恋必看
(3星)	食物都很好看..点心们..
(4星)	加油 三顺
(5星)	好看，真的好看～
(5星)	让人对爱情又充满希望啊
(NA)	丑小鸭变天鹅的故事。没女的恋爱。
(5星)	爱是成全
(5星)	爱情是需要勇敢的 一定要看
(4星)	举凡情场失意但又不失浪漫幻想的大龄女青年都可以看一下以增强斗志。
(5星)	难得的韩片佳作
(5星)	我也想做好吃的糕点！ 
(3星)	喜歡金善雅，尤其是S日記，非常喜歡的電影之一。
(NA)	五颗星~
(5星)	金三順我愛妳。
(3星)	解闷
(NA)	其实就看了个大概其
(4星)	还挺励志的...
(5星)	玄玄真是好帅
(4星)	BJ单身日记型的.玄彬很不错...
(4星)	有一天身体问心说,如果我病了医生可以给我治,如果你病了怎么办?心回答,我生病的时候是没人能帮着治疗的，只能靠自己痊愈，我只能自己给自己治。也许就因为这样，每个人都有一个治疗自己心中伤痛的方法：喝酒、唱歌、发火，或哭，或笑，跟朋友诉苦，出门旅行，慢跑，最差的一种方法是逃避这种心痛。我的治疗方法是，像这样快到清晨的时候烤蛋糕和饼干。爸爸突然离我而去的时候，火一般的恋爱结束的时候，受到侮辱的时候，都会在凌晨到工作室做蛋糕，用那时的香味安慰自己。世上还有比这更甜美的治疗法吗？
(5星)	男主角帅死人不偿命 0 -
(5星)	三顺说面粉按用途分为两种：放发酵粉和没放发酵粉。放发酵粉的时候面团会很快发酵，而没放的时候，面团会自我呼吸膨胀。我觉得那个太可爱了，我想了一想，要做没放发酵粉的人，享受自然发酵的人生。
(2星)	算了吧.....
(NA)	高中的回忆，标记下。
(4星)	上大学那会我究竟看过多少韩剧，我也记不清咯都 ...
(3星)	只有前面一半还勉强真实 后面都是童话吧
(4星)	去爱吧，像不曾受过一次伤一样。 跳舞吧，像没有人欣赏一样。 唱歌吧，像没有任何人聆听一样。干活吧，像不需要钱一样。生活吧，像今天就是世界末日一样。
(3星)	极少数看全的韩剧 这部还算凑合
(4星)	最喜欢的一部韩剧
(5星)	当时看那个玄彬，帅啊！
(5星)	我居然没有..标!!!!!!!!!!
(5星)	最好的韩剧类型片中的佳作之一。
(5星)	只是梦
(5星)	我就喜欢三顺这样的女人
(4星)	这个真的可以看。。太好玩了。。又重新看了一遍。。
(NA)	重新看一遍 + +~
(4星)	【去爱吧，像不曾受过一次伤一样； 跳舞吧，像没有人欣赏一样； 唱歌吧，像没有任何人聆听一样； 干活吧，像不需要钱一样； 生活吧，像今天就是世界末日一样。 】
(4星)	我能容忍的韩剧类型就是搞笑性质的，像金三顺，顺风妇产科之类的，浪漫满屋也还行
(4星)	唯一看得下去的棒子剧，鄙视我吧
(4星)	顶帅哥
(5星)	晚上八点到早上五点通宵看完完整的第八遍。天知道我这6年来是有多喜欢这个能压抑着饥渴把男猪两次从床上用脚踹下去的女人(╭￣3￣)╭♡
(4星)	特别2.里面那个前女友还真是美啊！！！！
(4星)	剩斗士
(4星)	过，阿三。
(3星)	可能么我表示怀疑！不是我没自信也不是我生活不积极，反正这部片子不太现实在我看来
(4星)	不咋像传说中的那么好
(5星)	四个主角都很可爱。
(5星)	剩女的大爱，太美好了
(5星)	私の名前はキム・サムスン (-_-#)
(4星)	怀念看这部剧时在一起叽喳的姐妹，真的真的，日子哗啦啦的，那么快，就像看三顺的时候时间过得那么快，没多久故事就happy ending了……总是很感叹自己就幸运地遇到了你们，新年快乐，希望我们，之后每段故事也会是HE~~~想念你们，想念六个人在床上瞎折腾的日子~~^_^
(NA)	這可是最好看的韓劇
(5星)	就像从来没有受伤那样去爱吧。
(NA)	和妈妈一起看韩剧呀 看韩剧~- -
(3星)	疯了疯了，竟然在这么忙的时候看了这部。不过无论结局如何，我喜欢俞熙真那样的女孩
(3星)	勉强三星，不怎么好看，搞不懂豆瓣的高评分，也不清楚为何有那么多人推荐看说好看。
(NA)	刚想起来我居然真的看过这个
(4星)	完全是冲玄彬看的。
(5星)	我可能看了10遍了 我真是坏银
(4星)	重播率很高啊~
(4星)	难得我看完的一部韩剧，搞笑，仅此而已。心情不好可以看。
(4星)	四星半，我给
(4星)	第一次主动看的韩剧，不错
(4星)	三顺，加油
(5星)	玄彬啊啊啊啊~~~~
(5星)	玄彬太帅了！
(5星)	我爱金三顺!
(5星)	在电视上看了快五遍了。。
(5星)	让平凡女人觉得挺爽
(4星)	经典 即使有人说俗也无所谓这是我会在高二夜晚抽出时间来看的片子
(5星)	就算是再看1万遍，还是会那么喜欢三顺。去爱吧，像从来没有受过伤一样，三顺最牛逼！！！
(4星)	人人都知道会死,但还是在生活
(5星)	偷偷说一下，这是我爱情的指导剧之一
(NA)	为什么越看三顺越不待见……
(3星)	我还是不明白= =
(4星)	唯一一部看完的韩国偶像剧
(4星)	告诉你每个女人都是美的
(1星)	Garbage~~~~~~~~~~
(4星)	什么时候开始 我也会迷恋 曾经小说里的爱情 
(5星)	很好看很好看。越看越好看。真实。
(5星)	我爱三顺。
(5星)	唯二能生产的韩剧之一
(4星)	不管怎样，多少含有鼓舞人心的东西，生活充满希望——那是自己给予自己的。
(2星)	追忆似水年华里的玛德琳吸引看了
(2星)	呵呵呵呵意淫吧你就
(NA)	en，是很像..
(NA)	我又要三石
(5星)	三顺，你，就叫三顺
(5星)	我唯一爱看的韩剧
(NA)	我的梦想就是和心爱的人开一个蛋糕店，做甜蜜的食品，看人开心的享用
(NA)	还是更喜欢柳熙真阿...
(NA)	我很喜欢熙真和她的鬼佬男朋友 比这个谁可爱多辽
(5星)	别再放了……
(5星)	最喜欢的韩剧
(4星)	郑丽媛
(4星)	那么 只是肥皂剧
(3星)	模式过于单一的韩剧中剧情编排稍有特殊的一部，它告诉我人生真的需要执着，积极，勇气，智慧和才干。如果错过时机，没有什么会坚如磐石。
(5星)	我妈超喜欢三顺..ORZ
(5星)	算是很经典的。然后我觉得三顺这样的女人是很有福气的。，然后然后为什么现实中不能多点像喜欢三顺那样的振轩捏？
(5星)	恩。当年觉得真的还满好看的。
(5星)	百看不厌
(5星)	玄彬~
(4星)	女主角真是想胖就胖，想瘦就瘦的典范啊。
(3星)	我也想做点心
(3星)	韩剧中印象稍好的一部，偶稀饭熙贞
(3星)	胖胖的也有人爱呢。
(5星)	再看n+1遍！
(NA)	三顺就是胖了点
(NA)	都说我们像!像吗?没觉得
(5星)	我就是如此的爱你。。。三顺。。。
(3星)	玄彬对待熙真的态度，我想揍他
(4星)	haha
(3星)	还行，我爱看做蛋糕
(5星)	玄彬 
(4星)	去爱吧 就像没有受过伤一样
(5星)	超级喜欢的
(5星)	因为我的高中时期就是三顺所以,我爱我自己演的片子哈哈
(4星)	女孩子都该看看！
(4星)	去爱吧，如同从来没有受过伤害一样 艾佛烈德德索萨 跳舞吧，如同没有任何人注视你一样 去爱吧，如同从来没有受过伤害一样 唱歌吧，如同没有任何人聆听一样 工作吧，如同从来不需要金钱一样 活着吧，如同今日是末日一样
(5星)	我们都是金三顺。
(NA)	最爱的韩剧
(4星)	童话而已
(NA)	女人就应该这样！！有自尊！！
(5星)	不看怎么行
(4星)	哈哈～～～我要像女主角學習嘛！因為好多人都好喜歡她喲～～～
(5星)	百看不厌
(NA)	爱死了
(5星)	我最喜欢的韩剧
(4星)	那个……有次照了张照片，发觉我有点像玄彬了啦……哭
(3星)	他俩一互发短信我就想起以前读书时传纸条的光景。
(4星)	三顺讨厌自己名字太俗那段最搞笑了
(NA)	赵三顺
(5星)	我喜欢三顺的个性
(NA)	有玄！  
(NA)	那段时间的梦想就是当蛋糕师XDD
(4星)	做一个真实的自己多好啊~
(5星)	05年的韩剧，现在仍无人可以超越
(5星)	里面有很多经典的对人生的见解。觉得这部剧终于在某种程度上脱离了韩剧的定式。音乐好听。有些地方很搞笑。喜欢配音。
(NA)	一般，不过有些话很经典哦
(3星)	还不赖。
(NA)	除了甜点还能看看~~
(NA)	玄彬，我男朋友哦，所以强力推荐，除了帅还是帅！
(NA)	三顺很可爱
(5星)	~就是好啊 一遍遍地反复看~
(5星)	和妈妈一起才是认真的看了下    PS:糕点很吸引人
(4星)	这部剧，让所有的灰姑娘相信，她们可以嫁给白马王子的。真喜欢女二号，感觉很好，还有男二号呀。
(5星)	非常喜欢三顺的性格
(4星)	我叫金三顺。
(4星)	我记得当时笑了
(5星)	关于平凡但真诚的爱情追寻．美味的蛋糕也是亮点．嘿．
(NA)	韩剧
(5星)	看过N遍了~还是很喜欢~
(5星)	.
(4星)	玄彬真是帅得有点外太空啊。
(3星)	碾米店老板的三女兒～三順阿 
(5星)	真实的三顺,让整部片子都有了糕点的甜美味道
(5星)	哎，回忆啦！
(5星)	当然咯。。。力荐咯。！！！！！！
(4星)	反复看过的爱情剧
(5星)	超级喜欢，什么时候天下也给俺丢一个玄彬这样的下来，谢谢您了！
(5星)	很是喜欢
(4星)	看的不是金三顺，而是柳熙珍和玄振轩。。。。。
(5星)	韩剧里最爱的
(4星)	我叫金三顺？？ 
(5星)	非常喜欢三顺和三石这两个人，喜欢三石的帅气，喜欢三顺对爱情的执着，希望我也能和三顺一样幸福！我会加油的！
(3星)	共16集。第一次完整看完一部韩剧。剧情比较松散拖沓。还好不太长。金三顺的有些造型好像芙蓉姐姐。
(5星)	偶像剧的自裁。
(NA)	喜欢三顺的性格,直接简单美好
(NA)	姐弟恋
(4星)	看到善雅JJ就很开心。
(5星)	唯一一部想看第二遍的棒子剧！！
(5星)	非常喜欢，喜欢玄彬，喜欢金善雅，喜欢女主角的性格，希望自己也能像她一样坚强
(5星)	其实我是金三顺..
(4星)	回忆没有任何力量
(4星)	三顺真有意思啊！
(5星)	目前最爱的韩剧，其实韩剧也没看几部。每个角色都很有意思。三顺真是超好笑又可爱，另外那个秘书绝对是个好笑的亮点
(2星)	……
(5星)	!!!
(NA)	好玩
(4星)	我喜欢三顺
(5星)	时在广州
(5星)	我喜欢
(NA)	SHE IS
(NA)	好缘分。。。
(4星)	interesting!
(3星)	为什么俺感觉一般般
(NA)	爱情本来就是幼稚的.
(NA)	这部比较好。
(5星)	爱!也要坦白!
(5星)	有一天身子问心 我要是痛了 医生会给我治 你痛了 谁来给你治呢 于是心说 我只能自己给自己治 也许就因为这样 每个人都有一个治疗自己心中伤痛的办法 喝酒唱歌 发火 或笑或哭 跟朋友诉苦 去旅游 跑马拉松 最差的一种方法是逃避这种心痛 我的治疗方法是 像这样快要
(4星)	当时很喜欢看~
(5星)	搞笑，感動，感嘆!!
(5星)	那么让大胖子的我相信爱情。
(5星)	很好笑也很可爱。
(4星)	可惜三顺常有而玄彬不常有
(4星)	很早看的，昨夜和周姑娘聊天时的共识是！玄彬好帅啊
(NA)	没看明白男主角为何不要女二号而要一个长相性格身材样样都很挫的女一号...真颠覆啊............
(3星)	自己安慰自己可以看看。
(NA)	像这种坑爹的韩剧最适合骗小女森了！不过当初我真心看得很沉迷&gt;&lt;
(3星)	丹尼尔长得真帅！
(5星)	雖然我真的不喜歡pc和不喜歡看pc劇.但是這部是我唯一看過而且覺得好看的劇了.兜兜轉轉地終於找到屬於自己的愛情.雖然嫌棄過自己名字很土又想減肥,但是卻從來沒有拋棄自己,反倒不斷默默地努力著追求屬於自己的幸福.還好像記得這部是我應該小學的時候在電視里看過的劇了.
(5星)	我喜欢这种平凡的故事。
(5星)	最爱的韩剧，没有之一
(NA)	大爱啊
(4星)	最好的韩剧
(3星)	虽然在那时候红极一时。。。但是现在看起来还是吐槽点众多
(5星)	谁说胖姑娘没幸福的
(5星)	玄彬。╭(╯3╰)╮
(5星)	如果她哭，我就放你走。
(NA)	李部长骂金家二女儿不好好吃饭一场好精彩。。。哎呀花痴鸟。。。
(4星)	挺好看的电视剧。爱情就是这么神奇。
(5星)	小时候陪我妈看的。没什么印象了。
(3星)	EAT,PRAY,LOVE。恋爱必修啊
(4星)	三顺 =3=
(5星)	玄彬那个时候帅死了
(5星)	韩剧里不可或缺的一部，女二号俞熙真真是太美了
(NA)	这片太励志啊，当时好多人打电话叫我看啊T_T 我才不是金三顺。。。我才不爱这种美颜正太！
(4星)	大龄剩女的美梦~
(4星)	偶巴个臭不要脸的，卖萌可耻啊可耻！所以偶巴演幼稚鬼是有前科的，金朱元不过是三石的升级版啊升级版。除了偶巴，还有谁能将幼稚任性又纯良可爱的角色饰演地如此入木三分？
(3星)	糕点什么的实在是……
(5星)	我居然没有记录过？。。。看的棒子剧不多，不过这部就是好看嘛-V-
(5星)	好勵志的片子TUT
(5星)	艹太好看了……
(4星)	汗
(5星)	我爱玄彬~三石 三顺~
(4星)	现实中最缺的童话
(NA)	高中陪着我妈才有电视看 什么都不挑的。。。还得跟她讨论剧情才行。。不然会被赶去做作业。。
(5星)	全部主角都好看，哈哈哈，还会幻想代入金三顺
(5星)	唯一一部完整地看过的韩剧
(5星)	 玄彬 演得有点像受.. 很喜欢很喜欢..这部剧
(4星)	带着所有想象灰姑娘都会变成公主的幼稚剧 但是依然有点小感动~为女主的身材和勇气
(4星)	逗
(NA)	俩男主极限
(4星)	转眼也4年过去了，《不能分手的分手》是我现在的铃声，其实我常常想起熙珍
(4星)	可能么？
(5星)	诶呀，好想看到天亮，看一次欢乐一次，还有一下子回到高三假期的感觉。Ps：金三顺小姐应该是白羊座吧......
(5星)	最看不腻也是唯一喜欢的一部韩剧，其实里面的台词都很棒，背景音乐也很棒！
(NA)	原来我从小到大看过那么多韩剧..
(4星)	玄彬 去爱吧，就像没有受过伤一样
(4星)	三顺是最棒的。
(3星)	王子爱上平凡女俗套的剧情。剧中男演员还不错。
(5星)	heejin forever
(5星)	女主角的设置非常讨喜，可以算我最喜欢的女主角之一
(4星)	真诚片。从此之后各种电影电视剧里边如雨后春笋一般出现了一个又一个不会说话，爱自闭的小孩儿。
(4星)	其实我更喜欢女配角……咋能这么漂亮呢，水灵灵的。
(4星)	告诉我们剩女还是有出路的
(5星)	每个人都有另人着迷的一面
(3星)	里面有个微笑女王 
(5星)	韩剧里面比较喜欢的
(4星)	韩剧里的经典
(4星)	其实此剧主要赢在女主人设。
(4星)	舒服.
(4星)	那个像蛋糕一样的女子
(4星)	太逗
(3星)	这部剧是在舍友的怂恿下看完的
(5星)	！！！！！
(4星)	2007
(3星)	韩国人真能拍！电视剧成这样已经很不错了，尽管剧情在某几集有些假模假式有些硬拼，但摄影、表演、灯光、剪辑、各种把戏各种惯用伎俩，凑成一部简洁明快的都市剧作。看的人都说好，这是有道理的。
(4星)	在看，不多说
(1星)	讨厌棒子- -
(5星)	LIKE
(5星)	那时噶精神食粮吧，在还没恋爱之前。我最爱噶韩剧之一。
(3星)	泡菜剧就是前面欢乐后面纠结烂尾╮(╯▽╰)╭
(2星)	电视抢不过妈妈，只好看之10
(5星)	为嘛玄彬这么帅。好想要酒窝。梨涡浅笑。
(5星)	很少看韩剧 没有拆不散的情侣 只有不努力的小三 ~
(5星)	百看不厌
(5星)	我唯一喜欢的韩剧
(NA)	OST不错
(4星)	三顺曾口耐~
(5星)	看了不下20遍哇
(5星)	两个女人我都喜欢。
(5星)	可爱的两个人
(NA)	十分之一让我觉得有点意思
(3星)	运气。
(5星)	韩剧只要看过三部就够，包括这个。
(5星)	我记得，玄彬说，你最大的魅力就是你说自己没得魅力。
(NA)	看痴了 泪涟涟中妈妈雪上加霜 说他长得那么像你
(5星)	最好的韩剧
(5星)	我爱三顺
(4星)	童话一样
(5星)	少见的值得推荐的韩剧
(2星)	你叫金三蠢
(4星)	又爱又恨。
(4星)	回忆不具备任何力量
(NA)	最喜欢的韩剧里面的金三顺的故事....跟我的好像等我27岁的时候想要那样的爱情
(3星)	我好像没看完过什么连续剧吧……
(5星)	不败的恋人。
(5星)	我妈很爱看。
(5星)	喜欢害羞的时候，咬嘴唇的男子。
(5星)	去爱吧，如同从来没有受过伤害一样去爱吧，像不曾受过一次伤一样跳舞吧，像没有人欣赏一样去爱吧，像不曾受过一次伤一样唱歌吧，像没有任何人聆听一样干活吧，像不需要钱一样生活吧，像今天是末日一样 [艾佛列德.德索萨] 
(4星)	玄彬之帅帅帅~~~
(5星)	熙珍與三順的堅強和勇敢，我都很喜歡。
(4星)	三石，哈哈
(5星)	玄彬真的好帅，一开始还不觉得～后期非常理解熙珍，好可惜。
(3星)	诶哟 不要打我
(5星)	最最最喜欢的一部电视剧~真希望有三顺这样的人生啊~
(5星)	玄彬帅耶.!!
(NA)	我还是希望他和郑丽媛在一起。
(4星)	完全是后来冲着玄彬看的- -
(5星)	姐弟恋
(5星)	胖女孩的励志片。
(4星)	所有的女生都想成为你吧，三顺。
(5星)	都市题材的现代剧，16集的长度能够突破50的收视率并不简单，毕竟又不像巴黎恋人里面有朴信阳这种国民演技派，玄彬半新不新，金善雅半红不紫，成功的电视剧，而且男女二号并不招人恨
(4星)	没有坏女人的爱情剧
(5星)	long long ago
(4星)	哈哈也蛮好玩的
(4星)	姐弟恋其实也可以很美好的吖~
(4星)	 喜欢这一对儿。啧啧，玄彬啊~~~
(5星)	真是比我还傻的傻大姐。。。
(4星)	和三顺一样的很多，能和三顺一样遇到三石的却很少。总之，最喜欢这时期的玄彬。
(5星)	巨蟹座的三顺！
(5星)	真的 不能再看剧了。。。 
(5星)	这个事看多少遍都不会厌倦的~~我希望自己能像三顺那样把爱大声勇敢的说出来~认真的过每一天~~然后也遇见一个像玄振轩这样的男人~
(NA)	我会成为原型啊，虽然我还算年轻，看的时候心中升腾起一种奋奋的热情，其实根本不管我的事。
(3星)	胖胖的还是傻乎乎的可爱~
(5星)	over the rainbow
(NA)	我发现我还好是看了几部韩剧..
(NA)	这个女子的精神是值得我学习的。
(5星)	陪伴度过失眠夜的三顺
(5星)	高三暑假看的……
(NA)	我只能说是难得比较顺眼的韩剧。
(5星)	啊~！ 玄彬~！
(NA)	好吧，这个我也看过，让我想起我死党
(5星)	我一定要说，这是我最爱的韩剧。。。虽然我没看过啥韩剧
(4星)	韩国制造。
(5星)	高三在卧室买了盘偷偷看，三个晚上看完。喜欢了一阵小眼睛霸气男。
(4星)	大家都爱灰姑娘的故事。。。这姑娘真的很灰啊
(5星)	里面的一首忧伤歌曲 久久在听 看过最多遍的韩剧 不长
(4星)	第10集里三顺说  你这象烟一样的男人  终于看完叻  多么宽容可爱的金三顺  但是对俞熙真还是印象很深刻  多么坚强的女子~
(5星)	玄彬好帥
(5星)	我看完16级之后电台说还有下一集结果广告后发现是第1集
(4星)	可能是看过次数最多的韩剧
(3星)	丑小鸭的故事，哪有那么容易出现在现实中
(5星)	回忆不具任何力量！
(NA)	喜欢三顺。爱情就是爱情，好好爱！
(4星)	满好笑的，爹娘都爱看
(5星)	近年来 韩剧中最喜欢的
(4星)	还可以的
(4星)	。。。真的很胖。
(3星)	一个朋友最爱电视剧，不知道她看过多少次。 当年看得时候还可以装装年轻，现在请上帝赐予俺一个帅G吧~~~~~`
(3星)	完全没有一大帮女人说的那些感觉，到现在也弄不明白为什么它的收视率会这么高，难道是因为我还没到那个年纪？
(NA)	奇
(5星)	话说这剧真是开启了我对韩剧的好感啊~
(NA)	看过知道了胖女人也是有市场的
(NA)	关键词：看点
(NA)	肥婆！凭什么玄彬给你！！！
(3星)	当爱只能到这里 我曾真的有爱过你
(4星)	这可能是我自主看完的最好的韩剧了
(4星)	女人就该象三顺，爱情一半由女人说的算
(5星)	这是我爱人爱看的，所以我也爱看。
(NA)	韩剧还真是喜欢不起来呢.也许是觉得韩语难听,韩国人有痞气吧.
(5星)	过年一直有看，太逗了。
(2星)	 一直对这片提不起兴趣
(3星)	柳熙真
(4星)	小男人满可爱的
(NA)	超好看的韩剧。
(3星)	大龄单身文艺女青年的励志片，适合有需要的人看
(NA)	...我是莫三狼
(5星)	像三顺一样，有自己的原则，勇敢，勤奋！
(5星)	哈哈，喜欢三顺的性格，也羡慕她有那么帅得男朋友啊 ！
(4星)	玄彬啊
(5星)	如果我跟三顺一样努力，是不是也能有圆满的结局？
(4星)	三顺呐我多喜欢你的好性格
(5星)	喜欢三顺，玄彬好帅呀，HOHO,
(4星)	不吃甜的东西还有什么人生乐趣
(5星)	超级喜欢郑丽媛。
(3星)	原来胖子也有幸福的哦。
(4星)	小三成功记？
(4星)	还行，没从头到尾看过
(4星)	玄彬同学很帅呀……
(NA)	原来我是哈玄彬的。。
(4星)	虽然女主角不好看，但总比某些看起来好看的女生好多了
(NA)	最赞，最喜欢的韩剧
(NA)	看前就知它大名鼎鼎了，看后很疑惑它为什么大名鼎鼎
(5星)	好美的熙真
(3星)	没看全~虎丁的碟ms还在我那
(5星)	怎么看都是郑丽媛更好。
(4星)	很喜欢
(5星)	至今最喜欢的一部韩剧~~她是用自己的双手，努力实现梦想的女孩，跟那些用父母赚来的钱乱打扮的蠢女孩不同，而且她知道自己的处境，在这世上该做的是什么，以后应该怎么活下去，有着健康的价值观和思考方式，是个明快的女孩~~
(5星)	很多经典台词。适合失恋时看。
(NA)	大妈,你好
(3星)	大龄女青年之歌
(5星)	像我这种不看韩剧的人都觉得很好看。。
(5星)	最伤心的时候陪着我。
(5星)	一部看过的最好韩剧。
(5星)	有好些地方出乎意料，还不错哦！
(NA)	幸福的三顺
(NA)	06年的暑假，07年的寒假，暑假。08年的寒假，暑假~~唯一看过一直还想重温的韩剧~~
(4星)	很奋斗的一部韩剧
(3星)	我真的觉得玄彬像夏雨……= =
(4星)	胖女人的幸福
(4星)	姐弟恋。。。他长得太帅了。。。
(NA)	看过N遍的韩剧，至今仍是大爱。。。只不过我不是幸运的三顺
(4星)	玄彬怎么可以这么帅的啦！超喜欢里面的造型，特别是头发湿了以后没有上发胶的自然样子，可爱到西特！&gt;_&lt;
(NA)	没办法了，确实看过，还喜欢看
(5星)	三顺啊，遇到这样的阿三真的很幸福
(5星)	喜欢三顺和里面的台词
(4星)	陪着不同的人翻来覆去的看过好几遍…
(4星)	又是谁在去年刚烫完头发的时候，说我像那老老的女人金三顺的...很锉啊~
(2星)	都不知道怎么形容内地电视台的恶烂了
(5星)	三顺，我也要向你一样的恋爱。没有人比你更像我的恋爱了……喜欢你，也就有了缘由。
(4星)	其实不DJ阿三的做法，可是喜欢三顺的蛋糕店
(4星)	真好~
(4星)	超过三十岁的女人能恋爱的可能性， 比在路上被炸弹击中的几率还小。
(3星)	为什么我总是更喜欢韩剧里的那些2号支线演员...
(4星)	结局很有新意。太喜欢男二女二了！
(NA)	从此爱上糕点师傅这一行业，很没有出息吧，就知道吃，从此也更向往法国。
(5星)	男的都长得很好看。郑丽媛也乖得没得说！
(5星)	最爱的一部韩剧。三顺是个非常有魅力的女人。她会告诉你原来不漂亮身材不好，自信，自立，便也可以赢得很多东西。
(4星)	越发喜欢里面的女2号 ..
(4星)	胖女孩真的有春天吗
(5星)	看过5遍
(5星)	这个人29岁的女子,坚持着一切, 最后得到了爱情, 或许只有在电视剧才有这样的结局...
(5星)	有一技之长但并不美艳的灰姑娘
(3星)	使得现实中某一类失落的女性在电视剧中找到了安慰。。。。。
(5星)	三顺是所有女性的偶像！
(NA)	无论再深刻的爱，你都不可以毫无交代，毫无原因的离开。即使最后你回来，告诉我，离开时是因为爱我，是因为天大的原因。对不起，我也不能回头再爱你了，不是因为我变心，不是因为这爱情不够坚韧。而是我突然知道，一个人在努力适应没有对方的日子，那么多年，为此他也付出了很多很多。很多事情，不能因为你突然回来了，我的生活轨迹就要改变，那样，我会跟当年一样痛苦。 
(NA)	我想当三顺
(NA)	喜欢三顺大大咧咧又忠于爱情的性格 就是这个调调~
(NA)	很有意思的剧情 很甜美的蛋糕和爱情
(3星)	玄彬好帅丫，口水ing。。。
(4星)	玄彬很帅，这里面特别帅！金三顺的台词很强大，好看的韩剧
