http://movie.douban.com/subject/5279645/	一一向前冲
(3星)	 那女的穿的衣服怎么总是叠了好几层            
(4星)	 一一什么的，本命什么的，看了四集，那就给4分吧，毕竟头发什么的，胡子什么的&gt;_&lt;            
(4星)	 现在是凌晨5点半，终于坚持着看完了。。。不错的电视剧，我觉得里面最到位的就是副总监了~我觉得我的泪点越来越低了            
(4星)	 o,我是电视剧大王~            
(3星)	 当时很喜欢主题曲            
(3星)	 一些似曾相识 一些莫名感动 我哥很喜欢            
(2星)	 霍建华你没丸子头不行啊            
(5星)	 虽然这女孩善良得很傻B很不真实，但还是会不自觉得被感动～～唉唉，没办法呀～            
(4星)	 我们要一起向前冲            
(5星)	 4.5*挺逗的剧，这在内地偶像剧里真得算精品了。亮点在马路和上官燕这一对儿，特别是马路这小伙子，特溜特顺特逗，肯得基男不错~女主角的台词水平有问题，不自然            
(4星)	 总体还算质量不错的大陆产片，但是剧情有点拖沓。            
(3星)	 霍建华霍建华霍建华霍建华霍建华。。。我抵抗不了电台男。。。            
(4星)	 多次戳中我泪点。            
(3星)	 ~~~~(&gt;_&lt;)~~~~ 霍建华不要再接这种片子了。。。。            
(4星)	 傲娇的霍豆腐~~~            
(3星)	 原来没评价过。小说的画面感和镜头感很强，改编成电视剧反倒没有诠释完整书中的一些东西，显得有点平面。不过当时看的时候，还是小小被吸引了。在帅哥靓女、都市欲望的青春片中，这片子还是难得有看点的。            
(5星)	 暗恋是一件多么辛苦的事            
(3星)	 是冲着能不能激发点广播灵感而来的。一般般吧。觉得节奏慢了点很多地方都快进的。            
(3星)	 有一句话说，你现在的生活，就是老天爷对你最好的安排；难过的时候，我只允许自己难过一天，开心的时候，我允许自己开心一天。             
(4星)	 也是熬的通宵。。。。开始还有点新奇，看到后面就演变成为了看完而看完。。。再次印证了熬通宵看电视剧不是明智之举。。。            
(5星)	 为了梦想 给五星            
(3星)	 小霍！别的我就懒得吐槽了。。            
(5星)	 霍建华！！！！我爱这个表情呆呆的男人。木讷简直是一种美德。            
(3星)	 果然有点像中国版金三顺。。。连女主角的表情神态都是模仿三顺的。。。            
(NA)	 你不是叫周一一吗？怎么那么二！            
(5星)	 可爱的上官燕，可爱的马路！            
(4星)	 爱情是两个人的事儿，一个人再爱，另一个不爱你，都是瞎起劲儿。            
(5星)	 为霍建华而来            
(5星)	 虽然有点白日发梦的感觉，不过还是励志的。宅女也有出头天~            
(NA)	 呵呵...            
(3星)	 曹砚在听完周一一在晋赛中的广播后，他对她说，我还一直担心你会被对方带着走失去自己的风格，还好你一直都能把握自己的节奏跟着自己的感觉走。曹砚对周一一广播主持的评价，我认为这就是周一一一直贯彻始终的自我的做人风格。回归到现实生活中，能够这样清晰活着不随波逐流的人真的很少，物以稀为贵啊            
(NA)	 成都版金三顺。。好喜欢马路呀            
(4星)	 小说已经看完了，电视剧里有的小细节改编的还是不错的。我心里曹砚的理想扮演者是胡歌，很符合曹砚上海人的潇洒、独立、随性。童蕾的气质不太适合演周一一，扮相和小说中出入很大。马路很不错，是我想象中的样子。上大学的时候就很喜欢上海东广，看这电视剧真的好怀念~~~            
(3星)	 剧情不错 演的不行            
(3星)	 小霍同学沧桑了。。。            
(4星)	 这是这个冬天最温暖的相遇，谢谢你们。            
(4星)	 最近看的唯一能笑的电视剧。            
(3星)	 又是陪妈看！还是千篇一律的俗气桥段。。。            
(NA)	 嗯，向前冲。            
(4星)	 蛮喜欢的            
(4星)	 很不错 也很喜欢 其实 主要是 喜欢霍建华 第一次看到 他演戏感觉他很用心 其他演员也不错 马路和上官燕 是亮点            
(3星)	 在成都拍摄的偶像剧            
(5星)	 如果我有一半一一的那种拼劲就好了。            
(4星)	 小说没看过，不过就电视剧来说，也算不错了，让更多的观众了解了电台幕后的事情。            
(5星)	 为什么一个陌生人会由一个电视剧中的人想到我？真的有点像。唉。。什么都不想去想。。。            
(4星)	 还不错            
(2星)	 平淡才是生活。            
(5星)	 要像一一一样坚强。            
(4星)	 没有小说精彩，但有可看性。童蕾的表演中规中矩，偶有惊喜。郑凯演的真是好可爱，赞一个。            
(3星)	 嗯，继相亲节目后，电视剧也开始流行给大龄单身女青年画饼了。            
(4星)	 看完觉得还只挺值的。霍霍帅，郑恺还是挺可爱            
(4星)	 还是很喜欢霍建华。            
(NA)	 也许是出于对媒体工作的经历，喜欢这本再平常不过的剧。            
(4星)	 我会说推荐完全是为了霍建华嘛！！！秀射啊~~~~~            
(4星)	 我还是外貌协会的啊……可是导演你敢找个更难看点的人演女二吗？那可是男一念念不忘的前女友，前女友啊！又，导演你真的为男一只准备了一条牛仔裤吗？            
(NA)	 霍建华还是蛮帅的。            
(4星)	 电台情结            
(2星)	 要不是有霍建华，冲着女主的长相我根本不会去看……            
(4星)	 喜欢里面的配角，都很立体！我喜欢西蒙^_^            
(4星)	None
(4星)	None
(4星)	 霍哥的脸还是很好看的。是个男的都有车这事情太不现实了，不过反正都不现实- -            
(3星)	 中国版金三顺            
(3星)	 烂电视剧越来越多了。女主角的形象好扛不住啊，没看完，不知道后面会不会改善，看不下去。            
(5星)	 虽然豆瓣评分好像不高，但是我觉得绝对是一部好剧！童蕾饰演的周一一外形实在是太大妈了，刚开始看很烦她，但是越到后面真的越让人喜欢，非常真实！被她的善良坦诚和坚韧所感染。其他角色也都很不错，故事叙述也挺好。希望2012能像周一一那样，用行动成就自己！            
(3星)	 看过小说，但是这个剧实在拍得不好，制作太粗糙，演员造型太丑，台词配音什么的，更是让人无语            
(5星)	 比韩国偶像剧有内容多了。成熟的男人真有魅力。            
(4星)	 第四个星星给霍建华&gt; &lt;            
(3星)	 觉得童蕾不适合这类角色呢。            
(5星)	 在CCTV看到后很喜欢这个老女人演的一一，霍建华在里面也很有范，后来自己在电脑上补全的，赞一个。还推荐给了玲希。            
(3星)	 霍建华也是一面瘫            
(3星)	 为了霍建华，再加一星~            
(4星)	 除了女主的发型和服装以外都不错。。但为了霍叔多给一星。。            
(NA)	 立志，还是不现实？            
(4星)	 一下午看完了，很接地气的电视剧，主演们演技平平，相貌平平。。。            
(3星)	 女猪脚这种女人实在是稀有品种            
(2星)	 喜欢童蕾，可是一一实在是不讨喜啊，这部片，真烂！            
(4星)	 用力的爱，用力的追逐梦想。            
(4星)	 对于有些人，刘海真的能救命啊！！那个刘真啊！！！麻烦刘海啊！！！！！！！！！！！            
(4星)	 想遇到现实中的曹砚            
(3星)	 很奇怪的组合            
(4星)	  不错哎竟然，不nc啊竟然，还蛮好笑的竟然            
(4星)	None
(4星)	 用左三日时间睇晒哩出戏，总体来讲套戏还是不错的，前面马路同一一系999的时候几搞笑，中间曹砚跟刘真个段吾系几中意（PS：其实是不想看到刘真那华丽丽的额头，哈哈），第28集感觉好似系度赶结局甘，男女主角的互动少左D，少了D追女主噶过程，一下子就结局了，有D遗憾；不过通过哩部劲中意左童蕾。            
(5星)	 为了霍才看的，一看才知道差点错过这么好看的剧。虽然节奏有点拖，但是整体来说是很不错的。有点过于纯洁了。。KISS都木有啊！！好吧我是个看美剧的重口妹子。。。（霍的吻戏真是很火辣啊，这部没有太可惜了= =）            
(NA)	 可爱的一一，其实希望她和郑恺在一起啦            
(4星)	 建华哥~~我还是那么爱你~~~纯粹给建华哥的颜            
(3星)	 港台内地合作、成都、爱情，三个因素（幻想心理和对帅哥美女的花痴忽略不计）让我看了这部电视剧。很失望霍建华的表演，时显卑微、总是缺爱；有些细节牵强，但至少没了类似剧集的娇柔造作，笑笑也就过了；貌似很多成都电视台的人员客串，哎，有点吃人嘴短拿人手软的意味；另外，成都的晴天真的很少。            
(5星)	 我特喜欢男女主角。电视剧翻拍的一般吧。小说挺好的！            
(3星)	 这个剧组是很穷么，可怜的童蕾就那么几件衣服换。。。            
(4星)	 挺美好的~霍建华还是很帅的 好像每个人都很正常 就是日常中可能会碰到的那种 没有恶毒的女二或者其他什么的            
(4星)	 不像一般的偶像剧，这片涉及到感情、人生的挫折种种，激发着人们去向前冲，无聊时可以再看。喜欢霍建华和童蕾的搭档，突然觉得童蕾有点像李多海。            
(4星)	 很喜歡這部片子，輕鬆幽默。特別喜歡主題歌&#39;&#39;Hello&#39;&#39;,可惜沒能下載            
(4星)	 此片最大的败笔就是女主的服装，可以更老更土一点。。。但是剧本很不错，西蒙实在出彩，我都差点忘记初衷是霍霍了~~~            
(3星)	 我是真鸡巴贱啊——上这种电视剧里找笑点来了……            
(4星)	 罗阳让娃娃去英国留学的时候，娃娃手一挥，把录取通知书给撕了，扔进山谷里，说，我不去了，要和你在一起。有时候多希望，人不要太理智，迷糊一点，不要顾忌太多。可往往很少人能做到。            
(4星)	 近几年来第一次看完整部的电视剧。人物丰满，台词用心有趣。童蕾演的很有喜感。            
(5星)	 励志呀！童蕾很好看，像苏菲马索：）自信乐观勤奋的女孩最美最幸福: D            
(3星)	 台词很经典，女演员不够养眼，越看越没意思了~            
(NA)	 喜欢得不能自拔。不眠不寐地看完。            
(2星)	 不好看            
(4星)	 比较真实的电台生活，感慨!            
(3星)	 居然不错            
(NA)	 女主角虽然相貌平庸，但精神可嘉啊            
(4星)	 蛮舒服又感人的一部片子~            
(NA)	 周一一我喜欢，霍建华看着真令人着急。。不过帅惨了。。            
(4星)	 女猪脚，挺逗~！            
(2星)	 似乎演着演着改了套路            
(3星)	 亲,路虎何处?            
(1星)	 半个小时看完28集 无言了 这是偶像剧吧 女猪脚就是个老丑女 恶心到了             
(3星)	 这苦日子也太多了吧！！            
(4星)	 看完以后让我小小励志了一把~            
(4星)	 剧情台词还行，演技烂了些。。我国庆这两天的消遣啊            
(3星)	 霍建华演的曹砚是那么回事儿，不过整体上没有小说好……            
(2星)	 S女出没，注意            
(3星)	 霍建华 你肿么了~~            
(3星)	None
(5星)	 很喜欢这种FEEL            
(4星)	 我就知道霍霍的品味，这片子肯定烂不了            
(NA)	 挺不错的电视剧，很温馨            
(3星)	 现在不是为了事业放弃爱情，而一一两次为了爱情放弃事业，且对朋友的宽宏大量都很稀罕了！            
(2星)	 要不是为了白豆腐，才不看这种弱智片呢。女猪脚整个就是一个二货，最后几集，看到她的戏就快进，烦的要死。长那么丑，还那么作，鳖兴            
(1星)	 真想一脚把那个周一一踹到太平洋去，太TM讨厌勒。特别最后退赛那一点，去SHI好么，滚滚滚            
(4星)	 一点女人味儿都没有，不喜欢周一一            
(3星)	 我的狗也叫迪杜。            
(3星)	 就女主那声音状态要真是混电台会死的啊。。。。。不是一般难听做作啊~！！！！！！！            
(3星)	 丑得不够彻底，美得又不够惊艳            
(5星)	 对 就那么简单！！！            
(5星)	 太精彩了，不是简单的情情爱爱，既有朋友的真心实意，也有职场的勾心斗角，好像在写我们自己的故事，周一一就在你我身边，亲切、可人、善良、立志，好希望有她这样的朋友，也希望成为那样的她。            
(3星)	 剧情说实在还不错 但是女主丑跟老也就算了 穿衣品味完全就是恶啊 那一身的乞丐装 真的看了快崩溃了            
(4星)	 最近可以下高清，所以又拖了下来。之前在朝廷台看了            
(3星)	 其实还好，童蕾显得好老|||            
(5星)	 大家别吹毛求疵，不用和金三顺比，因为各有各美好的道理。这是部很好看的片子，至少我是笑中有泪追着看完的。            
(3星)	 跳几集看过，很喜欢电台的情节，结尾生硬了些            
(2星)	 狗血啊            
(4星)	 虽然不喜欢童蕾吧，虽然是小成本电视剧吧，但真的是制作精良啊，从编剧导演到演员都用心了。            
(3星)	 朋友说我像女主角，然后意外地看完了。            
(5星)	 太好看了，中毒了，曹砚太帅了。欣赏中间的一句话“女人没有自己，也就没有真爱。”            
(NA)	 一个人首先要找到自我，才会获得真爱。            
(NA)	 成都的春熙路，一眼就认出来了女主角邋遢了点~整剧台词挺好玩            
(5星)	 我爱童蕾，我爱周一一，我爱王芸            
(5星)	        很真实的电视剧，从中学到了很多东西，哭过，笑过，感动过，就是一一的衣服真是不符合电台的主播形象啊！            
(4星)	 根据网络小说改编的电视剧都还不赖             
(5星)	 zhuzhu,go~~            
(2星)	 网上看过的第一部国产电视剧...整个就...算了我就不要讲了...太凄惨了...            
(4星)	 有自己独特魅力的人总是会得到幸福            
(3星)	 周一一，你的衣服能不像抹布吗？            
(4星)	 还不错，经常看。            
(4星)	 上学期熬夜看的，感觉不错。我喜欢周一一这样的森林女孩。            
(4星)	 还以为豆瓣电影只有电影，试了一下原来真的有电视剧。一一向前冲            
(4星)	 因为一些特殊的原因才看得这个电视剧，还算挺喜欢的，就是觉得服装造型师还有待提高，无论是霍建华还是童蕾，这造型都有点挫。。。            
(3星)	 为了白豆腐去看的~女主实在是……不想说什么了            
(NA)	 很喜欢、很励志            
(2星)	 冲着霍建华看的。但是。唉。有句台词可以诠释这部电视剧，你确定你是叫一一吗？真二。            
(5星)	 推荐剩女们看，很好的励志剧。            
(2星)	 无聊的要死            
(3星)	 霍建华梦中情人啊            
(5星)	 可以看到自己的一点影子，想成为的人，曾走过的一段路，要走的路。。。别为这世界改变自己好的东西，给这样的自己寻找一个合适的位置。如果可以尝试一下做这样的人哈：。。。            
(3星)	 小说更好看~很无语，但确实是！女猪作的太假了~男猪又没有原著的性格线条感~可能是偶像剧拍多了显得有点软有点弱！不过“一一向前冲”很好听~是俺的手机铃声~            
(5星)	 喜欢霍建华。喜欢里面的马路和上官燕这对，喜欢西蒙，喜欢罗阳和娃娃。喜欢霍的配音，极具磁性。杨佩佩在这里也给了我不一样的感觉。至于女主角，好歹在剧中是干过电视的，不至于衣着会如此没品位，可以朴素，不需穿成大妈。            
(5星)	 一一你真行！            
(NA)	 肥皂剧            
(3星)	 冲着霍建华去的，女主怎么看怎么革命腔。。。 后来看了原著，觉得翻拍糟蹋了。。。            
(NA)	 一直期待女主在中间某一集靓丽变身，结果木有从头到尾的打扮都很平凡。霍建华依然很帅很帅的说            
(3星)	 其实里面有些情节挺写实的，哎~各自对照啊~~~常在河边走，哪有不湿鞋~~~淡定~~~            
(3星)	 是冲着霍建华去的 他还是古装好看            
(3星)	 表示我爸我妈很喜欢~            
(5星)	 因为有霍美人，因为当周一一第一次亲了霍美人的时候他们没有俗套的看对眼，我就脚着这个不错。但素，霍美人，咱能把小胡子都剃干净吗，留那一点看着挺难受。-。-            
(NA)	 前面还不错。坚持就会美好！            
(4星)	 除了一一的衣服受不了，其它的都还蛮好的~            
(3星)	 因为无聊看的，不算太失望~            
(NA)	 暑假回家看的            
(3星)	 挺有意思            
(4星)	 直面自己的人生,女人只有找到自我才会找到幸福.周一一,上官燕,庄静,三个不同女人的故事,她们对于爱情的选择,值得借鉴.所有等待幸福的人向一一一样向前冲吧            
(5星)	 霍建华同学的演技果然越来越好了。            
(2星)	 一星为华哥，一星为成都            
(NA)	 不错的！原来童姐姐不是只会演红色作品哦！霍建华也让我看到另一面……赞一个！            
(4星)	 是我妈拉我看起来的。。            
(NA)	 一一的精神值得让人学习呀            
(5星)	 鼓舞人心            
(4星)	 其实还真有点像金三顺             
(5星)	 霍建华好帅            
(4星)	 绝对励志的，爱情算什么 ，工作才是王道            
(2星)	 很早以前就看过这本书了，这个电视剧是在是不怎么样            
(4星)	 看的有点累            
(1星)	 很不喜欢这个剧，最重要的原因就是女主角不够吸引人。在她的身上没有能抓住我视线的吸引力。角色从头到尾都很自卑，没有成长，平淡如开水。            
(1星)	 我靠！实在看不下去！            
(NA)	 因为书看了一下剧，有点失望，可能是距离产生美吧。周一一过于漂亮不够丰满，而曹砚不够潇洒。倒是配角罗阳娃娃不错把那种青涩的感情表现的很到位。            
(5星)	 我姥姥特喜欢一一，哈哈哈哈哈哈哈            
(4星)	 喜欢一一没心没肺的样子，虽然觉得霍建华不好看，不过片子里面他的声音真的很棒，不知道是不是配音呢。            
(5星)	 各种，不少道理            
(5星)	 嗯····挺好的一部大陆剧，能拍成这样不错了 我当时可看了一宿的~            
(4星)	 “一一啊”  心就酥了            
(4星)	 有时候傻傻的喜欢傻傻的执著是很美好的！人生需要这样心甘情愿的傻劲。当然并非一概而论，只是人各有志吧~            
(NA)	 挺好玩。挺俗            
(5星)	 因为霍建华想去看看的。没想到发现了一部不错的片子。虽然开始看有些灰姑娘和王子那样的老套，而且有很多知道的注定的剧情，可是设在S女这样一个背景下的故事发展过程看着却有一种源于生活的共鸣，又让人有一份高于生活那样美好的期待。不同的人看可以得到不同的启示，爱情、友情、事业、自我。推荐。            
(3星)	 最近果然是比较无聊啊。。。。。。            
(3星)	 星星都给霍建华            
(NA)	 一开始还蛮搞笑的，看看吧~~            
(3星)	 冲着郑恺看的，说实话，有点雷同            
(3星)	 我居然被我妈带着看完了！            
(5星)	 首先华哥的演技很棒！其次剧情很鼓舞人，看着很轻松，蛮舒服的            
(NA)	 一一，加油            
(NA)	 刚开始看的时候，不觉得很好看，但看到12集越发对“一一”这个人物感兴趣，看了电视剧之余，我还买了套小说《S女出没，请注意》，越看越觉得人物很真实，很生活化，真的挺不错的！            
(5星)	 为了霍建华最后一集浪漫到位的表演，升一星~            
(3星)	 女主角还是一样的善良好欺负。无聊，            
(3星)	 剧情本身不咋的，冲着是在成都拍的所以就看了，熟悉的街道，好吃的川菜，看着挺亲切的。            
(NA)	 感触很大，很多台词让我很受刺激            
(2星)	 内陆与台湾的合作 使故事剧情等不再千篇一律、俗不可耐，但实质没变。不具备可看性。            
(4星)	 学到了很多~            
(3星)	 说实话，看这个就是冲着霍建华看的。            
(3星)	 剩女的故事，还有，说实话，童蕾有点老了，特别是她的好朋友结婚时唱歌的那一场景，你找呢的觉得，好老            
(3星)	 三颗星全给俺家霍霍= =            
(2星)	 本来是个挺好的小说。改编成这样一看就知道没咋下功夫。女主角那身行头，从第一集到最后一集。。。国产偶像剧还能走多久？！毁了童蕾那张好看的脸蛋。从头到尾居然都没让人家惊艳下。霍建华和童蕾之间的感情戏根本不够，看得莫名其妙的蛋疼~！俩人不知道怎么就在一起了。。。唉。摧残演员的国产电视剧            
(3星)	 我有点像周一一~            
(5星)	 人确实应该有向上奋斗的冲劲            
(NA)	 201011            
(NA)	 好看！            
(4星)	 前半段非常好，20集以后剧情崩溃            
(2星)	  尽管我喜欢剩女励志的故事,可是造型太差, 故事没有亮点            
(5星)	 很烂俗的故事架构，很感人的小情节，很励志的话语。            
(4星)	 不看电视剧。尤其不看大陆剧。看在亲娘说我像周一一的份上看了，当然她本意是批评我穿衣服邋遢。            
(5星)	 虽然是国产电视剧，但现在有想让我看下去的电视剧真是不多了···剧情很俗套，但却是那么贴近生活，也许没那么多白马王子等着你，但是灰姑娘的成长故事却是让自己变成了公主。3个人的友情，是经历了考验才会珍惜自己身边的人，好朋友会在你落难的时候关心你，即使吵架了，可还是会不由自主的帮你            
(NA)	 挺励志的~~            
(4星)	 里面的绿色翻盖手机不错··            
(3星)	 还好吧，霍建华的声音在这里面真的挺好听的。            
(4星)	 除了这个剧名，我贼喜欢这剧，我就是那马路，你就是那上官燕嘛，哈哈哈哈……            
(5星)	 绝对还看            
(4星)	 挺励志的，虽然整体服装造型都很扯淡，但不影响整部戏的效果。霍建华在里面感觉很真实，一点也不偶像。不错。            
(4星)	 还不错，不恶俗            
(3星)	 帅帅的男主 开朗的女主 不华丽却很励志的剧情 看完心情不错            
(3星)	 oh我居然看完了一部电视剧            
(3星)	 开始看还行，越到后面越没劲，看了几集后还发现居然在成都拍的来着            
(NA)	 配角比主角出彩，女主角其实可以笑得再自然一点…            
(3星)	 破肥皂剧，我竟然也很有兴趣的看完了            
(5星)	 每天看六集，真不错啊……虽然不是每个周一一都能遇到曹砚，但是积极乐观，睿智善良的人总会过得不错            
(3星)	 只为霍建华。。            
(4星)	 有点假，但还是觉得好看。哗啦推荐的，我们还真是口味很一致~~很喜欢片头曲，喜欢周一一的生活态度，有马路这样的朋友也很有意思，霍建华还是很帅，看这个电视剧以前有天做梦还梦到他。。。哗啦说，看到上官结婚那里特别感动。等我结婚的时候，去给我当伴娘～哗啦，爱你～            
(5星)	 很好看！电台主播周一一活生生地站在我们面前，她活得真实，活得正直而又带点傻气。她就像我们这些平凡的女子一样，在尘世的爱恨轮回中颠沛流离，浅唱低吟。关于爱情、亲情、友情，有太多共鸣在里面，让我有很多次泪流满面，又有很多次情不自禁地嘴角上扬。祝福一一，祝福自己！            
(5星)	 真挺喜欢这剧的 看着乐呵...特别得意周一一的性格...            
(4星)	 很欣赏一一的个性。。。            
(3星)	 在8套看的时候以为是很早以前拍的，剧情还不错，不过霍建华请问怎么看上去这么年轻？？！||很喜欢西蒙啊~            
(NA)	 非常希望国产“呕象剧”能再有点追求，除了恶恋灰姑娘这样烂的情节，再加上一一这样的熟女假天真，真是无语，情节简单的没有智商            
(4星)	 乐观向上的人啊，有爱情、友情和亲情！            
(NA)	 狗血不解释...但是我太喜欢这种不懂脑子从头猜结尾的剧了！            
(2星)	 这俩人... 就是怎么瞅都不搭 这剧情...有够狗血 为了让他们在一起就在一起            
(3星)	 制作不给力啊。。。            
(4星)	 陪妈妈看的，没事儿的时候消遣一下看看呗~            
(NA)	 童蕾是治愈系            
(5星)	 我就是喜欢，喜欢周一一的那股劲，那种生活态度……            
(3星)	 我喜欢马路            
(3星)	 霍建华的配音很好听。童蕾演的也挺好。            
(4星)	 高潮时享受工作，低潮时享受生活            
(3星)	 一直看着周一一很眼熟，百度之后才发现原来是亮剑中的田雨，都忘记了原来这个姑娘原来是和李云龙谈感情的~            
(5星)	 好好看喲            
(4星)	 看着挺轻松的，也励志            
(3星)	 消遣看看还行。剧情太落入俗套。            
(5星)	 虽然演技没到家            
(4星)	 加油            
(3星)	 怎么后面越看越没劲啊~            
(3星)	 喜剧吧！还是更喜欢轻松搞笑的喜剧，不那么费神，舒缓舒缓神经。            
(NA)	 一一给我了许多动力，很喜欢她们的电台爱情，现在开车的时候都开始听电台了呢O(∩_∩)O            
(3星)	 山寨版            
(4星)	 时而自高自大，时而自轻自贱。一一哪是剩下了，是不小心被落下的吧~            
(5星)	 好久没有这样一口气看完一部电视剧了            
(3星)	 看了幾集，爛尾了，我還是對內地的偶像劇無感~~            
(4星)	 S女们，加油！            
(3星)	 韩剧《我的名字叫金三顺》和《爱上女主播》的混合模仿版            
(4星)	 看到了多么熟悉的影子、、            
(4星)	 好姑娘会有好归宿~            
(NA)	 很给力啊！！就是一一的着装让我很汗颜！！！！            
(4星)	 ouu~~~tl姐姐真好看            
(NA)	 我现在就适合这种没营养的肥皂剧。越简单越好。一，够简单了，二个一，就是二。            
(4星)	 难怪觉得人名听着耳熟，原来之前有看过小说。电视也还不错，对2个配角，上官燕和马路，比较喜欢，很真实的感觉。            
(NA)	 这样的电视剧居然跳着看完了。。其实还算上进的。。马路和上官燕，哎。。。            
(5星)	 最近看的唯一完整的片子，挺感人的            
(5星)	 挺不错的！            
(2星)	 看了爱上男主播才来看这个的，惊奇的发现居然是霍，霍，霍建华演的男主角，可是吧，我觉得还是爱上男主播好看，男主角痞的很有味道，女主虽然不漂亮可是很自然，其他配角除了刘真都还不错，可是这一一向前冲，霍建华是帅，可还是演古装更帅，童蕾更适合演30几岁的怨妇，配角马路还行，其他的又挫又老            
