http://movie.douban.com/subject/2995158/	少年四大名捕
(4星)	 tvb算是實現了溫瑞安的美好願望，沒有讓無情披著床單四處亂跑。電視劇塑造的人物比原著可人，劇情也很緊湊，可惜大量的信息逼在最後三集裏面交待，太過倉促了。另外，有些臺詞極端雷人，譬如宋徽宗說出了“停止採石兩周”，真是過分爆笑。我想嚴肅點看這片子都不可以。            
(3星)	 纯粹冲着它腐去看的，结果忍受无聊剧情及浮夸演技之余，发觉其实追命筒子着实无赖的很可爱            
(3星)	 平庸的剧情。            
(NA)	 没有结局或许就是最好的结局            
(3星)	 开始无情思路缜密,后来爱的痛了,痛的哭了.编剧,你可以去死了.            
(NA)	 吴卓羲……我没救了（¯﹃¯）……这个剧应该一堆人一起看 吐槽点太多啦~\(≧▽≦)/~            
(4星)	 一如既往的tvb风            
(3星)	 我爱马国明~~~结局太变态了……            
(4星)	 演员太给力了！！剧情也很不错！非常好啊！豆瓣的得分又是奇低无比。。好奇怪啊。。都哪儿不满意呢？            
(4星)	 TVB，放松良剂            
(3星)	 看的就是帅哥啊 在狗血剧情啊 都无所谓了好吗            
(1星)	 尼玛后面真不是一般的水。。。。            
(5星)	 迅速看完~~白话听力神速提高啊啊啊！            
(4星)	 最起码这一部比冲着老哇看的《四大名捕会京师》好太多了。。。。TVB新生代喜欢的男演员都在里面当主角，随着苗苗出走，此阵容不复再，sigh            
(5星)	 演员阵容强大,剧情紧凑,是一部好剧!但最后难免狗血了一把:没想到桑芷妍竟然食言没死,无情也没有和她在一起;若飞的眼睛说好就好了,铁手说了那么多次照顾一生一世,才刚打算结婚,要办婚礼了,突然若飞要当回帮主了;铁手也没能和游冬在一起;冷血最后也没开口留住小刀.冷血的身世之谜也没交代.            
(NA)	 看到徐子珊跟看到钟嘉欣一样  都快进。。。            
(3星)	 就是折腾            
(3星)	 小五虎就差Bosco~帅哥是有了，但是怎么个个都很做作啊？陈键锋是亮点，没有那么受了……            
(3星)	 牙痛随便看看，没有一个镁铝养眼，林峰是不是扑粉了怎么变白了好像→_→            
(3星)	 本来想给四星的。可是结局太过仓促了 人物关系交代也不够清楚。有点虎头蛇尾的感觉。徐子珊真是很适合演这种讨人厌的角色啊。TVB四小虎还是很帅的。最近很喜欢田蕊妮呀。吴卓羲台词有点少的可怜 戏份也明显少于其他三人林峰从头到尾的轮椅形象有点累人马国明演的不错。不过我还是最喜欢我们家苗苗            
(NA)	 一身江湖气的女人真2B啊~            
(3星)	 也算帅哥云集            
(NA)	 = =光看人了            
(3星)	 马铁手林无情尚可，剧情渣。            
(3星)	 四大帅哥撑着这部戏。            
(2星)	 剧情很弱　完全为了看三苗和阿ron            
(3星)	 女主太丑，没办法爱啊。            
(4星)	 四颗星全部给苗小追，可爱到翻滚，船上读信又秒煞人=V= 然后我All追了，无节操绿箭4P也可以XDDD            
(3星)	 女人都死光了死光了死光了啊找李诗韵            
(2星)	 太垃圾啦！！！            
(3星)	 好久没看tvb了～            
(3星)	 没悬念!            
(1星)	 不好看!            
(NA)	 TVB退步了......            
(4星)	 结局老莫名的。。。四个人去送死咯            
(4星)	 看了我4天,还算不错了!            
(3星)	 冲着帅哥去看的。            
(2星)	 虽然我不大喜欢&#34;雷&#34;这个字,但也只有这个字能形容这部片子了...            
(3星)	 TVB所谓的四大帅锅云集。            
(1星)	 帅哥有多帅，电视剧就有多难看。            
(2星)	 天啊...怎么这么难看            
(3星)	 就是看帅哥来的            
(2星)	 各个的造型都很雷人~！            
(5星)	 恩，你的伴像相当英俊。            
(3星)	 前面看着還好,后面沒怎么仔細看了.            
(2星)	 囧。            
(3星)	 只是那样。            
(3星)	 唉，现在的武侠。。            
(3星)	 还是只有林峰和吴卓羲看着顺眼点。那两个现代感太强啊,怎么跑来拍古装啊.女主角就更不用说了...哎...TVB越来越让人失望了啊.            
(4星)	 我承认我基本上就是在看林峰，反正剧情节奏都还可以，演员也都不讨厌。同时间段也没什么其他选择，就是它喽~芷妍其实真的没有这么糟糕啦，到是另外几个女的实在没法夸。tvb还是原来那班女艺员比较靓，现在完全改靓仔当家了。            
(4星)	 精装四大才子武侠版            
(3星)	 ..每次放那主题曲真挺有感觉的,和那个pose很有气概!            
(3星)	 喜欢铁手！越来越讨厌徐子珊鸟！！            
(1星)	 峯少 ~ 这角色太有型袄 ~     剧情很无味。为咗少爷忍袄11集。            
(3星)	 最後，出家的出家，遠走的遠走，學藝的學藝，做幫主的做幫主，神捕司還是光棍門。男男吧...            
(2星)	 天雷轰轰             
(3星)	 姑且看一下。。            
(NA)	 有史以来最差的            
(2星)	 结局太胡闹了            
(3星)	 纯粹为了吖峰看的～            
(4星)	 关键是JQ。            
(3星)	 为什么叫少年XXX的都是不同人不同背景的少年金田一.            
(NA)	 虎头蛇尾不是很期待续集            
(2星)	 陳成了猴子            
(1星)	 算是垃圾吧，除了四个男主没什么可说的。            
(3星)	 结局好烦，            
(3星)	 林峰好灵啊!!最近的港姐都是演坏人么...            
(3星)	 10.1 开始~林峰一出场,我就被他帅倒了~~~ | 版本确实太乱了,国语和粤语的不一样,即使是粤语也有数个版本,晕啊~ | 不咋地~也就看看帅哥吧~结局可真是糟糕~~ 10.24 看完~            
(3星)	 佷无语的结局。            
(1星)	 很久么看过那么差的片子了，为了看阿ron，我忍了，但是看完真得么办发说什么了，特港了！！            
(3星)	 就是看看而已~帅哥还是蛮养眼的。            
(4星)	 还行。。当年追过~            
(3星)	 好看，这四个人主角都爱啊都爱            
(4星)	 20120111 女主都很烂，四个帅哥倒是很养眼。当年姐姐给我讲这个故事的时候，当真是小小姑娘一枚。            
(4星)	 四个帅哥好养眼哦            
(NA)	 弱智的剧本 不过养眼啊 感情真挚啊 结局伤感啊            
(3星)	 为了林峰看的。            
(3星)	 话说四大小生，我现在觉得还是陈键锋顺眼~~ 林峰你声音无敌了昂，扩是你为熟么要把自己整惨为熟么！！！！            
(2星)	 实话说 这四小生我真不待见。真的。 不过我怎么越看徐子珊越顺眼呢O o……            
(3星)	None
(3星)	 我对它期望还蛮高 以为会好看的 诶诶。我还是依旧不喜欢徐子珊            
(3星)	 前边还行，越看越没劲            
(NA)	 【2008-06-27】            
(3星)	 所有人都不可以在一起。            
(3星)	 剧情太烂，只能看看四个男人了            
(4星)	 四帅我都爱啊！            
(2星)	 案子不说了，宋徽宗时期就有文天祥了？            
(3星)	 如果说这部剧完全是为了TVB的这群年轻演员准备的，我完全相信。四大神捕的故事总是需要一些美色的男性作为支撑，而且四大神捕在香港侦破剧序列里不应该有什么重要地位，毕竟古代缺少现代化的破案手段，从而使破案的环节变得乏味可陈，充满了无证据的推理感。            
(NA)	 嘿嘿，我是无情和林峰的脑残粉。            
(3星)	 这么个结局，看起来中年四大名捕没希望了咯？？哈哈哈哈哈哈哈哈哈。。。。只要看过学警2里的徐子珊，就再也不会觉得她造型丑了。。。PS，要在TVB电视里找深度找合理找。。。。。。要求是不是太高了。。现在想找朵漂亮的小花都难了。。。            
(3星)	 总算看完了，打发时间用的            
(NA)	 刀疤脸还蛮好看的，断腿兄真心脑袋疼···            
(4星)	 林峰整容后变丑了。            
(4星)	 大囧片！！！！囧啊囧啊囧啊囧啊！！！！但是我居然给看完了- -+            
(3星)	 TVB都是烂尾剧！            
(NA)	 尼玛这么多帅哥可能不要给我看这么丑的布景！！！！！            
(1星)	 你们四个加起来都一百多岁了也好意思自称骚年？我居然真的把这个脑残剧看完了？？？我爱雪姨和徐子珊。编剧是初中生来的吧？你见过去查案凶手就自己跑出来自首的？林峰是给了TVB多少钱？场景也不说换一下？？？其实铁手追杀无情夫妻一辈子也可以写成个段子~陈键锋胖成这样都能完胜？？？            
(3星)	 。。。。结局。。。不是很好嘛            
(4星)	 陈键锋穿便衣的扮相是最好看的。林峰真是翩翩佳公子的样子。吴卓羲啊，还可以再胖一点么！！            
(4星)	 除了看到徐子珊就快进以及无情能游泳武器粗糙等小雷点，对整部戏好感十足。最喜欢追命，陈键锋这个小可爱，让我忍不住把美人心计里他的部分翻出来再看了一遍。忠厚正直的铁手很适合嫁。无情嘛，满足少女的幻想，只能说这个人物美的不真实，年纪大了对这样的人设不似当年的心悸。最无感的是冷血，对演员            
(3星)	 本以为是福利剧，但情节还是让我无言以对。和四个小生配对的几名女性都好弱。徐子珊不适合贤良淑德的女性，她还是适合杀手啊之类腹黑冷血的角色。该剧开始讨厌起林峰来了。PS：林峰和徐子珊完全没有火花。            
(2星)	 质素好差……虽然是冲着陈键锋去的，但林无情还是很迷人            
(4星)	 最后是四个都战死了么...真是急转BE啊...            
(NA)	 雷剧，温瑞安粉丝慎入，看点依然只有兄弟4P的基情……继续呼吁说英雄系列拍出来，红袖梦枕第一刀和想飞之心永不死才是吾等挚爱啊            
(2星)	 哈哈哈哈，从头笑到尾，是我们长大了，还是tvb的编剧实在不行了            
(2星)	 拖沓            
(4星)	 无情 女人不可靠 铁手才是真的爱你！            
(4星)	 无情公子~~~姐好这口~~            
(3星)	 无情公子啊……抢眼，等着看林峰的白蛇传说            
(3星)	 编剧结尾肿末了编剧！！= =            
(NA)	 矮油            
(3星)	 能坚持看完的人都挺不容易的，耐心的境界又提高一层。居然安排那样的结局，编剧也够损的。            
(3星)	 这个是毕业之前在宿舍里和大家一起看的，不过没觉得肿马样            
(3星)	 只能说吴卓羲被炮灰了...            
(3星)	 林峰真的只能叫小生。            
(4星)	 还蛮好看的，不晓得为啥评分那么低            
(5星)	 四人很帅            
(3星)	 快进看完            
(4星)	 纯粹是为了捧林峰吧            
(1星)	 唉。。无情公子就这样被糟贱了。。            
(3星)	 当初我也不知这部我是怎么熬过来的喷……该猜到的都猜到了，事后也不觉得这里头的林峯有多好看，其他的也整理不出一个头绪来。算了，浪费时间就浪费时间，没啥好说的。            
(4星)	 给四个帅哥~~            
(NA)	 这一对对配的来真是。。哎哟喂。            
(1星)	 TVB你饶了我            
(3星)	 武侠剧而且是小说改编的武侠剧20几集真是说不清神马事啊            
(4星)	 搞个皆大欢喜的结局会死啊。。。最后一对也没配成谁高兴啊~            
(5星)	 这个四个男人我都喜欢~~~ 整容后的林峰比以前好看了！！！            
(3星)	 一次看四个帅哥性价比还行。            
(3星)	 弃了弃了。。。实在看不下去            
(NA)	 无线四帅都在里面诶，再烂姐姐也要看。恩，再加个黄宗泽就齐全了。TVB现在是有多缺花旦。。。            
(3星)	 北宋F4~~~~~ 苗苗还有点婴儿肥，少爷确实有气场，马明发挥稳定，ron直接忽视！            
(NA)	 我曾经因为一度对TVB的弱智一看类似片子就掉头逃跑，这片子好歹我看完了……            
(3星)	 这卡司太有乐趣了，一看见马国明的脸我就笑喷了            
(NA)	 吴卓羲 林峰 马国明 陈键锋，嗯，帅哥多点还是救得场的。            
(3星)	 TVB怎么这么悲剧啊= =            
(1星)	 我忍住了无数次想快进的手全部看完了。帅哥很帅，剧情烂到令人发指。徐子珊真的很漂亮，但是真的不会演戏。            
(4星)	 我就是去看帅哥的==            
(3星)	 华丽丽的假~大爱追命~            
(4星)	 看帅哥 学粤语            
(4星)	 剧情贼弱，看人吧，还不错，咳咳            
(3星)	 ……瞎狗眼！瞎狗眼啊！！！            
(5星)	 帅就够了！！！！！！！！！！！            
(3星)	 剧本我不想说什么了 怎一个薄弱了得 谁让我迷上了林峰 那段时间狂补他的剧            
(3星)	 四人同吹叶子的一场戏令人想起《枪火》中的踢纸球，是剧中亮点。那些女主角实在是不敢恭维，也太差了。            
(NA)	 結局太慘了！看不下去了！            
(NA)	 最后这四只飞起来的镜头要雷死个人            
(3星)	 我是无聊到把它也看了            
(4星)	 只是因为爱林峰……            
(5星)	 居然对马国明和吴卓羲犯花痴了。。。晚节不保            
(3星)	 纯粹无聊觉得四小长得还凑合但主要是为了看看苗苗……剧本比较糟糕，苗苗居然成了搞笑人士，唯一能看的是林长脸……唉……TVB后继无人……            
(NA)	 就为了4个人去看            
(NA)	 为了林峰而已~            
(2星)	 编剧真恶心            
(4星)	 不說了不說了，女人是炮灰，只有他們是永遠在一起的哇哈哈哈            
(3星)	 平淡            
(NA)	 纯看帅哥，女主配的不咋滴=。=            
(5星)	 阿拉 为毛我最萌的是 陈键锋~~~~            
(4星)	 新五虎占四个，只差Bosco，片子阵容够豪华，不过越走越不像话~浪费了好演员，不管怎么说林峰演的无情还是我最喜欢的无情，虽说陈键锋的追命也不错，不过我最爱的追命还是钟汉良版的。            
(4星)	 我是为了林峰看的，里边徐子珊好讨厌！！！            
(4星)	 帅哥聚集呀,就是不喜欢李子珊,李诗韵很有彩            
(3星)	 女主角太丑了。            
(3星)	 捕头们造型很帅，无情是史上最美的，铁手深合吾心，追命是各版中仅次于钟汉良的，冷血……接受不了。剧情无可期待，想看帅哥的只管进，想看剧情的躲远点避雷。            
(4星)	 林峰！            
(4星)	 女主都不怎么样.不过有最喜欢的男主.不错.            
(3星)	 还可以吧            
(3星)	 这三星都是给了颜            
(3星)	 男仔好帅，剧情好烂。            
(4星)	 喜欢看帅哥的千万不能错过，四个华丽丽的大帅哥，各种类型应有尽有啊！——话说回来，这片除了帅哥似乎就没啥看头了，编剧不行，女主角不够漂亮，取景倒是很美，可惜就在那几个地方转悠——幸好TVB还有帅哥可看。            
(4星)	 冲着有如此多的帅锅，给四星啦～            
(3星)	 真的很一般，而且给林峰配了这么恶的一个女主角            
(4星)	 结局好雷！！！            
(3星)	 目的只有一个~看帅哥 苗苗~            
(3星)	 不看剧情不看布景不看台词不看女主，光看四个帅哥，还勉强过得去...            
(3星)	 天啊，小刀太丑了，而且还演的好假，估计是我看过最假的演员了，真是破坏画面，哎            
(2星)	 欠缺连贯            
(5星)	 喜欢芷妍~            
(4星)	 o(∩_∩)o...            
(3星)	 一般般，显字幕前的那几秒真够雷人的            
(4星)	 尽管结局很囧 还是没有办法阻挡我对少爷的喜欢。。。可是为什么要是这样的结局呢 就当给一个梦都不行么            
(4星)	 还不是为了吴卓羲            
(5星)	 四个TVB帅哥~~ 最爱陈键锋~~~            
(3星)	 峰少很抢眼.追风也很可爱.呵呵.就是情节案件有点弱..            
(2星)	 后面爆烂的剧情。。。            
(3星)	 只喜欢林峰，剧情和其他演员都不怎么样。            
(3星)	 翻译的片名是The Four，好霸道= =            
(NA)	 有点假            
(4星)	 冲住峰少睇！！            
(3星)	 被雷了无数次            
(3星)	 就冲着四个人给星了···这剧情实在是有点烂。又或许是看CSI啊CM啊之类的多了，就觉得这里的发展实在是破绽多多···            
(3星)	 去年看的一部港产电视剧，虽然拍得一般，但是看还是津津有味的            
(2星)	 糟蹋了四个帅哥            
(2星)	 很一般，主要是四小生太帅了，不得不看            
(4星)	 为了峰少和马明去看的^_^            
(3星)	 卖腐…………剧情就不要太有要求了 ||            
(3星)	 虎头蛇尾,结局仓促            
(3星)	 虽然很让我失望            
(3星)	 古装F4..            
(3星)	 帅哥们的确很养眼，角色也塑造的很成功。林峰的无情、吴卓羲的冷血、马国明的铁手都可以说在一定程度上有所超越。陈键锋的追命也可以说和钟汉良的打了个平手。尤其喜欢杜嫂的王妃。。剧本太烂。            
(1星)	 大大有失TVB古装武打片的水准            
(4星)	 哈哈 新生代小帅哥汇集啊～            
(3星)	 完全是冲着马国明去看的。电视剧情节完全就是RZ型的。但看看小马的眼睛，也觉得不错。            
(3星)	 肥皂剧 鸡肋剧            
(5星)	 灵的，对帅锅大爱阿            
(NA)	 结局那个巨大的漏洞 不过还是很养眼滴！            
(2星)	 非常失望，可惜了四个帅哥n个美女。            
(NA)	 要有多烂的编剧才能弄出这么烂的一部剧啊。。。。            
(3星)	 不知道该定义成什么剧的剧            
(3星)	 呃..當時沒看完....還行啦            
(3星)	 无视剧情，只看帅哥。            
(4星)	 哈哈。养眼的捏。。喜欢美女。。不过徐子珊的表情都很死板的，难怪红不了呀。不过在剧里面她最后好可怜啊，唉。            
(5星)	 怎么看怎么好看哇，我爱追命            
(4星)	 还可以            
(3星)	 2008            
(4星)	 如果实在嫌剧情不怎么样，那，那，那就看看帅哥吧^_^            
(3星)	 一开始就能想到的结局，不过是能让广大腐女无限YY的剧啊。。。。            
(5星)	 四大名捕，天下无阻。            
(3星)	 要不是看我家男人  我估计不会看            
(2星)	 真的不怎么好看，编剧编的让人提不起神，看在l的份儿上，抓紧看完吧，可惜了帅哥。结局..看傻了            
(NA)	 =___,= 除了峰少，其他都是浮云，剧情太难看了            
(3星)	 想给两星,那么多帅哥,就进到三星...            
(3星)	 四个帅哥很帅。最喜欢追命先生。不过剧本就只有前面10集好看，有点金田一的味道，后面的剧本一塌糊涂。女主角最喜欢若飞，和大多数观众一样            
(NA)	 少年四大名捕            
(3星)	 至少比电视里放的连续剧好看            
(4星)	 4个帅哥一台戏，比想象要好            
(3星)	 太矫情太矫情。。。            
(NA)	 虽然剧情有点老套，但大爱里面的造型。回归简单帅气。            
(2星)	 我是一集都没看完就忍不住放弃了。。。2颗星里一颗给陈键锋。。半颗马国明。。。半颗林峰。。            
(NA)	 TVB，哦不，TVBL            
(3星)	 - - 雷死人的编剧            
(NA)	 通宵看完,够劲吧            
(4星)	 我就冲着吴阿RON和陈苗苗去的 李诗韵还是挺漂亮的            
(4星)	 林峰还是蛮帅的，呵呵            
(3星)	 帅哥很养眼，不过结局不那么尽人意，我还是俗了点，喜欢大团圆~~~            
(NA)	 看了感觉不怎样，和TVB以前的作品差距很大。            
(2星)	 其实很烂的说。。。假            
(NA)	 你强烈的推荐，好吧，我看看。            
(3星)	 年度大戏就不能认真点嘛...我家男人跟我姓 XDDD            
(NA)	 男儿，坦荡荡，了无牵挂。            
(NA)	 故事的结局不是很好，有情人总是不能在一起，反而要突出他们的愚忠，实在可惜            
(3星)	 剧本平平,可惜了众帅哥...            
(2星)	 情节比较烂，硬伤很多，硬是没继续看下去            
(NA)	 就一垃圾            
(2星)	 [08.10.29]没全程跟着看，大结局在香港看TVB的，就那么回事            
(3星)	 剧情真是近年来峰峰演得最差一部了,真是枉费了特地去云南拍摄!唯一值得安慰的峰峰的无情造型还是很不错的!演技又有了提高,就是碰到那个戆女人就不会演了!            
(3星)	 真是很久没看过如此狗血的片了~~~大开眼界~~~            
(4星)	 在线看完的            
(4星)	 剧情一般，但是有帅哥。少爷演的很棒，很帅很有情。            
(3星)	 害我买了DVD..吐血...我的米啊            
(4星)	 my dearm man            
(3星)	 对不起演员阿对不起观众，虽然还素很养眼滴~            
(3星)	 狗血。。。            
(3星)	 为了四个主演看的，一集没落的看完了，哎，真是越来越不咋地，tvb的武侠剧            
(4星)	 2008.10.24            
(3星)	 冲着脸给3星            
(2星)	 最喜欢铁手，但是结局拍的我很囧。。            
(4星)	 吴卓羲，大爱~            
(3星)	 编剧怎么越编越差，可惜了四小生了            
(4星)	 或许不再那么挑剔情节的细节反而会很快乐的欣赏整部剧，林峰的表现我很喜欢，记得曾经有一阵子看了很多他的剧，觉得他越发成熟，其他三人的表现也都恰到好处。大家不要那么苛刻的话，不是会更快乐吗？今天偷懒一天，虽然有点心虚，但相信明天会变得更有精神的！            
(NA)	 每次我很无聊的时候我就看一些狗血的电视剧，这部电视剧就是因为这样而开始看的。我晓得我又看不完了            
(3星)	 我对TVB绝望了，这个片子本来就挺烂，但结尾实在太烂了，烂的超乎想象。。。            
(3星)	 很英俊，很武侠            
(5星)	 剧情很一般~喜欢林峰~里面的很多人物也挺可爱e~            
(NA)	 编剧太烂了            
(4星)	 充满了雷点的弱智+狗血剧情大集合Demo为啥就那么喜感呢ORZ一万遍!!            
(NA)	 最后怎么不用绝世神兵呢?!            
(NA)	 白烂而又恶俗的剧情，因为四大小生看            
(3星)	 ...技术还是差            
(NA)	 帅哥啊，帅哥~            
(3星)	 额 终于看完了 虽然没有预想的精彩 但是最后的结束画面的确很帅的说。。            
(3星)	 其实就是靠四小生称苗子的电视剧==            
(3星)	 柯南。。            
(2星)	 开始还行 月到后来越汗 这个剧情…看片感觉让我想起天机算            
(4星)	 骨子里很“温”的最佳四大名捕            
(2星)	 无与伦比的难看。开头和结尾部分（大烂结局除外）的剧情节奏算凑合，所以多给一颗星。            
(3星)	 一般般，主要是看帅哥            
(3星)	 这种结局...小窘了一些..            
(3星)	 林无情。。。。无法控制的莔了你。            
(5星)	 喜欢呐。            
(3星)	 悬念是够的，但是人物关系未免太清晰了。。。            
(NA)	 为了四位帅哥。。。古装版刑事侦缉档案。。。不想评价了。            
(3星)	 只为林峰。            
(2星)	 呃……是说我对这样的剧已然没热情了么。            
(1星)	 言之无物，失望至极！            
(4星)	 还有什么好说的呢 就爱TVB            
(3星)	 知道峰少整过后，对他好感度急剧下降。此剧只适合HC，编剧很NC。            
(2星)	 恩恩~很养眼~            
(3星)	 实在看不下去了- -即使有苗苗。。。19集，就当我看完了吧- -            
(4星)	 好多帅哥哟~            
(4星)	 虽然人物性格刻画很简单，但是还是挺好看的，哈哈            
(4星)	 算是虎头蛇尾。            
(5星)	 喜欢……            
(4星)	 重温TVB的美好回忆。            
(3星)	 编剧哈烂！我要去看书。            
(3星)	 白衣飘飘的无情公子。。。阿峰啊            
(1星)	 狗血狗片狗男女 因为看到四个主演而萌生的有史以来第一次追港剧的行动以彻底失败告终。最后拿出手的那是啥玩意儿 你以为你是假面骑士啊            
(3星)	 情节没法看，只不过为了四大名捕的名头。            
(4星)	 少年四大名捕 说的应该是少年时候吧 怎么到最后好像都要壮烈牺牲了一样            
(3星)	 除了四位帅哥，实在乏善可陈……            
(NA)	 又见丽江~哎~~~害我想家了            
(3星)	 四大小生            
(4星)	 结局令我无法接受啊！！！！！            
(3星)	 剧情不好= = 把吴卓羲糟蹋成什么样了...            
(2星)	 没兴趣看完了，only3集            
(NA)	 rt            
(3星)	 不喜欢林峰的造型、真心觉得还是现代剧更适合他- -。马国明也是!!!!            
(5星)	 我爱帅哥们  林峰！！            
(3星)	 典型的阳盛阴衰，四个男主角都是当家小生，帅到爆，但女主角们太不给力了，一个比一个丑，怪不得结局不让最终走到一起            
(4星)	 最後有點扯，不過好帥！            
(3星)	 剧情稍弱。            
(3星)	 峰少很正太。            
(2星)	 只是为了看着几个帅锅            
(1星)	 这么蛋疼的剧我居然看完了            
(3星)	 你妹的。。名捕为啥不破案啊！讲的是啥啊！！            
(3星)	None
(NA)	 。。。。。。。。            
(3星)	 看看演员吧            
(3星)	 呆。。。            
(NA)	 还好看，三天看完。。边听边看看。。            
(4星)	 四小生！！            
(3星)	 只看了有林峰的部分            
(4星)	 纯粹是看帅哥的，剧情很一般，经不起推敲啊            
(NA)	 马克前夫剧和女人剧，与女人的定情之作            
(NA)	 总觉得应该有续集啊~            
(3星)	 要不是林峰我闷声吃这么多雷干嘛！！(﹁&#34;﹁) 哦对了铁手几次收起蓝的鞭子送还的场景还有桑在最后真情醒悟之前的间谍工作也还不错            
(NA)	 三集弃            
(4星)	 欢乐啊~各种cp~~各种腐~~            
(3星)	 大二时拿着电脑去图书馆蹭网看的，没有想象中的精彩，关键是几个女主不讨喜，男主都还行，无情帅气，追命可爱。            
(4星)	 少四真是帅哥集合地 哈哈            
(5星)	 记得我最后一集是凌晨4点看完的，从来没看这么晚过。很好看。四大帅哥养眼就不用说了，大爱马国明和诗韵！！剧情也还不错。恩。            
(4星)	 唉，又是徐子珊。。。            
(5星)	 初二三？补课的时候看的 好有印象            
(3星)	 徐子珊太难看了！！！            
(4星)	 四帅~            
(3星)	 四个大帅哥卖脸之作  赏心悦目  就是怎么越看越胡扯呢！            
(3星)	 为嘛这狗血的江湖剧情可以看的我这么happyTAT            
(4星)	 探案剧情+TVB四大美男=my favourite            
(3星)	 TVB的扯，四小生的帅            
(3星)	 没有大陆的四大名捕好看……            
(3星)	 剧情好弱，人物技能好弱，女角好弱，各种弱……            
(NA)	 最后的最后 我多么希望铁手和无情在一起 ps：谁叫最后一对都不完整呢 真是的            
(3星)	 4个男主角都还不错，女主角就弱毙了好吗！            
(1星)	 本片很好的运用道貌岸然的手法，宣扬了卑劣的，扭曲的，肮脏的，丑恶的价值观。且浑然不知，还洋洋得意。            
(2星)	 确实，女的都不好看，就是一部古装爱情戏            
(4星)	 續集！！～～沒有            
(4星)	 一开始就觉得徐子珊像个坏的，果真是个坏的，刚开始很喜欢无情，因为她，觉得无情都是瓜的了！            
(3星)	 有情人没有终成眷属    林峰和冷血我喜欢            
(3星)	 在这final period里我把什么北宋人背人生自古谁无死忍了,把徐子珊腹黑了又腹黑的脸也忍了,就是为了看陈键锋你卖萌啊...            
(NA)	 虽然是新拍的，但还是挺好看的。            
(4星)	 其实很不错，不知道为什么收视率不太好            
(3星)	None
(4星)	 我觉得给四星，因为这四个人演的都比我以前看到的好~            
(4星)	 为什么分数这么低呀，我认认真真从头看完了，挺不错的电视剧啊，还有，我越来越喜欢徐子珊了，大爱            
(4星)	 演员对一部剧真心重要得下不得地啊            
(3星)	 我跳着看的，最后一集怎么徐子珊变成大魔头了？原先不是大夫么！！里面好多冷笑话啊哈哈哈            
(3星)	 虎头蛇尾，越后面越娱乐            
(4星)	 喜欢小吴            
(3星)	 在不能上网的日子里被拯救了，虽然秉承了tvb一贯的狗血风格，制服太丑了。。。            
(3星)	 把仇恨放下。            
(4星)	 看完了。。。。。。            
(4星)	 四小生都好帅，尤其是陈键锋和林峰            
(3星)	 我觉得还可以啊 怎么收视率那么差呢。            
