http://movie.douban.com/subject/2995112/	天下无双
(NA)	 好像看过，名字记得            
(4星)	 我觉得挺有意思的 喜欢关咏荷            
(4星)	 一直不平，为什么不喜欢如意            
(4星)	 其实我很喜欢古装喜剧啦            
(3星)	 漂亮的荷姐~~            
(3星)	 荷姐的扮相很显老            
(3星)	 三颗星全给荷姐            
(3星)	 那时挺喜欢陈好....            
(3星)	 典型的张卫健            
(3星)	 我当时竟然很喜欢很喜欢看- -            
(4星)	 弱水三千，只取一瓢.            
(5星)	 很好看很好看。。。可爱聪明的如意。。            
(5星)	 就是爱看张卫健耍宝。别说，就是真诚！            
(NA)	 那时候的陈好真好看。            
(3星)	 因为有张卫健才看了一点~~~            
(3星)	 就那样吧，我都快忘光了。            
(1星)	 哎 关咏荷            
(3星)	 2007            
(5星)	 好看~~吉祥如意。。            
(4星)	 确实无双~            
(3星)	 印象不深。没看全。            
(3星)	 其实吉祥跟了那谁也不错~            
(NA)	 弱水三千，我只取一瓢饮            
(3星)	 三个主演都很喜欢~            
(NA)	 我也想享齐人之福！            
(4星)	 结局太吊了，如意潇洒放手，出海环游，捎给吉祥蓝色的花种。天大地大，只要你愿意推开一扇窗，总有另一片美好在等你。            
(3星)	 谁说鱼和熊掌不能兼得～            
(4星)	 张少爷演的东西都差不多啊            
(NA)	 如意吉祥。。。。。            
(4星)	 爱情，选择~            
(4星)	 电视剧有时候看的是一段时光，一种回忆```            
(4星)	 这个应该算是合拍剧吧，因为陈好是内地的，张卫健和关咏荷都是香港的，但是陈龙也是内地的。所以很难鉴定这个歌是什么剧- -反正张卫健演的都不错~讲一个败家子发愤图强的故事，被张卫健演得很搞笑~            
(3星)	 从这部开始再不看张卫健了            
