http://movie.douban.com/subject/5031441/	家，N次方
(4星)	 很少看内地片，又一大爱。各色的人性都展露无遗，栗子姐的沉稳聪慧和顾全大局，楚牧的善良踏实，齐齐的直率机灵，薛洋的转变，赵雯的拜金，周皓的富二代。最让我遗憾的是栗子姐和楚牧的结局了。╮(╯▽╰)╭            
(5星)	 对吉米居然没有偏见了！            
(5星)	 第27集赵雯哭的时候的背景音乐，很棒，国产电视剧该学习。            
(5星)	 带去马尔代夫看的 哈哈 我很满意！            
(4星)	 其实内容有点蠢的，剧中某位简直可以改名为小井了横竖都这么二有点顶不住！但是这部剧的内容还是非常暖人的，至少看完会觉得有个家真好            
(3星)	 20集足够，再长编剧功力不到，就成鸡肋片。看到20集，基本失去耐心，看到25集彻底放下。谈一下我认为的几处亮点和不足：1，赵雯的贱是一种社会形态，也是一个透视镜。2，之荔其人最初出现很有看点，睿智内敛。但全剧最不足也在这个人物，一个国际投行金牌投资人她的作为太小儿科和楚牧的感情更是扯淡.             
(4星)	 30            
(1星)	 看了前两集和最后一集，原来一切的一切都是因为一个阳痿男啊，所以说，有病得抓紧治啊！            
(5星)	 我了个去看完果断改5星了，最后一集太催泪了！！！//原来不是赵宝刚导的啊！怎么现在流行这种得逼得得逼得的所谓京调儿片儿啊。虽然那个穿着TB卖14.9包邮T的坐在时尚杂志里玩美淫心计的拜金女还是着实恶心了我一下，我这么心胸宽阔的人还是觉着看这种片儿，取其精华去其糟粕吧。            
(3星)	 融洽家庭关系（你们信么我爹妈都在看这尼玛…）富二代们的故事。放过火影吧…你们只知道火影吧 = = 姐姐威武、小儿子智商是硬伤。前面几集没看，赵雯儿干什么了要被宋丹丹当面骂不要脸？不管是什么这妈妈做的也不怎么厚道。前面还挺好的，不难看，最后能不变那么狗血么能么能么能么！！？            
(1星)	 就吉米演得好            
(2星)	 Typical Mainland China TV Series~            
(5星)	 人人都爱栗子姐            
(5星)	 2天内终于看完了，真是跌宕起伏啊。真素好看，我这种没心肺的都哭道要死要活的。这海报寒碜地像70年代的塑料挂历，除了那山寨赵忠祥和山寨刘德华那便秘脸看着挺让人便秘的，其他都好到爆的。            
(5星)	 栗子姐！            
(4星)	 华子！我就为华子看的            
(3星)	 赵导再走这做作的路子 真就要完了            
(2星)	 反正我是不喜欢这种调调。。            
(NA)	 让我一口气看完的电视剧，太少了啊。哈哈。            
(2星)	 都什么跟什么啊！            
(4星)	 栗子栗子~~~~            
(2星)	 无聊            
(1星)	 京味版流星花园            
(4星)	 宋丹丹演技很棒，栗子姐活脱脱一完美女性，完美的超离现实，另外华子越看越顺眼了。            
(3星)	 我该是有多无聊 打毛线时听完的 就我那毛线水平 只能听 所以就随便找了个片子看了            
(4星)	 之荔和赵雯，两个比较极端的角色，最后都在孤独。。值得深思。            
(2星)	 看了两集半。以后绝不再手贱看国产电视剧。价值观SB就算了，还每个剧都弄几个伪富二代出来装B撑门面。豆瓣评分也越来越不靠谱了。还是怀念《大宅门》、《大明宫词》时代。            
(5星)	 喜欢齐齐            
(3星)	 几个主演演得都不错，但对剧情无感。            
(3星)	 前面不错 后面就。。。。            
(4星)	 老纸竟然看了两部国产剧了。            
(4星)	 找了一老头演了一面瘫语痴的弱智富家子。            
(3星)	 文楠就是内地版刘三好啊。            
(5星)	 栗子姐我爱你！！！！！！            
(4星)	 还可以看。剧情还比较紧凑            
(2星)	 里面有很多话和道理都还蛮实用 就是家庭氛围设计的假了点            
(4星)	 这是我第一次看这类型的电视剧，还不错，台词蛮搞笑。赞一下薛洋和赵雯两个角色演的真好。看到赵雯坐在宝马车里哭，比一直善良的栗子姐姐离开哭，更动人。无论什么时候，家人和爱永远是最大的财富            
(4星)	 家里有四个孩子真好啊            
(5星)	 国产电视剧还是以情动人，演员不一定好，剧情不一定好，逻辑不会太圆，但是煽情啊，满满的，唉～             
(NA)	 看了2集 哭了还！泪点之低 啊！            
(5星)	 看到20集的时候想好了评语，看完了把评语给忘了。。。。。。。好苦恼好揪心啊！！！！！            
(NA)	 天才纸片少女(or妇女?)薛之荔❤! 这剧的台词跟场景设定  做作到很好笑。。。            
(4星)	 白百何怎么能演这种角色呢……哎，没有一个看着特喜欢的角色            
(3星)	 特别适合几个朋友一起坐沙发上吐槽的神作！！！苦逼脸和娘炮            
(3星)	 其实招人喜欢的男主角永远是一个类型～而且大多老少通吃～            
(3星)	 和《裸婚时代》一起看的，觉得比那个强~            
(4星)	 难得看国产电视剧，还不错。女孩子们都很出色，特别是薛之荔，直接诠释了“人淡如菊”四个字；赵雯也不错，我希望我可以是她。朱雨辰，长得挺实诚的一小伙。对此剧最大的不满是最后一集楚信说出的自己的秘密……酿成悲剧的秘密太tm不靠谱了吧！            
(4星)	 發現這電視劇里的女人都很聰明。反而男人都很笨。            
(4星)	 栗子姐姐真是神一般的人物！！！            
(NA)	 怂...            
(4星)	 秦晖说过，伪善是很重要的社会机制，它使得内心不高尚的人也不得不做高尚的事情。薛之荔和赵雯本质上相似，然而赵雯可以不顾周遭眼光，却不得不安抚内心的空白，只因她并未习惯用伪善来安抚周遭与自身，所以在宝马中吃着冰激凌哭，只是一段人生总结，她依旧会选择做回自己，走同质的路。            
(4星)	 很好看的剧 海报敢再挫一点么            
(4星)	 可以看，不值得迷恋。btw，使赵宝刚九几年拍的么？片名那几个字设计的太土了，然后演员造型太。。。            
(4星)	 挺好看的啊~~~有时候是有点作，剧本后来是有点矫情，那个薛洋是气死人不偿命，但还是很好看的嘛~~~栗子姐姐要红的啊！            
(3星)	 就是结局那点事 不太喜欢 哎            
(4星)	 编剧好善良，有正能量            
(3星)	 对于曾迷上乔乔、石晓琳和黄小仙的我来说，看见白百何如此拜金和刻薄的行为，片刻间还真接受不了。不过还好有齐齐和栗子姐，让这个片多少有看下去的勇气和耐心。故事乏善可陈，不值得深究，玩味的只是齐齐和栗子姐的可爱，以及憨傻朱雨辰如何在齐齐、栗子姐中间选择，真的很难。            
(4星)	 这里面几乎没一个普通人            
(5星)	 值得看            
(5星)	 所谓快乐，就是一家人在一起，一直在一起。你有这样的快乐吗？            
(5星)	 很好看！            
(1星)	 离家太久，原来国内喜欢看富二代群P，拼爹拼酒拼女友            
(4星)	 很好看~            
(4星)	 赵雯真悲催，自作孽不可活            
(4星)	 赵宝刚演的我。。。。            
(NA)	 宝刚指导！所向披靡！！！！            
(NA)	 好看好看。哈哈。。叔叔说齐齐像我。。。            
(4星)	 看了全部···  我竟然在最后一集哭的泣不成声，真TM没出息！            
(4星)	 真的很好看，赵宝刚，你太有了            
(2星)	 shit，都是抄GG的！            
(4星)	 求之荔型女友。            
(2星)	 假==            
(3星)	 三星半。贫嘴不好玩，就看华子和栗子。            
(5星)	 像赵雯一样的苍蝇女 真想给她一巴掌            
(4星)	 还有点儿童话。            
(4星)	 齐齐            
(5星)	 我居然也喜欢看这种电视剧了= =            
(3星)	 陪老人家消遣时间，就各种鸡血鸭血猪血，热热闹闹的，全家观看，其实也挺欢乐的。            
(4星)	 笑翻了！！            
(4星)	 2012-2-5 with卿卿 他看电视比较多，这部剧还蛮有意思的，陪他看过几集，和最后一次，特别催人。因为又是相爱的人，不能在一起。            
(4星)	 快乐就是一家人一直在一起            
(5星)	 这样的家，羡慕~            
(4星)	 笑了29集，最后一集一直哭。其实没有多感人，只是我看进去了，触动我了，眼泪就停不下来了。不错的国产电视剧，还是那句“不现实”            
(3星)	 什么都挺好 就为了那个腿比脖子短长得像鼻孔被撑大了的刘德华的演员本色出演 还操着一口台湾京片子 扣一星。。。。。。。。            
(3星)	 还剩一点了，不看了，知道结局了……偶像宋丹丹，果然有演技！白百合从这部开始就成了怨女了，因为朱雨辰看的，不过倒是王子文比较有亮点            
(4星)	 栗子姐真好，赵雯像一朋友，齐殿……跟琦殿有联系么？名言：“我贱，故我在。”            
(4星)	 三天追完。。。好看！~想肥家！~            
(3星)	 前面比较好看也~~            
(4星)	 还好吧 后面的内容 栗子姐很有feel            
(4星)	 很多女人都希望自己像薛之荔。但每个人心里都有一面是赵雯。            
(4星)	 真挺好看的            
(3星)	 2011.10.11-2011.10.15 姐要提高评分标准了。这部只能算没让我失望，剧情人物都还行，缺点是有点脸谱化，最后还有点说教。            
(5星)	 爆好看。            
(3星)	 看了五集被剧透……其实一开始只是去看朱雨辰的呀……这个苦逼男……麻痹，不看了。结局不符合我的恶趣味……            
(4星)	 太搞笑了！哈哈哈哈            
(1星)	 估计是不会看下去了。            
(4星)	 除了5分钟就能鸡皮疙瘩反胃判断为垃圾的，国产电视剧不存在高到哪去低到哪去的问题，你混我我混你么，不算总要洒点狗血，更受不了总喜欢非常不含蓄的教育人，要多折堕才会靠个电视剧找价值认同            
(3星)	 有点假，没有李春天好看。            
(4星)	 这最后的剧情有点太狗血了好嘛！！！            
(5星)	 哭点太多了！！！我爱宋丹丹！！！还有宠物他爸。。。            
(3星)	 那个薛洋整个一班尼路代言人啊，只会怒和笑两种表情的华仔。            
(4星)	 女人们嗷嗷有魅力啊，尤其宋大姐首当其冲。            
(3星)	 宋阿姨的演技都成精了            
(4星)	 喜欢王子文            
(5星)	 哎哟我以后再也不这么折腾地追电视连续剧了，本来还想倒时差的，结果熬了三个通宵看完了《家的N次方》！天天都是早上六点睡下午三点起，标准英国时间…刚才终于看完了，因为大结局还哭了…真是挺好看的啦！好喜欢栗子姐姐啊！            
(3星)	 太能编了            
(5星)	 我要回家            
(4星)	 这才叫励志呢！我的观影生涯要结束了么！            
(4星)	 一颗星扣给那个山寨刘德华，除了煤老板气质哪儿有富二代气质啊，还有另外一败家子儿富二代的山寨机，别磕碜人了成吗。。。。另外我都挺喜欢的TAT            
(4星)	 赵大叔很关心年轻人嘛！楚牧是个好人啊~~挺逗 除了后半有时候偶像剧的片段……            
(3星)	 其实还行吧。家里孩子多真好啊。赵雯太讨厌了，白百合演得好啊！栗子姐姐就是一个女神。齐齐有点矫情有点吵。。。            
(5星)	 真心觉得好看啊。四个女人都是典范有木有！！！            
(2星)	 墨迹            
(3星)	 原来n次方的话，就是乱啊。。。含有金句的囧片啊。ps齐齐和楚牧这俩角色诠释很不错            
(4星)	 挺不错的~            
(3星)	 栗子姐是个好姑娘            
(4星)	 即使有点假 我也喜欢它假出的亲情和爱~~~            
(5星)	 每一個人物都鮮活。喜歡栗子姐，充滿智慧，溫暖，堅強，懂得放手。也喜歡趙雯，永遠知道自己要的是什麽，並不惜一切為之努力。            
(NA)	 二B征，你倒是评论啊。            
(4星)	 比港剧好看多了 尽管薛洋很装 老实说挺喜欢周浩和赵雯这两个角色的 敢爱敢恨说一不二直接果断 栗子姐这人太神了不像是活在现实中的人 文楠和齐齐身上充满正能量 至于朱雨辰饰演的楚牧可说是一大惊喜             
(5星)	 内地青春剧的新高度。            
(3星)	 刚开始挺好看的，后面就有点假。是部很矫情的剧            
(NA)	 很感人            
(4星)	 看北方人贫嘴真是其乐无穷啊~            
(4星)	 还可以啊。            
(5星)	 满分~很久没有熬夜看电视剧了~被宋丹丹的演技折服啊~最后一集飙泪~            
(NA)	None
(3星)	 为头像看，快进完成，导演能甭搞那么多怪异的机位么。            
(3星)	 爸，二爸，准三爸，三爸等等等等，都不及栗子同学的魅力            
(NA)	 山寨刘德华 印象深刻            
(NA)	 每个人一定会有自己喜欢的片中人            
(5星)	 各种爱，浓情化不开            
(4星)	 丁薇的歌做的蛮好！不过电视剧的配乐配的不怎么样嘛！山寨刘德华真不爽啊啊啊！！！            
(5星)	 好看,也好棒            
(5星)	 栗子是我心中的完美御姐！            
(5星)	 没想到后来会流着泪看完。文姨在第三十集跟薛茂祥说了一句话“那为了孩子要是死，也不得去死啊。”这应该是天底下所有父母的心态吧？为了自己的子女可以不惜一切大家去保护他们。家，就是一个让所有人都温暖的地方。有家的地方，就一直，都会有欢乐。            
(3星)	 这是一现代言情剧吧             
(NA)	 我想问 冰窟窿后来去那车厂的厂服是真PAUL SMITH吗？老板才是是低调富豪吧！            
(4星)	 栗子姐简直就是女神！            
(4星)	 因为出了点事，借由最后一集哭High了            
(5星)	 近年来的唯一能感受到家庭温暖的中国电视剧了，剧本写得不错。            
(4星)	 宋丹丹演的太好了，就是结尾有点失落。            
(4星)	 我喜欢栗子姐和齐齐。            
(2星)	 偶像剧...            
(4星)	 看电视剧真费精气神            
(5星)	 薛之荔 众人心中的理想            
(5星)	 挺不错的。            
(5星)	 齐齐是亮点！            
(5星)	 爱就是等待            
(5星)	 情不知所起，一往而深。            
(NA)	 唯一靠谱的地方就是…… 栗子真的很好吃！！我也想吃了！！！            
(3星)	 收藏后写一条我说              
(5星)	 好看~            
(5星)	 家人一直在一起就是快乐...一直在一起....            
(5星)	 一天半看完三十集 快哭瞎了最后= =            
(NA)	 喜欢 但是有种说不出的感觉 也许体会到了戏的源于生活高于生活 没有极端冲突起承转合高潮低谷就不能引发思考            
(4星)	 还好吧            
(NA)	 這一大家子真夠亂的。那什麽莎莎小姐~求你了……太崩潰了……            
(3星)	 吉米v5            
(NA)	 &#34;我贱，故我在&#34;不是一般人能做到的啊！            
(4星)	 【过的还好么。】尼玛把我看的快哭了！！！！！！            
(3星)	 华子还是那个华子，乔乔还是那个乔乔，金燕已经不是那个金燕了。            
(5星)	 赵宝刚亲自下厨啊！            
(4星)	 我是女的 都爱上栗子了 擦！            
(3星)	 还是喜欢赵雯说话。            
(4星)	 白百合啊白百合 坏女人演的真够可以的 但是还是好爱啊            
(4星)	 那薛洋是神一样的存在！找不到演员了呀！！！傻逼的真是达到境界了！！！            
(5星)	 漏洞很多啊很多啊。可是很好看啊。真的。最后太苦逼了。哎。            
(4星)	 虽然故事情节很假吧但是温馨家庭剧还是很爱呀            
(4星)	 讨厌，不喜欢这结局            
(4星)	 真的挺好的 栗子姐和宠物我好喜欢            
(5星)	 栗子姐这一型很不错啊，宋丹丹真是老了比较有味道了 。            
(4星)	 薛洋恶心 别的还好            
(1星)	 雷剧层出不穷            
(NA)	 看了一半 还是各种稀罕白百何~            
(NA)	 评分这么高。。肯定是炒作。。            
(3星)	 1，可够乱~~2，一个个贴上毛比猴都精3，瘦死的骆驼比马大4，一个伟大的妈5，一个神话的姐6，一个牛逼的苍蝇7，一个幸运的傻小子8，一对天造地设冰与火组合9，一个善良不好色的爸            
(5星)	 好讨厌赵雯哇。            
(3星)	 请问8.4分是哪儿来的！            
(4星)	 桥段非常电视剧，离谱也荒唐。好在经典台词多，也能赚取眼泪。            
(3星)	 开头有点兴趣。然后越看越无力。。。吐槽也无力了。。。            
(4星)	 山寨刘德华。减一星！            
(5星)	 哈哈  夏天 又有好玩儿的电视剧啦   温情 激动 欢乐 各种好玩儿的qiqi啊            
(3星)	 大家都说喜欢栗子姐，可我看见她脑子里想的就是金燕儿...反差太大了......就记住了最后赵雯和楚牧的对话。“你是在逼我干伤害你的事情吗”“如果你想让自己心里空的感觉再强烈点儿就尽管去做 没人逼你去伤害谁 只有你自己想去伤害谁”            
(4星)	 你知道我忒怂，看见坏人就没种。但是还是不由自主喜欢里面温暖的人。            
(4星)	 王子文开头蛮有意思的 后来就没劲了            
(3星)	 还是看点不用智商的。。。            
(4星)	 看了两宿没白没黑的= =栗子——————————————姐             
(NA)	 时尚名流男主们，不要再竖领啦！！！！！！！！            
(5星)	 最终决定力荐是因为此剧从头到尾的态度，没有一味地站在某一方指责另一方。就像栗子说得，那些愿意坐在自行车上笑的人绝对不会走上坐在宝马车里哭的道路；而那些愿意坐在宝马车上哭的人也肯定不会坐在自行车上笑。活着，幸福也许很难，但，至少请学会如何快乐，真正的快乐。            
(4星)	 很久前看了一半，之后事一多就搁下了，看了一通宵把剩下看完，真的还不错～            
(4星)	 栗子姐好有智慧～            
(4星)	 暴龙也好想有个天才姐姐            
(5星)	 所有的星星都是给栗子姐的！！！！！！！！            
(3星)	 我居然看完了……这个…… 呃~~ -______-&#34;             
(4星)	 感受到一种家的温暖，令人重视对待家人的方式。当然，如果有那么好的家人也是一种幸福。除了各种剧情的小bug，这是部好剧，还好不是赵宝刚指导，直接避免了广告的轰炸。8分            
(5星)	 一大家子好热闹            
(4星)	 节奏不错            
(4星)	 总觉得这类电视剧不费劲儿但是非常讨巧，几个演员也很到位，剧情也比较抓人。            
(3星)	 还真有家族啊什么的这些事儿。宋丹丹挺噻的哈~白百合也挺噻的哈~            
(5星)	 传递温暖是很重要的            
(5星)	 终于后知后觉地看完了 后几集基本就是泪着看的 越大越对亲情戏无法抗拒 栽过跟头才知道家和万事兴到底有多重要 宋丹丹的演技依旧是整部剧的顶梁柱            
(4星)	 赵宝刚在里面是个无比无比空洞的人物形象……            
(4星)	 不太爱看电视剧。当初，追这部剧，追凶了。            
(5星)	 如果有十星我一定给十星！！！！！！好看到爆！！！！！！！！！！！！！            
(5星)	 很感动，每一集都很感动。家，爱情，婚姻，改变，母亲，温暖……用一些很小的故事说着很大的意义。喜欢之荔，每个人都那么可爱。善良的人容易被伤害，我们保持善良并守护那些善良的人吧。            
(4星)	 对白比较幽默，典型的北京味。            
(4星)	 刚开始没看进去，后来慢慢看，觉得还不错，就是结局太坑爹。            
(NA)	 我就是为了看朱雨辰。            
(4星)	 白百合。。。            
(5星)	 你是单亲家庭的孩子么  看看  如果你是            
(NA)	 忘了看到第几集了，就为了在电视上看眼初中同学容易么我。栗子姐很有爱！            
(5星)	 王子文牛逼死了 为了她看的国剧            
(NA)	 赵，赵，赵宝刚演的！！！！            
(5星)	 看了一遍又一遍            
(4星)	 除了大量的植入广告，不少的穿帮，赵导千年不变的表情以及贺刚中下的演技，本剧整体来说还是不错的，也挺紧凑，宋丹丹朱雨辰白百何王子文几位演的也很到位。不过最后揭秘离婚太雷人，而且还貌似为宝马车哭的言论辩解了一把。            
(4星)	 家庭真的很重要!!少一星是因为有的演员不喜欢~            
(5星)	 最佩服齐齐那临场应变能力及对羊爱的支持。。            
(4星)	 喜欢白百何。            
(4星)	 接地气的好片子，尽管偶尔有点说教，但家的气息浓厚到让人向往。不过一家人一定要在一起才是快乐吗，是不是因此要牺牲掉其中两个人的幸福呢，估计大部分观众都为之遗憾呢。白百合是个好演员啊，演个半反派也能感动我            
(3星)	 里面的人物都很可爱。只是赵宝刚这个老板样子哪是做国际市场的呀，貌似连乡镇都冲不出去。            
(4星)	 还算哏儿            
(4星)	 很不错的家庭剧，喜欢齐齐，喜欢栗子姐，虽然很讨厌很讨厌赵雯，但是白百合演技真的很不错！推荐！            
(3星)	 栗子姐是做儿女的典范 宝爷说赵宝刚像我爸            
(4星)	 这两天闲的时候，都在看这片儿了，挺有意思的~            
(4星)	 为毛我总觉得有种内地版绯闻少女的劲儿~~~看那人物关系~~~都是一样的！！！！            
(3星)	 N久没看过这种国产电视剧了 周末值班无聊爆发的结果。。。怎么说呢 这片有点矫情有点拧巴 怎么折腾怎么来。其实 我是冲着周浩和白百合去的。。。            
(NA)	 凑活看看吧，就不评分了            
(5星)	 11.10  有一次无意中看到冰窟窿，就看了这个剧。是我看过讲现实最好的电视剧，阐述太多道理。让我看到家人间的关心、温暖和不离不弃的力量。让我看到以什么样的态度面对冲突，包容和接纳就会是祥和和戏剧。让我看到如何面对各种人（亦敌亦友）。栗子姐、冰窟窿、宠物、齐齐、文楠，依依不舍。            
(5星)	 齐齐哈嗲！            
(5星)	 我靠 熬夜看完！            
(5星)	 很喜欢栗子姐这个角色            
(4星)	 抛开表面的粗糙看内里的本质，有些电视剧总给我们传达着美好。            
(3星)	 － － 陪我娘看的。。朱雨辰跟任重看着还蛮顺眼，给个三星，其他，不评论            
(4星)	 我居然也看国产连续剧了噢耶！！！            
(3星)	 齐齐太闹挺了！那个面瘫脸毁了整部剧的质量啊！！！！            
(2星)	 真挺烦这种富二代励志剧的，当创业是游戏            
(4星)	 可好看了，哭死我了……巨蟹座牌电视剧吧。            
(4星)	 很喜欢这样的家庭伦理剧，虽然朋友说看这样的电视剧多了会变得婆婆妈妈，可宁愿婆妈也不想看那些脑残剧。这部剧的体会呢，就是：在我们这代one child policy影响下的人，想要有乐呵呵的“大”家庭就只能靠爹妈二婚三婚了～            
(5星)	 纠结 妈逼有什么不能在一起的 有爱就是亲兄妹也无所谓！            
(4星)	 还不错看啊~~~~喜欢王子文            
(4星)	 喜欢栗子姐~            
(4星)	 哎哟喂，两晚上把它看完，这会都还不困            
(4星)	 学习一条：培养竞争对手！            
(4星)	 这剧拍的虽然也是富家子弟，但是比起那个声名鹊起的《奋斗》脚踏实地多了            
(5星)	 我心底的小纯情只有看电视傻哭傻乐的时候才能表露无遗~            
(4星)	 周浩的动作和表情还真像文章，还以为奋斗呢            
(5星)	 暑假在家陪我妈看的电视剧No.3，超好看的这部！！！我爱栗子姐！            
(NA)	 可爱的童话剧，追完了~~            
(4星)	 一家人永远在一起            
(3星)	 我竟然沦落到看内地家庭伦理连续剧的地步了，还天天跟同事有一遭没一遭的讨论着……我还看了我的婆婆我的妈，那个我想写篇影评= =吐槽点太TM多了！            
(5星)	 最大的败笔就是薛洋这个角色，看着那么大年纪了，还演个大学没毕业的公子哥。栗子姐这种人也只有电视剧里才有。            
(5星)	 喜欢栗子咯。            
(5星)	 最后一集的编排真心很不错。虽然楚牧父母离婚的理由一些狗血，但整体来说确实很感人。最后那个“等待”也确实很好地避免了商业片凑完美结局的俗套。            
(NA)	 你该相信 有那么一些人 无论年龄 无论经历 都依然真诚善良 这就是他们幸福的缘由            
(4星)	 如果睁一只眼闭一只眼，这也算是好剧吧            
(4星)	 A relaxing way to kill some alone time            
(3星)	 宋丹丹最近怎么这么火了。            
(4星)	 宋丹丹演得很不错~ 喜欢齐殿。            
(4星)	 栗子姐O(∩_∩)O            
(5星)	 果然对励志家庭剧毫无抵抗力，这剧真是看的我又哭又笑，难得我妈看到我这样没说我脑残。平凡生活中的浅显真理，最后一集既温暖又遗憾。            
(4星)	 现实批判中又透露着希望。台词精辟。这个结局看得我哭的稀里哗啦。            
(4星)	 越往后剧情越离谱。            
(4星)	 我越来越觉得,有宋丹丹的剧一般都不错。            
(5星)	 我喜欢栗子姐姐～～～            
(5星)	 那里面的女的怎么都那么聪明啊~~~好聪明啊~~~            
(3星)	 对宋丹丹依然很无语，但是很稀饭栗子姐姐            
(3星)	 关于名流party的部分太幼稚了。。。其他尚可。。。            
(3星)	 我也喜欢栗子，知性+气质，一流，我曾经看过她早年的戏，属于沧海一粟，现在俨然修炼成功，不错。白百合演的挺好的，喜欢她的声音。            
(4星)	 蛮喜欢的            
(4星)	 你好 御姐控 年度伦理大戏             
(4星)	 结尾太仓促了，而且坑爹，明显彩蛋嫌疑            
(5星)	 。这就是家，家的力量。。一个可以让人忘却所有烦恼的地方！            
(4星)	 三星半吧，姐也看国产剧了@笑笑爆米花@麦大奇，你俩搞的啊。。。吐槽：一个不争的事实就是：大房子，很多兄弟姐妹多好啊。前面吵架挺欢乐，后面励志煽情啊，坏人变好啊，苦情姐弟恋啊太弱智了点。朱雨辰的角色和演员都大爱            
(5星)	 天哪，神作啊神作……            
(4星)	 很感人 什么都可以失去 就是家人是不能失去的 要紧紧栓在一起。。            
(NA)	 齐殿一出，谁与争锋            
(4星)	 我觉得多少比一般的剧好。            
(NA)	 烂剧            
(4星)	 不错            
(4星)	 还不错的大陆电视剧也            
(4星)	 有家真好。            
(5星)	 家，没有什么比这个词更重要。一切困难在他面前都是软弱的。一家人能够战胜一切困难。            
(4星)	 没事都臭贫什么呢            
(2星)	 编剧真糟糕            
(4星)	 栗子姐            
(3星)	 栗子姐姐只有在和自己有一段距离的时候才会那么美好。楚牧和朱雨辰让我觉得是合体了，特别谦逊。赵宝刚应该是过足了打酱油的瘾哦。还得提宋丹丹，女人天性全在这个角色身上了。做了一切都是为了家庭为了孩子为了身边那个男人。结婚三次却不是水性杨花。最后即使不在一起的人还是祝幸福。            
(4星)	 导演真不能当演员            
(3星)	 剧本挺好 但就是有种被某几个演员毁了的感觉            
(4星)	 明知道都是假的就是忍不住想看            
(5星)	 国内富二代情事阿混蛋            
(4星)	 有点扯就是了。话说这富二代真是够丑的            
(5星)	 喜欢爱吃栗子的之荔姐~也很喜欢齐齐的性格~主要还是喜欢宠物啦~            
(4星)	 中国难得有这么说教但不讨人厌的电视剧啊，虽然这种架构有点超现实，但剧情不错，角色干净鲜明，演得也挺自然（就是装逼也装得自然），台词尤其利落出彩，一针见血不多半句废话。在一起，既是亲情又是爱情，其实是最完美的。            
(4星)	 个人觉得比裸婚时代好看一个档次            
(NA)	 好吧，快进看的，栗子姐是有人能不爱的么？            
(3星)	 我觉得吧，赵宝刚，乃少女了……这恶俗的偶像剧请……看这个纯属因为老妈非说我像里面的栗子……一点都不像好吗……            
(4星)	 不错的剧            
(3星)	 做作的夏琳，装逼的赵清楚，得瑟的薛之荔。。。这就是罩爆肛的女猪            
