http://movie.douban.com/subject/4935046/	一不小心爱上你
(2星)	 芒果毅然决然报复社会。。。每个毛孔都很雷。现在发现到的亮点是女猪她亲二哥还不错，我戴了多大的显微镜才发现的啊。女猪顶着大妈脸装萝莉，男猪瘦得猴子样的装文艺忧郁深情男，整个都很凌乱。原来不是女猪得绝症，是女猪的妈妈得绝症啊！多出一颗星给女猪亲二哥和那神马蜜斯张这一对。            
(2星)	 一不小心雷倒你~山寨也得有个限度，这种公然愚弄全民智商的行为，应遭到强烈谴责，一部在每个人心中留下美好记忆的《蓝色生死恋》被改的面目全非，实在令人心痛。            
(2星)	  看这个女的哭就好烦一点也不楚楚可怜。            
(1星)	 卧槽!!!!!!!!瞎了我的狗眼(ノへ￣)            
(1星)	 但是丹尼斯吴很有味道……            
(2星)	 两颗星都给Dennis...shit的配音shit啊！！            
(1星)	 实在洒狗血这戏            
(5星)	 这年头竟然还有能让人穷追不舍的青春戏。值得推荐。            
(1星)	 这种电视剧 怎么可能存在？这是幻觉啊！            
(3星)	 湖南的编辑真的太没有创意了。            
(3星)	 依然翻拍。好吧，谁让我就是喜欢兄妹恋。寒假电视档。            
(1星)	 李湘你这导演做的太失败了。丹尼斯这个可怜的娃，怎么会接这么个低俗的电视剧。芒果台，你可以再弱智一点么！            
(1星)	 我勒个去。。。蓝色生死恋都被你毁成这样了。。别人乔妹多水灵。。。            
(2星)	 好扯哦            
(2星)	 老妈在看，顺便看了，又是一个“单纯善良”的女主，这样的人最看不上了，切！还敢更山寨些不？敢更唯美浪漫不？            
(3星)	 我是疯了吗？我竟然觉得这狗血剧里的张翰像当年书里~我脑海里的顾小北~            
(2星)	 其实有点不想承认自己看过…            
(2星)	 总体还算工整，但天雷来自何处？这个问题还真该好好研究一下。            
(2星)	 一不小心看了芒果台一不小心我笑了 搞不好一不小心我会去重温蓝色生死恋 为了抹掉一不小心爱上你这个烂剧情            
(NA)	 我操。。。4.0很符合啊。。。            
(1星)	 长假绵绵，耐着性子陪老妈看了一晚上的肥皂剧，看到凌晨两点实在受不了，直接从第10集跳到最后一集，然后就悲剧了，原来结局还远未结局。做烂片不难，但难的是可以如此的烂出风格，烂出水平，实属不易啊······            
(5星)	 五星给了青岛            
(1星)	 就是吧，我看了几秒钟果断的知道了抄袭了蓝色生死恋，就是芒果台抄袭的山寨的已经如此出神入化了= =            
(1星)	 一不小心雷死你。。。。想起来就胃痉挛。。。请问打分能有负的吗？            
(1星)	 傻逼芒果台，去SHI吧！            
(NA)	 麻痹我喜欢的丹尼斯吴你演这种垃圾！！！！！！！！让我说什么好！！！！！！！！            
(1星)	 要抄也抄全了么。翻拍也行，不说啥了，但剧本为啥还要改。这个结局，太扯了。看一半就不想再继续看下去了。还是蓝色生死恋经典。            
(3星)	 能拍点符合中国实际的片子吗            
(3星)	 张翰还能看。以后演点别的吧。            
(3星)	 三颗星全部都给你。我喜欢的你。            
(2星)	 看不下去了看不下去了 好吧 我是为了李湘看得 整部剧除了米粒比较好看 真得不知道还有什么好看的 什么原因啊 是演技烂还是拍得烂 电视剧能拍成这样 还真是堪比一起去看硫酸雨 不不不 那个都比这个好             
(1星)	 ！没看过！冲着这剧情这演员这制作频道，我就该把我所有的口水献给你。呸。亲爱的芒果台，咱能不能不山寨了。放过广大的大陆同胞吧。这世上死法千钟万种，为毛我们偏偏是被雷死的？！            
(1星)	 唉            
(1星)	 还一不小心 这是万分故意吧            
(2星)	 每次看到张翰，都想起我男人......尼玛！！！            
(1星)	 正是有我这种人的存在，芒果剧才有人看！我想了下，还是半星给田家达，半星给男二。么么哒~            
(1星)	 海边相逢的那一刹那，我还以为楠竹瞎了，这么面瘫，观众我鸭梨很大▔▽▔ ！            
(4星)	 在芒果台的反复重播下 勉勉强强也算看完了吧 我觉得还好哦。。。。咩            
(1星)	 垃圾的定义衍生为芒果台的雷剧            
(1星)	 丹尼斯吴。缺钱的话号召大家为你捐款啊。我现在还记得考试前一天晚上芒果台首播。我还看了第一集。omg这是我考研差2分的缘故吗？            
(1星)	 果断1星            
(1星)	 老妈看所以我也被迫的看了，严重抄袭人家蓝色生死恋，哎~~~~~~            
(1星)	 丹尼斯·吴就这样被默默毁掉了。唯一的星送给丹尼斯·吴。            
(1星)	 为了迎合相亲男的喜好而找来看的，只为有个共同话题。但天杀的，看了一集半后实在看不下去了，简直就是在自我摧残！            
(1星)	 各种恶到屎的桥段啊，芒果台就是要将小女生烂俗滥情用到屎才甘愿，奇葩，这样的电视台竟然还可以存在，还有人看得下去竟然，演得下去都是个奇迹            
(NA)	 陶慧敏 翁虹            
(3星)	 山寨生死恋            
(NA)	 一颗都不想给。我靠,那个监制怎么剪辑的片子?毫无逻辑可言!!还有那个结局？谁给我解释一下!!!芒果智商之“高”非吾辈能理解！            
(1星)	 湖南台誓要将雷剧进行到底啊！            
(1星)	 我真的不知道接下来怎么接招翻版还珠，绯闻女孩…我的小心脏            
(1星)	 下辈子你想做什么 我想当一片海…… 我靠……            
(1星)	 之前看到有人说专门注册号来骂，受到启发。最想说中国那么多人，那么多人背后有那么多小孩，就找不到一个演他们幼儿时期的？？？            
(1星)	 一颗星是冲着潘之琳去的……            
(2星)	 受不了了。各种低分            
(1星)	 一不小心爱上你妹（哎呀剧透了）            
(2星)	 小翰翰不要再演翻拍剧了好不好。两颗星给张翰略有进步的演技。            
(NA)	 = =陪初三的表妹看。她看得不亦乐乎。            
(2星)	 雷焦我了~~~丹尼斯吴为嘛要自毁形象啊~~~张翰~~~~果然还是要和郑爽搭档啊~~~            
(1星)	 新蓝色生死恋            
(1星)	 看到我妹在看，不小心瞄到一眼，到现在还没缓过神来。就算剧情烂不能找个好看的女猪脚么？那张包子脸恶心死我了。。。            
(NA)	 哎...如果这些人不说话就好了。。。            
(1星)	 昨晚看到3点终于快进完了。女一号从最开始的人见人爱到最后觉得玩弄感情浪费大家时间，这是编剧的败笔。相反女二号的率性演出还算真实，但后来的转变缺少内心戏，觉得变化太快。个人最喜欢男一号，不论演出还是编剧。我再次修改，发现编剧还是挺博学的，都抄到《两小无猜》上了            
(1星)	 芒果个翻拍垃圾站，毁了丹尼斯            
(3星)	 根本无法堪比蓝色生死恋！ 我就是想看下张翰            
(1星)	 这样的山寨剧有啥意思芒果台彻底失去了存在的意义。这年头学编导然后被潜一下这样的剧本就能拍成电视剧了。            
(1星)	 我日= =好好地张翰就被毁了。            
(3星)	 女二号不错。她肯定能比女一号火，跟《红苹果乐园》似的。            
(3星)	 芒果台在放。。就看了。。纯属看帅哥- - 剧情很韩剧。。            
(1星)	 玛丽隔壁的，剧设是怎样，12岁，那胸部比我21时都丰满N个CUP，丹尼斯吴是有多想不通啊啊啊啊！！！！！            
(2星)	 蓝色生死恋的山寨版，又顺便结合中国国情，扯上了上一代的恩怨。            
(1星)	 去死好吗 !!!             
(3星)	 丹尼斯吴值得三颗星~            
(NA)	 在家无聊看了几集~还说原创 不想给星给你了~ 不过那谁好帅啊~男女主角把韩剧每集都是哭相的脸的习惯学的很到位...            
(2星)	 相当囧剧。。。。            
(1星)	 都不好意思承认我看过。。。无奈那段时间电视坏了 舍友抱着电脑 只好一起看了。。靠。。一科星都嫌多了啊！！！ 这科星星是给丹尼斯吴的！！！！            
(3星)	 我居然看完了。            
(2星)	 这个终于完了！！！我要继续陪我妈看湖南卫视晚间十点档么？？？？            
(2星)	 以前看《蓝色生死恋》是演员刚酝酿，我就眼泪泛滥了；现在看这个是演员哭得死去活来，我还找不到泪点。不过在芒果台所有的自制剧里面，这一部算是稍微好点的了。            
(1星)	 怎么能这么毁丹尼斯吴…            
(NA)	 严重玷污了《蓝》在爹心中的伟大形象 大宋程亮的大光明！小宋倾心的中分！我艹！阿呸 张翰吓的爹 经。流。 满。裤。一。点。不。夸。张。             
(3星)	 蓝晴晴太贱            
(NA)	 好销魂啊！！！！！！！芒果台延年益寿！！寓教于乐！！家庭常备！！            
(1星)	 新蓝色生死恋 新你妹妹。。            
(1星)	 受不了，剧情拖拉，没悬念没新意，前面勉强还能看看，之后实在看不下去了。            
(3星)	 我喜欢丹尼斯吴，哈哈            
(3星)	 一颗星给张翰和丹尼斯 一颗星给潘之琳和江铠同 一颗星给我认为还挺好听的主题曲…可是又必要吗潘之琳那角色太太太太太让人接受不了了。江铠同未免纯情过头了吧。            
(1星)	 打“很差”居然没压力。其实，这样的电视剧也是需要的，当你心情不好的时候，可以边看电视边骂来发泄，这样有助于心理健康。另外男二帅哥，请问您很缺钱吗？            
(1星)	 垃圾啊！！！！！！！垃圾啊！！！！！十足的垃圾！！！！！！            
(1星)	 丹尼斯吴！！！！！！！！！你叶子飞高了吗？！！！！！！！！！！            
(NA)	 完全无语 一颗星都不想给            
(1星)	 没有最狗血 只有更狗血 一星是给化妆师和摄影师的            
(1星)	 抄都是需要水平的！！！！！            
(2星)	 太雷了，女猪脚太丑了吧？？            
(1星)	 完全没演技的电视剧，各种狗血各种烂俗各种装可爱装深情……假哭假笑假纯真假亲情。            
(NA)	 同样的结尾，人家《魔女的条件》就可以拍得那么美！            
(1星)	 你绝对是故意的啊混蛋!拿雷人当风格了吧!!!!            
(3星)	 20110118放假无聊到看这个了。。好水哦 可惜我继续看。。。丹尼斯还是很帅的。。            
(1星)	 女主实在太难看了，明显整容不成功嘛            
(2星)	 雷的里焦外嫩的            
(NA)	 公布我在看它是需要极大勇气滴……            
(2星)	 一不小心看到的。。。冏死我吧。吧吧吧吧。。。            
(1星)	 给你丫一星都是多的            
(1星)	 一分为阿姐的名字。张翰你凭什么打败丹尼斯吴呐！喂说到底丹尼斯吴你为什么要搅这趟混水啊！            
(1星)	 肿么没有负分！被芒果从头忽悠到尾，&lt;今生今世&gt;真的一遍都没有！！！太让我桑心了。。。。。。还有这结局实在是太脑残了，甭跟我说是开放式结局，姐不吃这套，现在不会拍电视的怕被观众骂的才搞分开放式结局好吗？            
(3星)	 说真的，这部山寨版蓝色生死恋剧情确实有很多漏洞且逻辑混乱，但我也确实看的很带劲。╮(╯_╰)╭丹尼斯吴挺帅的，演米粒的潘之琳也很漂亮。嗯。            
(1星)	 这种剧是真心烂啊……姐看过的最烂翻拍剧，没有之一……演员演技太差了吧，完全不得要领啊……李湘的品味真堪忧……            
(1星)	 这个是真他妹子的难看啊！            
(1星)	 奇怪的电视剧            
(3星)	 有期待，看了一般。            
(2星)	 除了张翰和丹尼斯，一切的一切都很烂。            
(1星)	 不说什么了～            
(3星)	 bug            
(NA)	 我操 鞋拔子脸            
(1星)	 去你妈的            
(1星)	 看了一丁点，这叫剧么？            
(1星)	 我居然看過==            
(1星)	 看过两集，呃，怎么说呢········            
(5星)	None
(1星)	 一不小心爱上你，爱上你妹！            
(1星)	 哥哥。            
(1星)	 我一不小心就他妈砍死你。            
(3星)	 画面很美没剧情，不用和韩剧比。            
(4星)	 你无声无息 涌入了我心底往事 却散落了一地我从未留意不小心爱上了你可最后却要保持距离——当初看这个是因为片名？那首歌？兄妹。。。。。            
(2星)	 丹尼尔怎么就演了它。。            
(2星)	 白瞎了丹尼斯吴            
(2星)	 哎，生活无聊到看2B偶像剧度日了...引用剧中一句台词“谁才是天下最可怜的人？ ...我才是...”            
(1星)	 台词堪比琼瑶阿姨，情节发展速度向韩剧致敬，女主JP得清新脱俗，有个帅帅的丹尼斯吴却活生生拍出一股城乡结合部的味道！看蓝色生死恋是伤心，看这个那是绝望！真是源于生活而脱离生活，山寨的永垂不朽啊...            
(NA)	 看了五分钟，万恶的芒果台，丹尼斯吴，你不用这样吧            
(1星)	 这个片子除了整体画面颜色很漂亮和男二长的帅以外其他的全部烂的无与伦比。如果你没看过，强烈建议你别闲着去看一遍真的超浪费时间。            
(2星)	 张翰老拍这类剧情，还有丹尼斯·吴。。            
(3星)	 主题不错，架构还行，江铠同还算纯……            
(2星)	 这年头编剧的钱真好赚。叫你抄叫你抄。             
(2星)	 纯为了DENNISOH            
(1星)	 一不小心踩地雷            
(1星)	 新蓝色生死恋 这名字太有学问了，应该叫《翻蓝色生死恋》，这绝对是那种，光看片花，就能知道有多烂的极品，不过，可喜的是，剧里人的名字终于正常化了            
(1星)	  = =            
(3星)	 最后走到一起了？我怎么记得是秦朗躺在床上手抖了两下。。。剧情是蓝色生死恋的，主角名字还和人家秦朗撞了==还是为了张翰看的啊。。。            
(1星)	 说真的，张翰真的很丑很丑好么！！！！！！！！            
(1星)	 江铠同长得太丑了，我看了3集就呕了......简直是侮辱了丹尼斯吴。            
(NA)	 自插双目            
(5星)	 赞，翰拍的，就是不错！！！            
(1星)	 尼玛女主角胖子男主傻子直接瞎了我的眼            
(1星)	 嗯            
(2星)	 练题时拿来看的消遣剧 女主有够装 ..             
(1星)	 故事情节真实烂到爆 抄人家剧情也不会好好改编一下 改得乱七八糟 最恶心的就是 自己配音 难听的要死 而且一点感觉都没有 张翰声音是有多难听 干嘛每次都配音啊            
(3星)	 音乐不错~~~            
(1星)	 恶心死人不偿命啊，就你妈长成那样还想学宋慧乔啊？啊?啊？啊？！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(1星)	 芒果台真不是个东西            
(1星)	 就这一星也是给丹尼斯吴的            
(1星)	 我QNMLGB的新蓝色生死恋。芒果台还能不能再不要脸一点了。江铠同去到哪里演到哪里。老子就想吐槽到哪里。            
(1星)	 芒果台已经无耻至极了。贱的极致就是明知自己贱还接着犯贱，这就是芒果台的台语！！！            
(1星)	 亲爱的，请不要顶着仙道式微笑接这种烂剧，求你了o(︶︿︶)o            
(1星)	 垃圾！！！！！！！！！虽然我没看            
(3星)	 哈哈，抄袭无罪，关键在收视率，芒果好样的            
(1星)	 真的没见过比这个更傻逼的了            
(1星)	 弱智外加 白痴            
(1星)	 为了看丹尼斯才看了几眼，好后悔啊~~            
(1星)	 无语到极点了，雷到家了。弃之            
(1星)	 没有丹尼斯吴谁来看？  细节处理和演员演技真的很差很差，不炒作谁知道？            
(1星)	 我表示很无力 悲催的丹尼斯吴            
(2星)	 难看死了！！！女主角完全无爱！！            
(4星)	 国版的蓝色生死恋             
(3星)	 挺烂的一部片,可就是跳着一点一点看            
(3星)	 和阿饼在宿舍演过女主的经典段子“我最喜欢的五个人”，尼玛 当年我肿么就叫得出口“哥~哥~~”呢？！！            
(3星)	 没那么差吧，施昂长得很不错。。。偶不是外貌协会的==            
(5星)	 张翰好帅            
(1星)	 男主角和女主角演得很差~~他们的爱情不明不白，更多给人的感觉是乱伦~~而不是超越界限的爱，他们每一次与别人的约会前，都会跑到海滩私会（无论这边忙成什么样都回去海滩），正常人会觉得他们好贱~~            
(1星)	 噗···芒果芒果我爱你            
(3星)	 每个角色都跟原版没法比啊            
(2星)	 似乎芒果出的剧总是让人不待见啊            
(4星)	 爸爸都能猜到下面演什么.....            
(3星)	 就看看抑郁了的张翰            
(1星)	 看见张翰我就肝疼。            
(NA)	 ◆◇ 、單純的莪，總是為罘值得留戀的愛情而哭泣。◆◇ 、單純的莪，總是為罘值得留戀的愛情而哭泣。            
(2星)	 丹尼斯至此贵族气荡然无存。。。            
(2星)	 copy剧。。            
(3星)	 结局依然如此            
(1星)	 嗯，如果丹尼斯演男主我就考慮看一下，可惜不是            
(3星)	 干嘛找丹尼斯吴演这种角色哇！！！。。。。。。。。气愤            
(3星)	 比雷阵雨好点。。。女的好看点。。。我纯属无聊看的。。。给仨星吧。。哈哈            
(3星)	 好吧，我承认，我恶俗了。。。            
(NA)	 这些演员有这么缺钱么= =            
(2星)	 没给最差 是看在丹尼斯吴的份上            
(2星)	 山寨版蓝色生死恋啊， 不过丹尼斯还是挺养眼的~            
(NA)	 太逼人了- -            
(1星)	 我妈一直觉得玩电脑比看电视要糟糕，于是放假那段时间都要把我从电脑前拖走拉去看芒果台= =  而那时正好在播这个，被强迫着看了个大概吧。。            
(1星)	 可以评价0颗星不            
(1星)	 我这一颗星是给剧中音乐的！            
(1星)	 打死也不他妈的看芒果台啊，就是为了打个一星而已。            
(NA)	 代我妈吐槽句：太难看了            
(2星)	 各种重复            
(1星)	 把老掉牙的剧情全穿在了一起，还真难为这些演员了，要从第一集哭到最后一集╮(╯▽╰)╭            
(NA)	 丹尼斯吴芒果台给了你多少棒子钞票你居然跑来演这种剧！            
(3星)	 景、歌还不错，其实我想说，如果能原创一个，会更好。            
(2星)	 还真是不爱看呢~            
(2星)	 二星给不一样的张翰~不同于流星雨的张翰~            
(1星)	 煞笔剧情 煞笔才喜欢 丹尼斯吴没脸见人了            
(1星)	 这年头编剧的钱真好赚。叫你抄叫你抄。            
(1星)	 去你麻痹的生死恋吧 原版已经够狗血的了还想继续添点积雪 我了个去去去去去去去            
(1星)	 最近又看下蓝色生死恋，于是乎顺便单纯给个分            
(2星)	 囧            
(NA)	 真的只看一集，在火车上，然后。。。是在觉得女主太路人。。            
(1星)	 太恶心了。。。            
(2星)	 老妈说芒果下部估计就要出《一不小心又爱上你》、或是《一不小心还爱上你》 哈哈老妈都找出规律了 芒果啊你毁了我的丹尼斯... = =            
(3星)	 风景漂亮，应该是没长大的小女孩爱看的电视剧，让她们相信着白雪公主的故事，至于猫猫公主，哥哥这些酸到牙疼的句子，大概也只是情窦初开的少年的胃口。只是很宽容的去看，相信美好和爱情。            
(NA)	 里面的歌很好听            
(3星)	 蓝色生死恋，有的台词都一样！嗷嗷嗷嗷嗷            
(3星)	 我妈喜欢晴晴。  我觉得丹尼斯吴在金三顺里面很可爱            
(1星)	 求求你了芒果台，不要再这样子好么？            
(1星)	 丹尼斯吴很帅            
(1星)	 汗汗衰屎了~~~            
(2星)	 唉，只是冲着丹尼斯吴去的。。。没意思            
(2星)	 无语。。。。            
(1星)	 陪着11岁的妹妹看的，折磨啊。。            
(1星)	 实至名归的1分啊哈哈            
(1星)	 美丽的青岛啊~~~            
(1星)	 江铠同长得丑死了，台词也俗不可耐，不合逻辑            
(3星)	 好吧。其实比较流星雨和宫，他值3星了            
(3星)	 蓝色生死恋翻版，个人比较喜欢江铠同饰演的秦晴            
(3星)	 ……是不是买版权了？            
(1星)	 导演你脑子有毛病，这些人不是傻子。你要是想说看电视剧的都是傻子，那你继续拍你的，今后打死也不看你拍的，            
(3星)	 爱情神马滴终究得向生活妥协才行，感情不能优柔寡断            
(3星)	 喜欢张翰，喜欢蓝色生死恋，才看这部剧。拍的很美，但并不感人            
(2星)	 湖南卫视最难看的一部剧集！比的上台湾的篮球火！            
(2星)	 芒果台的山寨偶像剧。给了两星完全是看我家丹尼斯吴的面子            
(2星)	 四星给前三分之一 又因为后三分之一的犯贱与猥琐强势减半            
(1星)	 浪费时间            
(1星)	 前段日子，偶尔在电视上面换台的时候恍到了，看了一小会儿，就发现不对，到处都是抄袭的痕迹。其实没看，就是忍不住上来给个差评，本想不给星星的，怕以为默认的没评，所以给了一颗。            
(1星)	 。太烂了..。            
(1星)	 又名: 新蓝色生死恋！！！！！！！！！！！！！！！！            
(2星)	 丹尼斯吴~你何苦啊！！            
(1星)	 狗血            
(3星)	 这是童话故事片~            
(5星)	 张翰、江铠同、很幸运遇见你们。演得很出色无论别人怎么说，依然很喜欢            
(1星)	 一不小心爱上你   就不能做个结局  虽然是克隆的 但前面演的还行  结尾那是什么啊 ‘失望             
(2星)	 哎，妈妈在看……            
(2星)	 蓝色生死恋= =我是有多无趣…            
(NA)	 天雷滚滚啊。不过丹尼斯吴还是灰常帅气难以抵挡… 不过、元彬在做什么？            
(1星)	 真的很狗血。張翰沒怎麽氣質。            
(1星)	 不让别人知道这次收藏            
(1星)	 芒果台不要总想着来考验在下的奇低的笑点好么 OTL            
(1星)	 太垃圾了，烂片，女主角一张苦瓜脸，像是有人欠她钱似的。总之就是烂。            
(1星)	 MB我冷静了很久才过来给差评的。            
(2星)	 温虹亮点            
(1星)	 天雷滚滚            
(2星)	 新蓝色生死恋…一不小心雷死你...            
(2星)	 看不下去了            
(2星)	 故事无聊，青岛的景色还是不错的！            
(2星)	 老妈在看的时候我给她剧透蓝色生死恋。            
(5星)	 完全为了张翰给五星！！！            
(2星)	 这是赤裸裸的《蓝色生死恋》的山寨版哪……而且，演员表演也太本真了吧，这叫演技么？            
(2星)	 闲在家里看了看，剧情雷得人飞起。男主：贱！女主：至贱无敌！男二：傻。女三：傻透！女二：坏。但坏的本真。真想把女一男一两巴掌扇死，又虚伪又矫情又恶心。给两分是看在丹尼斯吴的颜上。            
(3星)	 陪妈妈看，虎头蛇尾，戛然而止。看得挺郁闷的            
(2星)	 张翰有颜没演技，女主酷似陈乔恩，女二极具慈母相，丹尼斯吴你彻底杯具了，翁虹你和女二有的一拼，女主的癌症移到女主妈身上去了，各种狗血不解释。            
(1星)	 抄  我叫你抄。。。啊呸 真不好意思我还赏脸看了几集。            
(3星)	 是脑残剧····张翰是有够丑···爱情一点都不感人还不如亲情·····不过看在我不讨厌女猪和男二的份上···恩            
(2星)	 好吧，娘亲拉我一起看的。            
(1星)	 芒果台毁了丹尼斯吴和张翰啊啊啊啊啊- -            
(2星)	 本来这只能拿一星的，或者负星吧            
(1星)	 煞笔剧情 煞笔才喜欢 丹尼斯吴没脸见人了            
(NA)	 为了看丹尼斯吴，只好暂停大脑转动地看这破剧。青岛的风景拍得还不错。就当是看丹尼斯吴的动态写真和青岛风景片吧。。。。。            
(1星)	 这年头编剧的钱真好赚。叫你抄叫你抄。            
(1星)	 没看过。。。但实在忍不住评个分            
(1星)	 1.尼玛编剧的钱也太好赚了你抄啊抄啊2.一颗星给dennis            
(NA)	 被小表妹拉着看。她不停说张翰好帅。            
(3星)	 幸福就是以爱的人的幸福为依附            
(3星)	 湖南台有神马不敢翻拍的？！            
(3星)	 除了剧情已经知道了这个翻拍的缺憾外，其它还不错，张翰和丹尼斯吴不同类型的帅，音乐和画面很唯美，深情的感觉蛮感动的，几个女角色的演员看的不是很顺眼，翁虹好美的妈妈呀~~            
(1星)	 雷。。。囧。。。。⊙﹏⊙b汗            
(1星)	 这部电视大大破坏了蓝色生死恋原本的美好的形象，张翰的演技怎么能够和宋承宪比，破电视            
(1星)	 马桶台能不再折磨经典 不再折磨我了么。。。            
(3星)	 其实除了雷点，我觉得进步已经大了很多了~~但是芒果台的各种还是不敢恭维~~            
(2星)	 这是第一次为了一个男人的颜看了一部烂戏，虽然全是快进的，但也时不时地吐了。一颗星给青岛，一颗星给丹尼斯吴，每当镜头从施昂切换到秦朗我就有一种看到大海的感觉。            
(1星)	 陪老娘看的，从开始演就算什么时候下档，痛苦。。。            
(1星)	 对于这部片我抨击的不是山寨。。。个人觉得电视台完全应该封杀。。。广电总局现在干什么吃的了，被芒果台翻拍后完全是不乱伦片啊，从小时候的回忆，那对兄妹会说我这辈子最爱的五个人：五，是欺负我的哥哥四，是怎么怎么着的哥哥，以下雷同。。。这情景看了的同学都知道是怎么出现的，看得我都要吐了            
(2星)	 可惜了这些脸袋儿            
(2星)	 在西南小镇的医院单间里，边照顾pp边看的这剧。给两星是因为看这剧确实有助于打发痛苦无聊的时光，完全不用大脑不说，还可以边看边笑边骂。一句话的总结就是，还能再山寨再狗血吗？            
(1星)	 一不小心雷死我~~            
(3星)	 BS抄袭+山寨            
(2星)	 男二控~            
(1星)	 心碎            
(5星)	 放眼望去一片中差评...你们也太没有喜感了...本片的搞笑和雷阵雨绝对不是一个段位的,请以geek的眼光来评判它!它很有趣!写到这里我决定把四星评价修改为五星.因为...暂时没有发现比它更能让人各种不适的神作...            
(2星)	 一颗星给丹尼斯吴，另一颗给米粒            
(NA)	 难得一见的造作            
(1星)	 神马玩意            
(4星)	 施昂真是惨啊~~~            
(2星)	 TMD   完全是抄袭蓝色生死恋 两星是给丹尼斯的当初看蓝色生死恋的时候我简直就是内牛满面,,,看这部什么感觉都没有            
(4星)	 太喜欢施昂了~~~!!!            
(1星)	 唉，这片            
(2星)	 看了第一集前10分钟，最后一集拖着快进看完了。呃，好假啊。            
(1星)	 我又犯错误了，杂劲的一集接着一集看，到结局的时候发现被耍了— —  不过丹尼斯吴是真心帅。。其他就不说什么了            
(NA)	 丹尼斯毁了。。            
(NA)	 不如换赵宝刚来导挖            
(4星)	 支持！            
(2星)	 只看演员，不看剧情~他们是怎么找上丹尼斯吴的？？？            
(2星)	 多的一颗星完全是为了丹尼斯吴  完全毁了我心中的原版            
(3星)	 给丹尼斯吴和张翰两帅哥的三星            
(2星)	 张翰还可以啊            
(1星)	 这属于两眼弃            
(4星)	 虽然剧情还有些欠缺，但绝对是国产偶像剧的精品了，拍的很唯美，演员男的帅，女的靓，包装也很不错了。            
(1星)	 晴晴和施昂结婚时，晴晴妈看样子情况不太好。看到这里我扭头对我妈说：“以后这俩人的结婚纪念日就是晴晴她妈的祭日了。”我妈囧然：“那好倒霉哦！”            
(3星)	 施昂必须要和晴晴在一起！！！ 这样的结局我很不满意！！！            
(2星)	 喜欢丹尼斯吴 不过话说这个片子的剧情有点烂有点扯==!            
