http://movie.douban.com/subject/2153598/	欲望都市  第三季 Sex and the City Season 3
(5星)	 13 JAN 2011。真心觉得这样四个闺蜜和四架电话留言机的生活很有爱 而且这一季刚好里面遇到的问题 比如前任诸如此类 和我的心境不谋而合 虽然没有具体可操作到位的建议 但是被说中一点一滴而且到心坎儿的话还是挺曼妙的感觉 二十分钟放到哪个空隙都可爱。            
(5星)	 excellent！            
(5星)	 嫉妒厌恶凯利和BIG。            
(3星)	 斯蒂夫，他一笑...就不行了...哈哈哈哈            
(3星)	 自从美剧进入冬歇期我就很暴躁。。。。            
(4星)	 你看的不只是帅哥美女电视剧，你看的是一种生活态度，生活方式，里面你总会找到自己的影子，以及那些你想做却始终不敢做的事儿~            
(4星)	 居然一直没更新这个            
(5星)	 第三季，有人结婚了，也许最终他们都会一个个的步入婚姻的殿堂。这一部让人又心酸和温暖的感觉了。            
(4星)	 carrie这季好讨厌竟跟big搞婚外情，Adam对她那么好！！！            
(5星)	 说了是这个是经典嘛~鼻祖啊~            
(5星)	 封面还真是一季比一季烂            
(NA)	 看了这部剧，学了很多东西。而我也很悲哀地发现，年轻时没有经历love是多么遗憾的事，似乎自己的成长中少了很重要的一块，不去多接触接触，真的不知道自己要啥样的，适合啥样的            
(5星)	 好看            
(4星)	 很喜欢凯莉的独白声音，还超喜欢凯莉的房子布置，很希望自己也能拥有这样的空间，剧中的服饰也是相当得漂亮～不过这季发觉凯莉和米兰达老了好多哦，凯莉不能再瘦了，很容易老，反而是萨曼莎和夏洛特越来越漂亮了。这季的中间很讨厌凯莉，艾登如此得呵护她，而她真是一个十足的bitch！！            
(2星)	 从这开始讨厌Carrie            
(4星)	 可以学习着装，一些好的生活方式，练习英语            
(5星)	 拥有足够的物质 却没有一个在生病感冒时帮你修窗帘的男人  会很可悲么？ big不再优雅不再绅士不再迷人了            
(NA)	 ★★★★★★★★☆            
(5星)	 连我都开始看欲望都市了。。真的老了吗？            
(NA)	 经典又直接 四个女人 四种典范             
(5星)	 第三季            
(NA)	 摸着CHANEL对我发誓            
(3星)	 Carrie太贱了太贱了受不了了，毁完Big毁Aidan然后再去毁Big尼玛这还有完没完啊！！！            
(5星)	 依然经典！            
(5星)	 carrie真是，看得我特心疼艾登~            
(5星)	 前段时间再翻看了一下，一样很正点！            
(5星)	 这季蛮好看的，相比第2季            
(5星)	 挚爱            
(4星)	 四个单身女人，各具特色，各有看点            
(5星)	 Our Bible.            
(5星)	 爱死这部剧            
(NA)	 及其厌恶carrie.......人就要学下samantha的洒脱            
(5星)	 funny and sexy            
(4星)	 喜欢米兰达和萨曼莎            
(4星)	 carrie越来越不招人喜欢了，米兰达这一季变成我的最爱了。            
(5星)	 很喜欢凯莉，后来看他上ellen（也是个女同哦~）的节目，喜欢这样的女子~            
(5星)	 六季还都是从大学同学那儿倒过来的呢，看完了一直存在硬盘里，时不时就翻翻，结果男友为了他的狗屁游戏没问我意见直接给删了，为此大吵一架！            
(5星)	 I l o v e  t h i s   tune !            
(5星)	 继续关于男人，性，女人，城市的话题。            
(5星)	 独立女性教程。            
(4星)	 。。。。。都是泪点点            
(5星)	 第三季中间部分好虐，凯瑞，Big，艾登。看得心好疼。最后竟然凯瑞和米瑞达吵架，吵架都这么不安，友谊长存！！！            
(5星)	 挚爱            
(4星)	 Aiden这种男人才是上乘之选。MR。Big男人味十足但终究是水中月镜中花。            
(5星)	 欲望都市四人组最珍贵的财富就是他们拥有的彼此。            
(5星)	 @这样很好 说：欲望都市里都说律师和医生是最吃香的男友。【到底是谁说的？！】【摔】            
(5星)	 特别喜欢Carrie！            
(5星)	 wanna my DVD back so so so badly            
(NA)	 big实在太猥琐了            
(5星)	 这一季煽情了            
(5星)	 爱在纽约，性在纽约，时尚在纽约，闺蜜在纽约。女人永恒的宝典。            
(3星)	 喜欢夏洛特的衣服！！17集里的警察蜀黍好销魂！！！Carrie和Big就是一对世纪贱人！！！！烦死Carrie做作又虚荣的老脸了！！！！            
(4星)	 說真的我對凱莉厭煩了，big就是個混蛋啊拜託。//夏綠蒂真的好漂亮。            
(5星)	 承诺，是动力还是束缚            
(NA)	 18集            
(3星)	 Sarah Jessica Parker越看越丑啊……            
(3星)	 carrie直着脖子跟人吵架的样子真心不可爱            
(5星)	 心头大爱            
(4星)	 太性感了            
(5星)	 成长！            
(4星)	 好喜欢Aden啊！谁来拯救我的三观，看到carrie和big cheating那几集实在恨不起她来……还是很好看。越来越爱这四个女人了。            
(4星)	 不喜欢女主~~！！            
(5星)	 这一季真是好            
(4星)	 嗷嗷烦Carrie            
(5星)	 Steve挺nice，但是这季的Carrie让我不喜欢了，为什么要这么对Adam呢？顺带着一起不喜欢Big了。            
(2星)	 非常纠结的一季，甚至有冲进去扇主角耳光的冲动。            
(5星)	 开头有些让我乏味 不知道为什么 可能是太密集 停一下 再看吧 看到中间 看到最后 我发现最在乎的 是友情            
(5星)	 如果你是单身，全世界都是你的            
(5星)	 虽然很多人不喜欢杰西卡•帕克的大长脸，我还是认为这是能排上我个人最爱美剧前三的~~~每年夏天都会翻出来重温一次。女人，要多爱自己！            
(4星)	 每一个女人心目中都住着一个Carrie.            
(3星)	 开始讨厌THE BIG，可是艾恩这种男人真的那么完美吗            
(4星)	 开始棒了            
(4星)	 carrie和BIG的纠结一直继续着  大家的“运动”也一直继续着 大道理 恋爱的道理 也一直继续着…            
(5星)	 只是想找个对的人在对的时间一起生活下去为什么也这么难啊？在挑挑拣拣寻找爱情的过程中一不小心就会变成大龄剩女。问题在于你愿意将就找个人凑合着过了还是选择坚持寻找并等待Mr.Right？            
(4星)	 对着Carrie的不带感，和对Samantha的欣赏，继续看            
(5星)	 没办法，每一集都是全新的一个故事。            
(3星)	 终于等到&#34;Zack&#34;，但是，我弃了。            
(4星)	None
(4星)	 Mr.Big总不给真名有啥意思？难不成叫憨豆            
(5星)	 carrie的花裙子挡不住岁月            
(5星)	 其实这四个女的里面没有一个是特别让人喜欢的。不过合在一起就很精彩            
(5星)	 崔实在是很丑。。            
(4星)	 c越来越BITCH了            
(4星)	 每一集的主題都很特別，相比起了性，四人間的友誼更值得一看，蠻羨慕她們間的默契。            
(5星)	 很讨厌CARRIE欲罢不能 不能控制自己 又去招惹ADAM            
(5星)	 大爱            
(4星)	 真心喜欢MR.BIG            
(5星)	 温故知新            
(5星)	 当Karry说，和一个只约会一个星期的人想sex的时候，那个男人说，他只说想和一个他关心的人约会，而不是sex，Karry忽然想到了的就是Ronmance。对，是恋爱。五星            
(4星)	 同性恋”闺蜜“很有意思。            
(NA)	 分分合合的故事。            
(5星)	 欲望都市前两季只是个过渡。第三季才切入正题。第三季的最后一集里她们三人一起走调的唱着&lt;the way we were&gt;萨曼莎一片愕然。凯莉像电影结尾那样对MR Big说，you girl is lovely,Hubbell.后来又去看了那部电影，更多的是在看一种情怀。            
(5星)	  不错 值得一看！            
(4星)	 感觉是很久以前看的了             
(5星)	 能说什么呢,女人必看的经典,!!            
(NA)	 第三季            
(5星)	 经典不解释            
(5星)	 最爱的美剧，没有之一。            
(5星)	 一直的经典            
(5星)	 完整的看一季是一次愉快的体验，在突然没有任何其它事情能给压力的情况下。sometimes            
(4星)	 终于，凯莉和MR. BIG 不再是以眼泪结束。终于！即使不在一起了，但起码是开心的屋顶派对            
(5星)	 很好看            
(4星)	 撇开sex有很多不错的道理            
(5星)	 这季里carrie和big这对可真贱啊。。            
(5星)	 我爱carrie            
(5星)	 能找到爱你的人真的很不容易，伤害爱你的人却很容易            
(4星)	 太早前看的了~~~~都忘了是什么内容。。。只记得对当时刚上大学的我，是个不小的冲击~~哈哈            
(4星)	 看看还行            
(4星)	 这季是至今偶花的时间最长的一部，前前后后一年半，龟速进程（平均大概一个月一集），不过看到后半程来了劲，瞬间补完~            
(5星)	 凯莉： 要找到发生什么都爱你的人不容易  我找到了3个  艾登 I LOVE  YOU             
(5星)	 越来越觉得Carrie是个笨女人，她的不幸都她自己造成的。可是在爱情里谁又能一直保持清醒呢。            
(5星)	 看过            
(5星)	 为了Samantha，继续看。            
(4星)	 后来喜欢夏绿蒂的单纯              
(NA)	None
(5星)	 看了两遍。我的时间真多。            
(5星)	 S&amp;C            
(4星)	 我喜欢萨曼莎的性格！            
(3星)	 samantha太彪悍了。            
(5星)	 大爱大爱！            
(4星)	 大三。            
(5星)	 Carrie和Big的重新纠缠让人难受。。。            
(5星)	 凯丽在中间开始就极其招人烦，极其极其招人烦，cheater！！！一开始是打三星的，最后还是力荐吧 ，太喜欢了！！！            
(5星)	 没有理由，已经在看第4遍了。。。            
(5星)	 我喜欢这季  我喜欢Mr.big 我喜欢艾登 我喜欢我喜欢我喜欢！            
(NA)	 我严格意义上的第一部美剧，是你带我走入了美剧的神奇殿堂。我高中的电脑就是因为要BT你，硬盘才崩溃的。后来花20块买的盗版DVD早已离奇失踪，但是我依旧那么爱你！            
(4星)	 那样自信、美丽的活在世界上            
(5星)	 看得我纠结死了！！！            
(4星)	 开始狠不喜欢凯瑞            
(4星)	 awesome clothes            
(4星)	 learn much from it~            
(4星)	 I love Adam!            
(4星)	 看到最后有点小感动~  就是everyone live happily forever 的感觉。她们四个人的友谊，never gonna change            
(5星)	 这一季非常喜欢 珍藏了几集 和BIG纠结的那几集            
(5星)	 最后一集的最后几分钟看着心情很好~            
(NA)	 经典            
(5星)	 samantha you shake the world！            
(4星)	 原来我最喜欢的是S， 那个放荡不羁的坦诚率性随心所欲的女人， 她时时刻刻都明白什么是她想要的， 她永远清楚她的生活是什么， 不困扰不纠结            
(4星)	 学到:要找到无论发生什么依然爱你的人真不容易.很幸运我找到了三个.谁能象夏绿蒂那样只为爱结婚?凯莉和大人物偷情时我无比厌恶这一个人.一直害怕艾登受伤害.为什么女人有时候过得如此完美,还要眼睁睁亲手破坏?!还有最爱的米兰达和毫无头绪的莎曼珊.            
(4星)	 Mr. big            
(5星)	 男人而已            
(5星)	 Mr Big            
(5星)	 随时随地都可以回归的剧            
(5星)	 朋友，友谊！！            
(4星)	 我不记得是不是这一季，反正Carrie和Eden的那段看得我好不理解，为什么Carrie不能和Eden稳定下来？？但转念一想，如果能，那么这剧就不是SATC了            
(4星)	 时尚其实就是一种生活态度            
(4星)	 喜欢。。继续支持ing。。            
(3星)	 Kerry 和 mr big 好纠结            
(3星)	 看多了就没意思了            
(5星)	 《欲望都市》第三季中的查理露JJ截图，转自http://www.mensimi.com/viewthread.php?tid=503            
(NA)	 http://movie.douban.com/subject/2153598/            
(NA)	 4            
(3星)	 这一季的凯莉特别令人讨厌！            
(3星)	 还行吧             
(5星)	 我居然哭了            
(4星)	 我的仙女夏绿特历经千辛万苦终于结了婚，就不能给她一个好一点的老公吗？            
(3星)	 都不记得看了多少了。            
(4星)	 认真的不认真的。顺的不如意的。感情，不简单。            
(5星)	 唯一完整看完的美剧....            
(5星)	 看到第三季，我想说我爱这四个女人～            
(3星)	 mr big 太少戏            
(3星)	 有深度            
(3星)	 这季不太好，感觉这几个女的就是讨厌，可悲的老女人。            
(4星)	 放了好久终于看掉了。。。            
(5星)	 big大贱男！！！艾登比他好太多了！！！！啊！！！！            
(5星)	 可以学习到很多性知识和不错的口语。 i love samantha jones            
(5星)	 我最喜欢的美剧~            
(5星)	 关于友情和爱情，可以思考很多。一人一性格，你像谁呢？你可能不是典型的谁谁谁，你可能掺杂了她们的不同的性格。随着时间的改变，你的友情和爱情观有改变吗？你多了点儿谁的特质呢？看完6季，能发现，事情在变，友情观，爱情观在变，我们都在变。            
(NA)	 喜欢喜欢喜欢喜欢喜欢喜欢            
(5星)	 爱情是她们生活中的过客，友情是不变的牵绊            
(3星)	 实在受不了kerrie            
(5星)	 心目中的new york ,心目中的Manhattan.......            
(5星)	 最爱欲望都市            
(5星)	 想回头再看一遍。            
(5星)	 永远力荐 看多少遍都不够            
(5星)	 女性圣经            
(5星)	 一路追！睇到好有感触            
(4星)	 big果然阴魂不散阿            
(5星)	 大爱！！！            
(4星)	 其实是有普世价值的。            
(5星)	 is honesty the best policy in a relationship?            
(4星)	 对白和独白都很经典O(∩_∩)O~            
(NA)	 不错 艾登哪不好了哪不好了？！对samantha越来越有爱啊            
(5星)	 我喜欢这样的姐妹情~            
(3星)	 编剧是强大，看多了，有点疲劳            
(5星)	 it&#39;s not an affair, they were ex-s, that doesn&#39;t count            
(NA)	 Samantha，I love you！！！！！            
(5星)	 这是最好看的一季···            
(5星)	 專欄作家是一個多麼令人心馳神往的職業呀。            
(5星)	 第三季里面carrie的行为让我很是恼火，但谁又没犯过贱呢，当分明清楚这是在玩火。            
(4星)	 carrie的优柔寡断要不得哇，对已婚的mr.big其实不应该有留恋            
(5星)	 唯一追完了的美剧。。。            
(5星)	 下一大锅水饺一个人看SAC。有时候气愤，有时候又欲罢不能。            
(5星)	 最爱最爱SATC！！！全季看了不下6遍了！            
(3星)	 爱big不爱长发aidan            
(4星)	 看上瘾了...我喜欢Eden            
(4星)	 好讨厌这季的Carrie……such a bitch!!!好希望有人使劲地骂她，好希望从楼梯上摔下来的是她……！！！            
(3星)	 看完三我就决定再也不看了。实在太老了。            
(5星)	 你相信灵魂伴侣吗，我相信灵魂，也相信伴侣，但是其他的你就问倒我了            
(4星)	 对女主角越来越无好感，大爱Samantha~~            
(5星)	 依然是无数遍            
(NA)	 每隔一段时间再看，都有不同理解。            
(NA)	 我居然不知不觉看过这么多的。。。            
(4星)	 最喜欢的美剧 喜欢每季每集每句            
(4星)	 正在重温第三季，喜欢aiden那样的男人。            
(5星)	 看到这季，感同身受的东西多了些。哭。            
(5星)	 Don’t worry,  they have a lovely life            
(5星)	 我一直都喜欢            
(5星)	 经典。            
(4星)	 ~我爱的片子~            
(5星)	 这一季看得特别漫长            
(3星)	 看的有点儿累了。            
(5星)	 真没想到原来我曾经断断续续的几乎看过这一整季~By the way，后面的感情出轨最让我纠结~我更喜欢aiden~big怎么这么像李金斗呢？！（以及某人~）            
(4星)	 电影版显然要比连续的六季好看多了!虽然仍有SEX的渲染,但似乎更多地折射出了人对婚姻\安全感的渴望!当然,爱情之外的四人友情是多么的弥足珍贵!更当然,女性的独立也尢为重要,哪怕有了再豪华的结婚城堡,都别忘了给自己备份一处遮风挡雨的蜗居!因为,世界变化太快,人心微妙也不可言!            
(5星)	 爱            
(5星)	 Welcome to the age of uninnocent.The mind of very fashion real and no cover we should keep.            
(4星)	 一帮不屈服于婚姻的老女人            
(3星)	 无聊时随便看的...            
(5星)	 当消遣却看得揪心            
(4星)	 超讨厌carrie和charlotte            
(4星)	 瑟曼萨是最酷的女人。            
(4星)	 衣服好看啊~~~            
(4星)	 主要用来练听力了             
(3星)	 不知道为什么 就是不喜欢Carrie那高高在上的姿态 认为自己是一个不被男人征服的人 最后仅因为Mr Big的老婆把there 也成了 their 就得到了极大的满足…… 实在看不惯主角 只有弃了。。。            
(5星)	 我真的很讨厌凯莉，跟大人物在一起时总是歇斯底里，后来跟艾登在一起又不懂得珍惜，从来不控制自己            
(4星)	 要连续看六季。            
(5星)	 很不错的            
(3星)	 其实每部看起来都不怎样，可是综合起来看还是不错滴            
(4星)	 总体来说还不错，但我不喜欢女1号，最喜欢的是Samantha            
(5星)	 carrie真是受虐狂            
(5星)	 需要复习的美剧。            
(5星)	 这一季的故事很精彩            
(NA)	 好看！            
(5星)	 寓教于乐啊            
(5星)	 渐入佳境~~            
(5星)	 真的好希望凯利能跟Mr.Big在一起，18集两人斜着头看彼此，好可爱，I love Mr.Big~            
(NA)	 还是喜欢carrie            
(NA)	 四个聒噪的女人，离不开下半身的话题            
(5星)	 没有退步咯。好看~            
(3星)	 絮絮叨叨看多了就烦了            
(5星)	 carrie这集里显出了她虚弱软骨的缺点，但还是忍不住随着她的break up流眼泪，这才是个真实的有弱点的人吧。我太喜欢萨曼莎交往的那位热爱诗歌与色情业的男人了，哈哈哈。另外，我也在思考关于因果报应的问题。。            
(5星)	 2009/01/31-05/19            
(4星)	 3季12，it&#39;s hard to find someone always love nomatter what happened,but i find 3.我想 夏的婚礼对其他三个人来说 内心的冲击绝对不是一点的， 而作为伴娘的她们在红地毯上的一步一步的迈进时            
(NA)	 性里透点性什么都离不开这主题            
(5星)	 很赞，爱，其实很特别            
(5星)	 爱死这部剧了            
(4星)	 还有友情这个强大的支柱            
