http://movie.douban.com/subject/2210031/	仙剑奇侠传
(2星)	 我还是犀利的表示，真得不好看，节奏慢的出奇            
(5星)	 阿奴唐鈺小寶我最愛~~~~            
(2星)	 越到后面越垃圾            
(3星)	 就还是最喜欢酒剑仙啊！            
(2星)	 我囧，香蕉？一串红？要不是老谢，我。。。。29集开始变好看，一兮成为中心人物。男女配角个个都比男女主有看头。            
(3星)	 毕竟是仙剑，支持一下            
(NA)	 补遗            
(4星)	 配乐比剧情更出彩~            
(NA)	 对林月如极有爱。可是也许我永远做不到她那么伟大。            
(3星)	 演员很到位            
(5星)	 脑残剧也能让人潸然泪下            
(4星)	 月如～～            
(4星)	 拍出来颇扯 - - 林月如死得好无语啊            
(4星)	 2005            
(4星)	 喜欢林月如            
(3星)	 情节不行，细节感人            
(3星)	 天平女+处女男+处女女            
(2星)	 我心目中的游戏都被它篡改完了..当时发誓绝对不看..现在也没看过..            
(1星)	 话说前几集的刘亦菲把我萌得额...仙女!!! ( 咳,后面她头发就变成妇人盘,就不萌了)。            
(3星)	 架空噢            
(5星)	 有时感动的想哭。            
(5星)	 高二寒假3天刷完 奠定刘在心中霸主地位 围绕整部剧集的歌曲演员在一个阶段内起到深远影响 有些波及至今。            
(5星)	 莫失莫忘，不离不弃            
(4星)	 相比2,3要好吧，毕竟高中的时候看的蛮喜欢的。            
(4星)	 刘亦菲你美死算了啊！哈哈            
(5星)	 当年好喜欢的啊！！！            
(5星)	 T.T 尽管当年我很有意见            
(4星)	 有一個星是額外給靈兒的~~            
(4星)	 刘亦菲真有气质~            
(4星)	 给你的爱 一直很安静。            
(4星)	 好萌唐玉小宝和林月如一个哦。。。。            
(3星)	None
(NA)	 就是这个片子知道了彭于晏            
(3星)	 后半部分实在是看不下去            
(4星)	 原来已过6年~            
(4星)	 我木有标过吗？作为游戏周边，还是可以；虽然改了很多游戏里的内容。话说美女好多啊，还有谢君豪蜀黍。青葱水嫩的李逍遥啊；刘亦菲有点呆，可是胜在青春年少，美貌无敌；安以轩的林月如和游戏有差别，可是演技过关。综合起来打四星。            
(4星)	 莫失莫忘，逍遥月如。欧，还有唐钰小宝！！            
(4星)	 唐玉小宝~~            
(3星)	 画面处理得挺唯美的，男主角也够帅。            
(3星)	 剧情扯            
(3星)	 剧情改编的真狗血。            
(2星)	 长发飘飘的拜月教主。。。            
(5星)	 飙泪            
(3星)	 仙剑算不错了            
(4星)	 至少结局不输，男女主角找对人。            
(4星)	 好吧，和游戏一摸一样。            
(3星)	 童年么            
(5星)	 社会残酷的我们不能去想象，只能祈祷上天不要给我们太多悲哀，现实和梦想差距太远。我们只能适应，我们能不能不忧伤，即使忧伤这个次说出来真的很侨情，我们没有权利去改变社会黑暗的东西，我也只能尽最大的力量去保护你。            
(3星)	 当年幼稚啊..不过歌还是不错的..            
(3星)	 中间太拖，大boss太恶，其他还行            
(4星)	 最爱月如。总以为电视剧版她没死，谁晓得塔里就死了卧槽恨死编剧了            
(5星)	 演员都喜欢的，歌也不错~~ 超级喜欢~~~            
(5星)	 林月如。            
(3星)	 音乐比片好。            
(3星)	 高四毕业那个暑假,我迷此剧迷得~~~            
(4星)	 当年最爱林月如和阿七            
(4星)	 男女主角不错 选角很对头 尤其喜欢安以轩 是我注意到她的一部剧            
(NA)	 饱含无比深情的看完此剧，还是游戏奈人回味。。。            
(2星)	 超烦            
(NA)	 其实我是原作党            
(3星)	 我爱彭于晏            
(2星)	 看了大概20集之后，老子放弃了。。。            
(4星)	 逍遥哥哥你好帅。。我是hc= =            
(4星)	 - - 。我喜欢灵儿 但是不喜欢刘亦菲。            
(4星)	 喜欢林月如            
(NA)	 想当年啊            
(NA)	 唐钰小宝和阿奴……            
(4星)	 当年最爱月如。            
(3星)	 除了劇情 其他都好            
(4星)	 四颗心 包括了我对仙剑1的热爱。            
(5星)	 那时候很喜欢            
(1星)	 …………………………………………………………我真是……一星都不给可以么！？！！！            
(4星)	 很罗嗦很感人地诠释各种爱。很遗憾小时候没有玩过这个游戏，心境不再来。            
(4星)	 华丽的过膝靴和流苏啊，神滴            
(5星)	 忘了是初中还是高中看的了。。。满好看的。。。            
(3星)	 对于深爱游戏的人 实在是个打击            
(3星)	 喜欢唐玉小宝和阿奴~            
(NA)	 胡歌真的很不错好不好            
(5星)	 4星的剧情+6星的配乐，所以给5星。            
(3星)	 唐钰小宝T口T……            
(NA)	 貌似大一还是大二时红到不行，现在都不记得里面的剧情了。            
(3星)	 演员和造型比3顺眼多了 适合无聊的时候弄一大堆零食边吃边看            
(3星)	 虽然只有三星 但我是逢播必看啊。。。每次看到大家一起放烟火就唏嘘不已            
(4星)	 九几年开始玩的经典游戏，起初是不愿接受改编的，但因此爱上胡歌和安以轩的月如姐姐，更加讨厌刘亦菲——这也是收获。            
(4星)	 音乐就足够给星了。            
(3星)	 好吧，看过一点点知道结局算看过么。。            
(4星)	 中国的帅哥美女还是有的            
(3星)	 ★★★☆            
(4星)	 与游戏原作仍有距离            
(4星)	 我一如既往爱的月如啊……            
(4星)	 大爱。以轩。            
(2星)	 放松的片子~            
(3星)	 月如月如.            
(4星)	 阿七、十四很经典            
(1星)	 唯一用对的演员就是胡歌了。            
(4星)	 本科集体看的 怀着仙剑迷极为矛盾的心情            
(4星)	 大三时跟隔壁寝室一起看的，怀念～～高中时玩的仙剑一，怀念～～            
(4星)	 有神仙姐姐在，欢喜。            
(NA)	 六月的雨。            
(4星)	 火红火红的林月如对上黄绿白菜似的赵灵儿。            
(4星)	 改編了點點，還是喜歡遊戲中的劇情            
(3星)	 灵儿不错，李逍遥的形象还行。其它拒绝评价            
(4星)	 阿奴和唐钰小宝赛高。林月如不错。其余都是浮云。            
(NA)	 这结局。。和杨家将一样总是不忍心再次回顾            
(3星)	 不翻拍是不是比较好...            
(3星)	 除了徐锦江极为现代的理论，和晋元拖拉的称呼，帅哥靓女还是满养眼的~            
(5星)	 我的月如 实在是一想到就泪流满面            
(3星)	 突然想起我还看过这么一部囧作...除了篡改的剧情,稍微有些雷人的角色,里面的几首歌还算不错..            
(1星)	 中国武侠游戏的经典之作。可惜了，太深入人心。            
(NA)	 这个嘛不想说了。从N年前游戏时就结下了不解之缘。            
(4星)	 我对仙剑这个游戏玩的也不多~抛开游戏说还不错~            
(4星)	 演员都满合角色 喜欢灵儿的单纯和亦菲的美貌            
(4星)	 玩过游戏再去看吧            
(5星)	 刘亦菲！！！            
(3星)	 看在月如的份上            
(3星)	 剧情不值一提但是选人十分精到，当初ost那真是人人当作手机铃声啊半夜还听到楼上寝室在放……            
(3星)	 镜同学很哈刘亦菲            
(5星)	 百看不厌啊啊啊啊啊啊啊            
(4星)	 地球是圆的！地球真的是圆的！！大叔你好有智慧啊~            
(NA)	 看到这部戏会让我联想到自己玩仙剑 玩到爆机那会真的很舍不得            
(3星)	 ~~~ 我玩游戏的时候就爱和人争 到底仙剑经典还是轩辕剑 我是偏向于后者的            
(3星)	 十五岁时候的记忆.不完美但是依然怀念.            
(3星)	 sigh,蝴蝶飞不过沧海，又有谁忍心责怪            
(NA)	 那时候我很爱赵灵儿……            
(2星)	 妈的 改成这样 编剧你全家都去打酱油吧            
(5星)	 感动过。            
(3星)	 我的第一个电脑游戏！！！！！怀念！            
(3星)	 我有点无语。。。            
(NA)	 无比娇嫩赵灵儿妖女。            
(3星)	 刘亦菲好漂亮哦～～看了《金粉世家》，我最讨厌的就是刘亦菲，那妖艳的样子看了想吐，可是这部片子之后对她的感觉就完全不一样了，发现她越来越漂亮了，到小龙女的时候已经完全被她迷住了！！还有她的专辑也很赞，支持她！！            
(4星)	 http://6.cn/profile/playlist.php?p=166830            
(5星)	 刘亦菲演的那段，那我也坏一个～令我难以忘怀。            
(2星)	 传奇的仙剑，好听的歌。然而，神仙MM，你的演技实在太嫩了。            
(3星)	 个人觉得前半部改编不错，后半部就……太扯了，而且前后风格差别很大，简直不像一部作品，但部分演员选得很合适            
(NA)	 这部剧让我觉得刘亦菲还是多漂亮的。            
(4星)	 逍遥啊，你该选择月如MM！！！            
(4星)	 唐钰小宝!!            
(3星)	 小胡多水灵啊~            
(2星)	 熬了三个月，今日终于看完了，果然不是看大陆片的料啊            
(NA)	 这个游戏，影响了多少人            
(2星)	 你可对得起我的一片痴心？            
(4星)	 看到安以轩就换台- -看到彭于晏就开心            
(4星)	 有微言大义            
(4星)	 看的电视版，cut的真纠结，赵灵儿怎么受伤死的zenzen闹不清楚啊...            
(3星)	 谢君豪的酒剑仙能再帅点么！而且他和孙莉就是一报还一报嘛，怎么老是你喜欢我我不喜欢你或者我喜欢你你不喜欢我的设定，就不能再一起么！他们两个很配的嘛！还有演圣姑的竟然是李丽珍！震惊死了！            
(3星)	 真别说，当年我老嘲笑看这剧的人，后来我成了其中一员。刘亦菲的表情永远都是那样。现在还是当年这样。叹，其实也挺不容易的我觉得。            
(3星)	 当年大学同宿舍的姑娘反复播放此剧~            
(NA)	 剧情渣！但每个演员都很好。            
(4星)	 赵灵儿的扮相真的很有灵气~~            
(5星)	 怎么这么多的装逼的，当时你们难道没被感动？？            
(4星)	 唐玉小宝！！！            
(4星)	 印象最深还是主题曲~            
(1星)	 践踏经典            
(4星)	 逍遥哥哥真是我心目中的样子  其他不说了  后来最喜欢的居然是圣姑和酒剑仙。。虽然扯得一塌糊涂            
(4星)	 就看过那么一部……            
(4星)	 打给游戏的……            
(NA)	 热播的时候没有看,最近才回顾了一下.人物形象太单一,但是演员都还不错的            
(NA)	 童年..            
(NA)	 对唐人没有什么好说的……槽点太多不如不吐。            
(NA)	 黑历史            
(5星)	 我們有時會誤以為，所謂愛情，是遇見另一個自己。而事實的真相是，能夠握緊雙手傳遞溫度抵達心底的人，從來都不會是那一個自己。林月如註定悲劇。            
(3星)	 月如才是王道 没整之前的李逍遥比较顺眼            
(5星)	 唐钰小宝你的白马坏了吗            
(4星)	 高中生时看的，当时觉得胡歌好惊艳啊            
(5星)	 我就喜欢灵儿 我就是刘亦菲NCF 泪目！            
(2星)	 为什么要拍成这样！！            
(4星)	 久远的回忆啊。            
(5星)	 胡歌当年真是帅啊！            
(5星)	 曾经的感动，不能忘。            
(5星)	 就是爱这部            
(5星)	 胡歌胡歌。。。。恩恩恩。。。            
(5星)	 哗哗的            
(5星)	 还需要解释吗，完美的歌，帅气的胡歌，美丽的刘亦菲，那时一个令人向往的年代            
(5星)	 每个演员都很出彩            
(5星)	 我的青春啊            
(5星)	 青春水灵的各位嫩草，无可复制的经典，经典好听的配乐。无视白烂的剧情，值得一看。            
(4星)	 游戏没玩玩完，电视剧看完了。            
(4星)	 记得当时被赵灵儿和她逍遥哥秒杀了。电视配乐不错！好几年了，唐人公司成长的真快啊！K爸真厉害！是不是要把仙三看一遍，看看龙葵~~~~~            
(5星)	 因为剧情   老子打仙一的时候林月如死的时候我活活哭老一场- -            
(3星)	 简直毁了。。。李逍遥            
(5星)	 逍遥哥哥            
(4星)	 记得还是租了vcd回家看，对灵儿一见倾心。当时年纪小啊。            
(3星)	 哦 呵呵 呵呵呵呵            
(4星)	 比3好太多啦            
(4星)	 从游戏到电视剧  都还不错            
(5星)	 哎呀            
(1星)	 没有一个演员是我看得顺眼的。毁了～～～～～            
(3星)	 你妹儿啊安以轩那张大脸怎么对得起我林月如！！！            
(2星)	 这个也看过。。。我是有多无聊啊            
(4星)	 代表一段岁月            
(3星)	 当年还是挺美好的，但都没看完，数胡歌变得最快，哎。。。            
(2星)	 刘亦菲去死            
(NA)	 有李丽珍哎╮(╯▽╰)╭❀震惊了            
(4星)	 渺渺时空，茫茫人海，与君相遇，莫失莫忘。            
(5星)	 刘品言的演技。。好烂啊！！！            
(4星)	 第11、19集            
(4星)	 高二一个暑假租碟在老家一次性看完了，怀念啊。            
(5星)	 仙一的逍遥哥哥是永远的逍遥哥哥昂！对！我在用生命看仙剑呐！            
(4星)	 林月如啊！！！！            
(5星)	 所有星 全都给月如            
(4星)	 古装偶像剧 还是蛮好看            
(NA)	 = =我爱谢君豪，当年的胡歌            
(3星)	 虽然当时很鄙视，还是随大流的看完了= =说实话里面的女的都很漂亮            
(5星)	 我最喜欢的            
(5星)	 林月如。。。当年哭得死去活来阿！            
(5星)	None
(5星)	 帅哥美女            
(NA)	 当时喜欢六月的雨喜欢得不得了            
(3星)	 阿奴和唐钰的爱情.....   最后只剩下李逍遥一个人了            
(2星)	 实在是无聊啊            
(3星)	 冲你的名字，游戏迷给你个三★你该满足了。            
(4星)	 那时候的灵儿简直就是秒杀啊~~~逍遥也是~~~            
(4星)	 既不回头，何必不忘 既然无缘，何须誓言 今日种种，似水无痕 明夕何夕，君已陌路            
(5星)	 因为95版的仙剑才看的电视            
(3星)	 我也年轻过的，哈哈哈            
(5星)	 吃到老 玩到了~~哎~~            
(4星)	 突然又好想看 拿来憋一憋毕设（真的好吗= =  可是居然不好找=皿=            
(5星)	 靈兒很有靈氣，胡歌很有逍遙的味道。。            
(NA)	 我觉记得那时候好喜欢阿奴            
(4星)	 高中啊~~~~~班里偷摸看的啊~~~~~~~~~~~~~被默默影响大家看到林月如死了好高兴啊~~~~~~~~~~~~~最后一段灵儿死的时候哭啊~~~~~~~            
(4星)	 哎哟，这个我也是看过的。逍遥哥哥好帅的。            
(5星)	 承载了Lei之于我的美好回忆,初三            
(4星)	 林月如            
(4星)	 仙剑是个经典不需解释，电视剧好坏我不管            
(NA)	 表给我说仙剑了好么。看过1部3部，看完之后倒不如玩游戏的说 o(￣ヘ￣o＃)  游戏剧情比这要好。可是嘛，仙剑游戏，有点。呵呵，可能我比较喜欢动作类的吧TT            
(4星)	 我最爱的RPG游戏。            
(3星)	 - -其实我就是去看安以轩的。。。囧            
(5星)	 先看的电视剧再玩的游戏 很是感人 我想国产RPG也就这么点剧情是可以叫绝的            
(2星)	 太烂了            
(5星)	 永远也超不过游戏原作            
(3星)	None
(4星)	 哎，献给我的初三与高一的时光。            
(2星)	 真的是不如不看。赵灵儿，你是这样的么？真TM矫情猥琐无病呻吟。游戏中尚觉可以，电视剧的就是个杯具。很不喜欢里面强加的情感安排。            
(4星)	 国产的青春偶像剧中真的算不错了，从演员到剧情到音乐，灵儿的角色挺适合刘亦菲。            
(3星)	 我就此看上了彭于晏            
(3星)	 算是一个青涩的记忆。            
(NA)	 高中。            
(4星)	 觉得很不错了             
(3星)	 胡歌还是适合古代角色的扮演啊!!!但是我的灵儿啊啊啊啊啊!!!月如挺好的~            
(3星)	 唔，我居然一集不落看下来了。。            
(3星)	 看到刘亦菲就头疼，其它还行，几场大戏做得不错            
(5星)	 这个是跑遍小镇没找着还是我娘亲租好了回家夜以继日看了个周末，周一继续上学的往事。            
(1星)	 面目全非的人物，似曾相识的剧情。最后的那招“爱无限”抱歉我怎么吐啊吐的就是习惯不了……            
(4星)	 我当时觉得好好看啊真好看啊            
(NA)	 老早还玩过这游戏呀            
(4星)	 胡歌当年好帅的捏~            
(3星)	 林月如TAT            
(NA)	 其实我一直没看全            
(5星)	 仙剑就这部好看了            
(4星)	 和 TANDI看过N遍 、高中的美好回忆            
(4星)	 我觉得这部真的拍得可以。印象最深的，一是李逍遥终于想起赵灵儿说她是我的妻子。二是林月如笑着说原来我已经这么老了。三是唐钰小宝。            
(5星)	 喜欢恶女和唐玉小宝            
(4星)	 大家都喜欢配角            
(5星)	 仙剑的歌都好好听～            
(4星)	 只对林月如记忆深刻            
(4星)	 风景好            
(3星)	 這一版林月如比趙靈兒好多了            
(4星)	 邓紫珊的编剧刘亦菲的演技忽略，在安以轩胡歌和麦振鸿的配乐基础上四颗星吧            
(4星)	 喜欢月如。            
(NA)	 最让我诧异的是编剧是陶海。            
(4星)	 第四颗星 送给林月如            
(4星)	 唐钰小宝比较好            
(5星)	 月如，原来她已经这么老，生命走到尽头的时候有没有后悔成全了可恶的赵灵儿。晋元才华胸襟冠天下，飘飘羽衣独自在，只是舍不下这个刁蛮又温存，无理因脆弱的表妹。            
(3星)	 林月如失真，不过有几个不失真的呢？至少那段感情还有很多音乐比较美好。            
(5星)	 莫失莫忘，红尘一醉            
(3星)	 其实看了电视剧我才发现原来游戏情节也是很雷很狗血的……            
(4星)	 捧红了不少人啊            
(5星)	 耗尽生命的回忆。终究是过去了            
(4星)	 我喜欢刘亦菲            
(4星)	 月如。            
(4星)	 当年真的很喜欢，特效剧情任务都很美            
(4星)	 中学的记忆            
(4星)	 只有第一部是能看的            
(3星)	 不喜欢LYF            
(NA)	 那个时候的男女主角都长得很好看            
(3星)	 阿奴很不错 酒剑仙那个好直接去死了~林月如那个也很恶心。身为游戏迷，我很失望我很悲伤。            
(4星)	 被那时候的胡歌秒到            
(5星)	 当欢乐片来看的 徐锦江GJ 谢君豪真他妹的帅            
(1星)	 浪费两天时间，一星打给安以轩。            
(5星)	 好奇怪，刘亦菲这儿演的灵儿 让我觉得自己难道还喜欢女的？错觉吗？真的这么单纯的女人我想我也会喜欢的吧、也许。。            
(NA)	 古装情结爆发= =  李逍遥为神马那么爱赵灵儿啊            
(4星)	 重拾仙四，想起那些玩仙三和看仙一的日子。。            
(2星)	 若干年前看的 强忍着看完了 歌还不错 但是那句台词真的是“知道了什么叫做爱”。。。            
(NA)	 好多年前   2010年10月保研事情后重看，感动于两位女主角分别不在的那一刻，看看特效。            
(3星)	 当年看的我那个痴迷 胡歌确实被撞丑了ps:谢君豪，我爱死你了            
(5星)	 欲非欲 情非情 因缘由天定 魔非魔 道非道 善恶在人心            
(5星)	 我真的非常爱这部片，非常爱。            
(3星)	 凄美的爱情幻化成记忆中永恒的千古绝唱..            
(3星)	 技术力量不过关啊··            
(5星)	 是它改变了我 由这部电视剧到游戏 到道家的精神 到老庄 到太极和气功 再到个人对整个社会价值的对抗 公民意识的崛起            
(5星)	 2004，买回来的VCD。            
(5星)	 不解释            
(1星)	 我是来吐槽的。            
(3星)	 我喜欢阿奴和唐钰小宝            
(4星)	 好看，好听。2005年看。            
(4星)	 唐虞小宝！！            
(5星)	 我觉得挺好的            
(NA)	 回忆起我们的青春、            
(4星)	 宽容而言，三个人都不错，只是阿奴太惊吓，支线剧情雷点多，但也比较饱满一点。青葱呐那时候，直到现在还是没看完……            
(4星)	 不过不失            
(3星)	 大爛片。            
(NA)	 拍得很差。 最近玩仙四所以来更新下            
(3星)	 晋元哥哥。。。。。。。。。。。。。。。再也木有别的语言可说了            
(4星)	 我爱月如，可惜情深缘浅。10年前还是10年后，我都只爱你            
(3星)	 林月如还不错            
(5星)	 这曾经是我们最美丽也最真挚的感动，永恒的传奇。            
(3星)	 喜欢唐钰小宝和阿奴，简简单单的爱情            
(4星)	 想当年啊。。。            
(4星)	 就爱胡歌            
(3星)	 最近喜欢老胡~当然，这部爱极安以轩~我可是从小喜欢林月如的~            
(3星)	 恩，不晓得当时为什么这么红，其实感觉也就一般般~~            
(1星)	 你毁了我亲爱的游戏            
(3星)	 三分都是给原著游戏的            
(NA)	 从这里认识彭于晏 还有刘亦菲那一句：是逍遥哥哥教会了我什么叫做爱........................唉唉            
(3星)	 打发时间而已，好在美型，唐玉小宝长的很招人喜欢            
(4星)	 萌阿奴和唐玉小宝~            
(NA)	 林家堡，唐家堡，林大小姐，唐大小姐。景天終於是喜歡雪見的了。這是給月如小姐圓夢么。好吧我穿越了。            
(4星)	 看了这个才喜欢上刘亦菲的。。。            
(5星)	 我是仙剑迷。            
(4星)	 真的是每天在家里追过来的··一天3集····初三毕业暑假···            
(4星)	 觉得后一半还是不错的～            
(5星)	 五星，因为记忆。            
(4星)	 现在才醒悟当初这戏有多经典。胡歌帅，彭于晏帅，胡君豪更帅。永远忘不了阿桑的声音。            
(3星)	 胡歌果然跟逍遥长的像~可惜那剧情跟游戏差的远了点。。。            
(4星)	 真想不到，我已经这么老了。。            
(NA)	 我想试试玩这个游戏            
(NA)	 那年我高三，赵灵儿太美了            
(3星)	 林月如。            
(NA)	 这一版。有我的硬伤。虽然只是某一幕。            
(2星)	 刘亦菲实在让我觉得恶心            
(4星)	 虽没现在那么好的电脑特效，剧情就足够了。再看的时候居然真的被感动。            
(1星)	 SB            
(NA)	 纯粹为了游戏来看的            
(NA)	 编剧太狗血了...喜欢月如和阿七、阿奴和唐钰小宝、酒剑仙和姜明~            
(4星)	 我对林月如有偏执的喜欢，对安以轩的林月如有偏执的喜欢，所以，游戏打到林月如死掉就丢个我哥然后再也不碰，电视剧看到林月如死掉后部分快进看完，花钱租的VCD嘛，看不完就还的话觉得太亏了            
(5星)	 当时太喜欢啦            
(NA)	 我不喜欢            
(5星)	 从小爱仙剑            
(4星)	 我喜欢刘晋元...            
(3星)	 时光果然如梭            
(3星)	 就喜欢唐钰！            
(4星)	 只喜欢林月如 。            
(4星)	 林月如            
(3星)	 初中的时候觉得胡歌和刘亦菲简直天造地设。可惜又是个悲剧，都死光了。            
(4星)	 刘亦菲唯一一部不令人讨厌的戏=-=            
(NA)	 我不喜欢她死掉。我想他做选择。而且我要他选她。灵儿一点都不好。            
(3星)	 唐玉小宝！！！！！！！            
(4星)	 印象最深的一幕是林月如牺牲自己成全了逍遥和灵儿，背景乐响起：我给你的爱一直很安静，这就是林月如的爱，不计回报，只求片刻的快乐，只求对方能得到幸福。            
(4星)	 莫失莫忘。。。            
(3星)	 胡歌悲情男的形象在这里开始被认定 从此之后胡歌都是类似李逍遥的悲情男 杯具            
(4星)	 胡歌!安以轩            
(4星)	 还记得初中时候大家一起看一起讨论的日子……            
(5星)	 大爱            
(3星)	 胡歌滴牙齿太抢戏了。            
(1星)	 电视里我好歹瞄过几眼 作为游戏死忠 我坚决一颗星 谁管你辛苦不辛苦 以NC编剧为前提 一切免谈            
(5星)	 如果早知道注定是个悲剧，你们还愿意相遇麽            
(3星)	 为打游戏而看,其实剧情还是一般般啦            
(2星)	 看这片子看的想摔电视，把阿奴搞成个傻子也就算了，月如还那样华丽丽的被赵灵儿压着了，尤其是闹分手那一段，什么跟什么嘛，游戏里李逍遥一直不知道对月如和灵儿谁更喜欢，这个电视剧倒好，直接把月如搞成第三者插足了            
(4星)	 彭于晏啊……谢君豪啊……            
(4星)	 给你的爱一直很安静——林月如。            
(4星)	 彭于晏和胡歌可爱.......也不至于好难看吧 起码比仙3好看多了.....            
(NA)	 当时感动得稀里哗啦的 还每天五音不全地哼唱主题歌。。            
(4星)	 配角演技出众，男女主角漂亮，后期加剧本虽和游戏情结有所相差。但作为一部古装偶像剧来说，算得上可以了            
(NA)	 居然被感动的哇哇的- -            
(3星)	 其实改编的还好。            
(3星)	 除了歌以外都很扯，差点毁了偶的仙剑..            
