http://movie.douban.com/subject/2279830/	真情告白
(4星)	 難得的經典。當時我就覺得胡兵和瞿穎就是該結婚。            
(3星)	 那时候多单纯啊            
(4星)	 當初還以為倆主角真是一對呢            
(3星)	 不喜欢胡兵喜欢张世 许诺是复旦的？？            
(NA)	 瞿颖的发型好怀醒。            
(1星)	 有胡兵的我真不想标记            
(4星)	 大陆第一部青春偶像剧~~~            
(3星)	 哪年的暑假来？            
(5星)	 对广告公司的最初理解            
(3星)	 喜欢里面的田国荣~ 哈哈~            
(4星)	 当时还挺喜欢的            
(4星)	 很好看            
(4星)	 那个时侯可喜欢了！            
(3星)	 只记得梦醒时分了...            
(3星)	 当年大半夜看的。            
(4星)	 喜欢那时候的他们            
(5星)	 胡兵和瞿颖好高啊。。            
(4星)	 記得是在小學的時候看的吧！當時癡迷的要命。            
(4星)	 那时候多爱啊~希望他们在一起~~而且对广告有崇敬~~~原来阿玲是张本渝!!!原来一直都很喜欢她~~~~连演珍妃都觉得很可爱~~~            
(3星)	 其实那俩人真挺配的。但是分开来看就不顺眼。            
(4星)	 当年超喜欢吖，看过N遍~~~~哈哈            
(4星)	 缘分天注定，逃也逃不掉。            
(NA)	 好吧，偶像剧            
(3星)	 是初中看的吗 好几百年了 现在这两人都不DJ 不过当时好象觉得还行 歌也不错            
(4星)	 -0- 当年我超萌这片子的啊…… 什么女主设定是FD毕业的…… 靠……             
(4星)	 原来我小时候看的都是这些电视剧。。。            
(3星)	 当时看的挺开心。            
(3星)	 一般。。。            
(4星)	 记忆虽然模糊了，但特别感觉犹新            
(4星)	 小时候看的类，当时觉得真好看，俊男美女的            
(2星)	 暴老暴老..            
(3星)	 当时觉得很好看……            
(3星)	 这片子貌似很多年前看过，好像还不错。            
(4星)	 喜欢过的。            
(5星)	 我真的而很喜欢！            
(3星)	 真情告白            
(4星)	 想当初我多么爱看啊            
(NA)	 天啊...想起这部电视剧竟然有些作呕            
(NA)	 梦醒时分            
(3星)	 很小的时候看的。            
(NA)	 这海拔            
(NA)	 看了才觉得榨干了剧情。            
(3星)	 小学看的了，以前真是有时间啊            
(4星)	 真实的你            
(4星)	 小时候很喜欢，话说瞿颖是家乡人。。            
(3星)	 最后一集好像开着白色敞篷结婚去了~            
(4星)	 粤语版很给力            
(4星)	 连剧名、剧情都记不清了 但记得主人公背着设计图满街跑的样子...            
(3星)	 算是第一代官配吧~            
(5星)	 真是赚我当时年少的我不少眼泪~甚至把做广告当成自己的理想呢~            
(NA)	 在《真情告白》里第一次听到《梦醒时分》这首歌。其实剧情不记得了，记得大肚婆和张世            
(NA)	 貌似就喜歡看總監的戲份            
(NA)	 我真的看过这个= =            
(4星)	 小时候的大爱呀            
(5星)	 这俩model            
(5星)	 也是很怀念的夏天            
(3星)	 胡兵和瞿穎啊            
(4星)	 胡兵和瞿颖怎么看都是天生一对啊 张世也很讨喜好喜欢这部剧！            
(4星)	 “早知道伤心总是难免的，你又何苦一往情深...”            
(3星)	 当年觉得胡兵真心帅过。            
(3星)	 现在才感觉我的童年生活，真是太可怜了……我都看了些什么啊…呜            
(5星)	 我还记得男2在小黑屋里扒女一衣胡的那一幕 一w一            
(3星)	 美好的 许诺。            
(NA)	 5555555555555 还我年少            
(4星)	 那时候有多喜欢！            
(4星)	 那会看过的不错的！            
(5星)	 当年跟个脑残一样追着看啊            
(4星)	 小时候喜欢看            
(3星)	 剧情、主题曲什么的全忘了。。就记得这部电视剧的名字            
(NA)	 被告知两个男主演都是gay, 小时候对这部剧的朦胧的喜爱彻底被粉碎了。。。            
(4星)	 爱是不需要说谢谢的。            
(NA)	 记不得了 三星。            
(3星)	 好久以前了阿             
(NA)	 小时候和姐姐一起看的，当年姐姐特迷胡兵，现在问起来，她却忘记了…            
(4星)	None
(4星)	 2000年春节前后许多卫视台播这个，当时真的很喜欢。觉得瞿颖和胡兵那么配。            
(3星)	 觉得胡兵瞿颖好配好配的啊。。。            
(NA)	 小時候的記憶啊。。             
(3星)	 开始电视剧阶段哈哈哈~            
(4星)	 算是早期看的偶像剧吧            
(4星)	 那些年的时候觉得还是很不错的偶像剧            
(3星)	 我家里还有这套碟= =抚额            
(4星)	 小眼睛张世。            
(3星)	 好久远的年代了。。。            
(4星)	 有多早了，好像是小学时看的。《梦醒时分》是这里的吗？            
(4星)	 印象好深            
(5星)	 小学时看的。。。            
(NA)	 当年很喜欢来着，原来还有张世啊。。。            
(NA)	 我还看过这个……            
(4星)	 当时就觉得胡兵瞿颖超配哇。。。            
(3星)	 喔，这个算是我看过的第一部偶像剧了好吗！            
(NA)	 我爸带着我看的~            
(3星)	 小时候看的，凑个热闹，哈哈            
(3星)	 又是胡兵瞿颖。            
(3星)	 我也不知道我看的是什么...            
(NA)	 是不是挺虐的？忘了            
(1星)	None
(3星)	 太久远了，具体情节已经记不大清，只记得“许诺”这个名字……            
(3星)	 当年胡兵还是个男人啊。那时真的以为胡兵瞿颖是一对！            
(3星)	 很久以前看的，当初很喜欢看捏            
(4星)	 当时很喜欢女主变好看            
(4星)	 小时候还蛮喜欢的一部电视剧！            
(4星)	 怀念，虽然内容基本不记得了            
(NA)	 剧情早忘了。            
(5星)	 感觉是那个时候最好看的国产剧            
(5星)	 梦醒时分。            
(3星)	 小时候看过的电视剧5            
(3星)	 为什么我一直觉得那个男二是变态杀手！！！            
(4星)	 剧情过分波折+繁琐+生硬（在当时1999估计已经非常不错了），但是因为是拍广告公司的，所以4颗星了。。。谁让我喜欢广告呢。。。            
(4星)	 梦醒时分            
(3星)	 此情可待成追忆，只是当时已惘然。            
(NA)	 记得看这个的时候超喜欢瞿颖的            
(3星)	 那时觉得胡兵好帅啊…            
(4星)	 大陆偶像剧，绝对。那歌儿。梦醒时分。            
(3星)	 那时年少各种剧~            
(5星)	 童年回忆            
(4星)	 第一部哇好像。。。。            
(3星)	 曾几何时，胡兵和瞿颖就是心目中最完美的情侣。。。            
(4星)	 好看啊            
(4星)	 印象最深的就是某女喝醉了唱《梦醒时分》，然后貌似哭倒在张世的怀里            
(3星)	 胡兵和瞿颖的合作。            
(4星)	 之后才知道原来胡兵和瞿颖有过一段往事，可惜没有成。。            
(5星)	 为那段回忆~            
(4星)	 高积安，许诺。懵懂的岁月            
(5星)	 这是巨早的一部偶像剧。。。            
(4星)	 给四颗 看完这个才知道恋爱 巴赫很好听 张四比较抢戏 梦醒时分 那小眼睛女的叫什么了 那段很感人            
(5星)	 是我人生中第一部爱情电视剧吧，满满的都是回忆。。。            
(3星)	 不记得内容了 但记得看过            
(NA)	 那时候感觉是自己看的第一步时尚都市青春片==！ 播出时间是晚上九点，于是每天洗澡都磨磨蹭蹭，或者趁广告时间速战速决            
(3星)	 曾经很迷恋            
(5星)	 小学三年级时看的，因为看这个还耽误填成绩单，被我老是骂了一顿！            
(4星)	 早早地看过了 不错 记得那时候店里那边还有一间卖碟租碟的店，对真情告白的版面特深刻            
(3星)	 梦醒时分是结尾曲，印象深刻            
(4星)	 梦醒时分！            
(2星)	 胡美丽和瞿颖才叫真的配。            
(4星)	 梦醒时分这首歌响起的那一幕印象很深            
(4星)	 好像当年很喜欢看            
(4星)	 好像还是预备班的时候看的，那时候很喜欢的，挺喜欢里面的张世的。那首“梦醒时分”很好听呀，先是喜欢胡兵和瞿颖这一对，之后就爱上了张世那一对，那个痴情女子。。            
(NA)	 这也是小学的时候看的？            
(4星)	 小时候很喜欢看的~~感觉大人间的爱情是那么的浪漫~~长大后才发现那只是虚构的而已~~            
(5星)	 很感动的一部片子！            
(NA)	 小学低年级的时候当小黄片看的。。。。            
(1星)	 胡兵回家产卵去吧。            
(4星)	 小时候站在门口 想看完最后一分钟才跑去学校 结果迟到了             
(NA)	 一曲梦醒时分动听死了~            
(4星)	 以前看过的            
(4星)	 好早的回忆            
(4星)	 只记得当时觉得非常好看            
(4星)	 初中时风靡全班阿 还是挺好玩的            
(5星)	 迷上上海，是这部片子吧。            
(3星)	 那时候觉得胡兵实在是很帅~！            
(3星)	 好早看的了，喜欢赵岱玲和张世            
(4星)	 梦醒时分！            
(5星)	 当年的时装剧拍得多好啊            
(5星)	 小学三年级的回忆            
(4星)	 居然是99年拍的            
(5星)	 当胡兵还不是胡美丽的时候。。。。。。            
(3星)	 看点是张世。            
(2星)	 我小时候看的是些什么东西||||||||||||||||||梦醒时分赞            
(5星)	 最初的关于长大以后的勾画都来源于此~            
(3星)	 当年甚火            
(3星)	 就记得瞿颖用勺挖火龙果了            
(4星)	 小学三年级和堂姐一道看的，那时觉得很洋气啊。。            
(2星)	 呃，好吧。我确实看过。。。            
(3星)	 那时胡兵还是个男人。            
(3星)	 当时的主题曲我唱得很溜啊            
(5星)	 我记忆里总有它的痕迹。            
(5星)	 充满回忆的电视剧啊，在没有台湾偶像剧和韩剧的当时，看着这个觉得超满足啊...            
(2星)	 你不觉得自己是在抄袭《恋爱世纪》吗？            
(5星)	 最后那场戏,真是难以忘却的时光.            
(3星)	 古老啊            
(5星)	 2000 许诺            
(4星)	 当年的胡兵啊。。。            
(5星)	 泪            
(4星)	 小时候觉得老好看了，胡兵和瞿颖真是般配啊            
(3星)	 张世那段比较出彩~            
(5星)	 剧情已经记不得了。就记得女主角有个好听的名字：许诺。记忆中那段时间荧幕上开始有这种类似都市偶像的电视剧。。。每天晚自习下课偷偷的追剧的日子真是令人怀念啊。。            
(5星)	 瞿颖在这部剧里十分聪明伶俐的小模样，很惹人爱！又是老乡，当然全力支持!            
(3星)	 矮油  这个貌似看过一两集            
(NA)	 当时我就没怎么看明白            
(3星)	 当时迷那个画面啊~            
(4星)	 这里的胡兵和瞿颖最美好~            
(4星)	 小时候喜欢的一部剧。。。            
(4星)	 小时候最喜欢的电视剧了            
(4星)	 矮油。。。童年记忆有木有            
(5星)	 ……唉……我觉得自己70的            
(5星)	 当年很红的一部偶相剧，，现在很少有这样的佳片了。            
(3星)	 当我觉得胡兵还man的时代……            
(NA)	 这部戏坑害了多少无知少女啊！广告公司你妹啊！            
(4星)	 只为它是我梦想的启蒙者……            
(3星)	 至今仍觉得还算不错的青春剧，对田国荣和那首《梦醒时分》印象深刻            
(5星)	 回忆            
(4星)	 胡兵瞿穎那時也算是官配一對了            
(4星)	 好看！！早期的大陆偶像剧            
(4星)	 很小时候和姐姐们一起看啊、、、觉得瞿颖胡兵太配了。……            
(3星)	 那时候觉的瞿颖很漂亮            
(4星)	 哎哟哟又是当年的回忆啊            
(3星)	 只记得胡兵的一回头 小柔~            
(3星)	 这剧在当年那个时候挺不一样的。            
(3星)	 不来这个豆列看我还真想不起来自己看过这么多挫片。            
(4星)	 青春 偶像 电视剧            
(5星)	 我那时候才小学2年级啊，好看啊！！！            
(NA)	 这个算是 大陆偶像剧的 鼻祖吗？瞿颖和胡兵真的好配            
(3星)	 当时是一集不落啊，我就记得女猪脚叫许诺，很美的名字说，现在我的老公也叫许诺，呵呵            
(4星)	None
(5星)	 初中的时候为了看它而熬夜~~            
(4星)	 想起夏天爸妈在客厅看这剧，我在书房做作业的时光。            
(4星)	 小时候还很喜欢看呢，现在主角都没影了            
(4星)	 矮油 当时觉得瞿颖跟胡兵简直天生一对啊好有夫妻相啊            
(3星)	 情节不记得了 貌似还行~            
(4星)	 我竟然记得剧情？！！！            
(5星)	 金童玉女。            
(4星)	None
(NA)	 小学就看的啦，我真的看了好多电视剧啊。那时候对爱情的理解就是来自这首歌，《梦醒时分》。            
(3星)	 喜欢胡兵和瞿颖的搭配 俩人都model出身啊            
(4星)	 很早的时候看的一部电视剧 觉得挺真实的            
(3星)	 瞿颖和胡兵，很养眼的一对            
(4星)	 我记得。。。。            
(3星)	 就记得那首歌            
(3星)	 我妈当年喜欢看的            
(4星)	 当年很喜欢的电视剧...            
(4星)	 张本渝            
(3星)	 很久很久以前的回忆~            
(4星)	 还是很有时代记忆的偶像剧            
(NA)	 《梦醒时分》            
(3星)	 胡兵瞿颖真火过            
(3星)	 就是因为看了这！！我才学的坑爹的广告！！            
(4星)	 小时候很爱看的剧，哈哈            
(4星)	 十一年前，各种桥段。            
(3星)	 因为一部真情告白。。让我进了广告界~~我觉得这部电影要赔我钱~~            
(NA)	 12年前的电视剧。那时候为了看错过黄金时段播出的滚动播放，晚自习后骑着飞车奔回家。爱情那时候还只是个概念，只能从不同的角色中来憧憬未来爱情的模样。            
(4星)	 第一部国产偶像剧。            
(3星)	 那个时候还觉得他俩很配……            
(NA)	 对剧情毫无印象  记得这名字            
(4星)	 我童年的记忆诶            
(3星)	 美丽= =            
(5星)	 小学的时候看的可起劲儿了            
(4星)	 哎呀呀 每天放学回来都看            
(5星)	 小时候很喜欢。。            
(3星)	 还是那两个字，高，高            
(4星)	 在那个年代找两个模特演戏算创新了            
(NA)	 那时候觉得瞿颖可漂亮了----b            
(4星)	 主题曲记忆犹新！特别喜欢这首梦醒时分！            
(4星)	 鸡屁股红苹果= =。。。            
(3星)	 哎。青春的回忆啊。还记得那首插曲歌呢。            
(2星)	 垃圾剧的典型。            
(4星)	 小时候很喜欢            
(5星)	 小时候一直很喜欢里面的歌            
(5星)	 梦醒时分。            
(5星)	 情节记不清了，当时很小，却很喜欢张世那对的爱！            
(4星)	 当年的大陆剧其实都还很不错的，比现如今那些个仿韩仿台的四不像好多了            
(4星)	 當年覺得好好看的...雖然現在看起來名字好撈            
(4星)	 喜欢田国荣。            
(4星)	 。            
(3星)	 都忘了什么剧情了……现在只记得当时瞿颖好漂亮，胡兵好帅，最后的雪好白……            
(3星)	 到现在还记得，瞿颖总是主动跟胡兵说 我爱你，胡兵总是在听到后说 我也是。从来没有主动说过 我爱你，让瞿颖很是心疼的样子。 （  天，都十几年了，记忆这玩意儿也有童子功吗。）            
(5星)	 小时候。            
(4星)	 梦醒时分就是从这里开始喜欢的吧            
(4星)	 小学看的·嗷·当年好喜欢胡~瞿~哦            
(3星)	 中国早期偶像剧……据说瞿颖是名模成功跨入演员歌手主持等等的鼻祖……            
(5星)	 好看~            
(NA)	 那时候挺迷胡兵。。。            
(4星)	 其实已经不记得什么剧情了，但是记得当年觉得这部剧非常好看            
(5星)	 额。。刚才看到评论 ：那时候胡兵还是个男人。。            
(4星)	 好早前看的了……正好瞅见……            
(4星)	 第一部国产都市偶像剧啊            
(5星)	 张本喻很美            
(4星)	 胡兵和瞿颖怎么就没走到一起呢？            
(4星)	 当时还多喜欢瞿颖和胡兵的            
(5星)	 内地偶像剧启蒙啊算~那首梦醒时分就是看了这个才爱上的，那时网络不发达只记得旋律不记得歌名，直到有一天音乐响起，画面浮现。            
(NA)	 印象很深的一部剧，给我植入了最初的白领生活印象。算是那时比较好的时装剧吧，后面又拍了真情告别，就垃圾了。            
(3星)	 当年的当年，还很美好的时候            
(NA)	 又是一部多年前的电视剧。可能拍成电影吗？            
(4星)	 小学三年级看的            
(5星)	 小学时候            
(3星)	 那时候的胡兵瞿颖俨然就是荧幕金童玉女。。。            
(NA)	 豆瓣电影在我输入告白之后，突然给我的。。嗯。。惊喜？            
(3星)	 对于白领生活的最早向往~~~            
(NA)	 当年我就喜欢职业剧……            
(4星)	 我小时候挺爱看这部的            
(4星)	 梦醒时分            
