http://movie.douban.com/subject/3063818/	福星高照 福星高照猪八戒
(1星)	 看了想砍死那头猪的冲动！！有木有！            
(2星)	 = = 老子居然都看完了。            
(1星)	 恶            
(2星)	 韩雪一颗，范冰冰一颗            
(5星)	 五星完完全全是给黄海波的            
(3星)	 = =娱乐而已。            
(4星)	 还是喜欢小龙女她老公徐峥多可爱啊   黄海冰傻死了            
(3星)	 大爱牛魔王            
(NA)	 我想回去我想回去我想回到那个时候。            
(3星)	 为了韩雪看的            
(1星)	 完全烂掉了诶。            
(5星)	 当时超喜欢铁扇公主和牛魔王的感情戏…            
(1星)	 一颗星给牛魔王和铁扇            
(2星)	 那会儿对黄海波的印象就是石光荣的儿子，所以感觉好怪......再怎么说里面美女多啊。            
(1星)	 这部片子导致我一度反感黄海波，尤其讲两句话就哼哼，烦~~            
(1星)	 我还喜欢韩雪和那谁演的牛魔王来着……            
(4星)	 这四星全是给韩雪和王学兵的铁扇和牛魔王的！            
(3星)	 铁扇公主和牛魔王的故事还是不错得……            
(1星)	 我勒个去，这猪八戒……            
(3星)	 胡扯…铁扇和牛魔王不错            
(4星)	 看这部戏居然喜欢上了黄海波，囧里格囧。。。            
(2星)	 照你妹照            
(2星)	 还是觉得春光灿烂比较好。            
(4星)	 韩雪。            
(1星)	 原来可以这么烂。            
(1星)	 蠢，虽然我一集不拉。。            
(2星)	 难看啊            
(4星)	 我一度天天模仿黄海波的猪八戒的声音。恶趣味发作。            
(1星)	 天雷阵阵啊，当年看了十分钟就弃的剧，这个八戒是肥猫么？            
(2星)	 嘤嘤嘤嘤这个我也看了……            
(2星)	 啊咧，多的那颗星星是给养眼的范冰冰的…            
(2星)	 韩雪、黄海冰你们敢不接烂片儿吗！！！！            
(1星)	 可悲            
(1星)	 毁了毁了            
(3星)	 这是王学兵那个吧。            
(3星)	 全部星都是给牛魔王和铁扇公主的            
(3星)	 黄海波其实挺可爱的            
(1星)	 给一颗星都嫌多            
(3星)	 本来觉得很不咋滴，看在cy学得惟妙惟肖的份上            
(1星)	 RT            
(1星)	 这真是，那猪头一定要拿来打~            
(2星)	 啊…原来我小时候看过这么多电视剧啊，难怪现在看到电视都要吐了            
(1星)	 男主演的整个一傻帽儿....            
(2星)	 没想到朱哥哥竟是今天的好男人“余味”。            
(4星)	 说实话，我想给这部戏多一点星，我小时候看的，觉得还蛮好看的，很搞笑，不至于很差吧            
(1星)	 这不是一般的雷。你以为你长了一副猪样就跑出来冒充猪八戒了。            
(2星)	 傻死了 = =  只是挑范冰冰的镜头瞅了两眼            
(3星)	 这个猪满可爱的,,            
(3星)	 为了表示我看完过给三星。娱乐娱乐。            
(4星)	 难为黄海波装傻这么彻底了            
(NA)	 韩雪很做作            
(5星)	 牛魔王好man啊。            
(NA)	 = =            
(4星)	 牛魔王居然是李靖的儿子。。。            
(NA)	 没营养没营养            
(2星)	 除了韩雪跟范冰冰。。。几乎为零            
(3星)	 其实我觉得蛮有喜感的..哈哈            
(1星)	 我吐我狂吐            
(4星)	 年幼的我内时候看的不亦乐乎            
(4星)	 讲的是鲤鱼精小莲和书生张子游的故事，小莲为了爱情不惜放弃自己五百年的道行，而她的娘亲为了成全她做人的心愿也放弃了自己成仙的计划，甚至灰飞烟灭。。。            
(2星)	 铁扇和阿牛.            
(2星)	 对剧中韩雪的铁扇公主印象最深。那个样子的韩雪惊艳了我一把。            
(2星)	 扯            
(3星)	 蛮喜欢牛魔王和铁扇的故事 可惜他们都死了 但是牛魔王他妈和李靖扯一起就有点雷了 名字还叫花牵牛            
(3星)	 三打情圣牛魔王~            
(3星)	 牛魔王那一集不错，甚至喜欢上牛魔王了……            
(3星)	 拈花一笑芳华老            
(3星)	 就喜欢铁扇公主和牛魔王那段            
(2星)	 豆列“雷都把牛逼给打击了” 把它放在雷片之首 可能是之前脑残手抖 看电视不懂转台 于是就被它残害            
(1星)	 黄海波 实在是...            
(2星)	 第一部其实还凑合。。。            
(2星)	 丑            
(3星)	 韩雪的古装也不错。            
(NA)	 强烈鄙视猪八戒 破坏在我心中的美好形象啊！！            
(3星)	 铁扇&amp;牛魔王            
(3星)	 猪八戒系列的第二部，看得最全的一部。其实原因是这样的……            
(4星)	 比起一烂很多，不过喜欢铁扇和牛魔王的感情。            
(3星)	 星星都是给铁扇&amp;牛魔王的            
(3星)	 无语...            
(3星)	 !            
(2星)	 黄海波太丑了，垃圾的演技，简直是玷污第一部的好名声。            
(3星)	 喜欢王学兵的表演            
