http://movie.douban.com/subject/4189360/	隔离七日情 隔離七日情
(3星)	 题材挺新颖，前面的大半段错综复杂让人感觉渐入佳境，最后几集就非常的狗血加主旋律了，4-1星            
(NA)	 对邓健泓的爱已超过了黄宗泽            
(4星)	 很喜欢郭羡妮在这里的表演 把一个双面女飞贼的情感和心理表演的淋漓            
(4星)	 看TVB已经有点腻了，这部片子有点意思。戴少男太欢乐了~            
(5星)	 看完后比较惊喜的一个戏，小黄很靓仔，但是最后最吸引的还是邪气的马仔啊            
(4星)	 戴少男！！！！！！！！！！            
(3星)	 蛇头蛇尾 男人戏            
(3星)	 黄宗泽好帅！！！陪伴我写报告的剧，结局做作的温馨~            
(4星)	 为什么是这种结局！！！！！TAT！！！！！！！            
(4星)	 小马哥帅的呦~            
(4星)	 算係咁喇..不過我想睇林保怡版囉...            
(4星)	 中间一度很难过            
(4星)	 编剧实验            
(4星)	 好多条线索，发生在宾馆的港版天下无贼。。。            
(3星)	 赵展龙X易早安有没有！好吧，没有，都是我臆想的。            
(5星)	 很久没看过这么欢喜这么好看的剧了！马仔终于狗血洗白，happy ending多俗气都好！越来越萌黄宗泽。小少爷可圈可点。小记者笑起来真的好像果子…            
(4星)	 总体来说还是不错啦~~            
(5星)	 好温馨的剧啊  小小的地方 人与人之间可以有这么多事~~~ 邓健泓 好乖啊            
(4星)	 比我想象中的好很多也，不错不错，很温情啊~            
(4星)	 后面剧情真是狗血。。            
(NA)	 看过。。其实我觉得在大部分没有追的剧里面，这部算不错，毕竟郭羡妮和马浚伟都还算是演技不错了，剧情记得也不算非常扯。实在没东西看的时候可以快进瞄之。。。            
(5星)	 去年此时追的~~超好看！！！好搞笑~~            
(NA)	 超喜欢马俊伟阿            
(3星)	 虽然我很爱看神偷的剧，虽然我也看完了，不过真的太扯了，好吗！            
(2星)	 很想努力看下去。。但是失败了。。= =            
(NA)	 【2011-01-24】            
(3星)	 好多线的故事。。。。邓健泓傻逼绑匪太赞了            
(5星)	 剧情还不错 也够欢乐            
(4星)	 这大半夜的看完喜庆大结局还是感觉很好的 人生能有这样一次经历都是难得 就看你是否遵从自己的内心 坚定自己的信仰了            
(4星)	 马浚伟比当年的小玄子胖了那么多。。。。555~            
(3星)	 郑欣宜身材反弹而且演技浮夸-。-而且这个角色的存在让人觉得不知所谓，太让我失望咯……剧情的节奏明快，多线叙述，黑色幽默有点像同题材美剧            
(5星)	 卡斯不錯哦 除了鄭欣宜••• 而且情節不錯耶 好好笑 還有馬浚偉有點腔調嘛‼            
(NA)	 看完了 TAT            
(3星)	 3.5星，难得男女主角加配角都有我心水的人。情节有点龙凤斗啊雌雄大盗的意思，而且在一个封闭的空间过7日，我很喜欢的一类型故事，不过展开还是太弱了。郭羡妮真的很漂亮很漂亮，每一个造型都好漂亮，美艳的御姐，和马仔和bosco搭都很养眼。马仔居然演一个腹黑，不过最后还是好男人。            
(NA)	 看的我都快吐了            
(5星)	 像是一部惊心动魄的电影加长版 虽然最后一周年跳舞那段太TVB 但不失为一部好戏 马浚伟同郭羡妮饰演的神偷夫妇很给力 这部戏太好看了！            
(3星)	 还是很有趣的            
(4星)	 世间中各态            
(4星)	 港剧。有惊喜。其一，马浚伟实在太帅了！其二，黄宗泽和肥姐的女儿其实很配的。其三，港式的温情脉脉真的感动我了。            
(2星)	 嘉嘉和大少這一對好可愛.. bosco一如慣例型慘了T_T            
(3星)	 全剧只有那个笨贼是个亮点。。马瘦得像豆芽，郭皮肤差得不能看，故事也很牵强。郑欣宜很励志。。绝症什么的最没创意了！！            
(5星)	 喜剧喜得很！            
(NA)	 港剧 tvb 2011            
(4星)	 道理见真情             
(3星)	 只能讲在现下TBB的水平中，值得一看。虽然易早安的结局狗血了一点。如果巡礼的剧情能拍出来，绝对不止现在这个温情笑片情景剧的水准吧。            
(3星)	 简直了。没看完            
(4星)	 黄宗泽好帅啊            
(3星)	 第一集有惊喜，格局有突破，结局却又变成狗血。            
(4星)	 人物背景展开很有节奏感诶。            
(3星)	 七天的时间织就了一张网 网上粘附的每个人都有自己的秘密 或感慨或神秘或欲望或无奈 喜欢马浚伟的角色 可惜最后的结局落入了俗套             
(4星)	 剧情模式不错。            
(2星)	 不怎么样            
(4星)	 还好唐晶没爱上赵展龙，戴少男笑点足。            
(3星)	 马浚伟你是在逆生长吗？            
(4星)	 感觉黄宗泽和郑欣宜好配            
(3星)	 三星半～ 大话精再炉火纯青骗得了别人总是骗不了自己的。。。 ps.郭羡妮真的蛮美的～            
(4星)	 绝对治愈。这是近几年看的最好的港剧~            
(4星)	 最具电影感的港剧            
(3星)	 一早猜到马浚伟不是坏人了。意图悬疑却不悬疑，情何以堪啊。            
(1星)	 岂止是烂?!!            
(4星)	 怎么那么喜剧。。。Patrick的搞笑角色笑死我了。。。郭羡妮的上海话唔得啦~这戏的规定情境很有想象空间。。。最后的舞蹈很有爱，不过让人想到《贫民窟离得百万富翁》。。。最最后的那个镜头。。。叹。            
(4星)	 我还是很喜欢黄宗泽的……            
(5星)	 这个周末干活的背景乐 情节环和细节很精巧的小短篇            
(4星)	 最初是因为黄宗泽才看的，后来才发现原来还有马浚伟！哈，喜欢啊喜欢~还不错，7天内看尽人间百态。只可惜觉得结尾结束的有些仓促了。不过还不错，总之，推荐了！            
(3星)	 我爱粤语！学死学死~~~~~            
(4星)	 中意啵            
(5星)	 这应该算TVB剧质量上乘的了，何况还有我最爱的郭羡妮。。。            
(NA)	 又一部TVB老套路的剧。。            
(3星)	 只是觉得吕慧仪怎么变好看了好多哦~~            
(3星)	 欢乐就好            
(4星)	 drag a movie into 20 eps...            
(4星)	 有点意思~~~~~            
(5星)	 马仔！！！！阴公。。。TT            
(4星)	 难得撑到过半，荐。            
(5星)	 馬浚偉和郭羨妮的發揮都很不錯，配角也很出色。朱璇演的公安很好玩啊～            
(4星)	 比较惊喜～虽然结局一如既往地俗～喜欢girl gaga那对～真可爱！            
(3星)	 学姐粤语教学片3            
(4星)	 题材好编剧烂，情节不紧凑悬念都没的            
(4星)	 终于看完了 易早安的原型是基德吗？？            
(4星)	 除了有点拖，还不错。不爱结局。不喜欢男一死了。            
(4星)	 很搞笑啊，每人都有自己的目的，却又互相交织。            
(4星)	 黄宗泽和马浚伟……我无耻了            
(3星)	 案中案，但是不好看            
(4星)	 不如给我一个易早安。            
(NA)	 看TVB 学粤语只是在港剧中，公安有必要被塑造的介神通广大咩            
(4星)	 从此喜欢上了郭羡妮            
(4星)	 前几集很精彩。后面就乱了。对马浚伟无感，两口子再怎么斗都无兴趣。结局阿BO和超模一起，好激动。哈哈。            
(4星)	 轻松搞笑！马浚伟狠不错            
(5星)	 TVB的感觉有点回来了。            
(4星)	 最后的那段舞，跳的我窒息啊，黄宗泽~~~~~~~            
(4星)	 里面有一些话说的很对            
(4星)	 因为马浚伟去看的，还不错，结局老套了点。更喜欢马浚伟了 &gt;.&lt;             
(4星)	 整体不错 中间几集乱七八糟的  结局是个悲剧            
(3星)	 没意思            
(4星)	 20集完            
(3星)	 越演越复杂。不过还好轻松解乏。            
(4星)	 有段时间没有接触TVB了，再看的时候真是一份惊喜。本来以为只是一部轻松搞笑剧，而随着剧情的发展，越发感觉温馨感人。一个个故事串联得不错，很喜欢杨教授和杨老太太的故事。ps：郭羡妮在剧中的衣服都好漂亮&gt;_&lt; 也有可能人美穿什么都美啦。。。            
(4星)	 刚开始看，拍的挺不错的呢~不过不知道为啥觉得架构很眼熟的样子，有木有筒子也觉得丫            
(4星)	 肥肥女儿真的瘦很多            
(4星)	 这部TVB电视剧可以看            
(5星)	 小眼睛妹每晚写的日记还是很给力的            
(3星)	 结局部分很感人！七天时间发生了这么多的事情……现实生活中会这样吗？            
(4星)	 这个不错             
(4星)	 好看的 马浚伟真帅啊~~~~~            
(4星)	 这个题材不错            
(4星)	 干嘛是个悲剧！- -我明明从头笑到尾的。。。黄宗泽帅翻~~！            
(3星)	 哎哎。。就开头还可以            
(NA)	 马浚伟帅了            
(5星)	 越来越喜欢黄宗泽了~            
(4星)	 设定的时间、空间里展开的精彩推理，嘛，狗血的结局是TVB的惯例了，毕竟要迎合师奶们的喜好……            
(4星)	 很有爱的片子。。            
(2星)	 有史以来看得最久的一本lan片。            
(NA)	 很想看下去的，进入不了状况啊@@            
(4星)	 这样的故事架构似曾相识。为什么又是圆满的结局啊喂。。果然喜欢一个演员是要天时地利人和的- -，这部我就不太喜欢马仔了，除了Bosco外，反而戴少男（邓健泓饰）更讨喜些。            
(NA)	 唉，就想看到黄同学和郑同学在戏里面好啊。。忍不住偷看了结局，然后提前决定不看了。。 01 - 12            
(4星)	 七天里的人生百态，虽然结局很落俗，可是很有爱            
(NA)	 就是不想馬浚偉最後死佐。。。            
(4星)	 第二季有点死亡笔记的感觉。。。            
(4星)	 小馬哥好煽情！！！            
(4星)	 果然马浚伟死了。我没看结局就知道。。            
(4星)	 节奏感不错            
(5星)	 这部剧非常好看，故事紧凑，20集的剧情一点都不拖沓，只是结局有点太平淡了，特别是马浚伟脑瘤的结局，啊呀，也太老套没创意了吧。大爱黄宗泽，左看右看上看下看都帅到无敌~TVB的花旦都老了，不过郑欣宜值得期待，减肥后的她好可爱啊，想看她和黄宗泽的爱情戏呢~~            
(4星)	 挺好的            
(2星)	 最后的结局我很雷，感觉是为了再一起而在一起，还没死，还没交代。            
(3星)	 算看吧。反朴归真，TVB果然自有其厉害之处。            
(4星)	 沒想到竟然是我的菜。給不出黃生很高的評價，也或許是我對他抱有更高的期許。為鄧生惋惜，那麼努力有想法的藝人卻一直得不到他應得的掌聲。兩位主角給我感動的竟然是拍劇前的長談化解心結，真好。祝郭小姐幸福！            
(3星)	 就是另外个美影拖沓版。            
(4星)	 其实很多不合理的地方，不过感情真的很感人，马浚伟好帅呀55555，龙凤斗的桥段果然必杀，伤心死我了。邓健泓和罗敏庄好可爱哈哈，欣怡好看很多，但是居然没和黄宗泽一起，俩人互动其实蛮不错的，不过超模也漂亮，长脚蟹傻傻的~            
(3星)	 马浚伟和郭羡妮都老了，不过一个很帅一个很美。因为是非正义方，所以最后就不能完美吗？不开心            
(4星)	 幽默喜剧+浪漫爱情+悬案，很不错的组合。            
(3星)	 马仔呀马仔，你已经很迷人了，你是要怎样？！            
(4星)	 低成本高制作            
(NA)	 这样的剧本拍成电影更好看吧            
(4星)	 8错             
(3星)	 有点意思挖这题材~越来越喜欢邓健泓了            
(4星)	 最后那段集体舞囧到不行，可是最后一幕告诉我这不是一个happy ending~            
(3星)	 题材有新意，特别喜欢一个空间几股人马的角力，但可惜铺展开来缺乏新意。超喜欢邓健泓，演得又贱又可爱，此子前途无量。            
(4星)	 很有阿加莎的风格，很多人被关在一间酒店里，一条主线延伸出很多条分叉；很久没看到这样的港剧，其中还穿插讽刺现实的桥段！演员也都很赞！            
(2星)	 开头还兴致勃勃，大概维持了最多2集不到？后面实在是差啊……已经没有在看了……            
(4星)	 好看            
(4星)	 马浚伟= =            
(4星)	 黄宗泽仍旧只有帅点没有亮点   马浚伟【亮】了            
(3星)	 喜欢这种风格 郑欣宜好可爱            
(5星)	 好笑            
(4星)	 情节怪怪的            
(3星)	 冒牌名模嬌滴滴地說粵語+黃宗澤兒兒聲說普通話……感覺好和諧啊！            
(4星)	 港版24小时            
(3星)	 相比鱼跃就明显没那么好看……不过开始那几集还不错。结局全部洗白，果然是TVB套路！小马也太耍帅了吧            
(4星)	 剧情紧凑，久违好剧。马仔是坏人么？郑欣宜终于有点戏份了。坐等狗血剧情再现。2/20看完了，给四星是因为剧情很紧凑，久违的。但是结局依然狗血且有点杯具的味道，怀疑会拍续集。马仔得绝症那段我猜到了，但感觉有点牵强。郑欣宜依然是打酱油的，不是元华亲生女也不是小BO的女友= =            
(4星)	 其实仔细想想也不是特别好看！            
(4星)	 挺有趣的设定~            
(4星)	 是TVB近期看过最好看的剧了。TVB 的演员都是一级棒的。            
(3星)	 最后的结局很狗血的说            
(4星)	 台词很逗。            
(4星)	 为什么TVB男主角的发型都很雷同？            
(3星)	 烂尾了            
(3星)	 看了前半部分，本来想打4星的。。后面不行了啊。。整个又变成脑残剧了。。            
(NA)	 结局太奇怪了！！马浚伟的消失已经够糟糕的了，黄宗泽怎么会莫名其妙和丹丹走到了一起...一点也不喜欢那个丹丹呀！！最后马浚伟虽然有出现，但是够没头没脑的...不过出现总比不出现得好！！！想着想发现都是幻觉！！！还有那雷人的群舞！！！///黄宗泽，帅。            
(2星)	 马浚伟不适合演反派，低成本制作，内容幼稚做作            
(5星)	 what a wonderful world。            
(3星)	 开头结尾出众，中间拖沓了。            
(2星)	 真没发觉有什么好看的，为毛豆瓣上的评价还这么高，豆瓣的口味真是，越来越没参考价值了豆瓣上的评价            
(4星)	 邓健泓！！！！！！！！！！！！！！            
(NA)	 主题音乐是我好爱的what a wonderful world！！！！！没想到这套小剧这么好看！剧本好节奏好也感人，欣宜演的也好好！            
(5星)	 好温馨            
(3星)	 郭羡妮还蛮好看的。bosco没跟郑欣宜配！！不错。            
(3星)	 比预期要好，值得一看            
(3星)	 11话弃。            
(2星)	 太狗血了            
(3星)	 这剧情谁编出来的，真是绕来绕去的关系啊，不算太好看。            
(3星)	 情节好            
(4星)	 其实剧情还是蛮有新意的 就是内容进展太拖沓了 急死人了            
(3星)	 只为马浚伟            
(4星)	 近几年里TVB出的算是有惊喜的剧集，至少猜得中开头，猜不中结局。马生演技没话说啊。黄生是我喜欢的帅。七日改变了所有人的一生。happy ending得不落俗套。            
(NA)	 最后的宝宝好可爱～！            
(4星)	 what a wonderful world的监狱组舞裙也太有爱了吧~~~可惜calvin还是走左……            
(4星)	 結局太造孽了            
(NA)	 不看了~            
(3星)	 这次觉得他真有型            
(3星)	 只为马仔，不过黄宗泽在这部戏里也很顺眼，郭羡妮终究是敌不过岁月的侵蚀啊            
(4星)	 以为是老剧呢，竟然是新片。。。            
(4星)	 题材新颖，郭羡妮很美            
(3星)	 最后没看完 弃剧了            
(4星)	 看的我很昏闷            
(4星)	 为什么最后这么狗血要得癌症！            
(4星)	 题材还是不多见的。虽然情节雷点不断人物智商偏低，但是郭羡妮让我微微改观了。黄宗泽仍是一贯的戏路。郑欣宜在走胡杏儿的路。马浚伟若在大结局时不出现会更加分。            
(3星)	 马仔一下子连主两部，幸而，这部比起上个好太多了，其实说实在的，一开始这个剧情还有点儿小新鲜，各种酱油人物也都挺好玩。可惜，最后几集有点颠覆性的失败，不是我说什么，tvb为啥一定要走到这样的道路上呢？所谓的叙述大道理以及美好的人性转变还有大团圆什么的...看得我都觉得矫情和尴尬。            
(4星)	 爪机刷完了文字结尾集，狗血的结尾与我猜得一样，不打算再看一下视频的了，不过题材故事背景真的挺新鲜的，这样的故事过程有这样的结尾也合情合理            
(3星)	 波罗这么一说我就那么一看。郑欣宜为毛脸这么小胸这么大！！科技展现力太差了，虽然我是看TVB剧长大的。            
(4星)	 说好的欧阳震华 林保怡 陈键锋去哪了？！！！！！！！！！！！            
(5星)	 看到我女人伤心我就伤心啊~~~还好calvin没让我失望....结局么太大团圆了...PS：女人里面超级漂亮啊！！！            
(NA)	 邓健泓太搞笑了~XD            
(4星)	 挺温暖的，但毕竟是肥皂剧，情节有点幼稚，用来浪费时间刚刚好!            
(3星)	 七            
(3星)	 开始有新鲜感，后来流于俗套。但是此剧的马浚伟，我真的很心水。            
(3星)	 人都老了，只有肥肥女儿还不错            
(4星)	 十几年各种形色的好人卡都收集的差不多了，这一次的易早安有点小惊艳啊马仔。还是喜欢看这样的众生相，最后得到一片温情，我已经假习惯了。            
(4星)	 除了马仔，其它都是浮云~            
(3星)	 劇情, 節奏比想像中好, 只是選角可以好一點            
(4星)	 （只看了1~4以及20集……）            
(1星)	 有我老公也弃了 扫瑞             
(4星)	 前15集看的还比较有，后面几集追都懒得追，好歹坚持看完，HE的结局还算很有爱。不过怎么感觉剧情编的还是不够精巧呢？TVB确实不行了，已经没什么给力的剧了。p.s.女王360度无死角，极致啊！其实剧情都是浮云，看女王就成了，yeah！            
(3星)	 虽然阵容变了，但有马浚伟，好吧，捧场。            
(4星)	 我好希望Calvin真的是坏人，没有那么多的因为所以。。            
(4星)	 看到最后居然还觉得不错~神奇            
(5星)	 不闷 很好            
(4星)	 隔离的七天，封闭的酒店，情节的设计让每个人都有自己的特点，TVB能拍出这样片子就冲个4星吧~~            
(5星)	 第一次看欣宜演戏，马仔在里面到底算坏人还是好人呢            
(4星)	 久违的TVB            
(4星)	 第二集里那个医生说“我只不过犯了所有男人都会犯的错”是在向成龙致敬咩…忘了第几集，“我不是特工，不用叫我易先生”……马浚伟有很帅啊~公安都出来了，还扮超模，还“为人民服务”，真是不简单啊。            
(3星)	 一开始觉得挺扯的 后来还挺感人 不乏欢乐还不虐心...给四星！            
(4星)	 绝逼好笑的邓健泓好么。！！！为乐你多给2星啊。follow me~我系一名凶悍的绑匪~~~~~~~~~~~啊哈哈哈哈~            
(4星)	 喜歡這種情節，雖然案子不多，正是因爲這樣才能將劇情寫得飽滿。編劇超讚，馬浚偉在這部劇裏也很帥。又是一部小地理維度的故事，所以人物性格都很明顯，所以每個人物我都愛！包括壞人也是沒腦的可愛，不誇張且恰到好處。看到這樣的喜劇加懸疑，在猜疑的過程中盡享歡樂。            
(3星)	 难得反叛的马浚伟 不喜欢郭羡妮额戏 困在酒店里各种人忙各种事  酱油片子            
(3星)	 果然最终演绎了一场完美的龙凤斗。            
(5星)	 calvin撒娇吃醋得意坏坏的各种表情到位~55555555为什么calvin要死掉啊，难过T_T            
(NA)	 易早安真的帅爆了啊！！            
(4星)	 若可以，我也愿随你亡命天涯，死生不弃。            
(4星)	 近来港剧小突破，题材不错。            
(4星)	 马浚伟越来越有味道了，可惜……hasta la wista            
(NA)	 bosco巨萌~            
(3星)	 那个星星是被郑欣宜的身材硬挤出来的            
(5星)	 郭女王你好靓啊！！！            
(4星)	 马浚伟！好看。演什么都好看，偷偷希望他不要爆红，这样我就可以自己欣赏啦。            
(4星)	 20集拍7天发生的事，桥段挺不错的，又挺搞笑，没有郑欣宜白痴的演技就更好看            
(4星)	 打发时间的。打发的很顺利。给四星。            
(4星)	None
(4星)	 马浚伟啊！！！            
(4星)	 两颗星给bosco两颗星给马浚伟            
(5星)	 今年看的最喜欢的港剧了，题材比较新颖，剧情神展开，最后洒了点狗血还是可以接受的,,,各种搞笑搞怪！            
(4星)	 剧情比较新颖 ，案中有案的 。马浚伟的白色西装，很有白马王子的感觉啊 。郑欣宜给人眼前一亮的感觉，演技还可以 。            
(4星)	 片子开始不错的，后来不行了。            
(4星)	 選題很有創意            
(2星)	 实在看不下去了            
(3星)	 知道结局之后就弃了。马浚伟帅过黄宗泽了！            
(4星)	 挺新颖的啊。重点是马浚伟在里面            
(4星)	 易早安，早安早安，尚早何安            
(3星)	 真狗血~            
(4星)	 电影剧本拍成了电视剧，不错哦            
(4星)	 奔着主角去的。            
(5星)	 我就是喜欢这几个演员可以么 还有那个小配角很亮            
(3星)	 小成本+精巧的结构，其实故事可以更复杂些~            
(3星)	 普普通通的TVB剧吧，比较期待黄宗泽，越来越有型~~~            
(5星)	 总算是没有把这么好的题材给毁了            
(4星)	 整个剧情安排得很巧妙，每条线索都穿插得很巧妙。不是什么大制作，但越是平凡越见真情，这剧很不错            
(3星)	 神经质 其实蛮好玩            
(5星)	 一开始是为了BOSCO看的，但是真的很喜欢这种剧情的！！结局也还算可以            
(3星)	 算好看的了            
(4星)	 好好看。。。如果再短点就好啦~邓健泓的赞呀            
(3星)	 喜剧，剧情还可以。            
(NA)	 我是想看豆豆眼的马浚伟            
(4星)	 那段时间最喜欢的连续剧            
(3星)	 还行。。。。但是没有追着看完的激情。。。            
(3星)	 马浚伟演技不错，郭羡妮没那么讨厌。前半段太难看了，结局还马虎            
(3星)	 每日吃早饭时在IPTV看的...看的断断续续...越看就越觉得这剧实在是很令人无语...明明挺好的题材怎么就拍成了这样...叹息~            
(5星)	 好看！！！！！            
(3星)	 真不是太好看的片儿...但是为了黄宗泽我就忍了...但是郑欣宜的脸看着怎么这么别扭啊~而且郭羡妮确实是老了...时间这把杀猪刀也给小玄子这顿砍啊...唉...            
(4星)	 七天发生的事情，人性~             
(5星)	 确实不错            
(4星)	 挺新奇的，不过刻意弄出没事都要弄出点事的感觉太无语            
(1星)	 看了一集就没看了..            
(4星)	 剧情设置不同于以往 有新意            
(2星)	 要不是有bosco……很莫名啊            
(4星)	 为了马浚伟和黄宗泽去看的。然后HLL的被剧情弄桑感了。。。            
(3星)	 没什么好说的            
(4星)	 题材很吸引人 郭羡妮不错            
(3星)	 演员阵容不错，剧情虽然牵强，不过还算有点新意            
(NA)	 结局有点出人意料            
(4星)	 不怎么喜欢calvin，喜欢赵sir。但是在tvb里看到大陆公安有种微妙的感觉，特别是最后完成任务的时候敬了个礼说“为人民服务”控制不住笑出来了哈哈            
(4星)	 马浚伟演得很帅啊            
(5星)	 入戏了,看完我也从隔离中走了出来            
(5星)	 真心好看啊！强烈推荐啊亲~~~            
(5星)	 可以可以~~~            
(3星)	 冲着黄宗泽和马浚伟看的。还行吧。             
(3星)	 随便看看，前半段还蛮好笑的            
(3星)	 太乱            
(4星)	 还不错~比我预期的要好看~            
(3星)	 我看了有俩个多月才慢腾腾的看完。。。            
(4星)	 还是打给黄宗泽的            
(2星)	 有够无聊的！！！            
(5星)	 不错            
(4星)	 易早安哈灵~            
(4星)	 黄先生真是越来越帅了 剧情有创新 但是很多线还可以再发展的 草率了 不过有帅哥就好了            
(4星)	 神一般的烂尾…不过作为狗血大团圆爱好者还是很满足。            
