http://movie.douban.com/subject/2286181/	十万吨情缘
(5星)	 大爱啊大爱 看100便也不烦 yama            
(3星)	 绝对看过的            
(3星)	 反正它就叫TVB            
(4星)	 初中回忆 张可颐还不错            
(3星)	 看过一点点点点的样子，游艇什么的            
(3星)	 看的时候自己也在暗恋中，所以极其希望暗恋者都有个好结果，一直不待见女一，可惜不管怎样，也拦不住男一和女一相爱的心。            
(NA)	 仍记得第一集。。            
(5星)	 不知道为什么就是很喜欢！好看！            
(5星)	 让我印象深刻的爱情小品。塔罗牌，风车山，摩天轮……..具备了一切浪漫元素张可颐好靓，所有的演员都好搞笑，整部剧轻松愉快，百看不厌！            
(NA)	 想再回味下            
(5星)	 之前还看过重播。。见到两个主角成日都因为误会而要分开。。真系好惨。。            
(5星)	 记得当时读小学的时候看的非常不错，现在看来不过觉得挺无聊的一个故事。            
(4星)	 靓女滕丽名。            
(5星)	 风景很好            
(4星)	 i didn&#39;t really like this one, and i didn&#39;t take it serious either.... i thought it was just some random low budget show -.-            
(3星)	 第一集非常搞笑            
(1星)	 辉哥哥。好好先生！            
(5星)	 因为它认识了辛波斯卡~我也想坐游轮~            
(5星)	 看过的最好的TVB爱情剧，没有之一~            
(5星)	 好可爱的剧啊！喜欢            
(3星)	 姐真是个情缘王。。            
(3星)	 忘了什么了，反正挺搞笑！~            
(NA)	 滕滕 二小姐 我果然爱你们              
(3星)	 大油轮我的梦啊            
(5星)	 风车山的传说~            
(5星)	 白饭鱼和黑旋风的爱情~~~风车山迷人的传说~            
(4星)	 我还记得女主角的英文名            
(5星)	 最爱的港剧之一            
(4星)	 当年好中意噶戏，E家都中记得第一集讲咩            
(5星)	 現在翻出來看，還是很好看，還為此特別學摺紙花            
(3星)	 高中看的，当时追着            
(3星)	 记忆中这片子男女主很纠结...            
(NA)	 TVB的典型烂尾片，前面可以给4.5-5颗星，后面几集最多值3颗星不过值得一看            
(4星)	 很浪漫呀~张家辉和张可颐的邂逅浪漫搞笑又精彩。            
(5星)	 太好看了这个。。。            
(3星)	 我记得我看过，仅此而已。            
(5星)	 最爱看的港剧  经典中的经典            
(3星)	 也不差。            
(4星)	 爱情都有重量的            
(4星)	 好看好看，插曲超级好听            
(NA)	 有句台词我妈妈印象很深            
(4星)	 二小姐就是质量保证。这里面TT美丽。            
(5星)	 白饭鱼同黑旋风！！             
(5星)	 当年莫名的喜欢            
(4星)	 很多人都爱的一部片子~            
(5星)	 张可颐在上面好漂亮哦~~            
(4星)	 我用了三天的时间看回了这部我看过但印象已经模糊只记得有个好多风车的情景的电视剧，这一次看的时候，我激动万分，因为刘华那个骗子。看完，我有了感悟。是缘分！真真切切得那么浪漫！            
(4星)	 还是多经典的！            
(4星)	 不错看~            
(5星)	 很溫馨的一部愛情小品~搞笑中穿插著感動，喜歡這部劇！            
(5星)	 具体情节记不清了，只记得当时是午夜剧场，每天为了这个电视剧熬到半夜，乐此不疲            
(3星)	 很好玩，很轻松的剧。            
(NA)	 张家辉啊~~            
(2星)	 少女漫畫或者言情小說的橋段都用上了...            
(4星)	 冇认真睇            
(4星)	 看过的张可颐演的电视剧不多，记得这一部            
(5星)	 十遍以上            
(4星)	 破镜重圆，接着破镜重圆，又破镜重圆的故事~~多好的故事~油轮风景还是很赞的~还要说，俩女配异常可爱，很有光彩！            
(4星)	 在游轮上的故事            
(4星)	 人真的是因为缘分在一起的。            
(NA)	 欢喜张可颐            
(5星)	 小剧            
(3星)	 男女主角不配~~~            
(3星)	 纸花..风车..            
(3星)	 恩~还行吧~不过也是通过这部剧第一次了解一点点关于游轮的东西~            
(5星)	 只记得是在酷暑的暑假看完了这部剧，貌似最后一集是我某个很青春的生日看完的，很搞笑很轻松的剧，喜欢可颐~            
(4星)	 喜欢张可颐            
(5星)	 张家辉是让人温暖的男人。。            
(4星)	 这个时候的滕丽名还是很喜欢，超爱她耳骨上的耳饰严重影响了我            
(4星)	 张可颐和张家辉还是很搭的，可惜的是情节有些拖沓了，而且漏洞多了点            
(3星)	 张家辉不用说啦！也是很早以前电视追的~            
(NA)	 没什么感觉             
(3星)	 两人在国外的那段很浪漫            
(3星)	 这个够浪漫？简直就言情了~            
(4星)	 好好睇吖,睇几多次都唔厌吖            
(4星)	 其实~蛮好看嗒~            
(4星)	 yama！            
(NA)	 看了好多遍阿。是因为以前中午回家吃饭翡翠台都在播。            
(4星)	 其实都几俗套，但是那时好爱看            
(NA)	 不一样的滕丽名。。            
(4星)	 张可颐最美的时候啊，真的好美。我也学会了折那个花。            
(3星)	 又是因为无聊而再次看的剧～            
(3星)	 天。。。我都对自己无语了。。。            
(4星)	 缘分还真是，兜兜转转都是你。            
(4星)	 张家辉演电视剧其实只有好看后来我会折了那种向日葵            
(3星)	 闪电结婚，迅速离婚            
(5星)	 超级浪漫            
(3星)	 记忆中张家辉难得白马王子的出现，还有一个是凤凰传说            
(5星)	 特意去学了无比难折的太阳花            
(3星)	 麗星郵輪的廣告            
(NA)	 我爱他们三人 尤爱 Din            
(NA)	 看的时候喜欢张可颐            
(4星)	 看过之后很想坐邮轮来开始我的蜜月            
(4星)	 貌似就是因为这部剧开始喜欢maggie~这部剧有点虐，蛮对我口味的            
(3星)	 一般            
(5星)	 很喜欢，心情不好时拿来看看绝对管用。张可颐张家辉太可爱了。            
(5星)	 可爱的张可颐，搞笑的汤盈盈~爱情，友谊和开心的日子，就是人生的关键吧            
(3星)	 这里面张可颐泼辣的可以.我一直不觉得她好看,戏也没几部拿的出手.不过这部片子里,她真的演得不错.            
(NA)	 我爱张可颐，为什么现在都不出来了嘛？讨厌！            
(5星)	 爱情~他们的搭配也很好玩的~很喜欢这部            
(3星)	 看完后居然有点喜欢张家辉了。            
(5星)	 现在仍很喜欢的戏。            
(NA)	 挣扎着看完。。。            
(5星)	 2003            
(3星)	 可以的            
(5星)	 六星            
(3星)	 还行,忘了            
(4星)	 真的很舒服。。~是里面的外景找的不错哈~            
(3星)	 主要就是为了看张可颐。            
(NA)	 看过点·～            
(4星)	 蛮搞笑的            
(4星)	 [BSc] 当时我还专门学会了叠那个太阳花            
(3星)	 主题曲“会挂念就承认会挂念……”我喜欢            
