http://movie.douban.com/subject/6389525/	钱多多嫁人记
(3星)	 有家庭的阻碍也能有情人终成眷属，戏剧终归是戏剧，我们得落地回到现实中来…            
(1星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈看了那么多次芒果台的片花预告，我一直以为女主是曾亦可，肿么回事            
(NA)	 主要还是看演员，故事很无聊            
(1星)	 欢乐吐槽剧~~但是男猪脚又丑又蠢，不能忍受！！！不多钱多多终于嫁掉了。。。尼玛！！！            
(NA)	 我不懂为什么同一个剧情的戏要在同一年拍两次？是钱多多吗？李小冉和刘涛比起来差太多了，还是演文艺小清新比较好。其他演员也还行吧。            
(3星)	 三个星星给韩国淫            
(NA)	 这是星际迷航的Spock思密达…人海中这本没看，改成得什么鬼东西            
(3星)	 不如杜拉拉拉好看。。。            
(3星)	 情节有点乱，不过我偶像演得棒！！！            
(5星)	 很喜欢            
(4星)	 记得要幸福……            
(2星)	 。。。。。            
(3星)	 我是李小冉的脑残粉啊~            
(3星)	 也没他们说的那么差吧。。。            
(2星)	 老太婆的裹脚布，又臭又长！整部剧让人觉得纠结难过，一直期待明朗的那天，却迟迟不到来，却是莫名其妙的冲突翻来覆去。最后又结束的很突然。            
(2星)	 真糟心，没办法忍受，粗制滥造，不爽！！！1特别不能明白朴海镇是靠什么出道的，长得也就那样2书不怎么着电视剧更是给改得乱七八糟3你他妈不穿运动鞋会死啊，上班上身西装脚下运动鞋不难受的慌            
(1星)	 情节很突然 剧情很烂 朴海镇自毁前程啊~            
(2星)	 啥不说了，就那么点事，翻来覆去的讲了30多集，也怪不容易的            
(3星)	 两颗半星电视剧  半颗星给你年女婿            
(3星)	 寒假            
(NA)	 本来李小冉挺好看的一姑娘怎么越整越丑了呢服装一换再换也是那套。能不这么寒碜么？不过整体来说 是在进步            
(4星)	 看了很久，朴海镇好帅啊。。            
(2星)	 看了几集就看不下去了，中国女主和韩版男主对戏，怎么看怎么别扭，弃。            
(3星)	 挺喜欢小冉的，大方干净，朴海镇最近在芒果露脸次数很多嘛。还有那个村姑，脑子是不是不太正常，弱智儿童欢乐多……            
(NA)	 2012年1月28日看。            
(2星)	 小说都接受无能，电视剧就更受不鸟了            
(3星)	 我就不明白了，为什么要找一个不会说中国话的韩国人用中文唱歌。。。。            
(3星)	 冲着朴海镇的~~拍的好假~~~~            
(3星)	 妈妈看这个电视剧，我也看完了35集，剧情依然是不真实的调子，但是我看到最后还是很感动。家庭和事业爱情都是要靠自己去努力争取的，有时候放弃和离开也是一种幸福，但没有努力过就一定意味着懦弱和失败。            
(3星)	 俺娘是朴海镇的粉，我喜欢李小冉。。。            
(3星)	 根据很早一部小说改编的，现在看来，故事有些幼稚，情节上面没没什么大意思，看着乐乐还行，李小冉在这部戏里面演的一般般……之前在看来不及说我爱你的时候就觉得她的气质真的不太适合，这部里面感觉也怪怪的，也许是我要求太严了吧……            
(2星)	 我是因为朴海镇才看的~那那~剧情够2X的 不过小跟班演的还是很到位的 导演问题 剧本很幼稚 ~很爱小跟班（传闻中的七公主里的朴海镇） 不因成功而快乐 但因快乐而成功            
(3星)	 找个韩国人演，好古怪            
(2星)	 剧情有点乱、轻、拙~            
(2星)	 不好看，算是把李小冉给毁了            
(2星)	 没看过原著，但觉得剧情好拖沓无趣……            
(3星)	 终于可以开始 缺宅男女 了~话说我还是不喜欢看这种韩星演的电视，而且还是姐弟恋，总觉得怪怪的。果断回归TVB~            
(5星)	 也是关于剩女的，外加职场生活等，给人启发的一部电视剧。            
(3星)	 剧情不怎么样，演员演技也不怎么样，但真的受益匪浅，想到了我曾经喜欢的一句话。            
(3星)	 配音啊好怪            
(3星)	 很多地方衔接不好跳点太多，还好我脑子好使啊。李小冉一直喜欢。25集以后就拖沓的让人看不下去了            
(NA)	 爱情在生活中蹒跚            
(4星)	 高帅富燃起了我的少女之心。师生恋让我春心荡漾。老情人让我笑而不语。            
(5星)	 人生最幸福的事莫过于有了正确的目标，并坚定的一直向前走。            
(3星)	 钱多多很幸运，虽然被列入剩女的行列，但是她并不愁嫁            
(2星)	 我只能说 这部片子太对不起海大了 从一个都市精英文 变成了一部都市小白家庭伦理种田剧 伤心啊            
(3星)	 剧情真经不起推敲，多多你真有钱，自己都能卖大房子            
(5星)	 一转眼，又是一年的春节了。 :)            
(1星)	 一群傻逼。从来没这么恶心过主角，编剧他妈到底是有多恶毒才能让他写出这样的剧本，这三妈太他妈神了。            
(3星)	 就，接受得了，虽然故事到后面真心狗血了一点。anyway，这个寒假终于把它看完了~            
(2星)	 太难看了 看了几集看不下去了            
(3星)	 所有的剩女片都为剩女们指出了一条明路：那就是向弟弟们开进吧！            
(4星)	 此剧非常喜感，算是国产剧里非常好的了，推荐推荐。            
(3星)	 有编剧的问题，也有演员的问题，很多情结不连贯，有些莫名其妙，而且片子够拖沓。当然，无聊的时候看看，也可以。            
(2星)	 起初是同学推荐，才看了这个片子，看了没几集，觉得挺屎的，不过还是坚持看完了……看完之后最大的感触就是：剩女or剩男的妈你真心伤不起！！！            
(3星)	 一切只为一个爱字。            
(NA)	 这尼玛开头唱的是什么啊？我草，我边玩游戏边听电视，楞是没听出来是哪国的语言！！！当我知道他说的是中文的时候，我震惊了！！            
(3星)	 哎呀这么没意思我还看完了……和TVB和日剧甚至韩剧都差得多，主要是情节，转折太突兀，比如男猪女猪感情升华，还没怎么地呢，只表个白就去见家长了。期待下来林依晨和陈柏霖的新剧，哇咔咔            
(2星)	 可惜了我的小冉。芒果台能再雷点么？            
(3星)	 全靠李小冉撑人气了，就冲着她才来看这个电视剧的~            
(NA)	 赵圆圆是亮点，依依很漂亮，有味道，后面的奶茶广告植入实在太多了。            
(NA)	 诶嘿嘿~我追了回电视剧~            
(2星)	None
(NA)	 = =呵呵            
(3星)	 被帅哥美女所吸引            
(2星)	 因为李小冉加一星-_-#            
(1星)	 好好笑的喜劇 笑死我了 哈哈哈哈 （ 去你媽的去你阿媽的去你媽的 省略一萬字）            
(1星)	 我擦！不能在一起都是你妈逼的！你妈逼的！            
(2星)	 冲这俩主角来，带着韩依依走            
(2星)	 逻辑有问题吧，看着看着就会出现一些莫名其妙、突飞猛进的情况，爱的莫名其妙，分的莫名其妙，让我不禁怀疑自己有漏看情节，整部剧只能用太夸张来形容，平常父母即使操心，也不会是这样的做法吧            
(3星)	 拖~~~~~~~~~~~~~~~~~拖~~~~~~~~~~~~~~~~~~~~            
(2星)	 白瞎了男女主角。。。            
(3星)	 女儿男友的爸爸是自己的前男友            
(5星)	 love is a pie in the sky.            
(NA)	 无限快进拖动ed            
(4星)	 喜欢多多 也喜欢多多的手机铃声 正用着呢^_^            
(3星)	 能不让朴海镇穿西装配耐克吗？我勒个神呀！还有我希望，一句“我爱你”有它该有的重量。这句话就该像朴海镇说的那样诚挚和慎重。            
(4星)	 相约奶茶的广告牌儿能小点么            
(1星)	 一阵恶寒。。。。            
(3星)	 怎么这么多人吐槽啊。 我脚得还行啊.. 李小冉皮肤真好。肥皂剧么 不就是娱乐娱乐的            
(5星)	 星都是给李小冉的，还有那个白百合般的女人。            
(2星)	 我想我是疯了……            
(3星)	 朴兄还是很敬业的……            
(3星)	 看到男猪脚有种穿越感……            
(2星)	 只看李小冉            
(2星)	 电视上看到一集已经觉得脑残的不行            
(2星)	None
(3星)	 高宝宝这妈挺有爱的，李小冉的部分还是挺可以看的            
(3星)	 钱多多身上有我喜欢的劲儿。年士兵没有以前的感觉那么好了。            
(3星)	 朴海镇那部分分明是韩剧，邵兵那部分明显家庭战争剧，而黄小蕾那部分显然乡村爱情剧嘛！ 主题曲，真是歌词烂，唱的烂，听了半天什么都没听懂！剧情狗血的地方太多了，各种连接不顺畅，各种情节不明白！李小冉的演技还是值得肯定的。            
(1星)	 剧情太脑残了，当观众是白痴么？一星给男主角，是我喜欢的棒纸。            
(3星)	 打发时间还成。            
(3星)	 一星给原著小说，一星给小冉，最后一星纯粹是因为它拯救了我回来后闲的蛋疼的数个上午 ＝ ＝！不过。。这片剪得也太跳跃了吧！！！！！            
(NA)	 呸            
(1星)	 看了前五集，实在看不下去了。            
(1星)	 导演剪辑的太烂了。。。故事情节能有多扯就多扯。。。剧本改的真不给力。。。 真浪费了朴海镇的好颜= =            
(3星)	 喜欢看到问题明朗化时的那个笑容！最美~            
(NA)	 剧情不予置评。但是超级high李小冉~~~喜欢这个范儿~~~            
(2星)	 寝室有个家伙在下面看，我在床上玩电脑，一部小心就看完了。。有时候5,6集没看，偷瞄一下，剧情还是跟得上的。            
(2星)	 看在李小冉和朴海镇的份上打两星⋯⋯这编剧和导演脑子是不是进水了啊，纠结来纠结去的完全没有逻辑可言。            
(3星)	 - - 只为男主角 剧情无语            
(NA)	 假想一下现实多美好            
(3星)	 高级白领，高级剩女，但最后还是遇到了自己的真命天子，男猪脚的嘴唇超级性感！            
(2星)	 中午在休息室吃饭看的，各种假各种狗血各种讲不通。            
(1星)	 实在是受不了弱智的剧情和黄小蕾装傻的样子            
(3星)	 再扯的电视剧看到最后大团圆的一幕还是不由感到幸福            
(3星)	 是奔着演员去的，但是情节怎么感觉很混乱。            
(2星)	 太磨叽了！！！！奇怪的配乐！！！满屏的奶茶广告！！主体不明的编剧=v=            
(4星)	 很养眼！            
(2星)	 纵使有李小冉，我也看不下去了！            
(3星)	 好好的一本书，怎么改成这样啊？            
(2星)	 什么烂片？！要不是老妈推荐我真是忍无可忍了，剪片的脑子被门挤了？！前后逻辑完全混乱，这是倒叙插叙正常叙大杂烩吗？            
(1星)	 我操你妈！！！！！！！            
(2星)	 剧情太跳跃 剪辑很混乱 白瞎了男女主角            
(NA)	 只看了结尾三集就明白全部剧情了。女主角设计的那都是些什么啊，比森马都不如，就这水平就能得国际设计大奖？男主的老娘几碗汤就被收买了，邵兵演的那个角色就是个耸男，那么厉害的前妻，被现任和前婆婆一通劝就改好了。反派不像反派，有钱人不像有钱人，剩女不算剩女，帅哥也没法看。真是槽点巨多。            
(3星)	 各种拍摄技巧不行，看起来就像情景剧，有些话还是有一定的道理的。            
(3星)	 哎呀我滴妈啊，他比她小4岁啊。。。钱多多你死心眼，你嫁给许飞又不是嫁给他妈。。。男主的配音好怪啊            
(2星)	 二剧一部。可删除大部分剧集，不停地搅沫沫            
(3星)	 李小冉短发真心好看。            
(3星)	 只为了喜欢钱多多的坚持~坚持梦想坚持爱情~做着自己认为对的事情~            
(2星)	None
(2星)	 = =。改编的很失败，狗血恶俗集于一体，除了人物名字没变之外感觉剧情跟小说几乎没有联系，加的几个配角实在很多余，看过小说才奔来看电视剧，很失望，改的太烂了！！！            
(2星)	 旁白是在让我觉得有点恶心……韩国演员的配音一如既往地听得难受……片尾曲实在是韩国流行歌硬生生按上中文歌词……剧情前半段节奏慢得要死，最后两集快得要死，前后的逻辑也不太对，人物感情变化得也太大了吧亲。            
(1星)	 莫名其妙。。。            
(1星)	 太烂了，情节好烂，感觉演的好生硬，其实情节就这么烂，没办法啦。到处都有苹果的广告，你妹啊。那个棒子面无表情，你面瘫啊！！！ 那个田慧子长的倒是挺好看的。剧中的角色怎么都神经质似的。尤其那个小保姆，真让人受不鸟            
(2星)	 这粗制滥造到一定程度了啊...小说可没有这么乱七八糟好不好！！许飞丑到爆了！看看刘涛那版的许飞长什么样子好不好..那才是原设定好不好！不要跟我扯什么上一辈的插队的乱七八糟的关系好不好...            
(4星)	 看完了大结局 蛮有趣儿            
(NA)	 哪来这么多大团圆            
(2星)	None
(2星)	 麻麻每天5集CCAV-8看 我顺便看了每天的那么一两集消磨时间。李小冉还是很喜欢。看过小说 被改得过于戏剧化 改动太多 毁了。            
(2星)	 拖拖拉拉的剧情            
(2星)	 喜欢李小冉的表演，但其他人有些太假了            
(1星)	 钱多多和许飞那一部分完全照搬韩剧求婚的狗血情节，鄙视。            
(3星)	 奔着李小冉还凑合，那俩东北农村的不给力！东北人也没那傻样啊，真不知道各位导演能不能给黄晓冉一个好点的角色，太抹杀她了吧？！            
(2星)	 因为是小说改编才去看的。。没想到。。和小说毛关系啊！！浪费好的演员啊。。有些情节真的是夸张到过分了。。看不下去了。。。            
(1星)	 这一颗星给朴海镇，皮肤要不要这么好            
(4星)	 三星给帅气的朴海镇，一星给李小冉。。。            
(NA)	 黄金剩女的故事            
(1星)	 感觉就是韩国电视剧老一套剧情，尤其是男主角，感觉还是再演韩国电视，倒是长得很帅。虽然本剧有激励女人独立上进的励志作用，但情节编的太假了，作者一定没有深入生活，台词都太假。导演编剧应该水平也不高，除了主角，其他人的演技简直不敢恭维            
(3星)	 世界不会忽然变好。            
(4星)	 简单的情节却也拍得不赖。：）老少咸宜。            
(2星)	 邵兵都那么老了还和80后的美女谈恋爱，看着像父女恋似的，怪恶心人的            
(3星)	 毁了李小冉            
(3星)	 因为朴海镇妈妈每天追五集            
(4星)	 最近无聊了。。。4星给剩女戏最后还有个圆满结局，最近给老女人戏分普遍飘高。。其他情节只能说，哪有那么多极品的人啊！！            
(3星)	 挺简单的事情 被这几个妈 搞得鸡飞狗跳....我就是喜欢多多开的内个 甲壳虫...嘿！~            
(4星)	 多多和师弟结婚了 还是很幸福的 谁说姐弟恋不好            
(3星)	 不得不说，干嘛非要搞个中老年男人的声音做旁白，一身鸡皮疙瘩。。。            
(1星)	 一颗星給依依跟明申那对的演绎,编剧是垃圾            
(1星)	 尼瑪啊小說被改得不成原樣了阿,錢多多的髮型不適合李小冉阿親            
(1星)	 挺垃圾的，不贴近生活，也不梦幻，更没什么思想可言，到处都充斥着丑陋的行为和干瘪的人物。可惜了张俪和朴海镇。芒果台真是毁人不卷。我老妈提出关键一点，也是这个剧的一大bug：进屋不换鞋，谁在家里还穿着个大高跟鞋，哒哒哒地走来走去啊？            
(NA)	 我已经彻底三俗&amp;恶俗了。刚一开始就被香飘飘奶茶给震精了！！！            
(NA)	 从开始许飞母亲那一句一句的“飞儿，飞儿”的叫着，就把我雷了不行，漏洞百出的剧情，为什么全家除了都爱看？无法接受，编剧给点逻辑行吗            
(1星)	 一星都不想给！编剧太没水准了，片子脱离实际、不接地气            
(3星)	 剧就那样，朴海镇是真的很帅、、            
(3星)	 不知道是因为剧本身还是湖南台的缘故，现在只要是芒果播出的剧都觉得巨雷无比。。。            
(3星)	 朴海镇一星，李小冉一星，给两星太寒碜，一星底线，三星好了......            
(NA)	 又一出“爱家”电视剧 陪爸妈看是其一 其二就是无论怎样都要享受着 吼            
(NA)	 from cctv8            
(NA)	 虽然我说李小冉不要再演苦逼的角色了 可这里面怎么就看着这么别扭呢。。。果然她已经是悲情女王了么。。。朴海镇还是那么帅啊 可惜演这剧真是辛苦+糟蹋了            
(2星)	 音乐无论作曲还是剧中运用都是韩国偶像剧的风格，朴海镇有时还摆脱不了韩国的礼仪动作，比如弯腰鞠躬之类。            
(3星)	 还算口以。            
(NA)	 在家被迫看的。山寨韓劇            
(1星)	 混搭，跳剧，看不下去。            
(1星)	 车轱辘剧，真TM无聊            
(2星)	 太烂的片子了。。 为啥非让一韩国人唱主题曲，难听到死~~~~~            
(1星)	 唉，烂得不能再烂的剧，编剧脑子里都是屎啊？可惜了演员。            
(1星)	 真的很烂            
(1星)	 简直看不下去！！！看两位主演本来很期待呢，结果跟了一下根本就不是那么回事儿，剧情都不连贯！味同嚼蜡...            
(2星)	 难受的演员搭配，琼瑶式的台词，影响力不够。            
(2星)	 虽然觉得男猪脚挺帅，但剧情实在不敢恭维...            
(3星)	 太多的非黑即白和莫名其妙的死钻牛角尖，倒显得有点儿不自然了。            
(2星)	 也就圆圆有看头，大傻妞，大智若愚型，太可爱了吧            
(3星)	 太拖拖拉拉了，没意思            
(2星)	 大龄剩女的泡沫梦            
(NA)	 成功的姐弟恋！            
(NA)	 陪老妈~~            
(1星)	 李小冉你还让不让人活了！！女神啊！你为何沦落到这部雷剧里！！！！            
(1星)	 我妈看了都表示导演是吃屎的。            
(3星)	 十级可以搞定的戏，硬是被拖了几十集。。。小冉童鞋想走文艺女青年路线，怎奈硬是被逼上家庭伦理剧和棒子剧的风格。。虐啊虐~~~唯一的看点就是李小冉的衣服真不错~~            
(3星)	 这部片就纯当看看李小冉养养眼  嘿嘿            
(5星)	 喜欢朴海镇和李小冉。。我承认我花痴了。            
(2星)	 无聊...长又臭...看到崩溃...            
(3星)	 。。。            
(1星)	 我就不明白了你找个韩国的男人来干什么？反正是口水片就不能捧捧中国的自己人？真以为韩国人有市场？看看有韩国人的《剑雨》《无极》《巨额交易》《雪花秘扇》等等，市场的大嘴巴子抽的还不响吗？真正的做做市场调研吧，完全不知道消费者想要啥。没看见中国的渔民都干死一个韩国警察？            
(3星)	None
(3星)	 一般般啦啦啦啦~~            
(3星)	 （麻麻）我麻麻天天在追的哇            
(2星)	 我就想知道这个片的配乐为毛从头放到尾，这还叫配乐么？不过那个女声版的《yellow》还挺不错的            
(2星)	 一半是韩剧,一半是家庭战争,还有一个在满口东北话学小沈阳,演员好过剧本,不仅仅是翔,简直是飞翔,超级翔。唯一,对李小冉短发的造型欲罢不能,哎,我得是多喜欢短发的姑娘呀。            
(2星)	 又是完美的零件，愣拼凑出个运转不灵的机器。            
(2星)	 看了半集，没欲望看下去了。。亏我下了这个久。。。            
(3星)	 没看完就决定放弃了。            
(3星)	 冉姑娘，好生美啊            
(3星)	 总觉得钱多多有点劲劲儿的……            
(4星)	 为朴海镇加一颗星~Mua~            
(3星)	 屏幕外的自已有时也和钱多一样.            
(2星)	 好好的一个电视剧，都被拍成什么了乱七八糟的了？导演编剧的脑袋被门挤了吧，拍得这么又臭又长。可惜了几个主演。            
(4星)	 虽然有些情节，部分演员有些夸张，但还是能看到此具有中国特色的地方，还可以吧。就是这歌曲为什么让朴唱呢，一句也听不懂！            
(NA)	None
(NA)	 这部戏碰到的问题也比较现实，一切放宽心，恨只会让人越发不懂得爱，理解家人，尊重自己很重要。一般这种时候，对方的态度与处事方法就能看出是不是你要的人，无条件地相互信任。            
(1星)	 看这个剧 就想说除了看李小冉这个小美人 其他真是一无是处了。。。完全不合逻辑的烂片啊            
(3星)	 纯属是为了看朴海镇。哈哈。            
(4星)	 没什么 最近实在没得看 相比那些宫廷戏 这个还是很轻松            
(1星)	 烂剧情，烂剪辑。            
(1星)	 脑残剧。。。但是每天回来就这个点 没别的看了。。理解无能剧情乱七八糟无厘头 演员都是干什么吃的 片头片尾曲真的听到我想哭。为什么要找他唱???为什么???随便找个中国人都比他动听吧!!!            
(NA)	None
(1星)	 朴海镇在韩国混不下去了吗？！老老实实拍韩剧不好吗，拍芒果台的电视剧不嫌掉价吗？！！！            
(5星)	 我违心了。。。对不起光剧情来说撑死三星，画面三星半吧主要是朴海镇把平均分给补上来了  太迷人了            
(3星)	 只是喜欢朴海镇，不过李小冉我实在不喜欢。            
(3星)	 马文真可爱。            
(4星)	 剧情其实是很狗血的。但是有靓女帅哥！！！所以看的很嗨。哈哈！            
(3星)	 好好的大陆本土电视剧  用个韩国主角  面无表情  毫无喜感  不伦不类             
(5星)	 找了一个韩国演员来演，哎，真是美中不足，李小冉，原本不是很熟悉的一个女的，自从看了他的植物学家的女儿后，感觉不错，有意思的一个人，钱多多这个角色演的不错            
(3星)	 电视一星，背景乡土感强烈。前言不搭后语的，台词剧本都吐槽无力了，多两星给李小冉            
(2星)	 除了朴海镇和李小冉的脸，真不明白还有其他什么看头。            
(4星)	 觉得挺好的，怎么分都那么低。。。难得主演演的都那么自然，不雷            
(NA)	 我又无聊了 哈哈哈            
(1星)	 这样也能算电视剧？？            
(3星)	 因为男女主看的 可是发现刘涛陈楚河那版比较好看 这部男主一方面配音郁闷 李小冉么 演古代的或民国的比较适合 现代的不行。。。之前追了十集多 但是有事就耽搁了 然后就懒得继续看下去 直接奔了大结局 唉 这剧真的不行。。。            
(NA)	 未来的我就是钱多多，我真心不想结婚。。。。。            
(NA)	 欲罢不能的            
(1星)	 棒子            
(1星)	 一直快进中，半集弃剧            
(2星)	 小说就够狗血的了，电视剧更扯，前言不搭后语的。。主题曲没有字幕听不懂的！！！第一次做汉语的听力成绩这么差的。。。            
(1星)	 土到掉渣……            
(NA)	None
(2星)	 看了一集。靠！本来冲着朴海镇看的，那配音，那片头曲、那不着调的剧情、那傻啦吧唧的圆圆。靠！坑死爹了。            
(3星)	 绝对是看在朴海镇的份上给的            
(2星)	 是男主角的脸支撑着我看了那么几集。。。仅此而已            
(3星)	 韩国的帅哥两个字：勾魂~~~            
(3星)	 看过花絮，一点看的冲动没有，粗制滥造            
(NA)	 压力啊            
(3星)	 大圆满的结局，对于现在的我来说看着有点假~            
(2星)	 最近改编剧太流行了，但总是原著比较好看！            
