http://movie.douban.com/subject/1790861/	神雕侠侣
(2星)	 小龙女怎么变成了一天到晚穿黑衣呢            
(5星)	 只要是杨佩佩当制作人的，程小东当武术指导的都是好片！            
(2星)	 糟蹋啊。。            
(5星)	 史上最好小龙女。杨过扮演者的演技稍显稚嫩，但从头至尾亦有进步。至于原作中被改动的地方皆有所长，16年后谷底重逢每每让人流泪难止。是心中永远的经典。            
(1星)	 小龙女太老啦            
(2星)	 简直是对原著的颠覆，居然还制造了一头小辫子的黑衣小龙女，无法好响！还是孙兴的郭靖演得不错，还有就是陈红是所有版本中最漂亮最符合原著精神的李莫愁。            
(4星)	 呵呵，我喜欢            
(NA)	 唯一的印象，服装好暗淡            
(3星)	 剧集OK，但选角上就太SB了~~~            
(1星)	 烂片            
(3星)	 还是没有古天乐 李若彤版的经典            
(2星)	 不喜欢。            
(NA)	 再次毁过儿。。。            
(3星)	 这部电视剧火了的是曲子。。。和配乐。。。            
(NA)	 黑衣小龙女            
(2星)	 这个搭配也笑死爹了            
(3星)	 小齐的《伤心太平洋》，那时满大街都在传唱            
(5星)	 我就喜欢这版的            
(3星)	 主角选的实在很让人出戏            
(3星)	 最不像原著的小龙女和杨过            
(NA)	 其实 我是这一版诸位姐姐的脑残粉。。。            
(3星)	 为嘛找吴倩莲演。。。            
(2星)	 雷，被李若彤、古天乐版的远远甩在身后。            
(5星)	 随风飘飘天地 任逍遥            
(1星)	 最烂的一版            
(2星)	 这一版的真的是无语！            
(3星)	 李立群不错            
(2星)	 真心看不下去了，吴倩莲你这是要干嘛？！            
(3星)	 這個造型實在讓我難以吐槽            
(3星)	 好雷人            
(2星)	 史上最雷人的杨过与小龙女。            
(2星)	 我爸说 这两b也太可身点了            
(1星)	 拜托看一下书好么，哪有穿黑衣服的小龙女！！            
(1星)	 这杨过和一身黑衣的小龙女啊，坑爹吧            
(2星)	 这个版本实在不行。。            
(5星)	 再看仍然是最好的一版            
(3星)	 小时候看过，总印象很好。现在重新看，才发现演绎得一般。            
(5星)	 我觉得很好看啊，吴倩莲不靓吗？            
(4星)	 貌似这版我当初也追的 只不过就留有这个印象和女主独特的声音罢了~            
(2星)	 他奶奶的神雕俠侶怎麼有這麼多版本 這個我就不說了            
(1星)	 啧啧，N年前最没看头的时候看过，            
(3星)	 觉着任贤齐版杨过太丑了            
(2星)	None
(4星)	 我肯定冷门了...印象最深的是这版——随风飘飘天地任逍遥，有木有！            
(NA)	 每天早上开电视只能看这个..            
(NA)	 小学追看。            
(1星)	 我只能说我太二了，这种大烂片竟然完整看过？所以有发言权了！真是最糟糕的神雕！服装烂！演员选的烂！（对演员本身无看法，但对演员演这个角色有看法）小龙女是那么多姑娘中最不好看的！尼玛 她师姐李莫愁是陈红演的！比吴倩莲的小龙女美100倍啊！杨过长得后现代啊！我觉得我可以写一篇《伤不起》了！            
(4星)	 如果这部戏不叫神雕，也许我还是会喜欢的。            
(3星)	 这是我心目中的小龙女啊            
(NA)	 当年觉得吴倩莲的小龙女造型酷毕了！            
(2星)	 不厚道的说这是最丑的小龙女+杨过            
(3星)	 这部毁在主角上。企是一个丑字得了。            
(3星)	 吴倩莲的小龙女感觉更纯净。            
(NA)	 当时就觉得任贤齐演杨过怪怪的            
(1星)	 你杀了我吧吧吧吧！            
(NA)	 苦X魔鬼盘花头小龙女，认真你就输了哟~            
(2星)	 任和吴，这。。。导演也真有勇气。。。然后我竟然也差不多看完了            
(2星)	 在错的世界看到了不对的电视剧。            
(NA)	 雷雷更健康...            
(3星)	 变味了            
(3星)	 金庸剧是不是都这样，抓着一个当红的演个遍。。。介个小龙女。。哎            
(5星)	 評價怎麼這麼低，這可是我童年的回憶耶            
(2星)	 任賢齊我知道你是個RP相當不錯的好男銀 但實在想請你以後安心唱歌少出來演戲了行麼 你演戲也行但也別要就楚留香要就楊過的...真的你饒了我好麼 = =            
(4星)	 实在是喜欢这部里的欧阳锋，小龙女在戏里才是最大的龙套            
(3星)	 看的第二版本，小学时，歌很流行            
(NA)	 请原谅我我真的看过这个版本= =            
(4星)	 小时候看的，这版本看着舒服啊            
(2星)	 俩字，我呸            
(1星)	 那时的贤齐兄就展示了傲人的演技~~            
(NA)	 这部戏，选角就是错误            
(4星)	 尼玛啊！！我觉得这是拍得最好的版本啊！！！小学的时候我是用这个版本的小龙女来意淫的啊啊啊啊！！！            
(3星)	 道具服装挺颠覆的~            
(3星)	 很多版本，这个就记得杨过的配音很吓人            
(3星)	 这个版本很要人命啊！！！            
(1星)	 黑衣小龙女雷的我里焦外嫩啊！！！！！！！！雷的我无所不能！！！！！！！！            
(3星)	 每次都是冲着孙兴和夏文汐去看的~~            
(NA)	 有任贤齐最好的歌            
(NA)	 这个版本真是 亵渎原著吖吖吖            
(3星)	 为什么好多人要反感呢，平心而论，其实吴倩莲还是很好的，她的那种寡淡是很适合小龙女啊，我以为，演技什么的比小眼睛更抢眼            
(2星)	 呵呵，挑了这对侠侣可够XIA            
(2星)	 山寨            
(NA)	 哥特版小龙女。。。黄蓉居然是夏文汐。。。。            
(2星)	 形不似，神也不似。            
(3星)	 印象里唯一穿黑衣的小龙女。。。。            
(2星)	 任贤齐演了杨过后，连唱歌都没人听了            
(2星)	 也就是主题曲说得过去，加一颗星。            
(2星)	 扮相为何要那么的难看呢？~~~            
(2星)	 这部剧当年就让我有了雷的意识            
(2星)	 又是毁了我心目中的经典CP啊.....            
(1星)	 1星给吴倩莲            
(4星)	 神雕侠侣最喜欢这部....            
(2星)	 主题歌不错，除此之外么...没了            
(2星)	None
(3星)	 三星给歌            
(3星)	 雷雷更健康            
(3星)	 有前面一部片子 这部怎么都超过不了啊。            
(3星)	 = = 一身黑的小龙女，我的过儿直接悲剧了            
(1星)	 雷死我了            
(2星)	 为什么找任贤齐演杨过啊            
(3星)	 哈哈~非洲小龙女            
(1星)	 剧情被改得像狗血般。吴倩莲演小龙女还行，任贤齐演杨过？！从没看过这么烂的金庸剧。            
(3星)	 小齐那时候没少演大侠，不过实话说，他真没大侠的气质            
(NA)	 = =            
(1星)	 哦买噶！！！要没有孙兴我真是不想看下去！！！            
(3星)	 除了歌好听就没有了。。            
(2星)	 香肠嘴==            
(4星)	 童年的第一部神雕侠侣            
(1星)	 我最不喜欢的一版了。。。实在是不知所云。。。            
(4星)	 我一直觉得任贤齐很帅啊            
(3星)	 一颗星就只是为了我钟爱的小齐啊小齐，你的古装真丑啊真丑……            
(3星)	 其实我很喜欢这一版             
(2星)	 这部真的比大陆版的还衰= =            
(NA)	 既演杨过又演令狐冲的伤不起。            
(2星)	 任贤齐，你别老毁大侠行不。。            
(3星)	 任贤齐，还是和众美女演的楚留香好看            
(NA)	 这一部里就陈红和董晓燕出点彩            
(1星)	 喜劇版            
(3星)	 没有那版好            
(NA)	 我喜欢吴倩莲的小龙女！！！！！！            
(3星)	 只是放了太多主创自己的思想其实也没那么糟来着 把关于古天乐版和原著的印象清的差不多了就再看一遍            
(NA)	 喜欢古天乐那部 这一部的男女猪脚眼睛都太小了！            
(2星)	 这个  额 ...            
(3星)	 黑寡妇版小龙女。            
(3星)	 男女猪脚  额            
(3星)	 一逼的丑。。。            
(NA)	 我都不记得好坏了…            
(1星)	 去死啊！！！！！！！！！！！！任贤齐 ！！！！！！！！快去死！！！！！！！！！！！！！！！！            
(2星)	 这个小龙女总是喜欢穿黑衣服，当年一直奇怪16年后为什么小龙女的衣服是绿色的，后来发觉是长霉了            
(3星)	 这版的杨过太寒碜了。            
(1星)	 很受不了这个            
(4星)	 季芹好漂亮！看完这部就一直记得她的名字。任贤齐唱歌好听，演戏就....咳            
(1星)	 这样的杨过，小龙女？            
(3星)	 小时候看过，感觉不错的            
(2星)	 卧槽的版本。            
(2星)	 = = 请把那颗痣P掉，谢谢            
(3星)	 夏文汐的黄蓉和陈红的李莫愁啊            
(3星)	 但是小龙女的确是非洲版的。            
(1星)	 这一版可以去屎了。。。            
(3星)	 小时候是个片儿就觉着好看            
(2星)	 糟蹋~            
(2星)	 最不喜欢的一部《神雕侠女》            
(1星)	 换个名字能死啊。            
(5星)	 两个都挺稚嫩的人物，呵呵            
(2星)	 很有颠覆性            
(2星)	 非洲小龙女~            
(1星)	 苦大仇深版杨过和小眼小龙女            
(2星)	 黑衣的小龙女？            
(1星)	 不解释.            
(3星)	 为了看夏文汐，俺有重温了一遍            
(2星)	 还是喜欢古天乐版的啊            
(NA)	 小时候很喜欢吴倩莲 觉得她有种捉摸不定的气场 ...            
(1星)	 吴倩莲其实不丑，但是这里的造型既侮辱了她又侮辱了小龙女。任贤齐叫“姑姑”我听起来很反胃            
(2星)	 最让人崩溃的一版神雕。            
(NA)	 别看了            
(1星)	 小龙女怎能是一身黑衣呢？            
(3星)	 悲惨啊，我没看古天乐的版本，尽然看了这个。            
(2星)	 当时是在没电视了看了两集，实在是惨不忍睹，乖乖地做作业去了...            
(1星)	 最差就是你们的组合啦。            
(NA)	 服装啊造型啊实在是太雷了，你以为古墓派就真的跟从古墓里挖出来的一样么？            
(2星)	 比不上古天乐            
(4星)	 为什么大家觉得不好看。。。            
(1星)	 神经病            
(2星)	 原来可以是这样子的……对这个CP保持沉默。。。。            
(3星)	 我没看完，就看了一点            
(2星)	 黑衣小龙女。。。o(╯□╰)o            
(3星)	 黑衣小龙女。。。            
(4星)	 我对所有的神雕侠侣统统买账            
(1星)	 ……我就是要给差评            
(2星)	 这部，，我居然也看过，，，            
(3星)	 任贤齐演的金庸虽然都不咋地，但是这些剧的歌曲真的很武侠风。            
(3星)	 吴倩莲演的还可以的，其他的就..................            
(3星)	 这部电视剧看得我很欢乐。            
(3星)	 只对片头或片尾还有印象= =            
(2星)	 不说什么了，真的是《神雕侠侣》电视剧里最烂的一版！            
(3星)	 别骂了，我小学时候看的这部篇子。但至今想到小龙女时脑海中还是会出现她的头像。            
(NA)	 任贤齐实在是。。。            
(NA)	 彻底汗了            
(3星)	 任贤齐主演影视作品的特点：不能看，但是可以听主题曲            
(2星)	 对比李若彤版的，让我好纠结啊。            
(NA)	 最醜一版的神雕俠侶~            
(3星)	 明显没有香港版本的红啊！那是古天乐和李若彤开始红起来的电视剧啊！            
(2星)	 不喜欢，就是不喜欢。喜欢不起来            
(2星)	 太雷。            
(2星)	 两个主角真的很不适合角色，也不搭。            
(1星)	 都很丑            
(2星)	 最难看的杨过和小龙女了            
(2星)	 小龙女一般            
(2星)	 一直看小龙女不顺眼~~~            
(4星)	 这一版比较个            
(NA)	 任贤齐把所有帅哥大侠都演遍了，何德何能呀！！            
(2星)	 就只记住歌曲了，还有，这版的小龙女真不怎么样。            
(NA)	 这两都不是我中意角色的类型            
(1星)	 无论怎么看都很差            
(2星)	 哦 齐仔 虽然我是那么的喜欢你 但是...请还是唱歌吧......            
(2星)	 该说什么好？。。            
(2星)	 无语。。。那个小弄女我想吐。。RXQ。。。唉。。。。            
(2星)	 雷死我了            
(1星)	 垃圾            
(1星)	 真让人受不了，这两位同志            
(3星)	 改动的地方比较大……            
(3星)	 还有这个版本！            
(1星)	 烂的惊天动地            
(2星)	 歌很好听！！小齐演的只有楚留香还可以~~            
(NA)	 毁剧之一            
(2星)	 省省吧好吗            
(2星)	 台湾真的没帅哥了吗            
(NA)	 脑袋疼            
(2星)	 这，投资商脑子被驴踢了            
(1星)	 除了歌曲好听还有乱伦外就剩重口味的吃屎了...            
(2星)	 任贤齐歌好听，但还是不要演电视剧，说话声音怪怪的，吴倩莲不适合演这个            
(2星)	 这版。。这版。。演员是怎么选的            
(4星)	 没看完            
(3星)	 个人觉得其实还好，主题曲也不错            
(3星)	 没看完整，拍的与主流有点脱节，但的确有一些神奇的思想拍出来了            
(3星)	 吴倩莲没有李若彤惊艳，任贤齐没有古天乐英俊，台湾不适合拍武侠剧。可取之处在于吴倩莲仍然有气质，任贤齐够痞。            
(2星)	 改成什么样了，真是……            
(1星)	 看到男女主我就吐了            
(3星)	 歌很经典啦            
(1星)	 选角失败            
(1星)	 拜托，有这么丑的杨过，这么黑的小龙女么..            
(3星)	 当年我竟然看完了。。。我也是奇葩。我记得这个小龙女，总喜欢穿绿衣服。。。            
(NA)	 啊哈哈哈哈哈哈....我只想笑了            
(2星)	 小龙女实在有点难看。。。。            
(1星)	 无他 男女猪脚都太丑了            
(3星)	 一直记得里面杨过跟小龙女说的一句话：姑姑，美好生活就从这第一口豆浆开始！ 当时尚且年幼的我直接被雷的七荤八素，窃以为这句话应该给永和当广告台词用。            
(2星)	 任贤齐？杨过？貌似不是同一个星球滴...            
(1星)	 无与伦比的恶心            
(2星)	 对我的审美观进行了强烈冲击的一部片。。。造型师当时心里到底在想些什么。。。            
(1星)	 不喜欢这个版本.李若彤是我心中唯一的小龙女.            
(3星)	 至少比内地版强            
(2星)	 我那时再无知都觉得这个太雷了……            
(3星)	 只能说这是一部超级另类的神雕            
(5星)	  吴倩莲 小眯            
(5星)	 小齐演得还不错            
(2星)	 实在这对杨过与小龙女没有神雕侠侣的那种感觉啊...            
(1星)	 垃圾            
(2星)	 跟香港的沒法比。。。            
(1星)	 很累人，除了有陈红，没什么可看之处了            
(NA)	 丐帮小龙女。。。            
(2星)	 不能怪剧本，演员没选好啊            
(3星)	 居然还被小小感动了下            
(NA)	 主角不好看            
(3星)	 比古仔版的稍微逊色一点……            
(2星)	 这部实在有点雷~~            
(2星)	 不喜欢这2主角            
(4星)	 我看的第一版神雕 也是我最爱的神雕            
(1星)	 你们这些人，嗨，无语了            
(5星)	 无论剧情改编的多渣，人物扮相多雷，台词设计多广告，过了十几年之后再看吴倩莲的小龙女依然涌起当年的悸动。虽无倾城貌，但这不食人间烟火，冷若冰霜的寡淡气质，再没有第二个人演得出。5星赞吴倩莲。            
(3星)	 反而我对它有好感，大概是因为喜欢郭芙            
(3星)	 其实吴倩莲演得不错，就是任贤齐不咋地            
(NA)	 配乐都好听。。。            
(2星)	 真的很垃圾，浪费制作费            
(NA)	 实在太……了，不知道怎么看下来的            
(NA)	 任贤齐 吴倩莲            
(2星)	 吴倩莲的小龙女版本实在让我不能接受，那个造型和寡妇似的，整天一副别人欠了500W的表情            
(2星)	 囧            
(2星)	 僵尸一样的人            
(2星)	 最惊人版杨过与小龙女。。。。            
(4星)	 吴倩莲很冷很冷。            
(1星)	 比较失败            
(3星)	 不算是好版本            
(3星)	 虽然很喜欢吴倩莲 但是不得不承认这一部没有香港版的好看            
(NA)	 那个造型，真是。。。。。。            
(2星)	 简而言之，失败的作品            
(2星)	 看过几集，很烂            
(NA)	 我最喜欢这一版的            
(5星)	 最接近原著的拍摄            
