http://movie.douban.com/subject/2153592/	欲望都市  第五季 Sex and the City Season 5
(5星)	 我爱每一个人            
(5星)	 喜欢萨曼莎~~个性牛叉~无可抵挡~            
(5星)	 Life moves on.            
(5星)	 开始打算用来学英语,后来一圈下来就学会了&#34;啊!&#34;&#34;哦&#34;&#34;NO&#34;以及&#34;MY GOD&#34; &#34;FUCK&#34;.........            
(5星)	 必须的生活调味品。            
(3星)	 这季有些情节不知是编剧掌握定位捏不准，还是想转折，反正有些略微牵强奇怪，不过依然很精彩，配乐选取也很棒            
(4星)	 charlotte能不能不犯傻逼             
(5星)	 欲望都市这么现实的剧原来也需要一个温暖励志的结局。            
(5星)	 Carrie有时候很自私，不知道这是不是外国人的通病，过于个人主义了。            
(3星)	 这季好短            
(5星)	 很好的教材            
(4星)	 为什么只有8集？            
(4星)	 无法不把你当做最爱的剧。            
(4星)	 这季有点压抑啊            
(3星)	 有了小朋友 是第五季里值得开心的事            
(5星)	 简短又轻快的一季，在充满乐趣中不知不觉的就结束了。            
(5星)	 喜欢就是喜欢，需要什么理由哦！            
(5星)	 看到第五季開始喜歡Miranda，自己有很多rules但卻是四個人當中爲了愛情改變了最多的人，甚至放棄了工作為ex生養一個孩子。            
(2星)	 Single woman&#39;s complaints            
(5星)	 片子本身一般，喜欢大概是因为寓意或是掺杂在里面的感情            
(4星)	 很难认同她们的大都市价值观，爱情故事却是放诸四海而皆准。            
(4星)	 这季只有八集一会儿就看完了，这一季都不怎么生猛啊简直都没什么印象！            
(5星)	 这一季虽然很短但是编剧很轻快。Carrie第一集里的新发型挺好看的。            
(5星)	 和大家的评论相反，这是前五季中我最喜欢的一季，虽然是最短的一季。也许因为讨论的话题都是我的菜。            
(4星)	 sex and luxury            
(4星)	 carrie不和男人糾纏我就覺得她不賤了好多            
(NA)	 大学时代女生们的最爱            
(5星)	 美剧中的第一，永远都不会过时。4个女人的那些衣服，carrie的那些鞋和包看到现在都依然是经典；现实的剧情和犀利的台词更成为了前世界所有女人的恋爱教科书，女人要的一切都能在这里找到。片面地说，如果你作为一个女人而不喜欢这部剧，我有足够的理由怀疑你到底是不是个真正的女人。            
(5星)	 教会了我很多事情……            
(4星)	 它顺利完成了它承上启下的过渡使命。            
(4星)	 S5为毛和S6是重合的            
(5星)	 怎敢只有八集TAT。            
(5星)	 跟前四季比，有些平淡，其实我不太喜欢凯利的短发。我喜欢艾登，可是艾登，还能看到几次呢。哇，56网评论居然用的是豆瓣里的，有意思。不得了了，不得了了，凯利，你居然从第七集起变成了个欲女，神那。天天找人get laid!            
(5星)	 i love it. 看了不知道几遍了            
(NA)	 连瑟曼撒都不做爱了，这一季果然是最难看的！就看到凯瑞在那里发牢骚和发骚@！            
(4星)	 介不是当年那启蒙篇咩？            
(5星)	 讨厌凯瑞的作家男友。            
(3星)	 4、5两季比较一般            
(5星)	 我爱你这季的发型，我爱你娇憨的声音，喜欢你的房间你的才华你的朋友，你说过的话。            
(3星)	 So happy to see Samantha falling in love and Miranda having a lovely baby~            
(5星)	 宝典啊宝典……            
(4星)	 4星半·Carrie在这季的短发好看极了            
(4星)	 很落寞的一季。            
(4星)	 虽然只有短短的8集，却依然精彩，玛琳达的那句：“你最近有没有生过BABY”让我笑歪了嘴。            
(3星)	 这一季如此无聊，怎会评分如此之高？？            
(4星)	 剧情开始简单，越来越普世化，CARRY没那么癫了。            
(5星)	 这个就不用说啦，最爱~~            
(5星)	 更多的华服，造型都有很大的改观，故事情节偏温暖了些            
(5星)	 第一季看到中途有点看不进了，停下来看了第五季~立刻爱上了第一季，和纽约恋爱的女人~maybe是我最爱的一季，继续从头看吧~特别喜欢Carrie和Samantha~            
(5星)	 夏洛特遇见了哈利～这季只有八集。            
(4星)	 开始出现各自归宿了么            
(5星)	 新发型很好看             
(4星)	 觉得这一季更爆笑            
(4星)	 最爱Samantha.            
(5星)	 短发的Carrie很帅            
(5星)	 will and Jack liked it            
(4星)	 相当狗血的一季啊 如果不是sex and the city都给三星了。是不是Sarah Jessica Parker去生孩子了 才拍那么点            
(4星)	 一直的爱。翻来覆去好几遍。            
(NA)	 episode3 : I love you too but I love me more            
(5星)	 Adam 啊            
(5星)	 有思想内涵的美剧。怎么样看自己才是最重要的。            
(4星)	 Believe it ;do it,then get it.            
(5星)	 这一季短的要命。            
(5星)	 爱拉啊            
(5星)	 还有什么好说呢。            
(5星)	 太好看了！            
(5星)	 Carrie净遇上JP            
(5星)	 第二遍            
(5星)	 这季太短了            
(5星)	 这一季节奏慢了下来,但是很温情......            
(NA)	 爱萨曼莎            
(5星)	 渐入正常生活            
(NA)	 犹太人。光头制片人。领养中国童。            
(5星)	 我每一集都没有落下            
(5星)	 just me            
(NA)	 最爱            
(5星)	 喜欢carrie的短发造型哦~不过，从第四季开始感觉这些个女生越来越更年期了，连男人都那么固定了~~            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(5星)	 第五季又结束了~~~~~            
(4星)	 ep.8 lilac            
(4星)	 那么多季里面不知道为什么就选择了第五季时尚 友情 爱情（主要是整天整日谈论爱情）samantha的感情生活对我来说还是稍稍混乱了些            
(5星)	 最爱哦            
(5星)	 这张海报我蛮喜欢的。            
(3星)	 六季當中最平平無奇的一季。            
(5星)	 让你深陷其中的生活            
(5星)	 这季里carrie的发型很好看            
(3星)	 无聊的一季    股市开盘的前奏            
(NA)	 some, so so            
(4星)	 for new york now and forever            
(5星)	 这一部为什么这么短？            
(NA)	 煽情得不像话，四个女人逐渐都有了归宿，Carrie弯路走得多了些。还好最后总能回归到她们的友情，有朋友在，真好。            
(5星)	 永远的精神食粮            
(5星)	 希望有机会可以去NY            
(4星)	 這一季莫名其妙的短！            
(4星)	 10 Feb 2012。可能數個因為這一季特別短 連我這種記性很差的人都會記得從頭到尾發生了什麽 這樣果然不好 不好的感覺不會磨掉而一直持續 我可會自欺欺人了吧 笑 圍繞著兩個關鍵字 新書和抱怨 新出現的伯格好迷人和哈利真真切切好人我猜 爲什麽夏綠蒂一說我想我愛上了你 他就退卻了 是不是不該開口說愛？            
(NA)	 最喜欢的一季~            
(3星)	 我最讨厌Carrie的一点不是她在爱情里矫情拧巴事儿妈，是她对朋友太特么不仗义了。            
(4星)	None
(5星)	 改名叫【買鞋子順便找男朋友】吧。            
(4星)	 这一季开始感情生活趋于稳定，miranda怀孕的话题我不想再多看了，但是这确实是很多人青春的结局。            
(5星)	 欲望都市是一部值得我看一辈子，从年轻看到老的电视剧，某种程度上，他是我的生存圣经。            
(5星)	 第二部完全看完的美剧。            
(5星)	 这一季大家都好暴躁！            
(NA)	 AIDAN走了后 有点乏了 carrie的着装品位也跟着下降            
(5星)	None
(4星)	 其实都挺有道理的            
(3星)	 这季好短啊。。。好不容易大家都单身这么精彩怎么就拍这么短捏！？            
(5星)	 这季唯一的贡献就是看见光头和夏洛特是怎么在一起滴            
(3星)	 炒冷饭。            
(4星)	 居然一直没更新这个            
(5星)	 我爱第三集            
(5星)	 又想再看一遍了            
(5星)	 好看            
(4星)	 这一季由于主角莎拉·杰西卡·帕克怀孕了，所以才八集，所以剧情也比较平淡，只是讲到夏洛特结交了一位犹太男人。不过总感觉米兰达貌似真得怀孕了，这季胖了不少，她也是四人中从第一季到现在变化最大的。这季凯莉剪了短发，成熟了不少，也是一种新的开始，到底第六季会讲些什么，看了才知道。。            
(5星)	 samantha：I love you ,but I love me more..            
(NA)	 ★★★★★★★★☆            
(3星)	 是发型的原因还是Carrie还能有能耐让我觉得她在这部里头更做作了一点……然后为延续剧情，只好把她身边的朋友越发再演绎得无脑一点？            
(5星)	 第五季            
(NA)	 一生不变的经典！            
(5星)	 原来只有8集~            
(4星)	 看上了就不要想停            
(4星)	 最爱当然还是第四季。我现在能说我最爱的美剧是SATC么~（捂脸跑走~~~）            
(5星)	 必须收藏！            
(3星)	 集数太少，情节不如第四季精彩。            
(4星)	 OMG... too much sex talk in a day...........            
(4星)	 Carrie新发型不错            
(5星)	 是这电视剧令我对纽约很向往            
(3星)	 没印象的一季。。。            
(5星)	 挚爱不解释            
(4星)	 最喜欢第三集她们一起去赌城回来在公交车上的那段。。            
(5星)	 Samantha那一段真洒脱。            
(4星)	 非常喜欢carrie这一季的短发型            
(4星)	 太短了这一季，carrie的新发型很漂亮，但性格还是喜欢不起来。            
(4星)	 shar终于见到她未来的丈夫啦。            
(5星)	 当我们都老了，还好有我们的回忆，爱过就不后悔，Mr.Big,你有吗~            
(5星)	 你记得陪我看过吗 下完了放在宜家的小桌子上一起看             
(5星)	 六季还都是从大学同学那儿倒过来的呢，看完了一直存在硬盘里，时不时就翻翻，结果男友为了他的狗屁游戏没问我意见直接给删了，为此大吵一架！            
(5星)	 从做人到做事，一切都有范儿。            
(5星)	 我突然忘记第五季讲了些什么，只是，真心不想到最终季啊。            
(4星)	
(4星)	 几个人从赌城回来的那个巴士 那张照片 so sweet...            
(5星)	 发现carrie变得毒舌了……            
(5星)	 挚爱            
(5星)	 超赞            
(5星)	 心头大爱            
(3星)	 这季好短啊，走温情路线了。导演大晒，Mr.big怎么越来越不像以前那个big了，是为了最后和carrie在一起做铺垫么。Miranda开始演母亲这个角色了。Sam自Richard之后就不再那么潇洒，倒是更可爱哈哈。Charlotte和貌不惊人的‘Hairy’这段反倒是这季里面最好            
(3星)	 乏善可陈。            
(5星)	 &#34;u r the one&#34;要等多少年？            
(3星)	 Sarah Jessica Parker越看越丑啊…… Mr. Big 像乔治·克鲁尼！            
(5星)	 这部剧的重点在这四个女人的友情上            
(5星)	 其实，越看越觉得，最令人感动的，不是爱情，而是四个人那至真至诚的友谊。//第五季好看。            
(5星)	 更喜欢Carrie的短发look！也预示着一切都发生着变化！            
(5星)	 Carrie短发好看极了！Charllotte那个除了脑袋不hairy哪里都hairy的男朋友超级可爱~很适合她。            
(3星)	 Carrie烦到一个巅峰...SJP脸和声音违和度太大            
(3星)	 喜欢miranda 开始不喜欢carrie, and what?! a baby, it sounds like the most impossible thing that ever happen to miranda...            
(5星)	 凯瑞变得很神经啊! 那种奇怪的语调和断句,真让人难受!             
(4星)	 第八集很棒            
(5星)	 虽然很多人不喜欢杰西卡•帕克的大长脸，我还是认为这是能排上我个人最爱美剧前三的~~~每年夏天都会翻出来重温一次。女人，要多爱自己！            
(3星)	 为Carry的发型加一颗星            
(3星)	 是因为怀孕了才这么随便拍的吗？不感冒的一季            
(NA)	 只有8集，一天就看完了。我太不学术了。            
(4星)	 一直为 亚当 抱不平 多痴情 多深爱她的男人哇  但她还是纠结于big  哎  这就是爱情吧…            
(4星)	 E7里的BIG爱死了            
(5星)	 That&#39;s LOVE...            
(NA)	 已经对Carrie无语了……至于Samantha的那位旗鼓相当，真是可惜了。            
(5星)	 記住了那雙manolo            
(4星)	 就算是过了这么多年在去看，衣服一点都不觉得老套。看来这就是大牌的魅力            
(4星)	 56季颠倒着看，凌乱啊~            
(4星)	 真心讨厌carrie，，，，其他三个完美            
(5星)	 超爱 第一部美剧。。哈哈哈哈 有存档哦亲            
(5星)	 我觉得哈利很可爱=。= 夏绿蒂真是lucky            
(4星)	 差不多都忘了各季都讲的是什么了。。。            
(4星)	 减成四颗星，因为床戏少了 = =开玩笑，主要是讨厌C的搔首弄姿~好做作啊~~~            
(5星)	 大爱            
(5星)	 少了一半            
(4星)	 居然只有8集            
(NA)	 瑟曼萨请继续你的无忌和风情。            
(5星)	 六季看了我两年            
(5星)	 不错 值得一看            
(5星)	 能说什么呢,女人必看的经典,!!            
(5星)	 喜欢Charlotte Samantha Miranda~~            
(NA)	 第五季            
(5星)	 经典不解释            
(5星)	 最爱的美剧，没有之一。            
(5星)	 就是在不停地更换中找寻最适合的人            
(4星)	 忘了是第几集 M放弃打胎后三个人围在她身旁 说着“we have a baby!” 温暖得哭到不行            
(5星)	 31.  欲罢不能~            
(5星)	 大爱            
(4星)	 -_-原著也好看……            
(4星)	 这季只有8集，MR. BIG不在怎么出来。夏绿蒂的真命天子终于出现了，与之前不同，NICE MAN！最后再说一句，米兰达的娃娃好可爱！CUTE GUY!            
(5星)	 很不错，友谊万岁呀            
(4星)	 撇开sex有很多不错的道理            
(4星)	 这一季，看到她们都改头换面了。突然觉得她们成熟得那么青春美好。Samatha依然是我们的最爱。            
(5星)	 她们合照的那一刻  我的眼泪汹涌而出            
(4星)	 看看还行            
(5星)	 两集卡住，之后又是慢慢看了一年，于前几天刚看完最后一集~            
(5星)	 看过            
(4星)	 到后来很怕去考虑凯莉 因为感觉她最多人格缺陷  好像害怕面对自己一样              
(5星)	 S&amp;C            
(5星)	 每季都看过，很经典            
(3星)	 与之前最不搭的一季。            
(3星)	 看了五季，无法理解carrie的美。            
(3星)	 纠结永远没有尽头。            
(5星)	 人物变得更加真实了            
(5星)	 看多了觉得Carrie长得还是挺PP的            
(5星)	 略逊色于前几季            
(5星)	 忘不了。。            
(5星)	 越来越喜欢了～恩，寒假好好读读小说！            
(5星)	 一般一般....喜欢Carrie的新头型....不得不说我越来越爱Samantha            
(3星)	 当美女变为少妇，这个世界就彻底失去诗意了            
(NA)	 唯一看过的美剧            
(4星)	 大三。            
(NA)	 最愛第五季。            
(NA)	 女人            
(5星)	 没有理由，已经在看第4遍了。。。            
(4星)	 she need someone to take her home.             
(5星)	 很喜欢这一季~没有很多男人之后世界变清静了~            
(5星)	 Carrie知性可爱有时候还傻傻的，这季第一集，她说我爱纽约就是因为总有浪漫的邂逅，然后就跟一男子调情，结果人都不搭理她，走了……Carrie呆呆的站在那里，心想：what the f*ck？笑屎我了……            
(NA)	 我严格意义上的第一部美剧，是你带我走入了美剧的神奇殿堂。我高中的电脑就是因为要BT你，硬盘才崩溃的。后来花20块买的盗版DVD早已离奇失踪，但是我依旧那么爱你！            
(4星)	 为什么这一季集数这么少？            
(4星)	 衣服开始没那么好看了。            
(3星)	 印象里第五季是六季里最好看的。            
(NA)	 很好看            
(5星)	 samantha和richard的那集Luck Be an Old Lady 真是令人感到彻头彻尾的绝望。最后一集的zsa zsa zsu是个很好的metaphor            
(5星)	 这季，她们终于变回了普通女人。            
(5星)	 经典            
(5星)	 samantha我只爱你一个。            
(4星)	 Mr. big            
(5星)	 我爱她们不羁的灵魂            
(5星)	 随时随地都可以回归的剧            
(NA)	 不喜欢Burger            
(3星)	 Some people are settling down, some people are settling, and some people are refuse to settle for anything less than butterfies.            
(5星)	 很不错的结局，电影会说什么呢？            
(NA)	 4            
(4星)	 才八集啊...            
(3星)	 感同身受            
(4星)	 看到夏洛特的光头毛男说他是犹太人所以不能娶她的时候，我真想杀了他……我的仙女好不容易才快乐起来……            
(3星)	 稍显无聊。            
(5星)	 短发也很美哦            
(5星)	 唯一完整看完的美剧....            
(3星)	 这季没什么东西，不过也好，当dessert~~~~            
(4星)	 欲望都市是写给女人看的剧，但后来发现很多男人也很喜欢看。最起码当初推荐我看的是男人。结果是，男人很喜欢，我却感觉一般。            
(3星)	 带着对k的无敌讨厌，看到这里这里已经够心理变态了。。。结束            
(5星)	 爱死以前的她们了。现在一个个慢慢变老了。            
(5星)	 无话可说。就是经典。以后每年都会把这部剧从头到尾重温。哪怕一个人            
(5星)	 吼吼            
(NA)	 关于友情和爱情，可以思考很多。一人一性格，你像谁呢？你可能不是典型的谁谁谁，你可能掺杂了她们的不同的性格。随着时间的改变，你的友情和爱情观有改变吗？你多了点儿谁的特质呢？看完6季，能发现，事情在变，友情观，爱情观在变，我们都在变。            
(NA)	 喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢            
(5星)	 爱情是她们生活中的过客，友情是不变的牵绊            
(5星)	 心目中的new york ,心目中的Manhattan.......            
(5星)	 最爱欲望都市            
(5星)	 永远力荐 看多少遍都不够            
(5星)	 再老都爱你们这群女人            
(4星)	 越到后面越生活化了，我很喜欢这样的转变~            
(5星)	 大爱！！！            
(5星)	 最后一集大感动！！！            
(5星)	 很棒！            
(5星)	 我喜欢这样的姐妹情~还有就是，我不是很喜欢Mr.Big            
(5星)	 这一季总觉得很温馨啊            
(4星)	 too short of a season            
(5星)	 KimCattrall !            
(5星)	 Samantha，I love you！！！！！            
(4星)	 这季也太短了吧。。            
(NA)	 看完~            
(5星)	 唯一追完了的美剧。。。            
(4星)	 看得我都不知道看到哪儿了，我就是要看完            
(5星)	 继FRIENDS之后 很爱的一部长篇！            
(5星)	 同性间的友谊可能无比脆弱。但恢复的也很快。女人不是只有爱情。            
(5星)	 最爱最爱SATC！！！全季看了不下6遍了！            
(5星)	 这是我第一部看完的如何漫长的美剧，通过uusee            
(4星)	 电影又快出来了            
(5星)	 励志剧！            
(5星)	 不可取代            
(5星)	 我一直都喜欢            
(5星)	 经典。            
(4星)	 回到现实的纠结与无奈，多了点心酸，多了点感慨            
(4星)	 匆匆忙忙看完。觉得一季不如一季，越写越言之无物，是美剧的通病么？如果要看精髓的话，只看第一季便可~            
(4星)	 鞋子            
(5星)	 我开始迫不及待的想要看完了~最开始我最无法忍受的SAMANTHA现在到成了最有趣的人~看来人的确是需要了解的，人也是需要活出自我的，嗯。            
(5星)	 爱            
(5星)	 Welcome to the age of uninnocent.The mind of very fashion real and no cover we should keep.            
(5星)	 和城市约会~            
(5星)	 哪里是喜剧 分明是强作笑颜            
(NA)	 喜欢carrie，            
(4星)	 love it            
(4星)	 讨厌carrie和charlotte            
(4星)	 只有八集...短了点~            
(4星)	 由此恋上曼哈顿。            
(5星)	 一天一季~没有Aden，Big惊现了下。这一季，without men，依然精彩。            
(5星)	 最爱的美剧。看得最完整的美剧。            
(NA)	 爱情永远都是太阳下的新鲜事:D            
(5星)	 没啥好多说的了            
(5星)	 &lt;3333333333333333333            
(3星)	 E03 大西洋城的合影和夕阳下的长椅            
(4星)	 时装剧的典范。            
(5星)	 有些人想安定，有些人已经安定下来，而有些人只是还在寻找心动的感觉…Let‘s see～            
(4星)	 一直一直在看 相对而言这一季稍微逊色些。            
(4星)	 或许，有些事情真的值得赌一次，倾尽所有。最后一集深得我心，一切都很简单，只是在找寻心动的感觉，仅此而已。            
(NA)	 这个...奇怪了..pps上的season好像是乱的..我都看到有season7了..所以我到底看了哪几季呢..汗            
(1星)	 这一季拍的奇差无比！            
(3星)	 越来越没意思了~~            
(4星)	 我喜欢她的短发            
(NA)	 carrie            
(NA)	 老了啊都  还是喜欢大先生的小新眉毛  那句abusofuckinglutely真的是帅番了            
(3星)	 有了BABY会如此不同？远离了以前的朋友圈？            
(5星)	 这季跟其他的比有点小弱，但还是不错的。            
(4星)	 我爱上你了~~~~            
(3星)	 完全看腻了            
(5星)	 2009/07/05            
(4星)	 8            
(5星)	 爱死了carrie的衣服~爱死了carrie~            
(4星)	 好看，买书了            
(5星)	 很赞，爱，其实很特别            
(4星)	 为什么只有八集？            
(5星)	 iloveMrbig....            
(5星)	 好看            
(5星)	 大爱 大爱            
(5星)	 无论是电视剧还是电影，这几个女人都演出的游刃有余，我只恨电影不能无止尽的拍下去，我只恨电视剧也有大结局。而我们的生活还在继续，不记得她们说出个多少经典语句，但是我想在未来的很久日子里，我都会记得这部是我看过最精彩的美剧。            
(5星)	 如果我只看一部美剧，那就是SATC            
(NA)	 I love you, but I love more.            
(NA)	 where is my Mr big            
(4星)	 小气鬼作家男友让Carrie受尽委屈。Samantha的专情反而让人动容。Charlotte真是粉可爱粉可爱的呀。*^__^*            
(5星)	 女人的想法很奇妙            
(NA)	 为什么就不能跟smith在一起!            
(4星)	 很不喜欢BURGER!!            
(NA)	 love            
(5星)	 i&#39;m engaged            
(NA)	 2009.8.18于新居,这一季中的Carrie算是有那么一点走向成熟的迹象了,说实话,原来没看&lt;欲望都市&gt;的时候真的不知道原来女人的心理那么多毛病,如果哪个男人能够说自己能完全懂了一个女的,要么就是装逼,要么就是他已经不是男人了            
(5星)	 over and over again..            
(4星)	 同S4            
(5星)	 正            
(4星)	 上学期很迷の一系列。            
(5星)	 看的第一部美剧            
(5星)	 这个是大爱的。她们四个我都爱。            
(NA)	 真的有那么好看嘛，留着先。－－－看过一集了，没啥兴趣。            
(NA)	 2007，部分。            
(4星)	 太长            
(NA)	 最短最不好的一季            
(5星)	 大爱~~~            
(5星)	 很不错哦            
(5星)	 女            
(NA)	 poster真好看，都选上大家一起欣赏~            
(NA)	 爱情与友情的集合，对爱不要绝望。            
(5星)	 太明显的表现出我前后评分标准的不统一            
(5星)	 女人一定要看，男人也要看            
(5星)	 我觉得我迷上了这部电视剧，给了我很多启示和触动            
