http://movie.douban.com/subject/6127365/	单身毒妈  第七季 Weeds Season 7
(3星)	 编剧简直太贱了，暴虐毒妈，把Andy小叔写的毫无没存在感，把大儿子写的这么招人烦，最可恨的那叫结局吗！！！！            
(5星)	 yippy yeah yeah            
(5星)	 硬撑了看完了 里面还有G 真有趣 最后他X的算什么结局！！！ 难道还要有第八季！~            
(5星)	 anyway 我表示是MLP的NC粉 showtime这季点露的真是不给力啊不过 字幕组说第八季悬而未决 F**K NO HAVE TO BE BACK!            
(3星)	 编剧是嗑药嗑得不行了么~~~这么水的剧情超乏味啊！nance已经是惹人嫌地bitchy了好么！大儿中二复发，小儿继续腹黑继续恋母。。一群亮点人物诸如小叔子等酱油打得可以~~最后还要靠GG的Georgina来救场收视么。。不抱希望地期待一下狼来了的S8的反弹吧~~~            
(4星)	 不如从前            
(2星)	 本季已经开始胡编了，andy完全没有什么戏份啊。。。            
(3星)	 这一季比起以前弱了好多，小叔子沦为路人了，阿姨倒是出彩了，大儿子这么蠢可他还是妈妈的最爱，小儿子才是最爱妈妈的。第八季悬而未决，亲爱的Nancy我们有缘再见了。%&gt;_&lt;%            
(4星)	 牛逼啊！！！结尾这个坑实在是埋得太大了...没关系估计下一季一开始马上就烟消云散了╮(╯▽╰)╭  （这么说有点没底..= =但愿吧。反正Nance和大家总是没完没了地有各种shit，从S01E01开始就没停过）            
(NA)	 nancy姨千万千万不能死啊            
(4星)	 The spirit of compromise, everyone&#39;s a little happy, everyone&#39;s a little miserable, it&#39;s a family. So Shane kills her mother in the end?! WTF?!             
(4星)	 with nancy, things are never boring            
(NA)	 not over            
(4星)	 我爱死了Nancy成为军火商的线路！！！！！！！！---------------如果真是被当初第２老公的儿子秒了的话这就太烂尾了吧。            
(4星)	 #看的#这简直比乔布斯离世还令我伤心，第七季草草收尾，第八季悬而未决。曾经每集乐趣无穷的毒妈啊。。。。哎。            
(5星)	 WTF 结尾怎么了！！！！！            
(5星)	 Nancy越老越妖孽            
(2星)	 俩孩子越长越戳不说，凭什么卖大麻的世界会如此弱智，把大麻拖累成这样的片子，果断弃。            
(4星)	 不能这样结尾啊！！！！！！！一定要出第八季啊！！！！！！！！            
(4星)	 卧槽啊这结局......            
(4星)	 没有以往惊艳了 第八季表辜负我们的苦苦等待%&gt;_&lt;%~~~            
(NA)	 烂尾之            
(5星)	 好喜欢这部剧            
(5星)	 希望能见到第八季!!不能甘心就是这么悬而未决的一声不知打到啥的一枪啊!!!            
(5星)	 从此以后的夏季，不再有Bowin一家。            
(3星)	 比起前几季真的差劲了，没有出人意料让人瞪大眼睛的剧情了，结局竟然这么烂！七季啊，烂尾了！            
(2星)	 这季真的太soso了。            
(4星)	 期待夏天的第八季！            
(4星)	 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(NA)	 追到第七季，实在看不下去了,,,,,,            
(5星)	 一口气看完的7季，永远也忘不了Nancy咬着吸管吸饮料的场面。这个女人真牛。怎么身边帅哥都不断。            
(4星)	 希望她不要挂~~~            
(NA)	 没一个演员是路人，超级喜欢Louise Parker            
(4星)	 第七季有点boring～～不知道是否是最终季～            
(4星)	 这叫神马结尾！！            
(5星)	None
(3星)	 感觉所有人物在这季都走了极端。silas拼命无脑加恨妈妈，shane拼命有脑加爱妈妈（except结局），nancy拼命用美色诱惑各路帮她达成那些无谓的目的（越来越老还要这样看着心疼啊），andy拼命唠叨卖萌也无济于事，老毒枭老律师老会计老姐姐还有那个赞同多角关系的老少夫妻真酱油。也好可以提早走出剧情。            
(4星)	 。。。我天真的以为这个真的会是最终季了。。。结果最后一分钟亮瞎我。。。            
(4星)	 Nancy怎么变成这样了？Shane现在是最顺眼的。这里的配角怎么没个顺眼的？            
(3星)	 略弱啊这季...            
(5星)	 毒妈还是那个毒妈。            
(NA)	 总结下来南希和儿子们存在深深的bondage的关系 原封不动的想起DH劳伦斯的儿子与情人            
(3星)	 认真讲这一季真的不怎么样，Nancy已经偏离了单身毒妈的设定变成了个全面的bitch。基本上她糟蹋了所有人对他的真意，之后不管她受到什么，都是她咎由自取。倒是Andy和他的自行车让我有些感动，Andy倒是越来越成熟了。            
(5星)	 真FUCK！！！他妈的好看！！！            
(3星)	 在走下坡路.            
(5星)	 第七季整个家庭都踏上正轨了啊 第八季快点好么！            
(4星)	 S8期待依然，但是……真的编得下去了么= =            
(4星)	 开始下坡了            
(4星)	 原來覺得Nancy可以不分國籍不分膚色是個男人就能操 這次入獄了搞les了啊~~            
(5星)	 竟然错过这季 补！            
(5星)	 明年再见......至少身材是nancy这般......            
(3星)	 抚养权贯穿整条线，无聊不无聊啊姐妹俩。Shane尽显牛逼本色，Silas拿来装点门面我都不喜欢。12集大好。结局什么玩意儿！            
(5星)	 看得过瘾，乐得开心。            
(3星)	 毒妈生活精彩万分！            
(4星)	 看完第七季，回去看看第一季的时候，才发现SILAS和SHANE 当年就那么丁点儿大，十分可爱。老大的确没有老二聪明，不知道老三将来会怎么样？有一个那样的父亲，还有那么多埋线， 发挥空间也很大，不过可能他的戏要好几季以后才爆发，不知道还会不会拍下去，黑人老妈的戏太少，而且，CONERD呢？？            
(4星)	 什么什么什么！毒妈是被爆头了吗？OMG，希望这不是终结，转得也太厉害了吧。期待S8，有没有S8？            
(NA)	 11            
(5星)	 Love  Nancy!            
(5星)	 闹剧就这样结束了。            
(4星)	 他的结局太不负责任了！            
(2星)	 烂尾            
(5星)	 快完了吧，WEEDS还真的很好看            
(5星)	 这一季的finale太震撼了              
(3星)	 最后一季，都是疯子。            
(3星)	 Fucked-up family!             
(4星)	 这就完啦，好突兀，没以前搞笑和狗血，            
(4星)	 必须减星, 但爱Nancy不变啊~就像Andy再怎么失望还是那么爱Nancy~plus结局...结局就不剧透了~            
(3星)	 比第六季差            
(3星)	 情节其实挺儿戏的，不过还算有喜感，典型的可看可不看的剧            
(4星)	 虽然烂尾了，但是....完结了....还是要给好评啊..            
(4星)	 看完了，还行，那些因为剧情打低分的，真是太入戏了啊。。。            
(NA)	 越来越没劲了            
(4星)	 很有公路电影的范            
(4星)	 下一季赶紧解谜终结吧            
(3星)	 这季太瘌痢头了，毒妈都没肿么露身材就TMD被爆头了啊！！！要是真TM是season finale叫我以后哪里去觅偶的Silas啊！            
(4星)	 感觉编不下去了            
(4星)	  烂尾？TBC?            
(5星)	 结尾又迷离了。。。            
(5星)	 第六季第七季看的人很沉重啊，期待新一季            
(5星)	 ！！！谁敢kill我们家Nancy！！！            
(NA)	 一季又完了，又开始等了            
(5星)	 L情那段笑死            
(4星)	 依旧混乱的一季。一定要续约吖！！！            
(3星)	 看第一遍。结尾有些模糊。但也许这就是编剧想表达的意思。若是停留在7也挺好。            
(3星)	 这一季剧情还是一片混乱，然而结局又留悬念！搞毛啊，不是说好了是最终季么！            
(4星)	 为什么结局这么草率...不过再拍就瓶颈了            
(3星)	 末日之前能完结么？我很怀疑            
(NA)	None
(5星)	 大爱！！！            
(4星)	 看到各种结尾的评论以后不敢看最后一集的说。。。真的是完结了？不要吧~            
(4星)	 这一季好奇怪。。            
(NA)	 这个可以解释什么是戏剧性每季看着Shane长大，就像哈迷看着哈利Nacy绝对是个传奇。            
(NA)	 总的来说这一季很坑爹。。而且貌似也不是最终季            
(3星)	 烂尾！！！            
(5星)	 要不是一集不到25分鐘，一季只有13集，真的無法追這麼多季啊！            
(5星)	 这结尾有点坑爹好不。这算烂尾不...希望得续~             
(4星)	 辣妈依旧毒辣 又是一悬而未决的结尾！            
(3星)	 每季的Ending都很shock啊            
(5星)	 场景换到纽约，我也跟着水土不服了。不知道nancy接下来怎么处理她反社会的暴力女友            
(3星)	 突然很厌恶女主的性格，陪伴了3年的电视剧，就到这了，咔。            
(3星)	 这导演越来越贱了。            
(5星)	 翻的处女剧，吼吼            
(5星)	 Nancy再次sexy back!            
(5星)	 扑面而来的生活，对Nancy和我们都是一样的。愿我们也能接受过磨练，拥有那份执着和坚韧。            
(5星)	 God Nancy!            
(3星)	 痛心疾首            
(4星)	 就完了吗            
(5星)	 Shane是要玩无间道啊！            
(5星)	 sad story            
(5星)	 終於來了!只是Silas第六季結束看他哭得梨花帶雨,現在對待老媽現實得...            
(4星)	 结局结德太突然了吧！            
(NA)	 传说中的最后一季 shane把他妈给出卖了？毒妈被一枪爆头了？我擦             
(5星)	 最后一季了 爱死了~            
(3星)	 海报好难看            
(5星)	 2011 13end Showtime            
(5星)	 期待第八季~            
(4星)	 nance死了？            
(5星)	 Grand opening, grand closing.            
(2星)	 太混了，这季尾！平淡的一季，毫无可看性。            
(4星)	 Weeds最精彩的是每一季的结尾，这一季果然是悬而未决，可以有第八季又可以没有。请继续。            
(5星)	 剧终啦 收尾不好            
(4星)	 喜欢这一季的风格，就是结尾有点仓促啊。不知道还有没有第八季            
(NA)	 难道这是最后一季嘛？！不要啊。。。            
(5星)	 看见ANDY就觉得回来了，又是悬而未决，不知道究竟要拍几季闹剧才能收场            
(4星)	 阿毒，这就是你的结局咩……            
(NA)	 喜欢            
(5星)	 nancy你这邪恶的小笑容~别死啊T T            
(4星)	 这个结尾既可以看成是整部剧的终结，也可以看成是第八季的开始，编剧还是有功力的。            
(4星)	 南希 你他妈的又回来啦 第一集就他妈和女人湿吻 未来的发展不知会多重啊 哦也            
(5星)	 第七季纽约。越来越厉害的BOTWIN家族，小儿子参加警察学校，大儿子继续种大麻，BABY儿子终于回到毒妈怀抱。最终的FAMILY团聚真是复杂又伏笔，关键是瞄准器已经对准。不过这一季终结的悬念和包袱真是历年来最小啊。            
(3星)	 看不下去了。            
(3星)	 = =这季真是最后一季了？那这坑爹的结局简直太奇葩了！如果不是最后一季，那虽然不给力很久了，但是还会惯性的接着追。。。            
(4星)	 结局是不是有点草率？ 真没六····            
(5星)	 Aim at Nancy, boomm~~~, I wonder if she really dies. I hope not. But it&#39;s the last season, isn&#39;t it? I love the bodwins. I&#39;ll miss you            
(4星)	 okie. life. excitement. crap. but kill nancy? noooooooo...            
(3星)	 不是吧!我一定要看到Nancy 和Andy在一起！            
(3星)	 毒妈预订了没有呀？ 难道就这么完了吗？ 最后那个阻击手开枪 屏幕就黑掉了，也没说下季见什么的，如果这部剧这样就算终结了，我接受不来哦……            
(4星)	 第七季总算又精彩了~~~            
(5星)	 看到快50岁的单身毒妈还漂亮还努力，就觉得哪有什么过不去，还有好多热闹好不好            
(5星)	 这算哪门子大结局！            
(4星)	 虽然和以前差好多 可是还是不希望这不是最后一季。结局那一分钟 心被揪起来两次。但愿有第八季！但愿！            
(3星)	 有烂尾的危险            
(4星)	 这季andy叔叔基本上都西装革履啊/jill阿姨是很多中年师奶暴走后的写照/恐怖分子男友很帅嘛最后开枪爆nancy头的是他？            
(4星)	 finale被劇透了看著好難過!! 不過這樣看來還有S08啊~            
(3星)	 就这么算完了？？？            
(4星)	 到底有没s8?            
(5星)	 为什么结局是这样！！！擦！！            
(5星)	 纳尼！！！第八季堪忧了木堪忧了木堪忧了木？？？？？？？            
(4星)	 全剧终。            
(5星)	 南希！！！我愛你也愛到審美疲勞了好嘛！！！這一季很不給力！！！話說你沒事吧？一定沒事的對吧？沒了你還看個毛啊！塞拉斯就是個傻缺兒子！            
(5星)	 果然，E1埃斯特万就已经挂了。 编剧说了，上了女主的男人都要挂。            
