http://movie.douban.com/subject/1456579/	海绵宝宝 SpongeBob SquarePants
(5星)	 派大星~~~~~~~~~~~~~~~~            
(5星)	 章鱼哥说我最讨厌海绵宝宝泐。            
(4星)	 我怀疑跟我最像的是章鱼哥……            
(5星)	 喜欢你这么久，今天才知道是米国出品的。之前总认为是CCTV滴，囧~            
(5星)	 很多触角和很多洞。。            
(5星)	 欢乐的单纯动画片。            
(5星)	 没啥意思啊~~~~~            
(5星)	 我的爱            
(NA)	 弱智得有趣＝＝            
(4星)	 其实胖大星暗恋海绵宝宝，海绵宝宝暗恋章鱼哥...            
(5星)	 时不时要重温一下^^            
(NA)	 4            
(5星)	 往人们的大脑里不断输入友善和想象力            
(4星)	 我家猪的最爱            
(5星)	 哦不！章鱼哥~为什么我看到第六季的时候才意识到你是条八爪章鱼，哦买嘎。。我于和您一样理智的看问题了，谁让我们都坚信自己是艺术家呢。            
(NA)	 不知道为什么最近看这个会上瘾呐，生日的时候有人送我个海绵宝宝玩偶就好啦～            
(5星)	 宝宝我好爱你啊＝3＝            
(5星)	 最喜欢Patrick~~~~！            
(4星)	 動畫 補課            
(5星)	 我的海绵宝宝！            
(5星)	 什么也无法阻止我爱它。            
(NA)	 bob，宝宝:)            
(5星)	 其实我更喜欢派塔星            
(5星)	 我多爱海绵宝宝多爱我准备好了我准备好了            
(5星)	 很有爱的海绵宝宝和塔塔星            
(5星)	 可爱可爱呢。            
(5星)	 它很黄，还很方。XD            
(4星)	 比中国的天线宝宝好看！            
(5星)	 章魚哥~~~            
(5星)	 嘿嘿，这个，怎么说呢，很长时间我换台到它就停下，现在出die neuen Folgen了            
(5星)	 best animation series ever!            
(NA)	 港台配音版甚至比原版更给力。大陆配音版就弱爆了。            
(5星)	 我准备好了~我准备好了~我准备好了~中文配音比原版给力！            
(4星)	 嘻嘻            
(NA)	 家政妇女每天早上的爱吖~            
(5星)	 太惊人了。            
(5星)	 派！大！星！！！！！！！            
(5星)	 哈哈！            
(3星)	 他们说看了会影响智商。谁叫某某人喜欢派大星啊囧。            
(5星)	 每次开始的时候都会和电视一起说 spongebob squarepants！            
(NA)	 可是，如此2的世界观，真的没问题吗？            
(5星)	 海绵宝宝！！！！！！！！！！！！！！！！！！！！            
(5星)	 蟹老板，哈哈哈哈哈哈哈哈            
(5星)	 我的爱！！！！！            
(5星)	 神作            
(NA)	 海绵宝宝 亚特兰蒂斯冒险之旅。。。。。bowie华丽丽的英音尊好听啊尊好听~~~~~~~❤~highness够萌，一切装备为制造冰淇淋而存在。。。发怒和心力交瘁的表情配上bowie的声音 还是挺逗的。。。。然后就没了。            
(5星)	 这海绵太闹腾了!            
(5星)	 BE HAPPY 多养生戒烟酒熬夜            
(5星)	 i love you spongebob            
(5星)	 啊啊啊啊啊啊我来了这么久的豆瓣居然忘记给我最爱的海绵宝宝打分！！！！！！！！！！            
(4星)	 还是看英文原版比较有意思。            
(4星)	 好吧，是挺有爱的。总是有很多身边人的影子在晃动。            
(4星)	 好看好看耶~~            
(5星)	 胖大星，你在哪里？            
(5星)	 海绵宝宝:)            
(3星)	 2010-10-04 CCTV1 alone@WH home 嘿嘿            
(5星)	 大哥。我爱上你了。章鱼哥，你的鼻子好像悬垂的JJ。            
(5星)	 这家伙总是搞些很无聊但又好玩的事情来做有些小动作看到他做才意识到自己也常常这样哈哈哈            
(5星)	 啊啊啊啊啊挚爱！            
(5星)	 国产版的配音不错哦~~~我喜欢，最喜欢脑残胖大星，简直和我一摸一样~            
(5星)	 简介：“曾经7年当选美国儿童选择奖最受欢迎的动画片…”            
(4星)	 章鱼哥            
(5星)	 力荐力荐力荐！！！ I CAN SEE YOU!!!            
(5星)	 大爱            
(5星)	 我爱我爱我爱            
(5星)	 看了一遍又一遍。。。“我准备好了~我准备好了~”            
(5星)	 海绵方裤子 我爱它            
(5星)	 好喜欢这部动画片哦            
(5星)	 套用我爸一句话：海绵宝宝真好看。            
(5星)	 没理由。。            
(5星)	 情人节内集笑的我简直。。。。。。派大星也是需要关心的！！！！！！！！            
(NA)	 章鱼哥。。            
(NA)	 你准备好去参加派对了嘛            
(5星)	 爱死你            
(5星)	 我的海绵宝宝~            
(1星)	 海绵宝宝画得真TM恶心，恶心死了。我宁愿看蓝猫。            
(5星)	 你知道甄子丹和海绵宝宝有什么关系么？答：他们的普通话配音演员是同一个人！ 陈浩老师，配音太棒了            
(2星)	 我不喜欢这货。。。            
(5星)	 看n遍了 &gt; &lt;  太爱了            
(5星)	 我爱这黄色小玩意儿            
(2星)	 哟。这是我必须最想掐死的动画角色！            
(4星)	 小时候觉得很难懂。            
(5星)	 我准备好了! 我准备好了!            
(5星)	 好爱啊~太乖了~~            
(NA)	 嘻嘻            
(4星)	 我真的覺得看不懂            
(5星)	 哇哈哈我的最爱。            
(5星)	 这就是童趣.            
(5星)	 起初并不对这部动画感冒，但在片头里爱上海绵宝宝丰富的表情，再一次佩服美国人的想象力，把一个海绵搞得如此可爱，后来再爱上它的剧情，很诚实很善良            
(5星)	 少儿频道！            
(5星)	 一看就没有烦恼了            
(4星)	 海大星            
(5星)	 好可爱啊XDDD嗯……跟弟弟一起每晚蹲电视            
(5星)	 哎呦，怎么那么可爱！            
(3星)	 不正经的海绵，还宝宝呢。            
(4星)	 海绵宝宝，么，亲一个~            
(5星)	 近些年来最喜欢的长篇动画            
(5星)	 我准备好了~            
(4星)	 無意間在電視上看到,挺好玩的,我喜歡海綿寶寶~            
(5星)	 即使变成笨蛋我也不愿失去你            
(3星)	 欧美系卖萌+天然呆，还是飞天小女警更给力！            
(5星)	 我准备好了！我准备好了！我准备好了！            
(5星)	 哦不！我太爱海绵宝宝了            
(5星)	 我准备好啦···            
(5星)	 噗~            
(5星)	 最爱！            
(4星)	 成人也喜欢的动画            
(4星)	 唔  励志动画            
(5星)	 大爱            
(4星)	 听到那个声音就融化了            
(5星)	 我要这样单纯一辈子。            
(4星)	 胖大星和邪恶的海绵宝宝~            
(5星)	 曾一集不落的看完，表弟一发现某频道又开始放就会通知我。两人翻来覆去看了N多遍还是喜欢的要命。            
(NA)	 好喜欢！            
(5星)	 我爱海绵宝宝！            
(5星)	 呀!            
(NA)	 高中才看。。            
(5星)	 看的是少儿频道播放的那个，            
(5星)	 你都不知道你多棒            
(5星)	 派大星，我准备好了！章鱼哥，我来了！蟹老板，我什么时候开始上班？            
(4星)	 挺有意思的东西            
(5星)	 章鱼哥----            
(5星)	 什么东西大大粉粉的？你的哥们儿派大星！            
(5星)	 我准备好了~~            
(5星)	 它这么2但是这么可爱            
(5星)	 天真，可爱，神经质，又够善良。另：电影版真是太烂了，有限的几个看点也无非就是斯嘉丽约翰逊早年给其中一个配角配过音（声音表现也非常烂），还有海绵宝宝的怪表情很多。            
(5星)	 是海棉仔！！！            
(5星)	 有趣有趣            
(5星)	 在印度suki家还在看呢            
(4星)	 海绵宝宝有一种邪恶的幽默感            
(5星)	 能看见背景色彩的笔触~            
(5星)	 我準備好了！            
(5星)	 最喜欢的动画人物。            
(NA)	 小蜗，我们去抓水母。。。            
(5星)	 很喜欢派大星            
(5星)	 有趣~            
(4星)	 哈逗~~~            
(5星)	 强烈推荐!情节简单却不乏味,典型的美国式夸张.特别值得提的是国语版的配音,个人认为比原版的还要精彩,绝对是中国配音史上的里程碑.            
(5星)	 我们都爱海绵宝宝。            
(NA)	 那声音好受不了啊 哈哈            
(NA)	 哈哈哈哈哈哈哈哈哈哈洗碗方裤衩儿 哈哈哈肚脐眼儿海星哈哈哈哈哈            
(NA)	 我的书包拉链上挂的是他            
(5星)	 还有这译名 囧！！！            
(4星)	 是mo最喜欢的动画片            
(NA)	 我的最爱            
(4星)	 复古卡通FEEL,想象力和冷笑话            
(5星)	 傻棉～傻星～            
(5星)	 喜欢啊            
(3星)	 动画片for非儿童            
(NA)	 看过饿,超喜欢,彪忽忽地~            
(5星)	 中文配音版            
(5星)	 海绵宝宝！小蜗！超可爱            
(NA)	 Stephen Hillenburg  1999            
(5星)	 好喜欢章鱼哥。哈哈哈            
(5星)	 我的最爱~            
(NA)	 状态好时候的美好回忆就别妄想重温破坏了，流过去了就。http://hi.baidu.com/wtvxq_7/blog/item/1ba5f910082496d2a6ef3f3e.html            
(5星)	 海绵宝宝还有派大星陪着他一起二TTTTT            
(5星)	 洗碗擦黄裤衩儿和肚脐眼儿派大星的故事~            
(5星)	 我就是那个派大星啊~            
(4星)	 考虑考虑自己的年纪 实在有点不好意思打五星...            
(5星)	 有人说看《海绵宝宝》会智商会降低，如果真的是这样的话，即便降到0我也要继续看。            
(5星)	 hakuna matata ~真是很有意思~            
(4星)	 智障青年歡樂多            
(5星)	 天真浪漫的比基尼海滩！            
(5星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(NA)	 最可愛是海綿了            
(3星)	 海绵宝宝就是一个二货  哪里萌了阿！            
(4星)	 童年的回忆            
(NA)	 你准备好了没 我准备好了            
(4星)	 陪小朋友看了一个暑假……神奇的配音            
(5星)	 OAO            
(5星)	 这是媳妇儿和我最喜欢的            
(5星)	 海绵你是英雄，我爱你。            
(5星)	 经典~~             
(4星)	 每次看完后心情都巨好            
(4星)	 美式幽默~            
(4星)	 噢！不！章鱼哥！            
(5星)	 。            
(5星)	 很爱这部....            
(4星)	 大一抽风的寒假看过。。。            
(5星)	 哈哈哈            
(5星)	 治愈  近期重温中            
(5星)	 海绵宝宝、胖海星、蟹老板~真是傻瓜一家亲。            
(4星)	 找个人一起2            
(5星)	 可爱可爱可爱！            
(5星)	 请不要把你的内在美丢在我的草坪上！            
(4星)	 目前为止的剧集我居然都看过了……汗……            
(5星)	 居家旅行必备萌物            
(2星)	 有点恶俗            
(5星)	 我爱海绵~            
(NA)	 这个可一点都不低幼            
(4星)	 这个我是慢热才爱上的~            
(5星)	 想去比基尼海滩！球同伴！            
(5星)	 可以给6星嚒            
(5星)	 第六季正在美国上映            
(5星)	 可喜欢类~~~            
(5星)	 我就没想长大- -            
(NA)	 我最喜欢的卡通人物.......之一            
(5星)	 做了很多关于海绵宝宝的不织布手工~很是欢乐            
(5星)	 我记住了 蟹黄堡            
(5星)	 有阳光= =。            
(5星)	 我要海绵宝宝海绵宝宝海绵宝宝海绵宝宝海绵宝宝海绵宝宝海绵宝宝！            
(NA)	 我的最爱啊。            
(5星)	 海绵宝宝派大星章鱼哥蟹老板痞老板珊迪泡芙老师珍珍美人鱼战士~            
(4星)	 我喜欢            
(5星)	 本来冲着派大星而来，看过后发现海绵宝宝很逗，后来发现，我的最爱是章鱼哥，这让我情何以堪。            
(3星)	 巨爆恶心！            
(5星)	 噢嗬嗬嗬~~            
(NA)	 超爱它的笑            
(4星)	 我准备好了~我准备好了~~            
(5星)	 大爱啊            
(5星)	 傻气之王~            
(NA)	 everything is so simple!            
(5星)	 超级无敌至尊宝            
(5星)	 它是我的最爱            
(5星)	 我的最爱我的最爱我的最爱，海绵宝宝，海绵宝宝，海绵宝宝            
(5星)	 超爱你~~~~            
(5星)	 哈哈。海绵宝宝太有爱了...            
(5星)	 我怎么那么喜欢你呢海绵宝宝~            
(5星)	 心柔软得不行~~            
(NA)	 我准备好了！　派大星～！　            
(5星)	 我最爱脱线的海绵宝宝和胖大星            
(5星)	 一些耐人回味的黑色幽默成分            
(5星)	 很强力啊,央视在放这个            
(4星)	 hi 派大星～            
(4星)	 我想，很好看            
(5星)	 最爱的·            
(5星)	 累的时候看看 会轻松很多            
(5星)	 编故事的人怎么那么有才呢。。。下跪捶地内牛满面。。。            
(5星)	 哦~太cute了            
(5星)	 啊啊啊啊啊我的最爱！！            
(5星)	 海！绵！宝！宝！            
(5星)	 那一陀可爱的海绵体总是能在我难过的时候逗得我哈哈大笑T3T            
(5星)	 啦啦啦我准备好了我准备好了我准备好了派大星你干吗呢            
(5星)	 老少皆宜 = v =            
(1星)	 我有生理反应kao            
(5星)	 嘿 派大星            
(5星)	 见标签 表诚意。            
(5星)	 我爱海绵宝宝，如同爱你。            
(5星)	 YY非叫他芝士宝宝，囧            
(4星)	 若二 请深二            
(5星)	 中文配音很经典            
(5星)	 陪着小宝贝看的~~~很有爱~~~            
(NA)	 spongebob squarepants~            
(5星)	 绝望的时候就竖起小拇指~~~            
(5星)	 很长一段时间里每天只要看见他 我就好看开心喔            
(NA)	 我永远爱你            
(5星)	 嗨～海绵宝宝～嗨～派达星～在少儿频道看得。。。八点档 蛮好笑的            
(3星)	 太邪恶            
(5星)	 哇哈哈！还有这个            
(NA)	 不给评价！            
(3星)	 这个这个这个我竟然没标记过！高中那会儿看的时候老妈总说我弱智……- -+            
(NA)	 海绵宝宝，章鱼哥，派大星，蟹老板，蟹黄堡~~            
(5星)	 怎能不爱            
(NA)	 很喜欢            
(5星)	 为了陈信宏            
(5星)	 好可爱  喜欢喜欢            
(5星)	 哈哈，好爱            
(5星)	 我的心肝脾肺肾！！！小海绵！！！            
(5星)	 海绵宝宝是个笨蛋~~            
(5星)	 起司头棕裤裤，我喜欢你            
(5星)	 最爱SpongeBob！            
(4星)	 不足的是中文配音在脑中挥之不去            
(5星)	 因为有你：派大星            
(5星)	 嘿嘿~大爱~            
(4星)	 好吧~我是因为主唱大人去看的            
(4星)	 真是一部越看越有深度的动画片吖~ccav对其的滚动播放也让我很内牛满面......            
(NA)	 season 1 16062010            
(5星)	 超喜欢！！            
(5星)	 穿方裤裤的周星星            
(5星)	 经典···经典···呵呵我的洗浴棉 就是它            
(4星)	 现在不多感兴趣了            
(NA)	 话说我是后来被普及的。一位知道海面宝宝已经很怀什了。谁知道还有块派大星...= =^            
(2星)	 就一傻逼片儿= =            
(5星)	 啊。最爱呐 我终于看到你了阿鲁~            
(5星)	 力荐            
(5星)	 最耐...            
(5星)	 乐观自信的海绵~~我准备好了，我准备好了            
(5星)	 ！！！最爱！！！            
(5星)	 我准备好了~            
(5星)	 我喜欢胖大星            
(5星)	 我更喜欢 洗碗擦儿方裤衩 这个翻译            
(4星)	 = =            
(5星)	 爱死你了            
(3星)	 我是陪客，陪弟妹，我不喜欢他。说话声音。。            
(5星)	 死海绵,你怎么这么可爱            
(5星)	 分数真高,太开心了            
(5星)	 很想知道，海绵宝宝的笑是怎么弄成那个角度的。            
(4星)	 我喜欢他叫章鱼哥，胖大星，蟹老板～            
(5星)	 太喜欢了 ！！！            
(5星)	 特别喜欢派大星            
(5星)	 如此重要的我怎么给忘了??            
(5星)	 最喜欢海绵宝宝！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 好啦好啦，章鱼哥你最从命，最有牙，最没力            
(5星)	 居然是美国的。。。。            
(5星)	 看过，额……几遍了呢？哈哈哈……记不得了，就是一直一直地看，在这里很感谢cc*v……            
(4星)	 播完了... 只好看大力水手了＝＝            
(5星)	 还是挚爱            
(5星)	 章鱼咯！~            
(NA)	 为啥上大学了我看动画片还津津有味            
(4星)	 挺神经的动画，但每次看到时还是会忍不住看下去            
(5星)	 我爱派大星！            
(3星)	 还真是不喜欢它            
(5星)	 派大星！！            
(5星)	 看完后跟小孩更有共同话题了。画着画着就说，啊，跟章鱼哥的鼻子一样诶。画着画着又说，这是蟹老板店里的汉堡吧。哈哈哈            
(4星)	 脑子进水            
(NA)	 每天晚上10点,少儿频道,和这个小海绵有个约会~~            
(4星)	 超好看!            
(5星)	 我最爱海绵宝宝了..            
(5星)	 史上最cult动画片。。。            
(5星)	 看不腻看不腻!            
(4星)	 很无聊很可爱的            
(4星)	 章鱼哥！            
(5星)	 真·神作！可以说是意识流吗            
(4星)	 我现在很像章鱼哥。            
(5星)	 超喜欢他的笑声~淫荡至极啊哈哈哈哈            
(5星)	 I&#39;m a gooby goober ROCK!            
(4星)	 好看到爆！！！            
(5星)	 这分儿真是高得怪异 - -            
(5星)	 晚上11点，客厅里坐满你们，一起看海绵宝宝            
(5星)	 我爱章鱼哥！！            
(5星)	 喜欢得要死~~~~            
(4星)	 对于成年人来说，是可看的一部动画片 ：）            
(5星)	 虽然只是十点多瞄一眼。            
(5星)	 这海报真让我欣喜!~            
(4星)	 太喜欢了            
(5星)	 以前觉得这玩意挺傻，现在越看越有趣呀            
(5星)	 派大星！我爱你我爱你我爱你我爱你我爱你！！！！            
(5星)	 爱死鸟            
(5星)	 没法不喜欢。。            
(5星)	 估计十年后我还是会停下来看看            
(5星)	 哦不！章鱼兄            
(5星)	 很单纯很干净的快乐！            
(5星)	 中央电视台少儿频道中午12:00~~            
(4星)	 有的集真逗，有的集抓狂……            
(5星)	 配音太棒了            
(5星)	 好像戳他的脸&gt;&lt;            
(5星)	 最受不了你委屈的样子 &gt; &lt;            
(5星)	 少儿频道 每天12点准时收看。。。            
(5星)	 我承认我幼齿。。。。。。            
(5星)	 派大星=V=            
(5星)	 脑残万岁～～～～～欢乐万岁～～～～～            
(4星)	 你好，海绵宝宝。            
(5星)	 我最爱章鱼哥            
(5星)	 我很喜欢你。            
(NA)	 傻气得超级可爱的海绵鲍勃！            
(5星)	 我爱这个黄方块..            
(NA)	 郁闷            
(5星)	 哎哟喂！海绵人的CD生活日志。            
(5星)	 泰坦星~~海綿寶寶~~            
(5星)	 绵宝绵宝 我是绵宝            
(5星)	 可爱            
(5星)	 我爱海绵宝宝！            
(5星)	 我准备好了！我准备好了！            
(5星)	 经典过电片~            
(5星)	 超爱···            
(3星)	 被隔壁男生带的，其实确实挺欢乐挺自虐的……            
(NA)	 我准备好了！            
(4星)	 棉宝宝，你就是个大闲人。。。            
(5星)	 开始以为很幼稚，看了几集觉得挺不错的！            
(5星)	 老少咸宜            
(NA)	 派大星`and我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`我准备好了`            
(5星)	   小方块儿怪可爱的。            
(5星)	 不晓得为毛就是很喜欢。。。返璞归真啊。            
(5星)	 高二每晚八點半和妹妹坐在電視機前看動漫世界。            
(5星)	 谢谢 蔡蔡哥送我全套的海面宝宝 超级喜欢            
(NA)	 爱爱爱！！！            
(5星)	 呵呵~超喜欢海绵宝宝~            
(5星)	 我的爱全都是你的TAT            
(5星)	 下饭动画。对比下原音，央视的配音很用心，找的配音演员都是声线差不多的，中央七还在播，网上快更新新的配音版啊。            
(5星)	 我的爱我的爱我的爱我的爱~~~~~~~~~~~~~            
(4星)	 噢，大爱海绵宝宝~~            
(5星)	 可爱~            
(5星)	 最爱~~            
(5星)	 海绵宝宝的比基尼海滩            
(NA)	 因为你···            
(5星)	 我准备好了            
(5星)	 当然好看啦            
(3星)	 好吵。。。            
(NA)	 我准备好了，我准备好了，我准备好了            
(NA)	 其实说实话我觉得幼稚            
(5星)	 有派大星这样的朋友此生无憾啊！            
(5星)	 超好看！！！            
(4星)	 阿信最喜欢的海绵宝宝呢!            
(4星)	 海绵宝宝超级可爱！~            
(5星)	 海绵宝宝。。。            
(5星)	 喜欢派大星~~            
(5星)	 狂推荐 不可不看的动画片 海绵宝宝万万岁            
(5星)	 ye~            
(4星)	 快乐的海绵宝宝~~            
(5星)	 每个礼拜都和小盆友一起看，已经烂熟于心啦。            
(5星)	 就是喜欢，单纯而快乐！            
(5星)	 喜欢的不行~            
(5星)	 章鱼哥，派大星&gt;&lt;海绵宝宝            
(5星)	 “第一名，第一名！”            
(5星)	 可爱死了，啊哈哈            
(5星)	 其实他叫BOB 是个成年人            
(5星)	 海绵宝宝说：“我准备好了!我准备好了！”            
(5星)	 我准备好了~~泡芙阿姨真有爱            
(5星)	 神作啊            
(5星)	 真的很无敌！！！            
(5星)	 嗨，派大星            
(5星)	 我准备好了！            
(4星)	 虽然低幼，但大人小孩都能看得无比愉快，越看越喜欢            
(NA)	 有时真的还挺闹的            
(5星)	 我真的很爱他！我要买一条海绵宝宝的内裤！            
(4星)	 几集            
(4星)	 太傻了这个             
(5星)	 小海绵大可爱。            
(NA)	 最爱！！海绵宝宝、派大星、章鱼哥和蟹老板            
(5星)	 就是爱冷笑话。            
(5星)	 嗨~章鱼哥~            
(5星)	 超爱！笑得不行！            
(5星)	 早就看了忘标注了~            
(NA)	 正在看            
(5星)	 ○            
(4星)	 阿信最爱，一直找不到point            
(5星)	 再看还是这么好看～            
(5星)	 niuniu~            
(NA)	 我喜欢章鱼哥            
(5星)	 越来越爱了哦。。            
(5星)	 超可爱~~            
(5星)	 挖卡卡~            
(NA)	 太喜欢啦            
(5星)	 失态地说：太好看了！！！            
(4星)	 看过点点，太强了，太暴力了            
(5星)	 我准备好了！海绵宝宝这个穿着方裤叉的小家伙真的太吸引我乐。海绵宝宝，海绵宝宝……            
(5星)	 08年冬天看的英文原版            
(5星)	 很有意思            
(5星)	 我准备好啦！～我准备好啦！～            
(5星)	 最爱            
(5星)	 很有啓發的無聊笑料            
(5星)	 好玩            
(4星)	 我就是喜欢这个一脸坑坑的小黄人*            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 大爱 特爱 非常爱            
(5星)	 天真得有点傻但这样多好            
(5星)	 小时候经常看国际，听不懂说什么，也要看！现在是超级海绵宝宝迷～～～            
(5星)	 我最爱的卡通~~~~            
(3星)	 洗碗擦儿方裤衩儿            
(5星)	 厚厚~海绵宝宝~            
(5星)	 爱了不能再爱了              
(NA)	 我lolita的年龄啊...            
(5星)	 美式幽默让人轻松，喜欢这类主人公天真，有一个很小市民或者是很正常的角色比如章鱼哥            
(5星)	 很乐观的，很热爱生活的，很可爱的Sponge~            
(5星)	 竖起你的小拇指！            
(NA)	 洗碗擦儿方裤衩儿喜欢这个中文明子的翻译！电影？我觉得更准确地翻译应该是，海绵bob（或者海绵块）方裤衩，要不就叫方块海绵方裤衩            
(5星)	 大爱            
(5星)	 海绵宝宝!!!            
(4星)	 海绵宝宝            
(5星)	 我爱海绵宝宝!!            
(NA)	 我喜欢棉球~~            
(4星)	 太可爱了！            
(3星)	 海绵宝宝~            
(NA)	 荒诞的动画片 ..            
(4星)	 很可爱            
(5星)	 最爱！            
(5星)	 陪我一起走过童年            
(NA)	 练听力倒是不错            
(NA)	 太假啦！！！！！！！            
(4星)	 恶趣味            
(5星)	 原谅我无法用语言来形容这部天才巨制 超越一切的最爱 最最爱            
(5星)	 章鱼哥！！！            
(5星)	 高三时候每天中午吃饭时 大家围在一起的乐趣 \(^o^)/~            
(5星)	 OHOHOH~~是谁住在深海的大凤梨里~~~~~~~~~            
(5星)	 虽然很幼稚的感觉可是我看了一集后才知道我错了……            
(5星)	 ：嗨！，小蜗！   ：喵、            
(5星)	 最爱。            
(NA)	 超爱~么么            
(5星)	 爱死黄块块和粉球球了！！！！            
(3星)	 看的时候特喜欢 现在觉得我的智商真是因为海绵宝宝下降了不少。            
(5星)	 最爱的海绵宝宝。            
(3星)	 看来我的审美和美国人真的不同            
(5星)	 我准备好了我准备好了            
(5星)	 《海绵宝宝》，超好看！相比宝宝棉海，章鱼哥就是现实中我们的某一面，他自私、妒忌、小聪明、爱面子，总是不如意，然而既便如此，他还有梦想而且善良，从他眼中我看到了：聪明反被聪明累，“弱智儿童”欢乐多。人生活得是一种态度。时不时的要像海绵宝宝一样做个犯傻的乐天派，因为傻人有傻福。            
(5星)	 o(*≧▽≦)ツ 真的很好看~章鱼哥            
(5星)	 精神粮食            
(5星)	 你六毛，我六毛，咱俩一块二。。。            
(5星)	None
(5星)	  。            
(5星)	 就是喜欢。就是喜欢。            
(5星)	 乐活生活            
(NA)	 ！            
(5星)	 派大星和海绵宝宝多好的cp啊            
(4星)	 傻逼海绵块            
(5星)	 欢乐多啊  其实是中文配音好。。            
(NA)	 SpongeBob SquarePants SpongeBob SquarePants SpongeBob SquarePants            
(NA)	 额   不说了……            
(5星)	 爱死他了！            
(5星)	 大爱！！            
(5星)	 我还是比较喜欢派大星 而已            
(4星)	 诶，原声版有约翰尼德普配音？看的国语版，喜欢派大星╮(╯▽╰)╭            
(4星)	None
(4星)	 回忆            
(5星)	 你准备好了么？            
(5星)	 是谁住在深海的大菠萝里，海绵宝宝！！！            
(3星)	 我擦，除了没头脑的搞笑，我也看不出啥。            
(5星)	 偶像            
(5星)	None
(5星)	 无须评论。            
(5星)	 大爱            
(5星)	 中文配音很棒诶 大晚上的 哈哈哈哈哈            
(5星)	 看过最好看的动画片就是他了！！！其余的都弱爆了！！！            
(5星)	 从小看到大~~~~~~~~~~~            
(4星)	None
(5星)	 荔荔阿姨送滴碟片~            
(5星)	 喜欢啊            
(5星)	 不多说!!            
(4星)	 海绵宝宝挤呀挤呀我一直觉得像奶酪            
