http://movie.douban.com/subject/2342557/	红苹果乐园
(1星)	 介尼玛揍四青春啊。为了额的青春，给你打一颗星好不好？？            
(2星)	 渣            
(3星)	 睇靓仔噶真系            
(1星)	 烂            
(2星)	 山寨..            
(NA)	 不堪回首。。            
(5星)	 。。。            
(2星)	 我居然记得有个男的叫天野 MB我被毒害得不浅啊！！            
(1星)	 天雷滚滚            
(NA)	 一集不落。。            
(1星)	 湖南经视····以前  吐·····            
(2星)	 突然想起来看过            
(1星)	 大雷劈下.....我还和我妈一块看的=_=||||            
(3星)	 从这个片子就开始腻味黄圣依了            
(NA)	 老子以前居然看完了            
(1星)	 太扯了！            
(3星)	 没错 我曾经觉得。。。真好看。。。现在，还能让我说神马            
(3星)	 这女的好丑            
(1星)	 依旧是我年轻时候看的NC片，不知道是怎么选角的啊，不过有Reborn，我们新疆的嘿嘿。我今天添加的这些电影不知道是不是会引来友邻的取笑。            
(4星)	 我也看过啊 当时还觉得其中一人很帅 我不喜欢后来流长发那男的            
(1星)	 大烂片            
(1星)	 我脑子确实有毛病。            
(2星)	 肥壮的可豪            
(2星)	 囧rz偷偷的在这里说，那天我看到老爸在看这个。。。囧立个囧立个囧立个囧            
(3星)	 那時候我喜歡天野！            
(4星)	 傻兮兮的挺好玩的~~            
(2星)	 高一那时候模仿《流星花园》和F4出产的偶像剧，当时看就甚为雷人。            
(1星)	 嗯，同下面的评论。奇葩奇葩。女主角实在不待见。            
(1星)	 好恶心。那些男猪脚。。            
(5星)	 曾经风靡一时            
(2星)	 其实我很想鄙视我自己了= =            
(2星)	 呃·            
(1星)	 真是他媽的            
(NA)	 這個已經差到不能打了我竟然還看過            
(NA)	 无星2.            
(1星)	 恶心。山寨。            
(1星)	 富二代脑残记？            
(1星)	 多狗血的我都看过！哎……            
(1星)	 恶心！            
(1星)	 牛逼闪闪，囧囧有神！好演技阿 哈哈            
(1星)	 我呕了。            
(1星)	 难以言语啊难以言语            
(1星)	 就这几个玩意，我就TMD懒得骂了            
(2星)	 妈呀            
(2星)	 我看过....我们班同学都看过..还有人迷F5的...            
(1星)	 完全是边骂边看的~骂得很爽            
(2星)	 哇塞，我真的承认我看过。丑的啊...哎            
(NA)	 雷都把牛逼给打击了            
(NA)	 我那时很喜欢曲鑫。。。不过整部剧真是假的很。。。            
(2星)	 那几个男的太丑了，女主角也不行，就女配角可以。            
(2星)	 同学都看 所以我也看了            
(1星)	 ...            
(1星)	 又一部吃屎的片            
(1星)	 您真牛逼            
(3星)	 很久以后听说是在我们学校拍的……            
(NA)	 哈哈哈哈哈哈            
(3星)	 咳。。。其余不谈，但表现大学生活那部分还挺真实。            
(2星)	 一帮路人凑成了一部剧            
(1星)	 天雷……偏偏当初还有同学说着好好看啊非要拖着我看OTL            
(1星)	 很丑！            
(3星)	 傻。。            
(1星)	 人都很丑 不是我说 黄圣依居然也在里面 多年后觉得像个笑话            
(3星)	 还可以啦 好歹填满了我几个假期呢~            
(1星)	 screw this            
(3星)	 里面萧晴有件玫红色衬衣我也有！！！            
(1星)	 瞄过 那个恶……            
(2星)	 烂剧。。。。。。            
(2星)	 聳啊。。。演技爛到家~~            
(5星)	 the cultest tv series of all time            
(3星)	 这才应该去代言鸿星尔克：土B No.1            
(2星)	 哈哈哈哈哈哈哈哈哈，这个真的是经典啊笑死我了！！！ @sivyersw 薇你还记不记得当时我自己想的那个“大家好，我们是A5”的手势。。。            
(4星)	 其实，我真的觉得不错。            
(3星)	 好吧，我当时觉得还挺好玩的。。。            
(NA)	 其实我也看过            
(NA)	 童年..            
(1星)	 翻版的流精花园里的男主角们现在都消失在了三线人海。。。。。            
(4星)	 当年很喜欢啊            
(1星)	 这个....神作来的。。。            
(2星)	 = =            
(1星)	 我竟然看过==！            
(3星)	 那时无所事事...            
(NA)	 哈哈，看着这剧就想笑~哎~~~现在才知道，原来黄圣依有在里面扮演角色……            
(1星)	 诸如此类的烂片我都不想点看过。。。            
(2星)	 原来这片子里有黄圣依啊……            
(NA)	 我都不好意思说我看过= =            
(NA)	 我记得这里还有黄圣依呢！            
(3星)	 我= =.......無奈....            
(3星)	 其实这剧当年我还真坚持看完了。            
(3星)	 以前很喜欢，但是…从以前就不待见黄圣依。            
(2星)	 当时宣传说是内地版的流星花园。花园你妹啊。            
(3星)	 话说 国产偶像剧就这个不那么让人腻歪            
(3星)	 这个大概是内地第一部偶像剧吧？= =第一部现在看来当然太白痴，但是当时这电视剧还是很红的。可能我有点儿晚熟，大家都看的时候我看了几集觉得看不懂太复杂了@@，看这个的风流行过后我才开始看懂觉得还挺有意思的...            
(1星)	 彻底颠覆我整个世界观有木有，萧晴妹妹眼睛那么小也有两个男人争腿那么粗也可以跳芭蕾哦            
(NA)	 回忆一下。            
(1星)	 想当年一边骂着这些人肿么长得这么丑一边看得津津有味，我为我当年愚蠢的行为感到悲伤= =            
(3星)	 噢，琳达            
(2星)	 当初我就觉得那自称帅的主角真的笑死了！            
(1星)	 当时的我都觉得这部剧很蠢。。。= =            
(NA)	 重口味的童年...            
(1星)	 啊哈哈哈哈！0星！负1星！负2星！模仿F4的是叫A5伐！怎么可以这么好笑！！！            
(3星)	 有一种魔力，明知很烂但依然坚持看。当然这都是很多年以前的事情了。            
(1星)	 当时还超迷恋这个。。真。。捂脸。。。            
(2星)	 这个也好看啊哈哈 一群狗血男配一阳光女孩儿 的阳光清纯校园剧 ~            
(1星)	 那时候读高中的我已经很土了。可是我还是能感觉到这部片子的土！！！可见这片子土到什么境界            
(NA)	 。。。            
(NA)	 很久很久很久很久以前还看了几遍            
(NA)	 ...............我也不知道 自己为什么要看  还越看越烦            
(NA)	 噗              
(3星)	 好歹也是内地偶像剧的先河嘛             
(2星)	 = =            
(2星)	 我当时居然。。看了。。哎= =            
(3星)	 男孩组合真火啊。            
(NA)	  哈哈，我们不山寨，这么前卫的xoxo            
(2星)	 戳瞎我的眼睛吧…            
(3星)	 表这个样子好么。人家一直看的。            
(1星)	 狗血，            
(2星)	 那时候的天野多笑起来好看啊，张继都有孩子了            
(NA)	 我现在还能很不要脸的添加电视剧么。。。。老实说。。。真滴觉滴好丢人~~~捂脸~~~~~            
(3星)	 早已烟消云散  曾经的帅哥们             
(2星)	 没在怕的 ！姐就是看过！            
(2星)	 难怪红不了，名字都难听            
(NA)	 雷！            
(NA)	 黄圣依是在这里红起来的么            
(2星)	 唔。。原来我也看过介个片。。            
(NA)	 丢人。。            
(3星)	 这也是高中的回忆 虽然演技很烂 呵呵后            
(2星)	 不够美·            
(2星)	 其实当年我也看过啊囧TZ            
(1星)	 经典国产剧—失足少女和技校精英的故事            
(2星)	 我都不想承认我当年看过这个            
(3星)	 曾经也算是偶像剧啊 o(╯□╰)o            
(3星)	 当时很爱啊            
(1星)	 原来大家都不喜欢这剧。            
(NA)	 小学那时候我还挺喜欢的……            
(1星)	 一个丑女人和一堆丑男人            
(2星)	 我还记得现实中认识个女生长得蛮像女猪脚但是比她脸小比她瘦高比她漂亮！！！            
(3星)	 这剧那时候老火            
(1星)	 演技还可以更嫩吗？导演你当这片子是戏剧学院的课堂，权当给新人训练用的是不？            
(NA)	 HAHAHAHAHAHAH            
(1星)	 多傻逼的戏　当年看得多入戏            
(1星)	 丑男丑女大集合。话说当年为何这样红。            
(2星)	 囧的要死不活= =。。。太山寨了            
(3星)	 抽搐，你们就作吧。            
(2星)	 模仿月光馆物语的吧            
(3星)	 小学时候挚爱啊。我喜欢子恒。            
(1星)	 第一代?嘔像劇            
(5星)	 要评个超级高的分。啊哈哈哈，我不想承认我看过            
(2星)	 我这种剧从来不看完的            
(1星)	 雷死个人了            
(2星)	 弱智的挺欢乐的            
(1星)	 啊，可豪，你是我的大英雄……豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分豆瓣你为什么不能打负分……            
(NA)	 不打分斯密达；当时居然还是基本没漏掉看的            
(3星)	 为毛毛我以前还看完了 - -|||            
(4星)	 有没有！！！！！！！！！！！！！！！！！有没有！！！！！！！！！！！！！！！！我去！！！！！！！！！！！！！！！！！哈哈哈哈            
(NA)	 想当年在一个没有任何一部青春偶像剧的暑假，电脑被遗忘在学校，于是乎，被荼毒了时间，不堪回首，这部剧是噩梦，包括他的剧情桥段演员台词等等等等~~~~给星算他富裕的            
(1星)	 我居然看过这个！！！！            
(3星)	 哎            
(4星)	 当年的欣赏水平……            
(3星)	 除了那个喜欢露腿毛的 再的男的都好呆            
(2星)	 怎一个脑残了得？            
(NA)	 。。。。。。。。。。。            
(3星)	 呃            
(NA)	 看见豆瓣的介绍让人心中一震....            
(3星)	 不怪咱品味差，当年咱不是没启蒙嘛            
(NA)	 日了。。。我小时候看这个.....看了整个暑假            
(1星)	 萧晴长得挺好看的——此乃唯一亮点。其他“帅哥”……我不想多说啥了。            
(NA)	 竟然看过这么多 白痴的剧集。真是佩服自己。 印象最深的是黄圣依，那时候就表现的这么露骨了。            
(3星)	 是山寨点我承认。不过豆瓣评分也没必要这么低。我觉得还行。反正当年看的还挺嗨皮哒。那时候黄圣依真好看啊，现在，哎，没法看了。            
(NA)	 那啥……………………            
(4星)	 昨天路上碰到顾成栋了，想来当初还追着看呢            
(2星)	 也是一个劣质的偶像剧            
(2星)	 这个…我还真看过…还看完了…            
(1星)	 寒冷的夏天 囧            
(2星)	 演员那是相当稚嫩啊！            
(1星)	 囧囧有神！            
(1星)	 ca.....奇葩……            
(NA)	 看一个了雷人相册突然想起来我还看过这个剧- - 据说多年后女主不堪饼脸压力整容了            
(NA)	 我何止看过，还看过很多遍呢，唉            
(1星)	 我竟然看过这个全集，我真NB！            
(2星)	 女主平淡无奇，实在没有料到会在杜拉拉里面看到！当时不只是震惊了，演技完全加分呐~            
(1星)	 太差了！！            
(1星)	 伽港俄。。。我当时也会看一刚。。。            
(NA)	 哎= =            
(2星)	 N年前            
(1星)	 = =            
(1星)	 当呕吐片看            
(1星)	 内地第一雷片，看了记得洗洗眼睛~            
(1星)	 　一个充满神秘色彩、令人向往的红苹果之家            
(1星)	 = =。。青春偶像剧~~~            
(NA)	 sb五。            
(1星)	 没见过如此好看的了。            
(3星)	 不管现在看来它是多么傻，但当初可是狠狠地追过一回。            
(2星)	 哇~~ 难得见到评价如此统一地……差的片子耶~~ 我也来见证一下！            
(3星)	 唉 啥也不说了~            
(2星)	 长见识了            
(3星)	   比雷阵雨强，当时觉得还行捏~~现在看就有些惨不忍睹；额~            
(3星)	 哈哈小时候的最爱            
(2星)	 黄圣依还演一个坏蛋呢，坏得可低水平了！            
(NA)	 我都舍不得给星            
(2星)	 不明白以前为什么喜欢= =            
(2星)	 我当时虽然觉得丑但也没觉得残 果然小时候 T T            
(4星)	 忘了说啥            
(2星)	 这也算偶像剧-  -            
(3星)	 - -当时还看的很起劲...            
(2星)	 小时候看的            
(1星)	 我天呐，我竟然好好看过。。。            
(3星)	 我都不记得哪个前哪个后的了。            
(4星)	 虽然今天看来有点雷，但是童年的回忆还是很美好            
(3星)	 初中时就喜欢这种类型的无聊 班上有个女生还叫Linda……            
(3星)	 啧啧．．没几个会演戏的．小姑娘歌唱的不错            
(1星)	 恶              
(NA)	 宇宙天团啊！！！！！！！！            
(3星)	 我觉得，需要这种电视剧啊，真的            
(5星)	 五颗星是六年前那个我给的。六年前第一次看它的。            
(1星)	 雷            
(3星)	 当时居然没留意到黄圣依，年少轻狂啊            
(2星)	 俺在风中凌乱地抽搐……            
(3星)	 N早以前的国货~3颗星代表一切了。            
(NA)	 吃螃蟹的人们。后来这些小伙子都哪去了？            
(3星)	 我想说我当年狠狠地萌过的....接受群众的BS...            
(1星)	 ....            
(2星)	 囧……            
(1星)	 其实我应该给零星的。。。            
(2星)	 一帮痤货在那装F4，还号称A5什么的==            
(4星)	 比较干净            
(2星)	 为嘛以前那么爱看.....现在才感觉太XX了....            
(1星)	 噢....我要把国产山寨剧挖坟到底！            
(2星)	 。。。。。。            
(1星)	 不知道什么感觉了。            
(3星)	 傻气            
(1星)	 典型的山寨脑残            
(1星)	 那个男主角长得真像徐静蕾            
(3星)	 演的真是太假了！            
(3星)	 我真的觉得还行。            
(3星)	 我对这系列印象还多好=x=|||（殴烂            
(2星)	 我一直觉得这戏恶心可当时为什么看得很high==。            
(1星)	 这就是内地的偶像剧……            
(3星)	 当年很喜欢，现在觉得没啥了            
(2星)	 那个时候还小 算了给2星            
(1星)	 哈哈。。红屁股乐园            
(3星)	 初中那会儿硬是被同学讲说长的像萧晴所以才去看了的剧。然后发现整个剧就是像流星花园致敬了，然后发现除了脸大之外没哪点像她的。            
(2星)	 小学三年级时候看的            
(3星)	 山寨            
(2星)	 律~            
(2星)	 立马换台，受不鸟            
(NA)	 这个我都看过 = =            
(1星)	 我都没脸说我看过这个 还是一集不落的看完             
(2星)	 这F4 万分难看            
(1星)	 偶像剧很一般偶像            
(NA)	 巨难看            
(2星)	 有点傻……            
(1星)	 女主也太丑了吧            
(5星)	 ……            
(NA)	 我进水了            
(4星)	 F4&amp;A5...            
(1星)	 哎 真是呕向剧            
(2星)	 不明白当时怎么会看这个。。。            
(1星)	 oo            
(1星)	 挺好的幾個人⋯⋯怎麼就成這個樣子了？！            
(2星)	 造型实在吓人             
(3星)	 想当年~~            
(NA)	 山寨偶像剧范本            
(2星)	 国产偶像剧...烂烂烂...            
(2星)	 少数偶会给少于三星的剧。。            
(1星)	 无语            
(2星)	 汗。。。            
(NA)	 想想俺以前是真堕落啊.....啥都敢看            
(1星)	 贼傻            
(NA)	 我操..傻逼乐园            
(NA)	 我虽然受不了偶像剧，但这是最纠结的。            
(3星)	 有些人长的很狗血 有些剧情很狗血 又是一部中国式偶像剧             
(1星)	 垃圾垃圾啊，还大陆的F4呢，不过寝室的人非要看，只好跟着看看，是在看不下去啊            
(3星)	 很青春滴嘛            
(2星)	 完全模仿F4……当年……还算成功- -！！就是有点囧啊 .            
(3星)	 补遗            
(2星)	 小时候看过，当时很是这部剧风靡大江南北。现在重新看了几集，完全不能理解当时这部剧风靡的原因，挺差的一部剧。编剧差，主要演员演技一般，除了音乐稍微好一些。            
(NA)	 无星可给、忍不住给句短评的“烂”！            
(4星)	 初一，当时很迷啊！！！            
(4星)	 其实我也是看过这么老的青春偶像剧的            
(NA)	 我。。。去！！            
(2星)	 我想说里面的人，是呕像啊!            
(3星)	 那时候姐姐在看这个，            
(NA)	 确实看过            
(1星)	 太爱这部电视剧了，囧得阳光灿烂的，人家心态多好~几个男猪那时候居然还红了~好在馨子同学这两年有进步，成为了一个比较专业的演员            
(3星)	 我還有整套碟ORZ            
(1星)	 雷,天雷,滚滚的            
(NA)	 ......            
(NA)	 小学的回忆 哈哈            
(NA)	 虽然现在看这部剧要多浮夸有多浮夸但当时是很喜欢的 对这部剧有回忆分。            
(1星)	 都不好意思承认我看过。。。            
(2星)	 当年叫A5!!!我一集不落的看的尼玛！            
(3星)	 当年为什么会稀饭？！为什么！！            
(3星)	 当初是有多爱啊~            
(1星)	 所以说我从小就对偶像剧不感兴趣的嘛            
(NA)	 现在学校图书馆还有这本书，那时和33笑到半死。            
(2星)	 不好意思承认自己看过.....            
(3星)	 青春啊~歌曲青涩，演员演技也青涩            
(3星)	 现在想想真是傻叉            
(3星)	 好吧，毕竟这也算我的童年记忆之一...            
(2星)	 不是我眼拙。。。            
(NA)	 好傻逼的电视剧，想拍出台湾偶像剧的感觉，结果拍成了山寨。村的很！            
(4星)	 当年看的感觉挺好，现在的偶像剧都不想看了。虽然主角现在不火，当年也是显然的模仿F4，但是也没那么差。比现在那些什么大少公主千金王子之类的单纯多了。            
(2星)	 奇葩啊            
(NA)	 …不忍心评价了 = =            
(1星)	 毛僚！            
(3星)	 只觉得女主原来也可以选这样的……显然现在好看很多……            
(5星)	 初中超级着迷            
(1星)	 当年 这个是又多红 你知道么            
(1星)	 哈哈哈哈哈哈~~~~~~~            
(1星)	 那时候我妈都嫌女主演技差            
(3星)	 小时候还租盘看的            
(3星)	 话说女猪脚的这个脸真好玩啊            
(3星)	 假。。。里面有黄圣依 还有那届超女一个双胞胎组合 其他就不记得了            
(NA)	 这个就是流星花园的再演绎版。三星。            
(2星)	 真是应了那句话。。谁年轻时没傻逼过呢。。。            
(3星)	 替小时候的自己打个3星。第一次看就发现故事演技都不怎么样，可我前前后后居然看了3、4遍！            
(2星)	 看在2座母校的面子上。            
(NA)	 脑残剧看过。。。            
(1星)	 这个应该算内地偶像剧的开始吧，黄圣衣的出处。            
(2星)	 懒得吐槽。。            
(3星)	 其实对于那个年代来说。。。还不错啦。。为什么你们都这么苛刻 何必如此刻薄╮(╯_╰)╭            
(3星)	 其实我觉得还蛮好看的呀~~就是演技差了点 哈哈            
(NA)	 上师大取景的。。。            
(NA)	 其实我现在还是挺喜欢= =            
(4星)	 一堆疯子堆成的戏，还不错。。。            
(NA)	 曾经很稀饭。。。            
(5星)	 那时候俺觉着楞帅来            
(4星)	 A5 哈哈哈哈哈哈    里面几个还蛮帅的，盛超 张继 。。。其他的想不起来了            
(1星)	 土到死~一颗星给那个长得像林志颖的！            
(2星)	 纯马克            
(3星)	 当时这部电视剧的火爆不亚于《流星花园》，于是也就出现了一个F5。其实说实话，里面没有一个我觉得长得帅的。。。            
(3星)	 童年            
(2星)	 。。。。。。。。。。。。。。。。。。            
(1星)	 是有够烂的            
(1星)	 很雷很肥皂。            
(2星)	 无感            
(3星)	 天野成爸爸了 可豪成怪叔叔了!!!            
(NA)	 第一步接触的中国大陆偶像剧            
(3星)	 说实话  以前年幼无知的时候真的觉得这部剧还不错            
(3星)	 这个竟也看过，以前是有多闲啊。            
(3星)	 蛮青春，蛮可乐的，不过现在感觉无聊了            
(1星)	 哈哈哈哈！！！国产偶像剧            
(NA)	 还看到过女主演小三的片子。。。唉            
(4星)	 曾经陪我过了一个无聊的假期。            
(1星)	 一点都不现实。            
(4星)	 其实吧，想当初还看了好几遍来着。。。为了纪念一下那些逝去的时光所以分数给的不算低啊。            
(1星)	 可惜没法给零分            
(3星)	 小学的时候多风靡来着。            
(2星)	 就算小的时候看，也觉得里面的人好难看。            
(1星)	 为什么我小时候老看这些东西。。。。。。            
(3星)	 当时觉得还可以啊  子衡和可豪还可以啦 天野那销魂的头发= =            
(NA)	 在那个年代已经不错了好吧………………            
(5星)	 初中时候看过的屈指可数的电视剧~            
(4星)	 。。。现在这些人已经不再年轻啦。。。            
(3星)	 n年前看的货，剧情什么的基本不记得= =            
(1星)	 这片里就数黄圣依最好看了            
(2星)	 最近有个《我的灿烂人生》，有这个电视剧的两个演员，那叫一个雷啊！当年还挺喜欢那个有酒窝的黑妹纸！不知道为什么言承旭要接演这样的剧！想想同是这个电视剧出来的女演员，有的已经当大股东，演个白蛇妖媚的不行，有的还在演这种烂片，第一集就土得要命啊！            
(3星)	 演技好差，但年少时那个喜欢看的呀，啧啧            
(2星)	 ……………………国产搞笑片            
(4星)	 反正以前真的很喜欢看。怀念下我的初中时代。            
(NA)	 陪我度过了一个童年的电视剧            
(NA)	 跟着姐姐看的。没一个好看的            
(2星)	 都不忍心吐槽了，简介太欢乐了 PS其实子衡长得不错            
(2星)	 谁没年轻过！            
(3星)	 童年记忆！            
(3星)	 老纸小时候看的一包带俩劲！刚刚在淫淫上看了一个相册！那个叫天野的蓝纸，成经长发飘飘的蓝纸，居然都当爹鸟！            
(2星)	 哇 嘔            
(3星)	 好囧...            
(4星)	 恩……阳光。。。。            
(3星)	 剧情简介 · · · · · · 　　一个充满神秘色彩、令人向往的红苹果之家 hahhhhh             
(3星)	 其实我几钟意黄小姐嘅            
(4星)	 小时候看的时候心理默默的在说剧情很鬼扯，现在回想起来只留一片纯真            
(3星)	 物是人非啊            
(NA)	 这个是相当雷            
(1星)	 豆瓣又帮我记起了一个傻逼逼！！！            
(3星)	 时间是把杀猪刀啊！！！            
(2星)	 哇...已经一下子过去8年了- -            
(4星)	 内地版校园F……我记得曾经有段时间蛮红的，班上很多女生喜欢有在讨论。            
(1星)	 你妹的 哥也有不堪回首的过去···········            
(NA)	 和姐姐一起看的 那美味的速冻饺子 永远忘不了            
(2星)	 我居然是看完过的啊哈哈哈哈这种电视剧            
(3星)	 哪里有什么青春不过是YY。            
(1星)	 我小时候是怎么看下去的？            
(3星)	 也是回忆。初三高一时~            
(3星)	 年轻人。            
(3星)	 当年很迷，现在觉得好幼稚啊            
(3星)	 A5。。。山寨F4。。。嗯。。。这我也看过。。。里面还有黄圣依的。。。            
(2星)	 居然还能出第二部~            
(3星)	 黄圣依演反角，挺漂亮的。REBORN演这个的时候还没叫这名呢，她们好像是参加超女才叫这个的。姐妹花挺逗的，帅哥一来赶紧照镜子。            
(1星)	 真心难看。简直是童年阴影。            
(NA)	 当年觉得还是蛮好看的。黄圣依那时候还不红。就是觉得她好漂亮。            
(2星)	 消遣，看着，笑着，骂着            
(4星)	 那一年的回忆啊            
(3星)	 只记得那个谁演的linda，当时觉得特坏，又觉得女主也不咋地            
(NA)	 。。。            
(3星)	 其实这是一部不错的内地偶像剧，很喜欢里面的歌            
(1星)	 太雷人，哈哈            
(5星)	 突然懷念起，幾個男生應該都不在了吧。            
(1星)	 我勒个去。            
(2星)	 一群奇葩...            
(1星)	 当年为的帅男今何在。            
(2星)	 青春无敌啊！！！            
(3星)	 无语。            
(NA)	 我记得里面的男的都不错，女的就不行了，黄圣依当时是女二，我觉得还蛮美的。            
(3星)	 你们的发型真丑。剧情真狗血。            
(1星)	 当年我居然把这脑残片边骂边看完了……            
(3星)	 谁没个当初啊~还是和小丫同学一起看的~            
(3星)	 好多好多年前看的~~~基本忘记说什么的了            
(1星)	 一群挫b            
(1星)	 雷就一个字            
(NA)	 果真被狗吃了啊！            
(3星)	 旧时光            
(3星)	 还可以            
(3星)	 童年的回忆~            
(3星)	 范姜太太哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(1星)	 呵呵呵呵            
(2星)	 小时候看过的囧剧啊            
(2星)	 巨无聊            
(1星)	 极致烂。            
(5星)	 脑残级别的大陆偶像剧！            
(NA)	 还买过这本书呢，哎，年少时的回忆啊~            
(3星)	 矮油妈呀            
(2星)	 内地也能拍偶像剧了，可是不喜欢，好做作。。            
(2星)	 哈哈哈哈哈哈~ 女主丑毙了，大家还都爱她            
(1星)	 七宝大帝国被它取过景，糟蹋了，我真心高兴啊。            
(NA)	 小学五年级和表姐还通宵一起看碟。记忆尤新。            
(1星)	 这五个男人给我的感觉就像乡村摇滚乐农业重金属            
(2星)	 初中看的            
(3星)	 一个女人和四个男人的故事。            
(3星)	 好久之前看的了            
(2星)	 这些俊男美女不知去那里了            
(3星)	 红苹果，多老套的剧情，馨子长得不好看，但是片尾曲唱得不错，双胞胎后来去参加了快女，黄圣依叫linda，单身公害的言论。。。我记得这么多~            
(3星)	 年轻时代我都看这个了靠。            
(2星)	 每个人都有不堪回首的往事。            
(NA)	 红苹果之家的五位帅哥            
(3星)	 那时候觉得可豪很帅。。现在。。。= =            
(4星)	 本来想打五星，看到黄圣依，那一颗算是木有了            
(3星)	 小时候看的了= =，估计放现在这种片子我真心不可能看，但是还行还行            
(NA)	 哈哈哈哈哈哈哈            
(3星)	 当年吧，虽然觉得此剧某些地方有点雷人，但是非常认真地看完了，还很喜欢~哇哈哈~            
(2星)	 因为流星花园，所以看了这部，结果彻底打消对偶像剧的好感。。。            
(1星)	None
(3星)	 我要雷一把了，当年看得还挺认真的。大概就是因为这部戏，对黄圣依一直无好感。            
(5星)	 还是蛮好看的。            
(3星)	 现在看看3星吧            
(2星)	 OMG！！！居然看了！內地第一版雷陣雨            
(2星)	 我突然发现我小时候看了不少的雷剧- -真是吃饱撑着            
(4星)	 这四星纯属是6、7岁时的自己看这片子的感受 .. 恩，现在的我实在不敢恭维了 ..            
(3星)	 ......为啥总会碰到人说女主像我，我，我给自己一个面子吧            
(NA)	 不解释            
(2星)	 当时还看- -            
(3星)	 毕竟这也是我们儿时的记忆啊。。。            
