http://movie.douban.com/subject/4294119/	婚姻保卫战
(4星)	 使我对异性婚姻关系有些许美好的感觉            
(NA)	 哦 许小宁~            
(5星)	 现实问题，台词也有点意思，想法也跟得上时代            
(4星)	 其实我最中意小洋+乐乐！！            
(4星)	 沟通，这词儿多时髦啊。但真正沟起来，有几个能通的吖。            
(NA)	 除黃磊之外都沒個看。。。ps：袁立的胸好大啊，一顛一顛的，總是害我跳出劇情，NND            
(4星)	 从像雾到奋斗到婚姻，赵导越来越与时俱进了~喜欢郭小洋！            
(3星)	 有点远了 最后小宁的话不错 既然已经拥有 何必舍弃 但其实 往往人们在乎的只是结果 只有当事人更乐于享受过程            
(4星)	 够哏儿的            
(3星)	 台词刻意创作痕迹太明显了 感觉很假很假            
(4星)	 我觉得我们比较像马伊琍那对哈哈            
(2星)	 我终于知道了自己不喜欢这部剧的原因，这部打着理想主义旗号的电视剧揭露了赤裸裸的某些婚姻就是交易的本质，这对一个从奋斗里沁淫尚未醒来的人来说，确实不对胃口。            
(NA)	 家里没网的日子，每天下班回来就看电视。。。。            
(4星)	 剧情满有意思，不过这台词也太话剧了吧。。。黄磊出山真是太靠谱啦~~~            
(3星)	 拖沓。            
(3星)	  = =  怎麼說呢 也不是沒有笑點             
(2星)	 贫的无可救药            
(3星)	 演员找的基本挺符合角色本身。            
(4星)	 不喜欢马伊利。            
(3星)	 无比贫嘴的电视剧 适合当背景声            
(4星)	 输不起、赢不了。-----------    六个字道尽了保卫婚姻的悲哀。            
(3星)	 很不现实的YY片╮(╯_╰)╭            
(2星)	 不喜欢，看了4集就实在看不下去了。特别是佟大为和马伊琍，简直太作了。            
(NA)	 对白经典            
(4星)	 还是很有哲理的。出来前一天看完大团圆结局的，心里有复杂感受~            
(4星)	 赵导现在大概是国内电视剧的品质保证了吧。不太喜欢佟在里面像个咆哮教主似的。孟广美女士真的已经走形了，还在里面演个如此J的女人。很喜欢片尾这几位主演唱的那首歌~~            
(1星)	 弃！            
(4星)	 爱情是奢侈品。精神逃离比肉体背叛更可耻，而肉体背叛者与禽兽没多大区别。没有谁比谁强，一个家庭需要榜样。我想给你一个瓶子，里面装着都是你的心愿。            
(5星)	 看到赵导的戏立马给五星。一口气看完全集。。。总体来说还是有些理想化。不过比芒果台的那些电视剧要强太多了。。。            
(3星)	 说台词儿像念稿儿 太不生活了            
(4星)	 看得我心酸，TO LOVE,TO COMPROMISE            
(3星)	 佟大为和马伊琍什么的可以下去了             
(3星)	 一开始感觉不错 后来看看也就这么回事儿            
(NA)	 越看越没味，生活不是打趣逗哏可以应付的了的......            
(5星)	 赶不上奋斗啊，全剧只看黄磊和袁立！            
(NA)	 我提早预习了好吧            
(3星)	 我这段时间像个家庭主妇            
(4星)	 黄磊胖了还是这么帅            
(4星)	 婚姻说不清道不明            
(4星)	 我只能说：黄磊，你太亮了！！！女孩儿们，现实中要是给你这样的男人，你就乘早烧高香去吧！！！            
(2星)	 废话多            
(4星)	 就爱北方人的贫嘴 特逗 许小宁亮了            
(5星)	 放假在家跟妈咪一起看的超欢快            
(3星)	 不错，里面的话很多说的超有道理            
(4星)	 台词很好，思考很深            
(4星)	 袁立啊 于娜啊 佟大为啊 马伊俐啊 赵宝刚啊 许晓宁啊 婚姻啊 神马啊 唉。。我是不是该认证看看奋斗感受一下北京            
(4星)	 这几天才算完完整整看完 = =             
(3星)	 鸡肋……            
(4星)	 萌许小宁TT            
(3星)	 台词化挺厉害的，不过也算有些金句。            
(3星)	 就是贫嘴嘛~            
(4星)	 我觉得黄磊夫妇演的不错~            
(3星)	 都是一个风格，台词串串儿的            
(3星)	 本来没打算看，看着看着就想乐。            
(3星)	 所有的电视剧都逃不过越到结尾越抓不住人的宿命    。            
(5星)	 我爱黄磊！            
(4星)	 还不错            
(NA)	 愛看蘭心那兩口子，太可愛了            
(3星)	 话太多            
(3星)	 越来越不喜欢佟大为            
(4星)	 嫁人当嫁许小宁啊许小宁。            
(4星)	 贫呀乐呀哈哈            
(5星)	 挺逗儿~            
(3星)	 大段的台词太让人受不了了！大冬瓜老是抬着眉毛使劲儿瞪着眯眯眼有意思么！黄磊让我错以为是发了福的向南（演员叫啥我忘了），黄老师还真演神马像神马！孟广美要多矫情就有多矫情！            
(3星)	 10话弃。虽然台词还成，始终受不了国产剧的节奏            
(4星)	 我家男人就素许小宁呀~！佟大为和马伊琍俩人对话简直就是教科书，忒么意思了            
(5星)	 给力            
(4星)	 不给五星因为听马伊琍和佟大为两口子吵架听真心烦。。。特别喜欢黄磊和袁立两口子！！            
(4星)	 说实话，和新加坡的那本真的很像= =            
(3星)	 说教大于剧情。。。意图太明显。。。            
(4星)	 我太喜欢许小宁了            
(4星)	 徐小宁有灰太狼的架势~            
(4星)	 再成功的婚姻俩人都起码动了50次离婚的念头，跟别提200次想掐死对方的决心。结尾佟大为说“这是我们家在一起过的第八个春节”，我想起这几年是怎么过的年，飚了几滴矫情的眼泪。。。            
(4星)	 本色黄磊            
(5星)	 抛开不那么现实的部分，看道理，这剧相当赞！            
(2星)	 我喜欢黄磊我喜欢黄磊我喜欢黄磊~~~            
(1星)	 矫情、做作、压根看不下去。去演话剧比较合适。            
(5星)	 爱情是场战争。那么如果对方是你，那么我不介意和你一起去保卫这场战役            
(4星)	 我说我爸实在太无聊了么.他居然也在一直追..他们80后的后现代婚姻我爸爸看实在不合适.许小宁也太小男人了.还是他老婆兰心太强悍了            
(4星)	 蛮好看的 妈妈也觉得好看            
(NA)	 看来不止要有婚姻 还要有组织啊            
(4星)	 太贫了~！完全是奋斗的延续版~= =没见哪家结婚那么多年还能如此贫的。。。。。            
(3星)	 全部看完。。。说不清感觉，坏算不上，好也不至于，但是比充斥中国荧屏的xxxx剧好的多了            
(4星)	 剧情还算紧凑，但每个人说话的时候都一样那么贫            
(NA)	 嘴皮子都挺利索~            
(4星)	 问题还是很现实呀。越看郭洋越像阿鬼            
(3星)	 就一般般，打发时间看的。            
(4星)	 还不错，重点放在和有房子有车子有孩子有票子之后，事业和时间的冲突上，很真实            
(NA)	 装逼夫妻依旧装逼……黄磊好适合家庭煮男            
(NA)	 其实还挺不错的            
(4星)	 生活的智慧真是怎么也学不完哪~            
(NA)	 三星半            
(3星)	 1、 佟大为跟马伊琍把《奋斗》的台词搬过来了？2、 主要还是想看黄磊。            
(5星)	 我还就喜欢张谨这样的女人。            
(3星)	 婚姻需要呵护和保卫            
(5星)	 我要和闺蜜做邻居  太有爱了 哈哈            
(4星)	 很贫很喜感，很适合打发时间的家庭剧。            
(4星)	 许小宁我喜欢哈哈..!            
(NA)	 看过几集            
(NA)	 忽略大段的辩论的话            
(4星)	 不错            
(5星)	 取个李梅这样的！            
(3星)	 陪妈妈看国产电视剧            
(3星)	 铺天盖地的植入广告啊！            
(3星)	 有的时候得承认 我们很贪婪            
(4星)	 我老了...  &gt; &lt;            
(4星)	 恩我喜欢看国产家庭伦理片儿。。。PS 磊啊时光如梭啊你还记得逢源桥边的英和默默么。            
(4星)	 赵宝刚是大陆的北川阿姨，质量保证。            
(4星)	 觉得还不错`挺有劲的`            
(3星)	 除了黄磊，剩下的都是装腔作势的什么玩意儿啊            
(4星)	 黄磊最好玩 ～ 剧中不少人说台词像背书，不停顿，不思考，没表情 ～            
(3星)	 暑假回家陪父母，别问我为什么。            
(3星)	 给三星是感谢此剧陪伴我度过每天的吃饭时间，不过此剧就像我吃的饭一样没营养。看个热闹吧，黄磊戏好，压倒性的。赵宝刚已经完成了从天才变老屁的过程。            
(4星)	 婚姻吖需要保护。            
(4星)	 看地让人有点向往婚姻生活            
(3星)	 看得舒服，细究之下，漏洞百出，却也算中国电视剧里水平较高的了，呵呵。            
(4星)	 不喜欢李梅和老常 两个讨厌鬼            
(5星)	 孟广美最后还是在佟大为的心底留下了一滴眼泪。            
(3星)	 大段的说教实在太不生活化，如果不是有众星撑场估计早就看不下去了。而且基本都是成功人士的生活，可借鉴意义不大。            
(2星)	 看了两集就不想在看了，太无聊了！K说我是没结婚所以觉得无聊，结婚的人句句都说在心坎里，真可笑啊，那干嘛还要结婚呢，这不是自找烦恼咩？台词真的有必要这么上纲上线么，真的有必要有必要么？            
(4星)	 各种臭贫            
(4星)	 特逗            
(4星)	 3.5   怎么结个婚好好生活就这么不容易啊。。            
(4星)	 最无趣的就是佟大为那一对儿，过日子像政治理论课。            
(5星)	 每天等两集~黄磊太好玩了            
(5星)	 好色是男人的本性    年轻的时候女人喜欢的是帅气的大哥哥 男人喜欢的是校花 等20多 女人喜欢成熟浪漫 有事业心的男人  男人喜欢的是20多岁 漂亮 有身材的女人 等30多 女人喜欢跟自己心灵契合的男人 男人喜欢的是20多岁 漂亮 有身材的女人 等四五十岁 女人喜欢能跟自己相伴  | 我就记住了这段话            
(4星)	 老赵你就贫吧。看你们一家家的鸡飞狗跳我是有多么欢甚啊。            
(4星)	 只能说剧本还行 虽然说有些东西还是浮夸了 但是也有跟生活接触的东西赵宝刚的个人风格还是很强烈的 一看就知道是他的作品            
(4星)	 电视剧好看，关键就在于故事要贴近生活。许小宁是个虚幻的完美丈夫。            
(4星)	 许小宁~~~            
(4星)	 个别演员功力未够            
(3星)	 要是能正常说话就好了            
(3星)	 我看完了。。。袁立还说了句杭州话            
(4星)	 嫁人就嫁徐小宁!! +n            
(4星)	 黄磊太乖了。另外小三什么的，最讨厌了！            
(4星)	 个人觉得是三部曲里面我最喜欢的，马伊琍演的李梅说话一如既往地冲，标榜理性，但我觉得挺多时候无理取闹，不能心平气和交流。黄磊演的许小宁最棒，估计很多女同胞们喜欢，满足一个追求事业的女人对稳定后方的需求。赵宝刚的电视剧不免有堆砌台词的嫌疑            
(3星)	 黄磊和袁立这对挺可爱，其他无感            
(4星)	 支持黄磊！哦也            
(4星)	 孟广美演那角色太装逼了……            
(4星)	 郭洋一定是双鱼座，李梅是射手，张瑾也是射手            
(5星)	 很好看 很现实 说的话也很经典             
(2星)	 为赋新词强说愁            
(5星)	 没想到啊，还真有意思，才看第一集就把我笑翻了。。。。。。            
(5星)	 夫妻吵架千万别计较谁输谁赢，非要争个高低，最后赔上的肯定是感情。            
(3星)	 有点失望            
(NA)	 每个频道都在演呢~            
(5星)	 我要嫁给许小宁。            
(4星)	 有爱怎么都好 有爱就有一切            
(5星)	 赵宝刚真有才，佟大为和马伊琍真他妈的绝配啊！            
(3星)	 许小宁很梦幻~            
(5星)	 没有完美的婚姻，生活就是一场无休止的战斗。比较喜欢佟大为这种男人，黄磊演的家庭主夫。。。讨厌啊。各自有各自的空间和事业才OK            
(4星)	 青春不能在等待中蹉跎            
(4星)	 陸超和夏琳的后結婚時代，黃磊很可愛            
(5星)	 丰田 淘宝 品木宣言 平安保险 充满广告 但是还挺好看的 好笑 而且真实             
(3星)	 三个男人很搞笑 我喜欢于娜            
(4星)	 歌好听 剧情也可以            
(3星)	 因该说是打电话闹离婚那场戏打动了我，婚姻本来就很脆弱。耍嘴皮子功夫马伊琍还得学，黄磊比较溜。我讨厌佟大为！            
(5星)	 喜欢许小宁和兰心这一对。不管怎么打，都饱含着爱在里面。            
(4星)	 黄磊真是逆生长的萌啊            
(4星)	 没看全            
(4星)	 剧情太罗嗦了            
(4星)	 我不嫌烦我喜欢看而且我喜欢马艳丽            
(4星)	 话说，马佟这对老搭档让我看得有点视觉疲劳了！            
(3星)	 越看到后面越是惯性的药看结局。果然失望了。小洋和小小真是可爱呐可爱呐            
(4星)	 黄老师演的许小宁是一大亮点！            
(5星)	 台词逗乐            
(3星)	 佟马组合确实审美疲劳了            
(4星)	 佟大为吵架吵得真像            
(3星)	 就看黄磊袁立了，有意思            
(NA)	 暂时无权评论什么            
(4星)	 发现许小宁小朋友才是真正的睿智帝            
(4星)	 行。挺扯的。真有女的挣钱，我也愿意在家呆着            
(4星)	 许小宁好棒!!!!!最稀饭黄磊了!!!!!!/这原本觉得矫情缺少足够生活气息的电视剧,居然嚼吧嚼吧也算是嚼出个味儿来了 却不知道那些理论以后用不用得上            
(4星)	 唉三俗了三俗了……            
(5星)	 没有别的深刻的原因，就是我喜欢这里的演员 喜欢台词 喜欢这个类型的电视剧。            
(3星)	 许小宁真好            
(5星)	 太喜欢了            
(4星)	 看了让人连谈恋爱都不想！现如今好男人要么结婚了要么是gay...            
(5星)	 最后一集楞给我看哭了！            
(3星)	 哪兒能都遇上這情況啊.. 而且說教意味很重...            
(4星)	 谈个话跟开政治交流会一样            
(3星)	 如果内容本身算是有意思，甚至有时很妙的话，那选角就是无耻的败笔。            
(3星)	 为什么他们说话都一套套的，演员背得不累我都看累了……            
(4星)	 佟大为还是满可爱的，只要他不把T恤领子竖起来。            
(3星)	 一一 人家也想要许小宁            
(4星)	 和谐的好剧  让围城内外的我们都很有感触  婚姻没有谁输谁赢 只有两败俱伤              
(3星)	 要不是演员台词功力深厚 这个剧根本没法看 ps：我爱黄磊            
(3星)	 贫嘴、家庭式话剧            
(3星)	 看了一半  一般般- -            
(5星)	 大女人~            
(4星)	 三部曲- - 赵宝刚作品果然是优质的~~像奋斗的拍摄~~            
(4星)	 赵导的台词还是那么到位            
(NA)	 大结局啊，这也许就是我以后要经历的吧，恩，感觉挺过瘾的            
(3星)	 女人是不是都喜欢许小宁这样的老公？赵宝刚，你还敢再贫点嘛。            
(4星)	 佐餐剧            
(4星)	 可以一看。            
(4星)	 我想要许小宁            
(4星)	 说的太有水平了！！顿悟！            
(3星)	 整个一长达33集的广告片儿嘛！！男女主角都是活脱脱的广告代言人。还有，这编剧绝对是一娘们儿，那台词写的，真够啰嗦的！！！            
(5星)	 袁立真的是没话说！黄磊~就靠你穿插整个剧了~刘金山你演技真棒！            
(4星)	 还不错把，反正最近天天看。            
(4星)	 小向说，那个汤俊找到富婆应该仰天狂笑三声嘛，怎么跑了，编剧不靠谱            
(4星)	 妈咪老说这是奋斗2  非要让一场婚姻变成贫嘴秀。非要让夫妻变得像俩贫嘴秀的辩论手。            
(4星)	 这些人出口都一套一套的，忒有水平了！！句句在理！            
(NA)	 黄磊还是那么帅==！            
(4星)	 我就爱看他们耍贫嘴儿            
(4星)	 追着看完了。。。竟然。。。看到最后就没那么讨厌郭洋了，唉            
(4星)	 反正不是平常老百姓的生活            
(3星)	 片子和现实还是有差距的，矛盾放大，快乐放大，所有情绪全部放大。在我看来，只有探索类的纪录片才最近现实，其他的都是娱乐片，或是治愈片。真正的婚姻和家庭，不是通过贫嘴解决问题的，大家看着一乐吧，切莫当真。真若拿这当婚姻宝典，您可就输了。赵宝刚不带这么忽悠人。两星半。            
(3星)	 太拖沓            
(1星)	 这是什么？照着台本念么？            
(4星)	 大半夜的总算看完了 = =宝刚宝刀不老~~伦理得很有味道。赶紧洗洗睡了明天起来干活了TAT总是爽完了才发现还有一堆活呢            
(4星)	 犀利。            
(3星)	 婚姻一直是一场战斗            
(3星)	 许小宁只是传说            
(3星)	 黄磊终于摆脱了文艺青年的范儿了            
(4星)	 比较好看, 但大团圆结局有点2...            
(4星)	 郭晓洋你太可爱了~~            
(4星)	 我喜欢台词。羡慕这样的婚姻。            
(5星)	 爹妈都在看我也就跟着看。台词挺文艺，都是四个字四个字地嘣时不时来个比喻对偶什么的。我觉得不够现实，毕竟平时小两口吵架哪儿有这腔调。只不过有些台词确实挺搞笑的。我估计是编剧导演想要有人给弄个经典台词神马的。算了给五星吧。            
(4星)	 我愿意又不愿意的想做许小宁儿一样的男人。。。            
(NA)	 爸爸别说教            
(2星)	 这台词说的真受不了。 还有这没完没了的内置广告。 看了一集就受不了了            
(4星)	 终于看完鸟...还行            
(3星)	 所有电视台都在热播额  陪爸妈看的 还行吧            
(NA)	 挺扯淡的。            
(4星)	 刻意地引以为鉴。            
(3星)	 吵架的大段大段的台词听着闹心，仨煮夫凑在一起还是挺好玩的。            
(NA)	 求里面的几曲（该不会又是我自己截吧。。。）            
(4星)	 还是觉得朋友很重要            
(4星)	 完美结局什么的最讨厌了            
(2星)	 俺娘天天家里瞅。            
(3星)	 看看年轻人怎么“保卫”婚姻的。就是看看别人的所谓生活。看看一些漂亮的大女人的奋斗            
(5星)	 互掐真好看。            
(4星)	 我就想知道谁家吵架那么文艺+1            
(4星)	 台词很经典            
(3星)	 离幸福很近，离现实太远。            
(3星)	 还真不愿意花时间看完这部净耍京贫的剧。看在黄磊和任重的份儿上勉强加一星            
(3星)	 需要去保卫的婚姻，宁愿不要。            
(5星)	 许小宁是个好老公~~~            
(4星)	 ....            
(4星)	 许小宁            
(3星)	 劇裡的生活每時每刻都像辯論賽 我看著都有些吃不消...            
(2星)	 so boring!!!!!!!!!!            
(5星)	 世界太乱，看点这类题材的电视剧分心一下，台词还OK的呀！            
(2星)	 娘啊，我以为这部戏必是批评一片，没想到豆瓣给这么高分。看了几集，除了台词幽默点，其他都很瞎。黄磊不错，袁立怎么看怎么和这部戏不搭。            
(4星)	 郭洋好错气！佟大为快赶上咆哮马了            
(3星)	 被迫在上網的時候耳聞目染一下，只是覺得佟大為和馬伊琍仍舊帶著奮鬥的影子，只是馬伊琍多了點說教的意味；黃磊註定擺脫不了乖乖小丈夫的角色，你可以說他懂得心疼老婆，袁立的強悍有些讓人懷疑編劇究竟是否在導演授意下曲解了女人的BH；至於另一對，我只能說我大跌眼鏡。            
(3星)	 艹，最后成广告大联欢了。            
(4星)	 那郭小洋长得好像方枪枪呀= =            
(4星)	 一点也不喜欢李梅。如果我是男人，没法和她过下去。            
(4星)	 介台词儿..成语辞典233  ~happy ending~            
(3星)	 结局是一坨代谢产物            
(4星)	 滚滚推荐的，我来琢磨琢磨            
(3星)	 模仿《奋斗》风格的电视剧            
(4星)	 这电视剧总很京味儿，才20集呐够短的            
(3星)	 郭洋和李梅的台词太频了 说的又那么快 听的人挺烦的 喜欢感觉袁立演的很好 喜欢许小宁和兰心            
(4星)	 生活气息还是没有滴，缭乱台词还是有滴，主要是现在大陆干什么都是shit，就觉得看这么个东西已经太安稳了            
(4星)	 挺好看的            
(4星)	 黄磊刘金山什么的最给力了            
(2星)	 除了黄磊，其他演员你们就不能好好说话。平时你和你老婆说话连着说四字成语阿！            
(NA)	 现在还有许小宁这样的男人吗？ps：周围环境很重要，要是李梅身边都是立志在家带孩子的贤妻良母，估计生活会是另一种结果........pps：小洋和乐乐真可爱啊！            
(4星)	 后面拖着看完的  婚姻还是太遥远  不过还是两个词儿  理解  信任            
(5星)	 赵宝刚的，都不能错过~            
(NA)	 我老了···居然看完了。。看得我都想结婚生孩子了。。。            
(NA)	 大妈剧啊            
(2星)	 真是有够假的。一群有房有车的白领，老板。简直不是当下的中国。赵宝刚该逃避的都逃避了，也可能是他根本就脱离群众生活了。陆涛夏琳继续上纲上线的吵架。就黄磊还算顺眼。            
(NA)	 关系到咱家能不能多挣大票儿 买恐龙的问题            
(NA)	 你别说，这70后进过培养偶尔也能演出点80后的心态。            
(5星)	 真好看！            
