http://movie.douban.com/subject/2190918/	梅花三弄之梅花烙
(5星)	 那时陈同学真是花样年华阿。            
(2星)	 大苦情戏，不好看，可俺也居然看完了。。。            
(NA)	 所谓童年...=w=            
(4星)	 能苦成这样也值得推荐。            
(4星)	 想评5星 不过那个煽情的东东太丑化这个故事的完美性了            
(4星)	 琼瑶阿姨只有这一个故事编的好的            
(3星)	 俺幼小滴心灵都被辣锅坏公主和坏嬷嬷给教坏了，啥子夹指头啦，滴蜡啦，阳奉阴违面善心恶绵里藏针啦……诶诶诶            
(NA)	 啧            
(NA)	 我娘就拿这些荼毒我！！            
(4星)	 当年的经典啊，当时觉得陈德容长的太漂亮了……            
(3星)	 教主！！！！！！！！！！！！！！！！！！！！！            
(5星)	 我的那个眼泪啊~            
(4星)	 小熟儿和妈妈一起看的。。。            
(NA)	 小学时候还能看一点琼瑶剧，有点像复习下教主咆哮的样子            
(NA)	 原来真的是一系列            
(5星)	 世上最纯的爱与最强大的现实 琼瑶阿姨真厉害!!            
(1星)	 若鸿！！！！！若鸿小心！！！！！！！！若鸿！！！！！！！            
(4星)	 以为这片子感人是以前没见过世面，如今再看，才知道，不是这个原因，是真的很感人，琼瑶大妈当年还是叱咤的            
(4星)	 小学二年级发水痘看医生那天妈妈给我买了梅花三弄的磁带我把磁带捧在手心晒着太阳坐在自行车后面开心地笑了            
(2星)	 教主！！！！！！！！！！！！！！！！            
(3星)	 记得有只小白狐，还有咆哮。            
(NA)	 这可能是我对电视剧最早的记忆。。。            
(NA)	 咆哮教主            
(4星)	 陈德容在这里面真的很很很漂亮。。。            
(3星)	 剧情基本不记得~梅花三弄这歌以及陈德容的美倒是忘不掉了。            
(5星)	 这么好看......            
(4星)	 这部最好看。            
(4星)	 梅花三弄里面我稀饭介锅...这是自发看琼瑶的开端= =            
(4星)	 一个情结啊。是不是！            
(4星)	 六个梦其实都不错的老太太更年期后就不行了            
(3星)	 小时候...            
(NA)	 《梅花三弄》第一部，爱那 梅花小点点纹身 。            
(3星)	 小时候看的时候觉得马景涛真是意气风发，陈德容真是美啊~            
(4星)	 当年惊为天人的陈德容。。。。            
(4星)	 琼瑶当时就是全世界            
(4星)	 咆哮哥只能让我打三星 但是当年陈德容太漂亮了            
(4星)	 小时候多喜欢看噢~~~            
(2星)	 小学看的吧 剧里面那个泛滥的眼泪啊            
(4星)	 梅花一弄 斷人腸            
(3星)	 结局很悲惨也很浪漫～            
(3星)	 公主其实也很可怜的            
(3星)	 原来我也跟着柚子&#34;穷摇&#34;过呀~            
(4星)	 生而为人，不如化而为狐            
(5星)	 最喜欢的一部，人性真黑暗            
(3星)	 呃。            
(4星)	 印象最深的一部。            
(3星)	 算是梅花三弄里面比较OK的一部            
(5星)	 喜欢歌曲多过剧吧~            
(NA)	 景涛 咆哮吧             
(NA)	 景涛剧。虽然现在被人恶搞，但是小时候我觉得他蛮帅的。虽然那时候我也不喜欢琼瑶剧。            
(4星)	 嘶吼吧 景濤哥！            
(5星)	 记得当年看的有滋有味的... 绝对5星            
(3星)	 马景涛恶心，陈德容漂亮。            
(5星)	 我们没有分开，因为我们的心始终在一起。世人以为死亡就代表着结束，但是即使是死去，也无法让我停止爱你。            
(3星)	 咆哮马的代表巨作            
(NA)	 青筋爆的出            
(4星)	 梅花一弄  斷人腸            
(4星)	 至今还是会想起马景涛的那声“银霜～～～银霜～～～”            
(NA)	 梅花一弄断人肠，梅花二弄费思量，梅花三弄风波起，云烟深处水茫茫。            
(4星)	 我比较喜欢这个故事。            
(5星)	 经典！            
(4星)	 那个时候看觉得蛮不错的，当然现在就不太感冒了            
(4星)	 白吟霜惊艳四方 美的仿佛不染尘埃            
(4星)	 小学一年级的片片啊 真是怀念哇那个时候的陈德容那叫一个水灵 但是我还是觉得那个皇上家的公主更有福相马景涛在那个年代就开始显露吼叫派掌门的风范了            
(4星)	 首次被马同学雷倒的一部片...陈同学果然是神秘的天蝎帮~            
(3星)	 豆瓣果然是吮么都找得到。            
(3星)	 第一次看陈德容，跟金铭可真像            
(3星)	 勉强看            
(2星)	 马吼叫一吼成名.大雷剧!            
(3星)	 很苦情的一部剧，记得当年认为马景涛很帅。。。。就是因为这部剧            
(NA)	 小时侯哭死了            
(4星)	 真想演            
(3星)	 陈德容出场时候的一身白衣，头系双鬟，真是我见犹怜。            
(4星)	 小时候难以磨灭的印记            
(5星)	 吟霜，太美了！            
(3星)	 缠绵啊。。。呃            
(NA)	 小时候超喜欢马景涛，都是琼瑶剧害的~            
(5星)	 梅花一弄断人肠，梅花二弄费思量，梅花三弄风波起，云烟深处水茫茫。 .            
(4星)	 很经典~~~小时候的回忆            
(3星)	 白狐绝恋么。。。为什么我小时候只喜欢那反派公主。。。。            
(3星)	 现在回忆起来的只有马景涛的咆哮            
(4星)	 小时候觉得梅花烙这名字起得很神秘            
(NA)	 梅花烙            
(NA)	 惊艳啊            
(3星)	 当时这种哭天喊地的电视剧相当猖獗~            
(3星)	 那时候的陈德容真是惊艳。            
(NA)	 马敬涛 好像大河马            
(4星)	 当年的陈德容啊~~            
(3星)	 六个梦里最喜欢这一个。无论是梅花烙印，还是白狐传说            
(5星)	 那时候的陈德容真是美女！            
(NA)	 小时候看的。影响颇深。很美。            
(NA)	 灭哈哈，貌似琼瑶剧还看过不少。            
(NA)	 ……            
(4星)	 咆哮得我耳朵疼~~~            
(5星)	 5星都给陈德容            
(NA)	 【1993-10-12】            
(5星)	 属于回忆。            
(3星)	 当时觉得咆哮是正常的么....年少无知害死人啊。年轻的陈德容怯生生的，非常耐看。            
(5星)	 教主在刑场“吟霜，吟霜”的咆哮，剧情神马都是浮云，要的就是震耳欲聋            
(4星)	 儿时最爱啊哭死了            
(3星)	 小学。那时候哭的死去活来。            
(4星)	 其实还挺喜欢这个人设的有木有...囧            
(3星)	 哈哈哈哈哈为毛没有人吐槽教主啊！！！            
(3星)	 啧啧啧啧。。往事不堪回首，却见梅花三弄。。颜面。。            
(NA)	 景涛真男人            
(4星)	 三部里最喜欢的一部            
(5星)	 很唯美感人的爱情剧。            
(4星)	 我居然没标记！其实很好看的呀……            
(NA)	 若非一番寒彻骨，哪得梅花扑鼻香。            
(4星)	 夹手指滴蜡烛~            
(3星)	 小时候跟老妈一起看            
(4星)	 哇哈，太经典了&gt;&lt;            
(4星)	 咆哮帝的经典之作。第一次见陈德容的时候，也是惊为天人。            
(5星)	 经典啊~我现在还记得过场，从头咆哮到尾，从头哭到尾~陈德容一身白衣真漂亮~            
(5星)	 反正。。。唉，看一次哭一次啊            
(4星)	 好剧，至少比现在强太多，而且我觉得琼瑶阿姨最好的是梅花烙            
(5星)	 我一直以来就很喜欢马景涛.....            
(5星)	 马教主成名之作            
(4星)	 配樂還在耳邊~~            
(4星)	 景涛哥~~~            
(4星)	 各种咆哮啊~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 小时候可怜吟霜，现在可怜公主.            
(5星)	 告诉我，这是真的吗，是不是，是不是，是不是！            
(NA)	 92年？姐当年3岁……可是怎么感觉记得那么清楚~~~            
(NA)	 经典啊 ！！！！！！！            
(NA)	 老爸喜欢的主题曲            
(4星)	 老马，你果然很有功力！            
(3星)	 没有琼瑶阿姨人生不完整吧？选个《梅花三弄》作代表吧…            
(5星)	 琼瑶的台词写得真不是一般的好            
(5星)	 琼瑶奶奶真是我的偶像！！又虐身又虐心！！现在谁还能编出这样令男人绝精女人绝育的电视剧来！！            
(3星)	 小时候觉得里面的人个个神经病            
(1星)	 童年阴影！            
(3星)	 年少心浮气躁的时候什么都看得，现下古潭死水倒是这些个都看不进了。笑点低了不知多少阶啊。            
(3星)	 最近湖南卫视在早上重播诶，还行吧，琼瑶的台词确实写的很好。             
(1星)	 吟霜就是一求包养的。我鄙视这种完全没有道德底线还要装情圣的男人和女人。            
(4星)	 整部剧都能看见“还珠格格”的影子，或者说是还珠格格的前身，音乐，冒险剧情，身世，苦情。咆哮马教主的功力果然非同寻常，吟霜很美，最可怜的是付出感情的公主，一辈子终究在阴影中度过。 说陈德容错过演小燕子，到还不如说真不适合演。            
(5星)	 咆哮吧景涛兄！！            
(5星)	 教主名作。。小寇子很帅(￣.￣) 。。。            
(3星)	 吼吼吼。小时候的我是琼瑶迷。            
(4星)	 咆哮帝的，怎能不推荐~            
(3星)	 陈德容是如何的惊艳啊当时            
(1星)	 童年的阴影！            
(NA)	 梧桐相待老，鸳鸯会双死            
(NA)	 跟我妈似懂非懂地看，老人家特爱梅花三弄            
(NA)	 水云间比较好看，还是鬼丈夫最好看！            
(NA)	 教主。。            
(4星)	 小时候是多喜欢啊~            
(5星)	 经典琼瑶剧            
(3星)	 我必须承认，当时还很迷小马哥呢。。。            
(NA)	 同样都是在嘶吼，为什么陈德容的表情就是那样的凄婉，而马景涛的面目就是那样的扭曲呢？            
(3星)	 这应该是陈德容最深得人心的作品了。            
(5星)	 阿阿= =            
(4星)	 咆哮马好歹是个帅哥,陈德容年轻的时候也的确漂亮.嗯,公主好可怜.            
(4星)	 小时候真是看了好多琼瑶的电视剧。梅花三弄也是比较经典的了。            
(4星)	 想重温一遍            
(5星)	 当年的梅花三弄            
(1星)	 咆哮帝每十分钟一次的精神分裂让姐很无语= =！            
(3星)	 我觉得我快要窒息了！！！！！！！！！！            
(4星)	 吟霜很美，他们爱得好辛苦。            
(3星)	 消遣看看···            
(4星)	 马咆哮            
(3星)	 红尘自有痴情者。            
(4星)	 当时在我幼小的心中还是很美好的。            
(5星)	 当年我小，觉得吟霜好看现在长大，喜欢皇上他妹            
(5星)	 看人间多少故事，最消魂梅花三弄             
(4星)	 最深的印象就是: 切掉小拇指！！！！！！！！            
(4星)	 哈哈哈            
(NA)	 初中。第一集就看的，惊心动魄呀。哀怨。。。            
(4星)	 哭吧哭吧。当时竟然还很喜欢看。            
(5星)	 小时候看过的第一部琼瑶剧            
(3星)	 教主            
(3星)	 如果不是因为咆哮教主，它应该值四颗星。            
(4星)	 第一次看到陈德容，那叫一个水灵啊！因为她我看完了全部。另外，主题歌也很好看。            
(4星)	 景涛兄大展咆哮功            
(4星)	 琼瑶剧啊！！            
(4星)	 最喜欢的是雍容华贵的公主啊            
(3星)	 when i was young            
(3星)	 就喜欢饰演梅若鸿的演皇上，还有悲伤的烙印，记得好像小时候看的时候，把2和3的顺序搞错了            
(4星)	 小时候不知道看过多少遍。 陈德容美呀~~            
(NA)	 哦哦  那个年代啊！！            
(4星)	 小时候看得可带劲了~            
(5星)	 问世间情为何物，直教人生死相许的爱情（PS主题曲相当经典啊！）            
(NA)	 梅花三弄！            
(4星)	 “梅花一弄断人肠，梅花二弄费思量，梅花三弄风波起，云烟深处水茫茫。”             
(4星)	 教主！！！！！！！！！！！！！！！！！            
(3星)	 最深的印象就是女主角一天都喜欢哭···            
(3星)	 里面的白吟霜哦~            
(NA)	 小时候看梅花烙，哭成泪人^_^            
(3星)	 妈妈喜欢的            
(4星)	 似乎好像看过他们俩个演的不少电视剧 而且是在很小的时候 呵呵            
(4星)	 小时候的回忆，前几天又下载来看了一遍。小时候觉得白吟霜最美也最可怜，现在看来她太有心计了，这个女人不简单啊。主题歌很经典。            
(4星)	 咆哮教主            
(4星)	 以前总觉得琼瑶的爱情剧都很肉麻~可这几天看着觉着真的佩服这位传奇人物！！虽然台词都挺麻的，但从很多地方可以看出琼瑶阿姨才华横溢！！只是一切都很悲~            
(2星)	 啊！！！！            
(3星)	 我记忆中第一部爱情片……那纯洁的掐水的童年            
(4星)	 景美人美            
(4星)	 当年我哭得肝肠寸断。            
(3星)	 景涛兄            
(2星)	 马景涛同志 您能少吼两嗓子么            
(4星)	 那时候看得好投入，囧自己            
(NA)	 记得看过……            
(4星)	 很凄美。淡淡的回忆。            
(3星)	 应该是陈德容最美的一个时期了，不过老马兄演戏的风格实在不敢恭维。            
(5星)	 咆哮马!            
(3星)	 忘了……            
(3星)	 我为什么看过？            
(2星)	 喊得撕心裂肺的 歌还不错            
(4星)	 小时候的回忆。            
(3星)	 貌似            
(4星)	 琼瑶的剧，又哭又亲            
(3星)	 梅花三弄里印象最深的 陈德容好美            
(NA)	 hahaha            
(3星)	 马景涛的咆哮功终于练到十成。。。佩服他，也佩服自己            
(4星)	 当时很想自己也有那么一个梅花烙的～！            
(2星)	 一直嚎            
(4星)	 一年级            
(4星)	 小时候偷偷看的~            
(2星)	 当年马景涛那撕心裂肺地吼啊，真是可以把死人喊活啊            
(3星)	 一般            
(3星)	 咆哮马教主威武            
(4星)	 这一系列的主题歌都超好听！            
(3星)	 我妈好喜欢看……            
(5星)	 在陈德容清纯的外表下，连我都忽略了她小三的事实，公主也没有错的，是不是            
(3星)	 跟着奶奶看的。。。基本不记得内容了            
(NA)	 童年            
(NA)	 童年的记忆。            
(3星)	 一想到马景涛的嘴，就有些头疼            
(4星)	 1992            
(3星)	 好看的...当初电视里三部曲一起放的...            
(3星)	 忘了忘了，只记得给小姑娘烫了一朵梅花。疼么？            
(4星)	 梅花三弄诶。            
(NA)	 陈德容真是美啊！            
(NA)	 陈德容惊为天人。。            
(4星)	 当时看得很伤心            
(4星)	 记得里面的格格很凶狠.            
(5星)	 我那时候只有那么喜欢看了……            
(4星)	 第一次觉得有情人，未必一定会在一起            
(4星)	 小时候的梦...            
(3星)	 想被馬景濤搖一次肩膀            
(5星)	 虽然不喜欢琼瑶剧吧，但是这部是为数不多看完了的。            
(5星)	 喜欢喜欢喜欢得不得了~~~~当年为了看这个逃了多少作业，挨过多少皮肉之苦~~~~爱死的~            
(NA)	 陪外婆看的唉..            
(3星)	 现在很烦这类型的剧～            
(4星)	 当年的真觉得陈德容就是天下第一美女。            
(5星)	 美好的童年啊。            
(1星)	 Horrible...            
(NA)	 经典再一枚。            
(NA)	 高考时看的。。。哭得稀里哗啦的。。。            
(3星)	 当时我还小            
(NA)	 印象中有看過            
(3星)	 伴着我长大的            
(NA)	 梅花烙            
(5星)	 梅花三弄            
(NA)	 陈德容年轻时真的是美女            
(3星)	 白吟霜可真美            
(3星)	 马景涛吼功一流！            
(3星)	 三年级……            
(NA)	 个人觉得这是陈德容最漂亮的扮相            
(3星)	 哭哭啼啼的台剧            
(3星)	 马景涛一生之中唯一一部我看得下去的片子            
(3星)	 这个还行啊。            
(4星)	 关于小学的记忆~~            
(3星)	 可真是老片啊，记得女主十分能哭，男主十分能吼            
(NA)	 当时看完后就总觉得我妈的狐狸围脖有一天会和我说话            
(4星)	 陈德容真的很漂亮！            
(NA)	 &gt;.&lt;难以相信小时候竟然就被这样的电视剧污染类。。。多愁善感呀还那么惨            
(3星)	 风在吼，马在叫，景涛在咆哮~            
(NA)	 小时候特喜欢白银霜，后来看，觉得公主好可怜            
(3星)	 马景涛就知道大喊大叫，陈德容就知道皱着眉头大哭            
(3星)	 梅花烙            
(4星)	 那时候还是看得酣畅淋漓。苦命女们~            
(5星)	 琼瑶阿姨的，看得我哭哭啼啼的，原来这就是爱情！            
(4星)	 咆哮教教主的经典之作            
(3星)	 太监，汉人。公主做到这个份上，真是不能忍了。            
(NA)	 21集里有陈建斌和王学斌客串的官衙。好年轻！            
(5星)	 经典！！！            
(3星)	 当时陈德容刚出来，还是小小惊艳了一下啊            
(NA)	 那时，觉 陈德容是标准古典美女。            
(NA)	 最喜欢的琼瑶电视剧。。。。大了看怎么觉得就是一特傻的女的            
(3星)	 喜欢听“梅花三弄”。            
(NA)	 小时候贼爱看。。            
(3星)	 当时认为经典，现在觉得很俗套！抓狂的马景涛，一说话就眼泪汪汪的吟霜，实在不想看到他们了！            
(2星)	 小马哥的破音……大寒……公主长得像个鸡蛋……            
(3星)	 事实上我对马咆哮的恶感就是从这部开始的……幸好那时陈德容够青春。            
(3星)	 觉得和水云间很像，故事穿插的是一只梅花簪。            
(3星)	 后来觉得台词是恐怖片            
(3星)	 琼瑶阿姨            
(3星)	 哎            
(5星)	 好像是有印象的第一部电视剧，比白娘子还早呢~~还记得是夏天的晚上躺在凉席上和爸妈一起看的，喝着冰冰凉的绿豆沙，被爸爸称作是绿豆伢呢，还因为小时候喝绿豆沙的被子是茶色的，一度认为绿豆沙就是茶色的~~真是令人怀念啊，剧情记不得了，只记得有一块白狐小摆设，好像家里当时也有一个哦~~~            
(5星)	 就冲这入木三分的演技这戏剧的张力必须5星、比比看现在的古装，简直是渣..            
(2星)	 很傻很天真。            
(4星)	 我曾经这样喜欢琼瑶阿姨，这样我现在挺难过的。            
(5星)	 非常喜欢看。。。            
(4星)	 小时候不懂，还等着女主睁眼呢就结局了            
(3星)	 咆哮帝，谁与争锋            
(3星)	 马景涛每次都用力演过度            
(2星)	 小时候看几分钟就觉得没意思啊。            
(3星)	 (⊙_⊙)，我就是会唱那个梅花三弄的歌来着            
(NA)	 小学时候的，原来琼瑶那时候就开始了。只记得很讨厌那个什么公主。            
(4星)	 当年的陈德容真的好美            
(4星)	 那时候马景涛还不叫咆哮帝，那时候陈德容还是我心里经典的美人            
(3星)	None
(5星)	 五星全给小马哥            
(4星)	 好模糊的记忆。。            
(3星)	 厄......            
(4星)	 我的第一部琼瑶剧·····            
(NA)	 我发现小时候看的剧比现在多多了。小时候我是有多闲啊。            
(NA)	 羞涩的说，咆哮马的片还真的没少看~~不过那时就觉得琼阿姨的故事真不错，没太注意咆哮帝的出色表演……            
(NA)	 咆哮教主由此开始吗            
(3星)	 馬叫煮啊~            
(4星)	 嚒嚒们的招数从这剧开始一直在创新。            
(3星)	 大家都看的            
(3星)	 以前很喜欢            
(4星)	 其实我觉得梅花三弄和倚天屠龙记是教主的代表作            
(3星)	 只记得那个烙印            
(4星)	 小学，每天早上起床，6点多。我妈帮我和我弟穿衣服，我就看这电视。那时候我觉得咆哮帝很帅的            
(4星)	 好久好久            
(3星)	 对这个印象最深~            
(4星)	 如果不是教主的咆哮，也许会更好。            
(3星)	 当年的陈德容真水灵            
(3星)	 陈德蓉是天生的受气样啊，那可怜劲。。。            
(NA)	 矮油陈德容真漂亮。            
(3星)	 当年怎么就看这种片了            
(3星)	 她们说大老婆真毒            
(3星)	 那时少年各种剧~~~             
(5星)	 让我哭得最惨的琼瑶剧            
(4星)	 当时真觉得马景涛好帅            
(4星)	 回忆还是在回忆里吧。重看我失望了。            
(3星)	 当时老妈看哭了还被我BS==。            
(4星)	 我那会儿能看懂这些情啊爱啊的吗？！            
(3星)	 教主的又一力作            
(5星)	 陈德容太美了～～            
(5星)	 这是童年记忆的一部分吧，那时台湾剧特别风靡，虽然年纪小不太看得懂，但是那种美和悲情能感觉到。            
(3星)	 当时的陈德容真美            
(4星)	 也算是经典吧。古诗词被谱曲，最好听的莫过于那句“问世间情为何物，直教人生死相许”了，《神雕侠侣》中也几次出现这句话，可惜没有这种曲子。            
(3星)	 小时候的回忆了，只觉女主角的命很苦，典型的苦情片            
(3星)	 教主。。。            
(NA)	 攤手。。。            
(3星)	 当年好爱陈德容啊~            
(3星)	 咆哮教主一上来就各种咆哮啊，震撼了我。。陈德容真心美丽啊。。公主好可怜。今天刚看完梅花烙。。            
(4星)	 陈德容在这边真的好看！            
(4星)	 琼瑶剧里最爱陈德容了。            
(5星)	 当年的屏霸，80后的孩只难道还有谁没看过吗？真是。。。纠结致死。。主题曲一如既往的好听            
(4星)	 很凄惨的故事，马哥演的皓祯大概是他演的所有琼瑶剧里我最喜欢的，啊，罗志刚也不错，总之皓祯和银霜这一对儿太凄惨了，还让我难过了好一阵子，哎            
(4星)	 烙字很可爱~那个格格哭的很凄惨的记忆还在可是之后么见过了~            
(5星)	 因为包含自己小时候的回忆，那时候深信最后的白狐。            
(3星)	 陈德容年轻时真是美            
(4星)	 很美。            
(4星)	 原来这就是梅花烙，前几年还在湖南台看见了？陈德容很美，觉得金铭的小时候还是有陈德容的模子。            
(4星)	 那时看她还真是特别美啊            
(4星)	 琼瑶婆婆的经典言情剧还是算充实了俺的年少时光，也成就了咆哮帝~            
(4星)	 对陈德容 当时虽小 仍惊为天人            
(5星)	 小时候好像很喜欢的            
(4星)	 当时觉得陈德容太美了 和马景涛超配 只是结局很什么            
(4星)	 好看            
(5星)	 陈德容年轻的时候美好的简直让人不敢相信。            
(4星)	 凄美的故事            
(3星)	 连在讲情话的时候都在吼····那个年代的偶像剧            
(5星)	 20110813-20110817  经典琼瑶剧！我快被虐死了，哭的稀里哗啦，憋泪到头痛欲裂，这就是彻头彻尾的悲剧，每个人都很悲哀，琼瑶奶奶的剧很有带入感，到现在听到配乐就悲从中来。            
(4星)	 梅花一弄断人肠，梅花二弄费思量，梅花三弄风花情，烟花深处水茫茫            
(3星)	 好看的。            
(NA)	 公主是不是容嬷嬷调教出来的？扎针满灵的            
(NA)	 小时候觉得白吟霜特美，整天下课就跟小学同学扎堆讨论剧情，还玩角色扮演游戏            
(4星)	 让咆哮来的更猛烈些吧！！！虽然我现在已经完全看不下去了！！！但是当年还是看的一愣一愣的啊！！！            
(4星)	 不愧咆哮帝的称号            
(4星)	 楚楚可人的白吟霜 ( ▽＃)   可愛的叫煮 =W=            
(3星)	 继续笑            
(4星)	 陈德容，真心美，真心嫩。            
(4星)	 馬景濤好激動            
(4星)	 很闹腾的电视剧。。。            
(5星)	 小时候喜欢女猪角，长大了，喜爱兰心公主。            
(4星)	 看完觉得公主真可怜，就被一群神经病逼疯了。。            
(3星)	 咆哮啊，除了还珠格格看得最多遍的琼瑶剧，只是前者是自愿看的，可见那时候的电视剧多么的少            
(3星)	 这是我妈喜欢的类型            
(2星)	 虽然陈德容很漂亮 可我从来都不喜欢她             
(4星)	 哎呀，小学看的。好讨厌马景涛呀，严重怀疑琼瑶阿姨有被虐癖，好多戏女主人公都要被打被虐待……            
(4星)	 陈德容很好看的。。。岁月催人老。。。            
(4星)	 就记得那只好看的梅花簪了            
(4星)	 甘愿与爱人同赴死的决绝~            
(1星)	 那会我是有多无聊啊！！！！            
(3星)	 小说看得比较明白，电视剧终究有点遥远，咆哮马的功力还是记忆犹新的。            
(5星)	 哇~~小时候每个假期都要看啊~~最后才发现~其实我没看懂~            
(3星)	 小马哥的深情演绎哪            
(4星)	 小时候不懂事，觉得公主很坏，欺负女猪  后来才知道其实最无辜最可怜的是公主 小三什么的死远点            
(4星)	 喜欢兰公主，以后慎重看苦情戏，故事很美。            
(NA)	 陈德容还很美的年代。。。            
(5星)	 梅花一弄断人肠，梅花二弄费思量，梅花三弄风波起，云烟深处水茫茫            
(3星)	 咆哮帝的代表作。。。受不了            
(3星)	 幼儿园看的            
(3星)	   那時馬景濤也是御用的…………那首梅花三弄的歌我到現在還我很喜歡哪~            
(NA)	 好早好早的电视剧了，至今都不大记得剧情的内容了~            
(NA)	 唉……我是抱着来看教主的恶趣味来的，但除了咆哮给予心灵上的震颤之外，随之而来蛋碎感觉也令人幻灭。甚至女孩儿都想写篇论文叫做——论意气用事在生活中的不可行，这一切的一切，都怪那些自诩为心地善良重感情的人儿们的冲动而来啊……这么多年过去了，还珠格格其实还是按照这个套路来的，不长进啊！            
(4星)	 如霜很漂亮，音乐很好听，剧情很苦。            
(5星)	 奶奶剧我也看过不少。。            
