http://movie.douban.com/subject/2287750/	胭脂水粉
(4星)	 剧情搞大了，但又要30集收尾，于是最后两集，真相就像锅蜂那样涌出来，那些“坏人”就像走天台那样被枪毙。结尾，还来了个口号…不过，前面的剧情还过得去…毕竟tvb啊…就不苛刻了…            
(4星)	 喜欢这年代的剧            
(3星)	 很热血            
(5星)	 不错            
(4星)	 我一直蛮喜欢黎姿的            
(5星)	 又一场女人间的斗争            
(3星)	 断断续续看完的。            
(3星)	 女人心            
(4星)	 绝对TVB            
(3星)	 就是还行吧            
(3星)	 向海岚那个角色我真是没想到原来那么有心机             
(4星)	 纯粹的美女如云啊，好多好多。            
(3星)	 又一部勾心斗角，像金枝欲孽            
(4星)	 喜欢黎姿的那个角色。。太完美了。。            
(4星)	 虽说套路老了点，但因为有陈豪，黎姿还有蒙加慧，加上比较华丽的戏服，我还是非常非常地喜欢的。            
(3星)	 为了能持续的金枝欲孽而看。也为了豪哥啊，可怎么这么失望来着。。。            
(4星)	 一集不落地看完，收悉的演员，一样的勾心斗角~但还是喜欢            
(3星)	 装扮很不错~GiGi一直那么好看,就是最后的情节不太好看            
(3星)	 就是扮相漂亮点            
(3星)	 外表美？心灵美？            
(NA)	 心机片哦也            
(NA)	 蒙嘉慧 。。。            
(NA)	 410保留剧目            
(4星)	 剧情还可以的说...            
(4星)	 有点长            
(3星)	 看了一遍就再也不想看第二遍了            
(5星)	 很有金枝欲孽的现代版,大概是因为几乎是原班人马..等那个结局那晚超紧张的.也太恐怖了阿那个发展...起鸡皮疙瘩.完全没想到是她也..不过后面的交代也觉得她好可怜..如果不那么多误会就好了.黎姿还是那么正!!对蒙嘉慧也留下很深的印象!好有气质.            
(NA)	 烂，看不下去            
(3星)	 还行吧 囧.......            
(5星)	 个人觉得比《金枝》好看            
(4星)	 女人...嗨...            
(NA)	 亦是TVB台庆剧之一。我觉得不错，虽然讲述的故事难免有点落入俗套            
(3星)	 主次又颠倒~~            
(3星)	 没看完，sigh            
(2星)	 这剧回流了..            
(5星)	 人物都很漂亮　难得看向海岚出演大反派　            
(3星)	 我爸喜欢，但我觉得一般。            
(NA)	 。            
(NA)	 胭脂水粉            
(3星)	 比起金枝等片,感觉还行吧            
(3星)	 喜欢Yoyo again..            
(3星)	 前半段真的不行            
(3星)	 永远的这些人~呵呵~            
(3星)	 黎姿好美~            
(NA)	 黎姿这么好的人为什么会嫁给一个如此无能的老公？            
(3星)	 当时觉得蛮好看的            
(3星)	 就梅小青这水平现在也能在TVB混得走，无语之。。。            
(4星)	 一开始看会觉得是部腥风血雨的片，不过越到后面越觉得不给力~黎姿在里面太抢镜了的说~            
(4星)	 黎姿太漂亮了~            
(5星)	 觉得有成死的太不值了，以方，明敏，明惠啦都很喜欢，唐文龙演的那个也很不值            
(4星)	 喜欢民国调调儿呀！            
(4星)	 都是老梗了，不过没想到向海岚是最终BOSS            
(3星)	 电光幻影：有陈鸿烈的片子一般都很可爱，旧式的故事里面讲述的依然是现实的生活，该剧里面的服装效果都很漂亮，演大户人家的感觉就是不一样。总体来说还可以，消遣一看，不错。            
(3星)	 服装还不错            
(5星)	 一个疯子拆散一个家。要是改成20集的话可能更紧凑，更能shock到我，噗～&amp;再次强调mark哥好演技啊！            
(3星)	 yo总是演我喜欢的角色            
(3星)	 主题曲好听。黎姿和蒙嘉慧很喜欢。话说陈豪其实演了这么多还算man的剧啊，为什么后来只记得他搞笑的那些了……            
(5星)	 人，真的是爱争斗的动物。无论什么原因，争斗是基本，复仇是目的，迫害家人是手段，得到财富是结果。但，人生本来就是有舍才有得，代价是均等的，醒悟的时候已经太迟了。            
(4星)	 哎，反正基本来说TVB的家族商战剧还是靠谱儿的~里面服装什么的挺好看的呀~            
(3星)	 黎姿很美啊！            
(4星)	 挺正统的tvb剧            
(3星)	 还可以～            
(3星)	 其实不怎么样，只是有喜欢的人。            
(3星)	 旗袍好美~~~            
(3星)	 本来我是不会看这种剧的，因为有次实在没看的，就跟嫂子一起看的。还好吧，现在都记不起来具体情节了。            
(3星)	 我忘记讲什么的了~囧~            
(5星)	 喜欢。。。            
(4星)	 黎姿~~~~~~~~~~~虽然剧情什么的。。。但是里面的每个女人都相当喜欢            
(4星)	 和老爸一起看的            
(3星)	 在金枝欲孽之后看的，为了黎姿吧~~~            
(2星)	 冲着黎姿去看的。编剧是烂编剧            
(3星)	 那时年少各种剧~~~            
(4星)	 好像没看完            
(4星)	 没看全，黎姿真美貌            
(2星)	 感觉不怎么样            
(3星)	 典型的TVB大家庭剧，坏人坏得一根筋到底，好人好得委委屈屈。黎姿很好看，浓妆淡抹总相宜。            
(5星)	 明惠！！！oh！！！            
(3星)	 黎姿真漂亮！难怪明惠比其他几个孩子聪明呢~老祝和小祝们的脑筋真是够可以了。            
(3星)	 还行            
(4星)	 高三时候。。。            
(3星)	 人生如戏，只是拍戏可以NG，人生不能。            
(5星)	 黎姿美的摄人心魂呐            
(4星)	 我是有多爱看TVB这些勾心斗角的电视剧啊？！从金枝欲孽到宫心计到公主嫁到到巾帼枭雄一二部再到这部胭脂水粉。看的我现在做人越来越世故，越来越圆滑，越来越会耍心机……            
(4星)	 都是好人的戏。我老觉得蒙嘉慧是小三和陈豪在一起的，反正不喜欢蒙嘉慧            
(3星)	 这时候的TVB剧我都断断续续看的            
(NA)	 yoyo ~ 黎姿~            
(5星)	 溫婉女子            
(5星)	 YO~很美！            
(NA)	 我爱我爱我爱    啊啊啊啊啊啊   陈豪 陈豪 陈豪            
(4星)	 看过了            
(3星)	 和金枝欲孽完全不好比的一部挺俗的片子~唯一亮点就是黎姿穿旗袍，披肩很有气质，以及那首“镜花”            
(2星)	 8是一般的难看            
(4星)	 蛮好看的            
(5星)	 很感人            
(4星)	 没有金枝欲孽精彩。            
(3星)	 冲黎姿去的、            
(NA)	 这部剧是我喜欢上陈豪的开始~            
(3星)	 初中哇高中看的老片了，当时我还是tvb的饭。            
(NA)	 大嫂好阴暗好可怕。黎姿和蒋志光一对有点鲜花插在牛粪上的感觉。很一般的戏。            
(NA)	 觉得很华美            
(3星)	 我不喜欢黎姿的老公长得不帅啊~~            
(3星)	 嗯 女人没完没了斗            
(NA)	 这个也不错.            
(NA)	 超喜欢里面的黎姿            
(3星)	 被黎姿和蒙嘉慧惊艳了~            
(3星)	 又是家族争产剧，还可以啦！            
(NA)	 这片结尾太。。。向海岚的角色出身决定了她最后的。。            
(1星)	 喜欢曹敏莉            
(2星)	 因为刑Ⅳ，就是不喜欢向海岚。黎姿穿旗袍还是好看的            
(NA)	 .......剧情都忘光了            
(4星)	 黎姿 也可以很有气场            
(3星)	 一般的港剧            
(4星)	 可以说是认认真看的第一本tvb吧。。以前的那些都是陆陆续续的看的 这本是在吃饭的时候看着看着就看完了还不错            
(4星)	 就是喜欢yoyo            
(3星)	 感觉港剧就是换汤不换药。            
(3星)	 有意思么.有意思么.好了又变坏了,坏了又变好.            
(3星)	 我多想黎姿和陈豪演一对啊。。结果是兄妹。。幸而珠光宝气弥补了。。            
(3星)	 家族剧比较吵 除了什么狐皮围脖之外的衣服都很好看            
(4星)	 大嫂大反转            
(4星)	 大美女黎姿            
(2星)	 看完全集再看巡礼我瞬间内牛满面……水准也差太多了吧！！            
(4星)	 从头猜到结局的电视。不过值得一看。黎姿很美的说。            
(2星)	 陈豪开始出来了。            
(NA)	 家母真是热爱TVB啊，真是沉迷黎姿啊。            
(5星)	 港劇always。- -+ 喜歡蒙嘉慧Yoyo~            
(4星)	 4星纯粹给黎姿。            
(5星)	 演员阵容强大，最重要是有黎姿！            
(4星)	 好中意黎姿里面的角色。            
(4星)	 黎姿给爸爸的那条围巾 %&gt;_&lt;%            
(3星)	 说是金枝欲孽第二部，差的不是一点点！            
(4星)	 还是很不错的。。个人认为虽不及金枝欲孽但胜过火舞黄沙（是这名么- -）            
(4星)	 家族兴衰史            
(3星)	 看。            
(2星)	 一般            
(4星)	 没看完好看            
(4星)	 喜欢陈豪的角色和扮相，黎姿很棒很投入            
(2星)	 没什么意思，看完以后记不住什么情节的片子            
(3星)	 老早以前看过的，回想起来那也是勾心斗角，累的。            
(4星)	 家族纷争。温情犹在。            
(4星)	 如果是当初巡礼的那个阵仗，怕也是少不了5星？            
(5星)	 阿mo × gigi            
(4星)	 加一星给美丽的黎姿            
(5星)	 一直很喜欢陈豪            
(4星)	 为了YOYO~！            
(2星)	 看了这部后很讨厌男主            
(NA)	 好看。            
(3星)	 还不是大家族里的恩怨情仇。            
(4星)	 考试迫在眉睫的时候看完的= =            
(2星)	 主题构思不错，演起来...那些演员..            
(5星)	 胭脂水粉怎能掩饰背后的恩怨斗争            
(4星)	 剧情台词很好            
(3星)	 平淡无味            
(3星)	 黎姿就是看的理由。            
(4星)	 喜欢蒙嘉慧的那个角色            
(3星)	 不是原先想的样子 不过也不差            
(5星)	 姿姿美啊~            
(4星)	 那会儿觉得蒙嘉慧很漂亮 后来知道她和郑伊健搞在一块后顿时没好感            
(3星)	 看过            
(5星)	 我爱黎姿的古装            
(5星)	 TVB的都爱。。            
(3星)	 服饰和人物都很美~就是剧情进度太缓慢了。。。            
(5星)	 賢惠的YOYO            
(3星)	 剧中人，有的已经逝去，有的已经退出江湖，有的已嫁作商人妇            
(5星)	 可以说是TVB拍民国时期的电视剧中最好的一部。            
(NA)	 蒙嘉慧我就是这么爱上你滴            
(4星)	 如果当中没有拖泥带水的话，甘当5星啊。有史以来最喜欢黎姿的一次。蒙嘉慧，我家吴以芳“无易放”最美，无论是人还是心。梅小青，宫心计前一部实力之作，用心之作。            
(5星)	 太赞了              
(4星)	 化妆品家族戏很少见            
(4星)	 黎姿是漂亮呀，哦哟            
(4星)	 好看，那些善良和奸诈，爱恨与情仇都淋漓尽致。尽管有乌云蔽日，但终有雨过天晴的一天~            
(3星)	 有点腻味            
(3星)	 不错啦            
(4星)	 标准的TVB脸谱剧，这几天网络不好，我就只好从校园网上下了这个来看全当打发时间，剧情好懂，跳过两集不看也没事，娱乐性强，总是蛮好的，看完心情很愉快~哈哈哈 这种短评好贱~~            
(5星)	 好man, 陈鸿烈            
(4星)	 很多美女            
(3星)	 只能说，黎姿的那个剧中老公也太囧了。            
(4星)	 还是不错的~            
(5星)	 陈豪···帅啊····            
(4星)	 为了黎姿看的。。。蒙嘉慧也很pp。。。剧情一般啦。。。            
(NA)	 那时候TVB片子质量不错            
(4星)	 疯狂寡妇复仇记!            
(3星)	 我对所谓的女人戏米啥兴趣            
(3星)	 故事不怎么出彩            
(4星)	 冲着黎姿去的            
(5星)	 黎姿小姐真的很有爱啊。            
(3星)	 由于演员的缘故，还值得一看吧，没事的时候可以打发一下时间···总体来说我还是比较喜欢现代剧的            
(3星)	 陈豪 黎姿 也是一对不错的拍档            
(3星)	 觉得向海岚在这部里面很出挑            
(3星)	 为了黎姿才看的，穿旗袍真的很美            
(3星)	 不是很喜欢这种题材- -!            
(4星)	 又是一部关于家族兴衰荣败的片子。其实很多事情，都是命中注定的。            
(4星)	 有惊喜，比起这两年的电视剧，这个还是不错的            
(3星)	 向海岚穿旗袍最好看。            
(3星)	 情节，节奏，人物都很常规的TVB连续剧            
(4星)	 黎姿真漂亮~~~里头蒙嘉慧也蛮气质的。。            
(3星)	 我爱黎姿啊 爱黎姿 ~            
(4星)	     民国版金枝欲孽。            
(4星)	 有黎姿嘛~~没办法            
(3星)	 又是大户人家斗争啊            
(3星)	 没有全部看完，蛮搞额，不高兴看，不是我喜欢的类型            
(5星)	 黎姿不错 大嫂演的也好            
(4星)	 还算有点悬念~            
(NA)	 镜花堂的袋子都能跑到别的电视剧里~服了            
(4星)	 黎姿啊黎姿，你不在TVB了少了多少看头。            
(4星)	 结果还是很让人意外的~            
(3星)	 剧情无新意，只为看阿mo            
(4星)	 MO&amp;Gigi~大爱！            
(4星)	 对于那个时代有点发怵，但是却有一点景仰。            
(3星)	 为什么我们家黎姿不和美男搭戏？！            
(4星)	 喜欢在这部戏里面聪慧的黎姿            
(3星)	 虽说以方气质无敌，但我真的很喜欢晓晴啊~            
(3星)	 嗯，这个我看过，但是讲什么都快忘光了......只记得陈豪~~            
(3星)	 很一般            
(3星)	 都是美女，衣服也很漂亮，其他的不重要了，嘿嘿。大反派到最后几集才出来，有点意想不到啊。            
(NA)	   我爱TVB            
(NA)	 黎姿很美，就是剧情不咋地            
(3星)	 黎姿还是演坏女人有气场……            
(4星)	 很美很生气~            
(NA)	 一般            
(NA)	 没金枝欲孽好看            
(4星)	 又是家族间的勾心斗角，很受不了这样的基调，感觉很累，但片子拍的不错。            
(3星)	 虽说号称金枝欲孽的姐妹篇，但明显没有金枝欲孽情节吸引人            
(4星)	 喜欢GIGI,剧情有着TVB一惯作风，后半部主要是描述宋云裳的坏，如果前半部比较平淡，后半部有点惊人。            
(4星)	 喜欢以方，喜欢蒙嘉慧。            
(4星)	 为什么YoYo和mose就不能在一起呢。。。            
(4星)	 好看            
(4星)	 我就是喜欢家族戏            
(3星)	 向海岚很可怕            
(NA)	 无聊的港剧            
(3星)	 不是很好看            
(3星)	 其实即使现在我有时也会追港剧~~            
(4星)	 家族商战片            
(4星)	 以前和老娘一起看            
(4星)	 连妈妈也追看的            
(NA)	 还是兔子好看。服饰装扮很美。MANDY也不错~剧情一般般？不清楚。。            
(4星)	 蒙嘉慧的以芳和黎姿的明惠都很心水            
(3星)	 向海岚是BOSS倒是没有想到，里面的人物倒是很漂亮就是场景太假了走来走去都是在那里~            
(4星)	 黎姿和YOYO是看点(*^__^*)             
(4星)	 曾经追看            
(3星)	 郁闷的大家族片子            
(3星)	 民国化妆品行业            
(3星)	 黎姿就是漂亮            
(4星)	 有点虎头蛇尾的感觉 不过本人觉得很肥皂很好看            
(4星)	 喜欢陈豪            
(NA)	 黎姿好PL            
(4星)	 許多美女呀~不過覺得复仇的覺得有點冤...            
(NA)	 很久以前            
(3星)	 TVB貌似擅长这种家族权利争斗的片子。喜欢黎姿。貌似很不喜欢向海岚坏坏的样子、很懦弱的样子。总的来说，也算是明星云集了。            
(4星)	 黎姿、蒙嘉慧都是偶超级喜欢的哦~~            
(3星)	 我喜欢看港剧，这部片子不错，很喜欢里面的演员            
(3星)	 真纠结的TVB            
(NA)	 真漂亮            
(NA)	 开始以为最坏的人是祝满田，看到第25节才晓得还有一个心存报复的宋云裳，真是恐怖她杀汪晓军时的眼神。            
(NA)	 有yoyo和gigi            
(2星)	 兩粒星係俾Yo嘅            
(3星)	 有点小累            
(3星)	 是冲服装去的，旗袍~蒙嘉慧，黎姿。有点心理悬疑片的感觉。悲喜交加。            
(NA)	 我很喜欢的。            
(3星)	 一般般，老套路了            
(3星)	 对陈豪没那么排斥了，不然之前对我来说前个男人的脸真的很影响他参与的电视剧给我的第一形象            
(NA)	 看了几眼黎姿美女            
(NA)	 权势.人物的内心表现都很到位.大家族也是很不好打理的.近年来不错的电视剧.            
(NA)	 没看完过，不过感觉很好看            
(5星)	 好看            
(NA)	 雷声大。雨点小。。。收视率一般。。            
(4星)	 人性懁薄，看似深厚的情感有時在仇恨與金錢面前卻顯得那么渺小。            
(3星)	 一般            
(4星)	 还不错～ 超级讨厌向海岚！            
(4星)	 没有因为大肆渲染的人性而钟意；没有因为轰轰烈烈的爱情而倾心，只有为亲情的暖暖细流而感动。            
(NA)	 不错，女人之间的钩心斗角~~            
(4星)	 香港片总是这么关系复杂            
(3星)	 众多女人和一个男人的故事，从中可以看出，TVB阴盛阳衰。            
(NA)	 好看啊`            
(3星)	 越看越喜欢黎姿            
(5星)	 矛盾过于激烈，坏人下场过于惨            
(3星)	 马马虎虎啦  服装还可以            
(4星)	 大家族，旗袍秀，勾心斗角，女人戏            
(5星)	 虽然讨厌向海葻，可是大爱黎姿~            
(4星)	 哈哈。我能说我喜欢里面那个时代女人的造型么            
(5星)	 嘿咻            
(NA)	 YOYO很漂亮～～            
(NA)	 黎姿美艳            
(NA)	 2005年      又名: The Charm Beneath                  
(3星)	 跟金枝欲孽差不多类型的            
(NA)	 过年消遣            
(4星)	 不比金枝玉孽差            
(NA)	 一般            
(NA)	 总的来说，虽然是那种比较老套的家剧，不过就是喜欢            
(5星)	 fabulous~~~            
(4星)	 黎姿、陈豪 就看 嘿嘿            
