http://movie.douban.com/subject/2279912/	美味情缘
(5星)	 里面的歌曲还记得，吴启华也是当时我最喜欢的男星            
(NA)	 三星。依稀还能记得一些。            
(4星)	 不喜欢苏眉，觉得上游暗恋花枝那一段很好玩，这是杨千嬅第一次拍剧，Golden也很喜欢            
(NA)	 美食啊。            
(4星)	 之后知道原来虾头是找eason来演，顿时无双模式开启。一直很喜欢千嬅的电视剧            
(2星)	 = =我已经记不起了。            
(4星)	 那时候觉得主题曲真温馨            
(NA)	 N年前对这剧影响深刻，因为题材是美食对我胃口呀            
(5星)	None
(4星)	 好吃好吃好吃            
(5星)	 初中时中央-1播的吧。。。            
(5星)	 感觉很不错，大爱马友❤ 话说第二集40分28秒貌似出现的是刘以达吧。。。扣鼻屎什么的雷死人啦            
(4星)	 喜欢            
(4星)	 已经看了第六遍了，就爱这个调调，没有一个演员不喜欢的            
(4星)	 当年的林峰，当年...            
(5星)	 挺好看的美食主题戏~记得当时稚嫩的林峰还有杨千嬅《夏天的故事》~            
(3星)	 嗯            
(4星)	None
(4星)	 这部剧看了好几遍。港剧里一直都很喜欢吴启华。            
(4星)	 为了虾头和甜甜。            
(5星)	 温馨            
(4星)	 小时候的经典，喜欢里面的主题曲，喜欢吴启华            
(4星)	 01年暑假央视1套放的，没看到结局。            
(3星)	 十年前cctv1看的...            
(4星)	 虾球  苏眉              
(NA)	 虾头xD            
(5星)	 小时候印象极深的一部剧            
(NA)	 那是很喜歡陳慧珊呢~ 那時還不太喜歡千嬅~            
(5星)	 棒棒棒，虽然陈惠珊吴启华的表演都不能剔除点扭捏，但是，剧情发展进度真的拿捏的很棒，看的心痒又心痒。还有美食做辅，还有那句最人最紧要是开心的人生哲学注入。。。再看一遍都不尽兴啦。            
(4星)	 看这个印象最深的是杨千嬅呀！            
(4星)	 我好喜欢这个啊吴启华 杨千嬅~~            
(4星)	 好吃的又好看啊            
(3星)	 期待一起看未完成的结局…            
(5星)	 大爱吴启华和陈慧珊啊            
(5星)	 只是一部戏，但这部戏对我意义不同。跑到南丫岛也是为了这个。还特意去了那家餐厅吃饭。再怎样挣扎，我也还是要我喜欢的那个。再怎样痛苦，我也不会屈服。好吧，我偏心爱的，永远是苏眉。            
(4星)	 哎呀呀 我看过的！！            
(4星)	 整个片子还是比较轻松的气氛，喜欢陈慧姗。            
(4星)	 原来美味情缘只需一个吻~            
(3星)	 好酷的吴启华，好嫩的杨千嬅。            
(5星)	 看着非常舒服的电视剧 虾头好帅哦            
(5星)	 当时好喜欢            
(NA)	 杨千嬅            
(5星)	 好像是上小学六年级的时候看的，每天吃中饭的时候，一边看这个剧集，一边吃。。。            
(NA)	 第一次看到林峰就是这部戏。喜欢～～～            
(5星)	 有喜欢的演员，有馋人的美食            
(3星)	 美味情缘这首歌至今印象深刻            
(NA)	 当时看港剧都是姑姑买碟或租碟回来看~            
(5星)	 食物可以传递感情。            
(3星)	 林峰好黑，和杨两个小盆友很有爱。            
(NA)	 原來美味情緣實在南丫島拍的，哈哈懷念一下。            
(4星)	 因為這部戲喜歡楊千嬅的啊~~那時候林峰太青澀了。            
(3星)	 放了啥？            
(5星)	 很好看。。。            
(NA)	 苏眉 花枝 主要是名字取得好            
(5星)	 暑假的回忆。            
(3星)	 有林峰哦            
(3星)	 主题曲好听            
(5星)	 超爱美味情缘!马友。花枝。            
(3星)	 男女主角不喜欢。            
(NA)	 TVB 的那个时代~~ 小海鲜酒家也可以温情无限~~             
(4星)	 曾经很喜欢啊，儿时的记忆。。经典。。            
(4星)	 因为这部剧认识了千fa            
(4星)	 经典tvb美食电视剧之一，那时候林峰才刚刚出道，很是青涩呢。            
(4星)	 高考那段日子还惦记着            
(3星)	 陈慧珊的角色可真是讨好……            
(4星)	 印象中我非常迷恋这部剧。。            
(4星)	 百里鲜三宝，南丫岛。简单人简单事。            
(5星)	 最爱的一部港剧之一。其实，我一直在等一个愿意为我买七色冰棒的人。            
(5星)	 温暖就好~            
(5星)	 讲吃的我就喜欢 还有陈慧珊 吴启华也很赞            
(4星)	 第一次知道有个叫杨千嬅的唱歌很好听的女生            
(4星)	 　=　-　　=　　最后部分直接快进条            
(3星)	 苏眉鱼。            
(4星)	 多年前看过，一直不知道林峰也在里面——。            
(5星)	 很喜欢花枝            
(3星)	 主题曲好听~ 剧情一般~            
(4星)	 以前在中央一台放过，和表哥一起。            
(NA)	 啊啊啊好怀念            
(5星)	 当年的林峰和杨千嬅。            
(5星)	 美食题材温情戏，陈慧珊真灵，林峰当年可真年轻            
(5星)	 我是86年出生的，十几岁时看到的港剧是最经典的，那时候正是中考和高中的时候，好多特别经典的港剧想看又不能看，美味情缘就是这么多年看了我仍然忘不掉的一部港剧，那时候林峰和杨千嬅还不是很红吧，拍出来的感觉特别清新自然，而陈慧珊和吴启华这些tvb主将也不失水准把这么好的一部港剧展现出来            
(4星)	 很简答的爱情故事。主题曲很好听            
(4星)	 喜欢里面杨千桦跟林峰这一对            
(5星)	 有好吃的就很有吸引力啦。呵呵            
(NA)	 小女人的33~~很喜欢里面滕滕的扮相~角色不喜欢。。还有好青涩好青涩的fafa~            
(5星)	 美好的回忆            
(4星)	 林峰的第一部戏，里面杨千嬅的那首歌超级好听，可惜每次去KTV都找不到。。。            
(5星)	 看到就饿。 当年千fa和林峰也是演情侣。            
(5星)	 初中的时候看的，还记得看大结局那晚：本来一天播两集，那么应该第二天才放结局。于是看完两集就关电视睡觉。但是睡不着，就尝试着打开电视看还有没有。结果果真还在放，兴奋啊！            
(3星)	 大学的时候看的，忘记看完没~            
(4星)	 看到了自己            
(5星)	 最好的时候就、遇见你，便是一辈子~~            
(5星)	 滋味为够啊            
(3星)	 TVB的剧照封面可以再丑一点，每次添加都要犹豫一下。            
(5星)	 温馨小品，给五星的原因是我很喜欢这故事和马友/花枝带给我的人情味。林峰那时的样子跟现在真是天渊之别啊，以前憨厚的样子也挺可爱的，和杨千嬅也蛮配的，有趣的是，多年以后两人再合作，反而成了姐弟恋，难怪千嬅说以后再合作说不定要当林峰的妈了，哈哈。            
(4星)	 Flora难得温柔小女人~            
(5星)	 看过不止一遍。那时只要心情一不好，就看这个，轻松愉快。南丫岛的阳光让人觉得从心里都暖起来。后来去香港，特意跑到南丫岛，看剧集的拍摄地点，吃那家著名的海鲜排挡。。。吴启华和陈慧珊，搭配的也好。吴启华啊。。。            
(4星)	 终于给看完了            
(5星)	 很温情的片子，那时的林峰真是很毛头小伙            
(5星)	 我记得我以前真的很爱这部剧。            
(5星)	 上初二的时候十一放的            
(4星)	 清淡中，平凡中，将美味化作热能            
(4星)	 貌似是林峰的第一部戏，虾头很可爱，记得有一幕他暗恋姐姐陈慧珊，他脸都红了。            
(4星)	 看的我很想去南丫岛吃海鲜呐呐呐~~~~~~~~~~            
(3星)	 谁给我来一碗生菜鱼肉　走葱            
(3星)	 那时候还很青涩的林峰啊            
(4星)	 我实在不记得林峰有出现过……            
(NA)	 当时最喜欢……            
(5星)	 最爱。            
(4星)	 食物，更重要的是传递感情。            
(5星)	 蝦頭並沒有給我太深刻的印象，只是個黑黑的陽光少年。            
(4星)	 吴启华可是我以前的型啊            
(4星)	 犹记得这里的林峰多羞涩稚嫩            
(5星)	 阿呀呀呀呀            
(2星)	 林峰真是大块头            
(4星)	 评分的时候才发现原来这才是两个人第一次合作……            
(4星)	 还是因为峰少看的。里面有徐濠萦和杨千嬅 真是.....            
(5星)	 超爱            
(NA)	 百看不厌呐。            
(4星)	 看着看着开始有味道，但是已经不再相信一段没正式开始却能守候几年的感情            
(4星)	 忽然想起来杨芊华清涩的样子，想起来这部电视剧            
(5星)	 最爱了            
(4星)	 好有爱的片子。            
(5星)	 很喜欢            
(4星)	 很喜欢放假的时候看TVB的泡沫剧。            
(4星)	 马友因此剧才深得民心，虾的三吃。            
(4星)	 内时候超喜欢里面的主题曲！            
(4星)	 最近又重新大致看了一遍~那时候的千嬅好可爱啊，林峰也很青涩啊（不过样子真的变化好多，简直就是变化无穷啊！！！嘿嘿）  刚刚看了完美嫁衣，看电影里面的千嬅变得好成熟，林峰…额……就像变了个人            
(5星)	 初识林峰和fa            
(4星)	 轻松，明快，典型的TVB剧            
(4星)	 马友，呵呵            
(3星)	 好耐之前睇噶，第一次识得林峰~林峰同千桦的配搭~！            
(4星)	 林峰真正开始踏入演艺的处女作，喜欢里面还有徐濠萦！            
(5星)	 真心不错的一部片子！！值得一看            
(5星)	 还是很喜欢。            
(3星)	 初中某个五一，中央一            
(4星)	 关于食物的片子我总是很喜欢            
(3星)	 峰少懵懂的时候的样子很可爱~            
(3星)	 吴启华老是装            
(3星)	 那个徐濠萦很好玩 大傻也不错            
(5星)	 虾头丫~            
(4星)	 看着轻松、舒服。            
(NA)	 记得01年国庆看的时候没看完就去上学了,很悲剧的没有看完,于是后来相近方法下载来,至今电脑里还保存着.            
(4星)	 峰少成名片？            
(5星)	 第一部真正喜欢的TVB            
(5星)	 当年啊当年。            
(5星)	 我爱吴启华呀，最爱的TVB剧集之一            
(4星)	 林峰初露头角            
(3星)	 林峰在里面好青涩啊！~至今没想通和杨千嬅演一对儿，有点囧。。。。            
(NA)	 苏梅            
(5星)	 搞笑 我也记得小时候 很喜欢看            
(NA)	 据说，这个戏开始准备找22演的~~~后来33演了~~嘻嘻~            
(5星)	 初中的回忆            
(NA)	 超喜欢。。            
(4星)	 千桦神马的最喜欢了~            
(5星)	 有些人觉得这片子没劲，我却不这么觉得，这是部平淡生活中透出脉脉温情的好片子，比现在那些斗来斗去的片子不知道要好多少倍。另外很喜欢这部里的林峰，不太喜欢他奶油小生的样子。            
(4星)	 少爷和千FA在里面太配了啊！！            
(3星)	 很喜欢这部，认识杨千嬅~~            
(3星)	 陈慧珊不美，但在港剧里就丝毫没有违和感；翻看过去的周记发现我还曾对此片大发过一番议论            
(NA)	 那时候我是多么的喜爱珊姐姐啊            
(3星)	 偶然发现千FA和陈太合作过，我承认我很无聊，就冲这两人又重看了一遍。碰到她俩对手戏，很难不代入EASON。(哇，原来林峰的角色真是EASON辞演的…            
(NA)	 后来又看了很多次，第一次是有一年十一长假，在中央一看的，可是没演完，于是，就有了后来一次又一次的重温            
(3星)	 其实我是冲着陈慧珊去的。但是实在觉得不够出彩，所以给三星了。            
(5星)	 大笑姑婆&amp;大头虾&amp;超型华            
(NA)	 经典的年龄有点大的港剧~是还不熟悉杨千嬅的年代~吴启华~吴启华~陈慧珊~陈慧珊~            
(3星)	 林峰开始出来咯！黑炭头一个~~            
(3星)	 以前很追。喜欢杨千嬅的歌。            
(5星)	 平淡温馨，清新隽永            
(4星)	 童年的回忆，很喜欢            
(4星)	 讲饮讲食，讲爱情            
(4星)	 喜欢那时的滕丽名            
(5星)	 百里鲜三宝，虾头，马友，花枝，都是美好的回忆啊~            
(3星)	 林峰也有那么青葱的时候            
(NA)	 虾头啊虾头            
(4星)	 已经错过的爱，即使找了回来，也都变了味道了……            
(4星)	 林峰，千嬅，那时真配。            
(5星)	 峰少出道，人见人爱            
(5星)	 毫无疑问 这部剧是我看的最多遍的TVB剧             
(4星)	 少爷第一部戏            
(3星)	 印象不怎么深刻了！            
(5星)	 我最爱的两个演员终于搭档，演绎了一出如此风清云淡的传统爱情，留下的是永远美好的记忆            
(3星)	 当时就觉得林峰好帅了……我果然是慧眼识帅哥……            
(4星)	 有吃的就好            
(4星)	 陈慧珊气质美女啊            
(3星)	 曾经的经典            
(4星)	 TVB大概就从这个时候赶上港台            
(5星)	 里面。。。少爷有点点青涩~~但是还是很帅呀！            
(4星)	 重温了一遍，没小时候那种感觉了            
(5星)	 真怀念蝦頭            
(2星)	 2000年前 林峰和杨千嬅的角色还是正常恋爱， 现在却一起拍败犬大龄女故事了。吴启华和陈慧珊的组合也不是很般配，虽然单拿出来，都是能独当一面的。            
(5星)	 他爱你时，是真的爱你，不忍假装不爱你。 他不爱你，是真的不爱你，不愿假装爱你。             
(5星)	 峰少太帅了~~杨千嬅也很可爱~~            
(5星)	 现在回过头来再看。。依然很好玩~~            
(1星)	 真心蠢没整容的林峰真心丑            
(3星)	 我一直记得主角是千嬅 以及我第一次认识的林峰 结果她们是主二 好吧 我还记得主题曲怎么唱 很好听            
(4星)	 只记得那首歌了            
(5星)	 很清新，明快的节奏，很温馨的剧情，好看！            
(3星)	 林峯！！+千嬅！！            
(1星)	 没看完，看不下去了。            
(3星)	 本来是冲着做饭的剧情去的…… 其实没太多做饭的桥段            
(5星)	 后来就喜欢上那首歌啦~~杨千嬅真可爱噻~            
(5星)	 好想再看一次。。。            
(3星)	 小学时候看过。原来我小学时林峰就出道了。            
(5星)	 小时候的最爱啊。现在不敢重新看了。因为那时候还不讨厌马德钟……            
(NA)	 剧情一般，但都是喜欢的演员啊~            
(4星)	 因为吴启华喜歡最後結局。            
(4星)	 很早年前的cctv黄金周。。。没看到结局就开学啦            
(5星)	 港剧入门片            
(4星)	 很简单很清新的港剧，当年愣是看哭了            
(3星)	 一般吧，            
(4星)	 好吃的海鲜            
(3星)	 好老好老好老的片了            
(5星)	 吃饭时间看好好看吖            
(3星)	 小时候看过吧            
(3星)	 此时的滕丽名颜最正.            
(4星)	 爲了楊千嬅            
(5星)	 高质素TVB老剧  林峰和吴启华那个时候好好看那            
(4星)	 用味觉带动情感...            
(4星)	 如人所说是“温情淳朴”，觉得林峰确实帅，相当欣赏陈慧珊，气质美女啊！            
(NA)	 清淡中平凡中  将味觉化作热能  原来美味情缘只需一个吻             
(4星)	 滋味            
(3星)	 編劇太BT了。            
(4星)	 有一年的十一长假            
(5星)	 哇哇哇 中央一套5.1节放的 我记得清楚不 当时大爱杨千嬅            
(5星)	 和弟弟在春节期间一起窝在电脑前看的，本来是想找一部粤语电影开发一下语言中枢，结果被这部偶遇的国语电视剧吸引住了——美食、美男、美景~关于家庭、事业的思考，在捧腹之后……            
(4星)	 重温一遍。。最喜欢的TVB            
(NA)	 很老但很不错的一部戏，碰巧看到重温一下，还是满有感觉的。特别是看着那时候的那些明星们。林峰那时还是个初出茅庐的黑乎乎的小子，而吴启华好像也没怎么变。这部戏让人感觉很亲切，看着很舒服。            
(4星)	 美食题材 里面喜欢的人蛮多的~            
(4星)	 杨千嬅 陈慧珊 林峰，挺早的 挺好看的~            
(5星)	 也很喜欢            
(5星)	 我中意入边嘅名            
(4星)	 这个当时电视上播的时候也超喜欢看的，还觉得林峰超丑的嘞            
(4星)	 那时候就只知道有个黑小子很好看呐~            
(5星)	 阳光灿烂的南丫岛            
(4星)	 好多看上去很好吃的菜，喜欢杨千嬅            
(4星)	 喜欢做饭的电影和电视剧，尤其是轻轻松松的            
(4星)	 吴启华在这部片里给我的感觉非常好~嗯嗯~            
(NA)	 好看             
(4星)	 青春的张扬，少年的美好            
(4星)	 讲美食的，还算是不错的，爱上了南丫岛            
(5星)	 啊~~~~~当年就是因为这部剧喜欢林峰的~哇，多少年前的事了啊~~            
(5星)	 主题曲好听，喜欢里面的每一对，没有大凶大恶的角色，呵呵很爱            
(5星)	 初中时看的，最近有复习，印象很深的一句话就是---吃饭其实更多是吃的人情味！感人            
(3星)	 听说这是林峰的第一部戏，虽然很稚嫩，看他的眼神就看得出，不过总体来说还不错，基本上这部片子没坏人，结局也很完美了。            
(4星)	 那个时候 第一次看到林峰            
(4星)	 夜夜看的            
(3星)	 当年的林峰很可爱。            
(5星)	 小剧            
(3星)	 印象中挺轻松的片子~~            
(4星)	 千桦 真性情            
(4星)	 从那时开始喜欢看陈慧珊 演戏            
(4星)	 很喜欢的电视剧，虾头，哈哈            
(5星)	 记得当年十一放的前七集，后十几集我每天下课飞回家赶着看。现在想想，我那一去不回的青春啊。就好像林峰的样貌，在若干岁月之后都变得再也认不出从前。。。突然想说这是我看过最好看的TVB剧了            
(5星)	 当年的最爱。。            
(4星)	 重温还是色香味俱全            
(4星)	 小时候的全部加颗星            
(5星)	 恬淡，简单，快乐~            
(4星)	 不仅是好人而且很有性格很帅的吴启华，亲爱的tvb            
(5星)	 飞弗            
(3星)	 肯定看过，但是很多想不起来            
(5星)	 儿时爱看的剧~            
(NA)	 港剧越来越不港了，这个还是比较港的            
