http://movie.douban.com/subject/2347271/	萧十一郎
(5星)	 话说 娶沈碧君的那个是谁？我喜欢他唉！！！！            
(2星)	 忘光            
(4星)	 挺不错的那会儿山东卫视每日午后            
(3星)	 吴奇隆和朱茵扮演的萧十一郎和沈璧君都差强人意，反倒是沈太君最出众。逍遥侯也不错。            
(3星)	 转弯            
(2星)	 呃 小学还是初中呢会儿 电视上天天播 就觉得吴奇隆脸上实在是凹凸不平 朱茵也不如电影里那么漂亮            
(3星)	 我非常喜欢连城壁那个角色            
(4星)	 那时候真觉得吴奇隆很帅            
(3星)	 开头的音乐很大气 可惜被吴奇隆唱残了            
(4星)	 虽然很脑残。。。            
(4星)	 不知 为嘛  觉得朱茵和吴奇隆感觉可好了  好像就因为 这个 对吴还比较有好感            
(3星)	 我表哥特爱看，我跟着硬是一集都没拉下，那个姓连的神经病我想杀了他！            
(NA)	 无吴奇隆和马娅舒            
(NA)	 反正是男猪脚实在太丑……            
(3星)	 虽然萧十一郎是正面形象 但是我还是很喜欢连城壁 或许是因为喜欢于波吧            
(3星)	 朱茵那时也是好美            
(3星)	 跟原著差挺多的……            
(NA)	 补：当时一直在疑惑，萧十一郞是姓萧名十一郞么……？            
(5星)	 惊叹，当年看了好多电视剧啊！！！而且很喜欢！！！            
(NA)	 喜欢的            
(2星)	 无感            
(4星)	 吴奇隆的巅峰，朱茵的柔美。            
(4星)	 小时候很喜欢~            
(3星)	 片尾曲好听            
(3星)	 曾经同学超迷你的肌肉= =            
(4星)	 我小时候觉得特别好看            
(4星)	 为此迷了吴奇隆好一阵。但是最出彩的不是他，是朱茵的沈璧君，是于波的连城璧，是马雅舒的风四娘。            
(4星)	 原来连城壁是童博啊……            
(5星)	 童年的回忆啊每每看都是满满的感动大爱吴奇隆！            
(4星)	 小时候爱看 喜欢连城璧的妹妹。。。            
(NA)	 朱茵很好看，这个结局是啥            
(3星)	 呃。。            
(5星)	 那都是回忆啊~            
(3星)	 朱茵跟吴奇隆也没有使这部连续剧成为经典！            
(3星)	 这里面朱茵真是美爆了！            
(3星)	 有时候想，如果你想我时我就可以打喷嚏，那我宁愿感冒致死。所以我明白连城璧为何会吞下蚀心草。            
(4星)	 我看到了威亚。            
(3星)	 上大学的时候，不吃不喝看的。就为了朱茵。            
(4星)	 吴奇隆啊！喜欢            
(2星)	 还看了完整的… 朱茵真漂亮。            
(4星)	 悲壮的爱情            
(3星)	 还是那句话...如果不是古龙...             
(3星)	 到了后面好纠结            
(3星)	 后面很难看            
(4星)	 很爱朱茵啊~             
(NA)	 我看了不少雷片            
(4星)	 这剧我也看过……电视里放着打发时间看得还算完全            
(4星)	 因为吴奇隆，便觉得好            
(3星)	 小学时候看的啊。什么都不知道。就觉得好玩啊。            
(NA)	 囧 小时候不懂事一天四集天天守在电视前..            
(5星)	 非典时期最爱干的一件事：看萧十一郎 和阿菲一起看的~ 六年后我们一起吃饭时谈起 吴和马分手了 都很感慨啊            
(3星)	 我喜欢被困玩偶山庄时十一郎的推理！            
(2星)	 朱茵在里面蛮纯洁的            
(2星)	 貌似看的最后一部朱茵的电视剧            
(3星)	 除了特技实在很寒之外。沈璧君风四娘杨开泰都蛮有趣的。其他还行吧，不是很雷。            
(3星)	 我喜欢朱茵            
(NA)	 完全把武侠小说毁灭了            
(4星)	 剧情有点扯和拖沓 但是真的是爱死朱茵了 还给这个电视剧写了首诗来着 片头曲转弯也超好听啊！            
(3星)	 里面的朱茵还是蛮漂亮的，就是黑了点……            
(3星)	 看在该剧促成一段良缘,给个中评            
(4星)	 喜欢吴奇隆            
(3星)	 连城璧            
(NA)	 被逼看的囧吴奇隆~~~            
(NA)	 看完的。记得最清楚的。很想再看的。。。            
(3星)	 小时候的我是个武侠迷。            
(2星)	 看到吴奇隆就不爽            
(5星)	 因为萧十一郎，唯一真心喜欢过吴奇隆            
(3星)	 雖然十一郎和壁君的角色都還行, 不過劇情太tmd的扯淡了            
(3星)	 還行吧            
(4星)	 当年很喜欢，虽然很扯。            
(NA)	 故事有点扯            
(4星)	 吴奇隆大爱            
(3星)	 又是改得乱七八糟的故事，萧十一郎略差，沈璧君和连城璧ok，但是风四娘很有爱            
(4星)	 怎么好看怎么来            
(5星)	 好看好看            
(3星)	 看看。            
(5星)	 吴奇隆，想想自己是永远不会讨厌他的吧            
(5星)	 只看朱茵Oyeah~~~            
(4星)	 嗯嗯嗯..怀念            
(5星)	 就是喜欢吴奇隆~            
(5星)	 还是满好看的。            
(NA)	 美人啊,英雄啊~~~            
(3星)	 一般            
(4星)	 连城璧...            
(5星)	 超喜欢哈            
(4星)	 很喜欢这个故事            
(NA)	 喜欢吴奇隆。朱茵本也是美女一枚，却感到失去了灵性，木讷很多。            
(3星)	 就是不知道后来在鸟什么            
(3星)	 还行            
(3星)	 看完之后做恶梦了梦见恐怖分子了~~            
(4星)	 虽然没忠于原著...            
(2星)	 这部剧最让我满意的就是女猪脚不是特别脑残。            
(3星)	 这个……也看过。            
(NA)	 这个十一郎～是心中的完美            
(3星)	 俩主演气场挺强大的、、起码我是被憾到了。。俩天蝎？反正就是那种神秘执着的感觉啦            
(3星)	 又一部。。            
(3星)	 补遗            
(4星)	 只为看朱茵            
(3星)	 多年以前，我见十一郎在河边痛苦饮酒，那是这电视剧给我最大得影响。            
(3星)	 风四娘彻底无语。。。朱茵这里已经有点老了            
(4星)	None
(5星)	 这部，我看了数不清的遍啊，从四年级开始。            
(3星)	None
(4星)	 前面可以打满分，后面就差强人意            
(5星)	 简直把萧十一郎演得出神入化！！            
(5星)	 经典~波波❤ 吴奇隆也很帅            
(NA)	 8年前12岁的我被吴奇隆电到            
(5星)	 吴奇隆好帅，朱茵还美，不过里面的名字只记得连城璧            
(3星)	 小时候的记忆啊            
(3星)	 矮油 吴奇隆            
(NA)	 年少的记忆啊。。。当年似乎所有的学生都在看。。。            
(3星)	 那会还自称萧十一郎 = =            
(NA)	 还记得那时候和姐姐天天晚上看一集，讨论剧情。多美好的回忆 好看的朱茵，帅气的吴奇隆。            
(4星)	 当年看的超疯狂&gt;&lt;~            
(5星)	 重温一遍，朱茵美的惊人啊            
(NA)	 那时候很喜欢啊            
(5星)	 我从头到尾看完的剧真的不多 这部尤其爱 萧十一郎是梦中情人T^T            
(3星)	 肿木此剧里我对朱茵印象全无了0.0            
(5星)	 这个片子记得是很好看            
(4星)	 感觉都是素颜。。            
(3星)	 吴奇隆好帅，女主角好像许仙            
(4星)	 小时候就开始看四爷了呀 大爱            
(5星)	 小时候看的，非非非常好看。            
(4星)	 太虐了吧。当时真是恨死了连城璧，对连城瑾是又恨又同情。            
(4星)	 青春年少啊那时候。            
(NA)	 这个没得说啊啊啊 ！！！  经典啊啊啊啊！！！！！            
(5星)	 十年了啊..            
(5星)	 帅哥美女            
(4星)	 这一部真心喜欢，从小时候到现在都很爱~              
(4星)	 小时候老想看可是还是没看完。。只记得老姐当时好喜欢吴奇隆= =。。。            
(2星)	 当年的朱茵很美，当年的吴奇隆无感，当年的马雅舒还没整容……不管怎么说，是这部剧把那谁谁和谁谁牵到一起的……            
(3星)	 对吴奇隆不感冒，但是朱茵。。。            
(5星)	 挺好看的            
(NA)	 没看过朱茵版黄蓉的时候看的这个。年华消逝也是很美的。            
(5星)	 爱死了！！！            
(5星)	 哭死了的剧===！！！！！！！最喜欢的一部吴奇隆剧！！！！！！！！！最完美的萧十一郎诠释            
(5星)	 圆梦的武侠剧，最爱萧十一郎。            
(5星)	 很美好的回忆。            
(4星)	 每一个浪子都渴望着有一个懂他的柔女子为他筑造一个停泊的家；每一个宅在家里的弱女子都期盼着有一个侠骨柔情的男儿来拯救她冲破牢笼。            
(NA)	 转弯 三星。            
(3星)	 编剧很有创意……原著基本没了，嗯……不过这个萧十一郎是有多偶像！！多偶像！！！苏了有木有！！            
(2星)	 我应该让外婆玩豆瓣的            
(5星)	 原来看我过这么多电视剧——我是自这部电视剧之后才知道吴奇隆的。。            
(4星)	 记得越看越同情连城璧。朱茵很美，但沈璧君的确不讨喜。风四娘不论是小说还是剧里，都是让人喜欢的角色。这部剧成就了马娅舒和吴奇隆，可现在回忆起来又只能唏嘘了吧。            
(5星)	 只要一提到吴奇隆就能想到这部剧            
(3星)	 心疼连城璧            
(4星)	 电视剧把剧情改了好多。不过当初还没看过原著，也觉得还好。            
(NA)	 小時候的記憶啊。。             
(3星)	 吴奇隆真帅啊（¯﹃¯）            
(5星)	 重温童年啊、、吴奇隆太帅了！！！果断奇国子民了~            
(3星)	 小时候看逍遥侯都害怕得遮住眼睛...            
(5星)	 小时候觉得他好帅有木有！            
(NA)	 小時候的記憶！！！            
(4星)	 吴奇隆和朱茵，那时候还是很跟的嘛            
(3星)	 啊哈哈 是不是 奠定 吴奇隆跟马雅舒 恋情的片儿呀？啊哈            
(5星)	 一想到就好忧桑啊...虽然神马都记不起来了...对了！吴奇隆好像穿着黑纱！            
(5星)	 小时候一集也没看过，只看了书。。。最近同学推荐看的，她迷萧沈迷得七荤八素，我看完了居然最喜欢灵鹫小谨之间虚构的那段情节，奇也怪哉。。。            
(NA)	 人物和故事都和书本身差挺多的,不过萧十一郎情深意重这点倒是一直都在            
(4星)	 就是这部戏凑成了吴奇隆与马雅舒            
(5星)	 其实这部剧没有这么好，但是那时候看是在很爱朱茵，没办法，被秒了            
(5星)	 何必用国际大片的眼光看八年之前的武侠剧  童年的记忆就可以打败一切            
(3星)	 不觉得这里的朱茵很美            
(3星)	 到现在，印象最深的居然是于波演的连城璧。            
(NA)	 割鹿刀 逍遥王 连城璧 风三娘              
(5星)	 好看啊，好多美男啊，我家于波啊，就是这个我喜欢他的。话说这是我第一次看到于震，以后看到他接连演了那么多红色剧，我震惊了。。。            
(4星)	 古龙的玄幻，拍的不错哦            
(3星)	 當時就覺得太磨嘰了，一直把蕭十一郎當小三看==……對風四娘和連城璧很有好感啊~對吳奇隆臉上的坑記憶猶新……            
(4星)	 吴奇隆好帅 很喜欢主题曲            
(3星)	 还有喂死你！            
(5星)	 以前觉得一般，现在觉很不错哎。。。很喜欢里面那首《转弯》。。。            
(5星)	 为朱茵             
(4星)	 初二那会儿天天就盼着回家看绿叶频道，萧十一郎呐 那时被吴奇隆迷得神魂颠倒的！            
(NA)	 觉得很喜欢            
(5星)	 高三时最爱看的剧，哎呀好好看啊...            
(NA)	 哎 就是这部片子啊            
(4星)	 朱茵那個美啊...            
(4星)	 梦中情人啊啊            
(4星)	 哎呀。。反派得到了应有的惩罚。是不是里面有个小泥巴？            
(4星)	 就是最后有点扯            
(5星)	 五星全给老大~~            
(4星)	 记得以前很喜欢看，那个时候吴奇隆很帅            
(4星)	 还行哦！            
(4星)	 我看过的第二部吴奇隆演得电视剧            
(5星)	 小十一呀，叫我怎能不爱你            
(NA)	 朱茵好黑，吴奇隆好帅。衣服很奇怪。我当真看了这么多电视剧啊。。。数数真吓一跳            
(4星)	 吴奇隆最帅的时候            
(2星)	 这是吴奇隆和他老婆的定情作吗            
(NA)	 剧情能有点逻辑性吗？            
(3星)	 C,我看不下去了………………虽然男二有点小帅            
(4星)	 喜欢朱茵~~            
(3星)	 看的时候，脚的女主好黑，原来是朱茵。            
(NA)	 朱茵真美。            
(3星)	 朱茵裏面好難看            
(5星)	 看完现在的电视剧，和当年比起来节奏太慢了            
(5星)	 儿时记忆            
(3星)	 小时候看过的电视剧21            
(4星)	 这里为嘛很喜欢连城诀            
(5星)	 这两部剧包含了我所有的英雄梦想 每回看到都还会觉得 人生人生不就应当如此。            
(5星)	 吴奇隆唉            
(4星)	 对的 我是吴奇隆的脑残粉哦 不过其实电视剧真的比书好看呢            
(NA)	 某一个寒假天天和俺妹等这部电视剧，电视剧播完的时候寒假也就结束了……            
(3星)	 当年是真的看过，现在剧情都不记得了            
(4星)	 吴奇隆帅……            
(NA)	 消逝于消逝于消逝于风中~~            
(5星)	 今生挚爱阿!!!!!!!!            
(4星)	 朱茵真的漂亮 很多年前看的啊            
(3星)	 朱茵真貌美啊。            
(4星)	 萧十一郎~            
(4星)	 重温了一遍，还是四爷帅啊            
(3星)	 痴情的吴奇隆还不错。            
(3星)	 谁能想到十一郎现在是四爷了呢~~~            
(4星)	 初中时的寄托啊~            
(4星)	 不知道现在看怎么样，反正当年是追着看的，安徽台！            
(4星)	 当时还小，很喜欢。不过更喜欢古龙原作吧。            
(NA)	 看这个的时候我上小学五年级            
(5星)	 童年最美好的回忆之一。2003            
(4星)	 当年看的津津有味。            
(NA)	 重温经典            
(4星)	 我大一的時候還看了一遍~~~唱那首轉彎~~~            
(NA)	None
(5星)	 爱吴奇隆和朱茵~ 爱萧十一郎本身~             
(NA)	 朱茵美            
(NA)	 喜欢            
(3星)	 吴奇隆和马雅舒的孽缘就是在这里开始的吧。            
(5星)	 小时大爱            
(NA)	 吳奇隆～            
(4星)	 对于我来说，就是偶像剧            
(3星)	 主题歌确实不错，中考前天天天天天天看，十年后老妈还拿这个说事呢o(╯□╰)o            
(5星)	 沈壁君是一个内心强悍的女人            
(3星)	 不怕虎一样的对手就怕猪一样的队友&gt;.&lt; 朱茵好美~~~❤            
(3星)	 唉            
(5星)	 吴奇隆在里面很好            
(3星)	 小升初的暑假看的电视剧啊，当时就被那些毒啊蛊啊刑具啊震惊了，血腥暴力色*情啊有没有，什么用毒逼女主圆房啊，什么把女主囚到满是刺的铁笼子里啊，古龙大师可谓是SM的先驱啊。当时看的我是欲罢不能的。            
(NA)	 萧十一郎。。。朱茵好看的            
(NA)	 忽然想回顾下四爷的囧片，哈哈。。            
(NA)	 额 我觉得像恐怖片            
(5星)	 我想看啊！！！！！童年记忆啊！！！！！我去            
(3星)	 当时觉得朱茵美呆了            
(4星)	 改編後滴電視劇都好長啊╮(￣▽￣&#34;)╭             
(3星)	 貌似是因为这部剧才开始看古龙。。            
(4星)	 羞射了            
(5星)	 还记得是初一的时候跟老妈一起追着看的，然后吴奇隆坐在床上喝酒的巨帅POSE 就深深地印在了我幼小的心灵里。最近在放步步惊心什么的，吴奇隆十年后的脸好残呐，我还是回味童年去吧。            
(3星)	 小时候看的了 就不吐槽了            
(NA)	 很小的时候看的。            
(4星)	 年轻就是好啊！            
(3星)	 啊呀，那个时候的吴奇隆啊            
(NA)	None
(2星)	None
(5星)	 这才是真的郎才女貌 绝对爱情            
(3星)	 现在想想，节奏挺拖沓的，还弄到40多集。            
(4星)	 = = 当年还很火..            
(5星)	None
(4星)	 当年我还觉得很好看。。。            
(NA)	 看了这剧开始对吴奇脓有了好感...   =o=|||            
(5星)	 当年看的课都不切上了。            
(5星)	 这个我真想再看一遍，小时候的回忆永远定格在帅到爆的吴四爷身上。            
(4星)	 好吧我当年真心很喜欢啊            
(5星)	 看过不止一遍。萧十一郎是我最喜欢的古代剧男主角。朱茵好漂亮。            
(3星)	 当年的四爷！！！！            
(4星)	 虽然造型雷人制作粗糙， 但是萧十一郎这个角色太惹人爱。天塌下来当被盖，这就是萧十一郎。            
(5星)	 当年看的时候并没有觉得有多好看，只是剧情俗套极了，可现在重新回味还是很不错的！            
(5星)	None
(5星)	 每年都回顾！！            
(4星)	 老吴难得靠谱的，朱茵好美好美，书里最喜欢风四娘            
(4星)	 大家恶评的都是剧情，那只能怪古龙跟黎导演了，吴奇隆、朱茵的表演不错的，主题曲也不错。            
(4星)	 初中啊~~~~╭(╯3╰)╮那时觉得吴奇隆好帅~~主题曲好好听！！~~~~~~            
(3星)	 那时候有一段时间，竟然很喜欢吴奇隆……            
(4星)	 超级喜欢的古龙剧~ 喜欢吴奇隆，喜欢萧十一郎~            
(3星)	 朱茵很美的！            
(4星)	 朱茵这个美的， 难以忘怀            
(4星)	 小时候看过现在忘了，温习下            
(3星)	 记得马大婶很囧。            
(NA)	 马娅舒你这个贱人！！！！            
(5星)	 小五的最好的回忆。那时候为什么那么年幼啊~~            
(4星)	 吴奇隆啊~~~ 我整个非典时期的精神支柱~~~            
(5星)	 女主不DJ，但是吴奇隆苏到死！            
(3星)	 特技太假了            
(5星)	 最喜欢的武侠片。。。            
(5星)	 6点几坑爹那，这个是经典好不好！当时就是因为潇洒的萧十一郎才迷上吴奇隆的！            
(5星)	 卧槽 6点几 俺的童年偶像好不好            
(4星)	 为了吴奇隆~顶了~            
(4星)	 朱茵好黑啊……            
(4星)	 本来准备打3星，觉得朱茵好美，就多打1星啦＾＾            
(4星)	 第一步喜欢的诶            
(5星)	 这个怎么能不给５分～初中的时候那个叫迷啊。。。虽说不是什么大场面什么的，但是吴奇隆啊有木有，朱茵啊有木有，经典啊经典。。。            
(5星)	 8年后，在看还是最爱阿~~~            
(4星)	 矮油，当年没看出来他跟风四娘有一腿            
(3星)	 小学时候风靡一时。            
(5星)	 吴奇隆当时好年轻啊。。。剧情好。。            
(NA)	 连夫人和十一郎的爱情            
(NA)	 很迷很迷，结局是？            
(NA)	 当年晚上看一遍 白天重播的时候再看一遍。。。。。            
(3星)	 那把割鹿刀着实让我无语            
(2星)	 不爱看这类片子~            
(NA)	 萧十一郎            
(NA)	 转弯啊~            
(2星)	 吴奇隆很帅，可是电视剧真的真的不如小说啊            
(3星)	 又见童氏三兄弟啊！！！！！！穿薄纱啊！！！！晒的很黑啊！！！！！            
(3星)	 对帅哥美女都没有抵抗力，萧十一郎的打扮很拉风            
(5星)	 大爱~！！！            
(NA)	 想当年。。也是被吴奇隆迷的。。。= =            
(5星)	 最爱啊…            
(3星)	 没看过很多            
(4星)	 唯一喜欢的版本，就是TMD和原著差的不是一点半点啊~几乎除了人命能改的都改得差不多了！忽然觉得“蚀心草”是世界上最浪漫的毒药。。。            
(4星)	 怀旧怀旧 当年萧郎            
(4星)	 朱茵。。。。。            
(NA)	 实在是很看不下去。。。            
(5星)	 这部剧是我的信仰！            
(3星)	 最恨隐忍男            
(1星)	 朱茵还是可以的。可是我当时是怎么忍受奇隆兄的？？            
(5星)	 反复看了很多遍超级爱！            
(3星)	 当初竟然那么喜欢，后来才知道和原著差得远了            
(4星)	 原来还是有经典我没看的，真好。。            
(NA)	 哇 萧十一郎啊 真的是 被次看到朱茵都觉得特像一个人            
(3星)	 当年迷死吴奇隆了            
(3星)	 朱茵呐，还有一首配乐，这两个就值一颗星呐            
(5星)	 好喜欢萧十一郎哦。。。            
(5星)	 转弯。            
(NA)	 朱茵实在是美            
(4星)	 最近剧慌又翻出来看，打算看完剧再去把原著翻出来四周目。给四星，一星给吴和马当年火花四溢的对手戏，一星给有原著“阳春三月，羊欢草长。天寒地冻，问谁饲狼？人心怜羊，狼心独怆。人情冷漠，世情如霜！”味道的主题曲，一星给武侠小说中最喜欢的女性角色风四娘，还有一星留着怀旧。            
(3星)	 朱茵真是美~            
(NA)	 吴奇隆啊 吴奇隆 朱茵啊朱茵            
(5星)	 小时候迷吴奇隆迷的呀~~~            
(4星)	 初中看的，当时觉得吴奇隆帅死了！！！            
(4星)	 让我夜夜揪心过的电视剧            
(NA)	 几年后再来看~ 发现是个还不错的第一集开场            
(4星)	 转弯            
(3星)	 我总觉得于波演的连城璧有点变态            
(3星)	 还行吧            
(2星)	 我不知道我小时候哪里来的这么大的勇气= =            
(3星)	 尽然陪着姑娘看了一遍，真逼啊！！犹记得姑娘说的：“MD，这电视剧从头至尾就叙述三个人的故事，还倒来倒去的！！”            
(4星)	 Well，小怀念一把啊~~            
(5星)	 老爱看了 很经典            
(NA)	 萧十一郎。沈璧君。风四娘。            
(2星)	 小时候看怎么那么带劲儿呢。现在看得要吐了都。            
(5星)	 曾经觉得好美~            
(4星)	 最爱连城璧！！            
(4星)	 重溫兒時記憶   = =      親切到爆            
(5星)	 帥SI了TAT！！！~當年看的時候被迷SI了啊啊啊！！！！！！！片尾曲好聽到爆啊！！轉彎！！！            
(4星)	 怀念来            
(4星)	 很好看很经典            
(5星)	 我愛的吖！            
(4星)	 那时吴奇隆好帅            
(4星)	 小时候            
(4星)	 经典啊。            
(4星)	 一种回忆            
(4星)	 想重温发现果然看不下去了啊。。            
(3星)	 朱茵美            
(5星)	 这几天又开始看了，跟新的一样。            
(4星)	 男女猪都太苦逼了  我喜欢这种苦逼纠结蛋疼的剧情 恩 只限小时候            
(5星)	 不是每一个沈璧君都能遇到萧十一郎            
(3星)	 朱茵好黑。            
(3星)	 喜欢连城壁啊            
(5星)	 吴奇隆神马的~~最有爱了~            
(NA)	 最喜欢开始的几集            
(5星)	 爱爱爱爱爱到要死               
(5星)	 啥都不说啦。。。全是回忆啊。。            
(4星)	 回忆啊            
(4星)	 小时候怎么那么爱看，明明越到后面越雷……            
(4星)	 儿童时期的最爱武侠啊            
(3星)	 = =            
