http://movie.douban.com/subject/2253591/	格格要出嫁
(4星)	 当年看的时候很欢乐            
(NA)	 发觉以前还是看啦蛮多的古代剧 对于当时没电脑无聊的我来说是唯一的乐趣            
(3星)	 小学时候看的呢  &gt; &lt;            
(5星)	 当年是很喜欢……= =            
(3星)	 当然倪思睿挺甜的            
(3星)	 有清一朝，养活多少影视！原来我看了这么多没营养的东西。            
(2星)	 主角后来都死在娱乐圈了吗            
(3星)	 当时稀里糊涂地看~            
(NA)	 不能容忍自己看过这样的电视剧 = =            
(2星)	 又名: 격격요출가 / Ge Ge To Be Married            
(4星)	 当年觉得倪睿思很清纯的么。            
(NA)	 在我的萝莉时代，还觉得倪睿思挺8错的，结果现在都见不着人了……            
(NA)	 那格格蛮喜欢            
(3星)	 主要为了倪睿思O(∩_∩)O 小格格真口耐 漂漂捏~~            
(NA)	 当时觉得这格格还挺好看            
(3星)	 我好像忘了结局是什么。。            
(4星)	 “金蝉脱壳”            
(2星)	 多尔衮大叔太high了吧，这个演员怎么到哪都是演如狼似虎的人呦……            
(2星)	 我看的都是些什么东西……瞎扯淡的片子            
(5星)	 不知道为什么我是很喜欢- -应该是陪伴了我的童年吧~~~（坏笑）            
(1星)	 敢不敢再山寨一点            
(1星)	 难看到极致            
(2星)	 记得很吵- -            
(1星)	 被看了。            
(3星)	 小时候的还行            
(3星)	 小时候觉得还行  啊            
(NA)	 片头片尾曲。            
(3星)	 歌儿不错，寇振海的多尔衮让人想笑            
(4星)	 人物都好漂亮的            
(2星)	 = =小时候看的            
(2星)	 其实那个小金蝉还挺漂亮的~            
(3星)	 片尾曲还可以的貌似            
(3星)	 那时还挺欢倪睿思的说0.0            
(3星)	 知道倪睿思还是因为这个            
(2星)	 够傻            
(2星)	 那妹子长得好像还行……            
(3星)	 儿时很爱看的一部剧，看过好几遍的说~~~~            
(3星)	 当年觉得很好看            
(NA)	 忘了啥年代的了!            
(3星)	 算内地拍得不错的了，只是怎么看怎么小言，可惜小言的又不太成功            
(NA)	 哭死了啊            
(NA)	 跟着老姐一起看的；记得女主还是唱歌的。            
(2星)	 女主暴丑，我看的实在是断断续续。。。            
(3星)	 倪睿思就演了這一部電視劇吧            
(3星)	 你知道，青梅竹马并不是什么美好的事情。            
(3星)	 一个清新可爱的金蝉格格~~            
(2星)	 自从看了一集新版还珠格格和宫锁心玉，我对清装剧的评价宽容多了            
(3星)	 貌似這格格死而複生。。            
(4星)	 挺喜欢金蟾的~            
(3星)	 片尾曲很好听。            
(3星)	 不太记得情节了。。            
(3星)	 很早很早看的一步电视剧            
(NA)	 。。。            
(3星)	 当时从第一集看的就看进去了 现在想想很普通的电视 有夸张 但是没宫那么夸张得小儿科 我还是宁愿看这个 不会偶像剧那种一看就猜出来下面要演什么了            
(3星)	 小演员还是挺可爱的            
(3星)	 倪睿思你去哪里了。            
(4星)	 倪现在肿么样了啊。虽然脸大，但还是挺可爱的。            
(3星)	 那时的倪睿思还蛮可爱的。。            
(3星)	 没看全，挺喜欢金蟾的~            
(3星)	 我觉得挺好看的- -。。            
(3星)	 我当年绝对是脑残了&gt;&lt;            
(5星)	 此片狗血万分，严重脱离历史，扭曲人物性格。但是我还是很喜欢看，完全是我童年时最好的回忆啊，片头和片尾的歌也都不错            
(3星)	 这个当年初中超级风靡啊，我周围的女生几乎都爱看，我囧。            
(5星)	 当年特别喜欢倪睿思啊，记得她后来去唱歌了，后来就不知道了。。。            
(4星)	 这个当年其实还蛮喜欢的            
(NA)	 喜欢那片尾曲            
(1星)	 太神奇了。死了又活            
(3星)	 三星半，为金蟾。            
(4星)	 小的时候觉得好好看啊            
(NA)	 不好意思说我看过。。。            
(5星)	 2002            
(3星)	 小时候看的了。。。囧            
(5星)	 在哪里能找到原著啊？？            
(1星)	 演格格的女的不好看，当时挺反感的            
(3星)	 还记得当时爷爷要我看。            
(1星)	 吐血。            
(5星)	 童年的回忆啊啊啊。特别爱爱爱。            
(3星)	 多少没落的明星……            
(4星)	 说不出来的喜欢            
(4星)	 当年它的导演号称收视肯定超越还珠、、、、桑不起啊            
(4星)	 顺治福临啊            
(3星)	 位的那个演皇上的看的。。。。            
(4星)	 现在看就是一烂片，但怎么小时候就那么喜欢啊。。。。            
(3星)	 不知道为什么 这个大眼睛的小女孩怎么没红 还是挺喜欢的            
(2星)	 一部由倪睿思主演的强大剧集。            
(1星)	 闲着无聊也不能乱看片╮(╯▽╰)╭            
(3星)	 一般 没东西看的时候这个可以看看            
(1星)	 有我同学来着，真年轻那会            
(3星)	 N年前看过了的啊  好熟悉的感觉            
(3星)	 片尾曲好听            
(2星)	 愣货皇帝，呆瓜剧情，很无语。。            
(4星)	 对这个大眼格格印象深刻            
(4星)	 片尾曲好听            
(NA)	 对野史就素这么感兴趣吖- -            
(2星)	 只有女主角可以看            
(4星)	 完全是因为童年愉悦的回忆！这...不过结局让人不爽            
(NA)	 好像初中时候电视里每个台轮着播放了一段时间样            
(5星)	 隐约记得姑娘很灵？            
(NA)	 倪睿思 当年我有多看好你你知道嘛！！！            
(NA)	 很久以前看的  完全忘记剧情了            
(NA)	 跳着看的。必须没看全啊~小金蟾和大金蟾的演员还蛮像的~！青梅竹马的爱情故事很有爱啊~~记得玉麟好像还蛮帅的，顺治小时候可以，长大了不帅啊            
(3星)	 倪睿思一刚。。。。            
(3星)	 片尾曲还蛮好听 男猪很丑            
(4星)	 狗血的不行，但很喜欢            
(1星)	 呃，呵呵呵            
(NA)	 小皇帝            
(3星)	 应该叫“格格要出家”才对吧~~~            
(3星)	 想当年超级喜欢，现在想想真是很粗糙啊            
(5星)	 小时候看的 非常的喜欢啊            
(5星)	 挺喜欢金蟾这个角色的            
(3星)	 多罗一直让我觉得奇怪            
(NA)	 朦朦胧胧的看过，好久了            
(3星)	 认识倪睿思在这个电视剧里，当时觉得她像贾静雯，所以就看了，不过后来也看到了她出专辑又唱又跳穿的贼少，现在应该连3线都算不上吧~            
(4星)	 当年看的劲劲的。。。            
(3星)	 我还记得是小学三年级看的~ 7点到9点 看完就睡觉            
(2星)	 哇我竟然看过这个啊，好像是跟奶奶看的。。。            
(3星)	 。            
(3星)	 格格挺好玩的。            
(4星)	 2008            
(3星)	 记得是预初那个时间、电视里开始播的、、、            
(2星)	 完全没印象了。。。。。。            
(NA)	 我为什么要看 我也没知道、            
(NA)	 这已经是多少年的片了啊，忘记的差不多了。            
(3星)	 小时候很喜欢金蟾  如今的过气女星俨然完完全全退出了人们的视线            
(3星)	 我就觉得福临太丑了            
(5星)	 喜欢金蝉啊。            
(4星)	 2002 5月份 真的很喜欢看啊            
(5星)	 金蝉就是不红么            
(3星)	 这个我也看过····            
(NA)	 嫁来嫁去，还不是一样结局。            
(3星)	 这片子其实不错 这是在那个年代 我还比较喜欢的片子             
(NA)	 忘光了= =            
(3星)	 现在想想怪恶心的            
(5星)	 嗯嗯  美女们哪~            
(3星)	 我记得当时看觉得还可以的啦            
(4星)	 我对这个片印象好深刻啊、、、、            
(3星)	 跟还珠格格有点相似            
(3星)	 好早之前看过。            
(3星)	 Ge Ge To Be Married对对对 就是这个 当年还真的蛮喜欢看的。。。。            
(2星)	 小时候看过。            
(2星)	 肿莫阿瓣连这都有!!!!小时候都被雷得不轻啊主题曲挺好听的= =            
(4星)	 小时候被迷得一愣一愣的，因为要上新概念，最后一集没看着，还逼老妈帮我看然后复述给我听            
(4星)	 已经不大记得了，就知道当年很喜欢看的，还迷倪睿思好久呢            
(3星)	 当时很迷倪睿思……            
(2星)	 我居然看过了，哎            
(3星)	 我小时候喜欢看的要死~~~            
(3星)	 片尾曲很好听。            
(2星)	 其实我神马都不记得了。。。只记得是烂尾。。。            
(3星)	 那是个格格的时代            
(1星)	 棒子就看这剧长大 怪不得尽是非主流            
(3星)	 跟奶奶一起看的  =。=            
(5星)	 很多年前看过的。当年，我还是loli，看完大哭，伤心异常。很爱这部戏，两位主人公，小孩子也喜欢，配角也不错。倪睿思很可惜，我当时狂爱男主的。很多年过去，对于人，对于戏，或许，我一直的难受叫作无奈。            
(4星)	 格格要&#34;出家            
(4星)	 小时候觉得那格格还蛮可爱的说。。            
(1星)	 整剧无聊 不知所云            
(3星)	 小时候的演员好可爱~难道我就是萝莉控……            
(5星)	 格格很可爱            
(2星)	 一开始就知道是悲剧。            
(NA)	 当时还挺喜欢            
(5星)	 看这个前面的时候我肚子都快笑破了，哈哈哈            
(3星)	 具体剧情不记得了，只记得两个女主角都很漂亮~            
(5星)	 抛开历史还是比较不错的，但是陷入历史，我很想说，历史很复杂的，拍死编剧~~            
(3星)	 我深刻反省，我看过的乱七八糟的电视剧真的不少。            
(2星)	 故事内容一塌糊涂，没有一点真实的部分，大概说的是火星上的清朝吧。一星给倪睿思唱的片尾曲，还挺好听的；另一星给瓦克达大人，可惜后来再也没有见过他演神马戏了            
(NA)	 ●            
(NA)	 这个电视剧也看了有两遍，很喜欢，也梦想这能遇到这样一个白马王子啦~但现实总是很窘迫，所以还是看电视剧好了~            
(3星)	 我当年，迷恋顺治……            
(NA)	 记得片尾曲            
(2星)	 倪睿思当年还是很漂亮啊。。。            
(5星)	 ”留爱给最想爱的人“，这部戏如果我今日看，我会毫不犹豫地给我一星。但是......2003年的冬天，我们都还记得的吧            
(3星)	 其实这剧真的还不错。只是某些演员不是很棒。            
(4星)	 片尾曲真好听            
(4星)	 当年我挺喜欢这剧的。            
(3星)	 印象不深 就记得看过            
(3星)	 白母狗的名字让我记住了~            
(4星)	 就记得结尾纠结的            
(3星)	 这时候的倪睿思冰雪可爱 现在怎么那么妖            
(3星)	 我道倪睿思是演戏的，后来她唱歌去了，演戏的时候真心肿，可后来没什么声音了。@Home            
(3星)	 后来。。。。TA成了歌手。。。然后没了~~~            
(3星)	 初三时奶奶照顾我起居，每日必一同看此剧下饭            
(NA)	 这么多年，一直纠结金蟾和福临最后的结局。            
(3星)	 当初电视上播的时候看着还是很扎劲的，尤其是那个情景再现，笑死了！            
(4星)	 看不厌的哇            
(3星)	 那几个孩子，感觉粉可爱~            
(4星)	 那时候可喜欢看了，可是后来重播得不多            
(3星)	 很少有一部古装作品能让我从头看到尾，但是这部在当时确实喜欢~~            
(3星)	 金蟾很给力~            
(4星)	 剧情平淡，那个时候倪睿思很惊艳~            
(NA)	 我以前可喜欢啦..=             =            
(4星)	 金蟾。            
(5星)	 也是小时候有印象的电视剧            
(NA)	 3.5            
(4星)	 忽然间想起了这个电视剧。。记得当时好喜欢那个皇帝来着。。            
(3星)	 在家看的～            
(4星)	 我觉得还挺好看的             
(1星)	 很怪异的片子            
(3星)	 童年剧。影响了我的历史逻辑...            
(5星)	 呵呵，这个也有爱了，大爱金蟾的古灵精怪~~            
(3星)	 倪睿思后来怎么就销声匿迹了呀。很喜欢她的声音。            
(2星)	 多久之前看的，我自己都忘了            
(3星)	 女主还是挺漂亮的...当年貌似打着酷似小燕子的名号            
(NA)	 呃，剧情简介好像出错了            
(2星)	 无语            
(3星)	 ……喜剧片            
(3星)	 篡改历史啊篡改历史的太离谱了            
(2星)	 真的很雷            
(3星)	 造型很囧，但是当时看得很欢乐。            
(4星)	 当时有人说这是还珠续集呢~            
(1星)	 雷的境界            
(4星)	 倪睿思在这里！            
(4星)	 虽然倪睿思演得一般，虽然倪睿思乱七八糟的新闻很多，可是还是喜欢最初参加青歌赛的她。            
(NA)	 我一直想去了解另一位格格东哥。            
(3星)	 现在问起同学都说看过。比起情节，更多是对记忆的着迷，回味            
(NA)	 假期偷看电视的节目之一            
(NA)	 很久以前看的。            
(2星)	 那又怎样！            
(5星)	 我觉得很好看            
(3星)	 那时候很喜欢这部戏的主题曲啊~~没想到倪睿思最后的星路那么窘迫            
(4星)	 主要是对主角的印象很深刻，倪睿思，这女生唱的歌也蛮好听的。            
(NA)	 小时候看的忘得差不多了            
(3星)	 小学5年级看的？貌似里面有个美女            
(NA)	 就只记得片尾曲了            
(1星)	 片尾曲不错找个喧哗的城镇只为藏身，忘了真实的身份只是个等爱的人            
(1星)	 还珠的大陆版山寨跟风剧，又雷又土，不知所云            
(4星)	 诶呀小时候好喜欢的 金蝉。            
(1星)	 这个无敌了~我都看不下去了~            
(NA)	 当年我。。。            
(NA)	 现在想不通为嘛会追看的,一个年纪有一个年纪的迷恋呀.            
(3星)	 雷            
(NA)	 现在想想也挺雷            
(4星)	 当年真的很喜欢啊。金蟾多可爱，皇上也很帅，每一个姑娘都水灵灵的呢。            
(4星)	 倪睿思很漂漂~(～o￣3￣)～             
(3星)	 女主角一点镜头感也没有，旁边的丫鬟都觉得比她像明星。            
(2星)	 俗            
(3星)	 以前看过。            
(3星)	 童年回忆            
(1星)	 不知所云            
(3星)	 也很早了，朱泳腾演的，还有倪睿思，在里面特胖了，一点也不像她- -            
(3星)	 对几个情节印象深刻 比如格格假死             
(4星)	 那时侯很喜欢看呢            
(3星)	 蛮无聊的，这里面的孝庄老么用额~！            
(2星)	 记得初中当时很萌女主角的.…            
(4星)	 印象其实蛮深，女主扮相蛮好啊~            
(3星)	 喜欢金蟾和玉麟。那多配。            
(3星)	 印象当中看的第一眼是最后一集            
(4星)	 造型雷人，其实剧情还是不错的~            
(2星)	 生硬            
(2星)	 反正我看完之后想到的是还珠格格~            
(NA)	 属于清装戏疯狂的年代。。            
