http://movie.douban.com/subject/2279817/	都是天使惹的祸
(NA)	 第一次看到李小璐..以为是周迅...貌似也是这个剧里知道了佟大为...还有看这个剧的最主要的原因,貌似就是放这个的电视台的中间的广告是菲姐姐当时代言的海飞丝...            
(NA)	 白大褂的任泉医生帅翻了整个寝室的女生……“波波”的爱称可爱的要命～但是～能不那么明目张胆地抄袭《一吻定情》么？不要以为你拍的是漫画后面女猪脚进医院当护士的那块就米人知道……            
(4星)	 好看的，适合初高中生看            
(3星)	 算可以的偶像剧了            
(NA)	 ＝v=            
(3星)	 当时李小璐还没丰胸            
(4星)	 这个时候李小璐多清纯啊！            
(4星)	 因為記得小時候也是看完真情告白以後特別待見張延，受她影響就特別討厭三角戀裏面，覺得李小璐才是小三            
(4星)	 哈哈哈诡异这都能被你找到！这个我小学看的！            
(3星)	 任泉还是很帅的。            
(4星)	 小时候好喜欢            
(3星)	 喷了，还有郭涛            
(4星)	 初中的时候看的。            
(3星)	 这是多小的时候看的哦，那时候学习那么紧张，觉都不够睡，肿么就这么那么喜欢看电视咧&gt;_&lt;  还有片尾曲《那么骄傲》好听啊！            
(3星)	 医院爱情故事。            
(4星)	 不多见的以医院为背景的剧。虽然是爱情主打。            
(1星)	 我五岁就开始讨厌李小璐了呢            
(4星)	 喜欢那个时候的李小璐 佟大为 之后的完全不喜欢了            
(3星)	 那么骄傲 真的很不喜欢李小璐            
(3星)	 李小璐不整也还行啊 干嘛把个鼻子搞得跟喜马拉雅山一样的高 哎 主题歌里反复唱 别那么骄傲~            
(4星)	 小时候最喜欢看了。。。。那时镜头里的上海才是最好的上海            
(4星)	 这时的郭涛还是个猥琐的小人物，现在阳光多了。哈            
(3星)	 以前还挺喜欢任泉            
(3星)	 我小時候看的，笑死了。那時候我恨死郭濤了~            
(NA)	 璐姨现在疯了...            
(NA)	 那个时候特喜欢任泉！            
(NA)	 小护士~            
(3星)	 那时候还挺喜欢的            
(NA)	 当初李小路真的很讨喜,可是现在...哎..            
(4星)	 那个时候觉得李小璐很漂亮呀！任泉很帅的呀！            
(4星)	 童年的记忆            
(3星)	 我的童年嗷 =0=            
(4星)	 我从看这部电视剧的时候，喜欢上24岁的你，那时我17岁。今年我22岁，还是喜欢29岁的你。可是我已经失去了你。            
(4星)	 小时候可喜欢了            
(3星)	 那个时候我好喜欢李小璐呀！！            
(4星)	 当时觉得任泉真好看，李小璐现在也好看            
(5星)	 里面是有佟大为的吧            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 初中那会儿看的。 特喜欢张延            
(3星)	 金海星演唱的主题歌很好听~            
(4星)	 当年的任泉……一去不复返啦            
(3星)	 喔喔喔            
(4星)	 美女多            
(4星)	 小学时好爱看            
(NA)	 日啊多少年了是不是看的第一部【偶像剧】啊。。            
(3星)	 那时候把李小璐误认为周迅            
(NA)	 10年前很认真看的电视剧            
(4星)	 李小璐真水灵            
(3星)	 李小璐和任泉的傻剧。第一次认为李小璐。挺可爱，但是过头了            
(3星)	 尴尬剧            
(4星)	 那时候李小璐还不会看月亮            
(3星)	 若干年后有人对我说当年就是因为介个所以米有考大学而是去做了护士- -我心想：你真傻X...ORZ            
(5星)	 当年爱这个爱的挺疯狂的昂~~~            
(4星)	  小时候超爱            
(NA)	 从此我知道了金海心。《把耳朵叫醒》令人印象深刻。            
(NA)	 小学时期的喜欢            
(4星)	 比较喜欢雄风..貌似是我妈带我看的...            
(4星)	 偶像剧启蒙片。。。这个也一直盼重播的            
(3星)	 哈哈            
(4星)	 偷偷看，自觉甜蜜纠结无比            
(5星)	 我的童年 啊！            
(3星)	 不喜欢李小璐            
(NA)	 太刺激了```            
(3星)	 可爱的小璐            
(2星)	 幼稚            
(4星)	 好歹我原来还喜欢来着。            
(NA)	 很喜欢的            
(3星)	 原来我看过这么多乱七八糟的国产电视剧啊            
(4星)	 高一时我们班主任那样可怕的人上课都忍不住提起这部电视剧。            
(2星)	 居然还有郭涛。。我都忘了。。            
(2星)	 我是真的看完了。            
(3星)	 那个时候看还是觉得蛮好的~现在看看就有点儿俗咧~哈哈            
(3星)	 感觉张延年纪大了点儿 怎么也不像任泉的情侣啊            
(4星)	 电视剧好不好看，其实是年龄说了算。那时候初中吧，就觉得，哎呀，李小璐真好看。            
(2星)	 我。。。。            
(3星)	 超级&#34;作&#34;女...            
(5星)	 嘿嘿            
(3星)	 这傻的            
(3星)	 寒假。英语冬令营。ECNU。一台电视机。一群小姑娘   还有中华小当家            
(3星)	 年少回忆。            
(3星)	 喜欢张延。            
(3星)	 李小璐的大眼睛，那时候却只是觉得像林心如而已            
(4星)	 小时候特喜欢看。            
(4星)	 早年的偶像剧            
(3星)	 仔细研究了一下，李小璐MS是4层眼皮            
(3星)	 四不像            
(3星)	 唉 果然年少無知……            
(3星)	 大陆偶像剧里算好的，还有个《老房有喜》····偶像剧的定义不就是洒狗血么            
(4星)	 从此我喜欢上了李小璐  哈哈  纯真的大男孩            
(3星)	 挺活泼的            
(NA)	 话说是在我们学校拍的            
(3星)	 真纳闷儿，为什么小时电视重播什么烂片我都看            
(4星)	 小时的喜欢与回忆。也就喜欢上了小璐。            
(NA)	 这个没看过也不成吧 有段时间到处放的 那时候我还看电视的 哈哈            
(4星)	 糍剧。            
(3星)	 真汗...我都不知道自己看过这么多电视剧            
(NA)	 对那个戴粉红塑料框的护士印象非常深刻.            
(3星)	 就是这部电视剧让我对李小璐产生偏见很多年！            
(2星)	 有点喜剧。            
(4星)	 当年很喜欢的片子啊。也是第一次认识李小璐            
(2星)	 哎            
(3星)	 当年多青春?!            
(4星)	 国产青春偶像剧的开篇作吧~~            
(3星)	 糟蹋我的最爱 一吻定情 的恶心大陆剧！尤其烦任泉，竟然染指世上第一完美天才帅入江这个形象！唯一的收获就是认识了可爱无敌的小璐，还有小眼睛个性佟大为，挺可爱，尤其一口京片子~            
(3星)	 呃。年少无知。            
(5星)	 我记得真的挺好看  = =            
(4星)	 对金海心这首歌感情很深。            
(3星)	 单纯的小可爱^ ^            
(4星)	 里面金海心的歌好听            
(3星)	 任泉还是很帅~            
(3星)	 算是当年一部还可以的国产。            
(3星)	 那时候好喜欢李小璐、            
(3星)	 看过，印象不是很深了。            
(5星)	 看了太多遍了,太招人爱了..            
(3星)	 所谓大陆早期偶像剧……            
(4星)	 电视剧             
(NA)	 初中的时候很迷~~哎呀~当时还是纯情的小丫头片子嘿嘿            
(3星)	 很欢喜的片子。            
(3星)	 当时很喜欢看啊..里面的林小如很可爱..            
(5星)	 我也曾是个天使            
(3星)	 可以看，有点喜剧味道            
(5星)	 力推，李小璐.            
(2星)	 我对护士不感冒            
(4星)	 2001年啊。            
(NA)	 哈哈哈 那谁的~？疯狂石头里那位~ 那时候还演委琐“马医生”。。            
(3星)	 波波.            
(4星)	 好怀念啊            
(4星)	 好早好早!!!!!!!!!!!!!!!!!!!!            
(NA)	 当年觉得小路同学挺可爱            
(5星)	 永恒的经典            
(5星)	 第一部看得小璐的戏.任泉再里面远没这丫头出采.我为那个导演的死还哭过.            
(NA)	 挺好玩的喜剧            
(NA)	 轻松喜剧            
(NA)	 都是天使惹的祸            
(3星)	 流行得很 ……            
(5星)	 想遇见这样的天使            
(NA)	 小逗乐.            
(3星)	 呵呵~以前很喜欢看的一部电视剧~~~            
(3星)	 还是挺喜欢那时候的张延。            
(3星)	 初识了李小璐            
(4星)	 可爱的小璐            
(NA)	 我爸说我还不如小如呢            
(4星)	 不错的青春偶像剧            
(3星)	 无知少女成长记，不过还不错。            
(NA)	 ......            
(NA)	 小闹剧            
(5星)	 我要说我特特特喜欢这剧会不会招人白眼，但是李小璐、任泉、张岩还有郭涛，演技绝对是入木三分，不是为了童话故事一样的爱情故事，只是为了每个演员在其中的人物刻画，绝对值得看。            
(NA)	 成长的记忆。            
(4星)	 还有金海心那首主题曲很赞。            
(4星)	 这算是我看过的第一部偶像剧吧哈哈，当时李小璐和周迅我傻傻分不清楚            
(4星)	 那时候的李小璐。。。现在的哎。。            
(NA)	 哈哈哈。。。。。说起来我还记得林晓如和邵建波最后在喷泉旁边接吻了。是吧。            
(3星)	 当年            
(NA)	 真心看不下去……            
(4星)	 当时很喜欢很喜欢欸！！！！            
(3星)	 很小的时候看的，，就记得护士在自己手上学扎针啊啊啊            
(NA)	 有点大陆版本恶作剧之吻的感觉？迷糊可爱妹和精英医生帅哥……李小璐也老了            
(3星)	 太傻了，我当年以为李小璐是周迅姐妹呢~~            
(3星)	 李小璐的当年唉，整容就没灵气了啊            
(2星)	 巨无聊            
(3星)	 喜剧             
(4星)	 林小如，熊锋，邵剑波，每个人物都好可爱            
(5星)	 很早以前看的。从头到尾都很欢乐的片子。当年的李小璐、任泉和佟大为都好青涩啊。            
(3星)	 那个时候觉得李小璐很漂亮啊，现在的长相就囧的落俗了，可是妈蛋为毛现在这么多人说劳资长得像李小璐啊，劳资是不是该哭啊- -            
(3星)	 擦，还有这部！当时只喜欢张延来着，璐姨你这辈子估计就一部《xiu xiu》了，悲催啊……            
(NA)	 初中看的了，李小璐那会儿多纯啊！            
(3星)	 现在看，这桥段这安排，多像恶作剧之吻。            
(3星)	 年纪不那么大的时候看的。。。            
(4星)	 曾经很喜欢            
(4星)	 这个很好玩的诶！！！！            
(4星)	 在那个偶像剧还没有泛滥的年代算不错的~            
(5星)	 姑娘还是肉脸好看            
(4星)	 第一次侃任泉，觉得好帅啊，可惜这么多年也没彻底红起来            
(3星)	 我记得有铁山楂什么的            
(4星)	 那个时候好喜欢任泉啊。。。。。。            
(4星)	 那时候迷任泉这个小白脸。            
(4星)	 内地偶像剧的模范！            
(4星)	 又是启蒙            
(4星)	 李小璐那时候真美啊。            
(NA)	 暑假的回忆            
(4星)	 很喜欢的。看了好几遍呢~觉得都演得很好~            
(4星)	 小璐！小璐！小璐！小璐！小璐！小璐！小璐！小璐！小璐！～～～（无限回声中～）            
(4星)	 李小璐那时候还没任泉红。。。            
(3星)	 我看这些时候到底是多大啊。。。。            
(4星)	 任泉当年真帅            
(5星)	 果断怀旧~            
(3星)	 四年级时候被语文老师拉到她家里一起住 那天晚上大结局和她一起看的 那个接吻的镜头一直低着头不敢看……            
(3星)	 李小璐，你整容了你干嘛不承认？            
(4星)	 我草，佟大为在这里打酱油的            
(4星)	 我妈当时可钟情任泉了            
(3星)	 都是些我都不记得内容只记得我看过的了。那时候我好小。。。            
(3星)	 那时候觉得任泉好帅。            
(NA)	 童年回忆童年回忆……            
(NA)	 看这部戏时我花痴过任泉的，MD = =            
(NA)	 那会儿挺喜欢佟大为……            
(NA)	 初中年代，那是停止看港剧的时代            
(5星)	 那时候超喜欢的剧。。重温了下结局。。            
(4星)	 当时还蛮喜欢李小璐的            
(NA)	 绝对是仿淘气小亲亲！            
(3星)	 剧情很狗血 但是很喜欢金海心唱的歌            
(3星)	 當年覺得李小璐簡直和周迅長得一摸一樣！            
(3星)	 李小璐笑得很好看。            
(3星)	 還能看的國產青春偶像劇            
(3星)	 好怀念啊~小学时看的            
(4星)	 好喜欢啊！            
(3星)	 这片子拍的蛮好玩的            
(4星)	 任泉好帅啊。。。李小璐还是有点变化的吧。。。那时候真的看了好多遍啊。。。            
(3星)	 当年那个歌红的。。。一塌糊涂            
(2星)	 初中看得挺乐的还跟同桌讨论剧情~            
(3星)	 那时候的李小璐多好看。            
(4星)	 回忆            
(4星)	 那是觉得狠好看            
(5星)	 我竟然下载了全集 而且又看完了 最自信的人是邵剑波 最有意思的人是大树 最耍宝的是天地 最有意思的情节是小茹的古装片幻想~ 不管它俗不俗 不管它土不土 它永远是我心中噶经典 ^_^            
(3星)	 中学时代。            
(5星)	 我说老板 这些个都是盗版碟封面吧            
(4星)	 那时候的课余话题都是这个伐。            
(2星)	 刚在天涯看到评论，忽然想起来当年有多讨厌迷糊女主，多希望任泉可以选张延……            
(4星)	 看的第一部国产偶像剧，李小璐可爱的一比那啥，任泉也帅，歌也好听，还好玩            
(4星)	 和朋友重新看了一遍，李小璐以前真灵啊干嘛要整容哎            
(3星)	 记不清了其实。。。            
(5星)	 小时候的回忆~            
(NA)	 小时候啊 看这个。。。            
(1星)	 当年小时候都不喜欢……            
(3星)	 那个时候的李小璐没有人不喜欢的；我当时居然动用了录像带这玩意            
(NA)	 初中时的            
(4星)	 那个时候觉得夏天特别好，另外总觉得任泉像我老爸·            
(4星)	 小时候很爱的电视剧呀。那时候的李小璐还没整的那么夸张。任泉还是很青春阳光。            
(2星)	 天使现在成了卖吆喝的，天天在电视上喊喝啥哟！            
(NA)	 那时候我是不是上小学啊            
(4星)	 童年啊·            
(5星)	 那时候觉得真是郎才女貌啊.......            
(3星)	 第一次见到小璐            
(5星)	 那时候很喜欢的偶像剧            
(3星)	 那时候的李小璐很可爱            
(4星)	 当年大陆第一部偶像剧啊            
(4星)	 李小璐肯定整容了！任泉是我当年的梦中情人            
(4星)	 我看的第一部偶像剧。            
(3星)	 小学时候。。。。。。            
(3星)	 人好看~            
(5星)	 是不是国产偶像剧的先驱了？            
(3星)	 别那么骄傲            
(NA)	 那时好喜欢任泉            
(3星)	 后来小配角佟大为变成男一号陆涛，女主角李小璐变成女n号杨晓芸            
(3星)	 为何我小时候会觉得任泉各种帅气？            
(4星)	 那时候的李小璐啊~~~            
(3星)	 那时候就不太喜欢 护士啊。。。。            
(4星)	 只记得那个暑假每天骗妈妈肚子痛不去游泳~每天下午守着明珠4套看这个~            
(3星)	 别那么骄傲 我随时可能走掉            
(4星)	 bobo             
(4星)	 小学时候狂追，还抄过歌词哈哈。            
(3星)	 遗忘的时光。。。            
(4星)	 喜欢上李小璐~~~            
(3星)	 娘类~      小时候0 0            
(4星)	 我小学那个年纪看刚好（3、4年级？）。小小年纪的我，那时已懂得多角恋的痛苦了= =（都怪我妈看言情剧也不知避着我！还和我一起熬夜看…）            
(4星)	 迷任泉            
(4星)	 李小璐真是个纯妞儿~~            
(3星)	 这个我小时候也爱看阿。HOHO``            
(1星)	 汇集了我讨厌的所有人,真太谢谢你了!            
(3星)	 想3.5            
(3星)	 我小时候还很喜欢看呢 当时就觉得李小璐特漂亮            
(4星)	 认识了李小璐            
(3星)	 李小璐的脸像被车压过。            
(4星)	 李小璐当年就很水灵。            
(4星)	 小璐好可爱，那时候还觉得任泉帅。            
(4星)	 第一次看的偶像剧啊~青春偶像剧~            
(3星)	 补：当年我还觉得任泉长得很不错来着=__________,=            
(4星)	 那会儿还没那么喜欢李小璐呢            
(1星)	 一开始看，还以为是周迅            
(4星)	 当年觉得老好看了            
(NA)	 小时候院子里一个男生总叫我林小如，我以为他喜欢我            
(3星)	 是跟傻帽一样巴巴地在邻居家看完全集的。。。苍天呐，当时着迷于主题曲呃。。。            
(3星)	 喜欢张延            
(3星)	 我发觉我看得白痴剧还真不少。。。。            
(3星)	 就记得李小璐考喝番茄汁来治疗晕血症了。。。            
(4星)	 那会儿真是爱透那一双俊男美女了啊！！！            
(3星)	 哦 MY 邋遢大王。。            
(3星)	 当年的李小璐很可爱，可是当年最喜欢的还是张延啊~~ 怎么会这么美~~            
(3星)	 &lt;那么骄傲&gt;            
(NA)	 我以前看这个还笑到岔气呢             
(5星)	 很好看啊            
(5星)	 第一部偶像剧            
(3星)	 李小璐超可爱~            
(3星)	 制服！制服！            
(4星)	 曾经很迷恋呢~~很嫩的时候！            
(1星)	 人不十三枉少年            
(4星)	 歌超爱。当时觉得李小璐特好看            
(4星)	   还可以的内地偶像剧            
(4星)	 当年看得那个迷啊            
(3星)	 李小璐嗲。            
(5星)	 那是觉得李小璐特漂亮            
(3星)	 后来看情深深雨蒙蒙，一唱到那句车如流水马如龙还是条件反射的想到这里面的马如龙            
(3星)	 是看过            
(5星)	 11岁喜欢……            
(NA)	 那会还特喜欢李小璐呢吧。。现在。。变了 变了。            
(4星)	 算是 国内偶像剧的鼻祖么            
(3星)	 我一直纳闷既然林小如晕血，那她作为一个女人要如何面对每个月找上门的大姨妈？            
(5星)	 好歹也是国产偶像剧的鼻祖了 且不像硫酸雨那么不招人待见            
(4星)	 已经十年了，当年的热门.            
(4星)	 初中记忆。。            
(3星)	 李小璐貌似很适合演这种~            
(5星)	 很喜欢张延的～～            
(2星)	 胡闹            
(3星)	 小时候看了多少遍都不烦            
(NA)	 算是早期偶像剧了吧，当时也很追，里面有个音乐是金海心的《那么骄傲》。当时觉得好看的不得了            
(3星)	 那时候最喜欢吃饭的时候看了            
(3星)	 所谓偶像剧吧。            
(3星)	 被电视剧浪费时间的人生            
(5星)	 当时神迷 任泉哇 李小璐也好漂亮            
(5星)	 八年前，和爸爸一起看帮好朋友藏着的VCD，爸爸说：邵剑波真傻，放弃蔡美云选择了林小如就意味了选择了一条艰难的人生路......            
(4星)	 应该是我看过的唯一的偶像剧了吧~~那时候觉得任泉真帅啊，很青涩腼腆，正是那时候的我喜欢的样子~            
(3星)	 记着她自己给自己扎针 勇猛            
(NA)	 那个纯啊            
(3星)	 那时候的张延，那气场。。。额。            
(NA)	 对佟大为的爱始于此，止于奋斗。            
(5星)	 什么时候喜欢什么样的            
(3星)	 純            
(3星)	 小时候看的挺高兴的=A=            
(3星)	 小璐还是挺括奈的            
(5星)	 当年我那么喜欢李小璐任泉啊            
(NA)	 特别讨厌这里的李小璐，这里的张延真的特别丑。            
(4星)	 小时候觉得任泉和李小璐真配啊...            
(3星)	 哎呀，真的是好多年前看的了，而且是全家一起看的……我爸我妈都很喜欢小璐，而我迷了那时的任泉好一阵呢~            
(NA)	 那时候挺纯的一部            
(4星)	 任泉在这里好帅。            
(NA)	 什么年代的事= =            
(5星)	 当时很爱看 真的 那么骄傲~~            
(4星)	 以前很喜欢看的            
(3星)	 那时觉得最浪漫的事是一瓶酸奶上有两根吸管~            
(3星)	 好像是初中看的 主题曲红遍了大江南北            
(3星)	 很闹腾！~            
(4星)	 那个时候真的好喜欢这部电视剧            
(4星)	 大概是初中的时候看的吧每集都不错过呢..想想看小时候的国产片还是满好的            
(4星)	 不错，不错，初中时的美好记忆。            
(NA)	 应该没有全看吧…            
(2星)	 貌似红了的是金海心            
(4星)	 在当时，是很不错了。            
(4星)	 一群人出道之作            
(1星)	 要是有半星就好了            
(3星)	 当时同学都爱看。哈哈。            
(NA)	 从第一集跟着电台规律地看到最后一集。            
(NA)	 我只记得李小璐的O型腿了 透过护士服            
(4星)	 那时我觉得任泉好帅，哈哈。            
(4星)	 不错...            
(4星)	 当时觉得任泉很帅            
(NA)	 好老的了            
(3星)	 片头曲甚是搞笑            
(3星)	 很狗血但当年看的有滋有味会唱主题曲的爱情片……            
(4星)	 很多年前            
(5星)	 看了N遍了吧            
(3星)	 我记得当时好像还很爱呢~            
(5星)	  电视剧 李小璐 任泉 都是天使惹的祸 大陆 爱情             
(NA)	 我不喜欢李            
(3星)	 迷上天使            
(4星)	 男女主角都喜欢            
(4星)	 花痴任泉的阶段看得 很青春得一个剧 也挺逗的 李小璐较比可爱恩 主题曲很好听 金海心的那么骄傲            
(5星)	 初中时挚爱的电视剧            
(4星)	 喜欢任泉跟李小璐的组合~            
(5星)	 嘿嘿 喜欢这一对            
(5星)	 曾几何时的回忆..和感动~            
(3星)	 個小白臉~            
(4星)	 金海心的片头曲配的真好李小璐也是美少女一枚张延那时就不是大红，后来更不红了            
(4星)	 为了李小璐            
(3星)	 我發現我是什麽電視劇都看啊，無聊            
(4星)	 话说，任泉还是很帅的。 主题曲不错。            
(3星)	 觉得张延很多余。。            
(4星)	 那时候一直分不清楚李小璐和周迅            
(4星)	 很喜歡主角            
(5星)	 你放心吧``我要娶她的``            
(3星)	 李小璐非常有爱            
(3星)	 比较早的偶像剧吧前几天看 觉得有些受不了             
(5星)	 那会儿就唉佟大为哈哈他胖了不好看了            
(NA)	 哎呀那时候的李小璐还冒可爱的            
(4星)	 好怀旧。。。            
(3星)	 k。。那个年代。。我还年轻的很。。瓦咔咔～            
(3星)	 在依钦家，好多小孩，当时是不是觉得挺好看的呢？            
(4星)	 任泉和李小璐不错的演绎，从来没觉得美云好看，况且波波和她在一起太压抑了            
(5星)	 曾经为了看大结局期末考试都迟到了            
(1星)	 我为什么会看，一定是傻了...勉强那半颗给张延吧            
(5星)	 99年看的，真的很好看            
(3星)	 小时候还蛮红的剧,尤其是金海星的那么骄傲特红....            
(NA)	 多少年前的事儿了嚛。            
(NA)	 很久之前好像蛮喜欢。            
(4星)	 很轻快的剧情，很现代的题材            
(3星)	 哪有得着好处就踹了人家的……            
(4星)	 算是国产青春剧里比较好的了，有点笨手笨脚但心地纯良非常努力，可爱不做作的小护士            
(3星)	 国产偶像剧...            
(4星)	 初中时看的了            
(NA)	 那时候觉得李小璐好乖啊            
(3星)	 我怎么连这都看过.嘻嘻            
(4星)	 很长一段时间内晚饭的佐餐物。            
(5星)	 红了任泉和李小璐，还有那首歌《那么骄傲》            
(4星)	 以前也好喜欢这部片,喜欢里边的李小璐            
(4星)	 呵呵，当时还每天等着看呢。            
(3星)	 我以前这叫喜欢李小璐，简直是可爱的典范。现在也依旧是这个戏路。但本人似乎老是表现的挺沉稳……            
(3星)	 小纯片子~            
(3星)	 在上小学吗？那时候的日子过得……            
(3星)	 那时候还挺迷的            
(NA)	 有很多我觉得没劲的片子却火了……            
(4星)	 很久很久以前看过的了 算是经典的国产偶像剧了~            
(4星)	 李小璐真可爱。            
(3星)	 看这片子的时候我还没学医            
(5星)	 我很小就喜欢看这些东西了。            
(4星)	 李小璐还是蛮可爱的嘛～还记得每集结束的时候她在窗口大喊的画面            
(3星)	 李小璐很可爱~            
(4星)	 记得当年我很喜欢看的咧...喜欢李小璐~            
(2星)	 ..            
(4星)	 好看            
(NA)	 超好看！清纯的李小璐，憨厚的佟大为！哦也！            
(3星)	 任泉和李小璐出名了。            
(3星)	 其实八、还可以            
(4星)	 嘻嘻            
(4星)	 超爱李小璐！            
(3星)	 可爱的小璐~~            
(NA)	 当初蛮喜欢~            
(NA)	 你也太天真可爱了吧。            
(3星)	 那个年代的大陆偶像剧啊。。            
(5星)	 都是天使惹的祸            
(NA)	 不得不承认，小时候确实看过这个。。            
(NA)	 小护士的曲折爱情故事            
(2星)	 超傻的电视剧            
(4星)	 记得那时候看觉得很搞笑            
(4星)	 现在看来也许演技有点硬，但当初是超爱            
(3星)	 好像是看了这个就喜欢李小璐了，那时候多年轻啊。我一直觉得她比周迅好。俩配角倒是很倒我胃口。            
(5星)	 这部恐怕才是大陆偶像剧里水平最高的。            
(5星)	 好歹当年也看的欢实！            
(2星)	 闹吧 就            
(3星)	 都是天使惹的祸             
(3星)	 那时我还小 李小璐也很小～～            
(5星)	 初生念头            
(3星)	 波波啊            
(3星)	 这里的任泉让我刮目相看            
(3星)	 李小璐太可爱了            
(4星)	 因为这个喜欢上李小璐            
(3星)	 初中看的             
(2星)	 很久以前的李小璐，我当时觉得她老漂亮了，任泉老帅了，现在俩人都不咋地··            
(3星)	 怕血要喝番茄汁。那个叫马如龙的很搞笑            
(NA)	 当时疯狂喜欢任泉            
(5星)	 哈哈哈 二燕！！！            
(5星)	 认识了李小璐。。。            
(NA)	 张延貌似不会演戏            
(NA)	 内地剧真的不能看.            
(3星)	 雷剧            
(4星)	 第一次知道李小璐~            
(NA)	 李小璐拍的最好的电视剧。            
(3星)	 傻了吧唧的            
(NA)	 大陆偶像剧 还好啦            
(3星)	 以前觉得任泉很帅的类            
(2星)	 越来越讨厌肥皂剧，特别是青春的，特别是爱情的            
