http://movie.douban.com/subject/5975317/	钱多多嫁人记
(3星)	 乐死我了，因为里面的雷点太多。。。这个剧本本身就很小白，又是在广告时间插播电视剧，一集15min不到，除去片头片尾和广告正经的剧不超过10min，彻头彻尾的快餐剧。三星给刘涛和陈楚河~~            
(3星)	 陈楚河            
(NA)	 话说，这个结构有点问题，有点汽车转弯的镜头，重复无数次，要不要这么省钱啊            
(4星)	 还行的呀，怎么分这么低。。。对陈楚河卖萌不免疫啊，刘涛演技很好，导演能力不行，            
(1星)	 我就喜欢丫的名字，没别的意思            
(3星)	 有些浮夸咯。            
(2星)	 看了一半，实在是看不下去，弃之。            
(3星)	 演员养眼，剧情残废。            
(4星)	 张馨予长得蛮漂亮的            
(2星)	 看了几集才发现原来看过小说的。有够狗血的，男主个面瘫啊！            
(2星)	 寝室集体观看 我们是有多无聊==  无力            
(3星)	 意外地看到孙艺洲            
(4星)	 不错，我喜欢的演员            
(3星)	 虽然演员也是我喜欢的 但是看过书的话 就接受无能了啊            
(3星)	 好奇特 ，太短了吧，一集才15min            
(1星)	 每一集都很短，虽然男女主演都很养眼，但是整个故事太散，并且没有把上海应有的气质拍出来。更多的就不值得提了。            
(2星)	 ！！！ 全是广告            
(3星)	 欢乐地小短剧，有时拖沓，有时却过于简单~~矮油，还不就是就为了看陈楚河的美色嘛~            
(NA)	 看的是话剧，纪念下            
(3星)	 制作啊，太粗糙了。            
(3星)	 网剧            
(1星)	 尼玛还有比这更扯蛋的电视剧吗？？？！！！            
(1星)	 还能再烂一点么~啊~            
(3星)	 除了男女主角，其他人物都给改的差不多了。在我看来，冲突和矛盾更少了。。            
(3星)	 每天看十分钟的话……感觉还不错            
(3星)	 有点假诶，宏宏的插曲加一星！            
(1星)	 刘涛来捣乱的吧~糟蹋原著的一塌糊涂            
(3星)	 好短的剧情，还行吧，，            
(3星)	 肥皂剧咯            
(3星)	 一颗星给原著，但是编剧你真的让我失望死了。一颗星给整个剧，除了情节略混乱外，还是有优点的，比如演员其实选的还不错，当然人设除外。一颗星给陈楚河，没有他我也许不会坚持看完整部剧。剧情删改太厉害，我这个原著粉真的伤不起啊！不过每集十多分钟的设计还不错。            
(4星)	 模式挺新颖.            
(5星)	 太搞笑了都~~~            
(NA)	 这么短小还有片头片尾曲   ==#            
(3星)	 消磨时间的工具磨牙的食品            
(NA)	 刘涛这是怎么了，第四集许飞空降加上后面厕所那一段演得也太表面了吧，内心戏呢？！            
(NA)	 广告植入还是比较生硬，特别是正上方出现的banner和右下角突然出现的方框。            
(2星)	 粗制滥造的感觉，服装、场地、音效、视觉、陈的演技都有点弱            
(NA)	 唯一可以看下去的原因：每集只有十分钟多一点点啊，剧本真的太水了            
(4星)	 不错 ~   忠实于原著            
(3星)	 很短很省时 适合坐半个小时地铁上班的人 下载到itouch或者ipad里在路上看            
(4星)	 只能说 一集好短 - -            
(4星)	 看过书还可以，            
(2星)	 太可怕了！浮夸的演技太可怕了！这样的叶明申太可怕了！我们那个风度翩翩的教授哪里去了……            
(4星)	 短小，不拖沓，劇情還行~            
(3星)	 期待话剧版，，，            
(3星)	 比较温馨，职场女性和全职太太，各种活法            
(3星)	 蛮搞笑的轻喜剧            
(3星)	 太扯了。            
(3星)	 整个一广告剧            
(3星)	 还行  看书的话 更有内容            
(2星)	 刘涛确实漂亮，剧确实拍得劣质。            
(4星)	 2011-4-7            
(3星)	 太短了点。感觉张馨予挺漂亮滴啊。不过还是小说更有意思            
(3星)	 后半段总是自动联想到杜拉拉，可是和杜拉拉比起来这里面的人事调动简直和过家家一样。            
(1星)	 一星给涛姐~~~            
(3星)	 消遣            
(2星)	 为什么要拍电视剧？！为什么要找刘涛？！我去啊！！！            
(1星)	 男主角太恶心。            
(3星)	 我到底是看没看书啊？？10分钟一集的电视剧我能说什么啊..            
(4星)	 此剧中没有一个演员我不待见的啊，人间能有几回闻？所以四星必须给啊            
(4星)	 话说以及只有十几分钟也太少了吧            
(NA)	 虽然很多的确很现实 这样的感情依旧太戏剧了 不是现实生活中的版本            
(4星)	 涛姐也是个气场很大的女人，嗯，大气~~            
(4星)	 哈哈 又追完一部 比较喜欢老牛那对 唉 蒋依依太爽了 这么奢侈的生活 唉 我是没戏了 没那资本 奢望啊&gt;&lt;            
