http://movie.douban.com/subject/2995180/	名扬花鼓
(4星)	 剧情很老套，我居然还买过剧本来看＝ ＝。为了陈坤的颜，为了那些闪光的配角，四星。            
(3星)	 恶搞啊            
(3星)	 当初很喜欢看的，很羡慕那种名扬与花鼓之间的感情，但更想花鼓与男配在一起，哈哈            
(3星)	 好像大概这个时候我就掌握遥控器主动权啦？！那会儿老爸都抢不过我的说- -            
(5星)	 每个细节都很烂，但是就是喜欢看= =            
(3星)	 很可愛            
(2星)	 中央台演过吧。。。            
(3星)	 还可以吧 曾宝仪 演的还行            
(3星)	 看不下去            
(3星)	 哈哈 这个都能在豆瓣被我找到            
(4星)	 小时候可喜欢看这个了。            
(5星)	 名扬我为你倾倒            
(4星)	 小时候很喜欢的说啊            
(3星)	 原来我还看过这个的。            
(2星)	 陈坤的古装扮相真是丑啊。。            
(4星)	 曾经一度迷了很久            
(3星)	 CCTV8，我能说陈坤不适合古装么= =            
(2星)	 不提就忘了..            
(3星)	 记得当时很喜欢陈坤            
(NA)	 当时很喜欢曾宝仪和陈坤。现在也不讨厌            
(3星)	 那首歌我会唱！！！！！！擦……            
(4星)	 名扬大赞~            
(3星)	 为了坤儿~            
(3星)	 还好，还能看……            
(NA)	 瞎！曾宝仪你个色女爱上陈坤自己投资写的剧本吧！小帅虎你野禽吃多了吧！胖成这样还敢自称小张国荣！我记得还有一个老爱装病的女二号长得那么路人甲屎也不给你吃！世界就是这么残酷的！呸～当时陈坤真的只有一个表情----&gt;就是一个眉毛高一个眉毛低然后瞇着眼睛各种迷茫状 哼～连我妈都吃这套！            
(3星)	 那一双雷人的皮凉鞋。。。            
(5星)	 看过很多次 主要是中央8套它总放            
(5星)	 很喜欢。            
(5星)	 小时候常常追着看，哈哈            
(NA)	 小学的回忆啊~            
(2星)	 一边打游戏一边听的（奶奶在看）…            
(1星)	 戳瞎造型师的双眼            
(3星)	 怎么忘记加这个了            
(5星)	 好            
(5星)	 擦，评分这么低。。姐表示看一次哭一次= =            
(3星)	 我居然真的忘记标记这本了..当时为了名扬看得很认真..            
(4星)	 看过两遍，喜欢那个马管家，哈哈~            
(2星)	 什么剧情？            
(3星)	 电视上看看还行。。。            
(3星)	 喜欢阿宝。            
(3星)	 勾起回忆阿~            
(2星)	 占了人频道的时间，一群不认识的在电视上不知干嘛捏，不小心被俺看到了，没看完            
(2星)	 想笑。想不到陈坤当年还拍过这么挫的剧！            
(3星)	 曾宝仪的发型真是吐糟无力啊            
(3星)	 很小的时候看的。            
(4星)	 自此喜欢了阿宝一阵子~            
(4星)	 从此爱上陈坤            
(3星)	 陈坤穿的粉裙记忆尤新            
(3星)	 当时每天追着看            
(3星)	 奶奶喜欢陈坤            
(3星)	 其实高中那会看的时候老牵缠挂肚的，非得结尾曲唱完才踩着自行车飞快奔到学校上晚自习……囧            
(3星)	 这么熟的名字我居然一点都记不起来里面讲什么的            
(5星)	 很好看~名扬腼腆而帅气，花鼓善良而可爱~            
(5星)	 从N年前到现在看了三遍了。。。陈坤古装超级英俊哪。。。            
(5星)	 要西，我昨天才看了一下午这个..             
(3星)	 挑着看了些，剧情有些造作            
(3星)	 别怪我，当年看时，确实哭过。            
(3星)	 不喜欢曾宝仪            
(1星)	 这个造型，靠，这个女猪，靠            
(2星)	 一段时间内，甚至给了我中央八出品，必属烂片的印象            
(NA)	 3.5            
(1星)	 我好奇当时是怎么忍住看完了的。。。            
(4星)	 大明天下真真假假骨肉相残            
(3星)	 我...一点不想不承认加这部剧是因为赤裸裸赤裸裸而且还曾汹涌澎湃少女情节呢！            
(2星)	 女主角感觉不是很好~~~            
(4星)	 看过，可惜没看完。            
(3星)	 名扬花鼓~            
(3星)	 插曲记住了            
(3星)	 三星献给陈志朋            
(4星)	 当时超喜欢看。。            
(5星)	 因为一个朋友跟男主角同名，于是近来心血来潮又重温了一遍。最喜欢剧中男女主角互相斗嘴的情节，很有喜感。喜欢他们一个喊另一个死小子，另一个喊这个傻丫头，特别温馨。喜欢最后有情人终成眷属。越是长大，越是期待这种可遇而不可求、简单而长久的爱情。最后，希望我的朋友也可以遇到这样一位花鼓吧。            
(3星)	 这片后来走向狗血暗黑系，编剧一定是YY囚禁小说看多了。            
(3星)	 那时候喜欢            
(4星)	 我当年很喜欢！···            
(1星)	 今天在电视看到才记起这部雷片………………            
(3星)	 名扬很帅。            
(3星)	 某个暑假电视台一直播……无聊            
(3星)	 都要忘了所有的剧情了            
(NA)	 我啥都不记得了。就记得在同学家看到一半流了名列前十的大鼻血一场。            
(2星)	 陈坤挺帅的，不过那个片头片尾曲真是华丽丽的雷~            
(4星)	 还是很好看的爱情电影，明朝那点事儿，又一个新的故事            
(2星)	 旅社的晚上一个人有点无聊            
(2星)	 真的好烂 的烂片~            
(2星)	 雷又囧rz            
(3星)	 20            
(4星)	 一般电视剧元素都在里面了            
(2星)	 雷            
(4星)	 其实觉得这部剧里陈坤蛮帅~            
(1星)	 什么乱七八糟的            
(4星)	 陈坤发型不好看.哎,怎么能什么优点都落到了根正的二少爷身上            
(2星)	 连市长都对我说，曾宝仪是批了块破布就上阵哪。            
(NA)	 一群活闹鬼。            
(3星)	 看得真累            
(3星)	 曾经喜欢过这片            
(2星)	 囧囧有神            
(2星)	 只是因为陈坤所以看来，曾宝仪无爱            
(4星)	 很萌很可爱的戏……没办法，它满足了我最喜欢的吵着吵着就成的模式……            
(5星)	 很喜欢里面的陈坤和花鼓的角色            
(3星)	 嘿嘿曾宝仪真可爱啊            
(3星)	 早的我都不记得有这部电视剧了= =            
(2星)	 很囧的一个故事有点烂俗……唯一能记得的就是里面的花鼓戏            
(5星)	 好喜欢的            
(2星)	 无聊还有无趣            
(5星)	 N久以前的感动            
(4星)	 喜欢里面的凤阳花鼓            
(2星)	 不好看……            
(3星)	 花鼓真是可爱呆了 可惜  这个剧真的很囧            
(4星)	 我好喜欢看她的电视剧！这部片子我也很喜欢看哦！            
(3星)	 造型有点雷            
(3星)	 也就陈坤能看啦            
(4星)	 在清華那年下課就立刻飛車回去看它的重播，當時真的被陳坤美色所迷，戲裡面真的超深情的，不過現在不覺得了，我應該是被角色迷惑了而已....算是一個回憶            
(4星)	 陈志朋加分，帅哥养眼加分——我果然是个色女。。。曾经让我念念不忘的感情加分！            
