http://movie.douban.com/subject/1830590/	康熙王朝
(5星)	 珍惜苍天赐给我的金色的华年做人一地肝胆做人何惧艰险豪情不变年复一年做人有苦有甜善恶分开两边都为梦中的明天看铁蹄铮铮踏遍万里河山我站在风口浪尖紧握住日月旋转            
(5星)	 博尔济吉特绝对不可能自称孝庄            
(NA)	 朱艺丹的索尼演得太好了            
(NA)	 从初中到高中怎么样也看过好几遍了吧，大学以后一众寝室色女谈起此片都把重心压在宝日龙梅TX身上，于是给陈叔叔取了个非常彪悍滴外号：黄圈圈……            
(3星)	 够娱乐            
(3星)	 对剧本不太喜欢，对表演很赞！            
(NA)	 经典            
(1星)	 就是一大布景的小言呗~            
(NA)	 二月河驾驭历史的功夫了得            
(4星)	 对朱苏进的编剧能力还是肯定的            
(4星)	 小时候跟爷爷奶奶看电视剧。            
(3星)	 斯琴高娃经典演技。            
(4星)	 两大实力派啊。            
(NA)	 居然又看完了一遍，这编剧以为自己是拍言情片呢……真受不了。不过明叔还是那么那么拉风，永远支持明叔！            
(3星)	 当时觉得蓝齐儿嫁给葛尔丹简直无可接受，现在看来倒是平常了。葛尔丹还是摆在没有康熙狠            
(4星)	 道明哥威武            
(3星)	 如果男人掌握了话语权，牺牲者的角色必定是女人来承担！            
(5星)	 陈道明就是我心里的康熙啊~            
(5星)	 经典的经典。小时候追看的            
(3星)	 陈道明演的真烂            
(4星)	 看过雍正王朝再看这个就没感觉了            
(NA)	 小皇帝            
(3星)	 近些年的好电视剧了。            
(4星)	 向天再借五百年            
(5星)	 霸气            
(5星)	 多少无奈            
(5星)	 明叔乃就是个女王..            
(5星)	 那两首歌真是荡气回肠啊！！！            
(3星)	 太长了            
(5星)	 英明的君，孤独的王            
(5星)	 历史的长河~好吧，这样的帝王，太少。            
(5星)	 当作历史教程来看。            
(4星)	 陈道明，太男人了，斯琴高娃，太精湛了！            
(3星)	 看在陈道明的面子上            
(5星)	 很成功的电视剧集            
(NA)	 陈道明演的太喜欢了            
(4星)	 算是我最喜欢的历史剧了            
(5星)	 康熙，不愧为一代帝王。这部电视剧也算有那么些皇家气韵的。可能是先看过原著，反而比较欣赏伍次友、周培公的。            
(3星)	 话说偶喜欢过陈道明 汗            
(5星)	 太牛了            
(4星)	 斯琴高娃确实演得好。            
(5星)	 陈道明~这个男人有味道            
(5星)	 好就一个字啊            
(5星)	 不错             
(4星)	 喜欢看这些历史剧            
(4星)	 斯琴高娃趴在那张大地图上 找自己的故乡 科尔沁            
(5星)	 突然想起来好久之前看过的了。。。这部电视剧看了三遍。。            
(4星)	 道明叔！！！            
(3星)	 他一看就有宫廷气            
(5星)	 我只记得皇上说世界上没有什么事会比收复台湾更难的了。后来我收复了他。            
(2星)	 ★★☆  难怪这么雷，原来编剧里有朱苏进老师啊            
(5星)	 正大光明。            
(NA)	 湖南卫视居然在放，那就回顾好了            
(5星)	 陈道明啊陈道明 内地唯一一个可以列入我的LIST里面的男演员            
(5星)	 最爱            
(5星)	 不解释！            
(5星)	 台词真的很精彩            
(5星)	 我还真是有耐性啊！道明蜀暑举手投足，哪哪都透着一种范儿。            
(5星)	 真是超爱看~            
(5星)	 好剧本。。好演员~            
(5星)	 电视里播就又看了看 万看不厌            
(3星)	 最后的结局是败笔，导演你激情泛滥也不用拍得这么离谱吧，康熙坐在龙椅上死了，手里还握着圣旨不肯松手这个镜头的寓意我们都领会了，，，可是这颗老鼠屎一般的桥段彻底的恶心到我了，，，，荡气回肠是荡气回肠，，导演麻烦你下次克制点好不好，，，            
(NA)	 初二那年生病每天晚上去医院一边打针一边看，后来大学一次生病想起又挖出来看了一遍。            
(4星)	 也就历史剧可以看看了，虽然剧多了点，历史少了点            
(5星)	 陈叔叔太萌了~~~~~~~            
(5星)	 超爱这部的            
(5星)	 康熙那么有范儿取决于陈道明那么有范儿            
(5星)	 道明叔叔~            
(4星)	 戏是好戏 不是历史            
(4星)	 小时候那个崇拜呀            
(4星)	 明叔~你真的好萌~打滚。。。又，咱觉得康熙比雍正好看，没那么苦逼。。。但是感觉雍正比康熙的剧本牛逼。。。=-=~            
(NA)	 我高考的前一天晚上还在看，哈哈！            
(3星)	 再活五百年            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 陈道明演技了得啊～            
(NA)	 陈道明太有范儿了……            
(4星)	 再活500年            
(4星)	 陈道明气势很足，但他演什么都像演舞台剧            
(5星)	 大陆宫廷剧最高峰。            
(5星)	 上初中以后唯一一部完整的看过N遍的国产电视剧~~~            
(4星)	 斯琴高娃很像满族妇女。            
(5星)	 这个还就真的很爱看，陈道明演技真棒！！            
(5星)	 ！！！我小学时的大爱啊大爱。。。            
(5星)	 初三每天晚上跟外婆一起看一集，好温馨好有爱            
(NA)	 喜欢斯琴高娃那声音            
(5星)	 明叔┭┮﹏┭┮             
(4星)	 我和妈妈爱大叔道明·····            
(5星)	 虽然觉得没有雍正王朝好，不过也很爱。陈道明帅啊。。。            
(4星)	 好像看过            
(4星)	 陈总的那个气场啊……            
(5星)	 因为这片子大爱陈道明！            
(NA)	 斯琴高娃真是老戏骨            
(5星)	 算是很经典的连续剧，大爱陈道明～～            
(4星)	 陪我度过高考            
(5星)	 高处不胜寒。            
(5星)	 超爱道明兄的气场。            
(4星)	 这种水准的大制作电视剧确实不多。。             
(5星)	 我最喜欢来！看了3遍来！。。。            
(NA)	 很好            
(5星)	 又一部初中时候每天追着看的……            
(3星)	 当时觉得还是不错的            
(4星)	 漏洞百出~~~~            
(5星)	 话说我觉得陈道明演技超赞哎~            
(5星)	 我没事的看了好几遍!~!            
(NA)	 我最崇拜的皇帝之二            
(4星)	 国产中算不错的~陈道明和斯琴高娃的演技太好了~            
(4星)	 为什么他会舍得废掉容妃，因为他只爱自己，不爱任何人            
(3星)	 我对编剧有意见，众阿哥争皇位也是重点嘛，怎么就写了两个儿子。            
(3星)	 年少回忆。            
(4星)	 现在突然重新看，一边看一遍挑错。。。只能说是部好电视剧。            
(5星)	 好片子 一定要看            
(5星)	 “我还想再活五百年！”            
(5星)	 那时候不作作业也要看 让天再看五百年！            
(4星)	 我看了四遍，囧~里面的小康熙好萌的说。            
(5星)	 好！            
(5星)	   比较有内涵的一部            
(3星)	 还可以...            
(4星)	 硬伤是不可避免的不过它的一大收获是 晋江上开始的清朝康熙年间的穿越风 大约是编剧和陈道明始料不及的            
(5星)	 看连载不过瘾买书看，还不过瘾，买碟看了三四遍            
(5星)	 鞑子三部曲中算比较过得去的            
(5星)	 嫁人当嫁陈道明            
(3星)	 陈道明正直的那一句“xx，是你强暴了朕啊！”把我雷翻了！            
(NA)	 经典呐。            
(3星)	 明叔，光艳照人的明叔            
(5星)	 我爱那个少年皇帝            
(4星)	 讨厌张俊以，虽然这个词还可以            
(5星)	 康熙。            
(5星)	 陈道明就是保障，看几遍都好看            
(3星)	 我还是比较喜欢斯琴高娃的            
(4星)	 经典的一部 要好好看            
(5星)	 全家都爱看么~            
(5星)	 实在太好看了            
(5星)	 陈道明是个男子            
(5星)	 ～那时候啊～整个一电视剧狂～            
(4星)	 千古一帝            
(5星)	 经典之作            
(5星)	 陈道明啊 你个小眼男人怎么就那么迷人呢！史上最伟大的皇帝太适合你~            
(5星)	 最早看的时候那个震撼啊。。。。            
(5星)	 当年追看的            
(4星)	 很喜欢这部片子，陈道明的演技确实是很强。            
(5星)	 二月河写得好演员演的也好音乐也很好总之很出色的一部史剧最近又看了一遍最后那几集真是太……就掉眼泪去了当皇帝，当个好皇帝，真的是太难太难……            
(3星)	 [昔日所看]            
(4星)	 大陆拍的不错的历史剧之一            
(NA)	 第一次认识陈道明            
(5星)	 也无限经典下去吧……            
(NA)	 陈道明啊~~~~~~~~~~~~~~~~            
(3星)	 值得鼓励，不如《大明王朝》            
(5星)	 大爱的历史剧            
(5星)	 陈道明 李建群            
(4星)	 向天再借500年。            
(3星)	 马马虎虎            
(5星)	 前两天还跟我娘说起来这部好片子~我爱蓝齐儿~            
(5星)	 大爱配乐            
(5星)	 演员真强            
(5星)	 陈道明演得太好了！            
(NA)	 康熙王朝            
(5星)	 最赞的是封面俩人的演技，最喜欢的是蓝齐儿，最无奈心疼的是容妃            
(3星)	 父母推荐，不得不看            
(NA)	 耶耶耶··陈道明很帅            
(4星)	 一部难得的按历史去演的历史戏            
(5星)	 陈道明叔叔~您太伟大了！            
(4星)	 那时候很流行~            
(3星)	 一些内容不符合历史。孝庄，苏麻喇姑，荣妃等女人的戏过多。每次听到斯琴高娃说“我孝庄”时就恶心。            
(5星)	 喜欢斯琴高娃的表演            
(NA)	 。。。            
(5星)	 非常喜欢的一部电视剧~~            
(4星)	 很恢宏。喜欢大清时期的鼎盛。            
(NA)	 陈道明演得很好。巧的是以前老版的小开本高中历史书中国古代史部分里面有张康熙的插图，和陈还真有点像            
(4星)	 中国大陆            
(5星)	 两小无猜            
(5星)	 容妃和蓝齐儿太叫人心疼了...            
(5星)	 明叔            
(5星)	 虽然也有野史的成分，不过确实是近几年历史剧里的佼佼者。大概还是要归功于陈道明的演技。            
(5星)	 陈道明,司琴高娃的表演,可圈可点!            
(4星)	 学习李光地 清白到黑            
(4星)	 一个伟大的帝王的一生            
(4星)	 电视剧  陈道明  大陆  历史  康熙王朝  中国  连续剧  斯琴高娃            
(NA)	 帝王之道            
(4星)	 降为常在            
(NA)	 陈道明嫩不下去啊            
(5星)	 咳咳，这个是在电视机前……            
(NA)	 啊啊啊这个也好看！！我当年看的很入神！            
(5星)	 小时候心里无可挑剔的神剧！            
(5星)	 想再看一遍            
(5星)	 不可不看的历史正剧！虽然不知道其中有多少是编剧编的（边看有边百度某些人物，度叔表示没有），但受教了，各种道。            
(4星)	 我真的好像再活五百年！！！！ 歌声饶耳，三百年不绝啊。            
(3星)	 当初因为陈道明而看的            
(5星)	 陈道明是最帅的蜀黍，冲这个打五星行不行啊！行不行啊！纳尼？！不行？！小心宝日龙梅强暴你们这些不打五星的人...咳咳，正经的说，这部剧史实漏洞很多，但我还是喜欢...对比当下的那些剧，这个剧五星有意见么！            
(5星)	 好喜欢道明叔叔            
(5星)	 回忆哇= =            
(4星)	 道明哥巨帅无比            
(5星)	 瞎看呗...            
(5星)	 “我真的还想 再 活 五 百 年 ！！！”  = 。=            
(4星)	 陈道明啊，戏骨，其实不大喜欢这里面的他            
(5星)	 都是戏骨戏精啊！！！            
(NA)	 哦！我只是想说我好喜欢道明叔？！！！啊啊啊道明叔好帅！！！【←NC请退散！            
(3星)	 3颗星，给里面的老戏骨，非康熙的饰演者。皇帝就是个屠夫啊！~            
(4星)	 明……明叔（¯﹃¯）            
(5星)	 经典！！！！！            
(4星)	 不多的可以看完的国产电视剧之一            
(5星)	 至今为止看过的最好看的历史剧。            
(5星)	 陈道明和斯琴高娃演的都很棒，尤其是中年康熙很有味道，各个配角也是很精彩            
(5星)	 这片当年我最喜欢了            
(4星)	 难得的历史剧，霸气的道明哥            
(4星)	 陈道明（¯﹃¯）            
(4星)	 比雍正王朝差好多了            
(5星)	 补            
(5星)	 是啊，，不是康熙太伟大，，和是道爷演技太高            
(5星)	 就算修改点历史骗一哈观众也认了。            
(5星)	 叔啊...            
(5星)	 喜歡那個年輕的康熙，很有靈氣。。            
(2星)	 宝日龙梅你强暴了朕。。。。            
(4星)	 教会一个男人成长的最好教材。。。。            
(5星)	 很大气            
(4星)	 宝日，是你强暴了朕啊            
(5星)	 无论这部片子宣扬主题怎样，当年和爸爸妈妈一起看的时候，完全属于自我沦陷的状态。            
(5星)	 陈道明太帅了。。            
(5星)	 重温后发现还是很赞……            
(5星)	 好片子,&#34;我真的还想再活五百年&#34;            
(5星)	 大男人不好做，再辛苦也不說。            
(5星)	 陈道明同志你一人就值所有星啊！但最后移情别恋给我的心灵留下了创伤啊！！！            
(5星)	 以前每次放学回家都要看.. 特别喜欢片尾曲..            
(5星)	 陈大叔，我爱你。。。            
(5星)	 康熙是我的小偶像~             
(5星)	 此片就跟大明宫词在我心目中的地位一样，无论多少遍都不会厌烦。陈道明和斯琴高娃简直演活了康熙和孝庄。最爱康熙和苏麻的对手戏。            
(5星)	 补上拖了十年的历史课帝王之道实为御人之术            
(5星)	 小时候守着CCTV1看完的            
(5星)	 小一点的时候看过都觉得好看死了            
(4星)	 我爹的最爱            
(3星)	 其实这个剧被改得真的跟小说没什么关系了，作为古装戏说剧来说还算是不错，但是跟原著比真的难看了很多~            
(4星)	 跟我爸一起看的 他很爱            
(5星)	 是你强暴了朕啊 囧 =，=            
(4星)	 成功把满清塑造成中华正室            
(5星)	 神作，童年的美好回忆，斯琴高娃演技太给力了，你明知道她是话剧腔，但就是不由自主被吸引            
(5星)	 很喜欢小时候的康熙～            
(NA)	 我在东园打发时间竟然一集一集看完了。            
(NA)	 最近对清史很着迷、、            
(3星)	 其实我觉得歌更出色。            
(5星)	 我真的还想再活五百年~~~            
(5星)	 看了无数遍，从哪里都可以看            
(5星)	 童年的回忆            
(5星)	 毫无疑问的五颗星。“我真的还想再活五百年~~~！”每次听到这首歌就会很激动。谁比陈道明更会演戏？还有，斯琴高娃也很牛掰啊。这个戏里个个都有戏，容妃，苏嘛拉姑，都好喜欢的。。            
(5星)	 绝对经典            
(NA)	 我真的还想再活五百年。            
(4星)	 不如小说精彩，演员很不错。至于对历史的忠诚度还真不如《鹿鼎记》            
(5星)	 孝庄是我的偶像啊！            
(4星)	 再好的年华，也就是南柯一梦。            
(3星)	 就冲陈道明了            
(5星)	 当时用了两天时间把它看完了。这是一段经典的历史。            
(5星)	 难得姐姐百看不厌的大陆片。            
(5星)	 超级喜欢呐！            
(5星)	 史诗巨作。。。            
(NA)	 再来个韦小宝就赞了            
(5星)	 演的真好。            
(5星)	 单纯为明叔给五星。。。            
(4星)	 高中最最喜欢的电视剧，看了两遍，最近老妈在重看，也跟着重温了一下，很赞啊！            
(NA)	 数遍              
(5星)	 第二遍，经典之作。            
(5星)	 爷爷喜欢 我也喜欢            
(5星)	 道明你亮了            
(5星)	 老太后演的好啊！！！！！！！            
(NA)	 我真的还想再活五百年～～            
(5星)	 特别怀念            
(5星)	 小时候很喜欢看，也是这电视剧让我喜欢陈道明的            
(NA)	 百看不厌            
(5星)	 2001 电视剧频道            
(5星)	 演员、表演、结构、情节，都很好            
(4星)	 中剧            
(4星)	 断断续续地看过了，只能说陈道明赞~！            
(4星)	 最爱容妃。所谓求全责备大概就是如此，给康剧打4星，缘于个别细节略有牵强之处，无他            
(5星)	 看他们把生活演成历史。喜欢苏麻，但依旧是牺牲品。再想想，难道孝庄就不是吗。            
(NA)	 陈道明真的素好帅！！！            
(4星)	 明叔...            
(NA)	 他是我看过的皇帝中演的最好的，有魄力，有帝王范儿            
(4星)	 我记得我觉得还行。哈哈            
(5星)	 反复看，只因陈道明            
(4星)	 我会是谁的蓝齐儿？            
(NA)	 孝莊教育玄燁時說，天塌地陷 巋然不動 日月星辰 唯我獨尊，這句我一直記著。            
(5星)	 那歌那个气势。            
(5星)	 我也可想再活250*2年            
(5星)	 强力推荐            
(4星)	 自古君王不好做啊            
(5星)	 不为啥，就为陈道明！            
(5星)	 人生一梦            
(4星)	 孤独的帝王,冷血的王朝.            
(4星)	 我很怀念康熙和苏马拉姑的那段情            
(5星)	 道明叔的发迹剧！~~            
(5星)	 百看不厌            
(5星)	 小学时候的片子，脑里就只记得陈道明==            
(4星)	 剧情编排紧凑，想当年，考研的当口，还是把整部都看完了            
(4星)	 史诗。            
(5星)	 我最爱的剧集！            
(4星)	 斯琴高娃演地真好呀            
(4星)	 演技啊！！            
(2星)	 大爛片，要不是明叔，要不是那句「寶日龍梅你強暴了朕」我連一星都不會給凸(_ _)凸            
(5星)	 道明叔叔是我的偶像~            
(NA)	 我怎么看了这么部片子            
(5星)	 “你这是强暴了朕那.”   道明叔是我少年的挚爱            
(4星)	 从此迷上了韩磊&amp;陈道明            
(5星)	 再看第二遍 经典            
(5星)	 陳道明帥的一米啊！            
(4星)	 比较好的介绍片            
(5星)	 就为陈道明            
(5星)	 我发现爱新觉罗·玄烨本尊和陈道明都是金牛座的!......打开地图一刹那的磅礴大气, 康乾盛世啊.            
(5星)	 姐拉着看完的正剧，很好很强大，最爱苏麻，似乎不管什么片里面这个角色都坚强美好。凡人的一生是故事一篇，伟人的一生是传奇一本，帝王的一生则是史书一段，遥想自己一生，但愿不是笑话一则。            
(4星)	 高中时代仅有的一些乐趣·····            
(5星)	 陈道明和斯琴高娃这俩演员绝对是挑对了……            
(5星)	 没说的，明叔的戏。            
(5星)	 也只有大陆拍的出磅礴的历史大剧            
(5星)	 最爱康熙～～～～            
(5星)	 陈道明是我梦中情人            
(5星)	 印象中最棒的历史剧            
(5星)	 经典~            
(4星)	 陈道明~康熙~            
(5星)	 二月河大人揭开了穿清的时代啊~大爱陈道明！            
(5星)	 啊呀  大陆古装精品            
(4星)	 初二。记得蓝旗儿很漂亮。            
(5星)	 陈道明，男人            
(5星)	 经典。宝日龙梅那一出。也经典。从此毁了陈道明在我心中的高大形象……            
(NA)	 明叔！            
(4星)	 陈道明哈帅~            
(4星)	 大陆只有这种剧好看些。            
(NA)	 我好像是喜欢小皇帝的年代            
(4星)	 7/10            
(4星)	 功过千秋。陈道明的表演很赞。            
(5星)	 高中的美好回忆，每天下午课外活动时间一起在教室里看。            
(4星)	 啊道叔啊道叔！            
(4星)	 那个年代很喜欢的古装剧            
(5星)	 龙梅，是你强暴了朕啊！            
(5星)	 我还想再活五百年.那时超爱看.觉得陈道明演得相当有腔调.            
(5星)	 陈道明是当时心中的完美男人....            
(4星)	 啊            
(4星)	 看了很多遍咯。            
(5星)	 喜欢陈道明！            
(NA)	 陈道明的康熙简直绝了，有人说神化了清朝，神化就神化呗，这只是一个人物，我可记得小时候看的时候可崇拜死了，那就是气场啊，挖哈哈，还有斯琴高娃！奇了，这简直是一部高质量的完整好片，里面的很多角色扮演着都很出色，几乎每个角色都是一个完整的故事！灰常灰常经典，恩！！            
(5星)	 我依然能记得早上7点爬起来看这个电视的情景.            
(5星)	 我真的还想再活五百年。。啧啧，那气势。。康熙跟那个小美女打野战的部分尺度还真是大。。。            
(5星)	 不知道为什么，我对最后几集记忆尤深            
(NA)	 啊。。。明叔。。。            
(5星)	 我爸的最爱。            
(4星)	 总觉得这片子的演员表演方式太做作            
(3星)	 差雍正王朝远矣            
(NA)	 有效的帮助了我学习早清的历史，我可以牛逼烘烘地报出一堆满人名字。            
(5星)	 康熙 牛逼            
(5星)	 明叔的朗诵功力啊我真觉得无人能及了。。            
(5星)	 电视剧能如此者不多            
(5星)	 自古以来将相王朝都是高处不胜寒~最后的3集很好看~虽然和历史有点出处的~            
(NA)	 好            
(4星)	 演的的确很好。            
(5星)	 虽然有一些历史错误，但还是好剧            
(3星)	 片头曲那叫一个气势啊。什么在给我五百年。            
(5星)	 陈道明            
(5星)	 看过好几遍了~~            
(NA)	 陈道民的厚重深邃，演绎康熙恰当好处，喜欢他。            
(NA)	 喜欢陈道明   喜欢他身上的霸气             
(4星)	 穿越的老祖            
(5星)	 这是我最喜欢的历史剧！            
(5星)	 大男人那首歌……            
(5星)	 陈道明+斯琴高娃。            
(4星)	 气场..............            
(5星)	 珍惜上天赐给我的金色的年华。康熙这一辈子真没白活。            
(5星)	 陈道明其实也是一不错的叔叔            
(5星)	 内容上有点错误。            
(NA)	 早了            
(3星)	 史实性错误挺多的，但拍得很好看。            
(5星)	 最爱孝庄，康熙，千古一帝~            
(5星)	 为了明叔，给五星            
(5星)	 男人是事业和性。女人是家庭和“事业”。如果这一生你注定的战役又多又苦，那么你必须制服自己才能制服敌人！            
(4星)	 书更加好看！            
(4星)	 挺逼真~~~            
(4星)	 很赞的陈道明            
(NA)	 忘了内容了不过小时候绝对看过            
(5星)	 最对得起历史的一部戏            
(4星)	 我觉得那几个演皇帝的小演员都比陈道明演得好            
(2星)	 “我孝庄”......寒啊            
(5星)	 啧啧啧。陈道明与斯琴高娃联袂主演。            
(5星)	 也是一部经典，可惜和大宅门撞在同一年了。。。            
(2星)	 糟蹋了二月河的小说            
(5星)	 我居然看了不下10次 = =            
(5星)	 最喜欢战鳌拜的那一段            
(5星)	 我不是电视迷但这是我百看不厌的电视！陈道明就是我心目中的康熙大帝！            
(5星)	 宝日龙梅，你强奸了朕！            
(4星)	 青年康熙~            
(5星)	 。总是喜欢这种题材的。。很喜欢片尾曲。~            
(5星)	 我的道明啊,,,哈哈            
(5星)	 陈道明好男人啊~~~~~            
(5星)	 陈道明和斯琴高娃的表演真是绝了            
(5星)	 陈道明精彩的表演，我很喜欢            
(4星)	 明叔！            
(4星)	 实力派            
(5星)	 陪父母看的历史剧            
(4星)	 千万不可以当历史看            
(5星)	 万里长城万里空，百世英雄百世梦。陈道明的康熙，斯琴高娃的孝庄，太棒了。            
(NA)	 陈道明演绝了~~~            
(5星)	 编剧演员都是一流的．            
(5星)	 大爱陈道明&amp;斯琴高娃……            
(NA)	 看过的为数不多的电视剧之一            
(4星)	 最爱道明            
(4星)	 一场游戏一场梦            
(4星)	 喜欢~因为那个刁毒老头姚启圣~            
(5星)	 爷们儿，人，活生生的人            
(4星)	 并不好历史剧这口，奇怪就是特别爱这部。            
(NA)	 接着大宅门，这部的斯琴高娃演过了            
(NA)	 帅到顶了            
(NA)	 陈道明的终极之作！            
(5星)	 初三的回忆~            
(5星)	 陈道明很有味道！            
(5星)	 看过无数遍。。            
(5星)	 陳道明的演出十分出彩。            
(5星)	 这么好看 无法言说的味道            
(4星)	 孝庄  康熙            
(NA)	 最爱的电视剧。实力的演员+实力的剧本。陈道明就是康熙，康熙就是陈道明。            
(5星)	 古装电视剧的经典,陈道明的演技相当牛逼,霸气十足,尤其是晚年的康熙,太神形兼备了!            
(5星)	 陈道明的皇帝，牛！            
(5星)	 大爱            
(5星)	 经典之作            
(4星)	 如今我看的电视剧不是斯琴高娃就是吕中的，甚为拥戴二位，都是历经沧海桑田、有权威的女人啊。            
(5星)	 记忆中的康熙大帝            
(5星)	 演技派~            
(5星)	 宏伟的史诗。            
(5星)	   结构宏大同时导演又拿捏表现得十分清晰生动，几乎每个演员都相当出色。            
(4星)	 飚戏啊            
(5星)	 经典的历史剧            
(5星)	 可是。孝庄皇后啊。。。            
(5星)	 也是个经典~喜欢陈道明的演绎~温文尔雅中又不失霸气~            
(4星)	 演技派啊            
(4星)	 赫舍里            
(5星)	 超级棒的历史剧            
(5星)	 我喜欢陈道明            
(4星)	 其实这部真的超级好看..现在还经常看的            
(5星)	 国产剧看得不多，但这部确实是难得的精品            
(5星)	 学到东西            
(4星)	 做皇帝就是要把人看的透透的            
(4星)	 我是很佩服康熙这个人物的。。。            
(3星)	 个人因素。不喜欢。            
(5星)	 拜各电视台所赐，看了至少3遍            
(5星)	 虽然有一些情节莫名其妙，连接不上，统一感完结性没有雍正王朝好，但陈道明的演技精湛，对原著复原性也很强            
(4星)	 陈道明一个字    帅             
(5星)	 王者也有着王者的无奈~~            
(5星)	 戏里戏外。那君王二字成就了几多雄才，却也禁了几多风流。            
(5星)	 高中还去拍了这海报            
(4星)	 书也同样好的            
(3星)	 陈道明很有行！            
(5星)	 明君是真他妈的重要啊            
(NA)	 还特意买了盘看可是又不想看了            
(4星)	 大爱，虽然硬伤太多~            
(4星)	 几个王朝中最好看也是最好的。            
(NA)	 除了陈道明比较耐看，还喜欢看容妃（李建群），悲情的人儿总是打动我的心。            
(NA)	 看着江山起起伏伏温柔的曲线...            
(5星)	 陈道明真是男人，霸气            
(3星)	 看到最后有点沉重，或许现实会更加沉重吧。陈道明演得很赞，常常想，孝庄生在清末会怎样？            
(5星)	 很喜欢的一部经典            
(5星)	 陈道明啊            
(NA)	 陈道明 内敛            
(5星)	 我看过的最好的古装历史电视剧~            
(3星)	 那时候觉得挺好            
(4星)	 总觉得中年康熙多了几分狡诈~            
(1星)	 为反动满清涂脂抹粉            
(NA)	  天地无数有情事，世间满眼无奈人。周培公            
(5星)	 帝王，孤家寡人的命            
(5星)	 对国家的责任感啊，以前的封建社会有，反而现在的官员们好像没这种东西了            
(5星)	 最爱看里边的斯琴高娃，觉得她说话都是那么有味道，实力演员啊，演什么都很好……            
(5星)	 可能是因为对康熙的个人崇拜 才使得我着迷于这部电视剧            
(4星)	 想再看一遍            
(5星)	 历史的巨作啊            
(NA)	 汉臣的下场不外如此啊            
(3星)	 不足雍正王朝多矣。            
(5星)	 最优秀的国产历史剧。。。            
(5星)	 历史剧是这样好看。            
(5星)	 苏麻            
(NA)	 苏麻～一种向往            
(4星)	 “我孝庄”哈哈哈哈            
(5星)	 就喜欢陈道明那味儿            
(NA)	 陈道明。。。。爱            
(NA)	 陈道明演得似乎好评如潮~            
(4星)	 初一，断腿时，卧病在床，看的。            
(5星)	 康熙王朝             
(5星)	 演员主持人作家政客，你会在他们之中找到像陈这样一批人。懂得自省与进步，读书，并且有其深爱的专门，有极端的个人魅力，个性与气质。陈的个人魅力表现在他外表的冷静霸气与内心的纠结内省，可生活中的人物个性，在舞台上也就呈现出七八分，那么生活中必须是有着十分个性的他们，必定因此承受更多疼痛            
(5星)	 清史经典历史题材电视剧，很值得一看            
(NA)	 陈道明不错~            
(5星)	 非常好看的一部作品            
(NA)	 陈道明。实力派就是实力派，有味道。            
(NA)	 我非常喜欢陈道明            
(4星)	 ,,            
(4星)	 陈道明真的非常帅。。            
(5星)	 大气            
(5星)	 当皇帝真不容易            
(4星)	 道明蜀黍            
(5星)	 好剧            
