http://movie.douban.com/subject/2119419/	我和僵尸有个约会1 我和僵尸有个约会I
(5星)	 相当风靡的童年记忆。凤凰剧场每晚8点一集，第2天就成了全班的讨论焦点。那会是小学五年级。            
(4星)	 小学五年级疯狂的迷恋            
(3星)	 长大一看。。。好假啊 囧            
(3星)	 那个时候还收得到卫视中文台。。。主题曲用电子琴也能弹出来，好听死了            
(4星)	 除了王珍珍我都喜欢。            
(5星)	 天平女+天蝎男+摩羯女+巨蟹男，双子男，天平女            
(3星)	 看过大概20集，我一直分不清1、2、3部。感觉这是一个彩片宣传片。            
(5星)	 我更喜欢第二部。当然第一部最经典            
(5星)	 我们那个时代也有吸血爱情哦~            
(5星)	 萬綺雯最萌陳啟泰最威            
(5星)	 临兵斗者皆阵列在前            
(3星)	 万绮雯的腿和杨恭如的脸。可惜穿越太多了点，肥皂了点。            
(5星)	 前几天重温了一遍，依然不错            
(4星)	 法海 VS 吸血鬼法海 VS 三只吸血鬼            
(5星)	 经典港剧僵尸片，但是和林正英系列又不一样，多了很多剧情和感情戏。好看到爆。。。            
(4星)	 后来看杜汶泽在微博上说，有一天拿着一根棍子就想起了万绮雯，就突然要泪奔了            
(4星)	 初一狂热过~后面几部都不得行  杜汶泽和日本女鬼那段最爱····            
(4星)	 暮光之城90年代中国版。杨恭如和万绮雯一比，显得真丑。万绮雯真好看啊，看起来特别舒适。            
(4星)	 好看            
(4星)	 我必须负责任的说一句：陈启泰在男猪脚的衬托下非常之帅！！！            
(5星)	 真的特别扯，白素贞都出来了，可是为什么这个好看！万绮雯为什么这么美！！            
(NA)	 补            
(4星)	 宿舍同学租回来的碟片，一集集看下去。话说，当时的同学都被万绮雯饰演的马小玲的腿迷住了，不过都是过去往事了。三星半。            
(3星)	 水当当的杜汶泽啊我记得            
(4星)	 抛开久远的年代和恶俗的服装不说，剧情真不错。因为一直猜不到结局。哈哈            
(4星)	 月亮一出 超能探長            
(5星)	 这么荒诞的故事，居然编得入情入理，情节永远总是出人意料，还经常有些小幽默，编剧真是个强大，完全游刃有余。            
(5星)	 超愛.            
(4星)	 这么多年再看，尹天照帅的让人心碎。。            
(5星)	 小时候的深夜里跟爸爸一起守着凤凰卫士看. 生怕插播个广告他就要催我睡觉.             
(4星)	 其实是在看状态 15            
(3星)	 很多地方很雷人，哈哈。            
(5星)	 小时候看的，当时很迷啊。喜欢万绮雯的角色，匡天佑也不错，大boss也很帅~            
(4星)	 初一 在东莞的回忆。。。            
(3星)	 中国香港            
(NA)	 都快把这么经典的片忘了 那时还是16寸的电视 为了看它和姥爷吵了最大的一次架            
(4星)	 童年回忆            
(NA)	 假如真的再有约会。。            
(5星)	 马小玲是我的完美情人            
(4星)	 多年前看的            
(5星)	 看看僵尸，感动常在。            
(5星)	 ！！！！！！！！！！！！！！！！            
(5星)	 历经10年的一部剧...小时候不知道怎么那么迷恋,现在再看还是迷恋!诛邪            
(5星)	 意外的非常好看。            
(5星)	 虽然拍得很虚幻很神话，但不得不感动。最后上天送给了天佑一个愿望，他们也许都不再记得，但是我看过、恋过，那些轰轰烈烈都不会泯灭。            
(4星)	 这部的况天佑扮相很干净，我喜欢。            
(NA)	 这个系列都看了！后面不添加了            
(5星)	 就爱那双腿~            
(NA)	 你在何处～马小玲～            
(4星)	 很多年前看的，最近又在看。            
(4星)	 當時迷的啊~~~            
(NA)	 好长。。。            
(4星)	 超级喜欢的到现在            
(5星)	 超越生命的爱            
(5星)	 經典，最經典            
(4星)	 马小玲的腿是童年美好记忆            
(5星)	 已经有点忘记1是什么样了 但是况天佑和马晓玲这个名字一直记在心中            
(5星)	 或早或晚，我们都会遇到那么一个人。如何呢？Waiting Bar,Forget Bar,还是……去你的吧            
(5星)	 马晓玲的大长腿            
(5星)	 一部很多年前的港剧，被我奉为经典。因为其内涵已经超过了该剧本身。            
(4星)	 馬小玲萬歲，尹天照去過我小學            
(NA)	 杨恭如真心讨人厌。            
(5星)	 印象深刻当年很爱            
(5星)	 经典            
(4星)	 给年幼的我留下了多少难以磨灭的恐怖回忆，现在的重口味估计从那时候就开始逐渐养成            
(5星)	 马小玲~~~~~            
(5星)	 对我来说 这不仅仅是一部电视剧  即使是十年后在看它。            
(3星)	 以前的特技真的，很好笑，那些鬼都是来搞笑的，看到第六集-----------------------前半部还行，自从青蛇白蛇出来后剧情开始越来越扯，后面更是在拖，后五集看不下去了，值得一题，山本一夫和况天佑居然变身龙王，呵呵...            
(5星)	 2011.11.23            
(4星)	 万绮雯的腿第一部！            
(NA)	 经典中的经典            
(3星)	 还好我小时候没有看过，不然会被吓死的。不明白为什么常年排在PPS的前几名。好奇怪。明明就是我和吸血鬼有个约会么。【如果是我小时候看的，我一定很喜欢很喜欢。马小玲的美腿哦~】            
(4星)	 这部港剧可以算作童年的一个回忆，虽然记忆模糊，但它带给我印象特别深刻。至少10年前就有涉及到僵尸这个题材，那是多么新鲜的一件事。以一个心智成熟后的我角度来看依然看点很多，编剧想象力很丰富，白蛇传，僵尸，观音；情节也很饱满，况天佑和复生生活中的笑点；杨恭如的青涩。只是特效做的有点差~            
(4星)	 虽然剧情有的地方有点怪。。特效也有点怪。。。但是依旧是无敌的片子~万绮雯每一秒钟都是吸人眼球，陈启泰也是无敌的帅，而那个时候我也还很喜欢杨恭如。杜先生也演得几好啊。。            
(4星)	 小时候的回忆....            
(3星)	 情节还可以，特效现在看来有点坑爹            
(5星)	 王珍珍母女真是拖后腿界的顶梁柱。            
(5星)	 想当年为了马小玲的美腿……（¯﹃¯）口水            
(3星)	 这个电视剧感觉好猎奇            
(NA)	 马小玲大长腿嗲            
(5星)	 总算看了一部很有名气我却从没看过的电视剧了。恩，老片子结局总是很圆满的。            
(4星)	 &gt;///&lt;以前看到时真的好喜欢啊            
(5星)	 当年初中的时候由堂哥推荐看的，那个暑假每天去租两张碟回家同妹妹一起看的日子真得很不错。            
(5星)	 10多年前看的依旧印象深刻！马小玲和况天佑！            
(3星)	 每次變身 我都覺得那個僵尸牙好可愛~~~ 後面滴 不會看啦~~~~~~~            
(4星)	 重溫一遍我印象最深的是況天佑和山本一夫的怪物造型… 當時我就笑噴了~！！            
(5星)	 愛，就是那麽主觀，妳不承認，不知道，想不到，它就不存茬。 愛，就是那麽客觀，不管妳承不承認，知不知道，想沒想到，它都茬那裏。             
(5星)	 能让戒电视剧的卷爷从头追到尾可见是一部奇葩电视剧！！！！！！各种力荐神马的！！！！！            
(4星)	 有真情在            
(5星)	 我要重看            
(NA)	 擦，原来叫这个名字啊，终于找到了，原来不是叫超能探长的吗！！！！小时候凤凰卫视播，太好看啦！！！！！            
(3星)	 呵呵后            
(4星)	 再看，都觉得几赞呢！！嘤嘤嘤嘤！            
(5星)	 万绮雯的大长腿啊大长腿~~~            
(5星)	 小时候看的。太经典。            
(5星)	 重溫劇            
(NA)	 在看中。            
(3星)	 身边的朋友都爱看，我却没感觉。            
(NA)	 小时候的记忆啊~            
(5星)	 小学时候天天晚上八点凤凰卫视放的~害怕又要看~            
(5星)	 小学时候大家都在讨论天佑应该跟珍珍一起~还是小玲~            
(4星)	 梦里是谁。。。            
(5星)	 小青和白素贞打架瞬间美少女变身换装备穿着古装还顺便接了个电话~喂？老板吗？             
(3星)	 片子不老，但忘得有点快。一定意义上来说陈十三是ATV的台柱子            
(4星)	 还不错            
(5星)	 那个年代，不容易勒。            
(4星)	 晚了十几年才看，是挺经典的，喜欢尹天照~            
(5星)	 最近为了听粤语开始怀旧了～～～小时候的最爱啊            
(4星)	 儿时的经典            
(3星)	 果然是过了看这种电视剧的年龄~小时候木有看过就是木有赶脚唉。            
(4星)	 这个真的是经典            
(5星)	 很多年前的回忆，在看完《得闲炒饭》后被万绮雯唤醒。又从头看了一遍，还是觉得那么喜欢。记忆里的东西永远那么美。况天佑和马小玲在KTV里唱歌那段，真的很温情。            
(4星)	 第一部，雖然漏洞很多，可是親情的描繪很到位，珍珍和她的媽媽，正中和他的父母。兩小無猜的密友之情也很真切。            
(4星)	 笑点很多诶！！！！            
(5星)	 第一部如此经典            
(5星)	 小学可爱看了！！！！            
(5星)	 美好当如马小玲            
(5星)	 马小玲            
(4星)	 不老原是最寂寞            
(NA)	 其实我一点都不喜欢这类剧。实在无聊了看的...不过被好多人视为经典....口味不同。            
(4星)	 曾经的经典            
(4星)	 小学时候凤凰台还是免费的 穿鞋出门上学都不愿关电视的美好记忆啊。。。            
(5星)	 小时候看凤凰卫视            
(5星)	 经典。。。            
(5星)	 小时候的记忆，经典啊~永远的马小玲况天佑。            
(5星)	 从小看到大，记忆力的第一步僵尸剧。现在仍旧会重看。在我的时光里很重要的一部分。            
(4星)	 卖萌。。。不能同生，但求同死；千秋万世，至死不渝．             
(5星)	 小时候超喜欢的，主题曲现在都还会唱大部分。            
(5星)	 好久好久以前看的了......            
(5星)	 这个片子是起于马晓玲，却无尽于世界观，宏伟之篇章超出吸血鬼之其他。算是吸血鬼吧，还是中国人的脑子曲折啊。            
(4星)	 万绮雯着白衫，好靓！宗扬啊宗扬，你为啥就不火呢？？？            
(4星)	 现在再看总是想到豌豆射手噗噗噗！            
(5星)	 想起这部电视剧，第一个想起的，就是马小玲和况天佑这两个永垂不朽的人物。            
(NA)	 丢。当年没有人不看这部片。            
(4星)	 非一般的经典            
(NA)	 前部分比較好看~            
(NA)	 眼瘸了，一直觉得尹天照和谢君豪是同一人            
(5星)	 记得以前经常晚上偷偷的看这部剧，真的很爱这种题材的            
(4星)	 适应了ATV的风格看起来就津津有味了，话说这片比暮光之城给力多了，人物更多情感更丰富，不过一看就是男编剧搞什么一男二女的组合，哪有暮光一女二男挣破头更吸引小女孩呢。陈十三的个人色彩太浓了，非要在剧本里加个什么“暗恋班长陈十三”“御命十三”之类的。杜汶泽那时年轻的让人觉得是帅哥。            
(5星)	 马小玲啊马小玲，你那短裙能再短点么？^_^            
(NA)	 华娱放的好欢。。            
(4星)	 以前还很喜欢的说啊~            
(NA)	 我也只记得马小玲的美腿了            
(NA)	 初中时候妈妈借来的碟，我用的是15寸显示屏的实达电脑看完了这一出，还有续集。            
(5星)	 当时蛮喜欢的 最喜欢未来和那个和她有瓜葛的僵尸            
(5星)	 不多说，后面的几部都不忍看了            
(5星)	 经典中的经典.            
(3星)	 当年的电影很多地方好弱。。不过还蛮好玩的            
(5星)	 对我影响很大的电视剧~            
(5星)	 跟chase天天吃泡面时候看的.            
(5星)	 万绮雯的腿啊~~~~            
(5星)	 年轻的瘦子杜汶泽真是个小可爱。            
(3星)	 值三点五星            
(NA)	 现在一看，感觉好假啊~~不过还是看了一遍            
(5星)	 这才是亚视顶峰！            
(NA)	 临兵斗者列阵皆在前！！！蛤蛤            
(5星)	 最近两天半重温了这一系列的第一部，很好看，直接上瘾了。            
(4星)	 山本真是帅啊~~            
(5星)	 这是部让人无法猜透接下来剧情的电视剧。赞！！！            
(5星)	 经典            
(4星)	 马小玲！我曾经疯狂迷恋此女到往作业本，书上，全不写我自己的名字，一律马小玲。            
(4星)	 编剧不错 可惜制作粗糙 单眼皮美女万绮雯的那条长腿真是不错 故事情节再YY一点 可以是一部畅销网络小说            
(4星)	 当年我的小心脏啊…………            
(3星)	 记不得了。。。            
(5星)	 马小玲，超短裙，嘿嘿。            
(NA)	 马小玲永远都是最爱            
(5星)	 万绮雯的Loli套装+傲娇，杨恭如的眼睛娘。这是多么超前的一部剧呀~~~            
(5星)	 没看之前 从来没有想过 原来做僵尸是这么的痛苦 这部电视剧也是我重温了很多次的港剧 真的很好看 推荐给没有看过的朋友们 不要被名字吓住了~呵呵 小学就这样守电视一天一集看的~~当时等的心酸啊……            
(5星)	 鬼马的剧情，超级好看            
(4星)	 有些假，但是凑合着看吧            
(2星)	 饿            
(5星)	 假如真的再有约会，假如真的再有这样深情。            
(NA)	 在看。            
(3星)	 有点恶心            
(5星)	 马小玲            
(5星)	 經典之作。            
(3星)	 美少女战士            
(4星)	 ATV难得的好剧~~看来故事好才是电视剧好看的最终决定因素~~万绮雯和杨恭如好漂漂~~杜汶泽好幼齿~~两男主角都不知叫什么名字~~            
(4星)	 10年后念念不忘。            
(4星)	 僵尸探长            
(5星)	 临、兵、斗、者、接、阵、列、在、前~诛邪！哈哈哈哈！            
(5星)	 超级无比的赞！！            
(5星)	 看第一集时差点没看出这是部经典，但好听的主题曲挽留了我，等到六十年后的香港街景出现在镜头里，我想，我不会再错过它了……这系列的歌都很好听啊，1里的《梦里是谁》，2的《假如真的再有约会》，3的《永恒国度》。陈十三是个怪才啊            
(4星)	 人不是为是现在或将来而生存，而是为了制造回忆而生存。一辈子就像不停用回忆砌积木。-- 我和僵尸有个约会III            
(5星)	 太感动了，曾经的最爱            
(3星)	 那时候马小玲就是我觉得最帅气的女人！超短裙，打僵尸！碉堡了。。            
(5星)	 长腿妹情陷型男僵尸~~            
(5星)	 御命十三点！！！wakaka还是对珍珍的期望大一点~有点可惜。。。不过两个僵尸还不错啦~            
(5星)	 万绮雯的身材真完美            
(4星)	 小僵尸好可爱啊             
(4星)	 好奇特            
(5星)	 可以不断重温.            
(5星)	 大爱。　某人说：热闹的片子            
(5星)	 复习得台词都会背了。            
(4星)	 山本一夫很帅，爱马小晴            
(5星)	 喜欢万绮雯            
(4星)	 居然被感动到了。。。            
(5星)	 御姐大愛！～ATV要爭氣啊！            
(5星)	 小学看了点`当时片名是超能探长吧``到了初中暑假想完整把它看完的感觉日益强烈            
(NA)	 尹天照！！            
(4星)	 不错的片子            
(4星)	 初中看的吧...            
(5星)	 从80年代到现在，看过TVB电视剧数百部，ATV的也看过很多。这部是印象最深的几部之一。虽然现在很少看电视剧了。            
(5星)	 这一部的故事是最好的，只可惜马小玲和况天佑的爱情留下了遗憾。。。            
(4星)	 看了结局和开始一部分            
(4星)	 山本一夫好帅哦            
(4星)	 COOL!            
(4星)	 看着马小琳流口水。。。啥时候我能出息到下雪天穿短裙。。。            
(NA)	 经常看            
(3星)	 小时候觉得很恐怖，现在看又觉得很搞笑。            
(4星)	 很早看的很经典            
(3星)	 喜爱万绮雯~            
(NA)	 前三部都很爱            
(1星)	 非常作            
(NA)	 很喜欢看的            
(NA)	 强啊～            
(4星)	 还是正常一点好。            
(4星)	 亚视来讲真系值得推荐既剧！            
(5星)	 我的童年            
(5星)	 超级喜欢            
(5星)	 很有誠意的作品            
(3星)	 ·——·            
(4星)	 好长，小学的时候好流行，还买过僵尸牙            
(5星)	 妙手之后再被TVB片子打动竟然是1998年的。两男主角势均力敌，虽然名字古怪，有跟妙手一样的寻常生活气质。陈启泰好有诱惑力，亦正亦邪的深情化作挂在薄唇上的浅笑，怎样的男子才说得出“无论千秋万世，我们永远在一起。”            
(5星)	 大爱呀！不管过多少年！            
(4星)	 美少女战士真人版也就是蚊蚊这样了~隐忍内敛的爱，在港剧里很难看到~            
(4星)	 开头还蛮好看的，十集一过就越来越无法了，但我还是一集不落的全都看完了哦！僵尸一有35集，僵尸二又有43集！！我是废柴废柴废柴啊！！周末死宅在家里看老港剧的中年大妈啊啊啊！！都怪万绮雯啦！！为了看她和她的美腿我连快进都不舍得！！            
(4星)	 经典，可惜技术层次和效果有点年代。            
(4星)	 当时一听名字不敢看，后来发现不是那么个吓人的意思            
(4星)	 原来这是ATV的呀            
(5星)	 这部剧一说，所有人都会记得况天佑和马小玲吧。见证了青春的剧集很棒。            
(5星)	 童年最最最喜爱的一部电视剧，为了它逃过课、挨过打、骗过人、哭不停！哈哈            
(5星)	 僵尸中的经典，里面的人物很生动···            
(4星)	 男主角是不是吃猪脚长大的啊,丑得我无力吐槽啊.还是boss和王珍珍那里看得我热血沸腾的.            
(5星)	 亚视经典中的经典。            
(5星)	 神一般的设定啊            
(5星)	 还是第一部最好看            
(5星)	 太有想象力了。很喜欢。            
(5星)	 见你一面，便沉迷其中。            
(4星)	None
(3星)	 开始还行，越往后剧情越弱，什么白蛇后转，什么改变历史，什么重生。。。马小玲、况天佑。            
(5星)	 马小玲 腿各种长，各种美，裙子各种短、我都替她冷。 不喜欢珍珍的个性，不过她会是个很好的朋友。 况天佑各种没表情。   1、2、3部好几年前都看过一遍。 现在又来重新看~!            
(4星)	None
(NA)	 竟然看完了……            
(4星)	 当时觉得杨恭如太漂亮了~~            
(4星)	 虐、其實我很喜歡陳啟泰、、、馬小玲是我女神、、            
(5星)	 当时很喜欢            
(5星)	 喜欢山本一夫，陈启泰秒杀男主角啊            
(5星)	 想象力实在丰富~剧本没话说.男主角有点挫咯- -            
(3星)	 喜欢万绮雯！            
(5星)	 喜欢马小玲            
(NA)	 如果你是一个僵尸，你爱的人马上要死去了，你会咬她吗？ 如果你爱上一个僵尸，你会选择变成僵尸还是看着爱人因你的死去而痛苦？ 这样的问题，横亘在《我和僵尸有个约会》这部僵尸片中。 作为旁观者，如果给我选，当然我会选僵尸，剧情中僵尸深情专一有担当。但是我不是僵尸，我不能了解当僵尸的苦痛和            
(5星)	 一口气看完。精彩！            
(4星)	 重新回顾依然很热血，但是没了那个惊艳感，特效化妆都太过去时，不过在我心里一直都是一个经典。            
(5星)	 小学的时候着迷的一部剧，现在又在重温大爱啊            
(5星)	 万绮雯，马小玲。。。            
(4星)	 最经典的一部了。            
(5星)	 哎。。年少的记忆！            
(5星)	None
(3星)	 从这个倒暮光之城什么的就是不喜欢吸血的鬼。。。。            
(NA)	 依然觉得嘴角有颗小痣的马小玲很漂亮！            
(NA)	 重頭看。這就叫永恆的經典！！            
(5星)	 一梳梳到尾，，，二梳梳到长发齐眉，，，三梳梳到儿孙满堂。。。            
(5星)	 对王珍珍真的是各种讨厌啊，讨厌死了！！！！！            
(5星)	 虽然作为一个电视台，一部好的电视剧是远远不够的，但是也因为有了这部，ATV也有了值得骄傲的理由            
(4星)	 啊啊啊啊啊啊啊啊啊啊，原来这个也叫我和僵尸有个约会啊，凤凰台养的，那小学前儿看的，吓人哪，商店里还卖夜光牙~只记得叫超能探长            
(4星)	 哈哈，超能探长~！！！            
(4星)	 小时候看的时候不是叫超能探长的摸~再看还是不错~            
(5星)	 我觉得，那个时候的马小玲，是比况天佑还帅的            
(4星)	 好早了            
(3星)	 对这部剧的原设有怀疑。。。anyway，陈启泰真是帅到爆            
(5星)	 原来只想看美女，之后发现还有很多惊喜            
(5星)	 又重新温习了一遍，期间掉过几次眼泪。上次看大概是1999年，转眼十多年过去了。现在再看，真的是好赞。除了不喜欢天佑和一夫那个牛头神马的怪相，其他都完美。很喜欢复生啊，听到他哭着叫“爸爸”就觉得内心变得很柔软。从头到尾都由衷的希望天佑和小玲在一起。不知道第二部何时会看。2011-07-29 2:03             
(NA)	 凑数            
(5星)	 太赞了。。。放到现在看照样好看            
(3星)	 回忆总是美好的...但是现在翻煲之后，有种天雷滚滚的感觉...特别是后面山本一夫跟天佑妖魔化之后，活脱脱两个小龙人啊。。把我雷得里焦外嫩..            
(5星)	 时隔10多年再翻出来看，马小玲依然美得惊心动魄。有些传说永远不会褪色。            
(4星)	 因为名字，经久未看。因为看了，经久难忘。            
(4星)	 大爱王珍珍            
(4星)	 第一部最最好看！~~~~            
(5星)	 临·兵·斗·者·皆·阵·列·在·前·诛邪！            
(4星)	 那个时候的            
(4星)	 當年爆紅            
(5星)	 必须五星            
(4星)	 如果可以选择，是选择永恒的生命还是死亡；如果具有永恒的生命，自己爱的人生命即将逝去，是让他同样具有永恒却痛苦的生命还是眼看着他的生命的消亡；如果爱上了一个具有永恒生命的僵尸，是选择同他一样活在在永恒中，还是看着自己衰老离开。人生要有太多的选择，面对爱，更是一个艰难的选择            
(5星)	 知道很好看  可是看完二 不知道为咩不想看一了。。。但是仍然很好看！            
(NA)	 我的童年啊            
(5星)	 看过这么多年后都忘不掉的经典。我所有关于僵尸的知识都是从这部片里来的            
(NA)	 就像围城一样，城里人想出去，城外人想进来，没成为僵尸的人想变成僵尸，变成僵尸的想死都不行。            
(NA)	 好欢乐~~            
(5星)	 怀着鄙视的态度，看完后不能忘怀，哪种情感还是让我会经常翻出来看。            
(4星)	 长腿马小玲~            
(NA)	 来来来，重温起~            
(4星)	 相信五星的力量。。。镇国灵石大螃蟹。。。好吧 姐笑了。。。            
(5星)	 陈启泰演的山本一夫有血有肉，喜欢。。。            
(NA)	 爱爱爱爱爱            
(5星)	 大学在寝室看的，和室友一口气看完全3部            
(5星)	 我小时候没看过，难道不是80后。。。T T            
(5星)	 僵尸吸血鬼的鼻祖啊 天啊 好帅啊啊啊             
(NA)	 笑死爹了            
(5星)	 喜欢山本一夫多一点            
(3星)	 虽然现在看来天雷滚滚，各种简陋，但还是很喜欢            
(5星)	 之前一直不知道有这样一个电视剧，直到今年同学看了才看的。98年能拍到这样很不错了~~隐形眼镜都很赞哈~~            
(4星)	 小时候好喜欢~~            
(4星)	 TVB经典剧，看这个喜欢上马小玲。            
(4星)	 好看            
(5星)	 也许只有不老不死，才能许以天荒地老。            
(NA)	 经典！是ATV最好的剧集！！            
(4星)	None
(5星)	 这结尾真是。。。你演得不累我都看累了。。。马小玲一流泪，我也会跟着哽咽.            
(5星)	None
(4星)	 原来，永生比死亡更可怕。            
(5星)	 其实我们中国早就刮起 吸血鬼风了。。。            
(5星)	 好喜欢万绮雯            
(4星)	 好久远            
(4星)	 老公说的各种好看啊，于是就跟他又看了一遍，不错啦，主演都OK，剧情也很好            
(4星)	 少数多年后看还称得上好看的剧集。尹天照很帅啊。所以继续在下第二部第三部，集数好多哦！            
(NA)	 最开始看的时候很喜欢马小玲跟况天佑 后来再看 就很喜欢金正中。。            
(4星)	 马小玲的超短裙            
(NA)	 重新看一遍~太他妈经典啦            
(4星)	 当年我最怕看的电视剧，光听主题曲就怕了            
(4星)	 全家都喜欢看            
(3星)	 十分不理解给四星五星的人是怎么想的            
(5星)	 喜欢况天佑····            
(5星)	 各种复杂的跨越种族与年世的爱，林正英之后的又一僵尸经典之作，可惜导演的命运太……            
(5星)	 最开始看的时候天天做梦有个僵尸咬我            
(5星)	 经典！            
(5星)	 当年的亚视，当年的雯雯，遥想当年，难道自己老了吗            
(4星)	 结局有点想不到。花了3天看完            
(5星)	 那个时候超想看的剧  不过现在觉得很一般了              
(5星)	 天佑，你还记不记得灵灵堂的马小玲？            
(5星)	 经典            
(NA)	 原来万绮雯长这样的。。。。            
(5星)	 哈哈哈哈 马小玲            
(NA)	None
(5星)	 那一年，我小学一年级。懵懵懂懂的惊恐与美好爱恋，哈哈。阿喏，爱，也只不过是一路陪伴。 你爱我我爱你，一句话而已，怎样才能具有天荒地老的威力。 很爱梦里是谁这首歌呢，还有万绮雯的长腿无敌美~欧也~            
(4星)	 遥远的回忆啊。记得本科时一位舍友闲着没事，带领我们从1到3全部都看了一遍，激情啊            
(4星)	 98年的片子能拍成这样。。不错了。。虽然雷点很多，但是感动的地方也很多。。            
(NA)	 卫视中文台啊！御姐控启蒙马小玲啊！            
(5星)	 中学时很着迷的一部电视连续剧   之后都忍不住又看了两遍            
(NA)	 最烦王珍珍            
(5星)	 当年每集必看，当时特喜欢杨恭如。。            
(5星)	 美少女战士真人版！！            
(5星)	 虽然造型微土，剧情给力            
(5星)	 为了马小玲的腿，不能不给满分啊            
(4星)	 马小玲。            
(NA)	 最近室友再看，勾起了回忆            
(5星)	 没有2牛，还算可以            
(4星)	 巨讨厌况天佑。            
(5星)	 太经典咯！！            
(4星)	 最近和老婆重新看这个剧，还算好看吧，万绮雯真的很好看啊            
(5星)	  现在又重新在看，，            
(5星)	 无敌好看            
(4星)	 那个年代的经典之作...扯是太扯了点...            
(5星)	 虽说是年代久远的剧了，但是还能看出当初的制作很用心，比起现在一些雷剧，只是在人物造型或者某些特效有差异，但是剧情严谨是没得说的，每个人物都有很细腻的感情塑造，各有各的鲜明特点，就算过了10年再翻看，仍然还是非常喜爱，试问现在还有多少剧本像它一样那么用心？            
(4星)	 小时候第一次看到这么新颖的电视剧,还被回魂夜吓到呢..            
(NA)	 不得不说的大爱，十三是个人才~            
(5星)	 况天佑，马小玲，难忘啊，难忘啊。            
(5星)	 有笑點亦有哭點            
(NA)	 当时华娱台播的，我家开始可以看一些境外电视台了            
(5星)	 3418重要的记忆。四个人挤在电脑前，看得津津有味。就算你们都记不起，我也不会忘。            
(5星)	 此后ATV的没落，最爱港剧            
(4星)	 玄武童子什么的最搞笑了            
(4星)	 嗯，不知道为嘛就是喜欢看啊~~~            
(4星)	 以前是在电视里面看了一，后来在网上吧全部的都找来看完了！~挺不错的！~            
(5星)	 不多说了，大爱！万绮雯~            
(5星)	 十三年后再看，槽点很多，特效各种粗糙简陋，但人物实在是塑造得太成功，几条感情线都很真挚感人，还是觉得很喜欢。况天佑和马小玲是分不开的两个名字。万绮雯所有角色里最爱马小玲，杜汶泽所有角色里最爱金正中，没有之一。坚持守候了八百年沧桑却又从容淡然的白蛇也是最爱的版本。            
(5星)	 童年的大爱            
