http://movie.douban.com/subject/4851904/	日本人不知道的日语 日本人の知らない日本語
(4星)	 还蛮有趣的啊~~~            
(3星)	 2010            
(4星)	 学日语不错哈            
(4星)	 我觉得我的日剧有点看到厌倦期了。。怎么都一个套路的，表情剧情还是口气中心思想……不过重点是有我爱的各种元素在里面，花札茶道寺庙黑道……还有原田怎么没以前好看了……头发有点油油的。            
(4星)	 勉強になる～            
(4星)	 用最快的速度看完了，有收获~            
(4星)	 亚达            
(3星)	 一集弃，抱歉。            
(4星)	 脑袋上顶个大蝴蝶结的女主角给人的感觉却并不奇异。此类日剧必然的温情路线和狗血的情节并没有将我吓退。要说魅力，还是日式夸张的喜剧表演风格。结尾处的反高潮倒是颇得人心。            
(4星)	 太欢乐嘞！！Haruko先生太可Aaaaaaai啦~~~            
(2星)	 看了一集半，无感弃掉了。            
(NA)	 弃。看到一半实在看不下去，中国人的小王和那个女的叫啥忘了。。。你们。。。我无语了。            
(4星)	 确实不错!~            
(5星)	 ありがとう  先生。            
(3星)	 看到第9集果断弃了。            
(3星)	 拍阿尼灭更好=，=            
(NA)	 这是一部可以从很多角度来看的电视剧            
(3星)	 剧情白烂，日语小知识挺有用-  -            
(NA)	 ...            
(3星)	 确实有很多不知道的知识非常好，但是剧情确实太傻逼……            
(4星)	 字幕很好很强大            
(3星)	 国际版极道鲜师......女猪的表演还敢再夸张点么？            
(5星)	 看完就忘了学点什么了……            
(4星)	 仲里依紗好萌好带感 御姐心萝莉身啊            
(4星)	 对日语学习有帮助            
(5星)	 能学到不少知识            
(4星)	 おもしろいよ～日本人の知らない日本語だ。            
(5星)	 一如既往的弱智啊，不过很长见识。            
(4星)	 还蛮好玩的            
(NA)	 女主角不管是从打扮还是讲话风格都和我们班的藤井真冬如出一轨。。            
(3星)	 连霓虹人都不知道的日语，我在瞎看个神马劲啊= =。            
(4星)	 有很多知识我问我的日本老师他们的确都不知道哦~还是满有意思的~可是留学生们的演技都太生硬了T_T……            
(5星)	 优质大叔优质正太的优质喜剧（对不起我把它当情景剧看了XD            
(3星)	 三颗星全是给日语本身的，对于剧情和演员我已无力吐槽            
(3星)	 稍微可以再用心的拍一下就好了            
(3星)	 虽然演得很烂很夸张,不过真的可以学到东西            
(4星)	 學習碼～            
(5星)	 推荐正在学习日语的童鞋来看。            
(4星)	 为什么金丽是中国人？            
(NA)	 弃            
(NA)	 这个好，敬语那集再详细点更好            
(3星)	 剧情很烂，纯是为了学日语。里面的中国男学生真鸡巴脑残            
(5星)	 日语学习者请边看边做笔记……尝试背诵特例台词～～～            
(3星)	 可爱得很。。            
(2星)	 勉强看了两集……弃。            
(3星)	 日语课上老师放的。片子思路一般没什么特色。那主角衣服挺抢眼的。至于日语的敬体啊简体什么的 确实很抽。            
(4星)	 能学到些东西，就是里面演的中国人有点别扭            
(4星)	 学日语不错哦！~~            
(4星)	 意呆家的那宅好萌，那个中国女孩- -好囧。            
(4星)	 题材配得上四星，但有些集的剧情落入俗套了。没看完。。            
(NA)	 最近“日TV”上有播，电驴上有字幕版的。慢慢看。            
(NA)	 (⊙o⊙)哦            
(3星)	 在学日语的可以看看            
(3星)	 剧情老套！老师也太神经了吧＝ ＝            
(5星)	 学习日语的好片子。            
(4星)	 还不错。反正搞笑的很，长见识啊。。。。            
(3星)	 在等待口语考试的过程中不知不觉看了三集...            
(3星)	 瞎热血            
(5星)	 天那。。。。            
(3星)	 学习用            
(3星)	 学日语看看还是不错的。            
(2星)	 太恶了。。。            
(3星)	 30分钟一集……            
(4星)	 原本看的时候觉得也就还好，热血老师的故事毕竟还是有些老套，但最后的结尾处，小小的一个点睛之笔，再和最近看的有着能摧毁整个故事的结尾的世纪末超自然学院一比，就可以四星了            
(4星)	 日语真是有趣啊~就是好难= =HARU KO来教我吧喂！！            
(4星)	 全当学习了            
(4星)	 意外的很有意思，还学到了不少！            
(NA)	 雷到死            
(4星)	 学外语 更容易            
(3星)	 对日语的学习来讲是有意义的，但我真的很烦仲里依纱在里面演的那穿着轻佻态度无礼的模样！            
(5星)	 其实还有很多中国人不懂的中文。            
(4星)	 纯粹娱乐。            
(4星)	 外国人真素有钱，明明合格了为了约定还重新来上一学期.....            
(4星)	 (=￣ω￣=)　学习日语咧~            
(5星)	 宜反复推敲！            
(4星)	 够牛的，搞笑            
(5星)	 拿日语来搞笑了一番，也稍稍道出了留学生的苦            
(3星)	 基本什么也没学到= =。            
(4星)	 木有棒子            
(4星)	 日剧还真喜欢用春子这个名字            
(3星)	 其实挺无聊的，因为还算长了一点知识给三星，我想说他们真是一点都不了解中国啊            
(3星)	 光看第一集我就猜到了结尾以及每一集的结尾...女主从来没听过，在泥轰很红么？另外我对于王桑的形象意见很大，这货不是中国人！            
(5星)	 反正我是追完了，我觉得挺好看的。也挺喜欢仲里依纱~            
(NA)	 麻，其实不只是热血剧，还有文化冲撞和语言背景资料拓充            
(3星)	 如果不是对学习日语的人来说算有创意，这分会打得更低。表演和情节都幼稚得一塌糊涂啊。。。外国人在日本人心中都弱智成这个样子吗。。。现在国内的小学生也比这些外国人难教啊。。。那个班是国际智障班吗。。。            
(3星)	 通过此剧学日语？对初学者可不行，对我这个五十音还没被全的人更是奢望。但是剧集还不错。            
(4星)	 日语还是很美的！除了让我翻什么【油瓶儿倒了也不扶一下……之类的时候。。            
(4星)	 对学日语很有帮助的            
(3星)	 不咋的啊=3=            
(3星)	 女版nino            
(2星)	 果断弃之。增长知识还不错，可是实在受不了一群外国人很假的装腔作势……            
(4星)	 IC剧            
(3星)	 好像情景喜剧~看得我头晕            
(1星)	 垃圾到极致了            
(5星)	 风格很独特。。不错不错。。            
(4星)	 貌似有點意思 女主角不做作這點不錯 順帶學點            
(4星)	 仲里依纱无法喜欢的起来            
(3星)	 学习一点的话 还是不错的            
(4星)	 SOSO~~~            
(3星)	 脑残剧。。4集弃。            
(1星)	 弃片            
(NA)	 弃····            
(4星)	 仲里依纱接戏也太快了吧。 这个就单纯是 看日剧学日语。            
(4星)	 仲里依纱竟然还有介种造型……            
(NA)	 白痴生扯的剧情,当学习素材不错            
(3星)	 interesting~            
(NA)	 实在看不下去了。。。。。。。。。。            
(5星)	 很实用 我能想象出阿辰将来的日子~            
(2星)	 四集..弃            
(3星)	 最好看的是仲里依纱的服装·····外加稀奇古怪的日语····            
(5星)	 搞笑的说，还可以学习            
(4星)	 学习呐~            
(1星)	 演员们普遍性做作～属表演过度。姐，漫画改编也不是这么演的！            
(2星)	 日本人就自己玩去吧            
(3星)	 对日语学习有点帮助            
(4星)	 略微有点夸大．．不过语言点很有意思            
(3星)	 太无聊的时候可以看看~所以就不追下去了~一般般吧~            
(NA)	 太囧了 仲里依纱怎么可以这么做作= =            
(3星)	 很日式励志啊。            
(3星)	 拿來學日語的。劇情演員直接忽略            
(NA)	 5话弃。            
(3星)	 越来越没劲的剧...            
(NA)	 里依纱 很萌　很壯　很有愛            
(4星)	 因为本专业的关系，多给一星，可以用来学日语            
(3星)	 看完毫无压力            
(NA)	 寓教于乐。华丽涩谷系大爱！            
(2星)	 没看完            
(3星)	 只看了第一集，不想看下去了。又像教材又像单元剧。外国役的学生感觉还没有书里可爱OTZ看完有学到东西，这剧也很有吐槽点。PS：果然演技这种东西，不是那么容易就有的。尤其女主姑娘，你表情跟动作都太夸张了= =            
(NA)	 弃            
(4星)	 知识不错            
(3星)	 连这个都很拍成剧，日本人也要推广日语么，到处能看到中文的影响力啊，等我学日语的时候再看完吧            
(2星)	 棄            
(3星)	 不喜欢仲里依纱，第二话结束，弃！            
(3星)	 还是看文字吧……            
(4星)	 不错            
(3星)	 学习了            
(4星)	 最喜欢像凯萨琳这样的软妹啦~！            
(3星)	 如果不是那么做作 其实是很感人的题材啊            
(4星)	 原来“机动战士”的单位是一机=，=            
(NA)	 日本人不知道的日本语 中国人也不知道= = 哈 其实还挺好的有些词~            
(1星)	 能看的也就第一集了 Demo仲里依纱你要恢复正常我还是喜欢你的            
(NA)	 弃            
(4星)	 我也不知道我为啥一直在看，也没多好看，但还算乐在其中。            
(3星)	 恶弃了。。对不起你了仲里妹子。只是不忍见第二外语的教学弄成这样。。。            
(5星)	 现在才知道，我们班也是这样的。各种外国人。可是大家的热情都很高。            
(4星)	 夏季档最感兴趣的 为毛就是摆脱不了这个女人咯！！！！！！！！！四集弃            
(4星)	 为毛找这么两个傻逼来演中国人啊！！！特别是那个女的            
(NA)	 熬夜看完了            
(3星)	 语言学校不是这样的吧～            
(3星)	 2弃 直接看书就好了...学生们都无感            
(NA)	 日语。。。虽然对漫改真的很无语，但看看吧            
(3星)	 看了6集，接下来也是大同小异了，就不看啦            
(4星)	 真是超欢乐～我是来看仲里依纱变装秀的，哈哈～太可爱了！夏天就是要看这么欢乐的剧呀～ | 王 太13了……个面孔个表情实在是太挂三了……以至于上日语课里面讲到 小王 我总是脑子里面反应出来这个挂三的脸真是阴魂不散啊！&gt;&lt;            
(4星)	 能学点东西            
(NA)	 第一集讲数量词和最后一集大家讨论最喜欢的日本语。            
(3星)	 有学习到。            
(3星)	 太拗了，2集弃            
(4星)	 蛮有意思的            
(NA)	 居然是夏季看完的第一部...orz...煽情部分完全就是鸡皮疙瘩，那2个中国人全然不讨人喜欢。。。。べっ勉強のためと思って。。。            
(5星)	 挺好玩的0.0            
(NA)	 凪子=nagiko...看到最后一刻才反应过来的凹凸曼...也是因为翻译了这本的漫画,应该说还满有感情的?虽然是有点生硬,不过也能算寓教于乐?的片子了...            
(NA)	 其实没有想到这部剧可以走到12话..很好            
(4星)	 完结。各种学习 可惜无声。另外，我最喜欢的日语词汇也是「一期一会」。            
(NA)	 学习～            
(4星)	 看完之后更加的坚定了要学习日语的决心，日语，果然是很温柔的语言了。不仅是一种交流的工具，更是心和心的交融。            
(5星)	 可以学日语            
(4星)	 我讨厌女主            
(5星)	 我突然想起我上中文课的情景了            
(3星)	 多播几季，外面的日语学校也可以不用开啦。。。            
(3星)	 不喜欢仲里妹子。。。            
(3星)	 一集解決一個學生的簡單電視劇 = =            
(3星)	 每一集都很うるさい╮(╯▽╰)╭            
(4星)	 学日语还是不错的～            
(3星)	 日语课的时候老师放的，赶脚有点傻气。            
(3星)	 比预想的好看一点，但是仲里依紗做二线配角就很好了，主演算了吧            
(4星)	 蛮有趣的 话说...如果拍一部中国人不知道的中文 呃 会变成怎样？= =            
(5星)	 学日语必看            
(3星)	 这剧实实在在的烂尾了            
(5星)	 一期一会~~第一次无字幕…七荤八素…内容还是蛮真实的，打工养活自己，担心雷池一步马上被遣返什么的，还有神奇的民族孤独感这个词……不过日语学学真这么开心真是谢天谢地了，哈哈哈            
(4星)	 好想要仲里依纱涉谷妹造型的语言校教师凹，而且好善良也。最好把我们前班主任换掉，胸大了不起啊~&gt;3&lt;            
(4星)	 日语文化普及，每集结局都很感人            
(NA)	 除了作为学习日语教材来看的片子以外，还有就是每集的感动话题，深夜剧也许除了ooxx之外还有的就是通过段时间做出一个感人的桥段和铺垫噱头，深夜打动孤独的人吧。            
(4星)	 为啥我只有我会觉得鹰栖老师会和春子在一起啊啊！！第八集的haruko的蝴蝶结可以当枕头了好吧！            
(3星)	 剧本身有点做作，但是学日语的话还是有一点帮助的            
(5星)	 很有意思  不过仲里依纱的百变造型实在是。。。            
(4星)	 虽然我也是学日语的 这里面仅仅讲了很简单的日语 不过还是受教了许多知识 比如说很多很多的日语典故~            
(3星)	 七集弃，多看就没意思了            
(1星)	 山寨英剧《请讲普通话》还有严重丑化中国人。。。女主角和男老师就是一群装B伙！凭什么个个外国人长得很绅士、很美丽，形象很好，而中国人（小王）就好像白痴+智障的一样，我怀疑那个小王根本不是中国人演的，麻痹日剧！！还7分！我呸！！            
(5星)	 哈……原来是斑马人2的…………            
(4星)	 其实还蛮有用的            
(5星)	 科教            
(3星)	 为里面的日语知识而看~剧情无聊到爆……演员大部分演技惨不忍睹……尤其是尼玛那俩中国人，再尤其是那个男的！！！什么玩意！！！太他妈二逼了吧！！！            
(NA)	 高级日语了都，中国君的特点又是厨艺。。            
(3星)	 真的可以学到一点东西~            
(4星)	 蛮搞笑的日剧~~有蛮多日本文化的东西在里面的。            
(4星)	 とっても面白い！あのイタリアのイケメンは御宅って、可愛くって仕方がない，人情っとゆモノが好きて好きてしょうがないのおばさんも面白いな～～まだ終わらないけと、待つ            
(5星)	 其實這個片子蠻有勁的啊，中國人就拍不出這種外國人學中文的片子            
(4星)	 这个竟然是改编来的。。。。不过还挺寓教于乐的拉            
(4星)	 挺长见识的。            
(5星)	 这样的结局最好了=3=……编剧大用心！            
(3星)	 上日语课看的            
(NA)	 好正的学日语日剧!!日式满满的正能量.有日本语法解释, 还有日本民俗, 日本文字的演变, 12集, 12堂满分的日语教学课!!  以前最讨厌小泰妹造型了. 但是我却深深爱上了这个女主角的小泰妹装扮!!!好清爽阿~~ 哈哈~~              
(4星)	 学习日文不错`            
(3星)	 可以学到很多偏门的日语知识。            
(4星)	 剧情什么的倒是其次，内容很实用，学日语的看了会很有帮助，而且剧情虽然老套但也是观众喜闻乐见的。PS：小胖的演技太做作每次看他说话都一阵厌恶感orz            
(NA)	 木有跟完            
(4星)	 蛮有趣的&gt;&lt;            
(5星)	 コメディ好きな日本語学習者におすすめします。            
(4星)	 推荐给大冷兔            
(4星)	 超有用！！！本当に勉強になりました！！(＾▽＾)            
(NA)	None
(3星)	 编剧是脑残吧？日语有关的东西就占10%，剩下的不是价值观扭曲就是外国女人眼神呆滞剧情东拉西扯支离破碎…还有，日剧里只要出现中国人，就个顶个的二逼！            
(4星)	 日语学习必备良方.仲里的打扮样子都不喜欢,但看完剧还不错.            
(NA)	 学习用么            
(5星)	 能学到东西 很可爱            
(3星)	 美其名曰学日语，不过对我来说还是难度太大了，有压力。。。那些家伙日语也讲得太溜了吧，羡慕嫉妒恨中。。。            
(5星)	 8.8            
(2星)	 看两话弃。。。本来想当考前听力的。。额。。没劲啊。。            
(4星)	 里面的文化很适合日语学习者！            
(4星)	 十二个外国人心中总有一句“Arigato Gozaimashita, Sensei.”            
(2星)	 学日语就看看吧             
(5星)	 感同身受呐~ &gt;&lt;             
(4星)	None
(3星)	 一般，主角太丑            
(4星)	 视听说课上看的，还不错~            
(3星)	 很能学东西。非常不适应夸张的表演风格，非常讨厌里面那个叫金丽的中国人            
(3星)	 有点二。。具体的等我日语再好一点再看好了            
(3星)	 蛮有用的。不过没坚持下去。仲里依纱太雷了。            
(3星)	 女主这样的造型蛮好,题材比较有趣            
(5星)	 对ハルコ的头饰真是吐槽不能             
(4星)	 学习日语必看，结局很感人            
(3星)	 就当来练听力了~            
(3星)	 剧本一般，表演夸张失真，题材有趣，关键是适于学日语……            
(4星)	 挺好看的那            
(5星)	 我倒是覺得女主超可愛啊！學日語的好素材！！            
(3星)	 挺搞笑的，虽然有些一如既往的夸张，不过学日语蛮好。            
(3星)	 剧情演技什么的就算了 脑残死了 但学日语的还是可以看下的 。            
(3星)	 记得当时电驴只拖了6集 不知何时才想翻出来看完。            
(3星)	 以前看的，挺无聊的片儿。            
(2星)	 ...怪怪的            
(3星)	 这群外国人的日语水平除了发音还要加强其他哪里还需要上基础课啊魂淡            
(4星)	 虽然略脑残 学日语的看看还是不错的。。。            
(4星)	 3+若忽視演技而僅作為日語教學片是挺趣味的。            
(4星)	 补常识用。            
(4星)	 這老師真非主流            
(4星)	 挺好看的            
(3星)	 能学到点日语~欧洲人讲日语真好听            
(3星)	 语言学校真有这么好就疯了。。            
(3星)	 女主的演技越看越难以忍受……几乎毁了一部剧情内涵还不错的剧。            
(5星)	 仲妹子很喜欢，题材和氛围都很不错            
(3星)	 就当教学片呗            
(4星)	 勉強になった(○￣ ～ ￣○;)ウーン・・・            
(4星)	 可以学习日语常识 和做人小道理 有点麻辣女教师感觉            
(3星)	 能学到点日语            
(NA)	 只是想用来学习……太热血了……            
(4星)	 哈，却是很有意思，为什么有人觉得仲里依紗演技不好啊，我觉得春子很可爱哇            
(4星)	 我纯粹是来学日语的。            
(3星)	 情节自然低幼,主演一集一个造型让我想起了我初中的物理老师.当时我们都怀疑她家是开服装店的.当然仲里依纱比她要可爱多了...她演这种憨妞花大姐还真行~整剧还算挺欢乐的,不打算学日语的朋友就当夏季流行混搭真人教学看就行了...            
(3星)	 教学片..            
