http://movie.douban.com/subject/2154862/	少年英雄方世玉
(4星)	 恬妞和何美钿！不过记得最后那段很吓人的。。。            
(4星)	 张卫健长的好帅            
(3星)	 看热闹            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 张卫健少年系列二            
(3星)	 和妈妈一起看            
(3星)	 蛮有趣~            
(5星)	 唯一一部我爸妈和我一起看的古装。。。唯一一部！            
(5星)	 tvb            
(4星)	 很搞            
(2星)	 谁说我长得像何mm来着?            
(4星)	 应该算唯一看张卫健顺眼的一部了。。。            
(5星)	 主题曲            
(5星)	 方世玉是我小时候的梦中情人            
(4星)	 自成一派            
(4星)	 主题曲我倒现在都会唱……            
(NA)	 某年寒假，在老家红砖平房里，和几个哥哥抢年迈的爷爷奶奶的电视聚精会神地看，二老都不高兴了            
(NA)	 不记得了            
(3星)	 挺喜欢何美钿的            
(4星)	 呃……这个……            
(3星)	 还行            
(4星)	 小时候的美好回忆啊~~虽然后面的剧情越来越雷人……            
(4星)	 忽然想起以前            
(4星)	 苗姐 德哥 是这样吗 那时候很是喜欢啊            
(4星)	 小时候看的，很有意思            
(5星)	 都是经典。            
(2星)	 开头可以，可是后面的剧情好拖沓。。。。            
(5星)	 这个根本是非常好看的/ll            
(4星)	 当年那么火，以致于学校唱歌比赛有人唱《少年梦》我毫不犹豫投了感情票。哈哈。我们就是这样长大的。            
(5星)	 超级无敌喜欢            
(NA)	 虽然不喜欢张卫健，但还是挺爱看何美钿的            
(NA)	 张卫健唯一能看的片，个人认为            
(3星)	 年少回忆。            
(3星)	 我当年觉得很好笑的亚，可惜张卫健同学演什么都这样            
(4星)	 从这里认识张卫健，从此沉迷。何美钿也很喜欢。            
(4星)	 當時還是很喜歡的呀！花姐！德哥！            
(5星)	 童年的记忆 曾经巨爱张卫健            
(4星)	 曾经最爱~重温。经典。            
(5星)	 话说这是小学时候的最爱            
(5星)	 当年奉为神作。            
(3星)	 高二重放的时候,我们全班都在看            
(NA)	 恬妞版的苗翠花很可爱            
(4星)	 我满喜欢何美钿的            
(5星)	 绝对小学至爱!!            
(3星)	 jiong            
(4星)	 这部是张卫健最高            
(3星)	 初中的片片 当时有个电视台ms放了一年的张卫健            
(3星)	 中国香港            
(4星)	 德哥……            
(NA)	 当年最爱            
(4星)	 张卫健很赞~            
(3星)	 恬妞很疵的            
(NA)	 曾经痴迷            
(NA)	 一家三口的记忆。            
(5星)	 那時的熱情好比在追“還珠”。。。噁            
(3星)	 以前很喜欢看哪            
(3星)	 看过看过 小学看过 忘得差不多了            
(5星)	 还是挺动人的~            
(5星)	 何美钿美到个境界            
(4星)	 囧。我喜欢张卫健的无厘头。            
(3星)	 JOE一直在耳边念到我终于会背的台词。            
(5星)	 小时候最爱            
(NA)	 算是看的最早的张卫健的片子.我只记得里面有少林寺.和我去过的嵩山少林寺真不一样.            
(NA)	 百看不厌喏……            
(3星)	 原来我竟然有看过！            
(NA)	 曾经很喜欢这个片子。喜欢凌小小            
(4星)	 小小很可爱。哥哥，熊猫，还有我都挺喜欢她的。            
(4星)	 呵呵，非常经典的系列            
(5星)	 如果没有记错~这是我看过的第一部流泪的电视剧~            
(NA)	 反正张卫建后来拍了很多烂片            
(NA)	 我喜欢何美钿            
(5星)	 爱上张卫健...            
(5星)	 超好看！！！！！！凌小小和方世玉那个吻太美了！！！！原来从那时候开始我就喜欢这种贱贱的贫了吧唧的男生啊XDDDD            
(4星)	 在当年看来，很不错的剧了！            
(NA)	 那时候的张卫健，还没有像后来那么讨厌，那么唠唠叨叨个没玩没了            
(3星)	 何美钿 好可爱            
(NA)	 惊奇的看到主演有谢娜！她在这里演的神马啊？            
(5星)	 这可能是我看过的最喜欢的跟清朝有关的电视剧了吧……主题曲真好听            
(5星)	 五星给张卫健，嘻嘻。            
(5星)	 这个必须五星！！每晚必看！！何美钿和李婷宜都美死了！！后来李婷宜就消失了。。T.T            
(4星)	 张卫健也是个演谁都像自己的演员啊，那个年代觉得还挺搞笑的。            
(4星)	 哎呀我那时候好喜欢洪熙官            
(4星)	 噗~~初中那会儿可爱看了~~            
(4星)	 那时张卫健每年一部剧...            
(5星)	 我最喜欢他妈啦～～～翠花儿～～～～～～哈哈哈小时候每天都要搬小板凳儿看            
(5星)	 张 实在好搞笑啊 好喜欢张啊            
(3星)	 我小时候到底看了多少电视剧 我妈都不管我的吗            
(NA)	 小时候真觉得何美钿美爆了（记得这一版的严咏春也很漂亮            
(NA)	 笑看着人生太过灰暗，时时常遗憾……            
(4星)	 初中？高中，追剧。            
(NA)	 ！            
(4星)	 青春肥少年童年大床梦             
(4星)	 张卫健主演的电视剧里最喜欢的就是这一部了            
(4星)	 张卫健后来到哪去了？以前有段时间铺天盖地都是他的戏啊            
(NA)	 回忆中超好看的            
(4星)	 据说方世玉曾经冒充过&#34;方大同&#34;?            
(4星)	 又是一个没看完的……            
(4星)	 好可爱啊.            
(5星)	 当时真的超爱的。还记得我一年级的时候去叔叔家跟他们一起看电视我调了这个台，看到方世玉和小小接吻，我赶紧假装找东西跑到屋里，呆了会儿出来发现还在接吻……！然后叔叔说了句“你就是要看这个啊！这是你该看的么！”吓死我了。。。。。。从此对这种镜头异常敏感TAT            
(4星)	 这是我认为张卫健演的唯一一部能看的片子            
(3星)	 看这个时候还蛮喜欢张卫健            
(3星)	 初中还是高中时候看的么~~~忘了            
(5星)	 喜欢小小~            
(5星)	 小时候超喜欢，嫩么多张卫健的电视剧重播过，这部却基本没重播过啊            
(NA)	 当年在春去春又回中风度翩翩的沈孟生啊            
(4星)	 张卫健。。方世玉，苗翠花。。            
(3星)	 花姐,德哥            
(5星)	 小时候和妈妈一起看过的最开心的剧集~            
(3星)	 喜欢恬妞和李小环            
(4星)	 张卫健演这种调皮角色比较熟路。            
(5星)	 最爱张卫健了！            
(3星)	 张卫健很宝。            
(4星)	 这部剧也好好看，我当年好喜欢张卫健！            
(3星)	 随便看看也还行。。。            
(NA)	 好喜欢好喜欢的            
(3星)	 就是集数长了些。刚才发现编剧居然是陈十三。            
(4星)	 貌似小时候超级喜欢的            
(4星)	 也许这个我曾经刻过盘。。。            
(5星)	 当年我还萌过张卫健和何美钿            
(4星)	 雷老虎啊，印象最深刻了。            
(4星)	 阳光灿烂的日子 少年要努力~~ 。。。 一百年前看的了，主题曲还在耳朵里！！！            
(4星)	 小学5年纪的时候吧 晚上不睡觉 偷偷把房门开着听            
(3星)	 话说我小时候真是被张卫健迷倒了……            
(NA)	 认识了张卫健，演的有意思。            
(3星)	 說真的，我真是不待見張衛健            
(4星)	 我看了很多很多张卫健的电视剧啊~            
(5星)	 我能说，我曾经特别喜欢张卫健么            
(3星)	 亂點鴛鴦譜            
(3星)	 小时候很喜欢            
(5星)	 在电视上看了一遍又一遍但始终都没有顺序完整的看过一遍，无妨            
(4星)	 哎呀，哈哈哈哈            
(3星)	 花花~~   总觉得这是张卫健喜剧中最经典的一部            
(NA)	 依旧晚饭时间。            
(5星)	 小学最爱看的一部电视剧了···  怀念死            
(4星)	 小学的那点顽皮多少是跟他有关的            
(NA)	 没什么印象了。不过还记得谢娜、、、以及恬妞            
(NA)	 小时候看的，情结什么的都不记得了，但是那个时候特别喜欢张卫健            
(4星)	 很小很小的时候每天都偷摸进爸爸妈妈的房间静音看            
(4星)	 补：不评价            
(5星)	 老稀罕张卫健了            
(NA)	 怀旧            
(4星)	 那时看得人都沸腾了。            
(5星)	 凌小小~~方世玉~~~            
(4星)	 初中看了这部开始一直很喜欢张卫健≡ω≡            
(NA)	 阳光灿烂的日子，少年要珍惜~~            
(4星)	 主題曲超愛哇哇哇！            
(NA)	 电视台播得快滥了的            
(3星)	 不喜欢这个            
(4星)	 主题曲是那个“阳光灿烂的日子，少年要珍惜“吧            
(4星)	 我当年还是很喜欢ZWJ            
(4星)	 喜欢张卫健！！讨厌樊少皇的金鱼眼！！            
(5星)	 曾经让我着迷的一部电视剧            
(4星)	 初中年代的记忆            
(4星)	 N年之后再看突然发现咏春的丫鬟是谢娜……            
(NA)	 当时暴喜欢张卫健!!!!            
(5星)	 小学小学最爱啦 哈哈            
(4星)	 小小。方世玉。            
(5星)	 哇哇哇。超爱！方世玉洪熙官胡惠乾。还有歌            
(5星)	 多一星当然为张卫健同学啦~O(∩_∩)O~            
(3星)	 小时候爱看啊，印象很深他们总是吃白菜，这里觉得何美钿好漂亮            
(5星)	 小学五年级。。            
(4星)	 濮阳台一天六集 连着好几天我妈都不做中午饭            
(3星)	 某个模仿失败的周星驰。            
(5星)	 啊 当年的最爱啊！            
(3星)	 方世玉还是李连杰的电影版好看            
(4星)	 我喜欢何美钿            
(3星)	 好一点点            
(3星)	 抱着冰激凌一口气看完的夏天            
(3星)	 小时候            
(5星)	 好看            
(4星)	 何美钿 嗯 还不错            
(5星)	 我小时候就喜欢这个。。。和外公一起看的            
(3星)	 又看到江华了            
(4星)	 哇哇 印象好深好深~~~            
(4星)	 從這部起開始看張衛健，總是記得他救小小的一幕，他喜歡的女孩            
(3星)	 初中看的            
(3星)	 当时只觉很经典，很喜欢张卫健的搞笑手法            
(3星)	 张卫健经典形象。            
(NA)	 当时这男人还挺年轻..            
(4星)	 超喜欢  现在放还喜欢看  谢娜丫鬟 哈哈            
(4星)	 超喜欢花姐            
(NA)	 我还真好他这一口哈哈~            
(4星)	 欧耶            
(5星)	 我爱方世玉            
(NA)	 小学毕业同学联络本上，阚晓说她很爱这部            
(5星)	 。。。            
(5星)	 当年太喜欢了！！呵呵            
(4星)	 你们是琼花会馆的？？你们是xx会馆的？？            
(3星)	 方世玉！~            
(3星)	 这个小时候蛮喜欢            
(3星)	 年少无知啊。            
(4星)	 不错...            
(4星)	 当年也很风靡。            
(5星)	 经典            
(4星)	 儿时的回忆            
(NA)	 以前真的好喜欢看的            
(4星)	 初中还是高中来着。。忘记了。。只记得当时火的不行            
(4星)	 小时候蛮爱看的～            
(3星)	 当时就为了看凌小小的。            
(3星)	 我雷呀么封面。            
(4星)	 记得和弟弟认认真真的看每一集~            
(3星)	 这个也是记忆中的了，印象深刻啊            
(5星)	 阳光灿烂的日子 少年要珍惜            
(4星)	 当年都看哭了。。。            
(4星)	 那时候这片好红的。。            
(5星)	 還想再看一遍            
(5星)	 数年后又重温了一遍  好            
(5星)	 张卫健奠定地位之作。            
(5星)	 歌曲也都很好听            
(2星)	 用一个表情演完一部戏不难，难的是一辈子用一个表情...            
(5星)	 小时候觉得好看的不得了            
(5星)	 到现在都还很喜欢            
(4星)	 少年梦            
(4星)	 我记得挺好的。。            
(5星)	 何美钿真的太漂亮了。            
(3星)	 看个乐呵            
(5星)	 真的很好看，小学时候午休就那么翻来覆去看也从来不会腻            
(3星)	 ....ms没有什么好看的丫....            
(3星)	 他的片 也看了不少呢~            
(4星)	 蛮经典的回忆啊～搞怪又很有内容            
(3星)	 这个好看的丫...主题歌我还会唱类...            
(4星)	 想起了初三的花姐 得哥和世玉……如今得哥倒是要嫁人了……            
(4星)	 妈我咸宜            
(3星)	 小时候真好            
(NA)	 初中。            
(5星)	 好看啊~~~~            
(3星)	 补漏            
(5星)	 初三时看的，一群补习的同学硬是缠着老师看完了最后一集才开始上课，呵呵            
(3星)	 苗翠花...不錯            
(5星)	 里面演胡惠乾的GG很帅！~上海地。。            
(NA)	 记不清是什么时候第一次看了 但是直到现在还想看            
(4星)	 童年的回忆来着，还记得方世玉喜欢的女孩叫小小。。。            
(4星)	 小学时候看的 当时特着迷~            
(5星)	 终于看完了，咏春拳果然厉害            
(5星)	 有洁癖的白眉            
(NA)	 醉凡尘~~            
(5星)	 他老妈比较搞笑啊~~~            
(4星)	 可惜已经很多年不播了。= =            
(NA)	 只记得那时候女生超爱看            
(3星)	 方世玉的终极变身，竟然是一辆黑色的跑车……            
(4星)	 1999            
(NA)	 其实 我喜欢那个苗翠花            
(4星)	 当时好喜欢~            
(NA)	 少年英雄方世玉            
(4星)	 经典+搞笑~~哈哈哈            
(4星)	 最近跟爸爸一起重温            
(NA)	 曾經很喜歡            
(5星)	 很搞笑很好看            
(3星)	 好早哦~~            
(NA)	 那时特爱看，边看还边傻笑，最爱听主题曲了--少年梦            
(5星)	 好歹当年也看的欢实！            
(5星)	 好看。            
(NA)	 喜欢张卫健这个男人            
(NA)	 严重双眼皮            
(4星)	 曾经真的喜欢这部剧            
(5星)	 阳光灿烂的日子，少年要珍惜。。。真是适合高中时期看的啊~            
(4星)	 昂···我一度非常爱严咏春···            
(5星)	 何小小!!            
(4星)	 从前有个德哥和花姐            
(5星)	 经典啊经典            
(4星)	 稀饭的不得了            
(4星)	 为了大结局，我起得可早了。。。            
(3星)	 很可爱的花花，食不言，寝不语            
(4星)	 超级搞笑            
(5星)	 恬妞啊~~            
(4星)	 怀念方世玉和凌小小的爱情            
(3星)	 张卫健越演越转去了            
(5星)	 喜欢啊~喜欢啊~            
(3星)	 老实说我觉得不难看……虽然方世玉的确是多动症了一点……            
(NA)	 很小的时候看过～            
(4星)	 貌似是初中时候看的了。。是我难得看完整的电视剧            
(5星)	 好看啊好看！            
(NA)	 觉得里面的片头曲不错            
(4星)	 小时候超爱看的            
(3星)	 往后就不能看了            
(5星)	 好像一直没看过结局 初三那时候偷偷看了一点            
(NA)	 小小            
(4星)	 哈哈 记得最深的是那个主题曲“生活本来就该多姿多彩……”            
(3星)	 哈哈，初中时所看            
(5星)	 爱~~~~~~~~~            
(NA)	 实在没得看了。            
(5星)	 每天准时守在电视前，谁抢也不行！            
(2星)	 恶搞            
(3星)	 初中看的很喜欢 不知道现在在看是咋样了            
(3星)	 小小            
(4星)	 记得当时很喜欢凌小小?            
(4星)	 开始喜欢聪明的张卫健。还有主题歌不错~            
(5星)	 上初中那阵子疯狂迷恋的...            
(4星)	 good            
(4星)	 比较好看            
(4星)	 张卫健还算很不错的喜剧功夫片，当时也非常喜欢演凌小小的何美钿            
(3星)	 ye!??            
(4星)	 第一次知道张卫健这个人。            
(4星)	 那时也特喜欢张卫健            
(3星)	 6.7            
(4星)	 tvb你到底拍过多少剧= =            
(4星)	 当时还买了贴画~            
(5星)	 那些年没少看张卫健的片子。            
(4星)	 表白那段不错            
(NA)	        精采的日子在等待你 　　光辉岁月得来不会容易 　　别忘了最美的花开放在春季             
(3星)	 这里面居然有谢娜？            
(4星)	 童年回忆 认识了张卫健和恬妞            
(4星)	 剧情完全都不记得了 就记得何美钿超美超美的 小小~            
(4星)	 小时候电视里总播 就特别喜欢张卫健。            
(4星)	 春光灿烂的日子少年要珍惜，不要再犹豫，不要再怀疑应该把成功握手里~            
(4星)	 张卫健伴我度过快乐童年。            
(3星)	 搓火            
(4星)	 那些阳光灿烂的日子。            
(NA)	 当时 挺喜欢 看的！重点是！那时候没电脑！但是也不怎么重播！            
(NA)	 很有回忆的一部剧。            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 零零碎碎看的，不记得了0.0            
(5星)	 小时候超爱张卫健的！可是我爹超讨厌他- -            
(4星)	 最爱小小~            
(5星)	 当时给我带来了很多欢乐            
(5星)	 花姐 和 德哥 ，，，啊 那时候严咏春的丫鬟是谢娜扮演的，，，看起来好白痴            
(4星)	 恬妞演的苗翠花            
(3星)	 以前觉得张卫健好帅。。。            
(4星)	 主题曲还会哼点            
(3星)	 看过几集            
(4星)	 小时候好像看了几遍            
(4星)	 赞，欢乐剧            
(NA)	 张卫健的样子太痞（小学时周围很多人喜欢张卫健呐），何美钿在里面很好看            
(4星)	 张卫健的电视剧，肯定有人和我一样的喜欢。            
(1星)	 不是我不想看，是我太受不了张卫键你瞪个眼作犀利状了，没上过表演课吗泥马？并列受不了的是徐铮嘟个小嘴故作可爱状，泥两个马应该合演一部《大杀器》电影。            
(4星)	 tvb  就是不错啊            
(4星)	 我太喜欢凌小小了。            
(5星)	 和杨马脸的方世玉一比==此剧就是经典中的经典啊==！！！！！！还是挺喜欢张卫健的            
(5星)	 原来看我过这么多电视剧——特别喜欢这部~~喜欢张卫健啊~~            
(5星)	 樊少皇！！！！好喜欢看他演的古装武打            
(4星)	 喜欢方妈苗翠花~~  谢娜在里面是个丫鬟吧            
(5星)	 最近重温了，和还珠格格、少年包青天一起是自己童年的回忆啊。虽然不那么喜欢张卫健，讨厌无厘头的喜剧，但是没理由的喜欢这部电视剧。情节很紧凑，儿女情长神马的也不多，看着很舒服。最重要的，是年轻的感觉。            
(3星)	 据说张卫健和恬妞有一腿的。俄狄浦斯神呐~            
(1星)	 女演员太丑 都一副丫鬟相            
(5星)	 有些遗忘了，不过那时张卫健出镜率好高，演的也都很搞笑。            
(NA)	 昨天在家看电视竟然有台在播。。。。想起来，小时候看过啊竟然            
(4星)	None
(4星)	 那个时候大家都好年轻，世玉，熙官，惠乾三人组各有特色，小小和咏春都很漂亮，尤其咏春那双扑闪扑闪的大眼睛真的好像会说话一样，那时候的谢娜脸怎么那么扁？还很喜欢三德的说~            
(NA)	 记得辣妈翠花 千里骑马给儿子送汤            
(5星)	 不解释            
(4星)	 很傻很天真 好多天然呆属性的            
(NA)	 里面还有谢娜。。当年的小叶子            
(4星)	 爱！！！            
(5星)	 东南卫视，原来咏春的小丫头是谢娜，胖乎乎的很可爱，第一遍看还是99年家里刚买彩电的时候。            
(5星)	 当年爱死恬妞了！何美钿也超美！！            
(NA)	 张卫健演技不是盖的 方德有时候挺可爱            
(5星)	 现在再看，忽然觉得我十岁挑电视就好有品位（陶醉）。。。            
(4星)	 后面的诈尸有点夸张~~            
(3星)	 当时好喜欢张卫健            
(5星)	 经典            
(4星)	 看了好几年的剧啊            
(5星)	 眼光灿烂的日子，少年要珍惜。。。            
(4星)	 主题歌风靡            
(4星)	 小时候看的 呵呵很喜欢张卫健啊！            
(NA)	 我发现张卫健所有的片子都是一个模式：家道兴旺，家道中落，颓废，激发，重新来过，报仇雪恨。            
(NA)	 十年后重看 还是看看~~            
(3星)	 还是比较萌的            
(4星)	 牙擦苏~~？大概这部吧            
(4星)	 那时候好喜欢张卫健的。。。。。= =            
(5星)	 那时候的张卫健火的不行啊。。。            
(5星)	None
(5星)	 张卫健式的轻松搞笑风格，笑翻了啦~ 哈哈哈            
(3星)	 别忘了最美的花开放在春季~    逗趣消遣            
(4星)	 小时候觉得李婷宜真好看            
(5星)	 奶奶喜欢的，虽然记不住张卫健名字，但每部剧必看，以至于每次看到张卫健，奶奶就会说“小不懂”又演戏啦            
(4星)	 母子活宝的桥段很有爱的            
(3星)	 哈哈 我那时看的还是首播呢 现在看电视剧都没啥感觉了            
(5星)	 初中啊，十几年前了。。            
(5星)	 最喜欢张卫健的一部            
(4星)	 好看            
(3星)	 张卫健是个好同志！            
(3星)	 还好，冲名字看的，完全借了李连杰电影版方世玉的光~            
(3星)	 很喜欢小小            
(4星)	 初中二年级的时候为了此剧不上晚自习，超怀念！            
(NA)	 童年时候的美好回忆 东南卫视又回放啦            
(4星)	 以前的电视剧真的很好看 居然编剧是十三！            
(4星)	 童年记忆啊            
(5星)	 当时觉得好搞笑啊，我的童年和妈妈一起看的            
(4星)	 童年记忆            
(5星)	 真的好好看            
(5星)	 记不得看多少遍了 最近一次是几天前            
(3星)	 台词漏洞好多啊            
(3星)	 何美钿            
(NA)	 张卫健小时候在我心里的位置跟现在吕秀才在我心里位置一样。            
(4星)	 童年的回忆啊~~            
(NA)	 少年回忆            
(3星)	 张卫健。。。尼玛暑假都是你！            
(5星)	 我想给这部戏打50颗星，分分钟都是回忆。            
(3星)	 很久以前看的片子，那时弟弟喜欢看张卫健耍宝。            
(5星)	 当年的大爱啊            
(5星)	 阳光灿烂的日子 少年要珍惜 不要再犹豫 不要再迟疑 应该把握成功握手里 人生追逐是名利 总有些要放弃 悲哀要忘记 失败要忘记 一定要胜自己 生活本来就该多姿多彩..            
(NA)	 就是看这个电视剧迷上张卫健的。。。            
(5星)	 小时候的回忆啊。。。喜欢。。。            
(5星)	 下课就狂奔。            
(4星)	 当年看的热血沸腾啊 何美钿好可爱啊！            
(4星)	 韦小宝版方世玉。            
(4星)	 看过10遍啊啊啊啊 我的童年都献给了他啊            
(4星)	 俏皮的张卫健，喜欢。            
(5星)	 本人最爱的电视剧            
(5星)	 阳光灿烂的日子 少年要珍惜~~~~张卫健片子里面最喜欢的一部~~~~搞笑~~            
(5星)	 不可言说的回忆            
(4星)	 那时候觉得张卫健真的是太搞了，太有意思了，绝对是开创了什么什么的先河的呀，后来他演得多了，就没意思了            
(3星)	 少年张卫健            
(4星)	 超爱小小~            
(3星)	 那时年少各种剧~            
(5星)	 自此认识了张卫健            
(4星)	 经典！好看~            
(4星)	 真的很搞。            
(4星)	 张卫健式的搞笑，也蛮经典的~            
(3星)	 母子对戏挺有趣的。            
(4星)	 电视剧版功夫喜剧。            
(4星)	 经典港剧，超爱小小和翠花~~            
(4星)	 好怀念啊            
(5星)	 当时就觉得张卫健在学周星驰来着。。。            
(4星)	 我是看着这些电视剧长大的，那记得那首欢快的主题歌啊            
(4星)	 最喜欢洪熙官因为他憨厚又长得帅！！！            
(NA)	 时隔多年又一次听到OP 真好听~~\(≧▽≦)/~ 多少个懒懒的下午哟...            
(4星)	 这是我当年在婆婆家追的深夜档。。。放肆地一点过才睡。。。            
(4星)	 嘿嘿..张卫健的其实都能看啊.            
(4星)	 这部还蛮好看的。            
(5星)	 恬妞演的很棒啊。很好的爸爸妈妈。            
(4星)	 记得当时中午电视台播放，都不想去上学，每每看得很晚然后一路狂飙。还是很喜欢凌小小的。            
(5星)	 阳光灿烂的日子，少年要珍惜，不要再犹豫不要再迟疑～～            
(5星)	 阳光灿烂的日子，少年要珍惜，不要再犹豫不要再迟疑～～初中的时候追惨了            
(4星)	 因为是讲苗翠花相关的 所以很喜欢很喜欢 这个苗翠花也很喜欢             
(3星)	 老弟最爱看的，这么多年，念念不忘            
(4星)	 恬妞和张卫健的对手戏很赞呀。            
(4星)	 童年的爱啊            
(4星)	 何美钿好萌的             
(3星)	 当时挺喜欢的~            
(4星)	 回忆里的东西各种美好。            
(5星)	 小时候真是超喜欢！            
(5星)	 从小最爱的武侠剧啊！            
(4星)	 小时候 我跟着我奶奶 就爱看武侠片啊。。            
(5星)	 啊……你还记得当年的主题曲吗？生活本来就该多姿多彩，幸福需要自己的努力，别忘了最美的花开放在春季……多么美好的少年时光啊！我逝去的少年时光，那些十三四岁的少年时光，那些已经随着热血漫画远去的少年时光。精致的制作，欢喜的表演，相逢一笑和春水娟娟，不要回头，一直往前走吧。泪如雨下            
(5星)	 我是看着你长大的。            
(4星)	 真心的好看              
(5星)	 张卫健的启蒙剧            
(NA)	 这个要拨到十一点，小学时候十点睡觉就很晚了！            
(4星)	 回忆啊，经典啊~            
(2星)	 囧，没老版好。            
(5星)	 好看啊超好看，幼时一家围着看，每天准时对点入座，话说何美钿真的很漂亮，张卫健也拍过这么多经典的电视剧啊……            
(3星)	 无关风月，只关记忆...            
(3星)	 小时候的经典呀            
(4星)	 其实我最喜欢的是洪熙官啊。。。虚竹啊。。。            
(4星)	 最爱的搞笑，方世玉他娘亲的气场绝对是我的菜！            
(5星)	 主题曲超级好听            
(4星)	 小时候为此疯狂了好阵子。            
(5星)	 一直是最爱的            
(NA)	 阳光灿烂的日子，少年要珍惜，喜欢里边的江湖儿女。            
(5星)	 看过好多遍            
(4星)	 冤冤相报何时了            
(NA)	 有的东西还是要mark一下的。。。            
(4星)	 这个真的值得推荐，订立了张卫健的风格，而且比后期为了搞笑而搞笑自然很多            
(4星)	 原来我小时候很爱何美钿那款呢。            
(5星)	 追呀当时。。。            
(3星)	 还有谢娜？            
(4星)	 张卫健的经典之作。阳光灿烂的日子，少年要珍惜            
(5星)	 哎呀，都是小时候一遍遍看的            
(4星)	 何美钿啊，早期和张卫健一直搭档的。            
(4星)	 那时蛮喜欢            
(5星)	 重温记忆~~依然喜欢~痞痞的~~~            
(3星)	 喜欢张卫健~            
(4星)	 当年好喜欢            
(NA)	 谁也没法取代李连杰            
(3星)	 少年时期围观过的电视剧。            
(5星)	 小时候贴纸贴得到处是            
(3星)	 那时觉得李婷宜跟何美钿都很PP            
(4星)	 苗翠花 白眉 洪熙官            
(5星)	 记得有段时间电视里全是他的片子。。。            
